五つ	ஐந்து
アイスクリーム	ஐஸ்கிரீம்
花序	பூந்துணர்
野獣	மிருகம்
サメ	சுறாக்கள்
サメ	சுறா
フレディ	ஃப்ரெட்டி
湖沼	ஏரிகள்
オペレーター	ஆபரேட்டர்
ゲット	கிடைப்பது
ゲット	பெறு
ゲット	பெறுக
ゲット	பெறவும்
レイチェル	ரேச்சல்
バンクス	வங்கிகள்
ナット	நட்டு
ナット	பருப்பு
ナット	நாட்
陽気	உற்சாகமான
陽気	ஜாலி
ホルヘ	ஜோர்ஜ்
概説	சுருக்கம்
仙人	சென்னின்
マグロ	சூரை
ジョイ	ஆனந்தம்
クッキング	சமையல்
プッシュ	தள்ளு
プッシュ	புஷ்
ファンク	ஃபங்க்
キープ	தொடர்ந்து
キープ	கொண்டே
フライデー	வெள்ளிக்கிழமை
フライデー	வெள்ளி
可視	காணக்கூடியது
可視	தெரியும்
メタン	மீத்தேன்
長方形	செவ்வகங்கள்
長方形	நீள்சதுரம்
長方形	நீள்சதுர
パイプライン	பைப்லைன்
河南省	ஹெனான்
疾病	நோய்
迷路	மேஸ்
形容詞	பெயரடை
形容詞	adjectives
キャラバン	கேரவன்
ユーリ	யூரி
丸い	வட்ட
ジェラルド	ஜெரால்ட்
カーテン	திரைச்சீலை
カーテン	திரைச்சீலைகள்
嫌悪	பிடிக்கவில்லை
嫌悪	வெறுப்பைத்
昨日	நேற்று
昨日	நேற்றைய
ブルネイ	புரூணை
コンベンション	மாநாடு
コンベンション	கருத்தரங்கம்
人道	மனிதாபிமான
ロジェ	ரோஜர்
課金	சார்ஜ்
課金	கட்டணம்
ラッチ	தாழ்ப்பாள்
我慢	பொறுமை
レクリエーション	ஓய்வு
レクリエーション	கேளிக்கை
コンパイル	compile
カルメン	கார்மென்
命題	proposition
ファイターズ	போராளிகள்
ファシズム	பாசிச
ファシズム	பாசிசம்
内乱	insurrection
組み込み	உட்பொதிந்த
マインツ	mainz
日の出	உதயம்
カリキュラム	பாடத்திட்ட
カリキュラム	பாடத்திட்டத்தை
プラトン	பிளேட்டோ
タップ	தட்டி
欠如	பற்றாக்குறை
ロミオ	ரோமியோ
ヒデ	மறையும்
ヒデ	மறை
ヒデ	மறைக்கவும்
ブルックス	ப்ரூக்ஸ்
ドク	ஆவணம்
ホイットニー	விட்னி
チタン	டைட்டானியம்
和睦	நல்லிணக்க
悲しい	சோகம்
悲しい	வருத்தமளிக்கிறது
取り出し	வெளியேற்றி
取り出し	வெளியேறு
ダイス	டைஸ்
アレクサンドラ	அலெக்ஸாண்ட்ரா
変調	பண்பேற்றம்
宴会	கல்யாண
メル	மெல்
長子	மூத்த
ファイナンス	நிதி
アニメイト	அசைவூட்டம்
偏見	பாரபட்சம்
ファルコン	falcon
ウガンダ	உகாண்டா
許す	மன்னிப்பை
許す	மன்னிப்பு
許す	மன்னிக்க
許す	மன்னித்து
カメルーン	கேமரூன்
コンプリート	நிறைவு
コンプリート	முழுமை
コンプリート	முழுவதும்
コンプリート	முழுமையான
ホステス	தொகுப்பாளினி
ダイビング	டைவிங்
ダイビング	டைவ்
ジャニ	ஜானி
リンチ	லிஞ்ச்
バビロン	பாபிலோன்
カーネギー	கார்னிகி
ウェリントン	வெலிங்டன்
マーラー	மாலர்
カストロ	காஸ்ட்ரோ
ワシ	கழுகு
農薬	பூச்சிக்கொல்லி
テヘラン	தெஹ்ரான்
ブロンズ	வெண்கல
スキップ	தவிர்
スキップ	தவிர்த்தது
ヤシ	உள்ளங்கை
ヤシ	பாம்
ヤシ	பனை
小切手	காசோலை
絶叫	அலறல்
手榴弾	கையெறி
セネガル	செனகல்
ソーラー	சோலார்
ソーラー	சூரிய
議定書	நெறிமுறை
ピザ	பீசா
ピザ	பீட்சா
サクセス	வெற்றி
サクセス	வெற்றியை
ニカラグア	நிக்கராகுவா
アラー	அல்லாஹ்
海老	இறால்
海老	இறால்
海老	இறால்கள்
海老	இறால்
コンパイラ	தொகுப்பான்
退屈	சலித்து
退屈	சலிப்பு
シボレー	செவ்வி
シボレー	செவி
酸性	அமில
ウィークリー	வாராந்திர
ウィークリー	வாரத்திற்கு
ウィークリー	வாரந்தோறும்
購買	வாங்குதல்
購買	வாங்கும்
ウィルス	வைரஸ்
噴水	நீரூற்று
噴水	ஊற்று
試練	சோதனைகள்
コンドル	condor
ヘルプ	உதவி
ヘルプ	உதவும்
スーパーマン	சூப்பர்மேன்
レンガ	செங்கற்கள்
レンガ	செங்கல்
リベンジ	பழி
リベンジ	பழிவாங்கல்
ミヒャエル	மைக்கல்
ミヒャエル	மைகேல்
ミヒャエル	மைக்கேல்
未婚	திருமணமாகாத
イデオロギー	கருத்தியல்
イデオロギー	சித்தாந்தம்
イデオロギー	சித்தாந்தங்கள்
わくわく	உற்சாகமாக
着信	உள்வரும்
着信	குறியிடல்
サモア	சமோவா
パーマー	பால்மர்
ベーシック	பேசிக்
ベーシック	அடிப்படை
切り札	டிரம்ப்
包装	பேக்கேஜிங்
鉛筆	பென்சில்
会計士	கணக்காளர்கள்
会計士	கணக்காளர்
ヒート	வெப்பம்
ヒート	வெப்பத்தை
ヒート	வெயிலின்
東南	தென்கிழக்கு
アウディ	ஆடி
隣人	உறவினர்
隣人	பக்கத்து
隣人	உறவினர்
乱暴	தோராயமான
乱暴	கரடு
乱暴	கடினம்
エヴァ	ஈவா
エヴァ	இவா
後悔	வருத்தமும்
ハエ	பறந்து
ハエ	பறக்க
エセックス	எசெக்ஸ்
マーベル	மார்வெல்
悪霊	பேய்கள்
汚職	ஊழல்
ロケーション	இடம்
ロケーション	இருப்பிடம்
ロケーション	அமைவிடம்
牛肉	மாட்டிறைச்சி
ジョンストン	ஜான்ஸ்டன்
確執	கொள்ளும்
散乱	சிதறல்
レジスタンス	எதிர்ப்பு
マーカス	மார்கஸ்
由緒	சரித்திரம்
由緒	வரலாறு
エドウィン	எட்வின்
ニャー	மியாவ்
花粉	மகரந்தம்
サタン	சாத்தான்
生態学	சூழலியல்
フレックス	flex
タフ	கடுமையான
タフ	கஷ்டமான
タフ	கடினமான
スパイス	மசாலாக்கள்
スパイス	ஸ்பைஸ்
九鬼	குகி
ヘンダーソン	ஹென்டர்சன்
光沢	பளபளப்பு
光沢	பளபளப்பான
光沢	luster
トラウマ	பேரதிர்ச்சி
親指	பெருவிரல்
フォロー	பின்தொடர்
粉末	மாவு
粉末	பொடி
粉末	பவுடர்
ジブラルタル	ஜிப்ரால்டர்
プレイボーイ	playboy
マーズ	மார்ஸ்
マーズ	செவ்வாய்
グレゴリー	கிரிகோரி
セバスティアン	செபாஸ்டியன்
台所	சமையலறை
ナシオナル	nacional
レミ	ரெமி
ジョエル	ஜோயல்
リッチー	ரிட்சி
リッチー	ரிச்சி
公道	நெடுஞ்சாலை
峡谷	மிகுதி
救世主	மீட்பர்
書式	வடிவமைப்புகள்
書式	வடிவங்கள்
書式	வடிவமைப்பு
書式	வடிவம்
アレルギー	ஒவ்வாமை
序文	அணிந்துரை
序文	முன்னுரை
クワ	மல்பெரி
脊椎動物	முதுகெலும்பி
ダーリン	டார்லிங்
ブルズ	காளைகள்
勇敢	தைரியமாக
勇敢	அஞ்சா
ワンダフル	அதிசயமாக
ワンダフル	அற்புதமான
モーメント	moments
モーメント	தருணங்கள்
モーメント	கணங்கள்
モーメント	தருணங்களை
モーメント	தருணம்
モーメント	கணம்
農産物	பயிர்
農産物	பயிர்கள்
トムソン	தாம்சன்
洗練	நுட்பங்களுடன்
レベッカ	ரெபேக்கா
マルティネス	மார்டினெஸ்
マルティネス	martínez
バクー	பாலகுமாரன்
バクー	பாகு
わざと	வேண்டுமென்றே
ウィレム	வில்லெம்
キラキラ	சுடரொளி
叙事詩	காவியம்
叙事詩	புராண
注射	ஊசி
ファックス	தொலைநகல்
平仮名	hiragana
無制限	வரம்
無制限	அளவில்லா
無制限	அளவில்லாத
無制限	எண்ணிலடங்கா
サギ	ஹெரான்
博物学	naturalist
ブレンド	கலவை
パラマウント	பாராமவுண்ட்
クレーム	புகார்கள்
クレーム	புகார்
島民	தீவினர்
トウモロコシ	மக்காச்சோளம்
トウモロコシ	சோளம்
修司	சுச்சி
ギネス	கின்னஸ்
ミューズ	மியூஸ்
景色	காட்சியமைப்பு
甲状腺	தைராய்டு
フロイド	ஃபிலாய்ட்
フェルディナンド	பேர்டினண்ட்
オードリー	ஆட்ரி
硝酸	நைட்ரேட்டு
図面	கோலங்கள்
図面	வரைதல்
サバンナ	சவன்னா
サバンナ	சவன்னா
レイラ	லைலா
埋める	நிரப்பு
埋める	நிரப்ப
フィンガー	விரலை
フィンガー	விரல்
スターズ	நட்சத்திரங்கள்
チャリティ	தொண்டு
かつら	விக்
リッキー	ரிக்கி
ストリング	சரம்
ストリング	தொடர்ச்சி
ウォレス	வாலஸ்
プロット	சதி
プロット	சூழ்ச்சி
区切り	பிரிய
区切り	இடைவேளை
区切り	இடைவெளி
区切り	விளிம்பு
区切り	வரையறை
雄大	பிரம்மாண்டம்
計器	இசைக்கருவி
ゲームセンター	ஆர்கேட்
クリケット	கிரிக்கெட்
クリケット	துடுப்பாட்டம்
ゆっくり	மெல்ல
ゆっくり	மெதுவாக
タオル	துண்டு
アリストテレス	அரிஸ்டாட்டில்
プレジデント	தலைவர்
プレジデント	அதிபர்
プレジデント	ஜனாதிபதி
ディッシュ	டிஷ்
ビスタ	விஸ்டா
ワンダー	அதிசயம்
クッキー	குக்கிகள்
クッキー	குக்கீகள்
クッキー	குக்கீ
シギ	snipe
瞑想	தியானம்
瞑想	தியானத்தில்
ナショナリズム	தேசியம்
パイン	சைன்
パイン	பைன்
正方形	சதுரம்
テオドール	தியோடர்
テオドール	தியோடோர்
パスカル	பாஸ்கல்
タンザニア	தான்சானியா
リザーブ	ரிசர்வ்
リザーブ	முன்பதிவு
肥満	பருமன்
エーテル	ஈதர்
モデリング	மாடலிங்
ヘリウム	ஹீலியம்
羽毛	தோகை
羽毛	இறகு
羽毛	சிறகுகள்
ノックアウト	நாக்அவுட்
ハロウィン	ஹாலோவீன்
ウッズ	வுட்ஸ்
フラグ	குறிகள்
フラグ	கொடியை
フラグ	கொடி
フラグ	கொடிகள்
グリム	கிரிம்
銀河系	கேலக்ஸி
銀河系	பிரபஞ்சம்
サプライズ	ஆச்சரியம்
サプライズ	ஆச்சர்யம்
アニマル	விலங்கு
同定	அடையாளம்
チャーチ	தேவாலயம்
チャーチ	சர்ச்
開祖	நிறுவனர்
ロッシ	ரோசி
マグネシウム	மக்னீசியம்
マグネシウム	மெக்னீசியம்
マグネシウム	கால்சியம்
共和制	குடியரசு
共和制	republics
華やか	கவர்ச்சியாக
磁石	காந்தம்
磁石	காந்தங்கள்
インストラクター	பயிற்றுவிப்பாளர்
イノベーション	கண்டுபிடிப்பு
窃盗	திருட்டு
窃盗	திருடி
合図	சிக்னல்கள்
マーフィー	மர்பி
濃縮	செறிவூட்டப்பட்ட
喋る	பேசுகிறது
喋る	பேசுங்கள்
喋る	பேச
喋る	பேசு
喋る	பேசவும்
シャーリー	ஷிர்லி
ソフィー	சோபி
いとこ	உறவினர்கள்
いとこ	உறவினர்
ハプニング	நிகழ்கிறது
ハプニング	நடக்கின்றன
ハプニング	நடக்கிறது
シャロン	ஷரோன்
那智	நாச்சி
スリム	ஸ்லிம்
ディスカバリー	டிஸ்கவரி
ディスカバリー	கண்டறிதல்
ノストラダムス	நோஸ்ராடாமஸ்
シャンプー	ஷாம்பு
フレア	flare
フレア	ஒளிவீச்சு
海事	கடல்சார்
思春期	பூப்பு
ネスト	தாறுமாறான
ロッテルダム	ராட்டர்டாம்
ダイアモンド	வைரம்
ダイアモンド	டயமண்ட்
外傷	காயம்
外傷	பேரதிர்ச்சி
パルプ	காகிதக்கூழ்
エイドリアン	அட்ரியன்
カイル	கைல்
湖南省	ஹூனான்
ロート	ரோத்
コースター	கோஸ்டர்
宇土	uto
予告編	டிரெய்லர்
ロウ	லோவ்
シルク	பட்டு
シルク	சில்க்
モザンビーク	மொசாம்பிக்
アフマド	அஹ்மத்
ユリア	ஜூலியா
マリーナ	மெரினா
マリーナ	மெரீனா
ロッジ	லாட்ஜ்
興味深い	சுவாரஸ்யமான
興味深い	சுவாரசியமான
フリーズ	உறைந்து
スパイラル	சுழற்சி
スパイラル	சுழல்
ラウル	ராவுல்
サハラ	சஹாரா
疑念	ஐயம்
疑念	சந்தேகம்
疑念	doubt
疑念	சந்தேகங்கள்
アソシエーション	சங்கம்
アソシエーション	கழகம்
アッバース	அப்பாஸ்
租税	வரிவிதிப்பு
租税	வரி
オウム	கிளிநொச்சி
オウム	கிளி
コレクター	கலெக்டர்
カノ	கானோ
整形	வடிவமைத்தல்
アイデンティティ	அடையாளம்
ヨーコ	யோகோ
キツネ	நரி
キツネ	ஃபாக்ஸ்
キツネ	நரிகள்
フォート	கோட்டை
ウイグル	உய்குர்
プロパガンダ	பரப்புரை
ハーモニカ	ஹார்மோனிகா
イージー	எளிதானது
イージー	சுலபம்
イージー	எளிது
イージー	எளிதான
イージー	எளிதில்
イージー	எளிதாக
風邪	குளிரில்
風邪	சளி
風邪	ஜலதோஷம்
風邪	குளிர்
風邪	சளி
ストレージ	சேமிப்பு
ストレージ	சேமிப்பகம்
シチュエーション	சூழ்நிலையில்
シチュエーション	சூழ்நிலை
シチュエーション	நிலைமை
サンスクリット	சமஸ்கிருதம்
サンスクリット	சமஸ்கிருதத்தில்
サンスクリット	சமஸ்கிருத
ティムール	தைமூர்
厳重	கண்டிப்பு
厳重	கண்டிப்பான
青銅	வெண்கல
スルターン	சுல்தான்
貯蓄	சேமிப்பு
いくらか	சில
パラシュート	பாராசூட்
アレイ	arrays
アレイ	வரிசைகள்
九龍	கவுலூன்
全裸	நிர்வாணம்
腎臓	சிறுநீரகம்
ストラスブール	ஸ்திராஸ்பூர்க்
コックス	காக்ஸ்
炭化	கார்பைடு
リアリティ	உண்மை
リアリティ	நிஜத்தில்
温室	பைங்குடில்
うつ病	ஆளாகின்றனர்
ダンテ	டான்டே
会報	செய்திமடல்
ジェット機	ஜெட்
ジェット機	தாரை
ベンゼン	பென்சீன்
シック	சிக்
多分	இருக்கலாம்
多分	ஒருவேளை
多分	வரலாம்
接吻	முத்தமிடும்
接吻	முத்தமிட்டு
接吻	கிஸ்
接吻	முத்தம்
接吻	முத்தமிட
メイソン	மேசன்
アイダホ	idaho
イエメン	ஏமன்
湿度	ஈரப்பதம்
ボリューム	ஒலியளவு
セロ	செர்ரோ
セロ	சிரில்
ボンネット	மிளகை
ボンネット	ஹூட்
食肉	இறைச்சி
生き物	உயிரினங்கள்
酵母	ஈஸ்ட்
マンモス	mammoth
広尾	ஹிரூ
無責任	பொறுப்பற்ற
ムーンライト	நிலவொளி
ジャガイモ	உருளைக்கிழங்குகள்
ジャガイモ	உருளைக்கிழங்கு
ジャガイモ	உருளைக்கிழங்கு
ジャガイモ	கிழங்கு
瀕死	மரணமும்
瀕死	இறப்பது
加速度	முடுக்கம்
新居	nii
女帝	பேரழகி
エイズ	எய்ட்ஸ்
セム	shem
気絶	மூர்ச்சை
ハノイ	ஹனோய்
推論	பகுத்தறிதல்
モルガン	மோர்கன்
プラネタリウム	கோளரங்கம்
ハニー	தேன்
ゆっくりと	மெல்ல
ゆっくりと	மெதுவாக
大理石	பளிங்கு
アイリス	ஐரிஸ்
ハンク	ஹாங்க்
ニックス	நிக்ஸ்
サガン	சேகன்
シュナイダー	ஸ்னைடர்
略語	சுருக்க
ブレア	பிளேர்
アウェイ	விலகி
アウェイ	தொலைவில்
アウェイ	தள்ளி
おっぱい	முலைகள்
おっぱい	முலை
治癒	குணப்படுத்த
カラフル	வண்ணமயமான
失業	வேலைவாய்ப்பின்மை
大根	முள்ளங்கி
精算	சரிபார்
バリュー	மதிப்பு
残高	சமநிலை
残高	மீதம்
残高	balance
残高	மீதி
残高	இருப்பு
フセイン	உசேன்
フセイン	ஹுசைன்
セレモニー	விழா
フロート	நடமாடும்
風習	சுங்க
風習	விருப்பப்படி
風習	தனிப்பயன்
風習	வழக்கம்
風習	ஆயத்த
エピック	காவியம்
エピック	புராண
カイト	பட்டம்
カイト	பருந்து
腐食	அரிமானம்
メソジスト	மெத்தடிஸ்ட்
内面	உட்புற
内面	நுட்பமான
内面	உள்துறை
内面	உள்
アーベル	ஏபெல்
孫娘	பேத்தி
ブランク	வெற்று
エリトリア	எரித்திரியா
エリトリア	சமத்துவ
刺青	டாட்டூ
ポリシー	கொள்கை
ポリシー	கொள்கைகள்
重度	கடுமையான
ベーカー	பேக்கர்
ブレット	பிரெட்
ヴェルナー	வெர்னர்
ニジェール	நிகர்
ウォーキング	நடந்து
ウォーキング	நடத்தல்
ウォーキング	நடக்கிறார்
ウォーキング	வாக்கிங்
ウォーキング	நடைப்பயிற்சி
作り方	செய்முறை
レボリューション	புரட்சி
節約	சேமிப்பு
乳房	மார்பக
乳房	மார்பகம்
乳房	நெஞ்சத்தை
トレンド	trend
トレンド	போக்குகள்
ハイキング	உயர்வு
ハイキング	உயர்வுகள்
野心	லட்சிய
野心	இலட்சியம்
オズボーン	ஆஸ்போர்ன்
インスタント	உடனடி
チェンバレン	chamberlain
伝染病	கொள்ளைநோய்
伝染病	தொற்று
人柄	ஆளுமை
ソーダ	சோடா
ヘレナ	ஹெலெனா
四角	சதுரம்
ミニチュア	மினியேச்சர்
落札	விற்கப்பட்டது
衝動	ஸ்தலங்கள்
バーニー	பெர்னி
略記	சுருக்க
ウラル	உரல்
グロリア	குளோரியா
レイノルズ	ரெனால்ட்ஸ்
レックス	ரெக்ஸ்
さようなら	குட்பை
ミランダ	மிராண்டா
ヘンリク	ஹென்ரிக்
カウンセリング	கலந்தாய்வு
偽名	புனைபெயர்
ウール	கம்பளி
無実	அப்பாவி
アンドレアス	andreas
シェフィールド	sheffield
配管	பிளம்பிங்
ソケット	துளை
ソケット	துளைகள்
シーサイド	கடலோரம்
閉じる	மூடு
閉じる	மூடவும்
閉じる	விலக்கு
トランジスタ	திரிதடையம்
ジュディ	ஜூடி
プリンター	அச்சுப்பொறி
チャペル	சிற்றாலயம்
ヴィクター	விக்டர்
アブー	அபு
アブー	அபூ
過失	அலட்சியம்
ジェニー	ஜென்னி
菌類	பூஞ்சை
ハムレット	ஹாம்லெட்
球形	கோளம்
球形	கோலம்
球形	உருளை
球形	கோளங்கள்
サミー	சாம்மி
メイヤー	மேயர்
メイヤー	மேயர்
両生類	amphibian
海辺	கடலோரம்
漢詩	கன்ஷி
清国	குயிங்
ボム	கப்பம்
配送	வாடா
配送	வழங்கல்
配送	டெலிவரி
配送	ஷிப்பிங்
ジャネット	ஜேனட்
答弁	விடை
答弁	பதிலைப்
答弁	பதில்
答弁	பதிலை
密輸	கடத்தல்
密輸	ஆசன
本能	உள்ளுணர்வு
ガザ	காசா
用例	மேற்கோள்கள்
用例	எடுத்துக்காட்டுகள்
用例	உதாரணங்கள்
プレビュー	முன்னோட்டம்
プレビュー	முன்தோற்றம்
プレビュー	முன்னோட்டங்கள்
ゼウス	ஜீயஸ்
不規則	வழக்கத்தில்
コロンブス	கொலம்பஸ்
口頭	வாய்வழி
ジンバブエ	ஜிம்பாப்வே
不変	invariant
ヘラクレス	ஹெர்குலஸ்
光度	உக்கிர
光度	செறிவு
ビューティフル	அழகு
ビューティフル	அழகான
ビューティフル	அழகிய
ビューティフル	அழகா
ビューティフル	அழகாக
ナオミ	நவோமி
ソリューション	தீர்வுகள்
ソリューション	திடமான
ソリューション	கரைசல்
ソリューション	தீர்வு
同情	கருணை
同情	இரக்கம்
同情	பரிவு
同情	அனுதாபம்
コーエン	கோஹன்
挙動	நடத்தை
挙動	தன்மை
挙動	நடத்தை
挙動	தன்மை
ムアン	பங்
サムスン	சாம்சங்
サムスン	samsung
足場	சாரம்
谷間	பள்ளத்தாக்கு
グリフィス	கிரிஃபித்
ダリ	டாலி
交尾	இனச்சேர்க்கை
伝言	தகவல்
伝言	செய்தி
ニーナ	நினா
成都	செங்டு
伍長	கசையடி
サーフィン	தேடுகிறார்
サーフィン	உலாவுதல்
シリウス	சிரியஸ்
アンドロイド	அண்ட்ராய்டு
アンドロイド	android
アンドロイド	ஆண்ட்ராய்டு
青海	qinghai
憎悪	வெறுப்பை
憎悪	வெறுப்பு
憎悪	வெறுப்பு
憎悪	வெறுக்கிறேன்
憎悪	வெறுக்கிறார்
シャドー	நிழல்
シャドー	நிழலை
リチャードソン	ரிச்சர்ட்சன்
花崗岩	கிரானைட்
花崗岩	கருங்கல்
メソポタミア	mesopotamian
メソポタミア	மெசொப்பொத்தேமியா
サガ	சாகா
球面	கோளம்
球面	கோலம்
球面	உருளை
球面	கோளங்கள்
モリソン	மோரிசன்
まっすぐ	நேராக
まっすぐ	நேர்
まっすぐ	நேரான
ホプキンス	ஹாப்கின்ஸ்
手作り	வீட்டில்
購読	சந்தா
購読	subscribe
購読	சந்தா
アクシデント	விபத்தில்
クルマ	கார்
傾き	சாய்வு
エルヴィス	எல்விஸ்
シリコン	திடமான
シリコン	சிலிக்கான்
証書	சான்றிதழ்கள்
証書	சான்றிதழ்
お化け	ஆவி
お化け	பேய்
恐ろしい	கொடுமையான
恐ろしい	கொடுமை
恐ろしい	பயங்கரமாக
ご飯	நெல்
ご飯	சாதம்
ご飯	அரிசி
ご飯	சோறு
ビーバー	பீவர்
行き先	இலக்கு
行き先	சேருமிடம்
行き先	சேரும்
狩人	வேட்டைக்காரன்
狩人	வேட்டையாடி
フィーチャー	அம்சம்
フィーチャー	வசதி
雲南省	யுனான்
グルコース	குளுக்கோஸ்
パラドックス	தோற்றமுரண்
クレイジー	பைத்தியம்
ダグ	டக்
実演	ஆர்ப்பாட்டம்
スイート	சூட்ஸ்
磁性	காந்தவியல்
二回	இருமுறை
占星術	சோதிடம்
占星術	ஜோதிடம்
ドルフィン	டால்பின்
シェイク	ஷேக்
マラウイ	மலாவி
ディレクトリ	அடைவு
ディレクトリ	அடைவுகள்
レヴィ	லெவி
アバター	அவதாரம்
アバター	அவதார்
ハロゲン	அலசன்
アニ	ani
アニ	அனி
漏洩	கசிவு
頭上	overhead
しっぽ	வால்
しっぽ	வாலை
しっぽ	வால்கள்
利子	வட்டி
利子	ஆர்வம்
ストーンズ	கற்கள்
チェイス	சேஸ்
レザー	தோல்
レザー	லெதர்
ツェッペリン	செப்பெலின்
ドーハ	தோஹா
ウィリス	வில்லிஸ்
シンプソン	சிம்சன்
ネプチューン	நெப்டியூன்
砂浜	கடற்கரை
団子	பாலாடை
ターミネーター	டெர்மினேட்டர்
寛容	சகிப்புத்தன்மை
分隊	ஸ்குவாட்
異説	heresy
デズモンド	டெஸ்மண்ட்
オカルト	occult
ラサ	lhasa
探究	விசாரணை
石鹸	சோப்பு
石鹸	சோப்
石鹸	சோப்புகள்
独学	தன்னை
独学	தன்னைத்தானே
ホッパー	ஹாப்பர்
シーザー	சீசர்
アロマ	வாசனை
ピーナッツ	வேர்கடலை
ピーナッツ	நிலக்கடலை
ピーナッツ	வேர்க்கடலை
トランク	ட்ரங்க்
ストール	நிறுவப்பட்டது
ストール	முடங்கியது
被覆	கவர்
被覆	உறை
頭頂	parietal
プロバイダ	வழங்குவோர்
プロバイダ	வழங்குநர்
プロバイダ	வழங்குவோர்
マントル	மூடகம்
オートマチック	தானியங்கு
オートマチック	தானியங்கி
オートマチック	தன்னியக்கம்
オートマチック	தன்னியக்கமாக
オートマチック	தன்னியக்க
ピカソ	பிக்காசோ
疑わしい	கேள்விக்குரிய
メールアドレス	மின்னஞ்சலை
メールアドレス	மின்னஞ்சல்
寒い	குளிரில்
寒い	சளி
寒い	ஜலதோஷம்
寒い	குளிர்
侵食	erosion
ラッピング	மடிப்பு
エマニュエル	இமானுவேல்
エマニュエル	இம்மானுவேல்
ベタ	பெட்டா
フレッチャー	பிளெட்சர்
資質	குணங்களை
混沌	குழப்பம்
混沌	குழப்பமான
柔らかい	டெண்டர்
柔らかい	மென்மையான
柔らかい	மென்மை
ソクラテス	சாக்கிரட்டீசு
フィジー	பிஜி
係員	ஊழியரின்
オマーン	ஓமன்
カルタゴ	carthage
ショートカット	குறுக்குவழிகள்
ショートカット	குறுக்குவழி
グレアム	கிரகாம்
ファウル	பவுல்
メッセンジャー	messenger
キーン	குறியாக
矢印	அம்புகள்
矢印	அம்புக்குறி
マーサ	மார்தா
ロリータ	lolita
チャーター	பட்டயம்
チャーター	சாசனம்
ヒルトン	ஹில்டன்
金持ち	பணக்காரன்
ネイサン	நாதன்
デウス	deus
石灰岩	சுண்ணக்கல்
うむ	ஹூம்
ナイアガラ	நயாகரா
プルトニウム	புளுட்டோனியம்
ソングライター	songwriter
ロニー	ரோனி
ボイコット	புறக்கணிப்பு
冥王星	புளூட்டோ
両足	பாதங்கள்
両足	அடி
両足	பாதம்
両足	பாதங்களை
両足	கால்களும்
大豆	சோயாபீன்ஸ்
賛美	புகழ்
手書き	கையெழுத்து
生殖	இனப்பெருக்கம்
生殖	இனப்பெருக்க
アゲイン	மீண்டும்
アゲイン	மறுபடியும்
サボテン	கள்ளி
精子	விந்து
撲滅	ஒழியும்
撲滅	ஒழிக்கும்
マリリン	மர்லின்
ガルフ	வளைகுடா
サイクロン	சூறாவளி
サイクロン	புயல்
グレース	கருணை
グレース	கிரேஸ்
グレース	அருளும்
調味料	சுவையூட்டும்
チャーム	வசீகரம்
アデレード	அடிலெய்ட்
カルガリー	கால்கரி
エヴァンス	ஈவான்ஸ்
ファクター	காரணி
ガールフレンド	காதலியே
ガールフレンド	காதலி
ネガティブ	எதிர்மறை
ネガティブ	கெட்டது
着る	அணிய
着る	உடுத்தும்
着る	உடைகள்
ピアース	துளைத்து
ピアース	பியர்ஸ்
カタリナ	காவலன்
