மற்றும்	та
மாவட்ட	улус
மாவட்ட	округ
மாவட்ட	нохія
மாவட்ட	район
மொத்த	усього
மொத்த	всього
மொத்த	загалом
மொத்த	загальна
மொத்த	загальний
வளர்ச்சி	розвитку
வளர்ச்சி	розвиток
வளர்ச்சி	розробка
வளர்ச்சி	росту
வளர்ச்சி	зростання
வளர்ச்சி	ріст
மாவட்டம்	улус
மாவட்டம்	округ
மாவட்டம்	нохія
மாவட்டம்	район
அந்த	той
மிகவும்	дуже
திட்டம்	project
திட்டம்	проект
திட்டம்	плануємо
திட்டம்	спланувати
திட்டம்	планувати
திட்டம்	план
தேசிய	національна
தேசிய	націонал
தேசிய	національне
தேசிய	національний
தேசிய	національні
கலந்து	присутній
இலங்கை	цейлон
இங்கு	тут
அமெரிக்க	американський
அமெரிக்க	американець
அமெரிக்க	американські
அமெரிக்க	американська
அமெரிக்க	американської
அடிப்படை	базис
அடிப்படை	основа
அடிப்படை	базова
அடிப்படை	база
அடிப்படை	основою
அடிப்படை	базовий
அடிப்படை	базові
அடிப்படை	базове
அடிப்படை	основні
அடிப்படை	базовий
அடிப்படை	основний
பெயர்	назва
பெயர்	надпис
பெயர்	мітку
பெயர்	напис
பெயர்	мітка
மூன்று	три
மூன்று	втрьох
மூன்று	трійка
ஆண்கள்	самці
ஆண்கள்	чоловіки
ஒன்று	зібрати
ஒன்று	збирати
ஒன்று	або
ஒன்று	одна
ஒன்று	one
ஒன்று	одне
ஒன்று	один
ஐக்கிய	united
ஐக்கிய	юнайтед
புதிய	нові
புதிய	нове
புதிய	нова
புதிய	новий
புதிய	створити
புதிய	свіжі
புதிய	свіже
புதிய	свіжа
புதிய	свіжий
அவரது	його
அவரது	her
அவரது	нею
அவரது	її
அவரது	їй
மொத்தம்	усього
மொத்தம்	всього
மொத்தம்	загалом
மொத்தம்	загальна
மொத்தம்	загальний
மொத்தம்	підсумків
இவை	ці
சிறந்த	великий
சிறந்த	чудово
சிறந்த	кращий
சிறந்த	найкраща
சிறந்த	найкращий
சிறந்த	найкраще
சிறந்த	найкращі
சிறந்த	відмінний
சிறந்த	чудова
சிறந்த	відмінно
அரசு	правління
அரசு	уряд
வசதிகள்	споруди
இந்தியா	індію
இந்தியா	індія
இந்தியா	індії
பெரிய	великий
பெரிய	чудово
பெரிய	великі
பெரிய	велике
பெரிய	велика
பெரிய	великий
பெரிய	біг
பெரிய	великі
பெரிய	великих
ஊரக	сільське
ஊரக	сільська
நாள்	день
நாள்	дню
நாள்	дня
பிறப்பு	загальна
பிறப்பு	загальні
பிறப்பு	звичайний
பிறப்பு	загальний
பிறப்பு	загальне
பிறப்பு	народження
பிறப்பு	народився
பிறப்பு	борн
பிறப்பு	народилась
பிறப்பு	народилася
பிறப்பு	народження
இருந்தது	був
இருந்தது	була
இருந்தது	було
முக்கிய	головний
முக்கிய	основне
முக்கிய	головна
முக்கிய	головні
முக்கிய	головне
முக்கிய	важлива
முக்கிய	важливі
முக்கிய	важливий
முக்கிய	важливе
முக்கிய	важливо
பல்வேறு	різноманітність
பல்வேறு	сорти
பல்வேறு	різноманітності
பல்வேறு	різноманітні
பல்வேறு	різні
இருந்த	були
திரைப்படங்கள்	знімали
திரைப்படங்கள்	фільми
திரைப்படங்கள்	кіно
பிற	інший
பிற	інша
பிற	інші
பிற	інше
பிற	інших
அவர்கள்	їх
அவர்கள்	їм
அவர்கள்	комплектів
அவர்கள்	вони
மொழி	мова
மொழி	мови
மொழி	мову
முறை	метод
முறை	процедури
முறை	процедуру
முறை	процедура
முறை	режим
முறை	лад
முறை	mode
கோயில்	храму
கோயில்	храм
விருது	нагорода
பொதுவாக	загальні
பொதுவாக	генерал
பொதுவாக	загальний
பொதுவாக	загальне
அக்டோபர்	жовтень
அக்டோபர்	жовтня
அக்டோபர்	жовтні
அக்டோபர்	жовтня
செய்து	вчинив
செய்து	скоїв
தன்	його
தன்	кидає
தொடர்ந்து	тримай
இரண்டாம்	другий
இரண்டாம்	друге
இரண்டாம்	друга
இரண்டாம்	секунда
இரண்டாம்	вторинної
வரும்	приходить
வரும்	іду
வரும்	наближається
வரும்	coming
மே	травнева
மே	травня
மே	травневі
மே	травні
மே	травень
ஒவ்வொரு	кожен
ஒவ்வொரு	кожні
ஒவ்வொரு	кожну
ஒவ்வொரு	кожного
ஒவ்வொரு	кожному
ஒவ்வொரு	кожен
ஒவ்வொரு	кожна
மட்டுமே	лише
மட்டுமே	тільки
வரலாறு	журнал
வரலாறு	історія
வரலாறு	історії
பகுதியில்	область
பகுதியில்	ділянка
பகுதியில்	площа
பகுதியில்	місцевість
நூல்கள்	книжки
நூல்கள்	книг
நூல்கள்	книги
சேர்ந்த	належності
சேர்ந்த	належить
பின்	pin
பின்	закріпити
பின்	пен
பின்	після
பின்	back
பின்	назад
பின்	ззаду
பின்	повернулася
பின்	спина
இல்லை	не
இல்லை	not
நவம்பர்	листопаді
நவம்பர்	листопад
நவம்பர்	листопада
அதிக	високий
அதிக	висока
அதிக	значне
அதிக	високе
அதிக	високі
காலத்தில்	строк
காலத்தில்	період
மிக	дуже
நான்கு	четвірка
நான்கு	чотирьох
நான்கு	чотири
பிறகு	потім
பிறகு	тоді
பிறகு	згодом
பிறகு	пізніше
பிறகு	потому
பிறகு	після
அரசியல்	політика
அரசியல்	політичний
அரசியல்	політичне
அரசியல்	політична
அரசியல்	політичні
பகுதி	частково
பகுதி	розкладання
பகுதி	часткове
பகுதி	часткова
பகுதி	область
பகுதி	ділянка
பகுதி	площа
பகுதி	місцевість
பகுதி	ділянку
பகுதி	регіон
பகுதி	частина
பகுதி	сегмент
பகுதி	відрізок
பற்றி	приблизно
பற்றி	інфо
பற்றி	про
பற்றி	щодо
ஆறு	шість
ஆறு	шестеро
ஆறு	річка
ஆறு	ріка
மீண்டும்	знов
மீண்டும்	знову
இங்கிலாந்து	англія
காலம்	season
காலம்	сезон
காலம்	сезону
காலம்	строк
காலம்	період
காலம்	тайм
காலம்	час
நிலை	розташування
நிலை	позиція
நிலை	положення
நிலை	позиції
நிலை	стан
நிலை	держава
நிலை	рівень
ஒரே	збігається
ஒரே	однаковий
ஒரே	однакові
ஒரே	same
ஒரே	самий
போர்	війна
காரணமாக	через
பொருள்	матеріал
பொருள்	матеріали
பொருள்	добуток
பொருள்	продукт
பொருள்	товар
பொருள்	object
பொருள்	синоніми
பொருள்	темою
பொருள்	тема
பொருள்	предмет
அறிவியல்	наука
அறிவியல்	науки
பேச்சு	мовлення
பேச்சு	промову
பேச்சு	поговоримо
பேச்சு	розмова
பேச்சு	talk
பேச்சு	говорити
அனைத்து	усі
அனைத்து	всі
அனைத்து	все
அனைத்து	всіх
கல்வி	освіта
கல்வி	освіти
கல்வி	education
ஏப்ரல்	apr
ஏப்ரல்	квітень
ஏப்ரல்	квітня
ஏப்ரல்	квітні
உலக	світовий
உலக	світ
உலக	світе
உலக	world
உலக	глобальний
உலக	global
உலக	загальні
கே	геї
கே	голубий
கே	гей
முடியும்	можна
கீழ்	вниз
கீழ்	down
கீழ்	униз
கீழ்	даун
கீழ்	нижній
கீழ்	опустити
கீழ்	нижня
கீழ்	нижча
கீழ்	під
கீழ்	under
கீழ்	внизу
கீழ்	знизу
இடம்	місце
இடம்	розміщення
இடம்	місцезнаходження
இடம்	локація
இடம்	місце
இடம்	розташування
இடம்	простору
இடம்	пробіл
இடம்	простір
செப்டம்பர்	вересня
செப்டம்பர்	вересні
செப்டம்பர்	вересень
பேர்	інших
பேர்	інші
பேர்	іншими
பெரும்	великий
பெரும்	чудово
பெரும்	нахабний
சி	чі
சி	хі
சி	chi
நாடுகள்	країн
நாடுகள்	країни
தொகுதி	альбомів
தொகுதி	альбоми
தொகுதி	система
தொகுதி	системи
தொகுதி	системний
தொகுதி	системне
தொகுதி	системна
தொகுதி	модуль
கிழக்கு	схід
கிழக்கு	східна
கிழக்கு	східної
கிழக்கு	східні
அமைப்பு	налаштувати
அமைப்பு	налаштування
அமைப்பு	система
அமைப்பு	системи
அமைப்பு	системний
அமைப்பு	системне
அமைப்பு	системна
அமைப்பு	встановлення
அமைப்பு	організація
அமைப்பு	установа
அமைப்பு	структура
அமைப்பு	структури
அளவு	сума
அளவு	суму
அளவு	кількість
அளவு	масштаб
அளவு	шкала
அளவு	розмір
நகர்	нагар
மற்ற	інший
மற்ற	інша
மற்ற	інші
மற்ற	інше
மற்ற	інших
மற்ற	різне
இவற்றையும்	ці
தற்போது	тепер
தற்போது	зараз
தற்போது	зараз
தற்போது	наразі
பாடல்	конкурс
பாடல்	пісня
உண்டு	доступні
உண்டு	доступний
உண்டு	наявні
உண்டு	наявний
உண்டு	маю
உண்டு	маєш
உண்டு	have
வாழும்	живі
இருக்கிறது	доступні
இருக்கிறது	доступний
இருக்கிறது	наявні
இருக்கிறது	наявний
நிறுவனம்	компанія
நிறுவனம்	роботодавець
நிறுவனம்	організація
நிறுவனம்	установа
நிறுவனம்	установа
நிறுவனம்	організація
நபர்கள்	народ
நபர்கள்	людей
நபர்கள்	люди
காலனி	колонія
மேற்கு	захід
மேற்கு	вест
மேற்கு	західний
மேற்கு	західні
மேற்கு	західна
தலைவர்	президент
தலைவர்	президенти
தலைவர்	ватажок
தலைவர்	лідер
முதலில்	перше
முதலில்	перша
முதலில்	перший
சார்ந்த	відносно
சார்ந்த	відносна
சார்ந்த	відносний
சார்ந்த	залежність
சார்ந்த	засновані
சார்ந்த	засновано
சார்ந்த	заснований
மேல்	згори
மேல்	вгорі
மேல்	топ
மேல்	верхній
மேல்	найпопулярніші
மேல்	зверху
நாடு	країни
நாடு	країна
நாடு	кантрі
மட்டும்	лише
மட்டும்	тільки
அடிப்படையில்	коротше
அடிப்படையில்	базис
எண்	кількість
எண்	рахувати
எண்	відлік
எண்	число
எண்	кількість
எண்	номер
எண்	номера
குறிப்பிட்ட	зазначені
குறிப்பிட்ட	вказано
குறிப்பிட்ட	вказана
குறிப்பிட்ட	зазначений
குறிப்பிட்ட	вказаний
குறிப்பிட்ட	конкретних
குறிப்பிட்ட	певне
குறிப்பிட்ட	конкретні
செய்ய	make
செய்ய	зробити
சிறிய	малий
சிறிய	малі
சிறிய	маленькі
சிறிய	маленька
சிறிய	маленький
சிறிய	маленькі
வந்த	приїхала
வந்த	приїхав
வந்த	прилетіли
வந்த	зайшла
வந்த	прийшло
வந்த	прийшов
வேறு	інший
வேறு	інша
வேறு	інші
வேறு	інше
வேறு	інших
மார்ச்	березні
மார்ச்	березень
மார்ச்	березня
நிலையில்	умова
நிலையில்	стадія
பெண்	дівчинка
பெண்	дівча
பெண்	дівчина
பெண்	дівчину
பெண்	жінка
பெண்	жіноча
பெண்	жіночий
பெண்	самка
பெண்	жінка
வெற்றி	успіх
வெற்றி	перемог
வெற்றி	посіла
வெற்றி	виграє
வெற்றி	вигравати
வெற்றி	забив
வெற்றி	виграш
வெற்றி	перемагає
வெற்றி	переміг
வெற்றி	виграв
வெற்றி	вон
வெற்றி	виграли
வெற்றி	перемога
வெற்றி	перемоги
வெற்றி	win
வெற்றி	переможе
இணைப்பு	посиланням
இணைப்பு	посилання
இணைப்பு	link
இணைப்பு	лінк
இணைப்பு	вкладення
இணைப்பு	долучення
திரைப்படம்	фільм
திரைப்படம்	кіно
திரைப்படம்	фільм
திரைப்படம்	плівка
வகை	категорія
வகை	типу
வகை	тип
வகை	режим
வகை	лад
வகை	mode
அதே	збігається
அதே	однаковий
அதே	однакові
அதே	same
அதே	самий
சிறப்பு	обрані
சிறப்பு	особливий
சிறப்பு	спеціальний
சிறப்பு	особливі
சிறப்பு	особливе
சிறப்பு	спеціальні
சிறப்பு	особлива
தமிழர்	таміли
சுமார்	приблизно
சுமார்	інфо
சுமார்	про
சுமார்	щодо
என்பதை	чи
கட்டுரைகள்	статті
கட்டுரைகள்	статтями
கட்டுரைகள்	статей
படி	прочитайте
படி	читати
படி	прочитані
படி	читайте
படி	прочитати
படி	читання
படி	крок
படி	кроком
மனித	людина
மனித	людський
பெரும்பாலும்	майже
பெரும்பாலும்	часто
பெரும்பாலும்	здебільшого
பெரும்பாலும்	переважно
கட்சி	вечірка
கட்சி	партії
கட்சி	вечірки
கட்சி	партія
கட்சி	party
பொது	спільними
பொது	поширені
பொது	спільне
பொது	загальні
பொது	common
பொது	публічний
பொது	громадське
பொது	паблік
பொது	відкритий
பொது	публічна
பொது	громадського
பொது	загальні
பொது	генерал
பொது	загальний
பொது	загальне
கல்லூரி	коледж
கல்லூரி	коледжі
கல்லூரி	внз
இசை	музика
இசை	музики
இசை	музик
இசை	музиці
இசை	музику
முறையில்	режим
முறையில்	лад
முறையில்	mode
நாட்டின்	країни
நாட்டின்	країна
நாட்டின்	кантрі
மத்திய	central
மத்திய	центральний
மத்திய	центральна
மில்லியன்	мільйон
மில்லியன்	мільйонами
மில்லியன்	мільйони
நகரம்	місто
எந்த	якісь
எந்த	какой
எந்த	який
எந்த	які
எந்த	яке
எந்த	яка
எனப்படும்	назвали
எனப்படும்	викликала
எனப்படும்	називається
எனப்படும்	викликали
நீர்	вода
நீர்	водні
நீர்	водяний
நீர்	водяне
செய்யும்	займаюся
இணைந்து	приєднатися
இணைந்து	приєднатись
இணைந்து	приєднання
இணைந்து	долучитися
இணைந்து	приєднуйтесь
இணைந்து	приєднуйтеся
விக்கிப்பீடியா	вікіпедія
சென்று	зник
சென்று	зникли
சென்று	зникла
பார்க்க	подивитися
பார்க்க	див
பார்க்க	бачите
பார்க்க	бачу
பார்க்க	переглянути
அணி	матриця
அணி	матриці
அணி	команда
எழுதிய	писав
எழுதிய	записано
எழுதிய	написано
எழுதிய	записані
எழுதிய	написав
எழுதிய	написала
எழுதிய	писав
நிலையம்	станція
நிலையம்	станції
நிலையம்	вокзал
தொடர்பான	схожі
மீட்டர்	метр
மீட்டர்	метрах
மீட்டர்	метрів
மீட்டர்	метри
மீட்டர்	метр
இடத்தில்	місце
கோவில்	храму
கோவில்	храм
மாதம்	місяця
மாதம்	місяць
ஆய்வு	вивчення
ஆய்வு	навчання
ஆய்வு	дослідження
ஆய்வு	research
வட	північна
வட	норт
வட	північний
வட	північ
குறைந்த	найнижчі
குறைந்த	низький
குறைந்த	низька
குறைந்த	low
குறைந்த	менше
டிசம்பர்	грудень
டிசம்பர்	грудня
டிசம்பர்	грудні
டிசம்பர்	схилення
டிசம்பர்	схил
டிசம்பர்	dec
முன்	front
முன்	спереду
முன்	передні
முன்	фронт
முன்	передній
முன்	pre
முன்	пре
முன்	попередньо
முன்	перед
முன்	before
வாழ்க்கை	життя
வாழ்க்கை	лайф
சனவரி	січні
சனவரி	січень
சனவரி	січня
புனித	святі
புனித	святе
புனித	свята
புனித	священні
புனித	святий
இரண்டாவது	другий
இரண்டாவது	друге
இரண்டாவது	друга
இரண்டாவது	секунда
இரண்டாவது	вторинної
ஆங்கிலம்	англійською
ஆங்கிலம்	англійська
அங்கு	туди
அங்கு	там
தொழில்	бізнес
தொழில்	справа
தொழில்	ділова
தொழில்	business
தொழில்	діловий
தொழில்	галузь
தொழில்	галузі
தொழில்	індустрія
தொழில்	промисловість
தொழில்	професія
பழைய	старі
பழைய	старе
பழைய	старим
பழைய	стара
பழைய	старий
பழைய	старші
பழைய	старше
பழைய	старіші
பழைய	старша
ஆண்டுகள்	роки
குறிப்பாக	особливо
குறிப்பாக	особливо
குறிப்பாக	спеціально
குறிப்பாக	конкретно
குறிப்பாக	спеціально
பார்க்கவும்	відвідання
பார்க்கவும்	візит
பார்க்கவும்	завітати
பார்க்கவும்	відвідайте
பார்க்கவும்	відвідування
பார்க்கவும்	дивитися
பார்க்கவும்	подивитися
பார்க்கவும்	дивіться
பார்க்கவும்	дивися
பார்க்கவும்	спостерігати
துறை	департамент
துறை	відділ
துறை	пор
துறை	порт
குறிக்கும்	фокус
கடல்	морська
கடல்	море
கடல்	океан
போல	подобається
போல	зразок
போல	like
இதற்கு	для
சிறு	малий
சிறு	малі
சிறு	маленькі
சிறு	мінор
சிறு	незначна
சிறு	молодший
சிறு	незначний
சிறு	молодші
தென்	південна
தென்	південь
தென்	південний
உயர்	високий
உயர்	висока
உயர்	значне
உயர்	високе
உயர்	високі
உயர்	люкс
உயர்	deluxe
வடக்கு	північна
வடக்கு	норт
வடக்கு	північний
வடக்கு	північ
ஆட்சி	царство
ஆட்சி	kingdom
ஆட்சி	королівство
ஆட்சி	правило
ஆட்சி	управління
ஆட்சி	править
மக்களின்	народ
மக்களின்	людей
மக்களின்	люди
நோய்	хвороби
நோய்	хворобу
நோய்	хвороби
நோய்	хвороба
நோய்	захворювання
தேர்தல்	вибори
உற்பத்தி	продакшн
உற்பத்தி	виробництво
உற்பத்தி	продукція
உற்பத்தி	виробництво
ஆக	aug
வந்தது	прибуло
வந்தது	прибули
வந்தது	приїхав
வந்தது	приїхали
வந்தது	приїхала
வந்தது	приїхав
வந்தது	прилетіли
வந்தது	зайшла
வந்தது	прийшло
வந்தது	прийшов
கலை	мистецтво
கலை	арт
கலை	мистецтво
கலை	художня
தங்கள்	своїх
தங்கள்	їхньому
தங்கள்	свої
தங்கள்	їхнє
சமூக	соціальне
சமூக	соціальні
சமூக	соціальна
சமூக	соціальний
போல்	боль
போல்	подобається
போல்	зразок
போல்	like
தர	якість
நூற்றாண்டு	ст
நூற்றாண்டு	століття
நூற்றாண்டு	century
அவருடைய	його
உலகின்	світи
அமெரிக்கா	америка
அமெரிக்கா	америки
அமெரிக்கா	америка
பகுதிகளில்	області
பகுதிகளில்	ділянки
பகுதிகளில்	територіях
பகுதிகளில்	площі
பகுதிகளில்	районів
வந்து	come
வந்து	приходь
வந்து	приходьте
பரிசு	премія
பரிசு	подарунку
பரிசு	подарунок
பிரிவு	категорія
பிரிவு	ділення
பிரிவு	дивізіон
பிரிவு	поділ
பிரிவு	розділ
பிரிவு	секція
பிரிவு	секції
உடல்	тіло
உடல்	тіла
இவர்கள்	ці
கூட	навіть
கூட	даже
கூட	також
கூட	теж
கூட	надто
கூட	занадто
எழுத்தாளர்	writer
எழுத்தாளர்	письменник
குழு	група
குழு	групова
குழு	груповий
குழு	групу
குழு	спільнота
இலக்கிய	література
இலக்கிய	літературна
இலக்கிய	літературні
இலக்கிய	літературний
விளையாட்டு	ігри
விளையாட்டு	спорт
விளையாட்டு	спортивні
விளையாட்டு	спорту
விளையாட்டு	гра
விளையாட்டு	гри
விளையாட்டு	гру
விளையாட்டு	спорт
உறுப்பினர்கள்	учасники
உறுப்பினர்கள்	члени
இறப்பு	death
இறப்பு	смерть
இறப்பு	смерті
இறப்பு	смертності
அடி	ногами
அடி	ноги
அடி	стопи
அடி	футів
அடி	удар
அடி	хіт
அடி	влучити
அடி	зачепив
அடி	вдарив
துணை	партнер
துணை	напарник
துணை	партнерські
துணை	підтримка
துணை	підтримую
துணை	підтримати
துணை	віце
துணை	заступник
துணை	sub
துணை	депутат
துணை	заступник
பதிப்பு	редакція
பதிப்பு	видання
பதிப்பு	версія
சொல்	say
சொல்	скажуть
சொல்	кажу
சொல்	сказати
சொல்	кажеш
சொல்	словом
சொல்	слово
சொல்	скажи
சொல்	розказати
சொல்	розкажіть
சொல்	розкажу
சொல்	розкажи
தெற்கு	південна
தெற்கு	південь
தெற்கு	південний
கட்டுரை	есе
கட்டுரை	стаття
கட்டுரை	статтю
கட்டுரை	будова
கட்டுரை	композиція
கட்டுரை	статті
கட்டுரை	статтями
கட்டுரை	статей
வட்டம்	коло
வட்டம்	гурток
சராசரி	середній
சராசரி	середнє
சராசரி	середня
சராசரி	середнього
சராசரி	означають
சராசரி	середнє
தொலைக்காட்சி	телебачення
முன்னாள்	колишні
முன்னாள்	колишній
எண்ணிக்கை	кількість
எண்ணிக்கை	рахувати
எண்ணிக்கை	відлік
எண்ணிக்கை	шматок
எண்ணிக்கை	частоту
எண்ணிக்கை	частота
தவிர	виключити
தவிர	виключення
தவிர	виключати
தவிர	окрім
தவிர	крім
நடிகர்	актор
பாடல்கள்	пісень
பாடல்கள்	пісні
பாடல்கள்	songs
இன்று	сьогодні
சட்டம்	блок
சட்டம்	кадр
சட்டம்	рамка
சட்டம்	закон
சட்டம்	право
சட்டம்	правові
சட்டம்	правова
சட்டம்	юридична
சட்டம்	юридичні
சட்டம்	юридичний
சட்டம்	діяти
சட்டம்	акт
அருகில்	поблизу
அருகில்	поруч
அருகில்	поряд
அருகில்	близько
அருகில்	біля
அருகில்	поблизу
அருகில்	поруч
நேரம்	тайм
நேரம்	час
முதலாவது	перше
முதலாவது	перша
முதலாவது	перший
நாம்	хай
நாம்	нехай
நாம்	дозволяє
மூலமாக	via
மூலமாக	віа
மூலமாக	через
மூலமாக	крізь
மூலமாக	наскрізь
மூலமாக	через
மூலமாக	передивився
உணவு	харчування
உணவு	їжа
குறித்து	приблизно
குறித்து	інфо
குறித்து	про
குறித்து	щодо
பெப்ரவரி	лютому
பெப்ரவரி	лютий
பெப்ரவரி	лютого
பகுதிகள்	ділить
பகுதிகள்	компонент
பகுதிகள்	компонента
பகுதிகள்	регіони
பகுதிகள்	регіонів
பகுதிகள்	регіонах
பகுதிகள்	областях
பகுதிகள்	частини
பகுதிகள்	частинами
பகுதிகள்	області
பகுதிகள்	ділянки
பகுதிகள்	територіях
பகுதிகள்	площі
பகுதிகள்	районів
நிறுவனங்கள்	організації
நிறுவனங்கள்	організацій
நிறுவனங்கள்	компанії
நிறுவனங்கள்	компаній
நிறுவனங்கள்	компаніями
ஜனவரி	січні
ஜனவரி	січень
ஜனவரி	січня
எழுத்தாளர்கள்	письменники
எழுத்தாளர்கள்	письменників
நல்ல	хороші
நல்ல	гарні
நல்ல	добрий
நல்ல	добре
அடுத்த	наступний
அடுத்த	наступна
அடுத்த	next
அடுத்த	наступне
அடுத்த	далі
படம்	picture
படம்	зображення
படம்	картинка
படம்	фото
படம்	світлину
படம்	світлина
படம்	світлині
படம்	фото
படம்	зображення
பாதுகாப்பு	оборона
பாதுகாப்பு	захист
பாதுகாப்பு	оборони
பாதுகாப்பு	сейф
பாதுகாப்பு	безпечний
பாதுகாப்பு	безпечно
பாதுகாப்பு	захист
பாதுகாப்பு	безпека
பாதுகாப்பு	безпека
பாதுகாப்பு	безпеки
பாதுகாப்பு	security
தந்தை	батька
தந்தை	батько
தந்தை	батьку
தந்தை	отець
பங்கு	ролі
பங்கு	роль
பயன்படுத்தி	користування
பயன்படுத்தி	використання
அவர்களின்	своїх
அவர்களின்	їхньому
அவர்களின்	свої
அவர்களின்	їхнє
செய்த	зробила
செய்த	made
நியூ	ніуе
பதிவு	враження
பதிவு	зареєструватись
பதிவு	зареєструвати
பதிவு	регістр
பதிவு	реєстрація
பதிவு	записати
பதிவு	записувати
பதிவு	рекорд
பதிவு	запис
பதிவு	реєстрація
பதிவு	дописі
பதிவு	опублікувати
பதிவு	допис
பதிவு	допису
ஐரோப்பிய	європейський
ஐரோப்பிய	європейські
ஐரோப்பிய	європейська
முழுவதும்	повноцінного
முழுவதும்	повністю
முழுவதும்	цілком
முழுவதும்	повністю
முழுவதும்	повна
முழுவதும்	повний
முழுவதும்	повне
முழுவதும்	завершене
முழுவதும்	завершити
முழுவதும்	повний
முழுவதும்	завершення
முழுவதும்	завершений
பயனர்	користувача
பயனர்	користувач
தொடர்	послідовний
தொடர்	серійний
தொடர்	продовжувати
தொடர்	продовжити
தொடர்	продовжуємо
தொடர்	продовжити
போன்றவை	тощо
போன்றவை	etc
ஜூன்	червня
ஜூன்	червні
ஜூன்	червень
வழியாக	via
வழியாக	віа
வழியாக	через
உறுப்பினர்	член
உறுப்பினர்	учасник
உறுப்பினர்	учасника
உறுப்பினர்	члена
உறுப்பினர்	вступу
உறுப்பினர்	членство
உறுப்பினர்	клієнта
உறுப்பினர்	клієнт
ஆசிரியர்	редактор
ஆசிரியர்	викладач
ஆசிரியர்	вчителю
ஆசிரியர்	вчитель
ஆசிரியர்	учитель
ஆசிரியர்	вчителька
ஆசிரியர்	автор
ஆசிரியர்	автора
ஆசிரியர்	автором
ஆஃப்	off
ஆஃப்	вимкнено
முக்கியமான	важлива
முக்கியமான	важливі
முக்கியமான	важливий
முக்கியமான	важливе
முக்கியமான	важливо
முக்கியமான	критична
முக்கியமான	критичні
முக்கியமான	критичний
தொடர்பு	контакт
தொடர்பு	контактна
செய்தார்	рахував
செய்தார்	зробили
செய்தார்	вчинили
செய்தார்	робили
ஜூலை	липень
ஜூலை	липні
ஜூலை	липня
ஆற்றல்	енергія
கிலோ	кіло
வேலை	роботи
வேலை	робота
வேலை	працюю
வேலை	працюють
வேலை	роботу
வேலை	робочий
வேலை	завдання
வேலை	робота
இருக்கலாம்	maybe
இருக்கலாம்	можливо
சமய	релігійна
சமய	релігійні
பணி	завдання
பணி	робота
பணி	роботи
பணி	робота
பணி	працюю
பணி	працюють
பணி	роботу
பணி	робочий
பணி	задачу
பணி	завдання
