салон	சலூன்
тереза	தெரேசா
тереза	தெரேசா
держит	வைத்திருக்கிறது
четверть	கால்
четверть	காலாண்டு
приобрести	வாங்குதல்
приобрести	வாங்கு
повысить	விளம்பரம்
повысить	மேம்படுத்து
повысить	பூஸ்ட்
повысить	விளம்பரப்படுத்துதல்
защищает	பாதுகாக்கிறது
защищает	பாதுகாக்கும்
особая	விசேஷ
особая	சிறப்பு
особая	சிறப்பான
буддизм	பௌத்தம்
ген	மரபணு
ген	ஜென்
смешанные	கலந்த
смешанные	கலவை
смешанные	கலப்பு
призы	கோப்பைகளும்
адамс	ஆடம்ஸ்
мятеж	கிளர்ச்சி
социальное	சமூகங்கள்
социальное	சோஷியல்
социальное	சமூகம்
социальное	சமூக
просмотр	உலாவுதல்
просмотр	பார்க்கிறார்
просмотр	உலாவுதல்
просмотр	உலாவல்
просмотр	பார்வை
просмотр	காட்சி
просмотр	காட்டு
подъёма	உயிர்
максимальное	அதிகபட்சம்
максимальное	அதிகபட்ச
рика	ரிக்
рика	ரிகா
телефоны	ஃபோன்கள்
телефоны	போன்கள்
неизвестный	தெரியாதவர்
неизвестный	தெரியாத
неизвестный	தெரியாதது
шарлотта	சார்லோட்
тайвань	தைவான்
миф	கட்டுக்கதை
убежище	தங்குமிடம்
убежище	சரணாலயம்
убежище	அடைக்கலம்
убежище	புகலிடம்
мышь	சுட்டி
мышь	எலி
мышь	சொடுக்கி
тенденция	trend
биг	பெரியது
биг	பெரிய
биг	bih
тезис	ஆய்வறிக்கை
потребности	தேவைகளை
потребности	தேவைகள்
катера	படகுகள்
кен	கென்
подтверждена	உறுதி
подтверждена	உறுதிசெய்யப்பட்டது
рождество	கிறிஸ்துமஸ்
ральф	ரால்ப்
стандартный	வழக்கமானது
стандартный	நிலையானது
стандартный	நிலையான
отделений	அலுவலகங்கள்
отделений	கிளைகள்
сул	sul
чистый	net
чистый	நெட்
чистый	சுத்தமாக
чистый	சுத்தமான
чистый	தூய்மையான
чистый	தூய்மை
чистый	தூய
тепло	வெப்பம்
тепло	வெப்பத்தை
тепло	வெயிலின்
тепло	வெதுவெதுப்பான
тепло	பூசி
мартинес	மார்டினெஸ்
мартинес	martínez
таджикистан	தஜிகிஸ்தான்
погода	வானிலை
погода	காலநிலை
удаляется	நீக்கப்பட்டது
удаляется	அகற்றப்பட்டது
суды	நீதிமன்றங்கள்
герцогства	duchy
джейми	ஜேமி
банкноты	banknotes
раннее	சீக்கிரமாக
болота	சதுப்பு
окружности	வட்டங்கள்
окружности	சுற்றளவு
празднование	கொண்டாடுகின்றனர்
празднование	கொண்டாடுகிறார்
празднование	கொண்டாட்டம்
празднование	கொண்டாட்டங்கள்
празднование	கொண்டாட்டம்
спорных	சர்ச்சைக்குரிய
римлян	ரோமர்
длинная	லாங்
длинная	long
длинная	நீண்ட
дождь	மழை
рено	ரெனோ
рено	ரெனால்ட்
мкф	icf
вов	wwii
продать	விற்க
продать	விற்கவும்
продать	விற்பனை
колесо	வீல்
колесо	சக்கர
колесо	சக்கரம்
клиент	வாடிக்கையாளர்
клиент	வாடிக்கையாளரின்
клиент	வாடிக்கையாளர்
клиент	உறுப்பினர்
клиент	கிளையன்ட்
прибыла	வந்தது
быков	காளைகள்
сохранять	சேமி
ударных	தாள
шум	சத்தம்
шум	இரைச்சல்
сталь	ஸ்டீல்
сталь	எஃகு
говард	ஹோவர்ட்
скот	ஸ்காட்
скот	மாடு
скот	கால்நடைகள்
скот	கால்நடை
скот	கால்
скот	பருகும்
органических	இயல்பான
органических	ஆர்கானிக்
серп	அரிவாள்
кальция	கால்சியம்
робот	தானியங்கி
робот	ரோபாட்
робот	ரோபோ
ева	ஈவா
ева	இவா
ева	ஈவ்
ева	மாலை
филиппины	பிலிப்பைன்ஸ்
заболевание	நோய்
заболевание	நோய்
ствол	துப்பாக்கி
шер	செர்
справедливо	நியாயமா
справедливо	கண்காட்சி
справедливо	நியாயமாக
справедливо	நியாயம்
тренеров	பயிற்சியாளர்கள்
мирза	மிர்சா
запрещены	தடை
цифра	இலக்க
цифра	figure
кэти	கேத்தி
кэти	கேத்தி
кэти	கதி
водителя	டிரைவர்
водителя	இயக்கி
лиссабон	லிஸ்பன்
металлургии	உலோகவியல்
серого	பழுப்பு
серого	கிரே
серого	சாம்பல்
осуществление	ஆவண
творческих	படைப்பு
джорджия	ஜார்ஜியா
спектра	ஸ்பெக்ட்ரம்
норт	வடக்கே
норт	வட
норт	வடக்கு
домохозяйства	குடும்பத்தாரையும்
нести	சுமந்து
побег	எஸ்கேப்
визита	விஜயம்
визита	வருகை
визита	பார்க்கவும்
ввод	உள்ளீடு
ввод	தட்டச்சு
ввод	நுழையும்
ввод	நுழை
ввод	உள்ளிடு
ввод	நுழைந்து
ввод	உள்ளிடவும்
измерений	அளவியல்
документация	ஆவணங்கள்
бордо	bordeaux
спора	புகாரை
спора	தகராறு
спора	தர்க்கம்
производительность	செயல்திறன்
заняты	busy
существенные	substantial
существенные	குறிப்பிடத்தக்கது
существенные	குறிப்பிடத்தக்க
двигаться	நகர்ந்து
двигаться	நகர்த்து
двигаться	நகரும்
лена	லேனா
уважение	மரியாதை
уважение	மரியாதையை
подтверждаю	உறுதி
подтверждаю	உறுதிசெய்யப்பட்டது
капитаны	தளபதிகள்
воздушная	வான்வழி
воздушная	ஏரியல்
самоубийство	தற்கொலை
томпсон	தாம்சன்
голландский	டச்சு
голландский	டச்
снаряда	எறியம்
мемуары	memoirs
мемуары	memoir
подземный	நிலத்தடி
живые	வாழ்ந்து
живые	வாழும்
живые	வசிக்கும்
живые	வாழ்வது
живые	உயிருடன்
живые	உயிரோடு
фбр	fbi
винсент	வின்சென்ட்
мар	mar
рикардо	ரிக்கார்டோ
ходил	தவிக்க
ходил	நடந்தார்
змей	பாம்பு
змей	பாம்புகள்
авария	விபத்தில்
авария	செயலிழப்பு
авария	விபத்தில்
вождь	தலைவன்
вождь	தலைமை
присоединяется	இணைகிறார்
предприниматели	தொழில்முனைவோர்
квартале	கால்
квартале	காலாண்டு
включено	அடங்கும்
включено	இயக்கப்பட்டது
включено	செயலாக்கப்பட்டது
включено	செயல்படுத்தப்பட்டது
костюмы	சாதிகள்
бан	தடை
бан	பன்
ромео	ரோமியோ
бронза	வெண்கல
редактировать	தொகு
редактировать	தொகுக்க
редактировать	திருத்து
шаги	படிகள்
шаги	அடிகள்
вставить	நுழை
вставить	நுழைக்க
вставить	செருகு
вставить	ஒட்டு
вставить	சொற்றொடர்
алжира	அல்ஜீரிய
алжира	அல்ஜீரியா
филип	பிலிப்
николя	நிக்கோலஸ்
николя	நிக்கோலா
квалификация	தகுதியுள்ள
квалификация	தகுதிகள்
квалификация	தகுதி
сантос	சாண்டோஸ்
организаторы	ஏற்பாட்டாளர்கள்
организаторы	படைகளும்
организаторы	புரவலன்
организаторы	வழங்குபவர்
переводить	மொழிபெயர்ப்பு
переводить	மொழிபெயர்க்க
переводить	முக்கோணம்
грамотности	எழுத்தறிவு
походы	உயர்வுகள்
походы	முகாம்
моряков	மாலுமிகள்
потеря	இழப்பது
потеря	இழப்பு
профессионально	தொழில்முறையில்
получен	பெறப்பட்டது
получен	பெற்றவை
получен	பெறப்பட்ட
французское	பிரெஞ்சு
имеющихся	கிடைக்கும்
имеющихся	கிடைக்க
имеющихся	உண்டு
имеющихся	இருக்கிறது
имеющихся	உள்ளது
секрет	இரகசியம்
секрет	ரகசிய
секрет	ரகசியம்
секрет	சீக்ரெட்
электрические	மின்னியல்
электрические	மின்சார
камеру	காமிரா
камеру	கேமரா
этнических	இன
чужой	ஏலியன்
чужой	அந்நியன்
излучение	கதிர்வீச்சு
принести	கொண்டுவா
принести	கொண்டு
семян	விதை
семян	வித்து
электрический	மின்னியல்
электрический	மின்சார
электрический	மின்
электрический	மின்சார
комплект	அமை
комплект	கிட்
комплект	kit
чэнь	சென்
лоуренс	லாரன்ஸ்
полицейские	போலீசார்
полицейские	காவலர்கள்
полицейские	காவல்துறை
полицейские	போலீஸ்
полицейские	காவல்துறையினர்
полицейские	காவல்
полицейские	போலிஸ்
утвержден	அனுமதிக்கப்பட்டது
утвержден	அங்கீகரிக்கப்பட்டது
сухопутные	புவிப்புறத்
собственная	சொந்த
собственная	சொந்தம்
богиня	இறைவி
богиня	தெய்வம்
рид	ரெய்ட்
рид	ரீட்
отпуск	விடுமுறை
мэттью	மேத்யூ
мэттью	மத்தேயு
медицинское	மருத்துவம்
медицинское	மருத்துவ
замки	பூட்டுகள்
эрнест	எர்னஸ்ட்
уверены	தன்னம்பிக்கை
уверены	தன்னம்பிக்கையை
треугольник	முக்கோணம்
дональд	டொனால்ட்
автоматического	தானியங்கு
автоматического	தானியங்கி
автоматического	தன்னியக்கம்
автоматического	தன்னியக்கமாக
автоматического	தன்னியக்க
мыши	எலிகள்
мыши	சுட்டி
мыши	எலி
мыши	சொடுக்கி
лагерей	முகாம்கள்
реабилитации	மறுவாழ்வு
симона	சிமோன்
рик	ரிக்
оригинальная	மூலம்
оригинальная	மூல
оригинальная	மெய்யான
оригинальная	ஒரிஜினல்
оригинальная	அசல்
богатый	பணக்காரன்
грэм	கிரயேம்
грэм	கிரகாம்
призыв	முறையீடு
призыв	மேல்முறையீடு
чехов	செக்கோவ்
ибрагим	இப்ராஹிம்
ибрагим	இப்ராஹீம்
ибрагим	இப்ராகிம்
протокола	நெறிமுறை
канадская	கனடிய
канадская	கனேடிய
послов	தூதரகங்களை
моисей	மோசே
моисей	மூஸா
моисей	மூஸா
предки	முன்னோர்கள்
дайте	கொடுங்கள்
дайте	கொடு
дайте	கொடுப்பான்
дайте	கொடுக்க
записано	பதிவுசெய்யப்பட்டது
корень	வேர்
черный	கருப்பு
черный	கறுப்பு
аполлон	அப்பல்லோ
кении	கென்யா
иностранный	அன்னிய
иностранный	வெளிநாட்டு
шансы	வாய்ப்புகளை
шансы	வாய்ப்புக்கள்
раса	பந்தயம்
раса	இனம்
точные	துல்லியமாக
точные	துல்லியமான
обещал	வாக்களிக்கப்பட்ட
ближнем	நடுவில்
ближнем	நடு
решительно	உறுதியாக
непрерывно	தொடர்ச்சியாக
непрерывно	தொடர்ச்சியான
непрерывно	தொடர்ச்சி
определять	தீர்மானிக்க
опасных	ஆபத்தானது
опасных	அபாயகரமானது
опасных	ஆபத்தான
филиппин	பிலிப்பைன்ஸ்
филиппин	பிலிப்பைன்
предпринимателей	தொழில்முனைவோர்
пятое	ஐந்தாம்
пятое	ஐந்தாவது
шеф	தலைவன்
шеф	தலைமை
исчезает	மறைகிறது
фестивалей	விழாக்கள்
физически	உடல்ரீதியாக
физически	உடலும்
инди	இண்டி
пособия	பலன்கள்
пособия	நன்மைகள்
покрытием	பூசப்பட்ட
активисты	ஆர்வலர்கள்
ничто	எதுவும்
ничто	ஒன்றும்
ничто	ஒன்றுமில்லை
ничто	எதுவுமில்லை
новость	செய்திகள்
новость	செய்தி
новость	கதை
новость	செய்தி
чешской	செக்
идеология	கருத்தியல்
идеология	சித்தாந்தம்
идеология	சித்தாந்தங்கள்
вилла	வில்லா
нейтральной	தெரியவில்லை
нейтральной	நடுநிலை
тень	நிழல்
тень	நிழலை
тень	நிழலில்
тень	நிழலும்
тень	நிழல்
тень	சாயல்
лауреатов	laureates
рассуждения	பகுத்தறிதல்
терминал	முனையம்
упор	அழுத்தம்
племен	பழங்குடி
племен	பழங்குடிகள்
активистов	ஆர்வலர்கள்
бин	தொட்டி
бин	பீன்
бин	மொச்சை
тепла	வெப்பம்
тепла	வெப்பத்தை
тепла	வெயிலின்
традиционная	பாரம்பரிய
традиционная	பாரம்பரியம்
купол	டோம்
миссисипи	மிசிசிப்பி
конкуренции	போட்டி
бернард	பெர்னார்ட்
смита	ஸ்மித்
маска	முகமூடி
дели	டில்லி
дели	டெல்லி
дели	தில்லி
обширные	நிறைவான
ионов	ions
задних	பின்புறம்
принимая	எடுக்கும்
принимая	எடுக்கிறார்
принимая	எடுத்து
платить	செலுத்து
платить	ஊதியம்
враги	எதிரி
враги	பகைவர்கள்
враги	எதிரிகள்
мексиканский	மெக்சிகன்
кошки	பூனைகள்
кошки	கேட்ஸ்
исход	யாத்திராகமம்
протесты	போராட்டம்
протесты	எதிர்ப்புகள்
строка	வரி
строка	கோடு
строка	சரம்
строка	தொடர்ச்சி
строка	வரிசை
строка	கிடக்கை
требовал	கிராக்கி
соломон	சாலமன்
сторонник	ஆதரவாளர்
мягко	மென்மையாக
альбрехт	ஆல்பிரெஃக்ட்
передние	முன்
передние	முன்னணி
передние	முன்னால்
миров	உலகின்
миров	உலகங்கள்
помогло	உதவியது
молдова	மால்டோவா
листов	தாள்கள்
листов	தாள்
мэй	மே
трофей	கோப்பை
содержащих	கொண்டுள்ள
спасителя	மீட்பர்
спасителя	மீட்பர்
сохраняет	சேமிப்புகள்
призрак	ஆவி
призрак	பேய்
призрак	phantom
акцент	அழுத்தம்
акцент	உச்சரிப்பில்
текущее	நடப்பு
текущее	தற்போதைய
ожидания	எதிர்பார்ப்பு
ожидания	எதிர்பார்ப்புகள்
ожидания	எதிர்பார்ப்பும்
ранены	காயமடைந்தனர்
ранены	படுகாயம்
ранены	காயமடைந்த
пациента	நோயாளி
серые	பழுப்பு
серые	கிரே
серые	சாம்பல்
серые	பழுப்பு
серые	சாம்பல்
восприятие	மலிவுச்
джоан	ஜோன்
помогли	உதவியது
самец	ஆண்
хелен	ஹெலன்
симптомы	அறிகுறிகள்
лошадь	குதிரை
ника	நிக்
солнечный	சன்னி
солнечный	வெயில்
солнечный	வெய்யில்
диана	டயானா
диана	டயான்
уэйн	வெய்ன்
вернер	வெர்னர்
арабские	அரபு
коммерческие	வணிக
коммерческие	வணிகம்
даллас	டல்லாஸ்
миллиардов	பில்லியன்
завершение	நிறைவு
завершение	முடிகிறது
завершение	முடித்த
атаковал	தாக்கிய
джесси	ஜெஸ்ஸி
джесси	ஜெஸ்ஸி
хуана	ஜுவான்
временные	தற்காலிக
перси	பெர்சி
гамильтон	ஹாமில்டன்
рамон	ரமோன்
обзора	மதிப்பாய்வு
обзора	மதிப்புரை
обзора	கண்ணோட்டம்
неофициальный	அதிகாரப்பூர்வமற்ற
агентов	முகவர்கள்
баланс	சமநிலை
баланс	மீதம்
баланс	balance
баланс	மீதி
баланс	இருப்பு
персии	persia
псков	pskov
разведка	உளவுத்துறை
разведка	புலனாய்வு
разведка	நுண்ணறிவு
разведка	reconnaissance
ткань	துணி
ткань	திசு
ткань	துணி
несоответствие	பொருந்தவில்லை
рыцари	மாவீரர்கள்
низ	nih
низ	கீழே
низ	கீழ்
низ	கீழ
регистрация	பதிவு
регистрация	பதிவுசெய்தல்
регистрация	பதிவு
архангельск	arkhangelsk
гомер	ஹோமர்
служащий	பணியாளர்
миссий	பயணங்கள்
ужас	திகில்
ужас	பயம்
эльст	elst
консультант	ஆலோசகர்
поступления	வருவாய்
поступления	வருமானம்
поступления	வருவாய்
патент	காப்புரிமை
франкфурт	frankfurt
моделирования	மாடலிங்
моделирования	பாவனை
потоков	ஸ்ட்ரீம்கள்
читайте	வாசி
читайте	படியுங்கள்
читайте	வாசிக்க
читайте	படித்த
читайте	படித்தது
читайте	படி
лоренцо	லாரென்சோ
точной	துல்லியமாக
точной	துல்லியமான
отверстия	வேலைவாய்ப்புகள்
краков	கிராக்கோவ்
пятна	வெள்ளத்தை
зимбабве	ஜிம்பாப்வே
уши	காதுகளில்
уши	காதுகள்
нагрузка	ஏற்று
нагрузка	உள்வாங்கு
нагрузка	சுமை
андреас	andreas
блюда	பாத்திரங்கள்
переменных	மாறிகள்
джеки	ஜாக்கி
стекло	கிளாஸ்
стекло	கண்ணாடி
запрещена	தடுக்கப்பட்டு
запрещена	தடை
совершено	செய்து
бол	போல்
нпо	ngo
финансово	பணத்தால்
жив	உயிருடன்
жив	உயிரோடு
искусственный	செயற்கை
спросить	கேள்
спросить	கேட்க
эксперты	நிபுணர்கள்
трансляции	ஒளிபரப்பு
фауны	fauna
членство	உறுப்பினர்
майер	மேயர்
майер	மேயர்
норман	நார்மன்
кристи	கிறிஸ்டி
кристи	கிரிஸ்டி
кристи	கிறிஸ்டி
главу	அத்தியாயம்
голод	பஞ்சம்
голод	பசி
алтарь	பீடம்
страсти	மோகம்
антропологии	மானிடவியல்
товарищи	தோழர்கள்
отменил	ரத்துசெய்யப்பட்டது
слушателей	கேட்பவர்கள்
сет	அமை
сет	சேத்
роже	ரோஜர்
билет	டிக்கெட்
автоматическая	தானியங்கு
автоматическая	தானியங்கி
автоматическая	தன்னியக்கம்
автоматическая	தன்னியக்கமாக
автоматическая	தன்னியக்க
распад	சிதைவு
восточное	ஓரியண்டல்
восточное	கிழக்கு
похороны	அடக்கம்
крыши	கூரை
эмили	எமிலி
потребность	தேவையா
потребность	தேவை
потребность	வேண்டும்
бег	இயங்கும்
бег	ஓட்டம்
бег	ஓடும்
бег	இயங்குகிறது
бег	ரன்னிங்
крещение	ஸ்நானம்
крещение	ஞானஸ்நானம்
тов	டோவ்
карен	கரேன்
песнь	பாடலை
песнь	பாட்டு
песнь	பாடலைக்
песнь	பாடல்
песнь	பாடலைப்
рауль	ராவுல்
скала	ராக்
скала	பாறை
совместный	மூட்டு
улучшать	மேம்பட
анатомии	உடற்கூறு
духовный	ஆன்மீக
духовный	ஆன்மீகம்
духовный	ஆன்ம
духовный	சந்தேகங்களும்
владельцы	உரிமையாளர்கள்
беккер	becker
сахара	சஹாரா
поблизости	அருகில்
поблизости	அருகிலுள்ள
поблизости	அருகாமை
простая	சாதாரணம்
простая	சுலபமான
простая	எளிமையானது
простая	எளிய
кожа	தோல்
кожа	லெதர்
кожа	தோல்
плену	captivity
тимур	தைமூர்
дельта	டெல்டா
пак	பூங்கா
пак	பார்க்
пак	பாக்
террористов	பயங்கரவாதிகள்
террористов	தீவிரவாதிகள்
собранные	சேகரிக்கப்பட்ட
собранные	தொகுக்கப்பட்டது
плотины	அணை
плотины	dams
плотины	அணைகள்
ханство	khanate
японцы	ஜப்பானிய
религий	மதங்கள்
интеллектуальной	அறிவுசார்
автоматизации	ஆட்டோமேஷன்
страхования	இன்சூரன்ஸ்
страхования	காப்பீடு
положительный	நல்லது
положительный	நேர்மறை
положительный	நேர்
бренд	ப்ராண்ட்
бренд	பிராண்ட்
бренд	புத்தம்
бренд	பிராண்டு
инфекции	தொற்று
инфекции	தொற்று
пятая	ஐந்தாம்
пятая	ஐந்தாவது
отрицательно	எதிர்மறை
отрицательно	கெட்டது
перевели	மொழிபெயர்க்கப்பட்டது
синие	நீலம்
синие	நீல
бегство	விமானம்
хаус	வீடு
хаус	இல்லம்
хаус	வீட்டின்
найдена	கண்டு
найдена	கண்டேன்
найдена	கண்டறியப்பட்டது
нэнси	நான்சி
отмечали	கொண்டாடப்படுகிறது
напишите	எழுத
напишите	எழுது
напишите	எழுதவும்
бедных	ஏழை
бедных	பாவம்
бедных	மோசம்
гражданское	சிவில்
отдых	ஓய்வு
отдых	கேளிக்கை
отдых	விடுமுறை
отдых	ஓய்வு
отдых	விடுமுறை
чжоу	சவு
чжоу	சோ
забыли	மறந்துவிட்டேன்
забыли	மறந்து
забыли	நினைவில்லை
забыли	மறந்து
прокси	பதிலாள்
пули	தோட்டாக்கள்
носовой	nasal
ирландский	ஐரிஷ்
совместных	மூட்டு
пустой	காலி
пустой	காலியான
пустой	வெற்று
пустой	வெற்று
привлекает	கவர்ந்து
люси	லூசி
аляска	அலாஸ்கா
ноль	சுழி
ноль	nil
братской	சகோதர
первичные	முதன்மை
кэмпбелл	காம்ப்பெல்
пенсии	ஓய்வூதியம்
зло	தீய
зло	தீமைகள்
зло	தீங்கு
махмуд	மஹ்மூத்
махмуд	கசினி
махмуд	மஹ்மூத்
сетях	நெட்வொர்க்குகள்
ронни	ரோனி
вероника	வெரோனிகா
купола	டோம்
рона	ரான்
презентация	முன்வைப்பு
антонов	antonov
организованной	ஏற்பாடு
мат	தோழன்
мат	துணையை
мат	mat
мат	செக்மேட்
шлем	தலைக்கவசம்
шлем	கவசம்
комната	அறை
комната	அறையை
комната	ரூம்
подписано	கையெழுத்திட்ட
расстройства	கோளாறு
труба	பைப்
труба	குழாய்
труба	எக்காளம்
арабов	அரபியர்கள்
ставка	ஏலம்
ставка	மதிப்பிடு
ставка	மதிப்பிடவும்
ставка	விகிதம்
ставка	வீதம்
ставка	பந்தயம்
римляне	ரோமர்
бока	பார்க்கின்றேன்
баба	பாபா
рао	ராவ்
сельскохозяйственные	விவசாய
врата	வாயில்
врата	கேட்
врата	நுழைவாயில்
добычу	இரை
добычу	பூட்டி
психолог	உளவியலாளர்
глубокий	ஆழமான
глубокий	ஆழ்ந்த
глубокий	ஆழமானது
глубокий	ஆழமாக
коробка	பெட்டி
лесли	லெஸ்லி
кенни	கென்னி
карачаево	karachay
сёстры	சகோதரிகளே
сёстры	சகோதரிகள்
сёстры	சகோதரிகளின்
изменено	மாறிவிட்டது
изменено	மாற்றப்பட்டது
изменено	மாற்றப்பட்ட
изменено	திருத்தப்பட்டது
изменено	மாற்றப்பட்டது
изменено	மாற்றப்பட்ட
набрать	டயல்
махараджа	மகாராஜா
харрис	ஹாரிஸ்
богатые	பணக்காரன்
физический	பூத
закрыты	மூடப்பட்ட
закрыты	மூடிய
закрыты	மூடியது
закрыты	மூடப்பட்டது
закрыты	மூடப்பட்டுள்ளது
паспорт	பாஸ்போர்ட்
паспорт	கடவுச்சீட்டு
вмешательство	குறுக்கீடு
вмешательство	தலையீடு
опытные	அனுபவமிக்க
опытные	அனுபவம்
отображения	காட்சி
отображения	காட்டு
обратное	reverse
парагвая	பராகுவே
преобладает	நிலவும்
рейх	ரெய்க்
статистику	புள்ளிவிவரங்கள்
статистику	புள்ளிவிவரம்
статистику	புள்ளிவிவரங்கள்
ветки	கிளைகள்
крыше	கூரை
рай	சொர்க்கம்
рай	சொர்க்கம்
демократия	நாயகம்
демократия	ஜனநாயகம்
демократия	மக்களாட்சி
контент	உள்ளடக்கம்
контент	கொள்கலன்
серая	பழுப்பு
серая	கிரே
серая	சாம்பல்
серая	பழுப்பு
серая	சாம்பல்
шмидт	ஸ்கிமிட்
психиатрии	psychiatry
землетрясение	நிலநடுக்கம்
кошка	பூனையை
кошка	பூனை
обратный	reverse
стадия	நிலையில்
стадия	மேடை
съемки	படப்பிடிப்பு
син	ஷின்
син	பாவம்
син	பாவத்தை
син	இன்கள்
персонал	ஊழியர்களுக்கான
персонал	பணியாளர்களின்
персонал	ஊழியர்கள்
персонал	பணியாளர்கள்
персонал	ஊழியர்
флоры	flora
алессандро	alessandro
купер	கூப்பர்
раствор	திடமான
раствор	கரைசல்
раствор	தீர்வு
дикой	வனவிலங்குகள்
