точное	precise
чрезвычайный	extraordinary
критическое	critical
используемые	used
прощения	forgiveness
райан	ryan
особняк	mansion
хлеб	bread
избрана	elected
сады	orchards
сады	gardens
слоя	layer
движок	engine
девочки	girls
освободить	release
освободить	liberate
гипотезы	hypotheses
середина	mid
медицинская	medical
логично	logically
логично	logical
выпускников	alumni
выпускников	graduates
жаль	pity
месяцы	months
индонезия	indonesia
дизайнер	designer
стол	table
стол	desk
луиджи	luigi
исчезли	disappeared
могилы	graves
томми	tommy
королевская	royal
белков	proteins
способствовало	contributed
соглашается	agrees
чан	chang
чан	chan
чан	jang
улицах	streets
казнь	execution
тольятти	togliatti
морис	maurice
совершает	commits
самцы	males
убедить	convince
убедить	persuade
технику	technique
частного	private
оригинальные	original
цветы	flowers
рыцарь	knight
прокат	rental
прокат	rent
литве	lithuania
первомайский	pervomaysky
родригес	rodriguez
родригес	rodrigues
родригес	rodríguez
дам	dam
наблюдать	observe
кама	kama
тэц	chp
печатных	printed
северное	northern
ценностей	values
квадратный	square
малайзии	malaysia
малайзии	malaysian
реплика	cue
одежда	clothing
одежда	clothes
промышленные	industrial
тяжёлая	heavy
мкс	iss
мкс	irc
мкс	icm
мкс	cie
оппонентов	opponents
вдова	widowed
вдова	widow
грибы	mushrooms
грибы	fungi
грибы	mushroom
идеологии	ideology
идеологии	ideologies
разрешить	authorize
разрешить	allow
разрешить	permit
барбара	barbara
признали	acknowledged
признали	recognised
признали	recognized
верфи	shipyard
псевдонимы	aliases
законодательство	legislation
ксения	xenia
ксения	ksenia
ганс	hans
сзади	behind
сзади	rear
иллинойс	illinois
тон	ton
тон	tone
планете	planet
леви	levi
леви	levy
потомков	descendents
потомков	descendants
регистр	register
регистр	registry
прототип	prototype
творческий	creative
геологии	geology
химический	chemical
астрономы	astronomers
препараты	medications
нижние	lower
чистой	clean
украинцы	ukrainians
украинцы	ukrainian
продолжая	continuing
коды	codes
среду	wednesday
уголовное	criminal
капитал	capital
монография	monograph
росс	ross
гвинеи	guinea
гвинеи	guinean
вкус	taste
вкус	tastes
вкус	flavor
ссылается	refers
ссылается	invokes
племя	tribe
дама	lady
дама	dame
атлетика	athletics
трудящихся	workers
ставки	bets
ставки	betting
ставки	rates
ставки	stakes
люблю	love
подруга	girlfriend
подруга	friend
сицилии	sicily
клиентов	customer
клиентов	customers
клиентов	clients
выпускник	graduate
возникновение	emergence
остановка	stopping
гвинея	guinea
реформа	reforming
реформа	reform
войти	login
войти	enter
скрипки	violins
дева	virgo
дева	virgin
дева	maiden
травму	trauma
висит	hangs
висит	hanging
полицейских	policemen
конвенции	convention
конвенции	conventions
местоположения	locations
обнаружить	discover
душа	shower
душа	soul
медведь	bear
чёрное	black
эхо	echoes
эхо	echo
кипра	cyprus
быстрый	quick
быстрый	fast
кратеров	craters
тан	tang
тан	tan
спектр	spectre
спектр	spectrum
спектр	specter
курт	kurt
курт	curt
ширину	width
нации	nation
джин	jin
джин	gin
джин	jean
джин	gene
продано	sold
материнская	maternal
мощный	powerful
кругах	circles
записать	record
испанская	spanish
комплексы	complexes
разнообразные	diverse
мол	mal
мол	mol
моложе	younger
интерпретации	interpretations
льда	ice
северные	northern
сопровождении	escorted
обоснования	justifications
зимний	winter
институты	institutes
институты	institutions
немецкое	german
норвежский	norwegian
командиров	commanders
взяв	taking
лейтенанты	lieutenants
вулкан	volcano
вулкан	vulcan
дополнительная	additional
дополнительная	extra
десятилетий	decades
выросла	grew
гостиницы	hotels
конкретный	specific
конкретный	concrete
верить	believe
купить	buy
верность	fidelity
верность	loyalty
поднять	elevate
поднять	lift
поднять	raise
плата	fee
репутацию	reputation
школьников	schoolchildren
коммуникации	communications
костюм	costume
костюм	suit
избирательный	selective
маяк	lighthouse
маяк	beacon
норма	norma
норма	norm
отдельное	separate
воин	warrior
крус	cruz
отбора	selection
бойцы	combatants
бойцы	fighters
лук	allium
лук	onions
лук	onion
лук	bow
ушел	gone
прусской	prussian
бабушка	grandmother
бабушка	granny
бабушка	grandma
фишер	fisher
фишер	fischer
симфония	symphony
скажите	say
разрешено	authorised
разрешено	allowed
разрешено	permitted
разрешено	authorized
гражданские	civil
гражданские	civilian
гражданские	civilians
марино	marino
александров	alexandrov
вызвали	summoned
яковлев	yakovlev
богдан	bogdan
проектирование	design
проектирование	designing
функционирования	functioning
низкая	low
краснодар	krasnodar
завершено	completed
завершено	finished
сталинская	stalinist
франс	frans
франс	france
индейцы	indians
трио	trio
польшу	poland
толщиной	thick
достоинство	dignity
верующих	believers
верующих	faithful
пустыни	desert
пустыни	deserts
оборона	defense
оборона	defence
оборона	defensive
аллен	allen
технически	technically
дяди	uncles
христос	christ
героиня	heroine
снята	withdrawn
эрика	erika
эрика	erica
требовать	require
приобретает	acquires
согласиться	agree
упомянуть	mention
пещера	cave
кабардино	kabardino
снимаю	filming
гости	visitors
гости	guests
обнаружена	discovered
обнаружена	detected
переворот	coup
южные	southern
афганистан	afghanistan
перри	perry
обслуживание	services
обслуживание	service
религиозный	religious
сортов	varieties
выделение	selection
вероятности	probabilities
степанов	stepanov
банки	banks
банки	jars
банки	cans
патриархата	patriarchate
используемый	used
настоящие	real
настоящие	authentic
тяжёлый	heavy
сорок	forty
ларри	larry
курган	kurgan
зам	zam
временной	temporal
запретить	ban
запретить	prohibit
крыша	rooftop
крыша	roof
промышленный	industrial
продюсеры	producers
объяснение	explanation
уэст	west
атмосферу	atmosphere
добавления	additions
добавления	appendices
прорыв	breakthrough
сложный	complex
сложный	complicated
лат	lat
мастерство	craftsmanship
мастерство	mastery
мастерство	skill
сущность	essence
дизель	diesel
приоритет	priority
кратко	briefly
кратко	brief
боли	pain
секс	sex
уолтер	walter
инцидент	incident
посредничества	mediation
серый	gray
серый	grey
филармонии	philharmonic
точность	precision
точность	accuracy
просмотра	viewing
политбюро	politburo
альянс	alliance
заявляет	declares
изящных	dainty
проза	prose
упорно	stubbornly
белки	protein
белки	proteins
белки	squirrels
мяса	meat
управляет	manages
скандал	scandal
петровский	petrovsky
разницы	margin
свадьбы	weddings
свадьбы	wedding
ранение	injury
ранение	wound
подразумевает	implied
подразумевает	implies
фсб	fsb
пенсильвания	pennsylvania
арбитра	arbitrator
цепь	circuit
цепь	chain
видна	visible
пруд	pond
звёздный	stellar
пятой	fifth
волгоград	volgograd
делегации	delegations
умершего	deceased
заменены	replaced
процессор	processor
процессор	cpu
изредка	occasionally
эксперименты	experimenting
эксперименты	experiments
эксперименты	experimentation
монах	friar
монах	monk
гражданина	citizen
флоренции	florence
занят	busy
баз	bases
баз	baz
добровольцев	volunteers
добровольцев	volunteer
рождение	births
рождение	birth
отменить	cancel
отменить	undo
винтовки	rifles
самостоятельный	autonomous
доски	boards
доски	planks
отступить	retreat
очевидна	obvious
вступление	intro
существо	wesen
существо	creature
открытая	open
знати	nobles
принесли	brought
единство	unity
восьмой	eight
восьмой	eighth
столкновение	collision
столкновение	clash
батарея	battery
оценил	rated
оценил	appreciated
топливо	fuel
топливо	fuels
зенит	zenit
зенит	zenith
педагогических	pedagogic
педагогических	pedagogical
кристаллическая	crystalline
рико	rico
снятие	withdrawals
снятие	lifting
снятие	withdrawal
прекращения	termination
купил	purchased
купил	bought
срочно	urgent
срочно	urgently
петрозаводск	petrozavodsk
похожие	similar
похожие	lookalike
врачи	physicians
врачи	doctors
глубину	depth
галактики	galaxies
собирать	collect
уникальный	unique
павловна	pavlovna
массачусетс	massachusetts
мюллер	müller
мюллер	mueller
мюллер	muller
мостов	bridges
миллион	million
экспериментов	experimentation
комнаты	rooms
ралли	rally
сократить	shorten
сократить	reduce
сократить	cut
стрельба	shooting
стрельба	gunfire
раскопки	excavation
раскопки	excavations
корпорация	corporation
австрийская	austrian
вершина	apex
вершина	vertex
перестал	stopped
стрелок	shooter
стрелок	gunman
региональный	regional
резиденция	residence
катание	skating
католицизм	catholicism
эпитет	epithet
изготовление	manufacture
изготовление	manufacturing
изготовление	making
победителей	winners
пользователи	users
полу	semi
борисов	borisov
землетрясения	earthquakes
землетрясения	earthquake
колоний	colonies
христиане	christian
христиане	christians
рнк	rna
тыл	rear
кипр	cyprus
мифы	myths
судьбу	destiny
судьбу	fate
глубины	depths
глубины	depth
огпу	ogpu
ногу	foot
ногу	leg
страх	fear
страх	awe
интересная	interesting
заседания	meetings
побеждает	wins
разработчик	developer
статуи	statues
активная	active
оперативной	operational
начальное	primary
растворяется	dissolves
заметили	noticed
вмешательства	interference
вмешательства	intervention
корона	crown
корона	corona
политиков	politicians
посла	ambassador
регулярного	regular
нова	nova
разногласия	differences
разногласия	disagreement
разногласия	disagreements
операторы	operators
производственного	productive
эмигрировал	emigrated
риа	ria
традиционный	traditional
генералов	generals
фонтан	fountain
авторство	authorship
ресторан	restaurant
присутствовали	attended
углы	corners
углы	angles
партизаны	partisans
отчет	report
экспорт	exports
экспорт	export
экспорт	exporting
антония	antonia
целое	integer
целое	whole
фёдоровна	feodorovna
вещь	thing
подтверждено	confirmed
лёгкий	lightweight
шведская	swedish
товарищества	camaraderie
враг	enemy
изменилось	changed
богдана	bohdan
наследник	heir
коммунистическая	communist
широкая	broad
широкая	wide
мюзикл	musical
резерв	reserves
резерв	reserve
репрессий	repression
репрессий	reprisals
репрессий	reprisal
прозвища	nicknames
безуспешно	unsuccessfully
поняли	understood
интересный	interesting
реальные	real
теннис	tennis
ключи	keys
лавры	laurels
сделанные	made
восприятия	perceptions
банды	gangs
татарский	tatar
духовное	spiritual
славу	fame
славу	glory
таиланд	thailand
финансирование	financing
финансирование	funding
финансирование	finance
младшая	younger
глазго	glasgow
соперников	rivals
пакистан	pakistan
робин	robin
робин	robyn
библиотек	libraries
угроза	menace
угроза	threat
мтс	mts
председатели	chairs
председатели	chairmen
председатели	presidents
председатели	chairpersons
фёдоров	fyodorov
мозель	moselle
подростков	teens
подростков	teenagers
демо	demo
демо	demos
трагедия	tragic
трагедия	tragedy
заседание	session
заседание	meeting
ушла	gone
теоретик	theorist
луки	bows
луки	luca
луки	luka
таиланда	thailand
таиланда	thai
пройдя	passing
советники	advisers
советники	advisors
советники	councillors
троллейбус	trolleybus
отправили	shipped
отправили	sent
аэропорты	airports
гитлер	hitler
связанный	linked
оплаты	payment
организмов	organisms
присоединиться	join
хьюстон	houston
счастье	happiness
загрузки	downloads
холл	hall
культ	cult
домашнее	homemade
лесных	forest
никитин	nikitin
поколений	generations
македония	macedonia
утверждено	approved
волос	hair
создатели	creators
покрытия	cover
покрытия	coatings
ферма	farm
произносится	pronounced
грозный	grozny
условие	condition
объединять	combine
португальский	portuguese
низкий	low
древесины	wood
уменьшить	reduce
уменьшить	decrease
уменьшить	shrink
типичный	typical
геолог	geologist
мобильных	mobile
получены	received
азота	nitrogen
усовершенствования	improvements
усовершенствования	enhancements
дань	tribute
мозг	brain
мозг	brains
поднял	raised
бред	brad
бред	delirium
бред	delusional
дэнни	danny
дэнни	denny
секция	section
десятка	ten
десятка	dozen
нацистской	nazi
господин	mister
господин	dominus
богатых	rich
богатых	wealthy
сау	sau
биология	biology
акулы	sharks
акулы	shark
диалектов	dialects
сложность	difficulty
сложность	complexity
прибытия	arrival
осло	oslo
расписание	timetable
расписание	schedule
введено	introduced
квантовой	quantum
джонатан	jonathan
снималась	starred
оперативного	prompt
разрыв	breakup
разрыв	rupture
разрыв	gap
греки	greeks
греки	greek
проявления	manifestations
проявления	manifestation
богослов	theologian
эволюция	evolution
подписания	signing
подписания	signature
леонардо	leonardo
дипольный	dipole
сеньор	signor
водитель	driver
постоянная	permanent
постоянная	constant
монахов	monks
паоло	paolo
завоевать	conquer
вино	wine
бокс	boxing
откровенно	frankly
прожил	lived
рабов	slaves
формируется	forming
боливии	bolivian
боливии	bolivia
популярная	popular
желающие	wishing
шейх	sheikh
шейх	sheik
охлаждения	cooling
охлаждения	refrigeration
путешественник	traveler
путешественник	traveller
гаити	haiti
арсенал	arsenal
отбор	selection
заменена	replaced
автономии	autonomy
мадам	madam
мадам	madame
молока	milk
специалиста	specialist
словари	dictionaries
длительность	duration
окончательный	final
мера	measure
департаменты	departments
новичков	newbies
фазы	phases
рекорды	records
меню	menu
меню	menus
белград	belgrade
вилли	willy
вилли	willi
вилли	willie
хлеба	bread
куча	heap
владельцев	owners
кислот	acids
археологических	archeological
археологических	archaeological
сорока	forty
сорока	magpie
соблюдать	observe
наталия	natalia
приносит	brings
инициатором	initiator
дерби	derby
глеб	gleb
голода	starvation
голода	hunger
испанию	spain
ассамблеи	assemblies
ассамблеи	assembly
фернандес	fernandez
фернандес	fernández
фернандес	fernandes
снаружи	outside
археолог	archaeologist
александровка	alexandrovka
отмечена	tagged
отмечена	marked
баскетбол	basketball
константинополь	constantinople
гектаров	hectares
предпочтение	preference
предпочтение	preferred
общение	communication
общение	communicating
встретились	met
джефф	geoff
джефф	jeff
абд	abd
луч	beam
противоречия	contradictions
противоречия	contradiction
аст	ast
амстердам	amsterdam
эми	amy
антуан	antoine
цветок	flower
философские	philosophical
частная	private
цру	cia
цру	cla
калия	potassium
ленте	feed
морган	morgan
прокурор	prosecutor
мигель	miguel
равных	equal
равных	equals
коммуне	commune
сомали	somalia
сомали	somali
арк	arc
арк	ark
чай	tea
этапы	phases
этапы	stages
этапы	steps
этапы	milestones
размягчения	softening
родственники	relatives
содержащий	containing
доверие	confidence
доверие	trust
интерьер	interior
кинематическая	kinematic
уничтожено	destroyed
мэтт	matt
блоки	blocks
михаэль	michael
аргентинский	argentinian
хью	hugh
леопольд	leopold
склоне	slope
сер	sir
нормальная	normal
нос	nose
произношение	pronunciation
наследника	heir
пит	pete
пит	piet
адама	adam
адама	adama
ионизации	ionization
кишинёв	chișinău
уверенно	confident
анп	anp
абрамович	abramovich
кукол	dolls
луций	lucius
зерна	grain
зерна	grains
марг	marg
еврейские	jewish
габриэль	gabriel
габриэль	gabrielle
дракон	dragon
тенденции	trends
монархии	monarchy
балла	balla
разбил	wrecked
пекин	beijing
девочек	girls
дарья	darya
дарья	daria
жозе	jose
жозе	josé
поставки	shipments
поставки	supply
поставки	deliveries
поставки	supplies
грудь	chest
грудь	breast
грудь	breasts
новиков	novikov
интересует	interested
бросил	abandoned
бросил	threw
самолет	aircraft
самолет	plane
самолет	airplane
картер	carter
противостояние	confrontation
противостояние	opposition
противостояние	standoff
изабелла	isabel
изабелла	isabella
союзники	allies
заговора	conspiracy
противники	adversaries
противники	opponents
тула	tula
грузинская	georgian
допустимости	permissibility
расчёт	calculation
расчёт	calculate
хотела	wanted
чудо	marvel
чудо	miracle
чудо	wonder
юристы	lawyers
четвёртая	fourth
рак	cancer
редкие	rare
доходы	incomes
доходы	revenue
доходы	income
доходы	revenues
миссури	missouri
алматы	almaty
первоначальный	initial
поддерживается	supported
поддерживается	supports
потребления	consumption
женское	feminine
женское	female
университеты	universities
привлечения	attract
привлечения	attracting
вместимость	capacity
венесуэла	venezuela
изоэлектрическая	isoelectric
заговор	plot
заговор	conspiracy
добавлен	added
монтаж	mounting
монтаж	editing
программирование	programming
защищал	defended
торжественно	solemn
торжественно	solemnly
священников	priests
вселенная	universe
панели	panels
панели	dashboard
панели	panel
бизнесмен	businessman
резерва	reserve
зимние	winter
бич	beech
бич	beach
оливер	oliver
слышал	heard
макаров	makarov
сун	sun
горький	gorky
горький	bitter
удобно	convenient
удобно	comfy
удобно	comfortable
удобно	handy
лёгкие	lung
лёгкие	lungs
послание	message
послание	epistle
препарат	drug
произведено	produced
океании	oceania
скрипка	violin
избежание	avoiding
избежание	avoidance
молекулы	molecule
молекулы	molecules
скрипач	violinist
скрипач	fiddler
азербайджанская	azerbaijani
допускается	allowed
допускается	permitted
романович	romanovich
формах	forms
собраний	assemblies
померания	pomerania
терминологии	terminology
монреаль	montreal
вены	veins
вены	vienna
бонус	bonus
ирак	iraq
стамбул	istanbul
кнессета	knesset
изобретения	inventions
гнездо	nest
индию	india
стратегия	strategy
специальность	specialty
специальность	speciality
парламентские	parliamentary
важная	important
холокоста	holocaust
никарагуа	nicaragua
массе	mass
представительство	representation
местная	local
порты	ports
сообщили	reported
перес	peres
перес	perez
перес	pérez
реагирует	reacts
маркус	marcus
маркус	markus
адъютант	adjutant
энрике	enrique
энрике	henrique
уничтожен	destroyed
розы	roses
национальностей	nationalities
батарей	batteries
визит	visit
празднования	celebrations
александро	alexandro
уругвай	uruguay
готова	ready
виконт	vicomte
виконт	viscount
трактат	treatise
индиана	indiana
зайцев	zaitsev
пабло	pablo
канзас	kansas
цветной	colored
цветной	coloured
самолета	aircraft
конференций	conferences
разрушение	demolition
разрушение	destruction
дина	deena
дина	dinah
дина	dina
обновления	updates
обновления	update
колонна	column
колонна	convoy
ахмад	ahmad
объявления	announcements
объявления	classifieds
объявления	ads
персидского	persian
предположения	assumption
предположения	assumptions
рики	ricky
живет	lives
спасает	saves
полости	cavity
монголия	mongolia
перемещения	displacement
гамма	gamma
ссылаясь	recalling
ссылаясь	citing
профсоюзов	unions
гроссмейстер	grandmaster
посвященный	dedicated
забыл	forgotten
забыл	forgot
полос	lanes
последовало	followed
методики	methodologies
тропических	tropical
изменилась	changed
долг	duty
долг	debt
откат	kickback
ален	allen
ален	alain
колебаний	hesitation
бернар	bernard
беременности	pregnancy
полезные	useful
полезные	helpful
совместное	joint
лонг	long
равнины	plains
полезно	useful
полезно	helpful
санчес	sanchez
санчес	sánchez
гэри	gary
инфраструктура	infrastructure
металл	metal
уход	caring
уход	care
ребята	guys
неизвестен	unknown
скалы	cliffs
скалы	rocks
романенко	romanenko
домашний	home
домашний	homemade
лунный	lunar
комиссара	commissioner
оскорбление	insulting
оскорбление	insult
марс	mars
перечислены	listed
расти	rusty
расти	grow
моды	fashion
моды	mods
применить	apply
преподавания	teaching
сервера	servers
сервера	server
зарегистрировано	registered
единое	unified
этнографии	ethnography
рекомендую	recommend
комбинации	combinations
комбинации	combination
указатель	index
указатель	pointer
рог	horn
поместье	manor
поместье	estate
различие	distinction
различие	difference
зла	evil
окружение	environment
окружение	surroundings
адриан	adrien
адриан	adrian
порода	breed
альманах	almanac
хранение	possession
хранение	storage
возможен	possible
жертву	sacrifice
коалиция	coalition
спорить	arguing
документальных	documentary
правильное	correct
исследовал	explored
исследовал	researched
пропаганда	propaganda
зубы	teeth
треки	tracks
опасаясь	fearing
специализированных	specialised
специализированных	specialized
кучу	pile
ущелье	gorge
ущелье	ravine
доминик	dominick
доминик	dominique
доминик	dominik
шахматы	chess
будапешт	budapest
фактором	factor
казимир	casimir
животное	animal
тюрингия	thuringia
дракона	dragon
экспозиция	exposition
углерода	carbon
свидетелей	witnesses
кпм	pcf
преодолеть	overcome
усиление	strengthening
усиление	reinforcement
атаковали	attacked
легион	legion
дискография	discography
взвод	squad
взвод	platoon
точная	precise
точная	accurate
точная	exact
гоголя	gogol
богатства	riches
богатства	wealth
рейна	rhine
рейна	reina
рейна	raina
заключить	conclude
примечательно	remarkably
организм	organism
обряд	rite
личинки	maggots
личинки	larvae
личинки	striker
сообщается	reported
панорама	panorama
исключить	exclude
исключить	delete
опер	operas
монахи	monks
белок	protein
свердловская	sverdlovsk
временный	temporary
временный	temp
завершена	completed
завершена	finished
груневельд	groeneveld
консульство	consulate
кастро	castro
матрицы	matrices
матрицы	matrix
вызывать	summon
упадок	decline
взрослые	adults
взрослые	adult
арестованы	arrested
документальные	documentaries
медичи	medici
ранний	early
исчезновения	disappearances
исчезновения	disappearance
знакомство	familiarity
знакомство	acquaintance
иисус	jesus
итальянские	italian
компонент	component
объяснил	explained
искренне	sincerely
искренне	genuinely
удобства	convenience
удобства	amenities
вэй	wei
хорхе	jorge
спутники	satellites
спутники	satellite
спутники	moons
опытом	experiences
рон	roan
рон	ron
наблюдение	monitoring
наблюдение	observation
наблюдение	surveillance
наблюдение	observing
деда	grandpa
деда	grandfather
черепа	skulls
черепа	skull
герберт	herbert
якоб	jacob
якоб	jakob
словакия	slovakia
интеграции	integration
женщину	woman
актер	actor
мальчиков	boys
агломерации	agglomeration
марке	marche
успешного	successful
костей	bones
парков	parks
сделки	transactions
сделки	trades
сделки	deals
попробуйте	try
черт	damn
избирательного	selective
девиз	motto
девиз	slogan
николо	nicolò
сек	sec
салон	salon
греческая	hellenic
греческая	greek
тысячелетия	millennium
серийный	serial
земледелия	farming
лекарственных	medicinal
частное	private
риска	risk
зеркало	mirror
беседы	conversations
беседы	interviews
пересадка	transplantation
пересадка	transplant
регулярный	regular
рассказать	tell
грей	grey
райт	wright
вертолёт	helicopter
мали	malian
мали	mali
реакций	reactions
независимая	independent
грузовых	freight
украшения	jewellery
украшения	jewelry
украшения	decorations
правду	truth
уровни	levels
организатором	organizer
священники	priests
влиятельных	influential
разнообразие	diversity
разнообразие	variety
хирург	surgeon
брони	armor
признано	recognised
признано	acknowledged
признано	recognized
патрон	cartridge
патрон	patron
зомби	zombie
зомби	zombies
поворот	twist
поворот	turn
поворот	rotate
поворот	pivot
царей	tsars
гражданства	nationality
молитвы	prayers
ботанический	botanical
босния	bosnia
конечной	ultimate
дэйв	dave
алжир	algiers
алжир	algeria
коричневые	brown
саймон	simon
нила	neil
нила	nile
бтр	btr
саид	sayid
саид	syed
саид	said
саид	saeed
декан	dean
низким	low
повсеместно	ubiquitous
повсеместно	everywhere
феномен	phenomena
феномен	phenomenon
руды	ore
руды	ores
исправления	corrections
электрических	electrical
истины	truths
джеффри	geoffrey
джеффри	jeffrey
блюз	blues
ценные	valuable
эмблемы	emblem
нефть	oil
нефть	petroleum
существенное	significant
снег	snow
виа	via
детройт	detroit
показывать	show
целые	entire
целые	whole
водный	aqueous
преступников	outlaws
преступников	criminals
воля	will
экономии	austerity
теннесси	tennessee
дженнифер	jennifer
форд	ford
шар	char
шар	balloon
шар	ball
шар	orb
подарок	present
подарок	gift
очко	score
очко	point
субрегион	subregion
группировка	faction
группировка	grouping
стрелка	shooter
стрелка	arrow
жидкость	fluid
жидкость	liquid
свойство	property
этаж	floor
гранди	grandi
гродно	grodno
выполнено	fulfilled
выполнено	accomplished
филологии	philology
сербов	serb
сербов	serbs
контекста	context
тяжести	severity
луга	grasslands
луга	meadows
люксембурга	luxembourg
эна	ena
курорт	resort
вектор	vector
фантастический	fantastic
леона	leona
закончить	finish
мирное	peaceful
саха	saha
присоединение	accession
присоединение	joining
барабанщик	drummer
нож	knife
трудах	writings
тянет	pulling
акция	action
изобретение	invention
навыки	skills
навыки	skill
грубо	rude
бранденбург	brandenburg
уменьшение	reduction
уменьшение	reducing
уменьшение	decrease
санкции	penalties
санкции	sanctions
физическая	physical
ботаника	botany
рей	rey
рей	rae
рей	rei
рей	ray
викимедиа	wikimedia
индивидуальные	individual
спасение	saving
спасение	rescue
спасение	salvation
мичиган	michigan
минас	minas
кросс	cross
нельсон	nelson
снимок	snapshot
кисти	brushes
западное	western
фильтр	filter
герцогиня	duchess
закончилось	ended
электроники	electronics
квебек	quebec
сотрудничает	collaborates
сотрудничает	cooperates
колеса	wheel
колеса	wheels
аудио	audio
лукас	lucas
лукас	lukas
пал	pal
пал	fallen
мужские	male
компакт	compact
вычисления	compute
вычисления	computation
вычисления	computing
продал	sold
акул	sharks
реализм	realism
химическая	chemical
правильный	correct
операторов	operators
поляки	poles
тереза	therese
тереза	teresa
тереза	theresa
держит	keeps
четверть	quarter
приобрести	purchase
приобрести	acquire
повысить	boost
защищает	protects
особая	special
буддизм	buddhism
ген	gene
ген	gen
смешанные	mixed
призы	prizes
призы	trophies
адамс	adams
мятеж	revolt
мятеж	mutiny
мятеж	rebellion
социальное	social
просмотр	browse
просмотр	viewing
просмотр	browsing
просмотр	view
подъёма	vowel
максимальное	maximum
рика	rick
рика	rica
телефоны	phones
телефоны	telephones
неизвестный	unknown
социалистов	socialists
шарлотта	charlotte
буш	bush
тайвань	taiwan
миф	myth
убежище	shelter
убежище	sanctuary
убежище	asylum
убежище	refuge
мышь	mouse
тенденция	trend
тенденция	tendency
кузьмин	kuzmin
биг	big
биг	bih
тезис	thesis
богини	goddesses
потребности	needs
потребности	requirements
автомат	automaton
