kingdom	kuningriik
abordare	lähenemisviisi
vorbind	rääkides
mina	mina
pactului	pakti
pactului	pakt
cameron	cameron
revistele	ajakirjad
revistele	ajakirju
revistele	ajakirjade
decisiv	otsustav
sălbatice	wild
sălbatice	metsik
noroc	terviseks
definiția	mõiste
definiția	definitsioon
definiția	määratlus
stins	kustunud
stins	tuhmunud
averea	rikkust
averea	rikkuse
averea	rikkus
practicat	harjutanud
dați	anda
dați	anna
țintă	eesmärk
țintă	siht
țintă	märklaud
țintă	target
țintă	sihtmärk
comunitățile	kogukonnad
nenumărate	lugematuid
vânzare	müük
cunoștință	tuttav
vărul	nõo
vărul	nõbu
mer	mer
automată	automaat
automată	automaatsed
automată	automaatne
refugiați	pagulased
refugiați	pagulaste
fereastră	aken
fereastră	akna
rector	rektor
propagandă	propaganda
crească	kasvab
crească	kasvavad
crească	kasvatamine
crească	kasvama
crească	kasva
rebel	mässuliste
rebel	mässaja
lanțul	kett
lanțul	ketti
lanțul	ketid
lanțul	ahel
uruguay	uruguay
pascal	pascal
mecanica	mehaanika
iugoslaviei	jugoslaavia
damian	damian
roll	rulli
roll	veere
preluarea	tõmbamine
preluarea	ülevõtmine
coadă	järjekorda
coadă	järjekorra
coadă	järjekord
coadă	järjekorras
coadă	saba
judecător	kohtunik
semnează	märk
palermo	palermo
hugh	hugh
termică	termilise
laos	laos
argumentele	väited
argumentele	argumendid
fir	traat
fir	juhe
fir	niit
fir	lõime
legiunea	leegion
chip	chip
chip	kiip
prefect	prefekt
coroană	pärg
coroană	krooni
coroană	crown
coroană	kroon
localizată	asub
localizată	asuvad
localizată	lokaliseeritud
triburile	hõimud
mon	mon
lisa	lisa
platoul	platoo
păsările	linnud
arcul	vibu
arcul	kummardus
square	ruudu
square	ruut
square	väljak
doc	doc
doc	dok
încet	tasapisi
încet	aeglaselt
call	kõne
cerul	sky
cerul	taevas
esențiale	hädavajalik
transferul	üleviimine
transferul	ülekandmine
transferul	ülekanne
transferul	üleandmine
creatorul	looja
companiile	äriühingud
companiile	firmad
companiile	ettevõtted
silvia	silvia
silvia	sylvia
gibson	gibson
viktor	viktor
adulți	täiskasvanud
adulți	täiskasvanu
adulți	täiskasvanud
nivele	tasemed
copertă	kata
copertă	katke
copertă	katta
copertă	katma
atribuită	omistatud
atribuită	omistatud
atribuită	määratud
wood	puidust
wood	puit
abc	abc
geo	geo
coordonatele	koordinaadid
johan	johan
santos	santos
armament	relvastuse
armament	relvastuse
credit	krediidi
credit	krediit
credit	krediiti
simfonia	sümfoonia
visul	unistus
visul	dream
visul	unenägu
eddie	eddie
întreprinderi	ettevõtted
mir	mir
entități	üksused
pescuit	kalandus
pescuit	kalanduse
pescuit	kalandus
pescuit	kalapüük
pescuit	püük
proporție	osakaal
opoziția	vastulause
opoziția	opositsiooni
opoziția	vastuseis
opoziția	opositsioon
jorge	jorge
frecvența	esinemissagedus
frecvența	sagedus
atribuite	omistatud
atribuite	omistatud
atribuite	määratud
bursă	vennaskond
bursă	stipendiumi
bursă	stipendium
etaje	põrandad
rază	raadius
dragomir	dragomir
reciproc	vastastikused
reciproc	vastastikune
reciproc	vastastikuse
extra	ekstra
extra	extra
avansate	muud
avansate	arenenud
avansate	täiustatud
trenuri	rongid
antena	roog
antena	antenni
antena	antenn
umbra	varju
umbra	vari
umbra	varju
vocală	täishäälik
creuse	creuse
omorât	mõrvati
omorât	tapetud
omorât	mõrvatud
omorât	tapetud
omorât	tapeti
omorât	tappis
mărturii	tunnistus
aaron	aaron
falls	kukub
falls	falls
falls	langeb
figură	joonis
paraná	paraná
transformare	ümberkujundamine
transformare	muutumine
academică	akadeemiline
academică	akadeemilise
promovează	edendada
digitale	digitaalse
digitale	digitaalne
abbas	abbas
grafic	graafik
grafic	graafiline
grafic	joonis
grafic	diagramm
antrenori	treenerid
antrenori	koolitajate
contul	konto
pedeapsa	karistus
pedeapsa	karistus
pedeapsa	karistuse
bancă	pank
bancă	bank
bancă	pink
bancă	pingi
sevilla	sevilla
sevilla	sevilla
domnule	söör
definite	defineeritud
definite	määratletud
pauză	paus
pauză	pausi
pauză	vaheaeg
pauză	murda
allan	allan
seminarul	seminar
săptămâna	nädal
globală	ülemaailmne
globală	global
globală	globaalsed
globală	globaalne
globală	ülemaailmse
torre	torre
brescia	brescia
sarcini	ülesanded
circuitul	vooluring
înfrânt	võidetud
înfrânt	löödud
hrușciov	hruštšov
ferrara	ferrara
string	nöör
string	string
julian	julian
mandatului	volitused
mandatului	mandaat
mandatului	volitus
collins	collins
ontario	ontario
valoroase	väärtuslik
manifestat	ilmnes
pianist	pianist
reclamă	kaubanduslik
reclamă	reklaam
reclamă	reklaami
reclamă	reklaam
merite	väärivad
tong	tong
comunicații	kommunikatsioon
comunicații	side
electorală	valimiste
indo	indo
marketing	turustamise
marketing	turundus
marketing	turustamine
declara	kuulutada
montreal	montreali
scade	vähenemine
scade	vähenda
ton	tuunikala
ton	toon
ton	tooni
cheia	võtme
cheia	key
cheia	võti
romanov	romanov
mecanice	mehaanilised
mecanice	mehaaniline
ascunde	peidetakse
ascunde	peitu
ascunde	peitmine
ascunde	peida
mobil	liikuv
mobil	liikuva
mobil	mobiil
mobil	mobiilne
sean	sean
schi	suusa
schi	suusatama
depozite	laod
depozite	hoiused
aeroport	lennujaam
talentul	talent
talentul	ande
talentul	annet
oklahoma	oklahoma
terestră	maapealse
terestră	maapealne
permisiunea	luba
bernhard	bernhard
nepoata	lapselaps
nepoata	õetütar
nepoata	vennatütar
bătut	löödud
bătut	peksti
pragul	künnis
pragul	lävi
pragul	künnist
ouă	mune
ouă	munad
ușa	uks
aristotel	aristoteles
alpha	alpha
alpha	alfa
sprijină	toetab
tipărită	trükitud
rica	rica
imnul	hümn
chirurgie	kirurgia
chirurgie	lõikus
chirurgie	operatsioon
madison	madison
madison	madisoni
icoana	ikoon
icoana	ikooni
amy	amy
klaus	klaus
adriana	adriana
pași	astmed
pași	sammud
spațial	ruumiline
legislația	õigusaktid
legislația	seadusandlus
legislația	õigusakt
butler	butler
butler	ülemteener
butler	teener
discutat	arutatud
inutil	mõttetud
inutil	mõttetu
inutil	kasutu
inutil	kasutud
rolling	rolling
rolling	jooksvalt
rolling	veere
explicație	seletus
explicație	selgitus
ritm	rütmi
ritm	rütm
hudson	hudsoni
hudson	hudson
placa	tahvel
bursa	bursa
bursa	stipendiumi
bursa	stipendium
nori	pilvede
nori	pilvi
nori	pilved
edmund	edmund
mercedes	mercedes
intelectuali	intellektuaalid
intelectuali	intellektuaalse
împotrivă	vastu
proprietari	omanikud
protejat	kaitstud
ronald	ronald
colective	kollektiivse
colective	kollektiiv
colective	kollektiivne
popularitate	populaarsus
gândit	mõtlesin
gândit	arvas
gândit	arvasin
homo	homo
homo	gei
homo	homo
homo	gay
castle	loss
castle	castle
castle	lossi
droguri	uimastid
droguri	narkootikumid
droguri	narkootikum
droguri	uimasti
willem	willem
execuție	hukkamine
execuție	täitmine
execuție	teostus
jucând	mängimas
jucând	mängib
jucând	mängimine
jucând	mängivad
generat	tekitatud
succese	edu
bratislava	bratislava
damasc	damaskuse
nuvelă	romaan
nuvelă	romaani
publica	avalda
publica	avaldab
card	kaardiga
card	kaart
card	kaardi
reformei	reform
necunoscute	tundmatu
necunoscute	teadmata
filipine	filipiinid
secundară	teisene
secundară	teisesed
secundară	teisese
secundară	teisejärguline
promis	lubas
rin	rin
rin	rein
rin	reini
incident	intsident
incident	vahejuhtum
semnificația	olulisus
plecare	lahkumine
plecare	väljumine
gândire	mõtlemine
gândire	mõeldes
gândire	mõtled
gândire	mõtleb
identificate	tuvastati
identificate	tuvastatud
identificate	identifitseeritud
anatomia	anatoomia
farmacie	apteek
biți	bitti
mexican	mehhiko
mexican	mehhiklane
five	viis
portrete	portreed
pictate	värvitud
pictate	maalitud
aleksandr	aleksandr
parcuri	pargid
pozitivă	positiivsed
pozitivă	positiivse
pozitivă	positiivne
tipărit	trükitud
sângele	veri
sângele	vere
marchiz	markii
yemen	jeemeni
cântând	laulmine
stiluri	stiilid
protejarea	kaitsmine
norvegian	norra
împușcat	lask
împușcat	tulistatud
împușcat	tulistas
sălbatică	wild
sălbatică	metsik
teamă	hirm
teamă	hirmu
statui	kujud
sâmbătă	laupäev
sâmbătă	laupäeval
profesioniști	spetsialistid
profesioniști	professionaalid
irlandez	iiri
irlandez	iirlased
bunica	vanaema
bunica	vanaema
bunica	vanaema
lituaniei	leedus
lituaniei	leedu
limitate	piiratud
limitate	limited
pereți	seinad
sándor	sándor
perry	perry
sept	septum
sept	sept
distincție	vahet
distincție	eristamine
platformă	platvorm
cronici	kroonika
rugăciune	palve
rugăciune	palved
luther	luther
personalitatea	isiksus
personalitatea	isikupära
atelierul	töökoda
atelierul	seminar
cook	cook
cook	kokk
tara	riik
tara	tara
abur	auru
abur	aur
oleg	oleg
respectarea	vastavus
vama	tolli
vama	toll
interimar	vahepealne
adult	täiskasvanu
adult	täiskasvanud
împarte	pooleks
experimental	eksperimentaalne
dir	dir
logica	loogika
helsinki	helsingi
helsinki	helsinki
julia	julia
mussolini	mussolini
faimos	kuulsad
faimos	kuulus
nuntă	pulm
nuntă	laulatus
nuntă	pulma
nuntă	pulmad
magdalena	magdalena
anastasia	anastasia
studiourile	studios
bat	bat
bat	nahkhiir
apr	apr
mintea	meel
mintea	meele
mintea	mõistus
dmitri	dmitri
dmitri	dmitri
americanii	ameeriklased
alexei	aleksei
sârb	serbia
documentul	dokumendi
documentul	dokument
baba	baba
preocupat	mures
brusc	äkitselt
brusc	äkiline
japonezi	jaapani
japonezi	jaapanlased
inspirată	inspireeritud
paraguay	paraguay
consacrat	pühitsetud
jennifer	jennifer
izolat	isoleeritud
izolat	isoleeritud
izolat	eraldatud
berg	berg
anulat	tühistatud
anulat	katkestatud
anulat	tühistatud
anulat	katkestatud
precizează	täpsustada
evaluare	hinnang
evaluare	reiting
evaluare	hindamine
evaluare	hinnang
evaluare	hindamine
evaluare	hinnang
evaluare	hindamine
asediu	piiramine
divizat	jagatud
divizat	pooleks
bergamo	bergamo
taxe	maksud
novo	novo
enterprise	enterprise
enterprise	ettevõte
enterprise	ettevõtlus
inamic	vaenlane
vehicul	sõiduk
vehicul	sõiduki
botanică	botaanika
botanică	botaaniline
arma	relv
arma	püss
arma	relv
diferențele	erinevused
servi	teeni
servi	teenida
hanul	inn
presupus	eeldatud
presupus	väidetavalt
presupus	oletatavasti
presupus	väidetava
presupus	väidetav
presupus	oletatav
nagy	nagy
musulmane	moslem
musulmane	moslemi
modificată	modifitseeritud
modificată	muudetud
modificată	muudetud
rasa	tõug
rasa	tõu
rasa	ralli
rasa	võidusõit
rasa	rass
restaurarea	taastamine
cafenea	cafe
cafenea	kohvikus
cafenea	kohvik
cafenea	cafe
cafenea	kohvik
permanente	alalise
permanente	alalised
permanente	alaline
permanente	püsiv
vizibilă	nähtavad
vizibilă	nähtav
asociație	assotsiatsioon
index	indeks
index	index
moral	moraalselt
moral	moraal
moral	moraalne
kenneth	kenneth
trofee	trofeed
asigurări	kindlustus
dispute	vaidlused
portughez	portugali
haiti	haiti
sindromul	sündroom
locație	asukoht
prezență	osalemine
prezență	osavõtt
prezență	kohalolek
prezență	kohalolu
eugene	eugene
cândva	millalgi
persan	pärsia
traseu	jälg
traseu	rada
traseu	marsruut
îmbunătățit	täiustatud
îmbunătățit	paranenud
îmbunătățit	tõhustatud
vinde	müüa
atlantique	atlantique
logic	loogiline
logic	loogika
precizie	täpsus
precizie	täpsusega
precizie	täpsust
precizie	täpsus
precizie	täpsust
precizie	täpsuse
meyer	meyer
măsoară	mõõt
măsoară	abinõu
măsoară	meede
dom	kuppel
dom	kupli
dom	dom
über	über
fame	kuulsus
controlat	kontrollitud
controlat	kontrollitav
acționat	käitus
acționat	tegutses
coleg	kolleeg
coleg	kolleegi
express	express
express	ekspress
express	väljendada
amt	amt
baltice	baltic
baltice	balti
baltice	läänemere
mustafa	mustafa
ardere	põletamine
ardere	põlemisel
ardere	põletamine
ardere	kirjutamine
cost	kulu
cost	maksumus
cost	kulud
modifică	muuda
boeing	boeing
întoarcere	tagasitulek
cercetătorii	teadlased
cercetătorii	uurijad
peșteră	koobas
senat	senati
senat	senat
gay	gei
gay	homo
gay	gay
creta	kreeta
creta	kriit
ming	mingi
ming	ming
montgomery	montgomery
egiptean	egiptuse
variabile	muutuja
variabile	muutuv
variabile	muutujad
mediterană	vahemere
mediterană	vahemeri
metale	metallist
metale	metall
metale	metal
metale	metalli
metale	metallid
pană	sulg
bush	bush
bush	põõsas
standardele	standardid
daneză	taani
verticală	vertikaalne
renunță	loobu
azerbaidjan	aserbaidžaani
azerbaidjan	aserbaidžaan
niveluri	tasemed
mitchell	mitchell
notat	märkis
strategică	strateegilised
strategică	strateegiline
cambodgia	kambodža
cambodgia	kambodža
pablo	pablo
morris	morris
lent	aeglane
academice	akadeemiline
academice	akadeemilise
ice	jää
ice	ice
ice	jääd
kate	kate
aurora	aurora
maría	maría
oregon	oregoni
bănci	banks
bănci	pangad
bănci	pingid
restaurant	restoran
afectate	mõjutatud
baltă	loik
pavia	pavia
structurile	struktuurid
silezia	sileesia
silezia	sileesia
uriaș	hiiglane
uriaș	hiiglaslik
tabere	laagrid
alma	alma
formulă	valem
kentucky	kentucky
indicat	näidatud
indicat	näidustatud
mărfuri	lasti
mărfuri	kaubad
mărfuri	kaup
mărfuri	kauba
mărfuri	kaubad
belle	belle
grâu	nisu
cuantică	quantum
văzute	näinud
văzute	vaadatud
walt	walt
dublin	dublini
dublin	dublinis
festivaluri	festivalid
ball	ball
ball	pall
ball	palli
rusesc	vene
rusesc	venelane
padova	padova
echivalentul	ekvivalent
echivalentul	samaväärne
echivalentul	võrdväärsed
fani	fänne
fani	fännid
postum	postuumne
participanții	osalejad
participanții	osalejaid
morminte	hauakambrid
colegi	kolleegid
potențialul	potentsiaal
potențialul	potentsiaali
exactă	täpne
horror	õudus
vizibile	nähtavad
vizibile	nähtav
flash	flash
flash	välk
duminica	pühapäeviti
duminica	pühapäev
srl	llc
srl	ltd
materia	mateeria
persia	pärsia
elementare	liht
elementare	elementaarne
christina	christina
arhipelagul	saarestik
datorat	võlgu
protocol	protokoll
update	uuenda
update	update
update	uuendus
update	ajakohastamine
update	uuendamine
execută	hukka
execută	hukata
execută	käivita
ecuador	ecuadori
bull	pulli
bull	pull
bull	bull
bull	härg
kenya	kenya
îngropat	maetud
november	november
november	novembris
locații	asukohad
biblie	piibel
fabricat	valmistatud
fabricat	toodetud
durere	valu
întâlniri	koosolekud
întâlniri	kohtumised
întâlniri	istungid
recomandat	soovitatav
recomandat	soovitatavad
recomandat	soovituslik
recomandat	soovitatud
recomandat	soovitas
lucrând	töötamine
taiwan	taiwan
taiwan	taiwanis
taiwan	taiwani
dramatică	dramaatiline
populată	asustatud
tereza	teresa
tereza	theresa
dex	dex
semnată	allkirjastatud
semnată	allkirjastanud
baptiste	baptiste
stelele	staarid
stelele	tähed
stelele	tähtede
emisă	emiteeritud
emisă	väljastatud
compuși	ühendid
praf	tolmu
praf	tolm
praf	pulber
haga	haagi
zeus	zeusi
zeus	zeus
animat	animeeritud
nintendo	nintendo
locuită	asustatud
semnal	signaal
semnal	signaali
semnal	märguanne
ceas	vaata
ceas	jälgi
ceas	kell
ceas	kella
democrație	demokraatia
alfa	alpha
alfa	alfa
alfa	alfa
expune	paljastada
fantastică	fantastiline
partener	partner
partener	paarimees
cerințele	nõuded
amenințare	oht
amenințare	ähvardus
inventator	leiutaja
bolta	seif
lovituri	puhub
vizitează	külla
vizitează	külastus
vizitează	visiit
vizibil	nähtavad
vizibil	nähtav
rgb	rgb
sporturi	sport
sporturi	spordi
informatii	info
informatii	teave
informatii	info
informatii	informatsioon
observație	märkus
observație	tähelepanek
observație	vaatluse
observație	vaatlus
parker	parker
zeilor	jumalad
liechtenstein	liechtenstein
discovery	discovery
discovery	avastus
discovery	avastamine
găsiți	leida
găsiți	leia
găsiți	otsi
dur	karm
dur	kõva
dur	sitke
dur	karm
tăiat	lõika
tăiat	lõigatud
etajul	korrus
etajul	põrand
chapelle	chapelle
strategie	strateegia
peisaj	maastik
peisaj	maastiku
attila	attila
experiment	eksperiment
finalizată	lõpetatud
vinci	vinci
reptile	roomaja
reptile	roomajad
constat	koosnes
constat	seisnes
convinge	veenda
convinge	veena
convinge	veenda
convinge	veena
sportul	sportlik
sportul	sport
sportul	spordiala
leul	lõvi
personalul	personal
personalul	töötajad
personalul	töötajad
personalul	personal
aron	aron
preveni	ennetada
plată	tasumine
plată	maksmine
plată	makse
won	võidetud
won	võitsid
won	võitis
integrarea	integratsioon
integrarea	lõimumine
integrarea	integreerimine
reci	külm
reci	külmad
integrat	integreeritud
fabricate	valmistatud
fabricate	toodetud
roosevelt	roosevelt
vasili	vassili
aviație	lennunduse
aviație	lennundus
spanioli	hispaanlased
spanioli	hispaania
heinz	heinz
petit	petit
thompson	thompson
wallace	wallace
monarh	monarh
beethoven	beethoven
ploaie	vihm
ploaie	rain
islamului	islam
bremen	bremen
zagora	zagora
artificial	kunstlikult
artificial	kunstlik
solară	päikese
solară	päikeseenergia
disponibilă	saadaval
disponibilă	kättesaadav
reprezentative	esindaja
marino	marino
fetele	tüdrukud
fetele	girls
primită	saadi
primită	saadud
primită	laekunud
strategia	strateegia
transmise	edastatud
culmea	ridge
identice	identne
identice	identsed
fotografia	foto
fotografia	photography
fotografia	fotograafia
locuite	asustatud
albrecht	albrecht
aia	see
aia	seda
separarea	eraldamine
separarea	lahutamine
datoria	tollimaks
interpretări	tõlgenduste
scrisoarea	kirja
scrisoarea	kiri
eroul	hero
eroul	kangelane
aviației	lennunduse
aviației	lennundus
rupt	katkised
rupt	katki
rupt	murtud
rupt	murdunud
rupt	rebitud
rupt	rebis
integrate	integreeritud
panama	panama
afc	afc
utilizări	kasutab
greaca	kreeka
nancy	nancy
comisie	komisjon
comisie	komisjoni
westfalia	westfalenis
arkansas	arkansases
sinteza	sünteesi
aripa	tiiva
aripa	tiib
cauzele	põhjused
cauzele	põhjustab
graz	grazi
veniturile	tulud
veniturile	tulu
veniturile	sissetulek
veniturile	tulu
atomic	aatom
atomic	aatomi
clinton	clinton
continuând	jätkamine
continuând	jätkuvad
împărăteasă	keisrinna
integrare	integratsioon
integrare	lõimumine
integrare	integreerimine
districtele	piirkonnad
miercurea	kolmapäev
miercurea	kolmapäeviti
scenele	stseenid
dramatice	dramaatiline
transmiterea	edastamine
transmiterea	ülekanne
transmiterea	edastus
ralph	ralf
ralph	ralph
hunter	kütt
hunter	hunter
hunter	jahimees
armeni	armeenlased
armeni	armeenia
vera	vera
borsod	borsod
demo	demo
standarde	standardid
minimă	minimaalselt
minimă	miinimum
minimă	minimaalne
minimă	minimaalne
datată	kuupäevaga
pătruns	tunginud
câteodată	mõnikord
câteodată	vahel
câteodată	vahest
utilă	kasulikud
utilă	kasulik
utilă	abivalmis
dotat	andekas
păstrată	säilitatud
păstrată	säilinud
păstrată	konserveeritud
clape	klaviatuurid
isabella	isabella
predare	õpetamine
predare	õpetamise
airlines	airlines
sănătatea	tervist
sănătatea	tervishoid
sănătatea	tervis
rareori	harva
climă	kliima
pătrat	ruudu
pătrat	ruut
pătrat	väljak
raze	kiired
epic	eepiline
grație	grace
avere	varandus
avere	rikkust
avere	rikkuse
avere	rikkus
windsor	windsor
fin	fin
birou	kontor
birou	büroo
birou	kabinet
birou	töölaua
birou	töölaud
secretul	saladus
secretul	salajane
secretul	secret
trilogia	triloogia
aniversare	sünnipäeva
aniversare	sünnipäev
aniversare	aastapäeva
aniversare	aastapäev
pib	skt
pib	skp
frumusețea	ilu
frumusețea	iludus
frumusețea	kaunitar
executată	hukatud
executată	hukati
musulmană	moslem
musulmană	moslemi
rob	rob
concret	betoonist
concret	konkreetseid
concret	betooni
frumusețe	ilu
frumusețe	iludus
frumusețe	kaunitar
laboratorul	laboratoorsed
laboratorul	laboratooriumi
laboratorul	labor
laboratorul	laboratoorium
laboratorul	lab
laboratorul	labor
mâini	käed
ala	ala
batalionul	pataljon
decorative	dekoratiivne
conștient	teadlikud
conștient	teadlik
conștient	teadvusel
sectoare	sektorid
șansă	võimalus
șansă	chance
autostrada	kiirtee
autostrada	maantee
autostrada	kiirtee
compozitori	heliloojate
fabricație	valmistamine
fabricație	tootmine
fabricație	valmistamine
fabricație	tootmine
alegere	valik
moștenire	pärand
moștenire	päranduse
mode	režiimi
mode	režiim
mode	mode
negocierile	läbirääkimised
linda	linda
split	pooleks
cascada	kose
cascada	juga
colin	colin
legendele	legendid
măsurile	meetmed
germana	saksa
germana	sakslane
gruparea	rühmitamine
gruparea	rühmitus
intenționat	tahtlik
intenționat	tahtlikult
iulius	julius
virusul	viiruse
virusul	viirus
tribul	hõim
tribul	hõimu
petrolul	õli
petrolul	nafta
erori	vead
unghiul	nurk
egipteană	egiptuse
implementarea	rakendamine
implementarea	elluviimine
cuneo	cuneo
jakob	jakob
organizațiile	organisatsioonid
organizațiile	organisatsioone
masacrul	veresaun
masacrul	veresauna
masacrul	tapatalgud
patria	kodumaa
patria	isamaa
patria	kodumaa
patria	isamaa
aval	allavoolu
capitole	peatükid
hessa	hesseni
hessa	hesse
transferată	ülekantud
musulman	moslem
musulman	moslemi
omagiu	andamit
runda	ümar
runda	ümmargused
runda	ümmargune
runda	voor
negativă	negatiivne
negativă	negatiivsed
manuale	käsiraamatud
estimează	hinnang
dezvăluit	avalikustatud
dezvăluit	paljastatud
maritim	merendus
nixon	nixon
zborul	lendu
zborul	lennu
zborul	lend
voluntar	vabatahtlik
tramvai	trammi
tramvai	tramm
responsabilitatea	vastutus
ceh	tšehhi
elias	elias
stâncă	kalju
stâncă	rock
stâncă	kivi
sfert	kvartal
sfert	veerand
violente	vägivaldsed
violente	vägivaldne
