pronar	vlasnik
risi	inovativni
risi	inovativnih
risi	novina
risi	inovacija
bogdani	bogdani
gjumi	spavanje
muzike	muzika
referencat	reference
sigurimi	obezbjeđenje
sigurimi	sigurnost
sigurimi	osiguranje
sigurimi	osiguranja
laura	laura
tibet	tibet
nena	nena
nena	majka
ekuatoriale	ekvatorijalna
strukture	struktura
strukture	strukturi
strukture	strukture
gama	gama
gama	gamma
parimin	princip
parametrat	parametara
parametrat	parametri
parametrat	postavke
parametrat	podešavanja
philipp	philipp
drogës	droga
gjetjet	nalaze
gjetjet	nalazima
gjetjet	nalazi
meriton	zaslužuje
meriton	zaslužuju
adams	adams
përjetshme	vječne
përjetshme	vječni
fjalim	govor
diskutime	diskusija
diskutime	diskusija
vazhdimësi	kontinuitetu
vazhdimësi	kontinuitet
arkivi	arhiv
hipoteza	hipoteza
kontinentit	kontinent
humbet	gubi
humbet	izgubi
aviacionit	avijacija
grant	grant
dhurata	darova
dhurata	predstavlja
dhurata	dar
dhurata	poklon
ian	lan
ian	ian
shërbejë	služe
shërbejë	služiti
saktësi	preciznost
saktësi	preciznosti
saktësi	tačnost
saktësi	preciznost
artiste	umjetnik
armenia	armenije
vishnu	višnu
nikaragua	nikaragve
komplet	potpuno
komplet	sasvim
komplet	završeno
komplet	potpuna
komplet	kompletna
komplet	kompletan
kontributet	doprinosi
jerusalem	jerusalem
dortmund	dortmund
ticino	ticino
lampard	lampard
pakistani	pakistan
neni	članak
kryqi	krst
alpine	alpskom
alpine	alpsko
politikisht	politički
maksimal	maksimalna
maksimal	maksimalni
maksimal	maksimalne
maksimal	maksimum
maksimal	maksimalno
nana	nana
kanale	kanali
kanale	kanala
kanale	kanale
kanale	kanalima
moldavia	moldavija
platforma	platforma
platforma	platformi
platforma	platformu
platforma	platforme
platforma	platformi
provat	dokazi
pengesë	prepreka
pengesë	prepreku
pengesë	prepreka
çift	pair
çift	par
çift	par
çift	nekoliko
piramida	piramida
hebraike	jevrejska
hebraike	jevrejsko
hebraike	jevrej
hebraike	jevrejski
hebraike	hebrejski
emirati	emirati
cituar	naveo
cituar	naveli
cituar	navela
cituar	navodi
tanimë	već
vega	vega
bosnjë	bosna
sallë	vijećnica
sallë	dvorana
sallë	hall
cilësia	kvalitet
cilësia	kvaliteta
len	lene
len	len
tragjike	tragičnog
erik	erik
erik	eric
sezonet	sezona
matematika	matematika
matematika	matematike
matematika	matematička
matematika	matematici
matematika	matematika
race	trka
race	rasa
gjykimi	sud
gjykimi	sudnji
hapësinor	prostorne
pasqyron	odražava
hitlerit	hitler
flota	flota
demografia	demografija
kupë	kup
sony	sony
udha	put
malësi	highland
ronald	ronald
luhet	igrala
luhet	odigrana
luhet	igrao
luhet	svirao
luhet	odigrano
luhet	odigrali
inteligjencës	inteligencija
huazuar	korizma
çeliku	čelik
afrikane	afrički
afrikane	afričke
afrikane	afričkih
afrikane	afrička
pafund	beskonačno
njerzit	narod
norman	norman
norman	normana
çlirim	oslobodilački
çlirim	oslobođenje
çlirim	oslobađajući
bordi	odbor
tostring	tostring
dikujt	neko
lajm	vijest
lajm	vijesti
lajm	news
lajm	novosti
shkronjat	pisma
shkronjat	slova
tërhiqet	povuče
valley	dolina
kampione	šampion
përmbushur	ispunjena
përmbushur	ispunio
përmbushur	ispuniti
zhvillime	dešavanja
përpjekja	napor
përpjekja	trud
ille	ille
shfrytëzimi	eksploatacija
mysafir	gost
javier	javier
lionel	lionel
heq	uklanja
pérez	pérez
thot	kaže
thot	kaze
sebastian	sebastian
sen	sen
moto	moto
moto	moto
lene	lijevo
raymond	raymond
qepë	luk
leonard	leonard
hiqet	ukinuta
hiqet	uklonjena
italo	italo
ban	kulin
ban	zabrana
ban	bana
ban	ban
pasqyra	ogledala
pasqyra	ogledalo
tetori	oktobar
investimet	ulaganja
investimet	investicija
investimet	investicije
gazetare	novinar
gazetare	novinar
gazetare	reporter
dramatik	dramatičnog
dramatik	dramatična
dramatik	dramatičnim
dramatik	dramatičnu
dramatik	dramatičan
alfredo	alfredo
romeo	romeo
hektarë	hektara
hektarë	acre
hektarë	hektara
sind	sindh
ftp	ftp
ohër	ohrid
ndihme	pomoći
ndihme	pomogne
ndihme	pomoć
instrumentet	instrumente
instrumentet	instrumenata
malazez	crnogorski
malazez	crnogorska
skype	skype
tahiri	tahir
campo	campo
montana	montana
autonominë	autonomiju
autonominë	samostalnost
autonominë	autonomija
informacionet	informacija
kuvajti	kuvajt
akuzat	optužbe
akuzat	optužbi
akuzat	optužbe
folës	predsjedavajući
folës	predsjedavajućeg
uashington	washington
uashington	vašington
corporation	korporacija
kori	hor
kori	hor
kori	horova
krijimet	kreacije
rrotull	oko
bay	zaliv
barcelonë	barcelona
theodor	theodor
gjuhësor	jezičke
viktimat	žrtava
viktimat	žrtve
jave	sedmica
godet	hitovi
madhështor	superb
fqinjët	susjedima
fqinjët	susjeda
fqinjët	susjedi
fqinjët	susjedima
taksa	porez
taksa	porezi
taksa	poreze
humane	human
humane	humani
patriotik	patriotska
teatrore	pozorišnu
teatrore	pozorišnih
izrael	izrael
traktat	sporazum
intensiteti	intenzitet
kelly	kelly
zgjerohet	proširiti
mao	mao
canada	kanada
mendoni	misli
mendoni	misle
dallimet	razlika
dallimet	razlike
bend	bend
koke	glavobolja
objektiv	cilj
objektiv	objektivan
objektiv	meti
monetare	monetarna
liber	knjiga
parat	novac
zëra	glasovi
zëra	špekulacije
zëra	špekulacija
trembëdhjetë	trinaest
giorgio	giorgio
enët	jela
abdurrahman	abdurrahman
çojë	olova
çojë	olovo
ron	ron
ruajtja	spašavanje
ruajtja	očuvanje
oriental	orijentalna
konsideratë	razmatranje
x}}	x}}
shpie	predvodi
ndjerë	osjetio
nazist	nacističke
nazist	nacista
nazist	nacistička
nazist	nacistički
superkupa	supercup
slloveni	slovenija
huajt	strancima
huajt	stranaca
fajtor	kriv
fajtor	krivicu
fajtor	krivima
fajtor	kriva
fajtor	krivim
matet	mjeri
makine	automobil
rrymat	strujanja
oborri	dvorište
oborri	dvorištu
oborri	dvorišta
përkufizimi	definicija
mesazhe	poruke
sistematike	sistemski
sistematike	sistematskog
sistematike	sistematsko
ndriçim	rasvjetu
tepërt	višak
realizimi	implementaciju
realizimi	shvatanje
realizimi	realizacija
fakultet	fakultet
fakultet	fakulteta
cola	cola
gji	dojenje
gji	dojke
gji	zaliv
gji	zaliva
deklaratë	izjava
deklaratë	deklaracija
deklaratë	proglašenje
guxim	hrabrost
kryetarin	predsjedavajući
kryetarin	predsjedavajućeg
komisar	povjerenika
komisar	komesar
holandeze	holandski
pilotët	piloti
pilotët	pilota
tenerife	tenerife
danimarkë	danska
pakistanit	pakistanski
nënshkrimin	potpisivanje
reuss	reuss
psikologjik	psihološki
romakë	rimljani
seksual	seksualnu
seksual	spolno
seksual	spolni
seksual	seksualna
përqindje	procentima
përqindje	postotak
dekret	dekretom
dekret	dekret
megjithate	međutim
jong	jong
dytësore	fringe
dytësore	sekundarna
dytësore	sekundarni
dytësore	srednjih
dytësore	srednje
shkollimit	školovanja
shkollimit	školovanje
kroni	kron
procese	procesi
priten	očekivao
priten	očekivali
priten	očekivano
siro	siro
ndikimet	uticaji
ndikimet	uticaja
lëngu	sok
shtrat	krevet
shtrat	postelju
shtrat	bed
personaliteti	ličnost
firenze	firenze
oda	oda
administrim	menadžment
administrim	uprava
administrim	administracija
budapest	budimpešta
derën	vrata
pasuar	praćen
pasuar	slijede
pasuar	slijedili
refer	ref
adresë	adresa
vegël	gadget
vegël	alat
rrota	točak
rrota	točkove
nuri	nuri
klinike	klinička
zbatohet	primjenjuje
zbatohet	provela
zbatohet	sprovedene
mujore	mjesečna
mujore	mjesečni
statistikave	statistika
borussia	borussia
lille	lille
besueshëm	pouzdani
besueshëm	pouzdanih
besueshëm	pouzdano
dallime	razlika
dallime	razlike
djalli	šejtan
djalli	šejtan
kurora	kruna
kurora	krunu
dokumentuar	dokumentiran
refuzuar	porekao
refuzuar	odbacila
refuzuar	odbio
refuzuar	odbio
bashkëpunoi	sarađivao
messi	messi
kumanova	kumanovo
ashanti	ashanti
yusuf	yusuf
yusuf	jusuf
yusuf	jusufa
kristiane	hrišćanski
kristiane	christian
kristiane	hrišćanska
kristiane	kršćanska
kristiane	hrišćanin
kristiane	kristijan
këngëtarë	pjevači
këngëtarë	pjevača
edukative	obrazovna
stanley	stanley
mbytur	zadavljen
mbështetëse	podržava
shkurtit	februar
përziera	mješovite
përziera	mješovita
thellësia	dubina
thellësia	dubinu
thellësia	dubine
thellësia	dubini
lazio	lazio
fiksuar	fiksni
fiksuar	obsessed
plastike	plastika
deva	deva
punk	pank
vetmuar	lonely
vetmuar	usamljeni
skema	šeme
skema	šema
skema	šeme
horizontal	horizontalna
horizontal	horizontalni
varen	ovise
mjekët	ljekari
mjekët	doktori
mjekët	ljekari
ain	ain
fizikisht	fizički
pbb	bdp
pasqyruar	ogleda
sánchez	sánchez
iowa	iowa
shit	sell
shit	prodati
shit	prodaje
shit	proda
shit	prodala
shit	prodat
shit	prodao
sllavo	slav
sllavo	slavenska
tërheqjen	povlačenje
gjenetik	genetičke
gjenetik	genetička
gjenetik	genetičko
gjenetik	genetički
gjenetik	genetski
gjenetik	genetsko
joachim	joachim
lajmet	vijest
lajmet	vijesti
lajmet	news
lajmet	novosti
aires	aires
disku	disc
disku	diska
disku	disk
disku	disku
përjetoi	iskusila
përjetoi	doživjelo
përjetoi	doživio
përjetoi	doživjela
fytyrës	facijalne
formati	formatu
formati	formata
formati	format
rrjeta	mreži
rrjeta	neto
rrjeta	net
rrjeta	nets
mas	mas
jeshile	zelena
perpara	napred
perpara	naprijed
perpara	ispred
perpara	pre
perpara	prije
borë	snijeg
përfundimi	završetak
përfundimi	završetku
përfundimi	završetka
përfundimi	ishod
përfundimi	zaključka
përfundimi	zaključak
adm	adm
arkeologët	arheolozi
arkeologët	arheolozi
synimet	namjere
harris	haris
harris	harris
kështjellat	tvrđave
veshin	nose
fetarë	vjerski
fetarë	vjersko
fetarë	vjerskim
fetarë	vjerska
fetarë	vjerskih
fetarë	vjerske
drejtorisë	direkcija
ikën	nestao
ikën	nestali
ikën	otišli
ikën	otišla
ikën	escapes
ikën	odlazak
ikën	napušta
ikën	ostavljajući
ikën	napuštanje
ikën	ostavivši
parandalimin	sprječavanje
parandalimin	prevenciju
parandalimin	prevenciji
mjediset	prostorije
mjediset	prostorija
capital	kapital
alb	alb
arrinë	dostiže
arrinë	dostigne
reagim	reakcija
reagim	feedback
veshja	dress
fronti	ispred
fronti	front
laurent	laurent
matematikan	matematičar
fotograf	fotografa
deutschland	deutschland
shëndeti	zdravlje
ekuador	ekvador
agjent	agens
agjent	agent
josif	josip
château	château
arsyen	razum
çati	krov
çati	krovu
pasuese	nasljednik
pasuese	nasljednika
pasuese	nasljednica
ruso	rusko
ruso	rousseau
arrestuar	uhapšeni
arrestuar	uhapšena
arrestuar	uhapšen
patate	krompir
patate	krompir
poshte	down
poshte	oboren
poshte	dole
seksion	odeljak
seksion	sekcija
hermann	hermann
fikse	fiksni
nikola	nikola
vjetori	godišnjica
perime	povrće
perime	povrće
perime	povrća
flash	flash
zulu	zulu
grada	stepena
grada	stepeni
shfrytëzimit	eksploatacija
fitim	profit
fitim	dobit
fabrikë	biljke
fabrikë	fabrika
mynih	münchen
zbriti	sletio
brezat	generacija
brezat	generacije
avull	parni
avull	parna
sllovene	slovenački
batalioni	bataljon
modena	modena
kërkohej	potrebnih
vida	vida
pisha	bor
pisha	pine
thërret	poziva
arif	arif
gjendur	lociran
forumi	forum
malo	malo
lexim	reading
lexim	čita
faruk	faruk
mysql	mysql
legjendare	legendarna
legjendare	legendarni
kritikët	kritičari
bruneit	brunej
trajtim	liječenje
trajtim	lečenje
trajtim	tretman
trajtim	tretmanu
shkëlqim	sjaja
femije	deca
femije	djeca
femije	djece
femije	djecu
femije	djeca
femije	dijete
brezave	generacija
brezave	generacije
fqinjë	susjedima
fqinjë	susjeda
fqinjë	susjedi
fqinjë	susjedima
lavdishme	veličanstveni
lavdishme	uzvišeni
proteina	proteina
vuajtur	pretrpjela
shkatërroi	uništene
shkatërroi	uništen
shkatërroi	uništena
shkatërroi	uništeni
dollar	dolar
festohet	proslavila
futbollisti	nogometaš
futbollisti	fudbaler
tendencë	tendencija
somme	somme
kodrën	brdo
kombësia	nacionalnost
doi	doi
hip	hip
hip	eep
organizmi	organizam
organizmi	organizma
zhveshur	gol
zhveshur	gola
ngjashmëri	sličnosti
ngjashmëri	sličnost
tru	mozak
tru	mozak
mëshirë	milosti
mëshirë	milost
pazar	kupovinu
franc	franak
tregim	tale
tregim	priča
hernández	hernández
arkivat	arhive
pyetur	ispitivan
pyetur	pitali
pyetur	upitan
pyetur	zatražio
konflikte	sukobi
konflikte	sukob
konflikte	konflikt
sugjeruar	kazao
plumbi	metak
derë	vrata
ferri	pakao
willy	willy
armike	neprijatelj
përralla	priče
dalai	dalaj
japonisht	japanski
still	steele
cfare	što
stefani	stefan
stefani	stephanie
aksident	nesreća
shkëmbinj	stijene
shkëmbinj	stijena
shkëmbinj	stijenama
trimi	hrabri
ariu	medvjed
përbërës	sastojak
lippe	lippe
hop	obruč
hop	hoop
hop	hop
sadiku	sadiku
kundërshtar	protivnik
relativitetit	relativnosti
relativitetit	relativnost
vizitorët	posjetioci
plagë	rana
plagë	povrede
plagë	povredama
plagë	rane
plagë	rana
analog	analogni
kardinali	kardinal
standardeve	standardi
standardeve	standarde
standardeve	standarda
kurs	kurs
rezervuar	priveo
rezervuar	rezervisan
rezervuar	reservoir
bardh	bijela
bardh	bijeli
ciklin	menstruacija
ciklin	ciklus
radikale	radikal
radikale	radikalna
dominuar	dominiraju
dominuar	dominirali
vizitë	posjetu
vizitë	posjeta
sul	sul
sulejmani	sulejman
sulejmani	sulejman
analitike	analitička
rolit	uloga
rrjedhimisht	shodno
objektivat	ciljevi
objektivat	mete
kanalet	kanali
kanalet	kanala
kanalet	kanale
kanalet	kanalima
amerikanët	amerikanaca
amerikanët	amerikanci
besë	trust
besë	povjerenje
besë	bliski
kongo	kongo
pyjore	šumarstva
shprehjet	izrazi
lika	lika
wild	divljeg
wild	divlji
wild	wild
wild	divlja
specializuara	specijalizirane
specializuara	specijalizovani
kontrast	nasuprot
kontrast	kontrast
kontrast	contrast
interpretim	tumačenje
paralelisht	paralelnost
paralelisht	paralelna
paralelisht	paralelnih
paralelisht	paralelne
paralelisht	paralelni
paralelisht	paralelno
udhëtuar	putovao
udhëtuar	putovali
udhëtuar	otputovao
shkelur	kršio
shkelur	prekršila
ipairs	ipairs
përhapet	širi
harold	harold
pozicionet	pozicija
pozicionet	pozicije
pozicionet	položaje
pozicionet	pozicijama
irlandez	irski
katedralja	katedrala
mont	mont
ken	ken
menduarit	misleći
vaji	ulje
komente	feedback
komente	komentari
komente	komentarima
shikim	vidi
cikël	ciklus
paraprake	generalnu
paraprake	preliminarni
paraprake	preliminarne
paraprake	preliminarna
proteinat	proteina
proteinat	proteine
proteinat	proteinima
proteinat	proteini
gjalpë	tirić
gjalpë	putera
detyrueshëm	obavezno
detyrueshëm	obavezni
detyrueshëm	obavezan
detyrueshëm	obaveznog
detyrueshëm	obavezno
rrjetet	mreže
rrjetet	mreža
organizohet	organizirani
organizohet	organizirano
organizohet	organizirana
organizohet	organizovana
organizohet	organizovane
organizohet	organizovani
organizohet	organizovano
organizohet	organizovan
acidi	kiseline
ascii	ascii
votuar	izglasan
votuar	glasali
votuar	glasao
akte	dela
akte	akte
akte	akti
akte	akata
prishur	uhapšen
ekrem	ekrem
kontrollon	kontroliše
kontrollon	kontrolira
zana	vila
zana	zana
neutral	neutral
operacione	operacija
operacione	operacijama
operacione	operacije
operacione	ops
adhuruar	obožavan
adhuruar	faraonom
klientit	klijent
domain	domen
hashim	hashim
peshku	ribe
emigrantëve	imigranti
emigrantëve	migranti
dija	znao
dija	znali
dija	poznavao
dija	poznavali
unter	unter
shpejte	brzo
shpejte	brza
shpejte	brz
shpejte	brzi
automatike	automatsko
muslimane	muslim
muslimane	musliman
kontekst	kontekst
kontekst	kontekstu
nur	nur
fred	fred
kanceri	rak
frederik	fridrik
frederik	frederick
frederik	frederik
frederik	frederic
qik	djevojka
qik	devojka
qik	girl
abc	abc
përshtypje	utisak
përshtypje	impress
lanka	lanke
lanka	lanka
shpellën	pećina
dominon	dominirala
rrethimin	opsada
nxit	promovira
bërthamë	jezgro
bërthamë	jezgra
shenjt	sveta
shenjt	sveti
shenjt	sveto
dinamik	dinamičan
përgjigjur	odgovorio
përgjigjur	odgovorila
përgjigjur	odgovorio
kryetarët	govornika
kryetarët	govornici
kryetarët	gradonačelnici
kryepeshkopi	nadbiskup
unioni	savez
unioni	unija
unioni	union
bukureshtit	bukurešt
mannheim	mannheim
bruce	bruce
bruce	brus
heshtje	tišina
strugë	struga
bregdeti	obala
këndoi	pjevao
jennifer	jennifer
sferike	sferni
deutsche	deutsche
qëndresa	otpor
mesazhet	messaging
mesazhet	poruke
sicili	sicilija
promovuar	unaprijeđen
ekzekutuar	izvrši
ekzekutuar	pogubljen
mohuesit	nevjernici
zhduket	nestane
zhduket	nestati
realiste	realistična
sundimtari	vladar
lehtësi	lakoće
prix	prix
fildishtë	slonovače
bagëti	stoka
bagëti	stoku
bagëti	stoke
bronzi	bronzana
bronzi	bronza
lutur	molio
alessandro	alessandro
vitamina	vitamini
vitamina	vitamini
barbare	barbari
vlefshëm	važeći
ansambli	ansambl
dervishi	derviš
minierave	rudarstvo
sql	sql
vizita	posjetu
vizita	posjeta
vizita	posjeta
ambasadori	ambasador
mijëvjeçarit	milenij
biologjik	biološke
biologjik	biološku
biologjik	biološki
biologjik	biološka
këngëtari	pjevačica
këngëtari	pjevač
kokrra	žita
kokrra	zrno
kokrra	berry
abraham	ibrahim
abraham	abraham
abraham	ibrahima
gif	gif
hollësi	opširnije
hollësi	detalje
hollësi	detalji
hollësi	detalj
askujt	svakoga
askujt	svako
askujt	neko
askujt	iko
kornizë	framework
kornizë	okvir
kornizë	okvir
shkëlqyeshëm	odličnu
shkëlqyeshëm	odličan
shkëlqyeshëm	odlične
shkëlqyeshëm	izvrsno
shkëlqyeshëm	odlično
shifër	figura
shifër	cifra
shifër	figure
shifër	umjetničko
zgjerim	proširenje
varreza	mezarja
varreza	groblje
varreza	groblje
dhjetori	decembar
sinjale	signali
sinjale	signale
akuza	optužbe
akuza	optužbi
akuza	tužilaštvo
pasurit	bogata
pasurit	bogato
pasurit	bogati
pasurit	bogatim
pasurit	bogat
kampet	logori
kampet	logora
kampet	logore
kampet	logorima
grimca	čestice
grimca	čestice
grimca	čestica
buke	hljeb
teme	tema
teme	tema
ndare	razdvojene
historitë	priče
historitë	price
qëndruan	stajao
qëndruan	iznosila
qëndruan	ostala
qëndruan	ostao
qëndruan	boravio
federico	federico
diplomë	stepenu
diplomë	stepen
diplomë	stepena
warren	warren
përgatitje	priprema
përgatitje	pripreme
paraparë	predviđeni
paraparë	predviđenih
mbështeti	podržao
mbështeti	podržali
elementët	predmeta
elementët	predmete
elementët	stavke
elementët	predmeti
portugeze	portugalski
nowrap	nowrap
faleminderit	hvala
veprimtaritë	aktivnosti
aplikohet	primjenjuju
aplikohet	primijenjena
aplikohet	primjenjuje
eksperiencë	iskustva
eksperiencë	iskustvo
vom	vom
paraqitën	predstavila
paraqitën	predstavljena
paraqitën	predstavljen
paraqitën	predstavilo
paraqitën	predstavio
disiplina	discipline
disiplina	disciplinama
qëndrimet	stavovi
roza	ruža
roza	rosa
facto	facto
falur	oprošteni
nota	ocjene
ndezur	lit
ndezur	zapalio
violinë	violina
posti	post
marinës	mornarica
gjenevë	ženeva
polar	polarne
motivet	motive
motivet	motivi
led	vodio
led	vodili
led	predvodio
led	predvodi
pritej	očekivao
pritej	očekivali
pritej	očekivano
ajax	ajax
produkti	proizvod
produkti	produkt
shoqatë	udruženje
shoqatë	asocijacija
kara	kara
sekondë	drugi
absolut	tirane
absolut	apsolutni
absolut	apsolutna
krishtin	hristos
krishtin	hrista
tregjet	tržišta
meksikane	meksički
prokurorisë	tužilaštvo
londra	london
mbërriti	stigao
mbërriti	stigli
mbërriti	stigla
ishe	bili
monarkisë	monarhija
mesatarja	prosječno
mesatarja	prosječne
mesatarja	prosječnom
mesatarja	prosjek
zëvëndësues	zamjena
verbër	slijepa
palëve	strane
marka	marka
send	stvar
mbiemër	pridjev
russell	russell
ndau	dijele
dave	dave
dave	dava
justin	justin
maha	maha
mig	mig
ilustruar	ilustrovana
përshtatje	podešavanje
përshtatje	adaptacija
hondurasi	honduras
urtë	mudra
vlerësime	rejting
formalisht	formalno
jehonë	echoes
jehonë	jeka
krijim	stvaranje
bashkon	gomile
nelson	nelson
