максимилијан	maximilian
аргументи	argument
бојан	bojan
полинезиски	polynesiska
понеделник	måndag
партнерство	partnerskap
напуштат	överge
напуштат	fly
американците	amerikanerna
американците	amerikaner
дефиниран	definierad
дефиниран	definierat
дефиниран	definieras
дефиниран	definierade
дефиниран	aps
воведени	introducerade
воведени	introducerades
воведени	presenterade
воведени	infört
воведени	infördes
лесен	lätta
лесен	enkelt
лесен	lätt
лесен	easy
низи	strängar
глобално	globalt
глобално	globala
глобално	global
глобално	globalt
гер	guerre
екологија	ekologi
надминува	överskrider
надминува	överträffar
надминува	överstiger
достигнување	prestation
достигнување	prestation
даглас	douglas
тото	toto
даг	grävde
даг	grävt
даг	doug
лок	lok
лок	locke
започнување	lansering
започнување	sjösättning
сиетл	seattle
вектор	vektor
опаѓа	sjunker
пиво	öl
метју	mathew
метју	matthew
метју	matteus
метју	mater
аеродроми	flygplatser
одбивање	vägran
одбивање	avslag
одбивање	förkastande
одбивање	avslag
одбивање	avvisande
одбивање	avvisning
стомакот	magen
стомакот	mage
стомакот	buk
стомакот	buken
хормони	hormon
хормони	hormoner
хормони	hormonerna
микеланџело	michelangelo
шок	chock
шок	stöt
тенис	tennis
емил	emile
емил	emil
герман	tyska
герман	tysk
герман	tyskt
траење	löptid
траење	längd
траење	varaktighet
гај	gaius
гај	kille
гај	guy
гај	killen
идентификација	identifiera
идентификација	identifiering
идентификација	identifikation
тули	tegelstenar
тули	tegel
тули	tegelsten
тули	tegel
тули	tegelsten
тули	brick
тули	tully
алтернатива	alternativt
алтернатива	alternativa
алтернатива	alternativ
експанзија	utökning
експанзија	utbyggnad
експанзија	expansion
експанзија	utvidgning
оженет	gifta
оженет	gifte
оженет	gift
презентација	presentation
презентација	uppvisande
мекларен	mclaren
сатурн	saturn
сатурн	saturnus
перспектива	utsikter
перспектива	perspektivet
перспектива	perspektiv
малтретирање	mobbar
малтретирање	mobbning
малтретирање	trakasserier
изразена	uttryckte
изразена	uttryckta
изразена	uttrycks
изразена	uttryckt
стратешки	strategiska
стратешки	strategisk
стратешки	strategiskt
винсент	vincent
реализација	förverkligande
реализација	insikten
реализација	förverkligande
реализација	insikt
еднина	singular
чисти	rena
чисти	städa
чисти	ren
чисти	rent
чисти	clean
полско	polskt
полско	polsk
полско	polska
паднала	föll
паднала	trillade
паднала	ramlade
глад	hungersnöd
глад	svält
глад	hungersnöden
глад	svält
глад	svält
глад	hungern
глад	hunger
рене	renee
рене	renée
рене	rené
рене	rené
рене	rene
дозволуваат	tillåten
крунисан	krönt
претходна	föregående
претходна	tidigare
неопределено	fuzzy
неопределено	obestämd
директни	direkta
директни	regissera
директни	direkt
директни	direct
шанси	chanser
шанси	chance
шанси	slumpen
шанси	chans
шанси	shaanxi
гете	goethe
карактеризираат	karakterisera
илиноис	illinois
заробеништво	fångenskap
управниот	styrning
бура	åska
бура	åskväder
бура	stormen
бура	storm
валверде	valverde
театри	teatrar
театри	teatrar
театри	biografer
четврто	fjärde
григор	grigor
бренд	varumärket
бренд	brand
бренд	märke
бренд	varumärke
верувале	tros
верувале	trodde
подолги	längre
признаен	erkänd
признаен	erkänt
признаен	erkända
сервер	värd
сервер	host
сервер	servern
сервер	server
пирамида	pyramid
асистенции	bistår
бремен	bremen
изработена	utarbetat
изработена	inkallad
велигден	påsken
велигден	påsk
опкружен	omgiven
опкружен	omringade
опкружен	omringad
опкружен	omringat
графика	grafik
махмуд	mahmud
махмуд	mahmoud
платон	platon
платите	löner
платите	lön
платите	löner
значителни	avsevärd
значителни	betydande
оружја	vapen
администратори	administratörer
администратори	handläggare
администратори	administratörer
стандардни	standarden
стандардни	standard
решено	löste
решено	lösta
решено	löst
решено	löste
решено	lösta
решено	löst
прсти	tår
прсти	tårna
прсти	fingrar
прсти	fingrarna
рангиран	rankad
арѓеш	argeș
означи	taggen
означи	tagga
означи	tagg
марсел	marcel
клод	claude
бордо	bordeaux
фока	säl
фока	sigill
фока	seal
парма	parma
стабилна	pålitligt
стабилна	tillförlitligt
стабилна	stabil
стабилна	stabila
стабилна	stall
стабилна	stallet
стабилна	stabilt
лекари	doktorer
лекари	läkare
натриум	natrium
албрехт	albrecht
поинаку	avvikande
поинаку	olika
поинаку	annorlunda
наставник	lärare
групирани	grupperas
групирани	grupperade
квалитети	kvaliteter
далас	dallas
банско	bansko
картичка	kort
картичка	kortet
моторот	motorns
моторот	motor
моторот	motorn
мото	motto
мото	mottot
мото	moto
дрвена	trä
слободан	slobodan
признал	erkänt
признал	erkände
признал	bekände
колорадо	colorado
зимбабве	zimbabwe
тереза	teresa
тереза	theresa
студијата	studier
студијата	studie
студијата	studera
кејп	cape
кејп	kap
кејп	mantel
сегмент	nisch
сегмент	segmentet
сегмент	segment
патрон	patron
службеник	kontorist
роди	född
роди	born
роди	födda
роди	roddy
војводина	vojvodina
црево	slangen
црево	slang
црево	tarmarna
црево	tarmar
црево	tarmen
црево	tarm
црево	inälvor
темите	ämnen
јута	utah
јута	jutta
типична	typisk
типична	typiskt
типична	typiska
кристали	kristaller
кисела	alkaliska
кисела	alkalisk
магазин	tidskrift
магазин	tidskriften
магазин	tidningen
магазин	tidning
магазин	magasin
седмиот	sjunde
седмиот	seventh
аргумент	argumentation
аргумент	gräl
аргумент	argument
колонизација	kolonisation
сали	sully
сали	sali
сали	sulley
сали	sally
секција	avsnitt
секција	sektionen
секција	sektion
секција	avdelning
секција	avsnittet
плеј	slutspel
воспаление	inflammation
максимум	maximal
максимум	maximalt
максимум	maximum
максимум	högsta
фил	phil
течности	vätskor
течности	vätskor
охајо	ohio
војување	krigföring
јакоб	jakob
јакоб	jakob
јакоб	jacob
нејзе	hennes
нејзе	her
нејзе	henne
ломбардија	lombardiet
вршење	begår
бакар	koppar
мерења	mått
мерења	mätningar
усвоено	antaget
усвоено	antagna
усвоено	antagen
усвоено	adopterad
усвоено	antogs
варираат	varierar
варираат	variera
известување	rådgivning
известување	rådgivande
известување	anmälan
известување	underrättelse
индивидуи	privatpersoner
индивидуи	individer
жица	tråd
жица	ståltråd
педесет	femtio
педесет	fifty
андер	ander
нормални	normalt
нормални	normala
нормални	normal
адријан	adrian
дрим	drin
бангладеш	bangladesh
бронза	brons
хепберн	hepburn
цигари	cigaretter
цигари	cigarrer
цигари	cigarett
заклучи	lock
заклучи	lås
синоним	synonymt
синоним	synonym
велосипед	cykel
велосипед	cykel
судијата	judge
судијата	domare
судијата	domare
сандерленд	värmdö
сандерленд	sunderland
опозиција	motstånd
опозиција	oppositionen
опозиција	invändning
опозиција	opposition
дизајнер	designer
дизајнер	formgivare
екран	bildskärm
екран	skärmen
екран	skärm
роза	rose
роза	ros
роза	rosa
роза	roza
ејми	amy
водопади	faller
водопади	falls
водопади	vattenfall
потпис	signatur
потпис	underskrift
потпис	namnteckning
потпис	undertecknande
пронајдена	funnen
пронајдена	hittad
пронајдена	hittades
пронајдена	hittas
пронајдена	hittat
пронајдена	hittade
волт	walt
дискриминација	diskriminering
наслови	rubriker
наслови	rubrikerna
наслови	rubriker
наслови	titlar
ага	aga
куско	cusco
произведе	producerar
произведе	producera
одделно	separat
одделно	separat
одделно	separata
одделно	separera
судска	rättsligt
судска	dömande
убијци	lönnmördare
убијци	mördare
убијци	mördare
магдалена	magdalena
магдалена	magdalena
данскиот	danskt
данскиот	dansk
данскиот	danska
осудени	dömd
осудени	fälld
осудени	dömda
осудени	dömt
осудени	dömd
осудени	dömda
осудени	dömde
осудени	dömd
осудени	dömda
осудени	dödsdömd
осудени	dömt
просториите	lokalerna
просториите	lokaler
кирибати	kiribati
монро	monroe
патувал	reste
патувал	rest
патувал	reste
патувал	rest
изгубени	förlorat
изгубени	förlorad
изгубени	vilse
изгубени	lost
изгубени	förlorade
етички	etiska
етички	etiskt
етички	etisk
етички	etiskt
стрес	stressa
стрес	stress
лукас	lucas
лукас	lukas
фотографијата	photo
фотографијата	foto
секаде	överallt
тибет	tibet
заработи	tjäna
заработи	förtjäna
автономни	självständig
автономни	autonoma
автономни	självstyrande
автономни	autonom
паралелни	parallell
паралелни	parallella
паралелни	parallellt
линкови	anknyter
линкови	länkar
мара	mara
нилски	flodhäst
новела	novell
новела	romanen
новела	roman
новела	novella
прослава	firande
сок	juice
сок	saft
родно	infödda
родно	inhemska
кану	kanot
номинирана	nominerade
номинирана	nomineras
номинирана	nominerad
номинирана	utsedda
александра	alexandra
александра	aleksandra
симетрија	symmetri
физиологија	fysiologi
оперски	opera
оперски	operan
злото	onda
злото	ondskan
злото	ondska
злото	evil
злото	ond
злото	ont
беркли	berkeley
архив	arkiv
архив	arkiverar
архив	arkivera
архив	arkiv
архив	arkiverar
архив	arkiven
накратко	kortfattat
накратко	kortvarigt
возови	tågen
возови	tåg
изабела	isabella
изабела	isabelle
плато	platå
опции	väljare
опции	möjligheter
опции	valmöjligheter
опции	alternativ
опции	optioner
хасан	hassan
хасан	hasan
жупа	župa
корисна	användbar
корисна	användbara
корисна	användbart
корисна	nyttig
преведени	översatt
преведени	översatta
жолти	gula
жолти	gult
жолти	gul
испраќање	sändande
испраќање	sänder
испраќање	skickar
испраќање	skicka
богатства	skatter
богатства	rikedomar
богатства	rikedom
здравство	sjukvård
здравство	hälsovård
умерено	måttligt
умерено	måttlig
соберат	samlas
соберат	samla
фрески	fresker
јон	ion
отиде	åkte
отиде	gick
босански	bosniska
партизани	partisaner
ракометна	handboll
сахара	sahara
раѓа	född
раѓа	born
раѓа	födda
наводнување	bevattning
должности	arbetsuppgifter
должности	tullar
сфати	förstått
сфати	uppfattat
сфати	förstod
сфати	förstår
сфати	förstå
сфати	realisera
сфати	inse
хром	chrome
хром	krom
хром	krom
лед	is
лед	ice
електронско	elektronisk
електронско	elektroniskt
електронско	elektroniska
опстанок	överlevnad
демо	demo
демо	demonstration
доза	dos
доза	dosering
доза	dos
доза	dosen
воздушни	antenn
извршната	körbar
германци	tyskar
намибија	namibia
спроведена	utförd
спроведена	genomförde
гласа	röster
гласа	omröstningar
гласа	omröstning
бронзен	brons
викенд	helg
викенд	weekend
викенд	helgen
викенд	veckoslut
заменета	ersatta
заменета	ersätts
заменета	ersatte
заменета	ersatt
заменета	ersattes
заменета	utbytt
фабрики	fabriker
фабрики	fabrikerna
емирати	emirates
минимум	minimalt
минимум	minst
минимум	minimum
минимум	minsta
недоволно	otillräckliga
недоволно	otillräcklig
недоволно	otillräckligt
универзален	universella
универзален	universal
универзален	universell
универзален	universellt
спортист	idrottsman
спортист	idrottare
спортист	idrottsman
ангола	angola
поглавје	kapitel
поглавје	kapitlet
намален	minskat
намален	reducerad
намален	minskade
намален	nedsatt
намален	sänkt
намален	reducerat
намален	minskat
вигинс	wiggins
достигнат	uppnådda
достигнат	nått
достигнат	nås
достигнат	nådd
достигнат	nåtts
достигнат	räckvidden
достигнат	reach
достигнат	nå
достигнат	räckvidd
стотина	hundra
стотина	hundred
стотина	hundratals
стотина	hundratal
алтернативен	suppleant
алтернативен	alternativt
алтернативен	alternativa
кемал	kemal
видлива	synlig
видлива	synligt
видлива	synliga
сведочи	vittnar
сведочи	vittna
сведочи	vittnar
откриваат	avslöjar
откриваат	avslöja
вратен	återvänt
вратен	återvände
просечен	genomsnitt
просечен	genomsnittligt
просечен	medelvärde
просечен	genomsnittliga
просечен	genomsnittlig
инка	inca
инка	tratt
ротација	rotation
ротација	rotera
тенкови	stridsvagnar
тенкови	tanks
тенкови	tankar
загрозен	utrotningshotade
загрозен	hotade
загрозен	hotad
загрозен	hotas
загрозен	hotat
загрозен	hotade
загрозен	hotad
човечко	mänskliga
човечко	mänsklig
човечко	mänskligt
човечко	människa
опен	öppna
опен	open
опен	öppet
опен	öppen
публикации	publikationer
теодора	theodora
заболување	sjukdomar
заболување	sjukdom
прстени	ringarna
прстени	rings
прстени	ringar
воведува	introducerar
воведува	introduceras
практики	praktiserar
практики	praxis
младоста	ungdomar
младоста	ungdom
младоста	ungdomsfrågor
болки	värk
болки	smärta
болки	pain
болки	smärtor
болки	värk
академска	akademisk
академска	akademiker
академска	akademiska
академска	akademiskt
практична	praktiskt
практична	praktisk
практична	praktiska
тврдејќи	argumentera
тврдејќи	argumenterar
тврдејќи	grälade
тврдејќи	bråkar
тврдејќи	anspråk
тврдејќи	påstår
тврдејќи	hävdar
панама	panama
театарска	teatralisk
мастерс	masters
мастерс	herrar
каталонија	katalonien
галиција	galicien
сенка	skugga
сенка	shadow
сенка	skuggan
сенка	skugga
сенка	skuggan
сенка	nyans
привилегии	privilegium
привилегии	privilegier
привилегии	befogenheter
привилегии	privilegier
занает	farkost
занает	farkoster
занает	craft
занает	hantverk
витези	riddare
скијање	skidor
скијање	skidåkning
брест	brest
анастасија	anastasia
оман	oman
диригент	konduktören
диригент	dirigent
супстанции	substans
супстанции	ämne
супстанции	ämnen
супстанции	substanser
вечери	middagar
вечери	kvällstid
вечери	kvällar
вечери	kvällarna
гнездо	näste
пфалц	pfalz
кралско	kungliga
кралско	royal
кралско	kunglig
кралско	kungligt
кралско	kejserliga
кралско	imperial
резерват	reserv
резерват	reserven
резерват	reservera
религиозна	religiöst
религиозна	religiösa
религиозна	religiös
топлината	värme
математичари	matematiker
вага	libra
фрази	meningar
фрази	fraser
лорен	lorraine
лорен	lauren
лорен	loren
кнежевство	furstendömet
кози	getter
установа	anläggning
карибите	karibiska
карибите	västindien
карибите	karibien
теологија	teologi
исклучоци	undantag
исклучоци	undantagen
оператор	aktör
оператор	operatören
оператор	operatör
јачина	intensitet
јачина	storleksordning
утрински	godmorgon
утрински	morgon
утрински	morning
неуспешен	misslyckad
носејќи	bäring
носејќи	bärande
носејќи	bärande
наша	våra
наша	vårat
наша	vår
наша	vårt
наша	våran
наша	våra
наша	vårat
наша	vår
наша	vårt
наша	våran
грмушки	buskar
грмушки	bush
грмушки	buske
сегменти	segment
ремо	remo
зајак	kanin
зајак	hare
доволна	nog
доволна	tillräckligt
наставници	lärare
наставници	lärarna
лош	bad
лош	dåligt
лош	dåliga
лош	dålig
кал	gyttja
кал	lera
кал	kal
кал	cale
кал	cal
дан	dan
дан	dunne
дан	dunn
дан	dun
соочи	ansikte
соочи	ansiktet
соочи	face
помало	mindre
помало	mindre
урбана	urban
урбана	urbana
урбана	tätort
шести	sexan
шести	sjätte
предизвик	utmaningen
предизвик	challenge
предизвик	utmanar
предизвик	utmana
предизвик	utmaning
малтер	murbruk
малтер	granatkastare
исполнети	uppfyllt
исполнети	uppfyllde
исполнети	uppfyllda
матеј	matthew
матеј	matteus
претседателството	ordförandeskapet
претседателството	ordförandeskap
ријана	rihanna
пенали	sanktioner
пенали	påföljd
пенали	straff
пенали	påföljder
пенали	straffar
радиус	radie
незадоволство	missnöje
незадоволство	missnöje
свештеникот	präst
предизвикувајќи	orsakar
предизвикувајќи	utlöser
празни	tomma
празни	tomt
празни	tom
шефот	chef
шефот	chief
шефот	chefen
шефот	hövding
шефот	chef
шефот	chefen
шефот	bossen
шефот	boss
четворица	fyra
гледајќи	tittar
пластика	plaster
пластика	plast
пластика	plast
јемен	jemen
јемен	yemen
уран	uranus
обоени	målade
обоени	målad
обоени	målas
обоени	målat
обоени	färgade
обоени	färgat
обоени	färgad
обоени	färgade
обоени	färgat
обоени	färgad
портрети	porträtt
австронезиски	austronesiska
алба	alba
глетка	syn
глетка	sikte
идентификува	identifierar
идентификува	identifieras
божиќ	christmas
божиќ	jul
божиќ	julen
алгебра	algebra
боби	bobby
ранети	sårad
ранети	skadad
ранети	skadade
ранети	sårade
роси	rossi
учествуваше	deltagit
учествуваше	deltog
учествуваше	medverkade
мештаните	lokalbefolkningen
покриен	täcks
покриен	täckt
покриен	täckta
покриен	täckte
точна	noggrann
точна	korrekt
точна	exakta
точна	exakt
точна	korrigera
точна	rätta
точна	korrekt
точна	rätt
подот	kapsel
подот	våningen
подот	våning
подот	golv
подот	golvet
обемот	volym
дипломат	diplomat
месопотамија	mesopotamien
должноста	plikt
должноста	tull
пури	cigarr
пури	cigarrer
инцидент	händelse
инцидент	incident
инцидент	tillbud
работеше	fungerade
работеше	arbetade
работеше	jobbat
работеше	jobbade
работеше	funkade
работеше	arbetat
вторник	tisdag
вирус	virus
вирус	viruset
добиток	nötboskap
добиток	nötkreatur
добиток	boskap
посредник	mellanhand
посредник	förmedlare
посредник	mellanhand
посредник	förmedlande
посредник	medlare
траат	varar
состаноци	möten
состаноци	sammanträden
сиромаштија	fattigdom
сиромаштија	fattigdomen
геолошки	geologisk
геолошки	geologiska
шер	shere
шер	sher
шер	cher
алмати	almaty
разгледува	överväger
обележани	markerat
обележани	märkta
обележани	markerade
обележани	markerad
обележани	märkt
курсеви	banor
курсеви	kurser
фокус	fokus
фокус	fokusera
фокус	focus
дејан	dejan
конкретни	specifik
конкретни	specifika
конкретни	särskilda
конкретни	specifikt
конкретни	konkret
конкретни	betong
конкретни	konkreta
супстанца	substans
супстанца	ämne
наназад	bakåt
наназад	baklänges
наназад	bakåt
лејди	dam
лејди	damen
лејди	lady
рап	rappa
рап	rapp
рап	rap
скали	stegar
скали	trappa
скали	trappan
скали	trappsteg
скали	trappa
скали	trappor
скали	trappa
раководители	chefer
раководители	chefer
ресурсите	medel
ресурсите	resurser
очекувања	förväntningar
очекувања	förväntningarna
очекувања	förhoppningar
примарна	primär
примарна	primärt
примарна	primära
времетраење	löptid
времетраење	längd
времетраење	varaktighet
лесна	lätta
лесна	enkelt
лесна	lätt
лесна	easy
лесна	lätta
мадагаскар	madagaskar
едрене	edirne
праќа	skickar
праќа	sänder
типични	typisk
типични	typiskt
типични	typiska
пејџ	paige
џордан	jordan
џордан	jordanien
постоечки	befintligt
постоечки	befintlig
постоечки	befintliga
постоечки	existerande
јапонска	japansk
јапонска	japanska
јапонска	japaner
јапонска	japanskt
џузепе	giuseppe
џејсон	jason
извршат	begå
извршат	arkivera
вегас	vegas
статистичка	statistiska
статистичка	statistisk
статистичка	statistiskt
големини	storlekar
признат	erkänd
признат	erkänt
признат	erkända
признат	erkänd
признат	erkänt
признат	erkända
признат	igenkänd
остро	starkt
остро	kraftigt
остро	skarp
остро	sharp
остро	vassa
остро	skarpa
остро	skarpt
формирано	bildas
формирано	bildade
формирано	bildats
формирано	bildat
формирано	bildades
атракција	attraktion
атракција	dragning
параметар	parametern
параметар	parameter
експлоатација	exploatering
експлоатација	utnyttjande
експлоатација	prospektering
експлоатација	utforskning
конечен	slutliga
конечен	final
конечен	slutligt
конечен	sista
конечен	slutgiltigt
конечен	slutlig
пештери	grottor
пештери	grottorna
андалузија	andalusien
вишок	överskottet
вишок	överskott
вишок	överflödiga
вишок	överflödig
вишок	överflödigt
вишок	överflödigt
вишок	överskott
стенфорд	stanford
нормандија	normandie
нормандија	normandie
изложеност	exponeringen
изложеност	exponering
антропологија	antropologi
хаити	haiti
свадба	bröllop
оценка	score
оценка	poäng
сони	sony
сони	sonny
нирнберг	nürnberg
изолација	isolering
ралф	ralf
ралф	ralph
самуил	samuel
следна	nästa
следна	härnäst
стравот	fruktan
стравот	skräck
стравот	rädsla
стравот	frukta
почитува	respekterar
ритуали	ritualer
интензитет	intensitet
обнови	återställ
обнови	återställa
обнови	återställning
обнови	förnya
обнови	förnyar
промовирање	främjande
промовирање	befordran
промовирање	marknadsföring
промовирање	kampanj
промовирање	främja
промовирање	marknadsföra
поразена	utplånat
поразена	besegrade
поразена	besegrat
поразена	besegrades
поразена	besegrad
упатува	hänvisningar
упатува	referenser
согорување	förbränning
согорување	förbränning
заседа	bakhåll
континуирано	fortlöpande
континуирано	kontinuerligt
континуирано	oavbrutet
континуирано	kontinuerlig
континуирано	kontinuerliga
континуирано	fortlöpande
континуирано	kontinuerligt
континуирано	kontinuerligt
факултети	högskolor
факултети	fakulteter
евиденција	records
евиденција	register
евиденција	skivor
евиденција	logg
евиденција	logga
индиректно	indirekt
индиректно	indirekta
индиректно	indirekt
спротивни	motsatsen
спротивни	mittemot
спротивни	motsatt
спротивни	motsatta
кралевите	kings
кралевите	kungar
кралевите	konungar
кралевите	kungarna
пеколот	hell
пеколот	helvete
пеколот	helvetet
пеколот	inferno
сознанија	fynd
тениско	tennis
протест	protest
протест	protester
протест	protesterar
протест	protestera
рајот	himmel
рајот	heaven
рајот	himlen
рајот	himmelriket
рајот	himmelen
панорама	panorama
опасни	farliga
опасни	farlig
опасни	farligt
почина	dog
почина	dött
ангели	änglar
ангели	angels
еми	emmy
шеми	mönster
шеми	ordningar
среда	onsdag
среда	onsdagar
врат	hals
врат	nacken
врат	nacke
собири	sammankomster
играчки	leksaker
медичи	medici
масовни	massa
масовни	mässan
масовни	mässa
масовни	mass
масовни	massiva
масовни	massiv
масовни	massivt
масовни	massive
