पोर्ट्रेट	retrato
तलाक़	o
तलाक़	divorciar
घोड़ी	egua
घोड़ी	égoa
घोड़ी	cabalo
घोड़ी	kingston
आँखे	os
आँखे	ollos
गैसोलीन	gasolina
वैगन	carriño
नॉर्टन	norton
महामहिम	excelencia
महामहिम	excelência
मरोड़	xiro
एक्सप्रेशन	expresión
लीगल	xudicial
लीगल	legal
लीगल	legais
चरवाहे	vaqueiro
चरवाहे	de
झाँकी	escena
झाँकी	escea
मांगे	reivindicacións
लूटने	saqueo
जेनरेशन	xeración
जेनरेशन	da
फ़्रैंक	frank
फ़्रैंक	franco
सुपीरियर	superior
सुपीरियर	superiores
पैटरसन	patterson
स्कॉट्स	escoceses
बूढ़ा	anos
बूढ़ा	vellos
बूढ़ा	vello
बूढ़ा	vella
नर्क	inferno
नर्क	carallo
नर्क	demo
नर्क	cona
मॉनीटर	monitor
बीमारियाँ	enfermidades
बीमारियाँ	enfermedades
बीमारियाँ	doenzas
आशावादी	optimistas
आशावादी	optimista
नफ़रत	odio
नफ़रत	os
नफ़रत	o
नफ़रत	a
मुर्गा	galiña
मुर्गा	polo
मुर्गा	pito
नौकरानी	criada
डांग	dong
निकाह	casar
निकाह	con
हैंड्स	mans
हैंड्स	man
हैंड्स	as
रीयल	real
रीयल	de
रीयल	verdade
अलोन	soa
अलोन	só
अलोन	sós
अलोन	soas
अलोन	en
अलोन	paz
पियर	peirao
हैंडल	manexar
हैंडल	arranxar
हैंडल	mango
हैंडल	facer
हैंडल	diso
सीढ़ियाँ	escaleiras
सीढ़ियाँ	as
सीढ़ियाँ	escaleira
आवाजें	soa
आवाजें	parece
आवाजें	sons
आवाजें	en
आवाजें	sona
कमज़ोरी	debilidade
धुआं	fume
धुआं	fumar
धुआं	para
धुआं	fumo
लाइम	cal
लाइम	lima
पहनावा	roupa
जोग	xiro
खिलाया	farto
खिलाया	de
खिलाया	alimentado
मिन्ह	minh
मिन्ह	vietminh
फोटोग्राफ	fotografía
फोटोग्राफ	foto
लक	sorte
लाइट्स	luces
लाइट्स	as
लाइट्स	luz
लाइट्स	apaguen
क्षुद्र	trivial
ऐना	anna
एकजुटता	a
एकजुटता	solidariedade
मोहब्बत	amor
मोहब्बत	o
मोहब्बत	agarimosa
ब्रांडी	brandy
मैन्युअल	manual
दफ़न	soterrar
हैकिंग	piratería
पैंट	pantalóns
पैंट	ruta
पैंट	no
पैंट	os
पैंट	pantalón
पैंट	brancos
नीयत	por
लेसर	láser
श्वान	can
बीजी	bg
ट्रिक	truco
लडकी	moza
लडकी	rapaza
लडकी	nena
हाउसिंग	vivenda
ड्रिल	perforar
अंगूठा	polgar
मिक	mick
कड़वा	amarga
अग्नाशय	páncreas
लाइनर	cruceiro
फ़िनलैंड	finlandia
बमों	bomba
प्राथमिकताओं	prioridades
प्राथमिकताओं	as
ठहरे	ficou
ठहरे	por
जन्नत	paraíso
जन्नत	o
सदमे	choque
सदमे	de
सदमे	asalto
सदमे	conmoción
सदमे	electrochoques
शेरिफ	alguacil
शेरिफ	shérif
शेरिफ	gobernador
बार्नी	barney
उपदेशक	sacerdote
पैनी	a
पैनी	penique
पैनी	penny
अधि	aguda
यकीनन	seguro
यकीनन	de
यकीनन	que
यकीनन	certo
यकीनन	claro
यकीनन	si
शुगर	azucre
स्टोर्स	almacéns
स्टोर्स	depósitos
स्टोर्स	provisións
रील	pista
रील	track
रील	camiño
रील	rastro
रील	cambios
रील	hipódromo
रील	parte
मीत	agarimosa
बंगले	cabana
स्टाफ़	persoal
स्टाफ़	bastón
स्टाफ़	de
स्टाफ़	plantilla
गेंदें	pelotas
गेंदें	collóns
गेंदें	ovos
गेंदें	as
गैलिक	gaélico
नकाब	máscara
नकाब	máscaras
हिग्स	higgs
हिग्स	de
संता	santa
लापरवाह	imprudente
लापरवाह	da
जोड	ademais
जोड	tamén
अंगरक्षक	garda
आंकडे	estatísticas
सायंकाल	tarde
सायंकाल	noite
सायंकाल	serán
सायंकाल	noites
सायंकाल	tardes
इकाईयाँ	unidades
नौकरियां	traballos
नौकरियां	traballo
सीखे	aprendín
सीखे	que
सीखे	aprenderon
सीखे	aprendemos
सीखे	aprendeu
सीखे	descubrimos
बरबाद	lixo
बरबाद	residuos
बरबाद	perda
बरबाद	perder
बरबाद	tempo
खोना	perder
खोना	perdemos
कार्रवाइयों	as
कार्रवाइयों	accións
एनिमल	animais
एनिमल	animal
स्टिल	aínda
स्टिल	segue
एंट्री	entrada
एंट्री	vigor
माँगी	pregunteille
माँगी	preguntou
माँगी	lle
कटोरी	pratos
कटोरी	bowl
कटोरी	cunca
नीग्रो	negros
नीग्रो	negro
नॉक	toc
नॉक	knock
नॉक	vouche
माइल	milla
रोल्स	e
जुदाई	separación
फ्रेश	fresco
फ्रेश	fresca
फ्रेश	frescos
फ्रेश	descarado
फ्रेश	descarados
फ्रेश	frescas
फ्रेश	cambiar
सुचना	información
गुरूजी	corda
गुरूजी	cordo
बाक्स	caixas
बाक्स	palcos
हथियारबंद	armados
हथियारबंद	armado
हथियारबंद	armada
हथियारबंद	armadas
पत्नियाँ	mulleres
पत्नियाँ	as
पत्नियाँ	esposas
पत्नियाँ	súas
भोजनालय	restaurante
अकेलापन	fica
अकेलापन	illado
अकेलापन	soidade
हस्तचालित	manual
चालें	se
चालें	move
घबरा	nerviosa
घबरा	nervioso
घबरा	nerviosos
घबरा	nervios
जॉली	moi
आर्किटेक्ट	arquitecto
आर्किटेक्ट	arquitectos
गिरफ़्तारी	deter
गिरफ़्तारी	arresto
भागा	marcharon
भागा	sen
ड्राईवर	condutor
ड्राईवर	de
ड्राईवर	o
ड्राईवर	permiso
देवत्व	divino
हत्यारों	asasinos
व्हीलर	wheeler
शादीशुदा	casou
शादीशुदा	casar
शादीशुदा	casado
अनपेक्षित	inesperado
स्प्रेड	se
स्प्रेड	estendeu
इज्जत	respectar
इज्जत	respeto
इज्जत	respecto
इज्जत	respéctanme
नंगा	espido
यूटोपिया	utopía
जख्म	ferida
बॉटम	fondo
बॉटम	final
बॉटम	do
बॉटम	inferior
बॉटम	abaixo
बॉटम	todo
सीखें	aprenden
सीखें	aprender
सीखें	a
रेलरोड	tren
क्विक	rápido
क्विक	axiña
क्विक	rápida
क्विक	veña
क्विक	marchar
रूख	actitude
रूख	atrancos
रूख	pensas
गरज	canóns
गरज	trono
गरज	os
गरज	tronos
सांड	touro
आसमानी	ceo
चाइनीज	os
चाइनीज	chineses
चाइनीज	chinés
चाइनीज	chinesas
चाइनीज	chinesa
मरना	morren
मरना	morte
मरना	morrendo
मरना	morrer
मरना	moribundos
मरना	por
सूचीपत्र	catálogos
सूचीपत्र	catálogo
बेरोजगार	no
बेरोजगार	paro
बेरोजगार	parados
बेरोजगार	aumento
तम्बू	tenda
तम्बू	carpa
जेकब	xacob
रब्बी	rabino
पाँचवा	quinta
पाँचवा	quinto
पापा	pai
पापा	papá
पापा	papá
क्रिस्टो	cristo
हीनता	inferioridade
हजारो	miles
हजारो	milleiros
फील्ड्स	campos
फील्ड्स	campo
फील्ड्स	leiras
कैटलॉग	catálogos
कैटलॉग	catálogo
फिक्सिंग	arranxar
पार्ट्स	partes
पार्ट्स	picos
पार्ट्स	xemelgos
स्तिथ	atópanse
फेरे	a
फैंटम	membro
फैंटम	pantasma
फैंटम	carreta
ग़म	dor
ग़म	pena
ओपनिंग	abrir
ओपनिंग	apertura
ख़्याल	noción
ख़्याल	idea
डाइविंग	mergullar
पर्दाफाश	exposto
पर्दाफाश	á
माणिक्य	ruby
केनी	kenny
रणभूमि	campo
रणभूमि	batalla
रणभूमि	de
मौसी	tía
सिनेमाघर	teatro
एल्विस	elvis
फिगर	figura
फिगर	que
फिगर	descubrir
फिगर	pensar
जम्प	así
जम्प	saltar
जम्प	chimpa
बक्सा	caixa
बक्सा	palco
डायमण्ड	diamante
डायमण्ड	verdade
जिद	en
तेवर	actitude
तेवर	atrancos
तेवर	pensas
आह	ah
आह	aah
आह	ah
जुए	xogo
पाथ	camiño
पाथ	senda
पाथ	seu
काश	gustaríame
काश	desexo
काश	desexaría
काश	oxalá
रीसाइक्लिंग	reciclaxe
मछुआरे	pescador
शेल्फ	estantes
परदा	pantalla
परदा	da
परदा	ecrán
याकूब	xacob
मैल	servizo
मैल	terra
डुबो	afogar
ड्रैकुला	drácula
क्रिस्चियन	christian
क्रिस्चियन	cristiáns
एचएएल	hal
अहमियत	importancia
तनावों	estrés
उबाऊ	aburrido
उबाऊ	aburrida
कंधा	ombro
कंधा	ombreiro
देशप्रेम	patriotismo
पोकर	póquer
पोकर	ao
पोकर	de
वॉइस	voz
वॉइस	a
हिरोशिमा	hiroshima
कैप्चर	a
कैप्चर	capturar
गुच्छा	morea
गुच्छा	uns
गुच्छा	de
गुच्छा	chea
गुच्छा	grupo
गुच्छा	fato
शिप	barco
स्ट्रेस	estrés
पतलून	pantalóns
पतलून	pantalón
उड़ती	a
उड़ती	voando
उड़ती	voar
बैंक्स	bancos
पिज्जा	pizza
लड़कियाँ	as
लड़कियाँ	ás
लड़कियाँ	rapazas
लड़कियाँ	mozas
लड़कियाँ	nenas
उडान	voo
सुसान	susan
संस्थापना	aparello
संस्थापना	instalación
सनशाइन	sol
सनशाइन	luz
सनशाइन	do
हेली	haley
झाग	escuma
प्रशिक्षकों	educadores
रीको	rico
रीको	ei
वर्जन	versión
कमीज़	camisa
कमीज़	camiseta
कंडक्टर	director
मेरीलैंड	maryland
रिओ	río
निचोड़	expremer
जेलर	carcereiro
नाखुश	infeliz
उपसमुच्चय	subconxunto
हड्डियाँ	ósos
अशिष्ट	aproximada
अशिष्ट	vaga
अशिष्ट	duro
अशिष्ट	mal
अशिष्ट	moi
अशिष्ट	duros
अशिष्ट	duras
फ्रेडी	freddie
बिल्ड	construír
बिल्ड	crear
बिल्ड	construir
ख़रीदे	mercar
ख़रीदे	comprar
नुक़सान	dano
नुक़सान	mal
जबड़ों	mandíbula
रेक्स	rex
मति	alucinacións
मति	as
भिंड	a
भिंड	voando
भिंड	voar
नामुमकिन	imposible
नामुमकिन	imposíbel
कम्युनिस्टों	os
कम्युनिस्टों	comunistas
तालों	piscinas
अभियोजक	fiscal
मैसेंजर	mensaxeiro
होल्डर	titular
मर्लिन	marilyn
ट्रेवल्स	viaxa
ट्रेवल्स	viaxes
हथौड़ा	martelo
हितकर	beneficiosa
होशियार	máis
होशियार	intelixente
संजाल	rede
संजाल	de
हालातों	circunstancias
पंजी	dados
पंजी	o
पंजी	roll
पंजी	rolo
रिस्क	riscos
रिस्क	risco
रिस्क	perigo
रिस्क	en
रिस्क	arriscar
स्वांग	truco
हड्डियां	ósos
पैलेट	paleta
क़िस्म	escribir
क़िस्म	tipo
क़िस्म	de
क़िस्म	clase
सैंड	area
राजनीती	política
राजनीती	a
राजनीती	políticas
निम्नतर	máis
निम्नतर	inferior
निम्नतर	baixos
निम्नतर	pulmonar
निम्नतर	calefacción
चेहरों	rostros
चेहरों	caras
टाइपराइटर	máquina
बताओ	dicir
बताओ	dille
गोता	inmersión
बैक्टीरियल	bacteriana
बैक्टीरियल	bacteriano
तारीफ़	gábote
तारीफ़	teu
वारियर्स	guerreiros
हस्तमैथुन	masturbación
फ़ास्ट	rápido
फ़ास्ट	velocidade
मारो	matar
मारो	a
थैंक्सगिविंग	acción
थैंक्सगिविंग	gracias
निर्वचन	interpretación
ज़ूम	fixarnos
मार्गदर्शिका	guía
जहन्नुम	inferno
जहन्नुम	carallo
जहन्नुम	demo
जहन्नुम	cona
पॉली	polly
बंदूकें	armas
बंदूकें	fusís
बंदूकें	as
बंदूकें	armados
बंदूकें	metralladoras
ऑफर	oferta
ऑफर	ofrecer
ऑफर	lle
ऑफर	unha
दबदबा	dominación
बास्केट	baloncesto
बास्केट	básquet
वोन	von
स्ट्रक्चर	estrutura
स्ट्रक्चर	rede
मूँगा	de
मूँगा	coral
कमीज	camisas
कमीज	camisa
कमीज	camiseta
रसोईघर	cociña
रसोईघर	sloan
यजमान	artista
प्लवक	plancto
कॉन	con
मिथेन	metano
रवांडा	ruanda
मिसाइलें	mísiles
किसानो	labregos
किसानो	agricultores
चुनें	elixir
चुनें	escollen
चुनें	escoller
चुनें	que
चुनें	o
चुनें	a
चुनें	escolle
चुनें	recoller
शिन	canela
आलीशान	instituto
आलीशान	altos
आलीशान	alto
आलीशान	alta
फ्लावर	flor
बेरोज़गारी	paro
एंड्रॉइड	android
लकीरें	cresta
लकीरें	liñas
लकीरें	de
लकीरें	trincheiras
लकीरें	frases
पर्स	bolso
जेफरसन	jefferson
हेट	odio
हेट	os
हेट	o
हेट	a
पंखा	fan
मिनट्स	minutos
पीडित	da
पीडित	vítima
लिवर	fígado
अल्जाइमर	alzheimer
अल्जाइमर	alzhéimer
बेनाम	anónimos
दूल्हा	noivo
दूल्हा	mozo
छतें	tellado
छतें	teito
दाउद	david
सिखा	ensino
सिखा	ensinar
सिखा	ensinarche
डायबिटीज	diabetes
मरता	morre
सेक्सी	sexy
चिंताजनक	preocupa
रिसॉर्ट	recorren
रिसॉर्ट	recorrer
सैनिको	soldados
सैनिको	os
पास्ट	pasado
पास्ट	últimos
सत्ताधारी	dominante
आवाज़ें	voces
ऊब	aburrida
लवली	fermoso
लवली	encantador
लवली	preciosa
बेवकूफ	estúpido
बेवकूफ	estúpida
बेवकूफ	estúpidos
बेवकूफ	parvo
बेवकूफ	estúpidas
बेवकूफ	parvadas
व्यवसायियों	empresarios
क्लीनिक	clínica
भीड	multitude
भीड	masa
भीड	vista
भीड	xente
बाथरूम	baño
बाथरूम	cuarto
गंदा	porca
गंदा	sucio
घोडे	cabalos
घोडे	os
पहलु	aspecto
ड्रिंक	beber
ड्रिंक	bebe
ड्रिंक	copa
थूक	cuspir
इलाज़	cura
इलाज़	curación
इलाज़	interesábame
इलाज़	curar
कर्ज़	débeda
दूल्हे	noivo
दूल्हे	mozo
आत्मीय	parentes
आत्मीय	familiares
स्वः	eu
स्वः	presente
फ़ायर	lumes
पाइंट	momento
पाइंट	punto
गायें	as
गायें	vacas
मूँगे	de
मूँगे	coral
चुराया	roubado
चुराया	datos
चुराया	roubada
चुराया	roubei
चुराया	roubaron
चुराया	roubaches
चुराया	o
चुराया	roubou
चुराया	estola
चुराया	rouboume
परिचर्चा	discusión
जबसे	desde
जबसे	xa
जबसे	que
जबसे	dende
खाओ	comer
खाओ	come
खाओ	comen
डटकर	pasa
डटकर	parece
अधिकारीयों	oficiais
अधिकारीयों	os
अधिकारीयों	seus
अधिकारीयों	policías
डरावना	medo
मोंटाना	montana
कलाकारी	artística
कलाकारी	artístico
खच्चर	mula
खिड़कियाँ	fiestras
स्लाइस	rebándenme
स्लाइस	rebanda
स्लाइस	faise
भंडारित	almacénanse
भंडारित	almacenados
इंद्रधनुष	arco
इंद्रधनुष	vella
इंद्रधनुष	da
कॉलिंग	chama
कॉलिंग	a
कॉलिंग	por
कॉलिंग	chamando
कॉलिंग	chamar
एक्टिंग	a
एक्टिंग	actuando
एक्टिंग	actuar
बिकता	vende
गम्भीरता	gravidade
गम्भीरता	a
बुर्जुआ	burguesa
बुर्जुआ	burgueses
फ़्लाइट	voo
अपराह्न	pm
साला	maldito
साला	idiota
साला	malditos
मंकी	mono
मंकी	monos
ब्रावो	bravo
कायर	covarde
हनीमून	de
हनीमून	mel
हनीमून	lúa
हनीमून	vodas
टीचर	profesor
टीचर	mestra
टीचर	mestre
यूरोपियाई	europea
यूरोपियाई	europeas
सुकून	felicidade
क्रिमिनल	penal
क्रिमिनल	criminais
क्रिमिनल	criminal
क्रिमिनल	crime
सज्जनों	señores
सज्जनों	cabaleiros
हथेलियों	palmas
चादरें	sabas
स्मोकिंग	cigarros
किंग्सले	kingsley
डोरिस	doris
टेलीफ़ोन	teléfono
टेलीफ़ोन	ao
टेलीफ़ोन	telefonar
सोरेन	soren
ढूंढना	atopar
ढूंढना	de
ढूंढना	que
ढूंढना	a
स्किन	pel
स्किन	ósos
सर्दियाँ	no
सर्दियाँ	inverno
सर्दियाँ	o
जोक	broma
जोक	chiste
जोक	bromas
जोक	gracia
जोक	conto
लेलैंड	leland
विस्मयकारी	fabuloso
संगी	socio
अतुल्य	incríbel
अतुल्य	incrible
डियर	querido
डियर	querida
टिकटें	billetes
टिकटें	entradas
पिस्टल	pistola
क्यूबन	cubana
क्यूबन	cubanas
राजतिलक	da
राजतिलक	coroación
ऐल्प्स	alpes
नून	mediodía
राज्यो	unidos
राज्यो	ee
राज्यो	estados
राज्यो	uu
राज्यो	eua
देशद्रोह	a
गश्त	patrullas
लक्ज़री	luxo
झुकना	apoiarse
शिकस्त	vencer
शिकस्त	derrota
ब्रोकोली	brócoli
एम्बुलेंस	ambulancia
ब्रुकलीन	brooklyn
शय्या	cama
कन्धों	ombros
आरपार	en
आरपार	todo
आरपार	entre
आरपार	por
आरपार	cruzando
आरपार	través
द्वंद्वयुद्ध	duelo
अलबम	ubicación
पत्नियां	mulleres
पत्नियां	as
पत्नियां	esposas
पत्नियां	súas
लेक्चर	charla
चांस	oportunidade
चांस	posibilidade
समरसता	harmonía
सामन्त	barón
सामन्त	ao
अध्यक्षों	relatores
अदाकारा	actriz
कॉकटेल	cóctel
प्यासा	sede
रुचियों	interesa
रुचियों	intereses
प्रेयसी	a
प्रेयसी	señora
प्रेयसी	patroa
रॉक्स	rochas
रॉक्स	xeo
रॉक्स	pedras
कायल	de
कायल	convencido
घोंघे	caracois
स्टेला	stella
पाइलट	piloto
मैकडोनाल्ड	mcdonald
बेडरूम	dormitorio
बेडरूम	cuarto
गर्लफ्रेंड	moza
संगीन	tumba
संगीन	grave
स्माइल	sorriso
स्माइल	sorrir
स्माइल	sorrí
शून्यता	aspirador
शून्यता	aspiradores
मुर्गियों	galiñas
मुर्गियों	polos
देवदूत	anxo
गोल्फ़	golf
गोल्फ़	ao
हूपर	hooper
पलंग	cama
राष्टीय	nacional
राष्टीय	nacionais
राष्टीय	national
अधिष्ठापन	aparello
अधिष्ठापन	instalación
मशीने	as
मशीने	máquinas
मशीने	lavadoras
आनन	facial
आनन	faciais
लंच	almorzo
लंच	xantar
लंच	o
लंच	comida
लंच	comer
चाही	quería
चाही	que
चाही	quixen
बटर	manteiga
डाइनिंग	comedor
डाइनिंग	mesa
स्टेटमेंट	declaración
उम्मीदें	esperanza
उम्मीदें	esperanzas
मिलिशिया	milicia
हाफ़	media
हाफ़	metade
हाफ़	medio
हाफ़	a
