kupfer	copper
kameramann	cameraman
kameramann	cinematographer
funktionieren	functioning
vorn	front
hansestadt	hanseatic
madonna	madonna
roberto	roberto
bedeutend	significantly
wohnen	living
wohnen	housing
wohnen	live
vorfahren	ancestors
vorfahren	ancestral
vorfahren	ancestor
level	level
ressourcen	resource
ressourcen	resources
laura	laura
zeichnen	draw
zeichnen	drawing
zeichnen	sketching
essays	essays
bürgerschaft	citizenship
vorträge	lectures
vorträge	speeches
vorträge	conferences
vorträge	presentations
vorträge	talks
vorträge	lecture
haushalten	households
marianne	marianne
wilde	wild
wilde	savages
wilde	wilde
wilde	savage
mathias	mathias
österreichisch	austrian
österreichisch	austro
mont	mont
rumpf	hull
rumpf	torso
rumpf	fuselage
rumpf	trunk
anfangen	start
anfangen	begin
arabische	arab
arabische	arabic
arabische	arabian
lyrik	lyric
lyrik	poetry
lyrik	lyrics
wahlbezirk	constituency
belgrad	belgrade
maryland	maryland
abhängigkeit	dependency
abhängigkeit	addiction
abhängigkeit	dependence
ankunft	arrival
ankunft	arriving
ankunft	arrive
ankunft	arrivals
gerichte	tribunals
gerichte	dishes
gerichte	courts
mörder	killers
mörder	killer
mörder	murderer
mörder	murderers
mörder	assassin
kats	kats
sofia	sofia
verändern	changing
verändern	modify
verändern	alter
abu	abu
glasgow	glasgow
stürmer	strikers
stürmer	forwards
stürmer	striker
heller	heller
befreit	liberated
befreit	freed
befreit	exempted
befreit	exempt
emanuel	emanuel
emanuel	emmanuel
naturschutz	conservation
naturschutz	nature
anliegen	concerns
kohle	coal
kohle	coals
kohle	dough
kohle	charcoal
erteilt	issued
erteilt	granted
graham	graham
hauptsitz	headquarters
hauptsitz	headquarter
caroline	caroline
kaiserreich	empire
kaiserreich	imperial
konzern	corporate
konzern	group
konzern	consolidated
konzern	corporation
marokko	morocco
marokko	tangiers
nordischen	norse
nordischen	nordic
gebeten	asked
gebeten	prayers
wörtlich	literally
wörtlich	literal
wrestling	wrestling
ryan	ryan
manga	manga
demo	demo
renault	renault
turner	gymnast
turner	turner
einnahmen	income
einnahmen	revenues
einnahmen	earnings
einnahmen	receipts
einnahmen	revenue
kritiken	reviews
kritiken	critics
kritiken	criticisms
kritiken	criticism
kritiken	reviewers
dorothea	dorothea
renoviert	refurbished
renoviert	renovated
renoviert	restored
suhrkamp	suhrkamp
kreuzung	crossing
kreuzung	crossroad
kreuzung	intersection
kreuzung	junction
kreuzung	crossroads
kritisierte	criticized
kritisierte	criticised
gilbert	gilbert
jemals	ever
verschwunden	gone
verschwunden	vanished
verschwunden	disappeared
aufeinander	successive
aufeinander	consecutive
benennung	appointment
benennung	naming
benennung	nomination
benennung	designation
captain	capt
captain	captain
kirchliche	ecclesiastical
ausgang	output
ausgang	outgoing
ausgang	exit
ausgang	exits
estland	tallinn
estland	estonia
startet	launches
startet	starts
clara	clara
älterer	older
erwachsenen	adults
erwachsenen	adult
nad	nad
garde	garde
anzeige	display
anzeige	advertisement
anzeige	displays
systemen	systems
sierra	sierra
meißen	meissen
trennen	separating
trennen	disconnect
trennen	separation
trennen	separate
sogn	sogn
entscheidende	decisive
entscheidende	crucial
stralsund	stralsund
zwingend	obligatory
zwingend	imperative
zwingend	mandatory
zwingend	compulsory
spezialisiert	specialised
spezialisiert	specialized
transportiert	transported
innenraum	interior
innenraum	interiors
innenraum	indoor
kennedy	kennedy
karin	karin
händler	dealers
händler	distributors
händler	traders
händler	retailers
händler	distributor
händler	dealer
beförderung	carriage
beförderung	promotion
mönchengladbach	mönchengladbach
germanistik	germanic
benachbarte	adjacent
durchschnitt	average
durchschnitt	averages
singen	sing
singen	chanting
singen	singing
singen	chant
camp	camp
gewerbe	trades
minden	minden
gefecht	battle
gefecht	skirmish
campbell	campbell
mind	mind
mind	min
beine	legs
anführer	leader
anführer	leaders
lig	lig
techniken	technique
techniken	techniques
asteroiden	asteroid
asteroiden	asteroids
woher	how
franco	franco
betrachtung	contemplation
überprüfung	review
überprüfung	verification
böden	soils
böden	floors
böden	soil
option	option
ägyptischen	egyptian
stade	stade
lukas	luke
lukas	lukas
lukas	lucas
morgan	morgan
ständigen	permanent
bühnen	platforms
bühnen	stages
bühnen	stage
porsche	porsche
vermehrt	propagated
beurteilung	judgement
beurteilung	evaluation
beurteilung	assessment
beurteilung	judging
flecken	stains
flecken	patches
flecken	spots
japanisch	japanese
gewählten	elected
sat	sat
fliehen	escaping
fliehen	fleeing
fliehen	flee
fliehen	escape
stoffe	fabrics
stoffe	substances
erkenntnis	realisation
erkenntnis	perception
erkenntnis	cognition
erkenntnis	insight
château	château
fraglich	questionable
fraglich	debatable
fraglich	doubtful
steven	steven
parker	parker
empfangen	receive
empfangen	received
empfangen	receiving
bruders	brother
diff	diff
pflicht	duty
pflicht	obligatory
pflicht	obligation
pflicht	mandatory
pflicht	compulsory
talent	talents
talent	talent
fire	fire
türkisch	turkish
nummern	numbers
passagiere	passengers
passagiere	passenger
generalsekretär	secretary
schnellen	fast
wusste	knew
bahnen	railways
bahnen	trains
theologische	theological
theologische	theology
hanns	hanns
thompson	thompson
konstantinopel	constantinople
konstantinopel	istanbul
henriette	henrietta
henriette	henriette
four	four
dichtung	sealing
dichtung	gasket
dichtung	poetry
dichtung	seal
hinreichend	sufficient
hinreichend	adequately
theoretisch	theoretical
theoretisch	theoretically
theoretisch	theory
robinson	robinson
decken	ceilings
decken	blankets
decken	cover
hop	hop
legend	legend
persönlicher	personal
wünsche	wish
wünsche	wishes
wünsche	wishing
wünsche	desires
dennis	dennis
mien	mien
nachbarn	neighbors
nachbarn	neighbour
nachbarn	neighbours
nachbarn	neighbor
ernährung	nutrition
ernährung	dietary
ernährung	nutritional
ernährung	diet
bologna	bologna
vergleichen	comparisons
vergleichen	compare
vergleichen	diff
vergleichen	comparing
vergleichen	comparison
björn	bjorn
björn	björn
lebensweise	lifestyle
gestrichen	deleted
gestrichen	cancelled
gestrichen	painted
gestrichen	abolished
gestrichen	canceled
kolumbien	columbia
kolumbien	colombia
tafel	blackboard
verabschiedet	adopted
geistliche	clerics
geistliche	priest
geistliche	spiritual
geistliche	priests
geistliche	clergy
download	download
dublin	dublin
gabriele	gabriele
planck	planck
fantasy	fantasy
anerkannte	recognised
anerkannte	acknowledged
anerkannte	recognized
springen	jump
springen	leap
springen	jumping
interessierte	interested
standpunkt	viewpoint
aktivität	activity
ära	era
luigi	luigi
annehmen	assume
annehmen	accept
gedruckt	printed
abteilungen	divisions
abteilungen	departments
abteilungen	compartments
störungen	malfunctions
störungen	interference
störungen	disorders
störungen	disturbances
ken	ken
sportarten	sport
sportarten	sports
halbe	halves
halbe	half
louisiana	louisiana
erläutert	explained
erläutert	explains
zeitlich	timed
nachweisbar	demonstrable
nachweisbar	detectable
taiwan	taiwan
kritischen	critical
obergeschoss	upstairs
vorzeitig	prematurely
vorzeitig	premature
sturz	overthrow
sturz	falls
sturz	fall
erweiterten	enlarged
aufzeichnungen	records
aufzeichnungen	recordings
amazon	amazon
teilgenommen	attended
teilgenommen	participated
befestigt	fortified
befestigt	attached
administrative	administrative
shakespeare	shakespeare
auseinander	apart
forst	forestry
forst	forst
forst	forest
hang	slope
hang	hang
löscht	deletes
stadtmauer	walls
stadtmauer	ramparts
beantwortet	replied
beantwortet	answered
labor	labs
labor	laboratory
labor	lab
labor	labor
samstag	saturday
samstag	saturdays
lehmann	lehmann
classic	classic
wirtschafts	economic
herausragende	eminent
herausragende	outstanding
med	med
oberste	supreme
schwäbisch	schwäbisch
berühmt	famous
berühmt	celebrity
berühmt	fame
berühmt	renowned
restaurierung	restoration
restaurierung	renovation
restaurierung	restoring
restaurierung	restorations
geehrt	honoured
geehrt	honored
jonas	jonas
jonas	jonah
umzug	relocation
umzug	moving
umzug	parade
umzug	removal
niedrigen	low
ski	skis
ski	ski
weichen	switches
ansprechen	response
held	hero
erhöhung	increase
erhöhung	elevation
silbernen	silvery
kfz	automotive
wüste	desert
wüste	deserts
verkauften	sold
adolph	adolph
polizisten	cops
polizisten	policemen
polizisten	police
polizisten	officers
polizisten	policeman
mhz	mhz
uci	uci
carter	carter
princeton	princeton
latein	latin
tschechische	czech
fortgesetzt	continued
politisches	political
atlanta	atlanta
hip	hip
antwerpen	antwerp
kaiserslautern	kaiserslautern
bks	bks
invasion	invasion
invasion	invade
antonius	anthony
antonius	antony
muhammad	muhammad
gegenwärtig	currently
northern	northern
julian	julian
nil	nil
nil	nile
selbständige	independent
selbständige	independents
güterverkehr	freight
alternativen	alternative
alternativen	alternatives
sant	sant
altenburg	altenburg
abc	abc
herrscht	prevails
herrscht	reigns
schaffung	creation
flachen	shallow
bestritten	disputed
kiew	kiev
hard	hard
wiedergänger	revenant
uraufgeführt	premiered
faust	faust
faust	fist
vita	vita
evans	evans
anlehnung	affiliation
interessante	interesting
holding	holding
ausserdem	also
apple	apple
schlage	suggest
schwanz	tails
schwanz	tail
schwanz	dick
schwanz	cock
fisch	pisces
fisch	fish
fisch	seafood
thron	throne
rapper	rappers
rapper	rapper
ozean	oceanic
ozean	oceans
ozean	ocean
konservatorium	conservatory
konservatorium	conservatoire
beteiligen	participate
untergrund	underground
untergrund	substrate
untergrund	subsoil
redundanz	redundancy
senior	senior
nachkriegszeit	postwar
aufsätze	essays
cooper	cooper
rechner	calculator
rechner	computers
rechner	host
rechner	computer
rechner	hosts
rechner	calculators
ulmer	ulmer
schubert	schubert
brigitte	brigitte
zugrunde	underlying
barry	barry
bahnhöfe	stations
neuauflage	reissued
brüdern	brethren
brüdern	brothers
patent	patent
patent	patents
webseiten	website
webseiten	web
webseiten	sites
webseiten	websites
unterfamilie	subfamily
knochen	bones
knochen	bone
ack	ack
veb	veb
posen	poznan
posen	poznań
posen	poses
posen	posen
rechtlich	legally
wenzel	wenzel
wenzel	wenceslas
pionier	pioneer
pionier	pioneers
type	type
blütezeit	flowering
blütezeit	bloom
blütezeit	heyday
rumänischen	romanian
metz	metz
harold	harold
brothers	brothers
tests	tests
tests	testing
entfernten	remote
ausgehen	nightclubs
ausgehen	nightlife
ausgehen	dating
ausgehen	out
lebenslauf	resumes
lebenslauf	curriculum
lebenslauf	biography
lebenslauf	resume
sorgt	ensures
läßt	admits
staffeln	seasons
staffeln	squadrons
alkohol	booze
alkohol	alcohol
alkohol	liquor
gene	gene
gene	genes
trasse	path
rechnen	arithmetic
rechnen	math
silva	silva
bemerkenswert	remarkably
bemerkenswert	notable
bemerkenswert	noticeable
bemerkenswert	remarkable
menschheit	humanity
produzieren	producing
produzieren	produce
ehre	honour
ehre	honor
ehre	glory
öffentlicher	public
toll	great
toll	toll
christ	christian
christ	christ
vorwort	preamble
vorwort	foreword
vorwort	preface
vergrößert	enlarged
tropischen	tropical
miami	miami
shanghai	shanghai
mexico	mexico
bischofs	bishop
vertretung	representation
vertretung	rep
vertretung	representative
fauna	fauna
fauna	wildlife
abriss	demolition
protokoll	minutes
protokoll	transcript
protokoll	protocol
protokoll	log
protokoll	logs
athleten	athlete
athleten	athletes
lahn	lahn
teilnehmern	participants
teilnehmern	attendees
baker	baker
ethnischen	ethnic
copa	copa
konzipiert	conceived
konzipiert	designed
breiter	broad
breiter	wide
udo	udo
steuerung	control
steuerung	controller
steuerung	controlling
steuerung	governance
steuerung	controls
vortrag	lecture
vortrag	speech
vortrag	presentation
vortrag	talk
prinzipien	principles
dienstleistungen	services
comedy	comedy
basketballspieler	basketball
subsp	subsp
hansen	hansen
catherine	catherine
standorte	location
standorte	locations
standorte	sites
philologe	philologist
aufteilung	allocation
aufteilung	breakdown
aufteilung	distribution
aufteilung	splitting
böhmischen	bohemian
erwachsene	grown
erwachsene	adults
erwachsene	adult
werfen	throwing
werfen	cast
werfen	throw
erfunden	invented
mexikanischen	mexican
philosophen	philosophers
philosophen	philosopher
frag	ask
ehrenmitglied	honorary
dicke	thick
dicke	thickness
bodensee	bodensee
irischen	irish
ländlichen	rural
han	han
vielfalt	multiplicity
vielfalt	plurality
vielfalt	diversity
vielfalt	variety
wettbewerbe	competitions
wettbewerbe	contests
wettbewerbe	contest
rowohlt	rowohlt
heiraten	marry
heiraten	marriage
heiraten	wedding
murray	murray
archäologe	archaeologist
austin	austin
stellungnahme	opinion
zelle	cell
zelle	cells
wälder	woods
wälder	forests
wälder	forest
schließung	closure
schließung	closing
hierher	here
ausgelöst	triggered
maßnahme	action
maßnahme	measure
chief	chief
echo	echo
kunsthalle	kunsthalle
grundlegende	basics
grundlegende	fundamental
grundlegende	basic
rüdiger	rüdiger
professoren	professors
geschmack	taste
geschmack	flavor
geschmack	flavour
geschmack	tastes
porto	postage
porto	porto
porto	oporto
konzentration	concentrations
konzentration	concentration
interviews	interviews
ansprüche	claims
wiedervereinigung	reunite
wiedervereinigung	reunification
wiedervereinigung	reunion
kabel	cables
kabel	cable
bemüht	endeavour
berner	bern
berner	bernese
berner	berner
berner	berne
konzentrierte	concentrated
konzentrierte	focused
keramik	pottery
keramik	ceramic
keramik	ceramics
bismarck	bismarck
monika	monica
monika	monika
flensburg	flensburg
pakistan	pakistan
grant	grant
angemeldet	notified
angemeldet	filed
brasilianischen	brazilian
löwe	lion
löwe	lions
löwe	leo
gerechtfertigt	justified
gerechtfertigt	justifiable
pädagogik	pedagogy
melodie	melody
melodie	tune
canadian	canadian
beratung	advice
beratung	advisory
beratung	consulting
beratung	counselling
beratung	consultancy
bäumen	trees
boeing	boeing
beschäftigung	employment
externe	external
orientierung	orientation
prinzen	princes
prinzen	prince
mängel	deficiencies
mängel	shortcomings
mängel	weaknesses
mängel	flaws
mängel	defects
medal	medal
portrait	portrait
challenge	challenge
werten	values
elektronischen	electronic
fachzeitschrift	journal
salvador	salvador
saarland	saarland
saarland	saar
dakota	dakota
untergang	demise
untergang	woe
untergang	doom
rache	payback
rache	vengeance
rache	revenge
dutzend	dozens
dutzend	dozen
egon	egon
utrecht	utrecht
kategorisierung	categorisation
kategorisierung	categorization
control	control
südwest	southwestern
südwest	southwest
vorwürfe	allegations
vorwürfe	accusations
tiger	tiger
tiger	tigers
päpstlichen	papal
päpstlichen	pontifical
finanziell	financially
finanziell	financial
finanziell	finances
beamter	official
beamter	officials
beamter	officer
tiroler	tyrolean
allgemeines	general
lichtenberg	lichtenberg
wang	wang
liverpool	liverpool
ringer	wrestlers
ringer	ringer
ringer	wrestling
ringer	wrestler
identifiziert	identifies
identifiziert	identified
behauptungen	claims
behauptungen	allegation
behauptungen	allegations
behauptungen	assertions
gerecht	fair
gerecht	equitable
roll	roll
broadway	broadway
zerstörte	destroyed
materie	matter
jason	jason
alaska	alaska
lies	read
soul	soul
schaut	look
naturwissenschaften	science
naturwissenschaften	sciences
barocke	baroque
vermitteln	communicating
vermitteln	mediate
matthew	matthew
argentinischer	argentinean
argentinischer	argentine
positiven	positive
positiven	positives
dunkle	dark
floh	flea
floh	fled
helene	helene
helene	helen
relief	relief
vogt	vogt
vogt	bailiff
angela	angela
margarete	margaret
margarete	margarete
deutet	indicates
syn	syn
ruprecht	rupert
ruprecht	ruprecht
religionen	religions
religionen	religious
religionen	religion
mitwirkung	involvement
mitwirkung	participation
romanische	romanesque
freigegeben	released
freigegeben	cleared
head	head
leonard	leonard
disney	disney
helm	helm
helm	helmet
ruinen	ruins
entscheidenden	decisive
weißer	caucasian
orientierte	oriented
offenbach	offenbach
sky	sky
afrikanischen	african
köhler	köhler
zeitalter	ages
zeitalter	era
externen	external
vision	vision
auswertung	interpretation
auswertung	evaluation
auswertung	analysis
jorge	jorge
kilogramm	kilograms
kilogramm	kilogram
kilogramm	kilo
rumänischer	romanian
messung	measuring
messung	measurement
bassist	bassist
bassist	bass
schwert	blade
schwert	swords
schwert	sword
elsass	alsace
schlagen	beat
schlagen	punching
schlagen	slapping
schlagen	beating
schlagen	punch
phoenix	phoenix
italia	italia
eisenach	eisenach
inszenierung	staging
glaubens	faith
gewerkschaft	union
gewerkschaft	unions
touristen	tourists
touristen	tourist
geschwister	siblings
vermute	surmise
oregon	oregon
christina	christina
normen	standards
ansässig	resident
erkrankungen	illnesses
erkrankungen	illness
erkrankungen	diseases
erkrankungen	disorders
agentur	agency
agentur	emea
iwan	ivan
schreiber	scribe
schreiber	schreiber
blüte	blossom
blüte	flowering
blüte	flower
blüte	bloom
blüte	blossoming
durchgesetzt	enforced
punk	punk
ausländische	foreign
dell	dell
digitalen	digital
joan	joan
enger	tighten
bremerhaven	bremerhaven
tabellen	tables
tabellen	spreadsheets
überprüft	checked
überprüft	verified
überprüft	reviewed
wls	wls
wahlperiode	legislature
einladung	invite
einladung	invitation
stadtverwaltung	municipality
stadtverwaltung	municipal
legislaturperiode	legislature
slowenien	slovenia
disziplinen	discipline
disziplinen	disciplines
finnischer	finnish
ausländischen	foreign
gesungen	sang
gesungen	singing
gesungen	sung
jerry	jerry
türken	turk
türken	turks
hawaii	hawaii
zeitweilig	temporarily
zeitweilig	temporary
jules	jules
jährlichen	yearly
jährlichen	annual
akademische	academic
gelehrten	scholars
gelehrten	scholar
mine	mine
fachhochschule	fachhochschule
fachhochschule	polytechnic
überleben	survive
überleben	survival
überleben	surviving
gelassen	complacent
école	école
école	ecole
stimmung	vibes
stimmung	mood
stimmung	tuning
anpassung	adjustments
anpassung	adjustment
anpassung	adaptation
anpassung	customization
flach	flat
flach	shallow
entwickler	developers
entwickler	developer
schwedisch	swedish
kostenlos	freeware
kostenlos	free
under	under
individuen	individuals
tausende	thousands
anwesenheit	attendance
anwesenheit	presence
liedern	songs
israelischen	israeli
freude	delight
freude	joy
freude	happiness
freude	pleasure
prototyp	prototype
rotterdam	rotterdam
unterzeichnete	signed
effekte	effects
effekte	effect
gletscher	glacier
gletscher	glaciers
versenkt	sunk
versenkt	sank
indische	indian
bekämpfung	combat
erzähler	narrator
erzähler	storyteller
essay	essay
essay	essays
operationen	operations
operationen	surgery
operationen	surgeries
haute	haute
stetig	steady
homburg	homburg
montana	montana
kontinuierlich	continuously
kontinuierlich	continuous
kontinuierlich	continually
wayne	wayne
gleise	platforms
gleise	tracks
dessau	dessau
erobert	conquered
erobert	conquer
verwundet	wounded
klöster	monastery
klöster	monasteries
anfänge	beginnings
kaiserin	empress
meier	meier
soundtrack	soundtrack
morris	morris
gertrud	gertrude
gertrud	gertrud
malte	painted
malte	malte
hitlers	hitler
pkw	cars
pkw	automobiles
pkw	car
größen	sizes
geographischen	geographical
dnb	dnb
öffnung	aperture
öffnung	openness
öffnung	opening
petra	petra
lateinisch	latin
geschlossene	enclosed
geschlossene	closed
betreuung	support
betreuung	mentoring
betreuung	supervision
betreuung	care
lebensmittel	food
lebensmittel	foods
lebensmittel	groceries
lebensmittel	grocery
objektiv	lens
objektiv	objective
objektiv	lenses
objektiv	objectively
personenverkehr	passenger
geometrie	geometry
geometrie	geometric
bosnien	bosnia
now	now
zerstörer	destroyers
zerstörer	destroyer
wright	wright
sergei	sergei
sergei	sergey
bonner	bonner
wohnsitz	resident
wohnsitz	residence
wohnsitz	domicile
alpha	alpha
studiert	studied
rheinischen	rhenish
berkeley	berkeley
illustrationen	illustrations
richtungen	directions
schnee	snow
gerald	gerald
realschule	realschule
angel	angel
vorgeschichte	prehistory
vorgeschichte	background
hartmut	doreen
hartmut	hartmut
funk	funk
herrmann	herrmann
troll	troll
troll	trolls
mythos	myth
schumacher	schumacher
schmalen	narrow
schmalen	slim
stausee	dam
stausee	lake
stausee	reservoir
tenor	tenor
befehlshaber	commandant
befehlshaber	commanders
befehlshaber	commander
hochladen	uploading
hochladen	upload
sin	sin
begangen	committed
ansätze	approaches
designer	designers
designer	designer
wirft	accuses
wirft	raises
möge	may
verstand	sanity
verstand	mind
verstand	minds
fühlt	feels
türen	gates
türen	doors
valentin	valentin
valentin	valentine
begegnungen	encounters
begegnungen	encounter
brandt	brandt
oklahoma	oklahoma
gerettet	rescued
gerettet	saved
ignoriert	ignore
ignoriert	ignored
ignoriert	ignores
überwachung	oversight
überwachung	monitoring
überwachung	monitor
überwachung	supervision
überwachung	surveillance
achter	eighth
achter	eights
chinesisch	sino
chinesisch	chinese
gerechtigkeit	justice
gerechtigkeit	righteousness
gerechtigkeit	fairness
gerechtigkeit	equity
folglich	consequently
bett	beds
bett	bunk
bett	bed
vorarlberg	vorarlberg
staatssekretär	undersecretary
verlangen	desire
verlangen	require
verlangen	demanding
verlangen	craving
schreibe	write
schreibe	writing
angemessen	appropriately
angemessen	appropriate
angemessen	adequate
angemessen	adequately
angemessen	reasonable
dynamo	dynamo
drehen	twist
drehen	rotate
drehen	turning
drehen	rotating
drehen	turn
angeben	indicate
angeben	brag
angeben	specify
dazwischen	between
venezuela	venezuela
experiment	experiment
astronom	astronomers
astronom	astronomer
reinbek	reinbek
nina	nina
theoretische	theoretical
ingrid	ingrid
industriellen	industrial
industriellen	industrialist
krüger	kruger
krüger	krüger
krüger	krueger
gerichtet	directed
gerichtet	addressed
gerichtet	judged
rechtswissenschaft	law
rechtswissenschaft	jurisprudence
umwandlung	conversion
umwandlung	converting
umwandlung	transformation
umwandlung	transform
rosenberg	rosenberg
chaos	mess
chaos	mayhem
chaos	chaos
xaver	xaver
xaver	xavier
ansiedlung	settlement
zoo	zoo
gestiftet	donated
gestiftet	endowed
bezahlt	pays
bezahlt	paid
cornelius	cornelius
bobby	bobby
interne	internal
besetzte	occupied
imo	imo
käfer	beetles
käfer	bugs
käfer	bug
käfer	beetle
gem	acc
gem	gem
abgesetzt	discontinued
abgesetzt	deposed
weihnachten	christmas
weihnachten	xmas
reguläre	regular
fachbereich	department
fachbereich	faculty
beobachtungen	observations
beobachtungen	sightings
beobachtungen	observation
laien	layman
dekan	dean
ausgeliefert	delivered
ausgeliefert	shipped
ausgeliefert	extradited
häftlinge	convicts
häftlinge	prisoners
häftlinge	inmates
häftlinge	detainees
russen	russian
russen	russians
allee	allee
allee	avenue
allee	alley
basilika	basilica
