ルクセンブルク	luxembourg
蝦夷	ezo
華族	kazoku
絞り	bukaan
拷問	menyiksa
拷問	penyeksaan
ルル	lulu
吸血鬼	puntianak
吸血鬼	vampire
アクセル	axel
柳沢	yanagisawa
清掃	kebersihan
清掃	pembersih
清掃	pembersihan
清掃	pencuci
清掃	membersih
排水	saliran
ダコタ	dakota
ヘレン	helen
立案	penyusunan
タック	tuck
プロトタイプ	prototaip
プロトタイプ	prototaip
ウリ	melon
ウリ	tembikai
ウリ	melon
ウリ	uli
瀬川	segawa
天候	cuaca
却下	tolak
却下	pemecatan
却下	ditolak
却下	rejected
シド	syd
シド	sid
名取	natori
スローガン	slogan
スローガン	slogan
湿地	wetland
綾瀬	ayase
バロン	barron
肯定	afirmatif
挑発	provokasi
バルカン	vulcan
バルカン	balkan
承諾	persetujuan
承諾	penerimaan
添付	melampirkan
添付	lampiran
添付	lampiran
栗山	kuriyama
ポーズ	pose
ポーズ	posing
ルック	tengok
ルック	look
カルシウム	kalsium
迂回	lencongan
克服	mengatasi
波長	wavelength
和歌	waka
フランチャイズ	francais
ジュリア	julia
調停	pengantaraan
ボウリング	boling
ボウリング	bowling
プリメーラ	primera
コソボ	kosovo
ジャッキー	jackie
マディソン	madison
サビ	karat
静香	shizuka
おもちゃ	toy
おもちゃ	mainan
おもちゃ	mainan
イヴ	hawa
イヴ	eve
ポピュラー	popular
鋼鉄	baja
鋼鉄	steel
鋼鉄	keluli
ケイト	kate
パンフレット	brosur
メーター	meter
メーター	meter
リンダ	linda
井口	iguchi
体積	isipadu
体積	jilid
体積	jilid
組み立て	perhimpunan
組み立て	assembly
基底	asas
陽一	yoichi
有名人	selebriti
有名人	celebrity
有名人	selebriti
ロボ	robo
経費	perbelanjaan
経費	perbelanjaan
ハーバー	pelabuhan
ハーバー	harbour
ホリデー	percutian
ホリデー	holiday
ミルウォーキー	milwaukee
超過	kelebihan
造園	landscaping
インテリア	interior
インテリア	dalaman
公使	menteri
公使	menteri
ジョッキー	joki
キリスト教徒	christian
キリスト教徒	kristian
キリスト教徒	kristian
リヴァプール	liverpool
スコープ	skop
三谷	mitani
児島	kojima
カメ	penyu
カメ	penyu
バックアップ	backup
バックアップ	backup
ステファン	stefan
ステファン	stephan
スーダン	sudan
細い	nipis
エキス	extracts
エキス	ekstrak
キッズ	kids
メッツ	mets
改宗	ditukar
憲章	piagam
釜石	kamaishi
正雄	masao
キティ	kitty
由美子	yumiko
敦子	atsuko
ねじ	skru
ねじ	skru
バースト	pecah
母方	keibuan
警部補	leftenan
柔術	jujutsu
正治	masaharu
スキャンダル	scandal
スキャンダル	skandal
トンプソン	thompson
テラス	teres
テラス	terrace
キプロス	cyprus
キプロス	cypriot
ナイジェリア	nigeria
ナイジェリア	nigeria
ターナー	turner
調和	keharmonian
調和	harmony
調和	harmoni
タニア	tania
早乙女	saotome
笑う	ketawa
笑う	tertawa
笑う	gelak
笑う	ketawa
アゼルバイジャン	azerbaijan
サントス	santos
支出	pengeluaran
剣術	kenjutsu
マインド	mind
マインド	minda
知多	chita
ベオグラード	belgrade
ミゲル	miguel
三船	mifune
チューナー	penala
元老院	senat
銘柄	brand
銘柄	jenama
表彰台	podium
吉宗	yoshimune
見通し	prospek
肺炎	pneumonia
三角形	triangle
クジラ	paus
クジラ	paus
レーニン	lenin
叫び	menjerit
叫び	jeritan
叫び	teriak
叫び	menjerit
龍太郎	ryutaro
ヴュルテンベルク	württemberg
ゼット	zed
上総	kazusa
ハープ	kecapi
ソプラノ	soprano
知人	berkenalan
知人	kenalan
北京市	beijing
アミノ酸	amino
遂に	finally
遂に	akhirnya
竹下	takeshita
ムード	mood
パブリッシング	penerbitan
山岡	yamaoka
日田	hita
薬局	farmasi
下町	downtown
速水	hayami
ジョヴァンニ	giovanni
ヤス	yasu
カラス	gagak
模倣	tiruan
序曲	overtur
ウォルト	walt
発酵	fermentation
伯父	pakcik
楽しい	seronok
楽しい	keseronokan
楽しい	asyik
楽しい	menyeronokkan
楽しい	seronok
七瀬	nanase
トマト	tomato
トマト	tomato
英明	bijak
英明	wise
基質	substrat
流す	simbah
流す	siram
流す	flush
府県	prefectures
流派	sekolah
流派	mazhab
エステル	ester
エステル	estelle
ラルフ	ralph
ノーマル	normal
布施	fius
インタフェース	antaramuka
遺物	artifak
遺物	pusaka
遺物	peninggalan
ナチュラル	natural
ナチュラル	semulajadi
ボヘミア	bohemia
紡績	berpusing
ディアス	díaz
ディアス	diaz
チャイナ	china
チャイナ	cina
こだわり	kemaruk
ディフェンダー	defender
入国	imigresen
ラード	lard
代理人	perwakilan
代理人	wakil
代理人	agen
代理人	ejen
代理人	agent
湯浅	yuasa
レンツ	lenz
売春	pelacuran
ドリル	gerudi
平戸	hirado
話し合い	perbincangan
話し合い	diskusi
スターリング	sterling
スターリング	stirling
ヘルシンキ	helsinki
アーノルド	arnold
ハノーファー	hanover
ハノーファー	hannover
製造業	pengilangan
製造業	perkilangan
宣告	hukuman
宣告	kalimat
土方	hijikata
マフィア	mafia
正平	shohei
ルビ	ruby
金髪	blondes
金髪	blonde
小野田	onoda
ヴィオラ	viola
胞子	spora
胞子	spore
開花	berbunga
開花	mekar
ジュール	jules
ジュール	joule
ジュール	joule
反動	pembangkang
賀茂	kamo
西宮市	nishinomiya
ナミ	nami
回帰	regression
アンカー	sauh
アンカー	sauh
アンカー	labuh
アンカー	anchor
ネバダ	nevada
溶接	terpatri
溶接	kimpalan
溶接	welding
ビクトリア	victoria
給付	benefit
給付	manfaat
環礁	atol
手動	manual
手動	manual
マキシ	maxi
パルス	denyutan
パルス	nadi
パルス	denyut
レオナルド	leonardo
許諾	keizinan
許諾	keizinan
許諾	izin
カオス	kekacauan
カオス	kekusutan
マネージメント	pengurusan
マネージメント	management
ハングル	hangul
抹消	pembatalan
セクシー	sexy
セクシー	seksi
発光	glowing
ちび	kecil
ちび	tiny
ダウ	dow
リッチモンド	richmond
注ぐ	tuang
カーネル	kernel
カーネル	kernel
電線	kabel
電線	cable
スペンサー	spencer
居酒屋	warung
ギルバート	gilbert
隆盛	takamori
興奮	keghairahan
興奮	keterujaan
興奮	kegembiraan
興奮	teruja
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	penara
春日部	kasukabe
パルマ	palma
パルマ	parma
日数	hari
機密	kerahsiaan
機密	dirahsiakan
機密	rahsia
機密	sulit
未遂	cubaan
未遂	cubaan
未遂	percubaan
未遂	cubaan
未遂	percubaan
クライアント	client
クライアント	klien
クライアント	klien
掃除	pembersih
掃除	pembersihan
掃除	pencuci
掃除	membersih
微生物	mikroorganisma
ウシ	ternakan
ウシ	lembu
ウシ	ternak
ソマリア	somalia
穀物	dedak
パオ	pao
音色	tona
山名	yamana
スカイライン	skyline
鉱石	ore
保育園	nursery
シンポジウム	simposium
美香	mika
ブランデンブルク	brandenburg
エドガー	edgar
ローラー	roller
下線	digariskan
トラスト	kepercayaan
トラスト	trust
エリカ	erika
フラット	flat
アニメーター	animator
稲田	inada
カバ	badak
ジョーカー	joker
受け入れる	accept
受け入れる	terima
受け入れる	terimalah
迫撃砲	bedil
中谷	nakatani
浅川	asakawa
補助金	subsidi
シェフ	chef
館山	tateyama
スクープ	scoop
スクープ	senduk
歯車	kelengkapan
歯車	gear
大当たり	jackpot
俊夫	toshio
グレッグ	greg
十勝	tokachi
メカニック	mekanik
申告	isytihar
申告	declare
申告	perisytiharan
申告	pengisytiharan
申告	pengistiharan
赤ちゃん	baby
赤ちゃん	sayang
赤ちゃん	bayi
赤ちゃん	babies
細分	subbahagian
金井	kanai
壱岐	iki
スクロール	skrol
会う	meet
会う	bertemu
セクター	sektor
セクター	sektor
濃い	strong
濃い	kukuh
濃い	kuat
減らす	mengurangkan
減らす	kurangkan
減らす	mengurangkan
減らす	kurangkan
ショパン	chopin
トロンボーン	trombone
ネック	leher
ストライキ	strike
ストライキ	mogok
最低限	minima
最低限	minimum
スクランブル	dadar
スクランブル	perebutan
スクランブル	berebut
レター	huruf
レター	letter
回廊	cloister
回廊	koridor
プレゼン	presentation
プレゼン	persembahan
プレゼン	presenting
知行	fiefdom
モスク	masjid
モスク	masjid
モスク	mosque
ルーカス	lucas
ルーカス	lukas
プライド	kebanggaan
プライド	pride
プライド	maruah
テロリスト	pengganas
テロリスト	terrorist
テロリスト	mengganas
テロリスト	pengganas
テロリスト	penganas
バーンズ	barnes
バーンズ	membakar
管理人	admin
管理人	pentadbir
管理人	pentadbiran
管理人	pentadbir
管理人	pentadbiran
管理人	pentadbir
持ち込み	carry
持ち込み	bawa
持ち込み	bawak
サンガ	sanga
宗像	munakata
コスチューム	kostum
コスチューム	costume
コスチューム	kostum
カージナルス	cardinals
美智子	michiko
波動	ombak
波動	lambai
波動	wave
波動	gelombang
エアバス	airbus
スペック	speck
スペック	spesifikasi
スペック	spec
スペック	spec
ボリス	boris
サンバ	samba
原告	plaintif
地主	juragan
チキン	ayam
インデックス	indeks
さおり	saori
中道	sederhana
頼朝	yoritomo
ピックアップ	pickup
ピックアップ	pengambilan
ピックアップ	pikap
コールド	sejukkan
コールド	sejuk
プライス	harga
プライス	price
ハロルド	harold
待遇	rawatan
北極	artik
北極	arctic
フレンチ	perancis
すごい	awesome
すごい	hebat
すごい	mantap
すごい	amazing
すごい	mengkagumkan
ライプツィヒ	leipzig
アダムズ	adams
ジュース	jus
ジュース	juice
ゴルファー	golfer
ルージュ	rouge
バーツ	baht
守山	moriyama
従兄弟	cousin
従兄弟	sepupu
痴漢	meraba
痴漢	raba
ギルド	guild
ギルド	guilds
ニュルンベルク	nürnberg
ニュルンベルク	nuremberg
ブラザー	saudara
ブラザー	brother
ブラザー	abg
チューリッヒ	zurich
チューリッヒ	zurich
字体	glif
ルクス	lux
達郎	tatsuro
ステッカー	pelekat
ステッカー	pelekat
浅い	cetek
浅い	dangkal
カブ	lobak
カブ	cub
パウル	paulus
パウル	paul
故人	almarhum
故人	mendiang
故人	allahyarham
ハンドボール	handball
小野寺	onodera
小出	koide
エッグ	telor
エッグ	telur
エッグ	telor
エッグ	egg
エッグ	telur
更生	reorganization
スキン	kulit
スキン	kulit
平川	hirakawa
ピンチ	cubit
ピンチ	picit
まさし	masashi
パース	perth
皐月	satsuki
エマ	emma
ヌード	bogel
ヌード	kebogelan
ヌード	nude
公害	pencemaran
コペンハーゲン	copenhagen
りんご	epal
りんご	epal
りんご	apple
ヒカル	hikaru
インフルエンザ	influenza
インフルエンザ	selsema
十和田	towada
イラ	ila
関税	tarif
オーボエ	oboe
石山	ishiyama
毒性	beracun
毒性	toksik
毒性	keracunan
メカニズム	mekanisma
メカニズム	mekanisme
ファンタジア	fantasia
やさしい	mudah
やさしい	mudahnya
ジャンボ	jumbo
ネギ	leek
燃える	penulisan
燃える	membakar
燃える	pembakaran
芳賀	haga
体質	perlembagaan
イヌ	anjing
イヌ	dog
苦しみ	penderitaan
キノコ	kulat
キノコ	cendawan
キノコ	cendawan
グラン	nek
グラン	gran
厚い	tebal
終着駅	terminus
ヤンキー	yankee
飛躍	lompatan
ボア	boa
麻痺	kelumpuhan
麻痺	lumpuh
麻痺	palsy
オリンピア	olympia
クラウス	kraus
クラウス	klaus
平岡	hiraoka
義経	yoshitsune
証人	saksi
証人	saksi
石碑	stele
賞賛	admire
賞賛	mengagumi
賞賛	pujian
賞賛	puji
賞賛	terpuji
シリアル	bersiri
シリアル	cereals
シリアル	bijirin
子育て	mengasuh
子育て	parenting
ウィンドウ	tetingkap
ウィンドウ	tingkap
乱闘	brawl
水分	kelembapan
聴く	listen
聴く	dengarlah
聴く	dengar
バーバラ	barbara
遊ぶ	play
遊ぶ	main
決済	pembayaran
決済	payment
決済	penyelesaian
決済	bayaran
決済	pembayaran
サニー	sunny
嫉妬	jealous
嫉妬	cemburu
嫉妬	cemburu
嫉妬	kecemburuan
なつみ	natsumi
青柳	aoyagi
ディスコ	disco
ディスコ	disko
相川	aikawa
ブタ	khinzir
ブタ	khinzir
ブタ	babi
ノーマン	norman
尾翼	buntut
尾翼	ekor
退却	berundur
大場	oba
悪意	hasad
悪意	kedengkian
高村	takamura
オタク	geek
オタク	nerd
屋台	yatai
屋台	warung
伝導	conductivity
受け取る	menerima
アーロン	harun
アーロン	aaron
アンチ	anti
ベストセラー	terlaris
ベストセラー	laris
ピコ	pico
葉月	hazuki
タックル	tackle
壁画	mural
エンブレム	lambang
エンブレム	lambang
素敵	jelita
素敵	nice
思想家	pemikir
ピクセル	pixel
ピクセル	piksel
ピクセル	piksel
コントローラ	controller
コントローラ	pengawal
たまに	sesekali
伝送	penghantaran
木戸	kido
トロイ	troy
二条	nijō
翔子	shoko
タンカー	tanker
気体	gas
気体	gas
処罰	hukuman
処罰	azab
ロータス	lotus
ロータス	teratai
キャンセル	batal
キャンセル	dibatalkan
キャンセル	dibatalkan
キャンセル	pembatalan
山手	yamanote
ウィキ	wiki
リスボン	lisbon
掘削	penggalian
掘削	pelantar
ボリビア	bolivian
ボリビア	bolivia
棄却	pemecatan
幼虫	larva
悪夢	nightmare
桜田	sakurada
演目	program
標準化	pemiawaian
チェルシー	chelsea
ナンシー	nancy
カタール	qatar
解読	menguraikan
解読	penyahkodan
草野	kusano
ゲイリー	gary
岩瀬	iwase
やまと	yamato
出血	pendarahan
出血	berdarah
タンゴ	tango
濡れ	basah
ロンド	rondo
キックボクシング	kickboxing
台北市	taipei
諮問	konsultasi
諮問	consultation
火事	api
小早川	kobayakawa
慎太郎	shintaro
正夫	masao
ジュリエット	juliet
マクラーレン	mclaren
プファルツ	pfalz
オアシス	oasis
赤道	khatulistiwa
クウェート	kuwait
クウェート	kuwaiti
疲労	melelahkan
疲労	keletihan
平壌	pyongyang
国々	negara
ディー	dee
タコ	kurita
タコ	sotong
内訳	breakdown
内訳	pecahan
内訳	pecahan
ジャイアント	gergasi
ジャイアント	giant
バディ	rakan
出願	aturcara
出願	aplikasi
ウォーレン	warren
銃弾	peluru
銃弾	bullet
今泉	imaizumi
妥協	kompromi
妥協	berkompromi
ピストン	piston
鉄拳	tekken
雅美	masami
グラミー	grammy
抗体	antibodi
抗体	immunoglobulin
抗体	antibodi
トモ	tomo
風船	belon
風船	belon
おばさん	auntie
おばさん	makcik
おばさん	bibi
おばさん	makcik
ユーラシア	eurasian
安定性	kestabilan
コメディアン	pelawak
コメディアン	comedians
フェリックス	felix
副官	ajutan
エレクトロニクス	electronics
エレクトロニクス	elektronik
スリ	pickpocket
パトロール	patrol
パトロール	rondaan
パトロール	peronda
パトロール	meronda
クレーター	kawah
クレーター	kawah
キャピタル	modal
キャピタル	capital
チャット	sembang
チャット	bual
チャット	chat
高句麗	goguryeo
糖尿病	diabetes
ディズニーランド	disneyland
エルフ	elf
エルフ	bunian
エルフ	bunian
バーガー	burger
カリウム	kalium
サバイバル	survival
シックス	six
シックス	enam
蛍光	menyejuk
蛍光	fluorescence
ともだち	tomodachi
可愛い	cute
可愛い	cantik
可愛い	molek
可愛い	pretty
スピリット	roh
スピリット	semangat
スピリット	spirit
相良	sagara
グアム	guam
民兵	militia
側室	gundik
ルター	luther
共鳴	resonans
ジュリアン	julian
受領	resit
山野	yamano
チャーチル	churchill
ロフト	loteng
まゆみ	mayumi
及川	oikawa
シャム	siam
シャム	sham
帰属	pengiktirafan
モモ	peaches
モモ	momo
モモ	peach
コンボ	combo
デンバー	denver
感度	kepekaan
感度	sensitiviti
正午	zuhur
正午	tengahari
正午	tengahari
ハント	memburu
ハント	hunt
ハント	pemburuan
ドレスデン	dresden
欠席	ketiadaan
口座	akaun
説教	khutbah
説教	berkhutbah
説教	khutbah
平松	hiramatsu
連想	bersekutu
フルーツ	berbuah
フルーツ	buah
フルーツ	buah
フルーツ	fruits
カウンティ	county
カウンティ	kaunti
チャネル	saluran
チャネル	channel
淳子	junko
尾根	ridge
尾根	rabung
知子	tomoko
ウェスタン	barat
ウェスタン	western
白馬	hakuba
スキャン	pengimbasan
スキャン	mengimbas
スキャン	imbasan
スキャン	imbas
スキャン	scan
敬意	hormat
敬意	respect
オリエンタル	oriental
鋭い	sharp
鋭い	tajam
小谷	kotani
お茶	teh
クローズ	dekat
クローズ	tutup
ワープ	pelaras
正一	shoichi
ダイナマイト	dinamit
コリンズ	collins
飲む	minum
飲む	minuman
飲む	minum
オークション	lelong
オークション	lelongan
オークション	lelongan
ポータブル	portable
ポータブル	portability
モンロー	monroe
トラップ	toreh
トラップ	perangkap
トラップ	trap
トラップ	jebak
トラップ	perangkap
同値	equivalence
ローテーション	putaran
プリズム	prisma
フェアリー	fairy
フェアリー	fairey
ポット	periuk
ポット	pot
マッカーサー	macarthur
ハチ	penyengat
ハチ	wasp
ハチ	tebuan
ハチ	lebah
ミッチェル	mitchell
カルト	cult
家事	housekeeping
消える	menghilang
消える	menghilang
テンション	ketegangan
個別に	individual
ジャスト	hany
ジャスト	cuma
ジャスト	hanya
フォーカス	fokus
ナムコ	namco
但馬	tajima
ウエスタン	barat
ウエスタン	western
ラトビア	latvia
ラトビア	latvia
酢酸	asetat
スタンプ	cop
スタンプ	cap
スタンプ	setem
スタンプ	pelekat
スタンプ	pelekat
スタンプ	tunggul
スタンス	stance
激戦	fierce
激戦	garang
激戦	sengit
おいしい	yummy
おいしい	sedap
おいしい	lazat
おいしい	sedap
停滞	stagnation
停滞	pegun
臼井	usui
スリップ	gelincir
スリップ	slip
照射	dedahan
クルーザー	cruiser
江藤	eto
アーカンソー	arkansas
パッド	pad
板垣	itagaki
マナー	etika
マナー	adab
太陽光	sunlight
烏丸	karasuma
バットマン	batman
相沢	aizawa
タイル	jubin
タイル	jubin
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	pendaftar
レジスタ	register
レジスタ	pendaftar
ピュア	tulen
ピュア	murni
ピュア	pure
蒸留	penyulingan
蒸留	suling
フレイ	frey
フレイ	fray
ミッドフィールダー	midfielder
墨田	sumida
ブーツ	boot
ブーツ	but
ブーツ	boot
ブーツ	but
ブーツ	boots
電通	dentsu
出版物	penerbitan
ヒューズ	hughes
ヒューズ	fius
問い合わせ	enquiry
問い合わせ	siasatan
問い合わせ	menanya
問い合わせ	pertanyaan
問い合わせ	inquiries
問い合わせ	pertanyaan
連帯	perpaduan
連帯	solidariti
ポーター	porter
帰宅	rumah
千鳥	chidori
野上	nogami
エフェクト	kesan
エフェクト	effect
エフェクト	kesan
野間	noma
デス	kematian
デス	death
デス	maut
デス	ajal
バター	butter
バター	mentega
塩谷	shioya
長瀬	nagase
教職員	fakulti
結核	tbc
ヨルダン	jordan
コバルト	cobalt
ソフトボール	softball
アルビレックス	albirex
起業	usahawan
起業	keusahawanan
欠陥	kecacatan
欠陥	defect
欠陥	kecacatan
コブラ	cobra
シスター	saudari
シスター	adik
石見	iwami
グリル	grill
