蛍光	fluoresenssi
パーソナル	henkilökohtainen
パーソナル	henkilökohtaista
百姓	talonpojat
段落	kappale
段落	kappaleet
ハーモニー	harmony
やっと	vihdoinkin
やっと	vihdoin
アイディア	idean
アイディア	ajatus
アイディア	idea
アイディア	ideaa
アイディア	ideat
アイディア	ajatuksia
アイディア	ideoita
タイラー	tylerin
タイラー	tyler
アンプ	vahvistin
アンプ	vahvistimet
宝物	aarteita
宝物	aarre
宝物	aarteita
宝物	aarretta
宝物	aarteen
マルクス主義	marxismi
サーブ	palvele
サーブ	palvella
イワン	ivan
ギフト	lahjoja
ギフト	lahjat
ギフト	lahja
ギフト	lahjaa
ギフト	lahjan
理性	järki
理性	syy
理性	syyn
恨み	kaunaa
恨み	kaunaa
ビスマルク	bismarck
構文	syntaksi
ミキ	miki
光景	nähtävyydet
光景	nähtävyyksiä
光景	näkö
光景	näky
アインシュタイン	einstein
申し立て	kiistanalainen
申し立て	riitaa
申し立て	riidan
申し立て	riita
申し立て	kiista
エミリー	emilyn
エミリー	emily
安い	edullinen
安い	halvalla
安い	halvat
安い	halpa
安い	halpaa
スラッシュ	slash
アミューズメント	huvi
ハーレム	harlem
サンズ	sands
サンズ	hiekka
ガイ	guy
ガイ	kaveri
ガイ	jätkä
ガイ	äijä
プラット	platt
プラット	pratt
矯正	korjauksia
矯正	korjaukset
バタフライ	perhonen
最小限	minimoida
最小限	minimaalinen
エレナ	elena
エレナ	elenan
クイーンズ	queens
コサック	kasakka
スペル	oikeinkirjoitus
スペル	loitsu
チャレンジャー	haastaja
プロポーズ	ehdottaa
プロポーズ	ehdotus
パラレル	samanaikaisesti
パラレル	rinnakkain
サザン	etelä
サザン	etelän
サザン	eteläinen
図形	geometrian
図形	muotoa
図形	muotoon
図形	muodon
図形	muoto
ゲノム	genomi
デイヴ	daven
デイヴ	dave
ドッキング	laituri
ドッキング	telakka
ドッキング	telakointi
マダム	rouva
マダム	madam
マダム	rouva
マダム	madame
トレント	trent
アーセナル	arsenal
請願	vetoomuksia
請願	vetoomus
請願	vetoomuksen
アトランティック	atlantin
アトランティック	atlantic
メチル	metyyli
おば	täti
腐敗	hajoaminen
視線	katse
視線	katseen
ベイビー	kulta
ベイビー	vauva
ベイビー	beibi
ベイビー	muru
備後	bingo
キルギス	kirgisian
とにかく	jokatapauksessa
アダムス	adams
ブライト	valoisaa
ブライト	kirkasta
ブライト	valoisa
ブライト	kirkas
参事官	valtuutettu
トレーラー	perävaunun
毛皮	karva
毛皮	turkki
コロシアム	coliseum
コロシアム	colosseum
シンフォニー	sinfonia
選任	nimittäminen
選任	tapaaminen
選任	nimeäminen
選任	nimitys
選任	vaali
選任	vaalit
ゴールキーパー	maalivahti
マグマ	magma
条文	säännös
条文	määräys
条文	säännöksiä
条文	säännökset
条文	varaukset
条文	määräykset
ニクソン	nixonin
ニクソン	nixon
マリオン	marion
ごみ	pentue
ごみ	roskat
ごみ	roska
ごみ	roskaa
ごみ	roskat
