守山	moriyama
フルーツ	sadje
フルーツ	plodovi
著しい	izjemno
カウンティ	okrožni
カウンティ	okrožje
カウンティ	okraj
カウンティ	okrožju
カウンティ	okrožjih
カウンティ	okrožja
返済	poplačilo
返済	povračilo
返済	vračilo
チャネル	kanali
チャネル	kanal
淳子	junko
尾根	greben
尾根	ridge
ウェスタン	zahodna
ウェスタン	zahodni
ウェスタン	western
ウェスタン	zahodno
スキャン	pregledovanje
スキャン	skeniranje
スキャン	skeniranje
敬意	spoštovanja
敬意	spoštovati
敬意	spoštovanje
敬意	spoštuj
オリエンタル	oriental
鋭い	ostri
鋭い	oster
鋭い	ostra
鋭い	ostro
鋭い	sharp
お茶	tea
お茶	čaj
クローズ	zapri
ワープ	warp
ダイナマイト	dinamit
ダイナマイト	dinamita
コリンズ	collins
飲む	pitja
飲む	pitje
飲む	pijača
飲む	piti
飲む	pijačo
飲む	pij
飲む	pijača
オークション	dražba
オークション	dražbo
オークション	dražbi
オークション	dražbe
オークション	dražbe
ポータブル	prenosni
ポータブル	prenosno
ポータブル	prenosna
ポータブル	prenosljivosti
モンロー	monroe
産卵	drstenje
トラップ	past
トラップ	pasti
同値	enakovrednosti
同値	enakovrednost
ローテーション	zasuk
ローテーション	rotacije
ローテーション	kroženje
ローテーション	vrtenje
プリズム	prizma
フェアリー	vila
フェアリー	vilo
フェアリー	fairey
ポット	lonec
ポット	travo
マッカーサー	macarthur
ハチ	osa
ハチ	ose
ハチ	čebel
ハチ	čebele
ハチ	ose
ミッチェル	mitchell
カルト	kult
家事	gospodinjstvo
消える	izginja
消える	izgine
消える	izginila
テンション	napetost
テンション	napetosti
個別に	posamezno
個別に	individualno
個別に	posamično
ジャスト	le
ジャスト	samo
フォーカス	osredotočanje
フォーカス	osredotočenost
フォーカス	osredotočiti
分化	razlikovanje
ウエスタン	zahodna
ウエスタン	zahodni
ウエスタン	western
ウエスタン	zahodno
ラトビア	latvije
ラトビア	latvijo
ラトビア	latvija
ラトビア	latvijski
酢酸	acetat
スタンプ	žig
スタンプ	žiga
スタンプ	nalepke
スタンプ	nalepk
スタンプ	nalepke
スタンプ	nalepko
スタンプ	nalepka
スタンプ	štor
スタンス	drža
発令	izdajanje
発令	izdaja
激戦	silovito
おいしい	okusna
おいしい	okusno
停滞	stagnacijo
停滞	miruje
停滞	mirovanju
カブス	mladiči
カブス	mladiča
照射	obsevanje
照射	izpostavitev
照射	izpostavljanje
照射	izpostavljenost
照射	izpostavljenosti
クルーザー	križarka
ハンドブック	priročnik
江藤	eto
アーカンソー	arkansas
パッド	pad
マナー	bonton
マナー	manire
バットマン	batman
裁定	odločanje
タイル	ploščice
タイル	ploščice
螺旋	vijačnica
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
鉄砲	teppo
レジスタ	registri
レジスタ	evidence
レジスタ	registrira
レジスタ	register
レジスタ	evidenca
ピュア	čisti
ピュア	čist
ピュア	čista
蒸留	destilacijo
蒸留	destilirano
フレイ	frey
ブーツ	čevelj
ブーツ	škorenj
ブーツ	škornje
ブーツ	čevlji
ブーツ	škornji
出版物	publikacije
出版物	objava
出版物	objavo
出版物	objavljanje
ヒューズ	hughes
ヒューズ	varovalka
問い合わせ	poizvedbe
問い合わせ	poizvedbe
問い合わせ	preiskave
連帯	solidarnost
連帯	solidarnosti
ポーター	porter
ポーター	porterja
帰宅	domača
帰宅	doma
帰宅	domov
帰宅	dom
メイキング	izdelovanje
エフェクト	učinki
エフェクト	vplivi
エフェクト	učinka
エフェクト	učinek
エフェクト	efekt
デス	smrt
バター	masla
バター	maslo
教職員	fakulteta
教職員	fakultete
結核	tuberkulozo
結核	tuberkuloze
結核	tuberkuloza
ヨルダン	jordanski
ヨルダン	jordan
コバルト	kobalt
ソフトボール	softball
起業	podjetnik
起業	podjetništvo
欠陥	nepopolnosti
欠陥	nepopolnost
未完	nedokončano
未完	nedokončane
未完	nedokončan
コブラ	kobra
シスター	sestra
シスター	sestrica
グリル	žar
グリル	pečenje
脂肪	debel
脂肪	maščob
脂肪	maščobe
脂肪	debela
脂肪	maščoba
脂肪	debeli
アーネスト	ernest
眠る	spi
眠る	spanec
眠る	spati
眠る	spanje
天台宗	tendai
彼氏	fant
エミー	amy
迫害	preganjanje
迫害	preganjanja
迫害	pregon
迫害	preganjani
左近	sakon
勧誘	nagovarjanje
手数料	komisija
手数料	provizija
手数料	pristojbine
手数料	takse
バドミントン	badminton
ザック	zac
陶器	pottery
スクリプト	scenariji
スクリプト	scenarije
スクリプト	scenarij
スクリプト	skripta
スクリプト	skript
トライアングル	trikotnik
トライアングル	trikotnika
溶岩	lave
溶岩	lava
異端	krivoverstvo
真似	oponašati
真似	posnemati
フン	hun
ハス	lotus
メグ	meg
ボールド	drzno
ボールド	drzen
ボールド	drzna
ボールド	drzni
トッド	todd
入浴	kopa
入浴	kopalnih
入浴	kopanje
入浴	kopel
入浴	kopanje
入浴	kad
ハング	obesili
ハング	obešen
ハング	obesili
ハング	obesi
流体	tekočine
流体	tekočina
流体	tekočine
ジュネーヴ	ženevi
ハーバート	herbert
お菓子	sladkarije
未完成	nedokončano
未完成	nedokončane
未完成	nedokončan
未完成	nedokončano
未完成	nepopolna
未完成	nepopolno
未完成	nepopoln
未完成	nepopolni
ブレーメン	bremen
宮澤	mijazava
チューブ	cev
ヒゲ	brade
林業	gozdarstvo
変装	preobleki
変装	prikrito
変装	prikrita
変装	preobleke
祐介	jusuke
軍需	oborožitve
シグナル	signali
シグナル	signale
シグナル	signal
オリーブ	olive
オリーブ	oljčno
オリーブ	oljke
オリーブ	olive
オリーブ	oljk
面接	razgovor
面接	intervju
ダイエット	prehrana
ダイエット	dieta
ダイエット	dieto
ダイエット	prehrano
ダブリン	dublin
信念	faith
信念	vera
信念	vere
信念	veri
信念	vero
信念	verovanje
信念	prepričanje
信念	prepričanja
信念	prepričanj
信念	verovanja
スチュアート	stuart
ワイヤー	žica
ワイヤー	žico
ワイヤー	žice
ワイヤー	žic
ワイヤー	žice
アルブレヒト	albrecht
バレル	sod
バレル	sodček
サンティアゴ	santiago
雅人	masato
碑文	napis
碑文	napisi
碑文	napise
一樹	kazuki
ブルターニュ	brittany
審判員	sodnik
審判員	sodniki
スレッド	pogovor
スレッド	niti
スレッド	nit
スレッド	pogovori
ドラキュラ	drakula
ルネ	rené
ルネ	rene
ルネ	rené
ルネ	rene
桟橋	pomolu
桟橋	pomol
亜鉛	cinkov
亜鉛	cink
亜鉛	cinka
グラハム	graham
正博	masahiro
デューク	vojvodo
デューク	duke
デューク	knez
デューク	vojvoda
語彙	besednjak
コーディネーター	koordinatorja
コーディネーター	koordinator
ソナー	sonar
充電	polnim
充電	polnjenje
グラブ	zagrabi
グラブ	zgrabi
バーミンガム	birminghamu
マイヤー	meyer
リリー	lili
リリー	lily
大工	tesar
大工	carpenter
大工	tesarji
停泊	privez
隠岐	oki
チャイ	chai
ワクチン	cepiva
ワクチン	cepivo
ワクチン	cepiva
監獄	zapora
監獄	zapor
監獄	zapori
監獄	zapore
デラウェア	delaware
破片	razbitin
破片	razbitine
ペーター	peter
ペーター	petra
買い物	nakupovanje
既婚	poročeni
既婚	poročen
既婚	poročena
陽性	pozitiven
陽性	pozitivni
陽性	pozitivna
陽性	pozitivno
陽性	pozitivne
チョーク	kredo
チョーク	zadavil
四十	štirideset
四十	forty
エコー	odmev
エコー	echo
同調	skladnost
スイング	zamah
スイング	swing
コミュニティー	skupnost
コミュニティー	skupnosti
施策	politik
施策	police
施策	politike
トラクター	traktorjev
トラクター	traktorje
トラクター	traktor
カリスマ	karizmo
カリスマ	karizmatičen
吹く	udarci
吹く	piha
下着	perilo
淡水	sladkovodnih
ドキドキ	zanimivo
ドキドキ	razburljivo
驚き	presenečenje
ジェフリー	jeffrey
廃墟	uniči
廃墟	ruševinah
廃墟	ruševine
廃墟	ruševin
深度	globina
配当	dividende
配当	razdelitev
配当	porazdelitev
配当	distribucija
配当	razdeljevanje
配当	razporeditev
配当	dividende
故意	namerno
故意	namerno
故意	namenoma
故意	namenoma
故意	namerno
ニコ	nico
ニコ	niko
クロム	krom
クロム	kroma
クロム	krom
預言	prerokba
預言	prerokbe
掲示	napotitvi
掲示	objavljanje
掲示	bilten
掲示	biltenu
カロリー	kalorij
カロリー	kalorij
消化	prebavo
ヘビ	kača
ヘビ	kačo
ヘビ	kače
ヘビ	kač
ヘビ	kače
膨張	razširitev
膨張	širjenje
膨張	širitev
バッジ	značko
バッジ	značka
バッジ	značke
残酷	krut
残酷	kruto
残酷	kruti
残酷	kruta
ペナルティ	kazen
ペナルティ	kazni
フェンス	ograja
フェンス	ograje
フェンス	ograjo
船員	mornar
フォレスト	forrest
フォレスト	gozda
フォレスト	gozd
フォレスト	gozdni
フォレスト	gozdovi
クラッチ	sklopko
見習い	vajenci
見習い	vajenec
見習い	pripravnik
見習い	vajenec
黙示録	apokalipso
黙示録	apokalipse
黙示録	apokalipsa
枢機卿	kardinal
メソッド	metoda
メソッド	metodo
メソッド	metode
スチュワート	stewart
スギ	cedar
コップ	pokal
コップ	skodelico
コップ	skodelica
コップ	lonček
母国	domovina
視界	prepoznavnost
視界	vidljivost
視界	vidnost
ニッケル	niklja
ニッケル	nikelj
反響	odmeva
反響	odmev
反響	echo
プラットホーム	ploščad
プラットホーム	platforma
プラットホーム	platformo
カルチョ	calcio
スーザン	suzana
スーザン	susan
ハイチ	haiti
ハイチ	haitiju
ハイチ	haitijski
洗浄	pranje
洗浄	umivanje
洗浄	čiščenje
不祥事	škandal
不祥事	škandalov
委任	delegacija
委任	mandat
委任	mandata
委任	pooblastila
祭壇	oltarju
祭壇	oltar
祭壇	oltarja
シエラ	sierra
新一	shinichi
ボローニャ	bologni
ヤギ	kozje
ヤギ	kozo
ヤギ	koza
ヤギ	kozel
ヤギ	koze
ヤギ	koz
ワークショップ	delavnic
ワークショップ	delavnice
ワークショップ	delavnica
ワークショップ	delavnice
ワークショップ	delavnico
ワーグナー	wagner
金庫	varni
金庫	varen
金庫	varna
金庫	varno
金庫	sefi
被告人	obtožen
被告人	obtožena
被告人	obtoženi
被告人	obtoženec
被告人	obtoženi
バトン	baton
睡眠	spi
睡眠	spanec
睡眠	spati
睡眠	spanje
モノクロ	enobarvno
洗濯	pranje
洗濯	umivanje
洗濯	pralnica
洗濯	perilo
ツル	žerjav
リヒャルト	richard
裏側	zadaj
裏側	hrbet
裏側	nazaj
レズビアン	lezbijka
レズビアン	lezbijke
芸者	gejša
チャップリン	chaplin
吸気	vdihavanje
吸気	vdihavanju
吸気	vdih
祝福	blagoslova
祝福	blagoslov
祝福	blagoslova
祝福	blagoslov
祝福	blagoslovljen
祝福	blagoslovljena
祝福	blagoslovljeno
祝福	blagoslovljeni
祝福	blagor
林檎	jabolka
林檎	jabolčni
林檎	apple
林檎	jabolko
視力	vid
ロナルド	ronald
ランニング	teče
ランニング	tek
ランニング	teči
高尾	takao
届出	obvestilo
届出	obveščanje
レスキュー	reševalna
レスキュー	reševanje
土居	doi
委嘱	delegacija
委嘱	komisija
委嘱	provizija
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	šala
冗談	šalo
冗談	hec
お気に入り	priljubljeno
お気に入り	najljubša
お気に入り	najljubši
お気に入り	priljubljene
お気に入り	priljubljeni
お気に入り	priljubljeno
お気に入り	najljubša
お気に入り	najljubši
お気に入り	priljubljene
お気に入り	najljubših
お気に入り	najljubše
ロッカー	rocker
ロッカー	omarice
ロッカー	omarica
トゥルー	res
トゥルー	resnično
トゥルー	true
トゥルー	resnična
トゥルー	resnica
ヨット	jahte
ヨット	jahto
ヨット	jahte
シェーン	shane
ダイナミック	dinamika
ダイナミック	dinamična
ダイナミック	dinamični
ダイナミック	dinamično
ダイナミック	dinamičen
勝浦	katsuura
陶芸	pottery
エリオット	elliott
エリオット	eliot
エリオット	elliot
フットサル	futsal
ストライカー	striker
真木	maki
バイザー	vizir
ハンプシャー	hampshire
テント	šotori
テント	šotor
リソース	vir
リソース	vire
リソース	sredstva
リソース	viri
粛清	očiščenje
セリ	sei
崇拝	čaščenje
崇拝	častijo
ワトソン	watson
値段	cena
藤森	fujimori
快適	udobno
快適	udobni
快適	udoben
快適	udobno
快適	udoben
足跡	stopinje
ロベール	robert
バスケ	košarka
バスケ	košarko
獣医	veterani
獣医	veterinar
獣医	veterinarja
獣医	veterinar
獣医	veterinarja
ヴァージン	devica
和音	akord
帝政	empire
帝政	imperij
帝政	cesarstvo
動揺	razburjena
動揺	razburjen
タブレット	tableto
タブレット	tableta
タブレット	tablica
神学校	semenišču
麻酔	anestezijo
ジュエル	jewel
ジュエル	dragulj
サンチェス	sanchez
サンチェス	sánchez
文字通り	dobesedno
目的地	destinacija
マルチメディア	multimedijskih
オーラ	aura
ディープ	globoka
ディープ	globoko
ディープ	globok
マリアナ	mariana
アマゾン	amazonki
義雄	jošio
年数	leta
年数	letih
年数	let
サイコロ	kocke
不自然	nenaravno
コロナ	corona
切符	vstopnice
切符	vozovnice
切符	karte
切符	karta
切符	vozovnica
切符	karto
切符	vozovnico
切符	vstopnica
切符	srečka
教義	dogma
教義	creed
教義	doktrina
オメガ	omega
地雷	mine
ホッケー	hokej
ホッケー	hockey
かもめ	galeb
マダガスカル	madagaskar
事績	dosežke
事績	dosežki
事績	dosežek
事績	doseganje
上告	pritožba
カートリッジ	vložkov
カートリッジ	naboji
カートリッジ	vložke
カートリッジ	vložki
カートリッジ	vložek
トレイル	sled
臓器	organe
臓器	organi
臓器	organih
臓器	organ
臓器	orgle
コロンボ	colombo
水銀	mercury
水銀	merkur
ニース	lep
ニース	prijetno
ニース	lepo
ホモ	homo
ユニーク	edinstveno
ユニーク	edinstven
ユニーク	edinstvena
ユニーク	enkratna
ステアリング	krmiljenje
ステアリング	usmerjevalni
城郭	gradove
アドリア	adria
浄化	prečiščevanje
浄化	očisti
音節	zlog
音節	zlogov
シダ	fern
炎症	vnetnih
炎症	vnetja
炎症	vnetje
ダンカン	duncan
カッパ	kappa
カッパ	kapa
長江	jangce
摩擦	trenja
ドーン	zoro
ドーン	dawn
ドーン	zori
ドーン	zora
芝生	trati
芝生	trato
芝生	trate
久々	joj
実効	učinkovitost
実効	uspešnost
実効	učinkoviti
実効	učinkovita
実効	učinkovit
実効	učinkovito
セナ	senna
アルマ	alma
ルナ	luna
オリオン	orion
ルーシー	lucija
ルーシー	lucy
ウィリー	willy
ステータス	status
ステータス	stanje
アロン	aaron
アロン	aron
アロン	aron
柔軟	prožnost
柔軟	prilagodljivost
イングリッシュ	angleško
イングリッシュ	angleščina
イングリッシュ	angleži
イングリッシュ	angleški
浮気	nezvestobo
浮気	afera
浮気	afero
マッサージ	masaže
マッサージ	masažo
マッサージ	masaže
マッサージ	masaža
捕鯨	kitolov
劣化	poslabšanje
劣化	poslabšanja
劣化	razgradnjo
劣化	razgradnje
劣化	razgradnja
工具	orodje
上海市	šanghaju
上海市	šanghaj
クイック	hitro
リニア	linearni
リニア	linearno
リニア	linearna
ワタ	speciosa
ラーマ	lama
ラーマ	rama
ラーマ	rami
接着	adhezije
接着	oprijem
サンプリング	vzorec
サンプリング	vzorčenja
サンプリング	vzorčenje
必死	obupno
必死	obupano
必死	obupana
必死	obupan
失効	potekel
失効	potekla
失効	potek
ねずみ	miš
ねずみ	miška
ねずみ	miško
ねずみ	mišek
ねずみ	miške
経典	sutra
オセアニア	oceaniji
大気圏	ozračje
大気圏	atmosfera
大気圏	atmosfero
大気圏	vzdušje
不審	sumljivo
不審	sumljive
不審	sumljiv
不審	sumljiva
リサイクル	reciklirati
リサイクル	recikliranje
チェン	cheng
隠す	skrij
グラフィックス	grafike
マニ	mani
カモ	račke
カモ	race
カモ	rac
カモ	duck
カモ	račka
カモ	raca
無意味	brezveze
無意味	nesmiselno
ビーズ	biseri
ビーズ	kroglice
精製	rafinirano
精製	prečiščevanje
責め	krivda
カンパ	campa
スナック	prigrizek
スナック	malice
スナック	prigrizki
グリップ	prijem
グリップ	stisk
グリップ	oprijem
ペダル	pedal
アレクサンドロス	aleksandra
アレクサンドロス	aleksander
アレクサンドロス	alexander
ビザ	vizuma
ビザ	vizum
トレス	tres
スタック	kup
ヴァルター	walther
ヴァルター	walterja
ヴァルター	walter
悪性	maligni
満期	zrelosti
満期	zapadlosti
満期	zrelost
強要	prisile
強要	prisilo
強要	prisile
強要	prisilo
地球人	zemljan
隙間	vrzeli
ギャンブル	gamble
握手	rokovanje
オリバー	oliver
オリバー	oliverja
庇護	pokroviteljstvo
長谷	hase
ハリソン	harrison
フリート	ladjevje
フリート	floto
フリート	flota
フリート	flote
風力	gale
強姦	posilstva
強姦	posilstvo
センチュリー	stoletje
リカルド	ricardo
スルタン	sultan
バッグ	vrečka
バッグ	vreča
バッグ	torba
バッグ	vrečko
バッグ	torbe
バッグ	vrečke
バッグ	vreče
画質	kakovost
画質	kvaliteta
画質	kakovostno
画質	kakovosti
飽和	nasičenost
飽和	nasičenih
シャア	sha
カヤ	kaja
福音書	evangelij
ユニバーシアード	univerzijada
侮辱	žalitev
ロブ	rob
ロブ	robb
平衡	ravnotežje
平衡	ravnovesje
ダーウィン	darwin
乗馬	jahanje
粘土	gline
粘土	glino
粘土	clay
幸一	koichi
占有	obsedenost
占有	posest
占有	posedovanje
シュウ	oksalna
モナ	mona
肝臓	jeter
肝臓	jetra
アンゴラ	angola
味噌	mišo
ノック	potrkal
ノック	nok
ジェシカ	jess
ジェシカ	jessico
ジェシカ	jessica
停戦	premirje
真ん中	sredina
真ん中	srednji
真ん中	srednja
ペイント	barve
ペイント	barvo
ペイント	barva
ピーチ	breskev
ピーチ	breskve
滑らか	gladka
滑らか	gladek
滑らか	gladko
ハイランド	highland
完備	popolna
完備	popolno
白血病	levkemije
白血病	levkemijo
アングル	kote
アングル	kota
アングル	koti
冷たい	mraz
冷たい	mrzlo
冷たい	hladno
冷たい	mrzla
冷たい	mrzel
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	salonu
ディーラー	trgovec
デーモン	demon
除隊	praznjenje
ナイス	lep
ナイス	prijetno
ナイス	lepo
ケヴィン	kevin
信条	creed
入札	ponudba
シルエット	obris
エディンバラ	edinburghu
処方	predpiše
パノラマ	panorama
パノラマ	panoramski
クルト	kurt
反復	ponavljanje
反復	iteracij
ネイティブ	domačin
ネイティブ	materni
修道士	menih
修道士	pater
修道士	patri
ヴィレッジ	vasi
ヴィレッジ	vasica
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentin
バレンタイン	valentine
ボルドー	bordeaux
ヴァンパイア	vampir
ヴァンパイア	vampirja
ヴァンパイア	vampirka
ヴァンパイア	vampirji
ヴァンパイア	vampirski
受け取り	prejeto
受け取り	prejeti
受け取り	prejeta
風刺	satira
顕微鏡	mikroskop
検察官	tožilstvo
検察官	pregon
検察官	tožilec
検察官	tožilka
ボトル	plastenke
ボトル	steklenice
ボトル	stekleničke
ボトル	steklenica
ボトル	steklenička
ボトル	steklenico
ダイハツ	daihatsu
神風	kamikaze
クォーター	četrt
クォーター	četrtina
グリッド	mrežo
グリッド	mreža
グリッド	omrežje
リチウム	litija
リチウム	litij
わがまま	sebični
わがまま	sebično
ラバー	guma
ラバー	gumo
ラバー	gume
便所	stranišča
便所	stranišč
インタラクティブ	interaktivnih
セール	prodajo
セール	prodaja
アグネス	agnes
フェス	fez
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernandes
用紙	papirja
用紙	papir
パラオ	palau
ミナ	mina
快楽	užitek
快楽	zadovoljstvo
ヒール	zaceli
ヒール	ozdravi
ヒール	peto
ヒール	peta
しみ	madeže
しみ	madeži
しみ	madež
均衡	ravnotežje
均衡	ravnovesje
きれい	cist
きれい	čist
気球	balon
イケメン	lep
イケメン	lepotec
イケメン	čeden
イケメン	lepi
ディラン	dylan
リンパ	limfni
リンパ	limfatičnega
リンパ	limfni
メンフィス	memphisu
メンフィス	memphis
フィルタ	filter
フィルタ	filtriranje
フィルタ	filtre
フィルタ	filtrov
フィルタ	filtri
ヴォルフガング	wolfgang
チコ	chico
蒸発	izhlapela
蒸発	izhlapi
蒸発	izhlapevanje
ココ	coco
ココ	koko
スクリュー	vijak
