preguntarnos	問
arquivos	檔案
arquivos	檔案
encargo	訂單
encargo	命令
encargo	秩序
encargo	訂購
encargo	順序
empece	罷工
empece	出局
asiáticos	亞洲
asiáticos	亞裔
factor	因子
factor	因數
labor	工作
labor	任務
déronlle	她們
déronlle	他們
déronlle	它們
perpetua	生命
perpetua	人生
perpetua	生活
aparencia	外觀
aparencia	外表
aparencia	外貌
temer	恐懼
temer	怕
cinto	腰帶
cinto	皮帶
cinto	帶
camiñamos	步行
camiñamos	散步
camiñamos	走路
lectura	閱讀
lectura	讀書
lectura	讀取
lectura	讀
lectura	讀
lectura	讀取
lectura	閱讀
batallas	戰役
bendiga	保佑
bendiga	你
propietaria	所有者
propietaria	業主
bonitos	漂亮
bonitos	美
bonitos	美女
bonitos	美麗
bonitos	很好
bonitos	尼斯
esperade	等待
usaba	使用
ida	ida
matamos	殺戮
matamos	殺害
matamos	被殺
sentou	週六
sentou	sat
mates	殺
mates	數學
columnas	欄
furgoneta	貨車
furgoneta	梵
furgoneta	範
numerosos	許多
reforma	改革
incendio	消防
incendio	火
incendio	火焰
incendio	火災
estuda	研究
estuda	學習
estuda	學習
decepción	失望
reportaxe	報告
reportaxe	檢舉
móvese	搬家
móvese	感動
leopardo	豹
leopardo	獵豹
hola	你好
elvis	貓王
europea	歐洲
oracións	祈禱
oracións	禱告
xentes	人
xentes	人們
xentes	人民
radiación	放射
radiación	放射性
radiación	輻射
marco	地面
marco	幀
marco	框框
marco	框架
marco	框
marco	marco
viena	維也納
rumbo	課程
modesto	謙虛
modesto	適度
vestíbulo	大廳
vestíbulo	大堂
vestíbulo	遊說
vestíbulo	廳
vestíbulo	霍爾
vestíbulo	大廳
vestíbulo	hall
burguesa	中產階級
burguesa	資產階級
ave	伯德
ave	鳥
voa	蒼蠅
higgs	higgs
brutalidade	暴行
transición	過渡
transición	轉型
usou	使用
actuando	演戲
actuando	演技
actuando	代理
caldeiro	監獄
caldeiro	水桶
caldeiro	桶
atopaba	找到
atopaba	尋找
bandas	樂隊
delincuencia	犯罪
permitirei	將
permitirei	威爾
permitirei	讓
permitirei	元
permitirei	她的
levareite	你
prométocho	承諾
prométocho	許諾
prométocho	你
choras	你
choras	哭了
choras	哭
choras	哭泣
choras	哭
choras	哭泣
pagalo	付費
pagalo	付款
pagalo	支付
municipal	市政
peste	鼠疫
peste	瘟疫
peste	害蟲
peste	病蟲害
peste	蟲害
estrañas	奇怪
representantes	代表
envexa	羨慕
mel	蜜月
mel	蜂蜜
cuartel	總部
cuartel	營房
cuartel	軍營
cuartel	兵營
calmo	平靜
afecto	親情
mineiros	礦工
coide	護理
coide	關心
culler	匙
culler	勺
culler	勺子
culler	湯匙
disparan	拍攝
disparan	拍
disparan	射
disparan	消防
disparan	火
disparan	火焰
disparan	火災
fianza	交保
fianza	保釋
mantas	毛毯
pálida	淡
pálida	蒼白
fresca	新鮮
fresca	清新
fresca	酷
alice	愛麗絲
volverás	你
volverás	再次
honrado	誠實
serpe	蛇
proletarios	無產階級
strand	strand
garrett	garrett
víchelo	鋸
víchelo	鋸子
víchelo	你
bebo	喝
bebo	喝酒
dicides	說
dicides	你
paras	你
paras	停止
pelota	球
pagaron	付費
chamaches	你
cheminea	煙囪
criticar	批評
semellas	你
debiches	你
debiches	應該
debiches	必須
patrulla	巡邏隊
patrulla	巡邏
£	季度
£	百萬
salta	跳
salta	跳躍
rematará	終結
rematará	結尾
rematará	結束
rematará	將
rematará	威爾
alabama	阿拉巴馬
alabama	阿拉巴馬州
desexas	你
desexas	想要
milicia	民兵
serea	警笛
serea	吹
serea	炸
chamando	呼叫
prepara	你
gustouche	你
gustouche	讚
gustouche	就像
gustouche	像
gustouche	喜歡
comerciantes	商人
comerciantes	商家
arrestado	被捕
facela	她的
varón	男性
varón	男
varón	boy
varón	男孩
berce	搖籃
traficante	莊家
traficante	經銷商
benditos	祝福
benditos	有福
benditos	如何
estuardo	司徒
reféns	人質
dios	神
frota	艦隊
frota	船隊
frota	車隊
celoso	妒忌
celoso	吃醋
celoso	嫉妒
seo	徐
punishment	刑罰
punishment	懲罰
punishment	處罰
mercadorías	商品
mercadorías	商品
mercadorías	貨物
anano	矮人
anano	矮
anano	侏儒
anano	矮星
anano	人
anano	男人
anano	man
gueto	貧民窟
gueto	貧民區
drummer	鼓手
mali	背
mali	回
impulso	脈搏
impulso	脈衝
impulso	敦促
corán	可蘭經
corán	古蘭經
dígolles	你
clínicas	診所
clínicas	臨床
rifles	步槍
lombo	背
lombo	回
custo	費用
custo	成本
aforros	儲蓄
aforros	節省
aforros	節約
previr	防止
chiste	笑話
tigre	虎
tigre	老虎
crecen	成長
crecen	生長
crecen	獲取
crecen	獲得
crecen	得到
crecen	她們
crecen	他們
crecen	它們
crecen	年長
crecen	老年
cáncer	癌症
cáncer	癌
empezan	她們
empezan	他們
empezan	它們
tradución	翻譯
pintar	畫
pintar	油漆
pintar	顏料
colectivo	集體
básicos	基本
alimentación	糧食
alimentación	食品
alimentación	食物
alimentación	服裝
alimentación	衣物
alimentación	衣服
loitas	打架
loitas	打
loitas	戰鬥
bunker	碉堡
bunker	地堡
bunker	掩體
bunker	碉堡
bunker	掩體
favorito	最愛
favorito	喜愛
básico	基本
camboxa	柬埔寨
axencias	代理商
axencias	機構
pausa	停頓
pausa	暫停
celas	細胞
alfombra	地毯
alfombra	地毯
agardade	等待
visións	幻象
visións	願景
conceptos	概念
conceptos	理念
xenéticas	gene
xenéticas	基因
xenéticas	遺傳
confuso	混淆
confuso	困惑
confuso	失
confuso	輸
confuso	輸了
confuso	遺失
confuso	迷失
empregar	利用
empregar	使用
oposición	反對
oposición	反對派
oposición	反對黨
mecánica	機械
agochados	隱藏
agochados	隱藏
pesados	重
pesados	重型
pesados	沈重
buraco	孔洞
buraco	洞口
buraco	孔
buraco	洞
chamámoslle	致電
chamámoslle	電話
chamámoslle	打電話
chamámoslle	通話
chamámoslle	呼叫
inevitable	無可避免
inevitable	不可避免
elevado	高
direccións	方向
odia	憎恨
odia	恨
odia	討厭
odia	仇恨
susan	susan
facerte	你
continúan	而且
continúan	和
continúan	還有
mundiais	世界
tentarei	嘗試
tentarei	試試
tentarei	獲取
tentarei	獲得
tentarei	得到
prioridade	優先權
prioridade	優先
pensabamos	思想
revistas	雜誌
revistas	雜誌
lograr	獲取
lograr	獲得
lograr	得到
lagos	湖泊
recentes	最近
recentes	近期
funcione	工作
certificado	憑證
certificado	證書
pipa	管
pipa	管管
pipa	管道
pipa	管子
conversas	對話
vivendas	住家
radical	激進
obesidade	肥胖
obesidade	肥胖症
cuando	當
cadrado	正方形
cadrado	平方
cadrado	方塊
cadrado	方形
cadrado	廣場
prosperidade	繁榮
exilio	流亡
exilio	放逐
exilio	流放
palma	棕櫚
relativamente	相對
cordas	弦樂
gráficos	圖形
gráficos	繪圖
órganos	器官
decatarse	通知
penicilina	青霉素
comunicarse	溝通
apple	apple
apple	蘋果
funcións	函數
modernos	摩登
modernos	現代
modernos	近代
modernos	現代化
colonial	殖民
exceso	來自
exceso	從
exceso	過剩
exceso	過量
exceso	超額
exceso	多餘
ostras	牡蠣
vermellas	紅
vermellas	red
vermellas	紅色
ocupados	忙
ocupados	繁忙
ocupados	忙碌
ocupados	忙著
avanzada	先進
cascos	頭盔
darvos	你
darvos	讚
darvos	就像
darvos	像
darvos	喜歡
botóns	按鈕
interésame	興趣
interésame	感興趣
afirmación	申明
emocionado	興奮
emocionado	激動
champaña	香檳酒
champaña	香檳
inda	仍然
inda	依然
chamaría	致電
chamaría	電話
chamaría	打電話
chamaría	通話
chamaría	呼叫
austria	奧地利
agricultura	農業
unidas	在一起
unidas	一起
ratos	鼠
dispoñible	可用
plataforma	站台
plataforma	平台
celebración	慶典
celebración	慶祝
provén	來自
provén	從
avós	祖父母
namorada	戀愛
namorada	愛
namorada	love
namorada	愛情
ademáis	況且
enfadado	生氣
enfadado	怒
enfadado	憤怒
demasiadas	太
demasiadas	許多
dígoo	只是
dígoo	只要
impórtalle	護理
impórtalle	關心
impórtalle	你
impórtalle	頭腦
impórtalle	心靈
evidencias	證據
preocupados	擔憂
preocupados	擔心
preocupados	關於
secundaria	高
secundaria	學校
secundaria	上學
primas	物料
primas	材料
irlanda	愛爾蘭
escritores	作家
escritores	作者
universidades	大學
universidades	大學
ridícula	可笑
podre	爛
calcetíns	你的
calcetíns	襪
calcetíns	襪子
buscamos	尋找
partidos	匹配
partidos	火柴
necesarias	必要
necesarias	必需
delicado	細膩
delicado	精緻
ofrecerlle	優惠
durmas	睡
durmas	睡眠
durmas	睡覺
repito	重復
crían	她們
crían	他們
crían	它們
mensaxeiro	messenger
mensaxeiro	信使
respiro	中斷
respiro	休息
respiro	打破
respiro	呼氣
respiro	休息
controla	控制
controla	管制
combustible	燃料
combustible	燃油
sutil	微妙
crendo	思維
crendo	思考
adoitaban	使用
adoitaban	她們
adoitaban	他們
adoitaban	它們
alexander	亞歷山大
alexander	alexander
mortalidade	死亡率
mortalidade	死亡
mortalidade	死神
accidentes	事故
accidentes	意外
accidentes	事故
inclúe	包括
seco	乾燥
seco	乾
materias	raw
materias	原始
materias	生
misericordioso	仁慈
xesucristo	基督
tradicións	傳統
tradicións	傳統
alcohol	醇
alcohol	酒精
alcohol	酒
alcohol	酒類
alivio	救濟
insectos	昆蟲
túnel	地道
túnel	隧道
duelo	決鬥
duelo	決戰
mares	大海
mares	海上
mares	海
vivas	生活
viaxando	旅行
viaxando	旅遊
artística	藝術
artística	方向
marxe	房間
marxe	房
sigamos	讓
resolución	決議
cegos	瞎子
cegos	盲目
cegos	盲
cegos	盲人
cegos	瞎
feixe	堆
rexistros	紀錄
rexistros	記錄
focas	海豹
globo	氣球
choraba	哭了
choraba	哭
choraba	哭泣
continuou	而且
continuou	和
continuou	還有
elefante	象
elefante	大象
elefante	象
elefante	大象
golf	高爾夫球
sétimo	第七
venden	她們
venden	他們
venden	它們
venden	賣
venden	出售
empresarios	商人
camas	床位
camas	床
camas	床鋪
camas	病床
atopara	遇見
dixestes	你
bonecas	娃娃
bonecas	洋娃娃
bonecas	玩偶
evento	事件
evento	活動
festival	節
festival	節慶
festival	節日
determinación	決心
chamaron	她們
chamaron	他們
chamaron	它們
brasil	巴西
afeita	使用
afeita	你
ilusións	幻想
tiran	擲
tiran	扔
tiran	丟
tiran	她們
tiran	他們
tiran	它們
separar	分離
arriscar	風險
pito	雞肉
pito	山雞
pito	雞
pito	香煙
pito	煙
censura	審查
crianzas	兒童
montes	山
montes	山脈
montes	山區
proveito	一些
proveito	有些
cualificación	評比
cualificación	評分
obstante	然而
insultar	污辱
insultar	侮辱
insultar	侮辱
liberal	自由主義
descoñecidos	陌生人
stewart	stewart
perdera	失
perdera	輸
perdera	輸了
perdera	遺失
perdera	迷失
escuros	深
escuros	深層
escuros	黑
escuros	暗
escuros	黑暗
internacionais	國際
socio	伴侶
socio	夥伴
socio	合伙人
socio	搭檔
socio	協理
extrema	極端
extrema	極度
extrema	極限
esquecido	遺忘
escoitarme	聆聽
escoitarme	聽著
escoitarme	聽
rabia	怒
rabia	憤怒
rabia	怒火
rabia	怒
rabia	憤怒
rabia	怒火
rabia	出局
caros	昂貴
caros	貴
católica	天主教
católica	天主教徒
sacrificar	犧牲
apropiado	適當
carreta	幻影
carreta	手推車
deberá	必須
buscaba	尋找
dubido	疑問
dubido	懷疑
dubido	疑慮
suor	出汗
suor	汗水
suor	流汗
suor	汗
merca	購買
merca	買
atraso	晚
atraso	遲到
atraso	遲
copas	飲料
recto	直直
recto	直
saúda	說
saúda	你好
falabamos	關於
abrazo	擁抱
escríbeme	撰寫
escríbeme	寫
escríbeme	寫信
escríbeme	寫入
escríbeme	寫作
dicircho	你
veo	面紗
chámao	致電
chámao	電話
chámao	打電話
chámao	通話
chámao	呼叫
parécelle	你
parécelle	她
tea	布
prefires	你
bicar	吻
bicar	親
bicar	親親
bicar	kiss
bicar	親吻
sirvo	服務
sirvo	發球
lotaría	彩票
inspección	視察
inspección	寢室
inspección	宿舍
máximo	最大值
máximo	最大限度
cambiaches	你
cambiaches	改變
cambiaches	更改
cambiaches	變更
cambiaches	變
almorzar	早餐
almorzar	早飯
almorzar	午餐
almorzar	午飯
liscou	她
liscou	左側
liscou	左
liscou	左翼
liscou	左邊
interesan	興趣
interesan	利息
interesan	興趣
interesan	感興趣
peitos	她的
peitos	乳房
peitos	胸
peitos	胸部
peitos	乳房
baleiras	空白
baleiras	空
sacalo	獲取
sacalo	獲得
sacalo	得到
sacalo	出局
vina	鋸
vina	鋸子
vina	她的
unida	在一起
unida	一起
retiro	退休
peles	皮草
peles	皮毛
peles	毛皮
cranio	骷髏
cranio	頭顱
cranio	頭骨
fique	站立
fique	站
fique	站著
destruíron	她們
destruíron	他們
destruíron	它們
fitzgerald	fitzgerald
conquista	征服
veteranos	退伍軍人
veteranos	老兵
veteranos	退役軍人
veteranos	老兵
valentía	勇氣
cecais	或許
cecais	也許
faiche	你
métete	頭腦
métete	心靈
cheguemos	獲取
cheguemos	獲得
cheguemos	得到
atoparei	找到
atoparei	尋找
tesouro	珍寶
tesouro	寶藏
véxote	見
véxote	你
roubando	偷竊
roubando	偷
chamarme	致電
chamarme	電話
chamarme	打電話
chamarme	通話
chamarme	呼叫
delicioso	美味
delicioso	好吃
coñeciches	你
pixamas	睡衣
pénsao	關於
blue	blue
blue	藍
blue	藍色
andrews	來自
andrews	從
chalana	船
chalana	船隻
chalana	艇
pau	棍子
filliña	信
filliña	來信
filliña	字母
filliña	信函
filliña	信件
filliña	dear
filliña	女生
filliña	姑娘
filliña	女孩
filliña	girl
excusas	藉口
sagrada	神聖
sagrada	神聖
mineral	礦物質
mineral	礦物
mineral	礦產
mineral	礦石
andabas	你
cantaba	唱
cantaba	唱歌
cantaba	歌唱
tróuxenche	你
armadas	武裝
foches	你
escribo	撰寫
escribo	寫
escribo	寫信
escribo	寫入
escribo	寫作
irlandeses	愛爾蘭
willett	willett
mátao	殺
ianqui	美式
detido	被捕
artillería	大炮
artillería	火炮
artillería	炮兵
terroristas	恐怖份子
claude	claude
ping	平
ping	萍
jerry	jerry
cui	崔
zhong	鐘
private	隱私
private	私人
private	私營
profes	教師
cbi	iwc
asteroides	小行星
asteroides	小行星
desexaba	通緝
solucionar	解決
solucionar	解
doenzas	疾病
hormona	激素
hormona	荷爾蒙
cambiando	改變
jazz	爵士樂
jazz	爵士
tocamos	玩
tocamos	彈
tocamos	播放
bendición	祝福
finanzas	財務
incribles	驚人
incribles	神奇
má	壞
hans	hans
inspiración	激勵
inspiración	靈感
gráfica	圖表
gráfica	圖
gráfica	圖表
gráfica	圖形
gráfica	圖
estudamos	研究
estudamos	學習
sabia	明智
sabia	英明
ministerio	辦公
ministerio	辦公室
ministerio	辦事處
noventa	九十
nostalxia	懷舊
seguise	仍然
seguise	依然
seguise	讓
vendía	賣
vendía	售出
poemas	詩
poemas	詩歌
coñecedes	唐
coñecedes	don
adoitan	她們
adoitan	他們
adoitan	它們
adoitan	通常
ensaios	審判
supremo	最高
táboa	表
errada	錯誤
errada	錯
madrugada	早晨
madrugada	早上
madrugada	上午
illamento	隔絕
illamento	隔離
illamento	孤立
illamento	與世隔絕
baratos	廉價
baratos	便宜
aparellos	裝置
corporal	屍體
corporal	體
corporal	身體
negociacións	談判
competición	競爭
competición	競賽
finxir	假裝
posicións	職位
aplicar	適用
positiva	積極
positiva	正面
positiva	陽性
harvard	哈佛
seriamente	認真
pides	你
ecuación	方程
ecuación	方程式
axudas	幫助
axudas	幫忙
típica	典型
deixara	左側
deixara	左
deixara	左翼
deixara	左邊
deixara	讓
rematan	終結
rematan	結尾
rematan	結束
amarelos	黃色
amarelos	黃
racial	比賽
racial	賽跑
racial	種族
racial	競賽
sinxelos	簡單
nixeria	奈及利亞
casco	頭盔
casco	盔
deberan	應該
africana	非洲
paisaxes	景觀
imitar	模仿
sábese	任何
fragmentos	片段
fragmentos	碎片
atrapar	接住
morrían	她們
morrían	他們
morrían	它們
existente	現存
existente	現有
electrónica	電子
eficacia	功效
eficacia	效率
debuxar	繪製
debuxar	畫
debuxar	抽籤
debuxar	畫畫
debuxar	繪圖
debuxar	圖畫
debuxar	繪畫
desesperada	絕望
desesperada	兒子
balea	鯨魚
balea	鯨
tráxico	悲劇
tráxico	悲慘
biolóxico	生物
biolóxico	生物學
abren	開
abren	營業
abren	開啟
abren	開放
caribe	加勒比
recuperación	回收
recuperación	恢復
recuperación	康復
recuperación	復原
recuperación	復蘇
contaminación	污染
texas	德州
texas	德克薩斯州
bases	基地
bici	單車
bici	腳踏車
bici	自行車
minte	謊言
hail	冰雹
exercicios	演習
lixeiramente	稍微
dixéronlle	她們
dixéronlle	他們
dixéronlle	它們
atopen	找到
atopen	尋找
atopen	她們
atopen	他們
atopen	它們
cambialo	改變
cambialo	更改
cambialo	變更
cambialo	變
fundación	基金會
construir	建
construir	建立
construir	大樓
construir	建築
construir	建築物
traballaban	工作
tiveran	她們
tiveran	他們
tiveran	它們
ainda	仍然
ainda	依然
usala	利用
usala	使用
optimista	樂觀
normalidade	通常
medran	成長
medran	生長
cadela	竇
cadela	犬
cadela	狗
encantaríame	戀愛
encantaríame	愛
encantaríame	love
encantaríame	愛情
virtude	美德
intencións	意圖
intencións	意向
cursos	課程
cursos	討論會
cursos	研討會
lembrades	記住
lembrades	你
dick	dick
herbas	草
herbas	草地
herbas	草叢
herbas	藥草
herbas	草藥
golpear	罷工
computadora	計算機
computadora	電腦
contactar	接觸
contactar	聯絡
arquitecto	建築師
catedral	大教堂
comparar	比較
manexar	處理
española	西班牙文
española	西班牙語
xogador	球員
xogador	玩家
xogador	賭鬼
xogador	賭徒
computadores	電子計算機
computadores	計算機
computadores	電腦
durmía	睡
durmía	睡眠
durmía	睡覺
bacteria	細菌
élle	護理
élle	關心
élle	她
élle	唐
élle	don
entren	獲取
entren	獲得
entren	得到
parentes	親屬
parentes	親戚
empezaron	她們
empezaron	他們
empezaron	它們
estadio	體育館
estadio	運動場
estadio	球場
estadio	舞台
estadio	競技場
estadio	體育館
ocuparme	護理
ocuparme	關心
intentos	企圖
obstáculos	障礙
sinxelamente	只是
sinxelamente	只要
variedades	品種
sabiades	你
razas	種族
razas	雨
razas	下雨
razas	雨水
pulmón	肺
pulmón	龍
detectar	偵測
cambiará	將
cambiará	威爾
cambiará	改變
cambiará	更改
cambiará	變更
cambiará	變
catástrofe	災難
descuberta	發現
descuberta	探索
voluntario	志願者
voluntario	義工
ímoslle	讓
ímoslle	這裡
pódesme	你
estarías	你
ombro	肩
ombro	肩膀
desesperado	絕望
sentenza	句子
sentenza	刑期
sentenza	判刑
construímos	建
construímos	內建
cambiamos	改變
cambiamos	更改
cambiamos	變更
cambiamos	變
entendedes	你
alimenta	種子
hoxendía	今日
hoxendía	今天
feixóns	豆子
feixóns	豆類
feixóns	豆豆
feixóns	豆
barras	酒吧
barras	小節
barras	公斤
eficiente	高效
eficiente	有效率
concordo	同意
nenez	童年
vales	山谷
naturais	自然
naturais	天然
valioso	寶貴
caendo	墜落
caendo	往下
caendo	向下
lavadora	洗滌
lavadora	洗
lavadora	機械
lavadora	機
lavadora	機器
leña	木
leña	木材
leña	wood
leña	木頭
deixará	你
deixará	休假
deixará	離開
comezos	提早
comezos	及早
comezos	早期
comezos	提前
xeada	frost
xeada	霜
xeada	冰霜
cráteres	彈坑
cráteres	炸彈
fadas	神仙
fadas	仙女
fadas	仙
fadas	仙子
crearon	她們
crearon	他們
crearon	它們
gobernamental	政府
matemática	數學
matemática	數學
pílulas	丸
pílulas	藥片
pílulas	藥丸
contando	數
contando	計數
fotógrafo	攝影師
saíches	出局
saíches	你
sudáfrica	南
sudáfrica	南方
sudáfrica	南部
sudáfrica	非洲
quererías	讚
quererías	就像
quererías	像
quererías	喜歡
quererías	你
quererías	想要
teñades	你
vistas	檢視
vistas	瀏覽
instrumentos	儀器
instrumentos	樂器
instrumentos	文書
unir	加入
protagonista	主人公
esqueceu	遺忘
gravación	錄音
gravación	記錄
intentas	嘗試
intentas	試試
intentas	你
intentas	嘗試
dáche	你
gordos	肥
gordos	脂肪
gordos	胖
televisor	電視機
televisor	電視
televisor	電視台
firmes	注意
firmes	注意力
misterioso	神秘
quendas	輪班
conseguen	獲取
conseguen	獲得
conseguen	得到
descobre	出局
danny	danny
ataca	攻擊
ataca	襲擊
ataca	攻擊
ataca	襲擊
ataca	進攻
miserable	悲慘
órbita	軌道
atractiva	吸引力
apuntar	角
apuntar	點
soviética	蘇維埃
esmagar	壓碎
dificultade	困難
dificultade	難度
parlamento	國會
parlamento	議會
espellos	鏡子
rota	破碎
rota	破損
rota	斷
anónimos	匿名
anónimos	無名氏
caixeiro	出納
caixeiro	機械
caixeiro	機
caixeiro	機器
alias	aka
nacido	生於
nacido	誕生
nacido	出生
nacido	天生
títulos	頭銜
títulos	職銜
títulos	標題
custos	費用
custos	成本
custos	費用
custos	成本
vehículos	車輛
trouxeches	你
trouxeches	帶
prometinlle	允諾
soña	夢
soña	夢境
soña	夢想
soña	做夢
consolo	慰藉
espíritos	魂靈
algures	某處
tornou	成為
matadoiro	屠宰場
taberna	酒吧
taberna	bar
taberna	客棧
taberna	酒館
vapor	蒸氣
vapor	蒸汽
mátame	殺
amarga	苦苦
amarga	苦
afogar	淹死
afogar	淹沒
afogar	溺水
afogar	淹死
afogar	溺
afogar	淹溺
hurra	讓
localizacións	地點
ditadura	獨裁政權
ditadura	獨裁
ditadura	專制
ditadura	專政
baker	貝克
tolear	瘋狂
tolear	瘋
tolear	瘋了
tolear	瘋狂
encanto	魅力
imaxine	想象
imaxine	想像
louco	瘋狂
louco	瘋
louco	瘋了
gravata	領結
gravata	平局
gravata	領帶
probe	嘗試
probe	試試
cuspir	吐痰
cuspir	吐
cuspir	唾液
cuspir	口水
volvese	背
volvese	回
planear	計劃
planear	計畫
xogas	玩
xogas	彈
xogas	播放
perdo	輸
regresou	背
regresou	回
mate	殺
beiras	銀行
aloxamento	住房
mudanzas	變更
mudanzas	變動
mudanzas	變化
mudanzas	更改
berro	哭
berro	哭泣
berro	喊
desorde	失調
desorde	亂
desorde	爛攤子
comerciante	商人
comerciante	商家
perfume	香水
direicho	你
roxa	紅
roxa	red
roxa	紅色
saiamos	獲取
saiamos	獲得
saiamos	得到
saiamos	出局
téxtil	紡織
téxtil	紡織品
téxtil	磨坊
castrón	兒子
castrón	槍支
castrón	槍
castrón	炮
fascistas	法西斯
lenin	列寧
tócache	你的
tócache	轉
arranxalo	修復
arranxalo	修
arranxalo	獲取
arranxalo	獲得
arranxalo	得到
protesta	抗議
bandeiras	旗幟
bandeiras	旗
bandeiras	旗子
caralludo	很好
caralludo	尼斯
lémbraste	記住
lémbraste	你
prometida	允諾
cómoda	舒服
cómoda	舒適
cartuchos	墨盒
cartuchos	彈藥
balón	球
tomaches	你
delegación	代表團
voltamos	背
voltamos	回
dispararlle	拍攝
dispararlle	拍
dispararlle	射
revólver	槍支
revólver	槍
revólver	炮
mato	被殺
mato	殺
baleiros	空白
baleiros	空
patrullas	巡邏
patrullas	車
patrullas	汽車
colliches	你
sid	sid
insulto	污辱
insulto	侮辱
enxeñeiro	工程師
séntate	往下
séntate	向下
puideses	你
arrestar	逮捕
arrestar	被捕
arrestar	拘捕
confirmar	確認
confirmar	證實
bañeira	浴缸
bañeira	浴
bañeira	洗澡
bentley	bentley
britton	britton
quizá	或許
quizá	也許
quizá	或許
coñecerte	你
chegarás	你
chegarás	將
chegarás	威爾
dormes	睡
dormes	睡眠
dormes	睡覺
dormes	你
ruliña	戀愛
ruliña	愛
ruliña	love
ruliña	愛情
ruliña	小
ruliña	鳩
ruliña	鴿
ruliña	鴿子
pó	塵土
pó	塵
pó	塵埃
pó	灰塵
envíe	mail
envíe	郵件
envíe	郵寄
envíe	信件
gravadora	帶子
gravadora	膠帶
gravadora	磁帶
gravadora	錄音機
citas	引號
citas	報價
citas	引述
citas	引用
citas	引文
dourado	golden
dourado	黃金
dourado	金色
telegrama	電報
remataches	你
remataches	完成
medallas	獎章
medallas	勳章
medallas	獎牌
mova	動
mova	移動
cruce	跨越
cruce	穿越
heiche	你
marabillas	奇觀
marabillas	奇跡
prometeu	允諾
troco	改變
troco	更改
troco	變更
troco	變
guindar	擲
guindar	扔
guindar	丟
explorador	探險家
explorador	explorer
explorador	遊俠
lar	首頁
lar	家
lar	home
lar	住家
derrubar	往下
derrubar	向下
quixer	想要
mula	騾子
mula	騾
oliva	oliva
cadaquén	大家
cadaquén	每個人
cadaquén	每個
banal	普通
banal	平凡
castro	castro
bombardear	炸彈
bombardear	轟炸
bombardear	炮擊
agasallos	禮物
agasallos	送禮
agasallos	禮品
preguntarche	問
preguntarche	你
cicatriz	疤痕
cicatriz	傷疤
cicatriz	疤
cicatriz	刀疤
