roll	ripo
jerry	džerijs
penipuan	krāpšana
penipuan	krāpšanu
penipuan	krāpšanas
disambungkan	pieslēdzies
disambungkan	savienota
jon	jon
sato	sato
devil	velns
tales	pasakas
insulin	insulīna
insulin	insulīns
catur	šaha
usb	usb
dhabi	dabī
málaga	seviļas
fighter	cīnītājs
menggulingkan	gāza
menggulingkan	gāzt
sar	sar
teramat	ārkārtīgi
rahib	mūks
look	ieskaties
look	izskaties
look	skaties
look	skatiens
tren	tendence
tren	tendences
beauty	skaistule
beauty	skaistums
panggang	grauzdētas
panggang	cep
diberitahu	paziņots
diberitahu	paziņoti
diberitahu	paziņota
kebersihan	tīrība
kebersihan	higiēna
fikir	domāja
fikir	doma
fikir	domāju
fikir	likās
fikir	domājat
fikir	domā
fikir	domāju
fikir	domāt
fikir	domājam
fikir	padomā
sesat	kļūdainā
alba	alba
romance	romantika
mon	mon
dean	dean
nancy	nensija
ari	ari
alberto	alberto
tafsir	interpretē
tafsir	interpretēt
ultimate	galējais
ultimate	galīgais
rod	stienis
rod	air
tabiat	ieradumu
tabiat	ieradums
yuki	juki
kawanan	saimes
kawanan	saime
kawanan	ganāmpulku
kawanan	ganāmpulka
kawanan	ganāmpulks
poly	poli
melodi	melodija
homoseksual	homoseksuālu
kent	kents
berangan	daydream
tualang	klaidonis
ernst	ernsts
ernst	ernst
oct	azt
mogok	streiks
pengangguran	bezdarbs
resipi	receptes
resipi	recepte
antropologi	antropoloģija
reich	reiha
gerila	partizāniem
gerila	partizānu
dielakkan	novērsta
dielakkan	novērstas
austin	austin
zagreb	zagreba
gelung	cilpas
gelung	cilpu
gelung	cilpas
gelung	cilpu
gusi	sveķi
gusi	sveķi
gusi	gumija
terap	piemēro
terap	piemērot
terap	pielietot
terap	padarītu
peledak	detonators
musytari	jupiters
pejalan	gājēji
rela	labprātīgi
adrian	adrians
direct	tiešā
direct	tiešs
direct	tiešais
direct	direct
direct	tieša
susun	kārtot
susun	šķirot
sweet	saldais
sweet	salds
sweet	saldā
herbert	herbert
bobby	bobijs
bleach	balinātāju
queens	karalienes
queens	queens
christ	kristus
christ	kristu
samoa	samoa
become	kļūt
become	kļuvis
uhf	uhf
stock	krājums
stock	krājumi
stock	krājumu
dinamo	dinamo
hyundai	hyundai
jangkaan	gaidas
jangkaan	cerības
jangkaan	gaidas
rasional	racionālu
rasional	racionāli
rasional	racionāla
mir	mir
papar	rādīt
papar	parādīt
ordo	ordo
diproses	pārstrādāta
diproses	pārstrādāti
diproses	pārstrādāts
diproses	pārstrādātas
diproses	apstrādāti
penuntut	kriminālvajāšanu
motivasi	motivācijas
motivasi	motivācija
motivasi	motivācijas
merata	vienmērīgi
pemusnah	iznīcinātāju
pat	pat
sengit	sīva
sengit	nežēlīga
sengit	intensīvā
sengit	intensīvas
sengit	intensīvs
sengit	intensīvi
sengit	intensīva
liter	litru
liter	litrs
liter	litri
liter	litru
liter	litru
liter	litri
liter	litros
dongeng	pasakā
dongeng	pasaku
higher	augstāks
higher	augstāk
higher	augstākas
higher	augstāki
southampton	sauthemptonas
meta	meta
kid	bērns
kid	puika
bertingkat	dekers
badajoz	badahosas
ragu	apšaubāms
ragu	apšaubāma
ragu	šaubu
ragu	šaubos
singer	dziedātāja
singer	dziedātājs
sejahtera	pārtikusi
sejahtera	turīga
beaufort	beaufort
salerno	salerno
parent	vecāks
parent	vecāka
komitmen	apņēmība
komitmen	apņemšanās
komitmen	saistības
batuk	klepus
cook	gatavot
cook	pavārs
bean	pupas
bean	pupu
raymond	raymond
dinar	dinārs
nuh	noā
masukkan	ievadīt
masukkan	ievadi
masukkan	ieiet
pengembara	klejotāja
terkumpul	uzkrātā
terkumpul	uzkrāti
terkumpul	uzkrātās
terkumpul	uzkrātie
pembuangan	izvadīšana
pembuangan	likvidēšana
pembuangan	iznīcināšana
pembuangan	izņemšanas
pembuangan	pārcelšanās
pembuangan	noņemšana
pembuangan	izņemšana
gerabak	ratiņi
daro	daro
eds	eds
cabutan	zīmēt
hope	cerību
hope	cerības
hope	ceru
hope	cerība
roberts	roberts
botak	kailā
kebetulan	sagadīšanās
kebetulan	sagadīšanās
kebetulan	sakritība
memerangi	apkarotu
hermann	hermanis
dengar	klausies
mcdonald	mcdonald
asa	asa
asa	izmisuma
celtic	ķeltu
terancang	organizēti
terancang	organizēta
terancang	organizēts
terancang	plānotais
terancang	plānota
terancang	plānoto
terancang	plānots
terancang	plānotie
terancang	plānotās
tarik	izvilkt
chola	čolas
meiji	meidzi
xiii	xiii
pampasan	kompensācijas
pampasan	kompensācija
memukul	skar
pit	bedres
pit	pit
pit	bedre
batin	iekšējā
batin	iekšējais
memupuk	kultivēt
memupuk	jākopj
emma	emma
perenggan	rindkopa
perenggan	rindkopas
perenggan	rindkopas
ekosistem	ekosistēmas
ekosistem	ekosistēmu
keyboard	tastatūras
keyboard	tastatūras
vaucluse	voklīza
diskografi	diskogrāfija
rita	rita
owned	īpašumā
owned	pieder
diktator	diktators
diktator	diktatūra
goal	mērķis
stuttgart	štutgartes
satah	plakne
satah	plaknes
satah	lidmašīna
satah	lidmašīnas
satah	plaknes
tembakau	tabaku
tembakau	tabaka
pendengar	klausītāja
pendengar	klausītājiem
belarus	baltkrievija
belarus	baltkrievu
belarus	baltkrievijas
rule	noteikums
abdi	abdi
pengilang	ražotāji
pengilang	izgatavotāji
pengilang	maltas
pengilang	maltā
pengilang	malta
pengilang	izgatavotājs
pengilang	ražotājs
ever	kādreiz
ever	ever
ever	jebkad
yangon	jangona
jeruk	apelsīni
swansea	swansea
virtual	virtuālā
virtual	virtuālo
gus	gas
delima	granātābolu
gusti	cīņas
tadbir	administrē
tadbir	ievadīt
tadbir	pārvaldība
loiret	luarē
jeti	pier
jeti	mola
jeti	mols
nguyen	ngujens
banks	bankas
banks	bankās
tumor	audzēja
membandingkan	salīdzina
znojmo	znojmo
floor	stāvs
floor	grīdas
floor	grīda
churchill	churchill
stalin	staļins
coca	coca
advanced	paplašināti
advanced	progresējošu
#ffffff	#ffffff
plate	plate
plate	plāksne
plate	plātne
plate	plāksnes
estádio	estádio
kesinambungan	nepārtrauktība
kesinambungan	nepārtrauktību
kesinambungan	nepārtrauktības
norma	normas
norma	norma
norma	norma
norma	norm
corps	korpuss
disesuaikan	pielāgots
disesuaikan	pielāgotā
katil	guļvietas
katil	gultu
katil	gulta
katil	gultas
katil	gultas
wayne	veins
wayne	veina
falak	astronomijas
spirit	gars
spirit	spirti
spirit	gari
suntikan	injekcijas
suntikan	injekcijām
suntikan	injekcijām
suntikan	injekcija
ketetapan	dekrētu
ketetapan	dekrēts
hab	hab
hab	rumbas
hab	hub
sirius	sirius
dihiasi	apbalvots
dihiasi	rotāja
dilanjutkan	paplašināta
dilanjutkan	paplašinātas
dilanjutkan	pagarināts
dilanjutkan	paplašināts
dilanjutkan	paplašinātā
penguat	pastiprinātāji
penguat	pastiprinātājs
penguat	pastiprinātāja
danish	dāņu
danish	dānijas
satria	spēkavīrs
satria	zirdziņš
siklon	ciklona
venue	minu
perihal	par
raf	raf
menguatkan	stiprināt
menguatkan	nostiprināt
morris	morris
spekulasi	spekulācijas
spekulasi	spekulāciju
spekulasi	spekulācijas
kakashi	kakaši
quality	kvalitāte
quality	kvalitātes
tadika	bērnudārzs
tadika	bērnudārza
tadika	bērnudārzu
oak	ozolkoka
oak	ozola
sumpahan	lāsts
karen	kārena
pembangun	izstrādātājiem
pembangun	būvnieki
trend	tendence
trend	tendences
lejang	gājiens
lejang	insults
senibina	arhitektūra
pasport	pases
pasport	pasēs
pasport	pasu
pasport	pase
pasport	pasē
pasport	pasi
pasport	pases
intel	intel
brod	brod
termasyhur	spīdeklis
penyiasat	pētnieka
penyiasat	pētnieks
penyiasat	izmeklētāji
penyiasat	pētnieki
blair	blair
kastam	muitas
kastam	muita
balkan	balkānos
balkan	balkānu
balkan	balkānu
pengesanan	noteikšanas
pengesanan	noteikšana
pengesanan	atklāšana
pengesanan	izsekošanas
pengesanan	izsekošana
telekom	telecom
telekom	telekom
teratai	lotus
pengulas	komentētāji
hudson	hadsona
kalium	kālija
kalium	kāliju
leading	vadošie
leading	vadošais
glasgow	glāzgovas
permit	atļaut
permit	atļauja
permit	atļaujas
marvel	marvel
bologna	boloņas
lions	lauvas
simetri	simetrija
pemalar	nemainīga
pemalar	konstante
pemalar	nemainīgs
pemalar	konstanti
pemalar	konstantes
nasionalisme	nacionālisms
laura	laura
laura	lora
mengenalpasti	identificē
mengenalpasti	identificē
mengenalpasti	identificēt
mengenalpasti	identificēt
mengenalpasti	identificēšana
seat	sēdekļa
seat	sēdeklis
matawang	valūta
hamburg	hamburgas
hamburg	hamburg
hamburg	hamburgā
iskandariah	aleksandrija
clear	skaidra
clear	skaidri
clear	skaidrs
clear	dzidrs
felipe	felipe
insurans	apdrošināšana
indonesian	indonēzijas
kemarau	sausums
madara	madara
polish	poļu
polish	polijas
leverkusen	leverkūzene
course	kursa
course	kursu
course	kurss
course	kursā
missouri	misūri
bayer	bayer
sikh	sikhu
diculik	nolaupīti
diculik	nolaupīja
rajasthan	rādžastāna
duo	duo
hanoi	hanojas
watch	skatīties
watch	pulkstenis
watch	skaties
internazionale	internazionale
elektromagnet	elektromagnētiskie
elektromagnet	elektromagnētisko
elektromagnet	elektromagnēts
campbell	campbell
premis	telpas
premis	priekšnoteikumu
cbs	cb
complex	komplekss
complex	sarežģīts
complex	kompleksā
complex	sarežģīti
complex	sarežģīta
spesifik	specifiskas
spesifik	īpašie
egg	olas
egg	olu
egg	ola
rusuk	ribām
rusuk	ribas
rusuk	ribu
rusuk	ribas
rusuk	ribu
esa	eks
esa	eka
esa	esa
landskap	ainava
landskap	ainavu
landskap	ainavas
bremen	brēmene
banting	slam
haid	menstruālā
haid	menstruācijas
imbuhan	piestiprināt
imbuhan	piestiprina
imax	imax
brain	smadzenes
brain	smadzeņu
turkish	turku
turkish	turcijas
kerohanian	garīgumu
justin	džastins
hamad	hameds
denda	sankcijas
denda	sodi
mengingatkan	atgādināja
lau	lau
nowrap	nowrap
mit	mit
luftwaffe	luftwaffe
ros	ros
perselisihan	strīdus
perselisihan	domstarpības
perselisihan	strīdi
kaabah	kaaba
beracun	toksiskas
beracun	toksisks
beracun	toksiska
beracun	indīgs
menghina	aizvainojoši
étienne	étienne
dipertingkatkan	uzlaboti
dipertingkatkan	uzlabota
dipertingkatkan	uzlabots
dipertingkatkan	uzlabojies
dipertingkatkan	pastiprināta
dipertingkatkan	uzlabots
bodoh	muļķis
bodoh	muļķi
bodoh	idiots
bodoh	stulba
bodoh	stulbs
bodoh	stulbi
bodoh	muļķi
kelak	kādreiz
kansas	kanzasa
rotor	rotora
rotor	rotoru
rotor	rotori
diamond	dimanta
diamond	dimants
diamond	dimantu
penginapan	snn
penginapan	inn
penginapan	iesniegšana
cinematography	kinematogrāfija
kronologi	hronoloģija
pecutan	paātrinājums
pecutan	paātrinājuma
dipandang	apskatāma
alfa	alfa
pilih	izvēlies
pilih	izvēlēties
pilih	izvēlēties
jennifer	dženifera
famous	slavena
famous	slavens
famous	slavenais
famous	slaveno
ring	gredzens
gandhi	gandijs
ppp	ppp
nara	nara
adunan	kombinācijas
manhattan	manhetenas
mentega	sviests
heroes	varoņi
heroes	varoņiem
biasiswa	stipendijas
biasiswa	stipendiju
berinteraksi	mijiedarbojas
berinteraksi	mijiedarboties
berinteraksi	saskarsme
choice	izvēle
aduan	sūdzības
aduan	sūdzība
oceania	okeānijā
maskot	talismans
semoga	cerams
dame	dame
kenneth	kenneth
meniru	atdarināt
election	ievēlēšana
election	vēlēšanās
election	vēlēšanas
indiana	indiana
pain	sāpes
punk	panki
latvia	latvija
latvia	latvijas
latvia	latviešu
latvia	latvju
houston	hjūstona
maryam	marija
maryam	mērija
naskhah	manuskriptu
tanzania	tanzānijas
ella	ella
sepadan	saskaņošana
samudera	okeānā
samudera	okeāns
samudera	okeāna
agresif	agresīvi
agresif	agresīvi
agresif	agresīva
duck	pīles
duck	pīļu
duck	pīle
penterjemahan	tulkošana
penterjemahan	tulkojums
penterjemahan	tulkojumi
penterjemahan	translators
hyde	haida
pengorbanan	upurus
pengorbanan	upuris
gencatan	pamiers
dicari	gribēju
dicari	gribēja
dicari	vēlējās
harmoni	saskaņas
icon	ikonu
icon	ikona
icon	ikonas
membaiki	remonts
membaiki	remonta
membaiki	remonts
segalanya	viss
segalanya	visam
segalanya	visu
dublin	dublinā
dublin	dublin
dublin	dublinas
mengejut	nesagatavotus
mengejut	pēkšņas
mengejut	pēkšņs
mengejut	pēkšņa
gita	gita
leonardo	leonardo
dahsyat	briesmīga
dahsyat	briesmīgi
dahsyat	šausmīgi
dahsyat	briesmīgs
kepekatan	piesātinājuma
kepekatan	koncentrācijas
kepekatan	koncentrēšanās
kepekatan	koncentrācija
qin	cjiņa
strong	stiprs
strong	spēcīgs
strong	stipra
strong	spēcīgi
strong	stipri
strong	spēcīga
pemeliharaan	saglabāšanu
pemeliharaan	saglabāšana
rob	rob
mantap	lieliski
mantap	brīnišķīgs
mantap	vienmērīgu
mantap	vienmērīgs
mantap	vienmērīga
zuhal	saturnu
survey	apskate
survey	aptauja
hun	hun
hun	huņņi
setaraf	vienāda
setaraf	vienāds
learning	mācīšanās
rongga	dobumā
exchange	apmaiņa
exchange	apmaiņas
exchange	birža
yun	yun
merak	pāvs
fukuoka	fukuoka
paket	paketes
paket	pakešu
joshua	joshua
kehamilan	grūtniecība
kehamilan	grūtniecības
jessica	džesika
pendakwa	prokurors
perancang	plānotājs
perancang	plānotāji
bee	bite
bee	bišu
price	cenas
price	cena
price	cenu
jungle	džungļos
jungle	džungļu
pepsi	pepsi
erat	cieši
erat	cieši
nico	nico
giuseppe	giuseppe
miliknya	savējos
spin	spin
megah	lielisku
berlanggar	saduras
berlanggar	avarē
stok	krājums
stok	krājumi
stok	krājumu
itunes	itunes
alabama	alabama
mont	mont
trust	uzticēties
trust	uzticēšanās
trust	uzticība
trust	uzticību
trust	ticu
kepupusan	izzušana
kepupusan	izmiršanas
arizona	arizona
pemanasan	apkures
pemanasan	apkure
pemanasan	siltumapgāde
ships	kuģi
ships	kuģiem
ships	kuģus
graf	grafikā
graf	grafiks
graf	grafiki
turner	tērnera
saitama	saitama
bruno	bruno
xavier	xavier
perunding	konsultācijas
perunding	konsulāti
perunding	konsultants
perunding	konsultanti
perunding	konsulāts
tebu	saccharum
tebu	cukurniedru
khemah	telts
rina	rina
corp	corp
merbahaya	kaitīgas
merbahaya	kaitīgs
merbahaya	kaitīgu
merbahaya	kaitīgi
merbahaya	kaitīga
merbahaya	kaitīgā
merbahaya	bīstamas
merbahaya	bīstams
merbahaya	bīstama
merbahaya	bīstamā
merbahaya	bīstami
harum	harum
perladangan	lauksaimniecība
perladangan	audzēšana
lisbon	lisabona
lisbon	lisabonas
lisbon	lisabonā
officer	amatpersona
officer	virsnieks
officer	virsnieka
almaty	almati
legion	leģiona
penguin	penguins
penguin	pingvīns
highway	šosejas
highway	šoseja
dian	daiana
larian	braukšana
marseille	marseļas
marseille	marseļas
barry	berijs
prize	balva
prize	balvu
rin	rina
pastikan	nodrošināt
menyamai	ekvivalents
menyamai	līdzvērtīgs
menyamai	līdzvērtīga
menyamai	līdzvērtīgi
menyamai	vienlīdzīga
menyamai	vienlīdzīgi
menyamai	līdzvērtīgs
menyamai	vienāda
menyamai	vienāds
sek	sek
mitchell	mitchell
nové	nove
fiji	fidži
lingga	linga
bercanggah	pretrunīgas
bercanggah	pretrunīga
bercanggah	pretrunīgi
perpuluhan	decimālo
carlo	carlo
erra	erra
silap	nepareizi
silap	nepareiza
silap	nepareizs
host	uzņēmēja
host	dators
opening	atvēršanās
opening	atvēršana
opening	atvēršanas
pengebumian	bēres
pengebumian	apbedīšanas
kerakyatan	pilsonību
kerakyatan	pilsonība
pascal	pascal
camar	kaija
kerak	garozas
diplomat	diplomāts
diplomat	diplomātiem
helen	helēna
sintesis	sintēze
sintesis	sintēzi
kandungannya	satura
kandungannya	saturs
motto	devīze
motto	moto
sewa	noma
sewa	īri
sewa	īre
sewa	īres
sewa	noma
gallen	gallen
fight	cīņu
fight	cīņa
fight	cīnīties
spa	spa
ash	pelni
ash	pelnu
ash	pelnus
diperbaharui	atjaunots
maksima	maksimālais
maksima	maksimums
maksima	maksimālā
maksima	maksimāli
maksima	maksimizēt
blade	asmeni
produce	ražot
produce	produkcija
terlindung	aizsargāta
terlindung	aizsargāti
terlindung	aizsargāts
terlindung	aizsargātas
spesimen	paraugs
spesimen	īpatņus
spesimen	īpatņu
spesimen	paraugi
spesimen	īpatņi
spesimen	īpatņiem
firman	fērmans
jajaran	saskaņošana
jajaran	saskaņošanu
jajaran	izlīdzināšana
uda	uda
came	atnācu
came	atnāca
amr	amr
senja	saulrieta
senja	saulriets
senja	krēslas
senja	krēsla
maharani	empress
gang	aleja
henri	henri
spr	spr
dihadkan	ierobežots
dihadkan	ierobežoti
dihadkan	ierobežotā
dihadkan	ierobežota
pati	būtība
pati	ciete
pati	cietes
pendaki	entuziasti
doctor	ārsts
rowling	roulinga
disempurnakan	pilnveidoja
memanjang	gareniski
memanjang	garenas
murung	nomākts
murung	moody
alicante	alikantes
xinjiang	siņdzjanas
kate	keita
kate	kate
kosovo	kosova
memorandum	memorands
memorandum	memorandu
julie	džūlija
caf	caf
shock	šoks
shakespeare	šekspīra
timeaxis	timeaxis
primer	primārās
primer	primāra
primer	primārie
primer	primārā
primer	primārais
shadow	ēnas
shadow	ēnu
shadow	ēna
fortune	bagātību
fortune	laimes
oda	oda
oda	alb
jaga	jaga
setapak	taka
setapak	liecības
mind	prātā
mind	prāta
mind	prātu
mind	prāts
rahang	žokļa
rahang	spīles
jujur	godīgi
jujur	godīgs
jujur	godīgi
titan	titan
kudus	svēto
kudus	svētais
hana	hana
reptilia	rāpuļu
reptilia	rāpuļi
salad	salāti
altitud	augstums
altitud	augstumā
momentum	impulss
momentum	impulsu
serat	šķiedra
serat	fiber
brother	brālim
brother	brālis
brother	brāli
aisyah	aisha
grace	greisa
haiti	haiti
haiti	haiti
malaria	malāriju
harrison	harisons
prasejarah	aizvēsture
prasejarah	aizvēsturiskiem
storm	vētra
storm	vētras
storm	vētru
storm	negaiss
skop	joma
care	kopšana
care	aprūpe
care	aprūpi
tolak	kritums
tolak	atņemt
tolak	atņem
tolak	noraidīt
tolak	noraida
reaktor	reaktorā
reaktor	reaktoru
reaktor	reaktora
monorel	viensliežu
pendaftar	reģistri
pendaftar	reģistrā
pendaftar	reģistrēties
pendaftar	reģistrs
pes	buboņu
pes	pes
teng	teng
teresa	terēze
maryland	maryland
pemantauan	pārraudzība
pemantauan	monitorings
pemantauan	uzraudzība
pemantauan	novērošana
wave	viļņu
wave	vilnis
wave	viļņa
muncung	purna
mengasingkan	izolēt
semut	skudra
semut	skudru
blu	blu
benang	pavedieni
benang	dzijas
pengairan	apūdeņošanas
yuri	jurijs
mississippi	misisipi
lif	pacelt
lif	lifts
lif	lifts
lif	liftu
monsun	musonu
dateformat	dateformat
koir	koris
bersurat	uzraksts
usd	usd
pendengaran	dzirde
tobago	tobāgo
perakaunan	grāmatvedība
perakaunan	uzskaite
perakaunan	grāmatvedību
perakaunan	grāmatvedības
mussolini	mussolini
skuasy	skvoša
premium	piemaksas
premium	piemaksa
premium	prēmija
flat	plakana
flat	vienotas
flat	plakanas
storan	uzglabāšana
storan	glabāšana
dar	dar
kuan	kuan
uganda	ugandas
terasa	jūt
terasa	jūtas
turn	kārta
kerang	čaulas
kerang	čaumalas
nippon	nippon
diskriminasi	diskriminācijas
diskriminasi	diskriminācija
liza	laiza
kartunis	karikatūrists
asti	asti
pluto	pluto
kings	karaļi
getaran	vibes
getaran	vibrācijas
getaran	vibrāciju
getaran	vibrācijas
getaran	vibrācija
renaissance	renesanses
kincir	vējdzirnavu
kincir	dzirnavas
joan	džoanna
miami	maiami
skema	shēmu
skema	shēma
skema	shēmas
skema	shēma
menyalahkan	vainīga
menyalahkan	vainot
menyalahkan	vainoja
ipad	ipad
hokkaidō	hokaido
pal	pal
reggio	redžo
perisytiharan	proklamēšanas
perisytiharan	pasludināšana
perisytiharan	deklarāciju
perisytiharan	deklarācija
persian	persiešu
persian	persijas
pengantar	ievešana
pengantar	ieviešanu
pengantar	ievads
benešov	benešova
darius	darius
split	dalījums
split	sadalīt
took	ieņēma
took	paņēma
took	ņēma
adsl	adsl
tata	tata
nevada	nevada
diaktifkan	aktivizēta
diaktifkan	aktivizēts
diaktifkan	aktivizējas
roosevelt	rūzvelts
kecantikan	skaistule
kecantikan	skaistums
perlakuan	ārstē
cakap	pateikt
cakap	saki
cakap	teikt
cakap	runā
cakap	izrunāt
cakap	runāt
patricia	patrīcija
efektif	efektīvi
efektif	efektīvā
efektif	efektīva
efektif	efektīvas
efektif	efektīvs
graduan	absolventu
graduan	absolvents
gif	gif
