освојувач	فاتح
ривали	رقیب
ривали	رقبای
советници	مشاوران
лажни	تقلبی
лажни	الکی
лажни	زرشک
лажни	جعل
лажни	جعلی
опозицијата	اپوزیسیون
опозицијата	مخالف
опозицијата	مخالفین
опозицијата	مخالفت
кук	کوک
кук	آشپز
кук	آشپزی
полк	هنگ
полк	پولک
лоара	لوآر
просторија	اتاق
просторија	اتاقی
просторија	اطاق
моделите	الگوها
соседи	همسایه
соседи	همسایگان
соседи	همسایه
соседи	همسایگان
струма	استروما
неделно	هفتگی
дамаск	دمشق
бруно	برونو
хал	هال
хал	هل
хал	hal
черепот	جمجمه
плажи	سواحل
таблички	بشقاب
делфин	دلفین
канцеларии	دفاتر
канцеларии	ادارات
инструкции	دستورالعمل
инструкции	دستورالعملها
инструкции	دستورالعمل
чувар	گاردین
чувар	نگهبانی
чувар	گارد
потешкотии	دشواری
потешкотии	دشواری
потешкотии	سختی
потешкотии	مشکلات
нотација	نشانگذاری
нотација	نماد
сончева	خورشیدی
судиите	داوران
судиите	قضات
судиите	حاکمان
судиите	refs
пречка	مانعی
пречка	مانع
поинаков	متفاوت
клинички	بالینی
именка	اسم
именка	موصوف
вообичаени	معمول
вообичаени	همیشگی
измислени	خیالی
измислени	موهومی
измислени	اختراع
измислени	خیالی
континентот	قاره
фан	بادبزن
фан	طرفدار
фан	پنکه
фан	فن
синовите	پسران
синовите	فرزندان
алесандро	الساندرو
алесандро	آلساندرو
еквивалент	معادل
придружува	همراهی
трчање	روان
трчање	دویدن
трчање	اجرا
роџерс	راجرز
духовен	معنوی
духовен	روحانی
бенџамин	بنجامین
бенџамин	بنیامین
лиги	فرسنگ
арт	art
арт	هنر
арт	آرت
минимална	کمترین
минимална	کمینه
минимална	کمترین
минимална	کمینه
минимална	مین
минимална	min
чаир	کایر
чистење	نظافت
самоил	ساموئل
елстер	الشتر
прованса	پروانس
купувачот	خریدار
монарх	مونارچ
омилен	محبوب
одразува	منعکس
одразува	تاثیری
пресврт	پیچش
хармонија	هارمونی
хармонија	هماهنگی
жил	جولز
жил	ژول
жил	ژیل
едгар	ادگار
минг	مینگ
грејс	فضل
грејс	گریس
постол	پلا
стрипови	کمیک
заслуга	اعتبار
заслуга	اعتباری
сајмон	سیمون
сајмон	سایمن
сајмон	سایمون
крие	سرّ
сантјаго	سانتیاگو
дијалог	محاوره
филипс	فیلیپس
картер	کارتر
елементот	عنصر
колумбо	کلمبوس
тигри	ببرهای
тигри	ببرها
самостоен	سولو
умрела	درگذشت
терористи	تروریستها
терористи	تروریست
парламентарни	پارلمانی
рој	روی
рој	ازدحام
снабдување	تامین
стебло	درخت
стебло	درختی
гази	غازی
гази	گزی
обвинети	متهمان
обвинети	شارژ
бот	ربات
бот	bot
војводите	دوکس
цска	زسکا
сакајќи	خواستن
сакајќи	طلب
затвори	close
затвори	بستن
затвори	نزدیک
затвори	بسته
вакуум	خلاء
вакуум	خلأ
вакуум	خلا
студентски	محصل
студентски	شاگرد
студентски	دانشجو
братучед	پسرعمو
земјоделско	کشاورزی
земјоделско	زراعتی
присуствуваат	حاضرین
спротивност	مخالف
орлеанс	اورلئان
миле	مایل
одел	اودل
фасо	فاسو
образовен	آموزنده
образовен	آموزشی
клас	رده
клас	ردۀ
клас	کلاس
клас	طبقاتی
клас	class
клас	کلاسی
сена	سنا
сена	سنا
сена	سن
полови	جنسیتی
полови	جنسیت
непријателот	دشمن
непријателот	دشمنی
повторување	تکرار
повторување	تکرار
вотсон	واتسون
научи	یادگیری
тропска	گرمسیری
серверот	سرور
серверот	کارساز
серверот	کارگزار
релативна	نسبی
томи	تامی
развивањето	توسعه
процедури	روشها
духовни	معنوی
духовни	روحانی
безбедно	ایمن
безбедно	امان
безбедно	امن
безбедно	سالم
намерата	قصدی
намерата	قصدم
намерата	قصد
намерата	قصدش
намерата	قصد
велосипеди	دوچرخه
уставна	مشروطه
ископувања	excavations
монастир	منستیر
олга	اولگا
стандардно	پیشفرض
стандардно	استاندارد
американец	آمریکایی
американец	امریکایی
американец	امریکن
американец	آمریکن
контраст	کنتراست
поен	نمره
поен	امتیاز
задачата	تکلیف
дијагноза	تشخیصش
дијагноза	تشخیص
данлоп	دانلوپ
лоренцо	لورنزو
тргување	تجارت
испратена	ارسالی
туркменистан	ترکمنستان
гледачите	بیننده
гледачите	بینندگان
гледачите	بازدیدکنندگان
бизмарк	بیسمارک
регулира	تدبیر
регулира	تدبیر
фатен	دستگیر
фатен	اسیر
голдман	گلدمن
пожарот	فروزان
хемичар	شیمیدان
хрватскиот	کروات
хрватскиот	کرواسی
горица	گریتسا
хелиум	هلیم
хелиум	هلیوم
транзиција	انتقال
транзиција	گذار
најмал	کوچکترین
несреќи	فجایع
несреќи	تصادفات
несреќи	حوادث
винчи	وینچی
верниците	وفادار
верниците	مؤمن
верниците	امین
верниците	باوفا
верниците	پرستندگان
верниците	نمازگزاران
царица	شهبانو
издавачки	نشر
издавачки	انتشار
духовна	معنوی
духовна	روحانی
балкан	بالکان
балкан	بالکان
тенки	لاغر
тенки	نازک
тенки	لاغری
топење	ذوب
странска	خارجه
странска	خارجی
глобална	سراسری
глобална	جهانی
глобална	گلوبال
другар	همنشین
другар	همدم
другар	همنشینی
другар	میت
другар	ماته
другар	رفیق
другар	بادی
непријателски	خصمانه
непријателски	خصومت
непријателски	دشمنی
спорови	مجادله
спорови	اختلافات
подароци	هدایایی
подароци	هدایا
подароци	هدایای
подароци	هدیه
подароци	هدایای
подароци	کادو
подароци	میزند
кривично	جنایتکار
кривично	مجرم
кривично	تبهکار
кривично	کیفری
трендови	گرایشها
комерцијална	الاهلی
комерцијална	تجاری
јоханес	یوهانس
билки	گیاهان
билки	گیاهان
консензус	اجماع
соломон	سلیمان
соломон	سولومون
тимор	تیمور
сликање	نقاشی
миграција	وطن
миграција	مهاجرت
откуп	فدا
откуп	باج
откуп	غرامت
откуп	خرند
освојувања	فتح
освојувања	فتوحات
металика	متالیکا
вулкански	آتشفشانی
вулкански	وولکان
ферер	فرر
пристаништа	بنادر
дебелината	چاقی
дик	دیک
олимпик	المپیک
камерун	کامرون
нелсон	نلسون
лозја	تاکستان
карев	کرو
кандидатите	کاندیداهای
камата	ربا
камата	علاقه
камата	بهره
ѓаволот	شیطان
поморска	دریانوردی
дипломатија	دیپلماسی
дипломатија	سیاست
пабло	پابلو
лесни	آسان
лесни	ساده
лесни	راحت
синатра	سیناترا
вебер	وبر
деривати	مشتقات
бранител	مدافع
инспирирани	الهام
ураниум	اورانیوم
приврзаниците	بندگان
потешки	سنگینتر
потешки	استوارتر
фебруари	فوریه
аматерски	آماتور
функционална	تابعی
ракети	موشکها
штити	محافظت
штити	محافظت
емерсон	امرسون
пустина	کویر
пустина	بیابان
пустина	بیابانی
пустина	صحرا
пустина	اعراب
хромозоми	کروموزوم
основачи	بنیانگذاران
основачи	مؤسسان
тесен	سفت
тесен	تنگه
тесен	باریکه
тесен	باریک
приватно	خلوت
приватно	شخصی
приватно	سرباز
приватно	private
приватно	خصوصی
интересен	جالب
интересен	جالبی
интересен	جالبه
рагби	راگبی
коен	کوهن
коен	کوئن
коен	کوهن
показател	شاخص
показател	دال
кадри	فریم
систематски	سیستماتیک
систематски	اصولی
цвеќиња	گل
цвеќиња	گلها
дефинитивно	قطعاً
дефинитивно	قطعا
размер	مقیاس
кратенка	میانبر
марин	مارین
појаси	کمربند
колинс	کالینز
старбакс	استارباکس
ајдахо	آیداهو
земјоделска	کشاورزی
земјоделска	زراعتی
земјоделска	کشاورزی
земјоделска	زراعت
централа	گیاهی
централа	نیروگاه
централа	پلنت
централа	گیاه
централа	مرکزی
централа	سنترال
централа	مرکز
советување	مشاوره
трага	دنباله
трага	ردیابی
трага	تقدم
трага	سرب
трага	لید
дрес	یونیفرم
дрес	یونیفورم
сериски	متوالی
сериски	سریالی
сериски	سریالهای
албанска	آلبانیایی
зло	شر
зло	شرور
зло	شرارت
зло	بد
зло	تازیانه
микроскоп	میکروسکوپ
оператори	تکمیلی
ракописот	خطی
датуми	تاریخهای
исчезнат	گمشده
сенегал	سنگال
пинк	پینک
пинк	صورتی
приоритет	اولویت
науру	نائورو
заклетва	قسم
заклетва	سوگند
хирургија	جراحی
бонд	باند
бонд	پیوند
ретка	نادره
ретка	کمیاب
ретка	نادر
ретка	نادری
засолниште	پناهگاه
засолниште	پناه
засолниште	پناهگاه
засолниште	محراب
засолниште	حرم
засолниште	پناه
засолниште	پناهی
арамејски	آرامی
алфонсо	آلفونسو
преведување	ترجمه
преведување	ترجمه
преведување	ترجمه
уво	خوشه
тесалија	تسالی
седи	سادی
седи	سدی
седи	بنشینم
седи	نشستن
седи	نشسته
флеминг	فلمینگ
флеминг	فلمینگ
изложување	افشا
калциум	کلسیم
тонови	شدتی
римјани	رومیها
фреска	فرسکو
проценки	برآورد
марина	مارینا
интелектуална	روشنفکری
интелектуална	عقلانی
интелектуална	روشنفکر
интелектуална	فکری
катастрофа	مصیبت
катастрофа	فاجعه
катастрофа	مصیبتی
катастрофа	حادثه
овозможувајќи	فعالسازی
наведените	فراز
тед	تد
индустрии	صنایع
пери	پری
убави	زیباست
убави	زیبا
убави	خوشگل
убави	قشنگ
терористите	تروریستها
терористите	تروریست
заработка	سودش
заработка	منفعت
заработка	سودی
заработка	سود
заработка	درآمد
хем	هام
хем	ژامبون
хем	ham
хем	حام
пиј	نوشیدن
пиј	بنوش
пиј	بنوشید
версај	ورسای
оценување	ارزیابی
оценување	ارزیابی
сузан	سوسن
сузан	سوزان
сели	سالی
монетарен	پولی
мед	هانی
мед	عسلی
мед	عزیزم
мед	عسل
јунак	قهرمان
јунак	پهلوان
мексикански	مکزیک
мексикански	مکزیکی
изненадување	غافلگیری
изненадување	surprise
изненадување	سورپرایز
изненадување	سوپرایز
дизајни	طراحیهای
дизајни	طرحهای
миранда	میراندا
патка	داک
патка	اردک
патка	مرغابی
ема	اِما
застапеност	نمایندگی
хомер	هامر
маја	مایا
маја	maja
стипендија	تحقیقی
стипендија	بورسیه
маски	ماسک
седми	هفتمین
седми	هفتم
формална	صوری
формална	رسمی
часовници	ساعتها
часовници	ساعتهای
часовници	ساعتها
часовници	ساعتهای
тркала	چرخ
бохемија	بوهم
оптика	اپتیک
магнетни	مغناطیسی
кантон	کانتون
раководење	مدیریت
случајна	تصادفی
апсолутно	مطلقا
студена	سرما
студена	سرد
студена	سرماخوردگی
забранета	ممنوعه
забранета	ممنوع
забранета	حرام
забранета	نهی
забранета	ممنوع
забранета	حرام
забранета	ممنوع
афро	افرو
доброволци	داوطلبان
доброволци	داوطلب
погубен	اعدام
терминологија	عبارات
терминологија	اصطلاحات
нуклеарно	هسته
данте	دانته
управител	حاکم
управител	فرماندار
едвардс	ادواردز
братислава	براتیسلاوا
кристоф	کریستوف
кристоф	کریستف
кристоф	کریستوف
практични	عملی
глазгов	گلاسکو
истакнато	مشخص
референци	مراجع
зоја	زویا
отпорност	استقامت
отпорност	مقاومت
отпорност	مقاومتی
отпорност	مخالفان
отпорност	ارتجاع
мајорка	مایورکا
мајорка	مایورکا
хејс	هیز
хејс	هیز
невработеноста	بیکاری
илустрација	تصویرسازی
аферата	امور
тесни	باریکه
тесни	باریک
вртење	چرخیدن
вртење	چرخان
вртење	اسپین
вртење	چرخیدن
вртење	چرخش
вртење	دوار
карактери	نویسه
прстите	انگشتان
прстите	انگشت
царства	سرزمینها
моќна	توانا
моќна	نیرومند
моќна	پرقدرت
моќна	قدرتمند
моќна	تواناست
белешка	یادداشت
белешка	نکته
белешка	نوت
ниче	نیچه
неуспешни	ناموفق
ганди	گاندی
литературна	ادبی
долар	دلار
долар	دالر
тувалу	تووالو
седница	جلسه
седница	نشست
задачите	تکالیف
подножје	زیرنویس
полицајци	ماموران
полицајци	افسران
земање	گرفتن
водеше	led
водеше	رفاقت
комунист	کمونیست
комунист	کمونیستی
грубо	ناهموار
грубо	خروشان
анкара	آنکارا
мареј	مورای
мареј	موری
кривични	جنایتکار
кривични	مجرم
кривични	تبهکار
кривични	کیفری
хелен	هلن
скендербег	اسکندربیگ
електро	الکترو
повелба	منشور
повелба	چارتر
крум	کرام
добивањето	دریافت
генетика	ژنتیک
достигнувајќи	رسا
точната	دقیق
претходен	پیشین
претходен	قبلی
анимиран	پویانمایی
анимиран	کارتونی
анимиран	انیمیشن
инчи	اینچ
сајтови	یونسکو
сребрена	نقره
сребрена	سیمین
сребрена	سیلور
таџикистан	تاجیکستان
социјалистички	سوسیالیستی
социјалистички	سوسیالیست
рамо	شونه
рамо	شانه
рекламирање	تبلیغات
рекламирање	تبلیغاتی
рекламирање	آگهی
алјаска	آلاسکا
жлезда	غده
скорпија	scorpio
скорпија	عقرب
бактериите	باکتریهای
бактериите	باکتری
бактериите	باکتریها
цвет	گل
цвет	شکوفه
цвет	فلاور
селтик	سلتیک
семјуел	ساموئل
демонстрации	تظاهرات
демонстрации	تظاهرات
демонстрации	نمایشی
ахил	آشیل
монаси	راهبان
несогласувања	اختلافات
факто	facto
штетни	مضر
ладење	سرمایش
остар	شارپ
остар	تیزی
остар	هشیار
остар	تیز
федерални	فدرال
руралните	روستایی
погребот	ختم
погребот	خاکسپاری
пронајдоци	اختراعات
натприродни	سوپرنچرال
моли	مولی
моли	مالی
покрив	سقف
покрив	بام
чудо	معجزه
отсуството	غیبت
отсуството	غیاب
рајт	رایت
матка	رحم
матка	رحمه
матка	رحم
хрвати	کرووات
бунтовниците	شورشی
бунтовниците	یاغی
топологија	توپولوژی
сличност	تشبیه
сличност	شباهتی
сличност	تشابه
сличност	شباهت
сличност	شباهت
сличност	تشابه
сличност	شباهت
влажни	خفقان
влажни	مرطوب
влажни	خیس
прецизност	دقت
прецизност	دقتی
прецизност	دقت
лама	لاما
автобиографија	خودزندگینامه
автобиографија	زندگینامه
муслиманско	مسلمان
муслиманско	مسلم
муслиманско	مسلمانان
лувр	لوور
шведскиот	سوئدی
страст	اشتیاق
страст	مصائب
страст	شهوت
страст	دلم
словачки	اسلواکی
срцева	قلبی
споредено	مقایسه
величини	سایز
величини	اندازه
муниција	مهمات
зраците	اشعه
функционални	تابعی
конфигурација	پیکربندی
дует	دونفری
првичните	آغازی
првичните	آغازین
територијални	ارضی
бремена	آبستن
бремена	بارداری
бремена	حامله
бремена	باردار
тирана	تیرانا
сериозен	جدی
точките	نقطه
испит	امتحان
испит	معاینه
испит	آزمون
хорор	ترسناک
хорор	وحشت
зрелост	بلوغ
тенка	لاغر
тенка	نازک
тенка	لاغری
древни	کهن
древни	باستانی
древни	باستان
хемијата	chemistry
хемијата	شیمی
романтична	رمانتیکی
романтична	رومانتیک
романтична	رمانتیک
романтична	عاشقانه
лео	لئو
лео	leo
мулти	چند
мирно	ثابت
мирно	یکنواخت
мирно	آرام
цивили	میگرد
желби	آرزوها
желби	میخواهد
желби	دلخواه
желби	خواهان
желби	طالب
утврден	تمکین
мат	مات
мат	مَت
мат	مات
мат	پادری
мат	تشک
мат	mat
алтернативна	متناوب
насилно	خشن
насилно	خشونت
свињи	خوک
анимирани	پویانمایی
анимирани	کارتونی
анимирани	انیمیشن
корелација	همبستگی
формација	تشکیل
опус	اپوس
ловец	هانتر
ловец	شکارچی
славни	مشاهیر
бауцен	بواتزن
потсдам	پوتسدام
длабок	اعماق
длабок	ژرف
длабок	عمیق
покривот	سقف
покривот	بام
интересна	جالب
интересна	جالبی
интересна	جالبه
сочувани	محفوظ
виолина	ویولون
виолина	ویلن
виолина	ویولن
пресуда	محکومیت
пресуда	راسخ
пресуда	حکم
пресуда	جمله
пресуда	حکمرانی
пресуда	قضاوت
пресуда	حکم
пресуда	قضاوتی
пресуда	داوری
даб	dub
даб	اوک
даб	بلوط
мајер	مایر
мајер	مایر
мајер	میر
чума	طاعون
вокер	واکر
вокер	والکر
регистар	ثبات
проширен	گسترده
готфрид	گوتفرید
универзална	جهانی
универзална	یونیورسال
фраза	عبارت
обезбедени	روزی
делегат	واگذاری
делегат	نماینده
фото	فتو
фото	photo
фото	عکس
грим	عبوس
грим	دلگیر
емилија	امیلیا
машко	مذکر
машко	نر
перси	پرسی
противниците	مخالفان
трон	ترون
никарагва	نیکاراگوئه
ликвидност	نقدینگی
законодавство	قانونگذاری
гота	گوتا
руанда	رواندا
благодарност	سپاسگزاری
благодарност	قدردانی
благодарност	سپاس
благодарност	قدرشناسی
благодарност	تشکر
благодарност	قدردانی
благодарност	پاس
гласини	شایعات
гласини	شایعاتی
гласини	شایعه
гласини	شایع
терени	ناهمواری
терени	عوارض
даноците	مالیات
даноците	مالیاتی
мапа	نگاشت
мапа	نقشه
масакр	کشتار
санто	سانتو
голи	عریان
голи	لختی
голи	برهنه
голи	لخت
голи	عریان
голи	bare
голи	برهنه
васко	واسکو
поединец	شخصی
поединец	فرد
формални	صوری
формални	رسمی
бизнисмен	کارآفرین
бизнисмен	کاسب
старт	شروع
старт	آغاز
плутон	پلوتو
персијците	ایرانیان
персијците	ایرانیها
духовно	معنوی
духовно	روحانی
плочки	کاشی
оро	اورو
укинување	الغاء
укинување	برانداختن
маите	مایان
творец	آفریدگار
творец	سازنده
творец	آفریننده
творец	خالق
дука	دوکاس
реге	رگی
фотограф	photographer
фотограф	عکاس
асен	آسن
сомалија	سومالی
примарен	ابتدایی
примарен	اصلی
примарен	اولیه
покривање	پوشش
алгоритам	الگوریتم
вдовица	بیوه
иселеници	expatriates
преведува	ترجمه
преведува	ترجمه
ефективно	مؤثر
ефективно	موثر
навики	عادات
слободи	آزادیهای
контроверзии	مجادله
контроверзии	جدال
контроверзии	جنجال
филипини	فیلیپین
тренери	coaches
месје	مسیه
напредни	پیشرفته
фергусон	فرگوسن
партиски	مهمانی
партиски	پارتی
партиски	مهمونی
партиски	حزب
партиски	جشن
партиски	پارتیزان
новак	نواک
јудаизмот	یهودیت
магдебург	ماگدبورگ
потпишување	امضا
потпишување	امضای
галаксијата	کهکشان
галаксијата	گلکسی
дива	وحشی
дива	وایلد
дива	دیوا
реклама	الاهلی
реклама	تجاری
маркус	مارکوس
пензиски	بازنشستگی
логор	اردوگاه
логор	اردو
логор	کمپ
фрајбург	فرایبورگ
еднорог	تکشاخ
ерменски	ارمنیان
ерменски	ارمنی
риболов	ماهیگیری
лестер	لستر
раствор	چاره
раствор	محلول
андреас	آندریاس
андреас	آندریس
примаат	دریافت
разгледување	مرور
разгледување	گردشگری
разгледување	گردش
разгледување	سیاحت
ментално	ذهنی
прифаќањето	پذیرفتن
прифаќањето	پذیرش
атлас	اطلس
кандидатот	کاندید
кандидатот	نامزد
кандидатот	کاندیدای
мадона	مدونا
летаат	پرواز
роналд	رونالد
шерлок	شرلوک
кувајт	کویت
грег	گرگ
вујко	عمو
вујко	عموی
вујко	دایی
затворање	خاتمه
затворање	بستن
отпуштен	اخراج
отпуштен	مرخص
дерби	دربی
дерби	داربی
болтон	بولتون
глаголски	گرامری
мешаат	اختلاط
мешаат	مخلوط
мешаат	میکس
пелопонез	پلوپونز
синан	سنان
мирен	آرام
мирен	آرام
баталјон	گردان
рик	ریک
индијанец	سرخپوست
индијанец	هندی
ридовите	هیلز
одземање	تفریق
одземање	تشنج
карневал	کارناوال
танцување	رقص
танцување	رقصیدن
пан	پان
пан	پن
интелектуалци	روشنفکران
литри	گالون
литри	گالن
литри	لیتر
литри	گالون
мислата	تفکر
кемпбел	کمپل
кемпбел	کمپبل
кемпбел	کمبل
кемпбел	کیمبل
толеранција	بردباری
толеранција	تحمل
толеранција	مدارا
настапила	بزرگوار
ромео	رومئو
терор	ترور
терор	دلهره
терор	هراس
фински	فنلاندی
фински	فنلاند
статуи	مجسمه
делење	اشتراک
златно	زرین
златно	طلایی
златно	گلدن
златно	طلائی
посветеност	اهدا
посветеност	اهداء
посветеност	فداکاری
посветеност	تعهد
посветеност	التزام
посветеност	صمیمیت
дневна	روز
истакне	مشخص
далај	دالایی
летање	پروازی
летање	پرواز
соборен	معزول
влажност	رطوبت
бенедикт	بندیکت
загадување	آلودگی
загадување	ناپاکی
загадување	آلودگی
хрватите	کرووات
хајделберг	هایدلبرگ
харис	هریس
христијанин	کریستین
христијанин	کریستیان
христијанин	مسیحی
христијанин	کریستن
торп	تورپ
интензивно	شدید
цврст	توپر
цврст	یکدست
цврст	جامد
цврст	عالیست
предавство	غدر
предавство	خیانت
предавство	خیانت
тероризам	تروریسم
анкета	نظرسنجی
анкета	سروی
анкета	نظرسنجی
кристал	بلور
кристал	کریستال
кристал	آبگینه
кристал	بلوری
џејми	جمی
јарец	کاپریکورن
убиваат	بکش
убиваат	بکشی
убиваат	بکشم
убиваат	کشتن
благосостојба	رفاه
благосостојба	فواید
благосостојба	رفاه
показатели	شاخصهای
подвижни	قابل
координатен	مختصات
такси	تاکسی
такси	تاکسی
неутрална	بیطرف
неутрална	خنثی
родос	رودز
советите	شوروی
советите	شوراها
критична	بحرانی
критична	انتقادی
критична	حیاتی
палати	قصرها
пенал	مجازات
пенал	پنالتی
домашно	اهلی
домашно	تکلیف
домашно	وطنی
домашно	خانگی
континуитет	پیوستگی
кантакузин	کانتاکوزنوس
инспирирана	الهام
роналдо	رونالدو
скај	اسکای
олтар	محراب
олтар	قربانگاه
тенок	لاغر
тенок	نازک
тенок	لاغری
третмани	درمانهای
ајкула	کوسه
андреја	آندریا
андреја	آندرا
монах	راهب
напредува	ابتلای
прекинат	شوده
мешана	مخلوط
мешана	مختلط
предна	جبهه
предна	جلو
рамни	مسطح
рамни	فلت
фиба	فیبا
ложа	استراحتگاه
ложа	محفل
автономен	خودگردان
автономен	خودمختار
тенеси	تنسی
бест	بهترین
бест	بهتر
бест	best
пророк	پیغمبر
пророк	پیامبر
пророк	پیغمبری
воздухопловство	هوانوردی
воздухопловство	هواپیمایی
прашува	پرسیدن
прашува	پرسه
олово	تقدم
олово	سرب
олово	لید
допинг	دوپینگ
допинг	آلایش
горива	سوختهای
манифест	بیانیه
хондурас	هندوراس
месечно	ماهانه
месечно	ماهنامه
месечно	ماهیانه
месечно	ماه
вооружена	مسلح
вооружена	مجهز
регулирање	تدبیر
погодна	مناسب
погодна	مناسبه
странци	غریبه
дубаи	دبی
дубаи	dubai
дубаи	دوبی
редок	نادره
редок	کمیاب
редок	نادر
редок	نادری
виновен	مجرم
виновен	گناهکار
виновен	گناه
сиви	خاکستری
сиви	گری
сиви	خاکستری
мин	مین
мин	min
направа	دستگاهی
направа	دستگاهها
направа	وسیله
направа	دستگاه
направа	گجت
катастрофи	فجایع
катастрофи	حوادث
катастрофи	مصیبت
катастрофи	فاجعه
катастрофи	مصیبتی
катастрофи	حادثه
атол	آتول
суверенитет	حاکمیت
извонредно	برجسته
далмација	دالماسی
тулуз	تولوز
вернер	ورنر
младина	جوانی
младина	جوانان
антарктикот	جنوبگان
антарктикот	جنوبگان
саем	فر
саем	عادلانه
саем	منصفانه
саем	انصاف
саем	منصف
трилер	تریلر
глина	کلی
глина	گلی
семе	بذر
семе	دانه
семе	نسل
администраторите	admins
исклучен	منفصل
исклучен	آفلاین
исклучен	خاموش
исклучен	مستثنی
доброволно	داوطلبانه
доброволно	داوطلبانه
доброволно	اختیاری
вредни	پرتلاش
вредни	ارزشمند
тринаесет	سیزده
тринаесет	thirteen
австрискиот	اتریش
австрискиот	اتریشی
преселба	جابجایی
преселба	حرکت
танци	رقصهای
ризница	دفینه
отварање	افتتاحیه
отварање	افتتاح
религиозен	مذهبی
религиозен	دینی
сампдорија	سمپدوریا
вриење	جوش
напаѓачот	استرایکر
напаѓачот	مهاجم
индиска	سرخپوست
индиска	هندی
принсипе	پرنسیپ
ќелии	سلولهای
ќелии	سلول
ќелии	سلولها
хоризонтални	افقی
најмалиот	کوچکترین
пронаоѓач	یابنده
соништата	رؤیاها
соништата	پریشان
соништата	رویاها
соништата	رویاهای
вестминстер	وستمینستر
статутот	اساسنامه
маргарита	مارگاریتا
апликацијата	کاربردی
апликацијата	کاربرد
апликацијата	اپ
апликацијата	برنامه
увид	اندیشیدن
увид	بصیرت
нож	چاقوی
нож	چاقو
нож	کارد
нож	چاقویی
стабилни	پایدار
измислил	اختراع
примирје	آشتی
спонзор	اسپانسر
спонзор	مولای
спонзор	حامی
мисури	میزوری
герлиц	گرلیتز
грант	گرنت
грант	گرانت
грант	اعطای
словенскиот	اسلاوی
замоци	قصری
вештачка	مصنوعی
антили	آنتیل
мозаик	موزاییک
мозаик	موزائیک
поминати	صرف
тоскана	توسکانی
совршено	عالی
совршено	perfect
совршено	پرفکت
пензија	بازنشستگی
пензија	بازنشستگی
платен	پرداخت
недостасува	گمشده
декада	دهه
декада	میلادی
скапоцени	گرانبها
мурињо	مورینیو
дерек	درک
назначени	معین
членството	عضویت
бонус	پاداش
бонус	جایزه
стрелци	تیراندازها
спротивен	مخالف
носење	پوشیدن
носење	حمل
носење	حامل
носење	حمل
клеопатра	کلئوپاترا
домаќинство	خانوار
ќелија	سلول
ќелија	یاخته
изложена	عرضه
невада	نوادا
алтенбург	آلتنبورگ
алехандро	آلخاندرو
дипломи	درجه
дипломи	دیپلم
фени	فنی
фени	فانی
сесија	جلسه
сесија	نشست
зголемено	برخاسته
зголемено	افزایش
зголемено	افزود
мозамбик	موزامبیک
ерфурт	ارفورت
коли	ماشینها
доктрина	تعالیم
доктрина	دکترین
џингис	چنگیز
густа	متراکم
бредли	بردلی
сопственоста	مالکیت
потомок	زادگان
потомок	نواده
останаа	ماند
останаа	درنگ
останаа	ماند
растење	رشد
компликации	پیچیدگی
компликации	عوارض
марш	مارش
марш	مرداب
марш	مارس
марш	پیشروی
марш	راهپیمایی
одозгора	فراز
шпанско	اسپانیا
шпанско	اسپانیایی
гори	سوخت
гори	سوختگی
гори	سوختن
гори	سوزاندن
гори	سوزاندن
гори	سوختن
регионално	منطقهای
