口服	வாய்வழி
體力	பலம்
體力	வலிமை
平均值	சராசரி
興奮	உற்சாகம்
興奮	உற்சாகமாக
神龍	டிராகன்
希臘文	கிரீக்
希臘文	கிரேக்க
投注	பந்தயங்கள்
投注	பந்தயம்
鯊魚	சுறாக்கள்
鯊魚	சுறா
大腦	மூளை
大腦	மூளை
孤獨	தனிமையை
孤獨	தனிமை
孤獨	தனிமையாக
孤獨	தனிமையில்
孤獨	தனிமை
單字	வார்த்தை
單字	சொல்
單字	வார்த்தையே
套房	சூட்ஸ்
老兵	படைவீரர்
更低	கீழ்
更低	கீழ்நிலை
心態	மனப்போக்கை
天秤座	துலாம்
過濾	அலங்காரம்
過濾	வடிகட்டி
過濾	வடிகட்டு
過濾	சரம்
過濾	வடிகட்டிகள்
過濾	அலங்காரங்கள்
黃道	கிரகணம்
黃道	ராசி
駕駛艙	cockpit
甘地	காந்தி
救護	ஆம்புலன்ஸ்
蒸氣	நீராவி
提問	கேள்விக்கும்
提問	கேள்வி
提問	கேள்விக்குப்
提問	கேள்விக்கு
提問	கேள்வியில்
袋鼠	கங்காரு
弱勢	பாதிக்கப்படக்கூடிய
開羅	கெய்ரோ
不適	அசௌகரியம்
水力	ஹைட்ரோ
向日葵	சூரியகாந்தி
轉讓	பரிமாற்றம்
轉讓	இடமாற்றம்
反對黨	எதிர்ப்பு
冒犯	தாக்குதல்
肉體	சதை
動力學	இயக்கவியல்
緯度	அட்சரேகை
緯度	லாட்
靈活	நெகிழ்வான
靈活	flexibility
靈活	வளம்
薩姆	சாம்
凍結	உறைந்த
凍結	உறைகிறது
凍結	உறைந்து
副本	நகல்
副本	பிரதிகள்
粥	கஞ்சி
粥	பாயசம்
橫向	கிடைமட்ட
橫向	lateral
水壩	அணை
水壩	dams
水壩	அணைகள்
雄心	லட்சிய
雄心	இலட்சியம்
幼蟲	லார்வா
幼蟲	குடம்பி
癱瘓	முடங்கி
航運	ஷிப்பிங்
開關	மாற்று
開關	மாறு
邦聯	confederacy
邦聯	கூட்டமைப்பு
填寫	நிரப்பு
填寫	நிரப்ப
陸戰隊	கடற்படையினர்
農林	agroforestry
錄取	சேர்க்கை
肯亞	கென்யா
扔	தூக்கி
硫化	சல்பைடு
母音	உயிர்
巧合	தற்செயல்
代謝	வளர்சிதை
大聲	சத்தம்
大聲	சத்தமாக
大聲	உரத்த
堪薩斯	கன்சாஸ்
進食	உணவளித்தல்
進食	உண்ணுதல்
進食	உண்பது
上線	ஆன்லைனில்
上線	இணைப்பில்
上線	ஆன்லைன்
老年人	வயதான
水災	வெள்ளம்
水災	வெள்ளம்
水災	வெள்ளப்பெருக்கு
水災	வெள்ளம்
貂	மிங்க்
遙控	ரிமோட்
遙控	தொலை
遙控	தொலைநிலை
遙控	புற
石榴	மாதுளை
多餘	கூடுதலாக
多餘	கூடுதல்
多餘	அதிகப்படியான
受害人	பாதிக்கப்பட்டவர்கள்
受害人	பாதிக்கப்பட்டவர்
受害人	பாதிக்கப்பட்ட
美學	அழகியல்
堅強	வலிமையானது
堅強	வலுவானது
堅強	வலுவான
堅強	வலிமை
政客	அரசியல்வாதிகளின்
政客	அரசியல்வாதிகளும்
政客	அரசியல்வாதிகள்
政客	அரசியல்வாதி
季刊	காலாண்டு
電阻	எதிர்ப்பு
震動	அதிர்வு
病理	நோயியல்
煞車	பிரேக்
平房	பங்களா
平房	பங்களாவில்
薪水	சம்பளம்
釀酒	காய்ச்சும்
薪資	சம்பளம்
埋伏	கொண்டிருக்கின்றது
大方	தாராள
大方	தாராளமான
元老院	செனட்
天真	அப்பாவி
美化	தொக்கி
配方	சூத்திரம்
許可證	உரிமம்
許可證	லைசென்ஸ்
許可證	உரிமங்கள்
巴塞隆納	பார்சிலோனா
極少	அரிதாக
流體	திரவம்
流體	திரவங்களை
強硬	கடுமையான
強硬	கஷ்டமான
強硬	கடினமான
素質	தரமான
素質	தர
素質	தரம்
素質	குணங்களை
伯父	சித்தப்பா
伯父	மாமா
伯父	மாமன்
突變	mutation
塞內加爾	செனகல்
椅子	நாற்காலிகள்
椅子	நாற்காலி
琥珀	அம்பர்
慾望	ஆசையை
慾望	ஆசை
慾望	இவ்வுலகின்
插座	துளை
插座	துளைகள்
聖徒	புனிதர்கள்
愛好	பொழுதுபோக்கு
愛好	பொழுதுபோக்குகள்
肥胖	பருமன்
象牙	ஐவரி
墜落	விழுவது
菊花	டெய்சி
氙	செனான்
駭客	ஹேக்கர்
漂	மிதவை
漂	நடமாடும்
漂	மிதக்கும்
病房	வார்ட்
病房	வார்டு
突尼西亞	துனீசியா
劇作家	நாடகாசிரியர்
熊貓	பாண்டா
族裔	இனக்குழு
族裔	இனம்
族裔	இன
正直	சீர்மை
寫信	எழுத
寫信	எழுது
寫信	எழுதவும்
彈珠	பளிங்கு
乙烯	வினைல்
鈉	சோடியம்
硒	செலினியம்
傷心	சோகம்
傷心	வருத்தமளிக்கிறது
衣物	ஆடைகள்
衣物	ஆடை
衣物	ஆடைகள்
衣物	உடைகள்
衣物	துணிகளை
衣物	உடைகளை
衣物	ஆடைகளை
甘露	மன்னா
今夜	இன்றி
今夜	இன்றிரவு
敦促	ஸ்தலங்கள்
固態	பரு
固態	திடமான
固態	திடம்
固態	சாலிட்
染料	சாயம்
避難	அடைக்கலம்
避難	புகலிடம்
從來沒有	ஒருபோதும்
鴉片	அபினிப்
延誤	தாமதம்
延誤	தாமதங்கள்
延誤	தாமதம்
延誤	தாமதமானது
螺旋槳	propellers
獲利	லாபம்
獲利	இலாபம்
領事	consular
圍城	முற்றுகை
愛滋病	எய்ட்ஸ்
托管	தொகுத்து
托管	நடத்துகிறார்
國度	ஆட்சி
國度	கிங்டம்
無窮	எல்லையற்ற
無窮	முடிவில்லாத
無窮	infinity
新生代	cenozoic
藻類	பாசி
打字	தட்டச்சு
巫師	வழிகாட்டி
巫師	சூனியக்காரர்கள்
玩偶	பொம்மைகள்
玩偶	பொம்மையை
玩偶	பொம்மை
寫入	எழுத
寫入	எழுது
寫入	எழுதவும்
寫入	எழுதுகிறது
寫入	எழுத்து
寫入	எழுதுதல்
有色	நிறமுள்ள
鈔	banknotes
貧困	வறுமை
貧困	ஏழ்மை
粉末	பொடி
粉末	பவுடர்
親密	நெருக்கமான
義工	தன்னார்வ
矩形	நீள்சதுரம்
矩形	நீள்சதுர
貪	பேராசை
貪	பேராசை
野蠻	காட்டுமிராண்டி
野蠻	கொடூரமான
脆	மிருதுவான
毆打	தாக்குதல்
毆打	துடிக்கும்
暴徒	மாப்
暴徒	குண்டர்கள்
壁畫	fresco
傳言	வதந்தி
職能	செயல்பாடு
職能	செயல்
爵士樂	ஜேஸ்
爵士樂	ஜாஸ்
女童	பெண்களின்
女童	பெண்கள்
女童	பெண்களுக்கு
暴行	அட்டூழியம்
暴行	கொடுமைகள்
暴行	அட்டூழியங்கள்
蘑菇	காளான்கள்
蘑菇	காளான்
泣	சோகத்தை
氧氣	ஆக்சிஜன்
氧氣	பிராணவாயு
氧氣	ஆக்ஸிஜன்
傑克遜	ஜாக்சன்
獲釋	வெளியிடப்பட்டது
石墨	graphite
頰	கன்னங்கள்
橫掃	பெருக்கிக்
梵蒂岡	வத்திக்கான்
寮國	லாவோ
寮國	லாவோஸ்
騷亂	கலவரங்கள்
騷亂	கலவரம்
騷亂	கலகம்
騷亂	கலவரம்
弱點	பலவீனம்
弱點	பலவீனங்கள்
增益	ஆதாயம்
增益	பெருக்கம்
增益	பெருக்க
亞當斯	ஆடம்ஸ்
匙	கரண்டி
可樂	கோக்
摺疊	மடி
蝸牛	நத்தைகள்
蝸牛	நத்தை
鷺	ஹெரான்
奮鬥	போராட்டம்
蜂蜜	தேன்
油畫	ஓவியத்தை
油畫	ஓவியம்
油畫	ஓவியங்கள்
受益	நன்மை
受益	பலனும்
受益	பலன்
受益	பயன்
俯衝	டைவ்
活著	உயிருடன்
活著	உயிரோடு
遺留	மரபை
遺留	மரபு
烹飪	சமையல்
檸檬	எலுமிச்சை
摩登	நவீன
裝修	சீரமைப்பு
旅途	பயணத்தில்
旅途	பயணத்தை
旅途	பயணம்
救濟	நிவாரணம்
配給	ரேஷன்
叛徒	துரோகி
群組	குழுவை
群組	குழுவைப்
群組	குழு
群組	குழுக்கள்
跟蹤	கண்காணிப்பு
跟蹤	தடமறிதல்
天國	சொர்க்கம்
梵語	சமஸ்கிருதம்
梵語	சமஸ்கிருதத்தில்
梵語	சமஸ்கிருத
喝酒	குடிக்க
喝酒	குடி
喝酒	பானம்
多樣性	வேற்றுமை
警探	துப்பறியும்
警探	உளவாளி
曲率	வளைவு
草稿	வரைவு
草稿	வரைவுகள்
量度	அளக்க
按摩	மசாஜ்
寶馬	bmw
獵戶座	ஓரியன்
林地	woodlands
寓言	உவமை
寓言	ஊதாரி
竿	கம்பம்
變異	mutation
欄位	புலம்
欄位	வயல்
欄位	புலங்கள்
領事館	consulate
曆法	நாள்காட்டி
曆法	நாட்காட்டி
忽視	மறுத்தல்
為甚麼	ஏன்
為甚麼	எதற்கு
為甚麼	எதற்காக
煽動	போராட்டம்
煽動	குழப்பத்தை
應變	திரிபு
顆粒	துணுக்குகள்
顆粒	துகள்
效用	உபயோகம்
清單	பட்டியல்
保養	பராமரிப்பு
奶油	வெண்ணை
奶油	பட்டர்
奶油	வெண்ணெய்
奶油	கிரீம்
填補	நிரப்புதல்
填補	நிரப்பும்
填補	நிரப்பு
填補	நிரப்ப
木偶	கைப்பாவைகள்
木偶	கைப்பாவை
每當	போதெல்லாம்
每當	பொழுதெல்லாம்
丁香	கிராம்பு
甄選	தேர்வு
甄選	தேர்வுகள்
困惑	குழப்பம்
困惑	குழப்பமாக
困惑	குழப்பத்தில்
困惑	குழப்பம்
困惑	குழப்பமான
聖地亞哥	சான்டியாகோ
營地	முகாமில்
營地	முகாம்
營地	முகாம்கள்
壓倒性	overriding
大綱	outlines
中繼	ரிலே
透鏡	லென்ஸ்
樂天	லோட்டி
舅舅	சித்தப்பா
舅舅	மாமா
舅舅	மாமன்
融化	உருகிய
融化	உருக்கி
嫉妒	பொறாமை
嫉妒	பொறாமை
邂逅	சந்திப்பை
放大器	amp
放大器	பெருக்கி
離心	மையவிலக்கு
現況	நிலையை
現況	நிலையைப்
鬍子	மீசை
鬍子	தாடி
貝多芬	பீத்தோவன்
強姦	கற்பழிப்பு
棕櫚	உள்ளங்கை
棕櫚	பாம்
棕櫚	பனை
流星雨	meteor
秘書處	செயலகம்
點心	சிற்றுண்டி
梯度	சாய்வு
勒索	கப்பம்
勒索	மிரட்டல்
和睦	நல்லிணக்கம்
突顯	சிறப்புகள்
突顯	சிறப்பம்சங்கள்
浴室	குளியலறை
浴室	கழிப்பறைகள்
僱員	பணியாளர்
僱員	பணியாளர்களின்
僱員	ஊழியர்களும்
僱員	பணியாளர்கள்
牛角	கொம்புகள்
牛角	கொம்பு
抹黑	smear
鎂	மக்னீசியம்
鎂	மெக்னீசியம்
鎂	கால்சியம்
敏捷	சுறுசுறுப்பு
自豪	கர்வம்
自豪	பெருமை
自豪	பெருமை
自豪	பெருமையாக
致電	அழை
致電	அழைக்கவும்
致電	அழைப்பு
報仇	பழி
報仇	பழிவாங்கல்
可變	மாறி
可變	மாறிகள்
丙酮	அசிட்டோன்
刑罰	வேதனை
刑罰	தண்டனை
刑罰	வேதனையை
刑罰	வேதனை
刑罰	தண்டனை
債券	இனைப்பு
山洞	குகை
山洞	குகைகள்
課室	வகுப்பறை
課室	வகுப்பறைகள்
藝術品	ஆர்ட்
藝術品	சித்திரம்
藝術品	கலை
藝術品	எண்ணமும்
頭盔	தலைக்கவசம்
頭盔	கவசம்
飽和	நிறைவுற்ற
異形	ஏலியன்
異形	ஏலியன்ஸ்
同學會	ரீயூனியன்
畫廊	கேலரி
英特爾	இன்டெல்
稅務	வரிவிதிப்பு
稅務	வரி
稅務	வரிகள்
哥倫布	கொலம்பஸ்
西瓜	தர்பூசணி
婆羅洲	போர்னியோ
印章	தட்டும்
印章	முத்திரை
印章	முத்திரை
丸子	பந்துகள்
丸子	உருண்டை
迷信	மூடநம்பிக்கை
負荷	ஏற்று
負荷	உள்வாங்கு
負荷	சுமை
嘴巴	வாய்
威士忌	விஸ்கி
威士忌	விஸ்கி
熱火	வெப்பம்
熱火	வெப்பத்தை
熱火	வெயிலின்
土豆	உருளைக்கிழங்குகள்
土豆	உருளைக்கிழங்கு
土豆	உருளைக்கிழங்கு
土豆	கிழங்கு
塗鴉	graffiti
收縮	சுருங்கி
收縮	ஏற்படுகின்றன
重量級	வெயிட்
彈簧	ஸ்பிரிங்
彈簧	வசந்தம்
彈簧	வசந்தகால
彈簧	வசந்த
彈簧	இருப்பார்கள்
公示	publicity
自制	வீட்டில்
忠實	நம்பிக்கை
忠實	நம்பிக்கையாக
忠實	ஈமான்
狹義	குறுகலான
中風	சைன்
中風	பக்கவாதம்
崇高	நோபல்
崇高	கம்பீரமாக
均勻	சீருடை
均勻	சீரான
遺忘	மறந்து
謹慎	எச்சரிக்கை
酗酒	குடிப்பழக்கம்
控制權	கட்டுப்பாடு
控制權	கட்டுப்படுத்து
錘	சுத்தியல்
錘	சுத்தி
篩選	அலங்காரம்
篩選	வடிகட்டி
篩選	வடிகட்டு
篩選	சரம்
篩選	திரையிடல்
篩選	வடிகட்டிகள்
篩選	அலங்காரங்கள்
香草	வெனிலா
香草	வெண்ணிலா
博覽	எக்ஸ்போ
重逢	ரீயூனியன்
噴泉	நீரூற்று
噴泉	ஊற்று
裸露	நிர்வாணம்
絕地	ஜெடி
預估	கணிப்பு
預估	முன்னறிவிப்பு
預估	கணக்கிடு
預估	கணக்கிடப்பட்ட
桿菌	கோலுயிரி
渾	ஹுன்
盲人	குருட்டு
羚羊	மறிமான்
自發	தன்னிச்சையான
田納西州	டென்னிசி
綠化	பசுமை
鉀	பொட்டாசியம்
火藥	பொடி
火藥	பவுடர்
盧布	ரூபிள்
遺失	தொலைத்த
遺失	தொலைந்து
遺失	இழந்ததை
遺失	தொலைந்த
遺失	இழந்த
遺失	காணாமல்
遺失	காணவில்லை
遺失	இல்லாமை
脊髓	தண்டு
心智	மன
羊毛	கம்பளி
泥土	மண்
撕裂	கிழிந்து
多哥	டோகோ
價值觀	மதிப்புகள்
激動	உற்சாகமாக
早先	முன்னதாக
早先	முன்னர்
早先	முன்பே
早先	முந்தைய
畫像	நீளவாக்கில்
輪迴	மறுபிறப்பு
所有者	உரிமையாளர்
所有者	சொந்தக்காரர்
所有者	உரிமையாளர்கள்
園藝	தோட்டக்கலை
園藝	தோட்டக்கலை
園藝	தோட்டத்தில்
園藝	தோட்டம்
幻象	கானல்
幻象	மிராஜ்
流利	சரளமாக
流利	சரளமாகப்
信使	messenger
信使	தூதர்கள்
信使	கூரியர்
信使	கொரியர்
監測	கண்காணிப்பு
監測	நோட்டம்
強勁	ஸ்பிலிட்
巴格達	பாக்தாத்
羽球	பூப்பந்து
鴞	ஆந்தை
絲帶	ரிப்பன்
開朗	உற்சாகமான
名流	பிரபலம்
鈦	டைட்டானியம்
殘留	எச்சம்
簡訊	sms
著陸	இறங்கும்
佛教徒	பௌத்த
佛教徒	பெளத்தம்
釘	நகம்
釘	ஆணி
水管	குழாய்கள்
脖子	கழுத்தில்
脖子	கழுத்து
開車	டிரைவ்
開車	இயக்கி
班長	ஸ்குவாட்
沙子	மணல்
沙子	மண்
秋海棠	பிகோனியா
比對	பொருத்துதல்
比對	பொருந்தும்
比對	போட்டி
比對	ஆட்டம்
比對	பொருத்தம்
化妝品	ஒப்பனை
化妝品	ஒப்பனை
形容詞	பெயரடை
形容詞	adjectives
可逆	மீள்
創傷	பேரதிர்ச்சி
所有權	உரிமை
所有權	சொத்துரிமை
含義	அர்த்தத்தை
含義	அர்த்தம்
地毯	கூண்டு
地毯	கம்பளம்
鼻音	nasal
一致性	coherence
一致性	நிலைத்தன்மை
維生素	வைட்டமின்கள்
維生素	வைட்டமின்
營救	மீட்பு
加沙	காசா
勘察	surveying
再婚	மறுமணம்
古蘭經	குர்ஆனில்
檢索	மீட்பது
美德	நல்லொழுக்கம்
美德	நற்பண்புகள்
教訓	பாடம்
教訓	பாடத்தை
妊娠	கர்ப்பம்
