هرمی	piramidės
مسافری	priemiestinių
کخ	koch
آسم	astma
لیونل	lionel
گوتنبرگ	gutenbergo
کبری	kobra
کبری	kubra
پیشی	katytė
دیاز	díaz
دیاز	diaz
دیاز	dias
طوس	tus
اگوست	auguste
شجاعی	drąsus
شجاعی	drąsūs
اهرم	svertas
اهرم	svirties
وودز	miškas
وودز	miško
شهرتی	fame
موریسون	morrison
کامبت	kombat
فرناندز	fernandez
فرناندز	fernández
فرناندز	fernandes
روتور	rotoriaus
هوشیاری	supratimą
هوشیاری	sąmoningo
داسو	dassault
پیانیست	pianistas
اوترخت	utrechte
پولیس	policija
پولیس	policijos
نووگورود	naugardo
مؤنث	moteris
مؤنث	patelės
مؤنث	moterys
مؤنث	moterų
مؤنث	patelė
دامی	manekenas
دامی	spąstai
دامی	gaudyklė
دامی	gaudyklės
سمینار	seminaras
نیکوکاران	doro
ماتریکس	matrica
ماتریکس	matricos
ورا	vera
مهربانی	jautrumas
مهربانی	švelnumas
مهربانی	gerumo
تیت	teit
مورو	moro
تنگستن	volframo
نمو	nemo
لامبورگینی	lamborghini
کندن	iškasti
وون	laimėjo
گلدان	vaza
پلیستوسن	pleistoceno
معشوق	mylėti
گلبرگ	žiedlapiai
خامه	grietinėlė
خامه	kremo
خامه	grietinėlės
الیمپوس	olimpą
ترزا	teresa
ترزا	tereza
الرحمن	rahman
پاسگاه	stotis
پاسگاه	stoties
ورونیکا	veronika
فریرا	ferreira
قو	gulbė
میدلند	midland
موزون	ritmo
موزون	ritmu
پیگیر	sekimo
پیگیر	sekimas
پائیز	rudenį
پائیز	ruduo
مقاومتی	atsparumo
مقاومتی	atsparumą
مقاومتی	atsparumas
املایی	rašybos
هملت	hamletas
نردبان	kopėčios
نردبان	kopėčios
نردبان	kils
زسکا	cska
واله	valle
واله	vale
مقعد	anus
مقعد	tiesiosios
ماخ	macho
سولاوسی	sulavesis
بیوشیمی	biochemija
دکارت	descartes
آخن	acheno
جیب	kišenės
جیب	kišenes
ژنی	genų
ژنی	genas
ژنی	jenni
زبانشناسی	kalbotyra
نظرها	komentarai
نظرها	pastabas
نظرها	pastabos
نظرها	komentaruose
پرایس	kaina
پرایس	kainos
ملون	mellon
معلمی	mokytoja
سایلنت	tyli
پروجا	perugia
آکواریوم	akvariumas
کرن	karen
کاه	šiaudų
پشه	uodų
آمور	amūro
مایرز	meyers
مش	mos
لوتوس	lotus
فاشیسم	fašizmas
ناکامی	nusivylimas
ناکامی	nusivylimą
ناکامی	fiasko
برتراند	bertrand
غنیمت	gadina
غنیمت	laimikis
گلها	gėlės
سست	silpnas
خندان	juokiasi
لاغر	liesas
شبکیه	tinklainės
عملا	praktiškai
دوناتلو	donatello
کندو	avilys
کندو	avilių
فلسطینیان	palestiniečiai
فلسطینیان	palestiniečių
کیلیکیه	kilikija
مریلین	marilyn
مفسران	komentatorių
کروس	kroos
کروس	cruz
آواشناسی	fonetika
تنبور	taboras
کبرا	kobra
آلتایی	altajaus
سرمایش	aušinimo
بلوم	žydi
نگارنده	dizaineris
تین	teen
تین	alavo
هلو	persikai
خبرنگاری	žurnalistikos
کورنلیوس	kornelijus
مایلز	km
خلوص	nuoširdumo
جیووانی	giovanni
پارادوکس	paradoksas
گیتس	vartus
گیتس	vartai
اتانول	etanolis
مارش	marsh
سرفه	kosulys
گولد	gould
مزایده	aukcionas
آبها	vandenyse
آبها	vandenis
آبها	vandenys
کیسی	keisis
دخانیات	tabakas
نابغه	genijus
خارش	niežėjimas
خارش	niežulys
خارش	itch
کتان	linai
کتان	linų
کتان	medvilnės
کتان	medvilniniai
کتان	medvilnė
تاتا	tata
قرنیه	ragenos
مکالمات	pokalbiai
شکوفه	žydėti
شکوفه	gėlių
شکوفه	gėlė
شکوفه	žydi
متفکران	mąstytojų
ولینگتون	wellington
میاد	ateina
میاد	ateinu
میاد	ateis
وسوسه	pagunda
ایروینگ	irving
سقفی	lubos
محموله	krovinys
محموله	siunta
محموله	krovinys
محموله	siuntimas
عرشه	denių
وفا	įsipareigojimai
چچن	čečėnijoje
چچن	čečėnijos
سوپرانو	soprano
یونکرس	junkers
اشباح	phantom
اشباح	vaiduokliai
سرماخوردگی	peršalimas
سرماخوردگی	gripas
صدساله	šimtametė
جهانیان	pasauliai
آتنا	athena
انیو	ennio
برادرزاده	sūnėnas
برادرزاده	dukterėčios
اخترفیزیک	astrofizikos
دستیاری	ass
دستیاری	asistentas
دستیاری	padėjėjas
عمار	amar
تبلت	tabletės
شامگاه	vakarais
طبل	būgno
طبل	būgnas
طبل	būgnai
چخوف	čechovas
بوفالو	buivolo
کارتاژ	kartagina
اورلاندو	orlando
پیمانه	matavimo
پیمانه	matavimas
سامر	vasara
سامر	vasaros
مکری	mcrae
اسامه	osama
تمساح	aligatorius
تمساح	krokodilas
وهم	fantazija
وهم	iliuzija
دودی	dūmai
دودی	dūmų
قرعه	nendrės
جبار	jabbar
ابرو	antakiai
ابرو	antakių
غزال	gazelė
دوتا	du
خیس	vat
عزم	ryžtas
گاردن	sode
گاردن	sodas
فلمینگ	fleming
گویندگی	inkaro
کاپیتول	kapitolijaus
آلوز	alves
گاگا	gaga
امپایر	imperija
فرمانی	įgaliojimai
فرمانی	mandatas
آلفردو	alfredo
فرازمینی	nežemiška
رواق	portikas
هیر	heer
هیر	hara
النا	elena
وانت	sunkvežimis
ویدئوهای	vaizdai
ویدئوهای	videos
لبنیات	pieno
تات	tat
ونسا	vanesa
رند	rand
جیکوب	džeikobas
میجی	meidži
دیافراگم	diafragmos
علاقمند	domina
علاقمند	susidomėję
آلرژی	alergija
آلرژی	alergiją
آلرژی	alergijos
آلرژی	alergija
آلرژی	alerginė
آلرژی	alerginės
استریپ	juostelės
چارتر	chartija
چارتر	chartiją
غیرخطی	netiesinė
بشیر	bashir
لعل	lal
لعل	granatas
نگیرد	ritės
نگیرد	ritinių
نگیرد	ritiniai
پهنا	platus
آشیل	achilo
ویدیوی	video
آناستازیا	anastacia
آناستازیا	anastasija
اسپاگتی	spageti
بورنئو	borneo
ضعیفی	silpnas
کوبایی	kubos
سوزانده	sudegino
هندوئیسم	hinduizmas
باکجه	baekje
سروان	kapitonas
رابرتز	roberts
بیضه	kapšelis
بیضه	sėklidžių
بیضه	sėklidės
جینا	džena
کیمیا	alchemija
نون	duona
نون	duonos
اپتیک	optika
کارفرما	darbdavys
مظاهر	šuolių
دویدن	veikiančių
دویدن	važiavimas
مستطیلی	stačiakampio
مستطیلی	stačiakampis
کنتراست	svyravimų
جیغ	rėkia
جیغ	rėkti
پختن	virimo
پختن	kepimo
دلقک	klounas
فارادی	faradėjus
تارزان	tarzanas
بیکار	bedarbiai
بیکار	bedarbis
ریکی	rikis
لنفاوی	limfinės
باربر	barber
مقبول	vertinamas
وحشتناک	siaubinga
وحشتناک	siaubingas
حسابدار	buhalteris
باگ	bugas
تورس	torres
جوانترین	jauniausias
وینچستر	vinčesterio
برجک	bokštelis
حراج	aukcionas
حبوبات	kukurūzų
حبوبات	grūdų
حبوبات	grūdai
حبوبات	grūdų
حبوبات	javai
حبوبات	grūdai
سرشت	pobūdžio
سرشت	gamta
سرشت	prigimtis
شرکتها	bendrovės
شرکتها	įmonėse
شرکتها	bendrovių
کاکلی	kuoduotasis
نمودارهای	schemos
دیباچه	prologas
لن	len
کارکس	viksva
کیریباتی	kiribačio
چماق	klubas
مارا	mara
جرزی	džersio
هاید	haidas
سافک	safolko
آتاترک	atatürk
تنریف	tenerife
کافکا	kafka
ماندارین	mandarinų
تدابیر	valdomi
باج	išpirkos
باج	šantažas
فسیل	iškastinio
عکسبرداری	photography
عکسبرداری	fotografijos
عکسبرداری	fotografija
کوکو	coco
کوکو	kakavos
کوکو	kakava
کوکو	gegutės
کنجکاوی	smalsumo
میا	mia
بالدار	dailioji
ناجی	gelbėtojas
ولگرد	punk
عطش	troškulys
روبان	ribbon
کبالت	kobalto
انس	anas
رادرفورد	rutherford
مید	midus
لوزالمعده	kasos
مغذی	išmetamo
فالز	krenta
نورماندی	normandie
مکینتاش	mac
ارتداد	erezija
سخنران	dėstytoja
عریان	nuoga
باکلان	kormoranas
باکلان	pisa
مینیاتور	miniatiūriniai
ناتالیا	natalija
فرسوده	rastis
آنتونوف	antonov
فیتزجرالد	fitzgerald
چسبندگی	sanglauda
چسبندگی	sanglaudos
پولو	polo
بیکن	kumpis
نعل	pasaga
دیکسون	dixon
مشورتی	patariamosios
سیفلیس	sifilis
هیوگو	hugo
توکار	įtaisytas
توکار	įterpta
توکار	įdedamas
توکار	įmontuotas
تئو	teo
صداها	balsų
کسل	pilis
کسل	pilies
نیاگارا	niagaros
غزلیات	sonetas
آجرهای	plytų
آجرهای	plytos
شیرها	liūtai
تراکتور	traktorius
تراکتور	traktoriaus
تراکتور	vilkikas
تراکتور	traktoriai
جاسازی	pasodinti
ایا	aya
کدو	moliūgų
انتظارات	lūkesčius
انتظارات	lūkesčių
هاتسپر	hotspur
رشوه	kyšininkavimo
ایگلسیاس	iglesias
مجلل	prabangūs
مجلل	nuostabiai
دخمه	rūsys
آلکسی	alexei
هون	hun
موسولینی	mussolini
بیبر	bieber
غاری	urvas
اورنج	apelsinų
سرکوبی	represijos
سرکوبی	represijų
شیزوئوکا	šidzuokos
لینکین	linkin
اقرار	išpažinties
هابیت	hobitas
خو	goo
زردپره	starta
خفته	miega
خفته	miegas
خفته	miega
خفته	miegu
بغل	apkabinti
خلط	skreplių
ژوپیتر	jupiterio
بولیوار	bolivar
بولیوار	bolivaras
یدید	jodido
سرس	cerera
کوبریک	kubrick
شأن	orumą
شأن	orumo
شأن	orumas
دریم	svajonė
دریم	svajone
خلاقانه	kūrybos
بهمنی	sunaikinimo
بهمنی	paskirstymas
وخیم	dire
شستشو	nuplauti
شستشو	plauti
شستشو	plauti
شستشو	plovimas
شستشو	skalbimo
کاتلین	karin
مافیا	mafija
مافیا	mafijos
مقعدی	karoliukai
داروخانه	vaistinės
داروخانه	vaistinė
دلبستگی	interesus
اپوس	opus
تصویرسازی	iliustracija
نغمه	daina
نغمه	dainos
چانه	chin
اریس	eras
میکروسکوپی	mikroskopu
ریمیکس	remix
شانون	shannon
باپتیست	baptistų
باپتیست	baptiste
کمبل	campbell
رومیزی	darbastalio
تصورات	vaizduotę
تصورات	vizijas
توربو	turbo
خیاط	siuvėjas
خیاط	siuvėja
خیاط	siuvimo
پورتر	porter
جبرئیل	gabriel
براگا	braga
جلبک	dumblių
جلبک	dumbliai
سیلک	šilko
ناقوس	bell
بها	baha
گوادلوپ	gvadelupa
مارچلو	marcelo
مارچلو	marcello
لوییز	luiza
انطاکیه	antiochas
مارکز	márquez
میکا	žėručio
میکا	mika
والتون	walton
نیلز	niels
جهانگرد	turistai
جهانگرد	turizmo
متناقض	prieštaringas
ونک	gui
مخاط	gleivių
بیلبائو	bilbao
فولر	paukštininkas
تعاملات	sąveika
بلر	blair
بازنده	nevykėlis
ولیکا	velika
تولستوی	tolstojus
تیل	til
تیل	kryklė
سوپرمن	supermenas
وبستر	webster
تائو	tao
رولند	rowland
رولند	rolandas
بویل	boyle
ایدئولوژیک	ideologinių
بالی	balio
مارگریت	marguerite
هوستون	hiustone
هوستون	huston
وایکینگ	vikingai
دوو	duo
کوپن	atkarpos
نیمکت	stendo
مقبولیت	priimtinumo
عاشقان	mylėtojai
غرامت	išpirkos
پنجشیر	pandžširo
نشویل	nešvilio
تصویرگر	iliustratorius
نورا	nora
الو	hello
الو	sveiki
تخمک	kiaušinis
تخمک	kiaušinių
تخمک	kiaušiniai
تخمک	kiaušinio
معشوقه	meilužė
سرریز	weir
چرمی	oda
چرمی	odos
لنون	lenonas
وید	veidai
وید	veidas
آئورت	aortos
شهرتش	reputaciją
شهرتش	ry
شهرتش	reputacija
شهرتش	fame
چنگال	šakės
دلیری	drąsos
دلیری	drąsa
دلیری	drąsa
معافیت	atleidimas
وسکس	veseksas
فارل	farrell
فارل	pharrell
جانستون	johnston
عمه	teta
عمه	teta
جهادی	džihado
کوآ	coa
صرب	serbų
شکایات	skriaudos
پادتن	imunoglobulino
پادتن	antikūnų
پادتن	antikūnai
عشاق	mylėtojai
پونه	raudonėlis
کادیلاک	cadillac
آنتروپی	entropija
اسپارتا	spartos
اسپارتا	spartą
اسپارتا	sparta
نامتناهی	begalinė
نامتناهی	begalybės
بارنز	barnsas
معلومات	informacija
معلومات	intel
بدمینتون	badmintono
کارگزار	brokeris
کارگزار	agentas
رزا	rosa
مخابره	transliacijas
جاودانه	apleista
جاودانه	nemirtingas
آکسفوردشر	oksfordšyras
اونا	jie
معضل	dilema
وارداتی	importuota
وارداتی	importuoti
وارداتی	importuojamas
وارداتی	importuojama
کک	blusų
ارگانیسم	organizmas
کابالا	kabala
ملانی	milda
کلبه	marš
کلبه	varškės
کلبه	salono
کلبه	kabina
کاتانیا	catania
همدردی	užuojautą
خرمن	derliaus
میرا	mira
غواص	narų
جنینی	embriono
روستوف	rostov
مارتی	marti
ویسنته	vicente
مارون	maroon
مزاج	temperamentas
مداد	pieštukas
مداد	pieštukai
صابون	muilo
صابون	muilas
جراحان	chirurgai
کلونی	clooney
کلونی	kolonija
تارا	tara
مگا	mega
باخا	baja
چلنجر	arenos
وندی	vendi
ریچ	turtingas
ایبری	iberia
ایبری	iberijos
گیومری	giumri
انگلی	parazitinės
موتورسیکلت	motociklo
موتورسیکلت	motociklai
رقاص	šokėjų
رقاص	šokėja
پوچ	emptiness
مخاطره	pavojus
مسیرها	kelius
مسیرها	maršrutai
مسیرها	maršrutų
کارلسروهه	karlsruhe
بنزن	benzeno
زپلین	zeppelin
خرافات	prietarus
فارگو	fargo
عجمان	ajman
تریومف	triumfas
سالاد	salotų
سالاد	salotos
فیلارمونیک	filharmonijos
زو	zoja
سلحشور	karys
سهامداران	akcininkai
فیلمش	filmas
فیلمش	filmai
پارا	pará
پارا	para
جاودان	apleista
جاودان	nemirtingas
اسفنجی	kempinė
الویس	elvis
برام	bram
دراکولا	drakula
مظنون	įtariamieji
مظنون	įtariamasis
میلواکی	milvokio
تقدم	švino
سکسی	seksualus
فاروق	faruk
اونو	ono
والیس	wallis
والیس	wallace
اوریون	kiaulytės
گرداننده	vairuotojo
گرداننده	mašinistas
گرداننده	vairuotojas
بایه	valle
بایه	bae
کوشی	koši
میهمانان	svečiai
بازدارنده	inhibitorius
فلورا	floros
پروپان	propanas
پروپان	propano
مگان	megan
پریشان	svajones
پریشان	sapnai
پریشان	svajonės
بالاخانواده	hymenoptera
آذرین	vulkaninė
زنیت	zenit
ربی	rabinas
رودریگو	rodrigo
اختلاط	mix
اختلاط	maišymo
قشنگ	graži
قشنگ	gražu
قشنگ	gražiai
قشنگ	gražus
قشنگ	gražūs
قشنگ	gražu
میداند	žino
شدیدا	blogai
مدرنیسم	modernizmas
لیتون	leighton
آفتابگردان	saulėgrąžų
مورینیو	mourinho
سوپ	sriuba
سوپ	sriubą
شنونده	klausytojas
شنونده	klausytojai
رضای	labui
رضای	malonumas
جغرافی	geografija
کژدم	skorpionas
کژدم	scorpii
پیوس	pijus
آهنگر	kalvis
مینیاپولیس	mineapolio
دیوی	deivis
معترضین	protestuotojus
معترضین	protestuotojus
چاشنی	pagardų
چاشنی	detonatorius
چاشنی	detonatorių
چاشنی	spice
جادوگران	raganos
روث	rūta
دلیر	drąsus
دلیر	drąsūs
همینگوی	hemingvėjus
گاردنر	gardiner
کوپولا	coppola
