palestina	パレスチナ
disturbo	無秩序
birmingham	バーミンガム
fleming	フレミング
determinazione	裁決
font	フォント
font	フォント
cfr	cfr
berlina	セダン
cold	風邪
cold	コールド
cold	冷たい
cold	寒い
creek	クリーク
emerge	emerge
suprema	supreme
ruth	ルース
dee	ディー
scartamento	ゲージ
tip	チップ
tip	tip
tip	ヒント
kane	ケーン
occasionalmente	時折
occasionalmente	たまに
orléans	オルレアン
orléans	オルレアン
complessità	コンプレックス
complessità	錯体
complessità	複雑
cliff	クリフ
adventure	アドベンチャー
adventure	冒険
rifiutato	却下
rifiutato	拒否された
rifiutato	辞退
rifiutato	不参加
chirurgo	外科医
celebrazione	祝賀会
celebrazione	お祝い
voluta	wanted
voluta	求む
ecuador	エクアドル
sainte	サント
viceré	総督
koch	コッホ
cox	コックス
cantieri	ヤード
toledo	トレド
segmento	セグメント
segmento	線分
teodoro	テオドール
ass	ass
chiusi	閉店
ginocchio	ひざ
guadagnare	獲得
guadagnare	稼ぐ
guadagnare	稼ぐ
sullivan	サリバン
sullivan	サリヴァン
wind	wind
jackie	ジャッキー
turisti	ツーリスト
mancini	マンチーニ
duetto	デュエット
early	アーリー
early	早い
chiavi	キー
chiavi	キー
chiavi	key
celle	セル
celle	セル
celle	celle
parente	相対
parente	親戚
vivi	ライブ
vivi	生きる
vivi	アライブ
nativo	ネイティブ
punizione	処罰
punizione	拘禁
punizione	勾留
punizione	留置
punizione	収容
martello	ハンマー
martello	ハマー
kingdom	王国
atomi	原子
atomi	原子
spa	スパ
spa	spa
templi	寺院
avvisi	アラート
avvisi	通知
muoversi	ムーブ
muoversi	移動
pittsburgh	ピッツバーグ
ein	アイン
ein	ein
caserma	バラック
elicottero	ヘリコプター
elicottero	チョッパー
escluso	除外
escluso	除外
offerte	クーポン
montgomery	モンゴメリー
trailer	トレーラー
trailer	予告編
accento	アクセント
cbs	cbs
helsinki	ヘルシンキ
mother	おかあさん
mother	母親
caserta	カゼルタ
progettista	デザイナー
lecco	レッコ
mista	ミックス
mista	混合
brandon	ブランドン
medina	マディーナ
islanda	アイスランド
donazione	募金
donazione	寄付
wikilink	wikilink
sentieri	パス
dawn	明け方
dawn	夜明け
dawn	ドーン
dose	線量
dose	一服
sequenze	シーケンス
walsh	ウォルシュ
helena	ヘレナ
gil	ギル
ladro	泥棒
mel	メル
streghe	魔女
streghe	ウィッチ
streghe	魔女
alias	別名
alias	偽名
alias	エイリアス
alias	aka
alias	偽名
alias	エイリアス
equazioni	方程式
equazioni	方程式
electric	エレクトリック
electric	電気
falsa	false
falsa	虚偽
falsa	フェイク
sottolineare	下線
superficiale	浅い
superficiale	浅瀬
kill	キル
kill	kill
papà	ダディ
complimenti	賛辞
fazione	派閥
sovranità	主権
nucleari	原子力
presunta	推定
sergej	セルゲイ
bottiglia	ボトル
eliminati	削除
muscolare	マッスル
muscolare	筋肉
senior	先輩
senior	上級
genesi	ジェネシス
log	ログ
log	log
pereira	ペレイラ
discendenza	血統
hero	ヒーロー
attraversare	クロッシング
frammento	フラグメント
combattenti	ファイターズ
alieni	エイリアン
alieni	エイリアン
vini	ワイン
vini	ワイン
vinile	ビニール
avenue	アベニュー
jenny	ジェニー
minoranze	少数
prefisso	プレフィックス
cometa	彗星
kit	キット
kit	kit
vampiri	vamps
vampiri	ヴァンパイア
vampiri	吸血鬼
dichiarazioni	ステートメント
colombiano	コロンビア
sparare	シュート
correggere	正解
correggere	正しい
esclusione	除外
duke	公爵
duke	デューク
portate	持ち込み
portate	ブリング
rubrica	見出し
virtuale	バーチャル
virtuale	仮想
midi	midi
fighter	ファイター
loco	ロコ
wonder	ワンダー
gravidanza	妊娠
mercante	マーチャント
mercante	商人
negativi	ネガティブ
negativi	マイナス
negativi	ネガ
negativi	ネガ
battere	beat
battere	ビート
battere	鼓動
grassetto	太字
grassetto	ボールド
algoritmo	アルゴリズム
riscatto	身代金
riscatto	償還
calda	あったかい
calda	暖かい
calda	温かい
marion	マリオン
consulente	顧問
consulente	アドバイザー
consulente	コンサルタント
consulente	アドバイザー
fitzgerald	フィッツジェラルド
abu	アブー
holland	オランダ
tastierista	キーボーディスト
versailles	ヴェルサイユ
slovacco	スロバキア
malato	病気
pagani	異教徒
registra	レコード
registra	記録
sandy	サンディ
libano	レバノン
libano	レバノン
isolamento	隔離
isolamento	孤立
schieramento	配置
schieramento	配備
martedì	火曜日
martedì	火曜
chieti	キエーティ
heinz	ハインツ
automobili	カーズ
elettroni	電子
elettroni	電子
compromesso	妥協
march	マーチ
march	行進曲
lynn	リン
ufc	ufc
ufc	cfu
hearts	hearts
hearts	ハーツ
squadriglia	戦隊
pozzi	ウェルズ
dipendenza	甘え
dipendenza	依存
bolivia	ボリビア
bolivia	ボリビア
stretti	海峡
mezzanotte	ミッドナイト
mezzanotte	真夜中
pia	ピア
salvataggio	保存
salvataggio	救助
salvataggio	レスキュー
distinto	distinct
rieti	リエーティ
pippo	グーフィー
rich	金持ち
rich	リッチ
compressione	圧縮
conan	コナン
stabilimenti	工場
sposta	ムーブ
sposta	移動
armonia	ハーモニー
armonia	調和
edison	エジソン
esposte	露出
viareggio	ヴィアレッジョ
patty	パティ
devozione	敬虔
devozione	献身
meeting	ミーティング
meeting	会議
bestia	野獣
bestia	ビースト
tattica	戦術
tattica	戦術
stimato	推定
gioacchino	ヨアヒム
gioacchino	ヨアキム
maine	メイン
spam	スパム
circle	サークル
draghi	ドラゴンズ
draghi	ドラゴン
circuiti	サーキット
circuiti	回路
contratti	契約
coupé	クーペ
coupé	クーペ
pam	pam
sasso	sasso
sasso	ロック
lituania	リトアニア
facilità	やす
facilità	イージー
facilità	易しい
facilità	やさしい
facilità	簡単
datazione	デート
datazione	出会い
datazione	交際
furto	強盗
furto	盗難
furto	窃盗
furto	窃盗
coordinamento	連携
coordinamento	調整
coordinamento	コーディネート
mediterranea	地中海
cabina	キャビン
cabina	船室
bennett	ベネット
pensieri	考え
pensieri	思考
pensieri	想い
circo	サーカス
locomotiva	機関車
saluti	あいさつ
saluti	挨拶
bush	ブッシュ
chelsea	チェルシー
progresso	プログレス
progresso	経過
progresso	進捗
olimpia	オリンピア
raoul	ラウル
osservato	観測
privilegi	特権
privilegi	特権
ducati	ドゥカティ
chip	チップ
esplorazione	探検
esplorazione	ボーイスカウト
esplorazione	探検
minimi	最低限
minimi	最低
minimi	最小
village	村落
village	ヴィレッジ
proiezione	投影
proiezione	選考
proiezione	スクリーニング
presunto	推定
pelliccia	毛皮
tocca	tap
tocca	蛇口
tocca	タップ
firmare	サイン
firmare	記号
firmare	署名
osaka	大阪
through	through
through	スルー
pinna	フィン
modesto	モデスト
alternativo	オルタナティブ
alternativo	代替
inutili	役立たず
bart	バート
omar	オマール
cron	cron
compton	コンプトン
estonia	エストニア
trattative	ネゴシエーション
trattative	交渉
trattative	交渉
muhammad	ムハンマド
muhammad	モハメッド
bowie	ボウイ
viktor	ビクトル
cave	洞窟
biologica	生物
nigeria	ナイジェリア
nigeria	ナイジェリア
oklahoma	オクラホマ
magazzino	倉庫
tramonto	夕焼け
tramonto	日没
benz	ベンツ
reputazione	評判
consiglieri	アドバイザー
consiglieri	参事官
suggerimenti	tips
suggerimenti	ヒント
suggerimenti	おすすめ
suggerimenti	提案
zagabria	ザグレブ
malesia	マレーシア
malesia	マラヤ
monasteri	修道院
monasteri	僧院
rebecca	レベッカ
wwf	wwf
vancouver	バンクーバー
hannover	ハノーバー
hannover	ハノーファー
hannover	ハノーファー
itunes	itunes
missouri	ミズーリ
denuncia	苦情
denuncia	クレーム
lusso	贅沢
eccezioni	例外
eccezioni	例外
ragni	スパイダー
ragni	クモ
garda	ガルダ
zeus	ゼウス
forever	フォーエバー
imposto	施行
hardware	金物
hardware	ハードウェア
spoleto	スポレート
pazzo	気狂い
pazzo	狂気
pazzo	クレイジー
pazzo	狂人
pazzo	気違い
pazzo	マッド
pazzo	mad
rana	カエル
rana	平泳ぎ
tonalità	色相
tonalità	フエ
rico	リコ
foglia	葉っぱ
itf	itf
neutrale	中性
neutrale	ニュートラル
laboratori	ワークショップ
laboratori	研究室
laboratori	labs
guai	トラブル
insulti	侮蔑
insulti	侮辱
agata	アガサ
agata	アガタ
self	セルフ
self	自己
marty	マーティ
genetica	遺伝
nicchia	ニッチ
rinnovamento	リフォーム
rinnovamento	リニューアル
accoglienza	レセプション
accoglienza	披露宴
accoglienza	受付
kings	キングス
abbreviato	短縮
misteri	ミステリー
combattuto	葛藤
scenario	シナリオ
underground	地下
underground	地下鉄
connor	コナー
scarico	アンロード
ranger	レインジャー
terni	テルニ
tensioni	緊張
tensioni	テンション
miglio	マイル
miglio	雑穀
identifica	識別
identifica	識別
muscoli	筋肉
muscoli	マッスル
muscoli	筋肉
isolato	絶縁
trasmettere	転送
piscina	プール
lezione	教訓
lezione	レッスン
lezione	授業
inventato	発明
benefici	福利
utenze	ユーティリティー
utenze	ユーティリティ
torretta	タレット
nebulosa	星雲
controlli	コントロール
galileo	ガリレオ
antiochia	アンティオキア
capolavoro	名作
capolavoro	傑作
pretty	可愛い
contest	コンテスト
suzuki	スズキ
suzuki	鈴木
global	global
global	グローバル
oreste	ディナ
certificato	認定
certificato	証明書
certificato	証書
virgin	処女
virgin	ヴァージン
interrompere	中断
interrompere	中止
avanzato	上級
paula	ポーラ
bellini	ベッリーニ
fenice	フェニーチェ
fenice	フェニックス
jose	ホセ
satelliti	サテライト
satelliti	衛星
azzurri	青い
azzurri	ブルー
azzurri	青色
montréal	モントリオール
montréal	モントリオール
carrello	バスケット
carrello	かご
carrello	カート
carrello	荷車
esami	試験
esami	試験
forno	オーブン
fossa	ピット
gerald	ジェラルド
proiettili	弾丸
brooke	ブルック
parallele	パラレル
parallele	並列
beethoven	ベートーヴェン
determinante	行列式
champion	チャンピオン
alabama	アラバマ
solari	ソーラー
innovazione	革新
innovazione	イノベーション
afc	afc
brandeburgo	ブランデンブルク
mister	ミスター
hardy	ハーディ
morrison	モリソン
joyce	ジョイス
alt	alt
alt	停止
tasse	税金
tasse	手数料
orizzonte	地平線
orizzonte	ホライズン
orizzonte	水平線
curve	カーブ
curve	曲線
curve	カーブ
curve	曲線
significati	意味
sinceramente	正直
pascal	パスカル
porter	ポーター
tennessee	テネシー
frequenze	周波数
frequenze	周波数
frequenze	頻度
analoga	類似
dorato	ゴールデン
dorato	黄金
antagonista	敵役
plus	プラス
julius	ジュリアス
julius	ユリウス
moldavia	モルドバ
poli	ポリ
cristalli	crystal
cristalli	結晶
cristalli	クリスタル
eccellente	優れた
mccartney	マッカートニー
jin	jin
jin	ジン
holstein	ホルシュタイン
transito	トランジット
dts	dts
maltese	マルタ
salisburgo	ザルツブルク
richardson	リチャードソン
lance	ランス
lance	スピアーズ
papi	パピ
prezioso	尊い
prezioso	precious
prezioso	貴重
valuta	通貨
budget	予算
budget	予算
innocenti	無実
atlético	アトレティコ
atlético	アトレチコ
armonica	ハーモニカ
favorito	お気に入り
favorito	お気に入り
tomo	登米
tomo	トモ
autobiografia	自伝
htm	htm
htm	ppa
proiettile	弾丸
proiettile	銃弾
casalinga	主婦
rabbi	ラビ
vigilia	イブ
vigilia	イヴ
repressione	抑圧
champagne	シャンパン
elementari	小学校
inganno	欺瞞
macchie	しみ
macchie	しみ
macchie	シミ
macchie	斑点
jung	ユング
investimenti	投資
investimenti	投資
paesaggi	景色
paesaggi	風景
tina	ティナ
boom	ブーム
janet	ジャネット
dresda	ドレスデン
frate	修道士
allegro	陽気
suggerito	おすすめ
spina	プラグ
natural	自然
natural	ナチュラル
apprendimento	学習
apprendimento	ラーニング
apprendimento	学問
bei	eib
pacchetto	パケット
pacchetto	パッケージ
emozioni	感情
emozioni	興奮
emozioni	感情
corpus	コーパス
mercoledì	水曜
mercoledì	水曜日
mercoledì	水曜
vacanze	祝日
vacanze	休日
ginnasta	体操
crawford	クロフォード
luminosità	明度
luminosità	光度
luminosità	輝度
luminosità	明度
luminosità	輝度
percezione	知覚
omosessualità	lgbt
omosessualità	同性愛
spirit	精神
spirit	スピリット
scatola	ボックス
mercury	水星
mercury	マーキュリー
mercury	水銀
cache	キャッシュ
triste	悲しい
triste	sad
intelligence	知能
ncaa	ncaa
preside	校長
preside	ディーン
preside	校長
preside	元本
etnica	民族
sospensioni	休止
sospensioni	サスペンション
manfredi	マンフレート
nervoso	緊張
nervoso	神経質
identico	同一
pazienza	我慢
pazienza	忍耐
pazienza	根気
stage	インターン
stage	インターンシップ
stage	舞台
stage	ステージ
chase	チェイス
nico	ニコ
muscolo	マッスル
muscolo	筋肉
integrata	統合
conversazione	会話
conversazione	スレッド
gomma	ラバー
gomma	ゴム
gomma	イレイザー
gomma	消しゴム
gomma	歯茎
gomma	ガム
aus	aus
ideologia	イデオロギー
pensando	考え
pensando	思考
plurale	複数
crazy	クレイジー
cattiva	バッド
cattiva	悪い
barocca	バロック
gottfried	ゴットフリート
kenya	ケニア
jet	ジェット機
jet	ジェット
epidemia	アウトブレイク
epidemia	伝染病
maratona	マラソン
burke	バーク
lettone	ラトビア
entusiasmo	熱意
pensi	シンク
infezione	伝染病
infezione	感染
demolizione	解体
benito	ベニート
élite	エリート
ferri	アイアンズ
carlotta	シャルロット
carlotta	カルロッタ
pirata	海賊
commedie	喜劇
commedie	コメディ
commedie	コメディー
lindsay	リンジー
heroes	ヒーローズ
heroes	heroes
schneider	シュナイダー
telescopio	望遠鏡
zombie	ゾンビ
zombie	ゾンビ
annessa	併合
bere	飲む
bere	飲み物
bere	ドリンク
bere	飲む
miracoli	奇跡
miracoli	ミラクル
miracoli	奇跡
sintetizzatore	シンセサイザー
sintetizzatore	シンセサイザー
sintetizzatore	シンセサイザー
eagle	ワシ
eagle	イーグル
uss	uss
nani	ナニ
nani	ドワーフ
nani	ドワーフ
nani	小人
mad	マッド
mad	mad
sally	サリー
umidità	水分
umidità	湿度
nascosta	隠し
normanni	ノーマン
once	オンス
once	一度
henderson	ヘンダーソン
prototipi	プロトタイプ
prototipi	プロトタイプ
immigrati	移民
immigrati	移民
aristotele	アリストテレス
lotto	バッチ
lotto	lot
lotto	ロット
utah	ユタ
stalin	スターリン
sintetico	合成
tiger	トラ
tiger	タイガー
pene	陰茎
pene	ペニス
elicotteri	ヘリコプター
complotto	プロット
complotto	陰謀
before	以前
insegnanti	教員
insegnanti	教師
valeria	ヴァレリー
esercizi	演習
comunica	コミュニケーション
panini	サンドイッチ
panini	サンドウィッチ
panini	サンドイッチ
ammirare	賞賛
dipendenze	依存
dipendenze	依存性
dipendenze	依存
ricky	リッキー
cartagine	カルタゴ
banchiere	銀行員
joshua	ヨシュア
manzoni	マンゾーニ
touch	タッチ
touch	touch
touch	触る
spirale	スパイラル
spirale	渦巻
foglio	シート
piste	スロープ
piste	傾き
occupati	占領
vietato	禁止
rispetta	尊敬
rispetta	尊重
rispetta	リスペクト
rispetta	敬意
cilindro	円柱
cilindro	シリンダー
irlandesi	アイリッシュ
posa	ポーズ
mercenari	傭兵
mercenari	傭兵
rimanenti	残り
rimanenti	残額
cugina	従姉妹
cugina	従兄弟
cugina	いとこ
migliorata	改良
peggiore	最悪
account	口座
account	アカウント
jefferson	ジェファーソン
imbarcazioni	ボート
sopravvissuto	サバイバー
elevati	高架
restauri	修復
restauri	復元
restauri	維新
police	警察官
police	ポリス
police	警察
efficiente	効率
eccesso	超過
delfino	ドルフィン
delfino	イルカ
still	スティル
still	それでも
still	まだ
berna	ベルン
berna	ベルヌ
living	リビング
living	living
cattolicesimo	カトリシズム
borghi	村落
christine	クリスティン
tiberio	ティベリウス
illustrazioni	挿絵
illustrazioni	イラスト
illustrazioni	イラスト
opus	opus
germain	ジェルマン
paperino	ドナルド
indossare	着る
indossare	摩耗
complesse	コンプレックス
complesse	錯体
complesse	複雑
rinforzi	援軍
rinforzi	バックアップ
funghi	キノコ
funghi	きのこ
funghi	マッシュルーム
funghi	キノコ
funghi	マッシュルーム
scenografia	風景
scenografia	景色
conservare	店舗
conservare	ストア
giuramento	宣誓
adolescente	teen
adolescente	十代
adolescente	ティーン
adolescente	ティーンエイジャー
debiti	債務
consistenza	テクスチャー
consistenza	テクスチャ
consistenza	一貫性
sparisci	消える
diacono	ディーコン
diciotto	十八
diciotto	eighteen
cavour	カヴール
than	より
matrimoni	ウェディング
matrimoni	結婚
matrimoni	ウェディング
matrimoni	結婚式
stampo	カビ
impossibilità	不能
redattore	エディタ
redattore	エディター
sorveglianza	監視
retrocesso	降格
abolizione	廃止
drama	ドラマ
grammatica	文法
seriamente	マジ
interruzione	中断
totò	トト
lenta	遅い
lenta	スロー
bordi	エッジ
bordi	エッジ
bordi	edge
derivazione	派生
ballerino	ダンサー
hand	ハンド
visconte	子爵
fibra	繊維
fibra	繊維
vaso	花瓶
cubano	キューバ
essenziali	essentials
essenziali	必需品
evangelista	エヴァンジェリスタ
evangelista	エバンジェリスト
convinzione	信仰
convinzione	信念
tel	tel
timore	恐怖
timore	恐れ
viaggiare	旅行
viaggiare	旅行
viaggiare	旅行
zoo	動物園
zoo	動物園
zoo	zoo
chimiche	化学
troia	トロイ
troia	イリオス
troia	ビッチ
noah	ノア
scadenza	満期
scadenza	締切
scadenza	締め切り
scadenza	期限
scadenza	失効
berkeley	バークリー
proteina	タンパク質
proteina	たんぱく質
cia	cia
desideri	欲望
desideri	wish
desideri	ウィッシュ
desideri	願いごと
desideri	欲望
sax	sax
sax	サックス
étienne	エティエンヌ
rituale	儀式
flying	飛ぶ
flying	フライング
logico	論理
logico	論理
pericolosa	危険
irregolare	不定期
irregolare	不規則
condiviso	共有
vena	静脈
middle	真ん中
middle	ミドル
legislazione	立法
acuto	急性
acuto	アキュート
restaurazione	修復
restaurazione	復元
restaurazione	維新
ride	乗る
ride	配車
sensazione	気分
sensazione	フィーリング
sensazione	感覚
matilde	マチルダ
federica	ジェニファー
legittimo	合法
limitare	制限
limitare	リミット
limitare	限界
interi	整数
interi	全体
interi	整数
spesa	出費
spesa	支出
spesa	費用
spesa	経費
farnese	ファルネーゼ
agrigento	アグリジェント
farfalla	チョウ
farfalla	バタフライ
crash	クラッシュ
crash	クラッシュ
mica	雲母
serbatoio	戦車
serbatoio	タンク
serbatoio	貯水池
ammasso	クラスタ
platone	プラトン
teen	teen
teen	十代
teen	ティーン
domingo	ドミンゴ
proprietaria	オーナー
proprietaria	所有者
seul	ソウル
miscela	混合物
miscela	ブレンド
acquisita	後天性
cetra	ツィター
lions	ライオン
lions	ライオンズ
casino	カジノ
pittrice	画家
tropicale	トロピカル
tropicale	熱帯
richmond	リッチモンド
paradise	パラダイス
paradise	楽園
monroe	モンロー
fly	fly
fly	ハエ
fly	フライ
fly	飛ぶ
triple	トリプル
controversie	紛争
controversie	論争
shin	シン
chance	チャンス
fabbriche	工場
consapevole	意識
follia	愚か
follia	狂気
follia	狂気
donatello	ドナテッロ
anita	アニタ
mosè	モーゼ
mosè	モーゼス
giudicare	ジャッジ
giudicare	裁判官
buddhismo	仏教
mole	モグラ
mole	ほくろ
strasburgo	ストラスブール
correlati	関連
abitudine	習慣
riscaldamento	暖房
iowa	アイオワ
distribuite	分散
peace	ピース
peace	平和
rilevato	検知
amare	愛する
amare	あつい
custode	キーパー
custode	ガーディアン
custode	後見人
custode	守衛
enrique	エンリケ
acquista	買う
acquista	購入
fluido	流体
mystery	ミステリー
gotica	ゴシック
buddha	ブッダ
buddha	仏陀
sudan	スーダン
sterline	ポンド
aperture	絞り
sostenitore	サポーター
annullamento	抹消
annullamento	キャンセル
annullamento	解除
tripoli	トリポリ
figc	figc
contenitore	容器
contenitore	コンテナ
mosaico	モザイク
samantha	サマンサ
gerardo	ジェラード
sodio	ナトリウム
casuale	ランダム
casuale	カジュアル
fascisti	ファシズム
fascisti	ファシズム
notti	ナイツ
rubare	盗む
rubare	窃盗
fbi	fbi
connazionale	田舎者
balletto	バレエ
vesti	ドレス
magna	マグナ
bestiame	家畜
bestiame	ウシ
risveglio	覚醒
editor	エディタ
editor	エディター
bass	バス
bass	ベース
corridoio	廊下
corridoio	回廊
corridoio	廊下
corridoio	通路
paraguay	パラグアイ
funerale	葬式
funerale	葬儀
mon	mon
aia	ハーグ
generation	世代
generation	ジェネレーション
bandiere	フラグ
bandiere	国旗
bandiere	フラグ
bandiere	国旗
athletic	アスレチック
ciro	キュロス
tram	トラム
celebrazioni	お祝い
celebrazioni	祝賀会
celebrazioni	お祝い
macerata	マチェラータ
dinosauri	恐竜
dinosauri	恐竜
hopkins	ホプキンス
africani	アフリカ
avvia	開始
avvia	始める
avvia	スタート
elica	プロペラ
elica	ヘリックス
elica	螺旋
richards	リチャーズ
celebra	祝う
botte	バレル
hernández	エルナンデス
warwick	ワーウィック
galassie	銀河
galassie	銀河系
difetti	フォールト
difetti	欠陥
difetti	瑕疵
difetti	欠陥
identica	同一
canone	手数料
canone	料金
canone	カノン
symphony	交響曲
symphony	シンフォニー
tendenze	トレンド
campus	キャンパス
alive	アライブ
prevenzione	予防
prevenzione	防止
preziosi	尊い
preziosi	precious
preziosi	貴重
perfect	パーフェクト
perfect	完璧
risonanza	共鳴
segnalazioni	アラート
capitali	資本
capitali	首都
capitali	キャピタル
moschea	モスク
solidarietà	連帯
equipaggiamento	道具
equipaggiamento	装備
equipaggiamento	機器
equipaggiamento	機材
concept	概念
concept	コンセプト
inside	インサイド
luogotenente	警部補
luogotenente	中尉
marittimo	海事
perfezione	完璧
espressi	エクスプレス
espressi	急行
nhl	nhl
melodia	メロディ
melodia	メロディー
melodia	メロディ
melodia	チューン
pagano	異教徒
giornalismo	ジャーナリズム
giornalismo	報道
casella	ボックス
miele	ハニー
miele	はちみつ
miele	蜂蜜
serba	セルビア
pierce	ピアス
pierce	ピアース
osservatori	オブザーバー
osservatori	オブザーバ
osservatori	オブザーバー
osservatori	オブザーバ
mclaren	マクラーレン
maledizione	呪い
protettore	プロテクター
midnight	ミッドナイト
midnight	真夜中
floyd	フロイド
mali	マリ
scavo	掘削
scavo	発掘
scavo	ディグ
scavo	掘る
atlante	アトラス
progressiva	プログレッシブ
appendice	付録
tracy	トレイシー
filtro	フィルタ
filtro	フィルター
raffreddamento	冷却
capanna	小屋
mhz	mhz
somme	合計
individuato	斑点
individuato	検知
formaggio	チーズ
conservatore	保守
rinnovato	リフォーム
ultra	ultra
ultra	ウルトラ
dipartimenti	学科
mouse	ねずみ
mouse	マウス
povera	かわいそう
catalogna	カタロニア
drew	ドリュー
arnaldo	アルナルド
lotus	ハス
lotus	ロータス
sankt	ザンクト
positive	陽性
positive	ポジティブ
solitario	孤独
solitario	寂しい
solitario	ソリティア
contingente	quota
cicli	サイクル
leggendario	伝説
rodrigo	ロドリゴ
antenati	先祖
antenati	先祖
riviera	riviera
fresco	フレッシュ
batteri	細菌
batteri	バクテリア
padroni	マスターズ
fast	速い
fast	高速
biologico	生物
biologico	有機
snow	スノー
snow	snow
alexandra	アレクサンドラ
vegetale	野菜
distrutti	破壊された
houten	ハウテン
sts	sts
why	なぜ
why	why
pianificazione	計画
pianificazione	企画
pianificazione	プランニング
moreno	モレノ
lynch	リンチ
brand	ブランド
brand	銘柄
vanessa	ヴァネッサ
sabina	サビーナ
miglioramenti	改良
miglioramenti	改善
official	公式
official	職員
esposizioni	展示
giungla	ジャングル
