ίκαρος	icarus
νιλ	neil
νιλ	neal
διορθώσεις	popravkov
διορθώσεις	popravki
διορθώσεις	popravki
πρόδρομος	predhodnik
μαρόκου	maroko
ιού	virus
ιού	virusa
ιού	virusi
φόρμα	oblika
φόρμα	obrazec
φόρμα	obliko
φόρμα	kombinezon
διαφορών	spori
διαφορών	spore
έζησαν	živel
έζησαν	živeli
έζησαν	živela
αδάμ	adam
έλλη	ellie
έλλη	elli
μιανμάρ	mjanmaru
προσφέρεται	ponujena
προσφέρεται	ponujenih
προσφέρεται	ponujene
προσφέρεται	ponujeni
προσφέρεται	ponujeno
προσφέρεται	ponudil
κλειστή	zaprto
κλειστή	zaprt
κλειστή	zaprte
κλειστή	zaprti
κλειστή	zaprta
γράφημα	graf
γράφημα	graf
εκτόξευση	izstrelitev
εκτόξευση	spuščanje
εκτόξευση	izstrelitev
ταϊλάνδη	tajska
ταϊλάνδη	tajsko
ταϊλάνδη	tajske
καπνού	tobak
ρόδος	rhodes
φάρμακο	zdravilo
φάρμακο	medicino
φάρμακο	medicina
φάρμακο	zdravilo
φάρμακο	droga
εκτελέσει	opravljanje
εκτελέσει	usmrtili
αιχμάλωτοι	ujetniki
αιχμάλωτοι	zaporniki
αιχμάλωτοι	ujetniki
χάμιλτον	hamilton
όμηρο	talec
όμηρο	talci
γυαλί	steklo
γυαλί	stekla
γυαλί	kozarec
γυαλί	steklena
κάτοικος	prebivalec
κάτοικος	prebivalec
ουδέτερη	nevtralno
ουδέτερη	nevtralni
ουδέτερη	nevtralen
ευγενής	plemič
ευγενής	plemenite
ευγενής	plemenit
ευγενής	plemenito
ευγενής	plemenita
ευγενής	plemeniti
τιμόρ	timor
ορυχεία	rudarstvo
ορυχεία	mine
παράθεση	citat
παράθεση	navedba
παράθεση	citat
εξόρυξη	ekstrakcijo
εξόρυξη	ekstrakcija
εξόρυξη	pridobivanje
εξόρυξη	črpanje
εξόρυξη	rudarstvo
ράιτ	wright
βόμβες	bombe
κλασσική	klasične
κλασσική	klasično
κλασσική	klasična
πόντοι	točki
πόντοι	točk
πόντοι	točke
πράκτορας	agentka
πράκτορας	zastopnik
πράκτορας	agent
επίδειξη	dokazovanje
επίδειξη	prikaz
επιδημία	epidemije
επιδημία	epidemijo
επιδημία	epidemija
επιδημία	izbruha
επιδημία	izbruh
πρωσία	prusija
πρεσβευτής	veleposlanik
πρεσβευτής	ambasador
σέρρες	serres
φόνο	umor
συχνότητες	pogostnosti
συχνότητες	frekvence
συχνότητες	pogostost
αμφιβολία	dvom
αμφιβολία	dvomi
ανταγωνισμού	konkurenca
ανταγωνισμού	tekmovanje
ανταγωνισμού	natečaj
μπενίν	benin
μέλισσα	čmrlj
μέλισσα	čebela
μέλισσα	čebelji
μέλισσα	bee
πορτογαλική	portugalski
πορτογαλική	portugalsko
πορτογαλική	portugalska
στέφαν	stefan
στέφαν	stephan
ινδονησίας	indonezijski
ινδονησίας	indonezije
ινδονησίας	indonezija
κινηματογράφους	kinih
αντεπίθεση	protinapad
βλάβες	lezij
βλάβες	lezije
κάμπελ	campbell
γλωσσολογία	jezikoslovje
χρονος	čas
χρονος	časa
λουίζα	louisa
λουίζα	luisa
μοτίβο	vzorec
ισοτιμία	enakost
ισοτιμία	enakopravnost
ισοτιμία	enakovrednosti
ισοτιμία	enakovrednost
κατηγοριοποίηση	kategorizacijo
μεταφραστής	prevajalec
σουηδικά	švedska
σουηδικά	švedsko
σουηδικά	švedski
παν	pan
παν	ponev
πες	povej
πες	povej
θάλασσες	morja
προγραμματισμός	razporejanje
προγραμματισμός	razporejanja
προγραμματισμός	načrtovanje
προγραμματισμός	programiranje
προγραμματισμός	urnik
προγραμματισμός	razpored
έβερτον	everton
κάρτερ	carter
κάρτερ	carterjeva
αρένα	arena
αρένα	areni
αρένα	areno
μπιν	bin
μπιν	koš
μπιν	bean
κίνητρα	motivacija
κίνητρα	motivacijo
κίνητρα	spodbude
κίνητρα	pobude
κίνητρα	spodbuda
κίνητρα	motive
κίνητρα	motivi
δεσμοί	vezi
δεσμοί	kravate
δεσμοί	povezave
δεσμοί	obveznice
δαχτυλίδι	prstan
δαχτυλίδι	ring
δαχτυλίδι	obroč
ολοκληρωμένο	integrirani
ολοκληρωμένο	integriran
ολοκληρωμένο	integrirana
ολοκληρωμένο	integrirano
ολοκληρωμένο	celostni
νύχτες	noči
ανακωχή	premirje
δέσποινα	despina
ψηφιακά	digitalnega
ψηφιακά	digitalna
ψηφιακά	digitalno
ψηφιακά	digitalni
ψηφιακά	digitalne
νέλσον	nelson
διαλύματα	rešitve
διαλύματα	raztopine
ανιψιός	nečak
ανιψιός	nečaka
κλήση	poklici
κλήση	pokliči
κλήση	klic
κλήση	pokličite
κλήση	kličem
κλήση	klicanje
κλήση	kliče
πρόνοιας	blaginja
πρόνοιας	blaginje
έπαυλη	dvorcu
έπαυλη	dvorec
παντρεμένη	poročeni
παντρεμένη	poročen
παντρεμένη	poročena
ενδοχώρα	notranjost
ενδοχώρα	celinskih
ενδοχώρα	kopno
ενδοχώρα	celina
ενδοχώρα	celino
ουίλιαμς	williamsa
ουίλιαμς	williams
χιόνι	snega
χιόνι	sneg
μοναχούς	menihov
μοναχούς	meniha
μοναχούς	menihi
αυστριακοί	avstrijci
ανατομία	anatomijo
σχεδιασμένο	zasnovan
σχεδιασμένο	zasnovana
σχεδιασμένο	načrtovan
σχεδιασμένο	načrtovani
σχεδιασμένο	načrtovana
σχεδιασμένο	načrtovano
σχεδιασμένο	načrtovane
δαπάνες	izdatki
μπαχρέιν	bahrajnu
γένη	rodov
δίδασκε	naučil
έτοιμος	pripravljeni
έτοιμος	pripravljena
έτοιμος	pripravljen
συνεχόμενα	neprekinjeno
εξασφαλίζει	zagotavlja
επικίνδυνο	nevarno
επικίνδυνο	nevaren
επικίνδυνο	nevarne
επικίνδυνο	nevarni
επικίνδυνο	nevarna
επικίνδυνο	nevarni
επικίνδυνο	nevarne
επικίνδυνο	nevarna
υπέφερε	trpel
υπέφερε	trpela
επιπλοκές	zapleti
επιπλοκές	zaplet
επιπλοκές	zaplete
επιπλοκές	zapletov
επιπλοκές	zapleti
δρομολόγια	proge
δρομολόγια	poti
δρομολόγια	poteh
ντεπορτίβο	deportivo
όρκο	zaobljuba
όρκο	zaobljubo
όρκο	prisega
όρκο	prisego
προειδοποίηση	opozorilo
λύρα	lyra
έβδομο	sedmi
έβδομο	sedma
έβδομο	seventh
έβδομο	sedmo
έβδομο	sedmega
νοημοσύνη	inteligenca
νοημοσύνη	obveščevalna
νοημοσύνη	razum
ανησυχία	nemir
ανησυχία	skrb
ανησυχία	zaskrbljenost
ιστούς	tkiva
ιστούς	tkivih
ιστούς	tkiv
ξύλινο	lesen
ξύλινο	leseno
ξύλινο	lesena
ξύλινο	leseni
επιλέγει	izbere
οκλαχόμα	oklahoma
πάχος	debeline
πάχος	debelino
πάχος	debelina
θάρρος	pogum
ενεργός	aktivna
ενεργός	dejavno
ενεργός	aktiven
ενεργός	aktivni
ενεργός	aktivno
αδύνατη	nemogoče
αερολιμένας	letališče
δεσμός	afera
δεσμός	afero
δεσμός	druženja
δεσμός	link
δεσμός	poveži
δεσμός	povezava
δεσμός	vez
δεσμός	bond
σεξ	seks
σεξ	spol
σεξ	sex
περιοδείες	ogledi
περιοδείες	izleti
άλφα	alpha
άλφα	alfa
άλφα	alfa
εχθρός	sovražnik
εχθρός	sovražniki
νεολιθική	neolitika
γκαμπόν	gabon
γκαμπόν	gabona
πρόοδος	progress
πρόοδος	napredek
συγγνώμη	žal
λογοκρισία	cenzuro
μικτή	mešani
μικτή	mešana
μικτή	mešane
μικτή	mešano
οφέλη	koristi
οφέλη	zaslužki
οφέλη	dajatve
οφέλη	ugodnosti
γκόγια	goya
σοφοκλή	sofoklej
κανονισμούς	uredbe
κανονισμούς	predpisi
κέντρων	središča
κέντρων	centrov
κέντρων	centri
κέντρων	centre
αναστολή	opustitev
αναστολή	suspenzija
αναστολή	prekinitev
αναστολή	zaviranja
αναστολή	zaviranje
αναστολή	prekinjeno
αναστολή	prekinjena
ομιλίες	govore
ομιλίες	govorov
διέκοψε	prekinjen
διέκοψε	prekinjeno
διέκοψε	prekinjena
συνεργάτη	partnerja
συνεργάτη	partner
συνεργάτη	partnerka
αμυντική	obrambno
αμυντική	obrambna
αμυντική	obrambne
αμυντική	obrambni
κίνητρο	motiv
κίνητρο	motivacija
κίνητρο	motivacijo
κίνητρο	spodbuda
χάρολντ	harold
απέδωσε	pripisala
απέδωσε	dodeljena
βουδαπέστη	budimpešti
ανταρκτική	antarktiki
ανταρκτική	antarktiko
αλάτι	sol
αλάτι	soli
ορλεάνης	orleans
σιτάρι	pšenični
σιτάρι	pšenica
σιτάρι	pšenico
σιτάρι	pšenice
άστρο	astro
διάσωση	reševalna
διάσωση	reševanje
πινακίδες	tablice
πινακίδες	krožniki
πινακίδες	plošče
πινακίδες	znamenja
πινακίδες	znake
πινακίδες	znaki
πινακίδες	znakov
γκλεν	glen
γκλεν	glenn
γκλεν	glenn
μονάρχης	monarh
δούλευε	delovalo
δούλευε	obdelani
δούλευε	delal
μελωδία	melody
μελωδία	melodija
μελωδία	melodijo
μελωδία	melodija
μελωδία	melodijo
μυστήριο	skrivnost
μάνα	mater
μάνα	mamo
μάνα	mati
τοιχογραφία	fresco
τοιχογραφία	freska
γλωσσική	jezikovno
διαδοχικές	zaporedna
διαδοχικές	zaporedni
ουρανός	sky
ουρανός	nebo
ουρανός	nebo
μειώσει	zmanjšanje
μειώσει	zmanjšati
μόλυνση	onesnaževanje
μόλυνση	onesnaženje
μόλυνση	okužbe
μόλυνση	okužba
μόλυνση	kontaminacije
μόλυνση	onesnaženje
μόλυνση	kontaminacijo
δημοσιότητα	reklamo
ιατρικό	medicinski
ιατρικό	medicinsko
προθέσεις	nameni
προθέσεις	namere
μπουρούντι	burundiju
ταυτόχρονη	sočasno
ταυτόχρονη	sočasne
ταυτόχρονη	sočasni
ταυτόχρονη	sočasna
ταυτόχρονη	sočasno
ταυτόχρονη	sočasne
ταυτόχρονη	hkratno
λιθίου	litija
λιθίου	litij
τυχαίο	naključna
τυχαίο	naključno
τυχαίο	naključni
τυχαίο	naključen
τυχαίο	nenamerno
πολιτισμούς	kulture
πολιτισμούς	kultur
λεωνίδα	leonidas
μαλάουι	malavi
επιθετική	agresivno
επιθετική	agresivne
επιθετική	agresiven
σιδηροδρόμων	železnice
σιδηροδρόμων	železniški
σιδηροδρόμων	železnica
σιδηροδρόμων	železnice
άχρωμο	brezbarvna
αφρικανική	afriški
αφρικανική	afriška
αφρικανική	afriške
αφρικανική	afriško
σπουδαιότητα	pomembnost
παρατηρητές	opazovalci
παρατηρητές	opazovalci
κέλυφος	shell
κέλυφος	lupino
κέλυφος	lupina
κέλυφος	školjka
μπάρτον	burton
μπάρτον	barton
έντι	eddie
έντι	eddy
μπουρκίνα	burkina
φάσο	faso
πορτρέτα	portrete
κάρτες	kartice
κάρτες	kartic
κάρτες	karte
πληρώσει	plača
πληρώσει	plačilo
ελίτ	elita
ελίτ	elite
ελίτ	elito
μύτη	nosom
μύτη	nosu
μύτη	nos
έπαθλο	nagrada
έπαθλο	nagrado
ναυτικός	mornarja
ναυτικός	mornar
ναυτικός	mornar
ναυτικός	navtičnih
ναυτικός	pomorščak
ναυτικός	mariner
τζέρσεϊ	dres
τζέρσεϊ	jersey
ιερή	sveta
ιερή	svete
ιερή	sveto
απολιθώματα	fosili
βασιλεύς	king
βασιλεύς	kralj
μις	gospodična
μις	miss
μορφοποίησης	oblikovanje
ουράς	rep
ουράς	tail
ιός	virus
ιός	virusa
ιός	virusi
ενώνει	združuje
μαχητικό	borka
μαχητικό	borca
μαχητικό	borec
επίπεδη	ravna
επίπεδη	stanovanje
όντα	bitja
γιατρό	zdravnik
γιατρό	zdravnika
γιατρό	zdravnica
γιατρό	doktor
πάμπλο	pablo
σαντ	peska
σαντ	peščena
σαντ	pesek
σαντ	peščeni
σαντ	sant
σαντ	čepa
τοπικός	krajevna
τοπικός	krajevni
τοπικός	lokalni
τοπικός	krajevno
τοπικός	lokalno
προτιμούν	raje
προκλήθηκε	povzročena
προκλήθηκε	povzročila
προκλήθηκε	povzročil
προκλήθηκε	povzročeno
βίαια	nasilno
βίαια	nasilen
βίαια	nasilna
βίαια	nasilne
βίαια	nasilni
βίαια	nasilno
επηρεάζεται	vplival
επηρεάζεται	prizadeta
επηρεάζεται	prizadetih
επηρεάζεται	prizadete
επηρεάζεται	prizadeti
επηρεάζεται	prizadet
επηρεάζεται	prizadeto
ξενοδοχεία	hotele
ξενοδοχεία	hoteli
ξενοδοχεία	hotelov
συγκριτικά	primerjalno
συγκριτικά	primerjalne
συγκριτικά	primerjalna
πρώιμο	prezgodaj
αποθήκη	skladišče
αποθήκη	skladiščenje
αποθήκη	skladišče
αποθήκη	shranjevanje
εντέρου	črevo
εντέρου	črevesje
νιγηρίας	nigerijski
νιγηρίας	nigeriji
λάζαρος	lazarus
λάζαρος	lazar
ζωές	živi
ζωές	življenja
σημάδι	podpišite
σημάδι	znak
μοριακό	molekularni
μοριακό	molekularno
ψήφισμα	ločljivost
ψήφισμα	resolucija
υπουργών	ministri
συνταγματαρχών	polkovniki
αποφευχθεί	izognili
αποφευχθεί	izogibati
αποφευχθεί	izognil
βρύση	pipa
βρύση	pipe
ενδιαφέρεται	zanima
ενδιαφέρεται	zainteresirani
ενδιαφέρεται	zainteresirana
ενδιαφέρεται	zainteresirane
ώθηση	potisk
ώθηση	potiska
ώθηση	zagon
εξασφαλίζοντας	zagotavljanje
λας	las
βικτώρια	viktorija
βικτώρια	victoria
λευκορωσία	belorusijo
λευκορωσία	belorusije
λευκορωσία	belorusiji
λευκορωσία	belorusija
πλέγμα	mrežo
πλέγμα	mreža
πλέγμα	omrežje
λένινγκραντ	leningrad
ντιέγκο	diego
κατοικεί	prebiva
απεικονίζονται	upodobljen
μάνη	mani
πρώτον	prva
πρώτον	prvo
πρώτον	prvi
πρώτον	najprej
δημοσιογραφία	novinarstvo
ρυθμίσεις	ureditve
ρυθμίσεις	dogovori
ρυθμίσεις	ureditev
ρυθμίσεις	nastavitve
ρυθμίσεις	nastavitev
ρυθμίσεις	nastavitve
δένδρα	dreves
δένδρα	drevje
δένδρα	drevesa
δεκτός	sprejeta
δεκτός	sprejete
δεκτός	sprejet
δεκτός	sprejeto
συντρόφους	tovariši
κολύμβηση	kopalnih
κολύμβηση	kopanje
κολύμβηση	plavanje
κολύμβηση	plavanja
υπερβαίνει	presega
ανέβηκαν	naloženo
ανέβηκαν	naložene
ανέβηκαν	naložil
καλοκαίρια	summers
καλοκαίρια	poletja
δουλεία	suženjstvo
δουλεία	suženjstvo
δουλεία	suženjstvu
αναλύσεις	analize
νηπιαγωγείο	vrtca
νηπιαγωγείο	vrtec
νηπιαγωγείο	vrtcu
νηπιαγωγείο	vrtec
χρέος	dolga
χρέος	dolg
μειωμένη	zmanjšani
μειωμένη	zmanjšana
μειωμένη	zmanjšano
μειωμένη	zmanjšan
μειωμένη	znižana
μειωμένη	zmanjšana
μειωμένη	zmanjšan
μειωμένη	zmanjšan
μειωμένη	zmanjšana
μειωμένη	znižana
μειωμένη	zmanjšano
μειωμένη	zmanjšani
πιτ	pete
υπεύθυνοι	odgovorno
υπεύθυνοι	odgovornega
υπεύθυνοι	odgovoren
υπεύθυνοι	odgovorni
υπεύθυνοι	odgovorna
βαυαρία	bavarski
βαυαρία	bavarska
νεκρή	mrtev
σεβίλλη	sevilla
σεβίλλη	seville
άσυλο	azil
κέρδος	dobiček
κέρδος	pridobi
σιέρα	sierra
πολωνός	poljsko
πολωνός	poljskega
πολωνός	poljski
θησαυρός	zaklad
θησαυρός	slovarja
χάος	kaos
κλαδιά	vejice
κλαδιά	veje
κλαδιά	podružnice
λεπτή	vitka
λεπτή	tanke
λεπτή	tanka
λεπτή	tanko
λεπτή	tanek
λεπτή	občutljivo
σουηδός	švedska
σουηδός	švedsko
σουηδός	švedski
σουηδός	šved
υιοθέτηση	posvojitve
υιοθέτηση	sprejetje
υιοθέτηση	posvojitev
σινά	sinai
αυτιά	ušes
αυτιά	ušesi
αυτιά	ušesa
κατάρ	katar
ευρεσιτεχνίας	patent
απόσπαση	dodelitev
απόσπαση	napotitvi
απόσπαση	objavljanje
μαλαισία	malezija
μαλαισία	malezije
μηχανήματα	stroji
μηχανήματα	stroji
πληροφορική	informatike
ποντίκι	miš
ποντίκι	miška
ποντίκι	miško
ποντίκι	mišek
ποντίκι	miške
μίλερ	miller
μίλερ	muller
πυκνό	koncentrat
πυκνό	gosto
ύφασμα	krpo
ύφασμα	tkanine
ύφασμα	tkanino
συμβουλή	svetovanje
συμβουλή	nasvet
συμβουλή	nasveti
συμβουλή	namig
συμβουλή	nasvet
σφάλματα	napake
σφάλματα	napake
σφάλματα	hrošče
σφάλματα	žuželke
σφάλματα	hrošči
συντελεστή	koeficient
προσευχή	molitev
άνταμς	adams
μεσημέρι	opoldne
μεσημέρι	poldne
μεσημέρι	kosila
μεσημέρι	kosilo
ήξερε	vedel
ήξερε	vedela
θυγατρική	podružnica
διαφυγής	pobeg
διαφυγής	beg
ρομπ	rob
νευρικό	živčni
νευρικό	živčno
νευρικό	živčna
νευρικό	živčen
σουηδική	švedska
σουηδική	švedsko
σουηδική	švedski
τρένο	vlak
αιθιοπίας	etiopski
κιριμπάτι	kiribati
βολιβία	boliviji
κύκλοι	krogi
κύκλοι	kroge
κύκλοι	krogov
κύκλοι	ciklov
κύκλοι	cikli
μεσαίο	sredina
μεσαίο	srednji
μεσαίο	srednja
μεσαίο	srednje
μεσαίο	srednja
μεσαίο	gojišče
κάμερον	cameron
θεώρηση	vize
θεώρηση	vizuma
θεώρηση	vizum
φόβος	strah
κατασκευαστές	izdelovalci
κατασκευαστές	proizvajalci
προωθεί	spodbuja
περίχωρα	obrobju
τροχιές	orbite
αρχικώς	sprva
αρχικώς	prvotno
αρχικώς	prvotno
καζάν	kazan
κατάθλιψη	potrt
κατάθλιψη	depresiven
κατάθλιψη	depresivno
κατάθλιψη	depresija
φανερό	očitno
φανερό	očiten
φανερό	očitna
ουδετερότητα	nevtralnost
ουδετερότητα	nevtralnosti
επιβάλει	uveljavi
λοιπά	drugi
λοιπά	drugo
λοιπά	druga
λοιπά	druge
άλεν	allen
αλεξέι	aleksej
βλαχίας	vlaške
όραση	vid
όραση	vizija
όραση	vida
όραση	vidu
όραση	vid
όραση	vizijo
παρατηρητή	opazovalec
παρατηρητή	opazovalka
παρατηρητή	opazovalca
βαρβάρα	varvara
χρήστο	christo
σκληρός	krut
σκληρός	kruto
σκληρός	kruti
σκληρός	kruta
σκληρός	trde
σκληρός	težko
σκληρός	trdo
σκληρός	težko
διπλωμάτες	diplomati
νάνος	palček
νάνος	palček
νάνος	škrat
κατανοητό	razumljiva
κατανοητό	razumljivo
κατανοητό	razumljiv
κλάδοι	veje
κλάδοι	podružnice
κλάδοι	sektorji
κλάδοι	sektorje
αλβανική	albansko
αναγκαίο	potrebno
προαγωγή	promocije
προαγωγή	promocijo
προαγωγή	napredovanje
προαγωγή	spodbujanje
προαγωγή	promocija
επιβίωση	preživi
επιβίωση	preživeti
επιβίωση	preživetje
επιβίωση	obstanek
ερυθρά	rdečkam
γιορκ	yorku
γιορκ	york
γιορκ	yorka
λιλ	lil
λιλ	lille
εξαιρετικό	odličen
εξαιρετικό	odlično
αισθήματα	čustva
αισθήματα	čustev
αισθήματα	občutki
αισθήματα	čustev
αισθήματα	čustva
αισθήματα	občutke
εκδότες	založniki
εκδότες	uredniki
εκδότες	izdajatelji
ομάν	oman
πρόσθεση	dodajanje
πρόσθεση	dodajanje
φίλτρο	filter
φίλτρο	filtriranje
φίλτρο	napoj
φίλτρο	napitek
ηγούμενος	predhodna
ηγούμενος	opat
ομπάμα	obama
καγκελάριος	kanclerja
καγκελάριος	kancler
προσέλαβε	najel
προσέλαβε	najeti
προσέλαβε	najeta
καραϊβική	karibih
μεταμόρφωση	preobrazbo
μεταμόρφωση	preoblikovanje
μεταμόρφωση	transformacije
μεταμόρφωση	preobrazba
θεμελιώδη	temeljno
θεμελιώδη	temeljna
κίεβο	kijevu
πραγματοποίηση	spoznanje
συμβάν	incident
συμβάν	dogodek
συμβάν	prireditev
συμβάν	dogodka
βρείτε	poišči
βρείτε	najdi
διαμαρτυρίες	proteste
διαμαρτυρίες	protesti
ανεγέρθηκε	postavljene
ανεγέρθηκε	postavljen
δίωξη	preganjanje
δίωξη	preganjanja
δίωξη	pregon
δίωξη	dea
δίωξη	tožilstvo
δίωξη	pregon
κλασικά	klasike
κλασικά	klasične
κλασικά	klasično
κλασικά	klasična
κλασικά	klasika
κλασικά	klasično
κλασικά	klasična
κλασικά	klasičen
κλασικά	klasični
δυναμικά	dinamično
δυναμικά	dinamika
δυναμικά	dinamična
δυναμικά	dinamični
δυναμικά	dinamično
δυναμικά	dinamičen
ήθη	morale
ήθη	moralo
άντι	andie
άντι	andi
άντι	andy
τεχνικός	tehnik
τεχνικός	tehnika
χτύπησε	zadetek
χτύπησε	hit
χτύπησε	udaril
τέρας	zver
τέρας	zveri
τέρας	pošast
κατακτητές	osvajalci
οπαδός	sledilec
οπαδός	privrženec
μεμβράνη	film
μεμβράνη	membrano
μεμβράνη	membrane
εισιτήριο	karta
εισιτήριο	vozovnica
εισιτήριο	karto
εισιτήριο	vozovnico
εισιτήριο	vstopnica
εισιτήριο	srečka
βεβαιότητα	gotovost
παράλληλες	vzporedno
παράλληλες	vzporedni
παράλληλες	vzporedna
αλφαβητική	abecedni
αποκαλύπτεται	razkrije
αποκαλύπτεται	razkriva
αποκαλύπτεται	odkriva
αποκαλύπτεται	razkril
αποκαλύπτεται	pokazala
αποκαλύπτεται	razkrili
αποκαλύπτεται	razkrita
αποκαλύπτεται	razkrila
πέταξε	leti
πέταξε	fly
πέταξε	poletela
πέταξε	leteti
πέταξε	letel
πέταξε	poletela
πέταξε	letela
αριζόνα	arizona
αριζόνα	arizono
τίτο	tito
αύριο	jutri
αιγύπτιοι	egipčani
λίνκολν	lincoln
ιόντων	ionov
ιόντων	ionski
σίνα	sheena
συντελεστής	koeficient
συντελεστής	mera
συντελεστής	stopnja
συντελεστής	dejavnik
συντελεστής	faktor
μισά	polovici
μισά	polovice
μισά	pol
μισά	polovica
μισά	polovico
κληρικός	svečenik
κληρικός	duhovnik
διευθύνσεις	naslovi
επιβεβαιώθηκε	potrjen
επιβεβαιώθηκε	potrjeno
επιβεβαιώθηκε	potrjeni
επιβεβαιώθηκε	potrjena
παλέρμο	palermu
ρητορική	retorika
ρητορική	retorično
ποταμούς	rek
ποταμούς	reke
διαφορική	diferencialno
πρύτανης	rektor
εβραϊκό	judovski
εβραϊκό	židovski
