τιμά	honors
νευρικό	nerviós
σουηδική	suec
τρένο	tren
αιθιοπίας	etíop
κιριμπάτι	kiribati
βολιβία	bolívia
κύκλοι	cercles
κύκλοι	cicles
μεσαίο	mitjà
κάμερον	cameron
θεώρηση	visats
θεώρηση	visat
φόβος	temor
φόβος	fear
φόβος	por
κολωνία	colònia
βαθμίδα	grada
κατασκευαστές	fabricants
προωθεί	promou
τροχιές	trajectòries
αρχικώς	inicialment
αρχικώς	originàriament
αρχικώς	originalment
καζάν	kazan
κατάθλιψη	depressió
φανερό	obvi
φανερό	evident
ουδετερότητα	neutralitat
επιβάλει	imposar
λοιπά	altres
άλεν	allen
αλεξέι	aleksei
βλαχίας	valàquia
όραση	visió
παρατηρητή	observador
βαρβάρα	varvara
εκδηλώθηκε	manifestada
χρήστο	christo
σκληρός	cruel
σκληρός	hard
σκληρός	dura
σκληρός	dur
αφαίρεσης	takedown
πρωταγωνιστεί	protagonitzat
κατανοητό	entès
κατανοητό	comprensible
κλάδοι	branques
κλάδοι	sectors
αλβανική	albanesa
αναγκαίο	necessàries
προαγωγή	promoció
επιβίωση	sobreviure
επιβίωση	supervivència
ερυθρά	rubèola
γιορκ	york
λιλ	lil
λιλ	lille
εξαιρετικό	exquisida
εξαιρετικό	exquisit
αισθήματα	emocions
αισθήματα	sentiments
εκδότες	editorials
εκδότες	editors
εκδότες	redactors
εκδότες	emissors
ομάν	oman
πρόσθεση	sumant
φίλτρο	filtre
φίλτρο	poció
ηγούμενος	prior
ηγούμενος	abat
ομπάμα	obama
καγκελάριος	canceller
προσέλαβε	contractat
προσέλαβε	contractats
καραϊβική	carib
μεταμόρφωση	metamorfosi
μεταμόρφωση	transformació
μεταμόρφωση	transformada
μεταμόρφωση	transformar
μεταμόρφωση	transforma
κίεβο	kíev
πραγματοποίηση	realització
πραγματοποίηση	concreció
συμβάν	incident
συμβάν	esdeveniment
βρείτε	troba
βρείτε	trobi
βρείτε	trobeu
διαμαρτυρίες	protestes
δίωξη	persecució
δίωξη	dea
δίωξη	fiscalia
κλασικά	classics
κλασικά	clàssics
κλασικά	clàssica
κλασικά	classic
κλασικά	clàssic
δυναμικά	dinàmic
δυναμικά	dinàmica
ήθη	moral
άντι	andie
άντι	andi
άντι	andy
άντι	addy
τεχνικός	tècnic
χτύπησε	encertar
χτύπησε	hit
τέρας	bèstia
τέρας	monster
τέρας	monstre
κατακτητές	conqueridors
μεμβράνη	film
μεμβράνη	membrana
εισιτήριο	bitllet
βεβαιότητα	certesa
αλφαβητική	alfabètic
αποκαλύπτεται	revela
αποκαλύπτεται	revelat
πέταξε	fly
αριζόνα	arizona
τίτο	tito
αύριο	demà
αιγύπτιοι	egipcis
λίνκολν	lincoln
ιόντων	ió
σίνα	sheena
μεταφέρονται	transportat
μεταφέρονται	transportats
συντελεστής	coeficient
συντελεστής	taxa
συντελεστής	factor
μισά	meitats
μισά	meitat
μισά	half
κληρικός	clergue
διευθύνσεις	adreces
επιβεβαιώθηκε	confirmat
παλέρμο	palerm
ρητορική	retòrica
ποταμούς	rius
διαφορική	diferencial
πρύτανης	rector
εβραϊκό	jueva
εβραϊκό	jueu
εβραϊκό	hebreu
δημιουργό	creador
θάνος	thanos
φόρους	impostos
ακριβείς	precisa
ακριβείς	precís
ευγενή	noble
δίδυμο	duo
δίδυμο	bessó
δίδυμο	twin
ουάσιγκτον	washington
γαλάζιο	blau
οικολογία	ecologia
πτώμα	cos
πτώμα	cadàver
ερωμένη	amant
διασπορά	dispersió
διασπορά	variància
διασπορά	difusió
τήνου	tinos
καύση	cremar
καύση	crema
καύση	combustió
καύση	cremant
καύση	incineració
λετονίας	letònia
υπόγειο	soterrani
ποινές	sancions
ποινές	frases
αντίστροφο	reverteix
ίντερνετ	internet
παρέχοντας	aportant
πεκίνο	pequín
πεκίνο	beijing
ανοίγματα	obertures
κρύο	fred
ψηφοφόροι	electors
ψηφοφόροι	votants
διάλογος	diàleg
αντάντ	adad
τατζικιστάν	tadjikistan
εδα	dyp
σάιμον	simó
σάιμον	simon
σάιμον	simón
χαλκό	coure
ουρουγουάης	uruguai
χαρακτηρισμός	caracterització
τρύπες	forats
άμμο	sorra
αποθήκες	magatzems
πλάσμα	plasma
πλάσμα	criatura
κλειδιά	claus
κλειδιά	tecles
ισλαμικό	islàmic
ισλαμικό	islàmica
δικαστής	jutge
δικαστής	jutjar
δικαστής	magistrat
φρούρια	fortaleses
μήκη	longituds
τοπολογία	topologia
πολωνοί	polonès
πολωνοί	polonesos
πράσινοι	verds
άξονες	eixos
αυτοκινητόδρομος	autopista
βίβλο	bíblia
πιέτρο	pietro
μπρόντγουεϊ	broadway
κάθετη	vertical
βίκτωρ	viktor
βίκτωρ	víctor
βίκτωρ	victor
πράσινα	green
πράσινα	verd
θιβέτ	tibetà
θιβέτ	tibet
σχεδιαστές	dissenyadors
σχεδιαστές	urbanistes
καλλιτεχνικές	artístic
καλλιτεχνικές	artística
καλλιτεχνικές	artístics
προσωπικός	personals
αναλογίες	proporcions
αναλογίες	ràtios
δωρεές	donatius
δωρεές	donacions
ακριβές	precisa
ακριβές	precís
ακριβές	exacte
ακριβές	exactes
μεσοποταμία	mesopotàmia
νοσοκομεία	hospitals
καρδινάλιος	cardenal
επώνυμα	cognoms
παραδοσιακός	tradicional
παραδοσιακός	tradicionals
αποφασιστική	decisiu
επιλεγμένα	seleccionat
επιλεγμένα	seleccionats
αγγελική	angelica
αγγελική	angelic
προτιμήσεις	preferències
έλξης	tracció
έλξης	atracció
ψήφισαν	votat
τσώρτσιλ	churchill
ομαλή	suau
κληρικοί	clergues
εξυπηρέτηση	servei
τζέρι	gerry
τζέρι	jerry
παραμύθια	tales
παραμύθια	contes
ρούζβελτ	roosevelt
ενορίες	parròquies
κανόνια	canons
κανόνια	canó
γάμους	casaments
γάμους	bodes
γάμους	matrimonis
μελετήσει	estudiat
παρασκευάζεται	fabricat
παρασκευάζεται	fabricats
γλυκά	llaminadures
γλυκά	candy
γλυκά	caramel
γλυκά	dolç
γλυκά	dolços
γλυκά	dolça
αδριατική	adriatic
ολόκληρα	sencer
ολόκληρα	sencera
ταφή	enterrament
μονπελιέ	montpeller
σεραφείμ	serafín
εκπομπών	emissió
φλοιό	escorça
μακάμπι	maccabi
ιντερτότο	intertoto
ανώνυμη	anònim
ανώνυμη	anonymous
ανώνυμη	anònims
ομιλητές	altaveus
ομιλητές	parlants
πρωταγωνίστρια	protagonista
πεπερασμένο	finit
εισοδήματος	ingrés
εισοδήματος	ingressos
μεγαλώνει	creixent
μεγαλώνει	creix
κόλπους	badies
δανιήλ	daniel
φαρμακευτική	farmacèutica
συνδρομή	assistència
συνδρομή	subscripció
καππαδοκίας	capadòcia
ετιέν	etienne
παραδόθηκαν	entregat
παραδόθηκαν	lliurat
παραδόθηκαν	rendit
κορμό	tors
δραματικά	dramàtica
ναυτικά	nàutica
τροία	troy
τροία	troia
ιωνία	jònia
κατάλαβε	entendre
αμμωνία	amoníac
διευκολύνει	facilita
διευκολύνει	facilitarà
διευκολύνει	facilitar
καθολικών	catòlics
τρότσκι	trotski
αρετή	virtut
ηφαίστεια	volcans
κωμωδίες	comedies
σουτ	disparat
εντυπώσεις	impressions
συγκεντρώθηκαν	reunides
συγκεντρώθηκαν	reunits
αιχμαλώτους	captius
κλικ	clic
κλικ	clics
θρύλο	llegenda
θρύλο	legend
προτροπή	indicatiu
προτροπή	cta
επιτυχής	èxit
δεκαέξι	setze
φρεντ	fred
μπραντ	brad
έλεν	ellen
έλεν	helen
ορίσει	designen
ορίσει	designarà
ορίσει	designar
κομητείες	comarques
χαμ	hamm
χαμ	pernil
χαμ	ham
εκκεντρότητα	excentricitat
διάσωσης	rescat
διάσωσης	salvament
σιγκαπούρη	singapur
σιγκαπούρη	singapore
δασκάλους	mestres
δασκάλους	professors
δασκάλους	docents
δασκάλους	professorat
λάρνακα	làrnaca
κολοράντο	colorado
λαχανικά	vegetals
λαχανικά	hortalisses
λαχανικά	verdures
λαχανικά	verdura
απαγορεύει	prohibeix
ευτυχία	felicitat
αντιμετώπισης	afrontament
συνδεδεμένο	connectat
συνδεδεμένο	enllaçat
κρεβάτι	llit
τομπάγκο	tobago
βικτόρια	victòria
βικτόρια	victoria
μειονέκτημα	handicap
μειονέκτημα	desavantatge
μειονέκτημα	desavantatge
υεμένης	iemen
βέλος	arrow
βέλος	fletxa
μαγεία	màgia
μαγεία	bruixeria
αστυνομικός	cop
σίδνεϊ	sydney
επιχειρησιακή	operatiu
επιχειρησιακή	operatius
επιχειρησιακή	operativa
ικανή	capaç
ικανή	capaces
ικανή	capaços
έβανς	evans
απομνημονεύματα	memòries
βίκι	vicky
βίκι	vicki
μήνας	mes
φυσιολογικά	normalment
στάθμη	nivell
απότομα	bruscament
ρουμανική	romanès
στέλλα	stella
δικηγόροι	lletrats
δικηγόροι	advocats
κατάλοιπα	residu
κατάλοιπα	residual
σπουδαστές	estudiants
σπουδαστές	alumnat
σπουδαστές	alumnes
παύση	pausada
παύση	pausa
λετονία	letònia
αργίες	festes
αργίες	festius
αργίες	vacances
εισαγγελέας	fiscal
νταβίντ	david
περιστάσεις	circumstàncies
κατοικούσε	residit
γραφική	gràfica
κάρολ	carol
κάρολ	carroll
χωρισμένη	divorciat
μπαρμπούντα	barbuda
διαφορετικοί	diferent
διαφορετικοί	diferents
χένρυ	enric
χένρυ	henry
συμβολική	simbòlica
συμβολική	simbòlics
συμβολική	simbòlic
κλειστά	tancat
ρύζι	arròs
σελίμ	selim
χαβάη	hawaii
αποζημίωση	compensació
αποζημίωση	indemnització
πρόσφατο	recents
πρόσφατο	recent
κόμβος	node
επιθυμητό	desitjada
επιθυμητό	desitjat
επιθυμητό	desitjats
επιθυμητό	desitjable
πρίγκηπας	príncep
πρίγκηπας	prince
κωμικός	comic
κωμικός	humorista
τομέ	tomé
κρατήρα	cràter
καλησπέρα	vespre
μάη	maig
χάγη	haia
υποδομές	infraestructures
υποδομές	infraestructura
υποδομές	infraestructures
καθοριστικό	decisiu
ρέιντζερς	rangers
σκι	esquís
σκι	esquí
εβδομαδιαία	setmanal
εβδομαδιαία	setmanals
καθορίζουν	definir
καθορίζουν	defineix
μίτσελ	mitchell
βανουάτου	vanuatu
πλούσιος	ric
πλούσιος	rich
πλούσιος	rics
παρακολούθησης	monitoratge
ευημερία	prosperitat
φυματίωση	tuberculosi
βρυξελλών	brussels
υποκατηγορίες	subcategories
προηγήθηκε	precedit
ανάσταση	resurrecció
μπαρμπάντος	barbados
τρινιντάντ	trinidad
τρινιντάντ	trinitat
τζόναθαν	jonathan
κληρονόμησε	heretat
αδελφότητα	fraternitat
αδελφότητα	germandat
αδελφότητα	germanor
αδελφότητα	hermandad
συντηρητικό	conservant
συντηρητικό	conservador
διαχειρίζεται	gestiona
περιορισμός	restricció
περιορισμός	limitació
αψίδα	arch
ψήφισε	votat
κράμα	aliatge
πανεπιστημίων	universitats
φιλίπ	philippe
φιλίπ	phillipe
φιλίπ	filip
τόγκο	togo
μνεία	citació
γάτες	gats
ριντ	reid
ριντ	reed
νόμιμη	legítim
νόμιμη	jurídic
νόμιμη	legal
νόμιμη	legals
νόμιμη	lícita
χρήσιμα	útil
γυμναστική	entrenament
γυμναστική	gimnàstica
ανάβαση	ascensió
ανάβαση	escalada
ανάβαση	trepa
ανάβαση	escalar
ανάβαση	ascens
λιμένες	ports
κόμβους	hubs
κόμβους	nusos
κόμβους	nodes
παρθένος	virgo
παρθένος	virgin
παρθένος	verge
λίβανο	líban
πύλου	pylos
δεξαμενές	embassaments
δεξαμενές	tancs
εγκρίνει	aprova
εγκρίνει	jó
εγκρίνει	aprova
οσμή	olor
οσμή	olor
τήρηση	observança
καίσαρ	cèsar
εμποδίζει	impedeix
εμποδίζει	impedeixi
συμπλήρωση	finalització
συμπλήρωση	compleció
συμπλήρωση	completant
συμπλήρωση	suplement
κλαύδιος	claudi
στίχος	vers
πρόσληψη	contractació
πρόσληψη	contractacions
κυβερνήτες	governadors
κυβερνήτες	capitans
κυβερνήτες	regles
κυβερνήτες	governants
μπιπ	bip
επισκέψεις	visites
επέζησε	sobreviure
επέζησε	sobreviscut
σοσιαλιστικής	socialista
θύρα	port
ζημιά	danyat
ζημιά	malmeses
ζημιά	malmès
ζημιά	desperfectes
ζημιά	malmesos
ζημιά	danys
διόλη	diol
γιούρι	iuri
γιούρι	uri
λίρα	lira
λίρα	lliura
σκοτεινό	fosc
λεωφορεία	autobusos
ζερμέν	germaine
πρόσθετα	additius
πρόσθετα	connectors
πλούτωνα	plutó
πλούτωνα	pluto
κρατίδια	länder
τζέι	jay
αμοιβαία	mutual
αμοιβαία	mútues
αμοιβαία	mútua
αμοιβαία	mutu
καταιγίδα	tempesta
μπλάκμορ	blackmore
αλγεβρική	algebraica
τόξου	arc
ενδιαφέρουσα	interesant
ενδιαφέρουσα	interessant
διαφάνεια	transparència
αντιρρήσεις	objeccions
δημιουργοί	creadors
δημιουργοί	autors
μπουτάν	bhutan
αιώνια	etern
αιώνια	eternament
ενθουσιασμό	entusiasme
λοατ	lgbt
λοατ	lgtb
γιοχάνες	johannes
ανακατασκευή	reconstruir
ανακατασκευή	reconstrucció
αξιωματούχοι	funcionaris
νύφη	núvia
βασανιστήρια	tortura
καλημέρα	matí
κάλτσιο	calcio
κρατούμενοι	presos
κρατούμενοι	presoners
κρατούμενοι	detinguts
σύνθετο	complexes
σύνθετο	complex
μειονότητα	minoria
ήπια	lleus
ήπια	lleu
προσωρινός	temporal
προσωρινός	provisional
προσωρινός	provisionals
χειμώνας	hivern
ανέβασε	pujat
κυριαρχούν	dominar
προκήρυξη	proclamació
όνειρα	somia
όνειρα	somiar
όνειρα	somni
όνειρα	somnis
συμμαχικές	alió
μέγαρα	mansions
βασικού	bàsic
βασικού	bàsics
βασικού	bàsiques
βασικού	basic
κρατουμένων	detinguts
αποκαταστάθηκε	restaurada
αποκαταστάθηκε	restaurat
σιβηρία	sibèria
απορρόφηση	absorció
αναβάθμιση	condicionament
μογγολία	mongòlia
οχυρώσεις	fortificacions
διαλύεται	dissol
διαλύεται	dissoldre
τελικοί	finals
χωριστά	separadament
φίσερ	fisher
φίσερ	fischer
συσχέτιση	correlació
πολωνικά	polonès
κέιν	caín
κέιν	kane
κέιν	caine
ορθογώνιο	rectangle
ορθογώνιο	rectangular
λάος	laos
πανοραμική	panorama
κοινωνιολογία	sociologia
φτώχεια	pobresa
φτωχή	pobre
φτωχή	pobres
στίχο	vers
φρανκφούρτη	frankfurt
ιουστινιανού	justinià
κύριε	senyor
μυστήρια	misteris
καταδίκασε	condemnat
περιφερειακά	perifèrics
περιφερειακά	regional
περιφερειακά	regionals
νύμφη	nimfa
βιογραφίες	biografies
κάμερα	càmera
βαβυλώνα	babilònia
τραγικό	tràgic
δίκης	judici
ανθρωπότητα	humanitat
παπά	predicador
παπά	sacerdot
αντιπρόσωποι	representants
αντιπρόσωποι	delegats
συμβούλια	diputacions
ναυάγιο	naufragi
επιβεβαιώνεται	confirmat
παράγωγο	derivat
παράγωγο	derivada
ζυρίχη	zürich
ζυρίχη	zuric
ζυρίχη	zuric
ζυρίχη	zurich
σχετικότητας	relativitat
στέψη	coronació
βομβαρδισμό	desgranar
βομβαρδισμό	bombardeig
βίαιη	violent
τρένα	entrena
τρένα	trens
ιονίου	jònica
φωλιές	nius
κέπλερ	kepler
καπετάνιος	capità
κυκλικό	cíclica
κυκλικό	cíclic
κυκλικό	circular
φίλε	tiu
φίλε	home
φίλε	man
ηφαιστειακή	volcànic
παπούτσια	sabates
ηθικά	moralment
χόφμαν	hoffmann
χόφμαν	hoffman
οντάριο	ontario
προσεκτικά	atentament
πρωτεύουσες	capitals
βατικανό	vaticà
χρησιμότητα	utilitat
ακούσει	escoltat
παρουσιάζοντας	presentant
φυλάσσεται	custodiat
γουίλσον	wilson
ηρώδη	herodes
υποψηφίων	candidats
υποψηφίων	candidates
υποψηφίων	aspirants
στηβ	steve
πολύτιμα	precious
πράκτορες	agents
ομοιότητα	semblança
ομοιότητα	semblança
ομοιότητα	similitud
διαφημίσεις	anuncis
διαφημίσεις	ads
φυσιολογική	normal
φυσιολογική	normals
δεκαετιών	dècades
σταυροφόροι	crusaders
γουόλτερ	walter
άνετα	calaixera
άνετα	còmodes
τζούλια	giulia
τζούλια	julia
τζούλια	júlia
οξφόρδη	oxford
ατλάντα	atlanta
μον	mont
μον	mon
γνωριμία	conegut
προσωρινό	temporal
προσωρινό	provisional
προσωρινό	provisionals
λιοντάρια	lions
λιοντάρια	lleons
μαρίνο	marino
έντυπο	forma
έντυπο	formulari
τριλογία	trilogia
μονοπάτια	camins
μονοπάτια	senders
πακέτα	paquets
πακέτα	envasos
συνεχές	continu
συνεχές	continu
πνεύματα	esperits
αντουάν	antoine
λοίμωξη	infecció
εμίλ	emile
εμίλ	emil
απόπειρες	intents
τηλέφωνο	telèfon
τηλέφωνο	telèfon
επαρκή	adequada
εβραϊκά	hebreu
ασυνήθιστο	inusual
έγκυος	embarassada
έγκυος	embarassades
κριμαία	crimea
λάνκαστερ	lancaster
σύμμαχος	aliat
καθίσματα	seients
καθίσματα	assentaments
διανέμεται	repartit
διανέμεται	distribuïda
διανέμεται	distribuïts
διανέμεται	distribuïdes
διασποράς	cúmul
διασποράς	clúster
άρνολντ	arnold
σπόρους	llavors
μπέιζμπολ	beisbol
κατέθεσε	testimoniada
επεκτάσεις	connectors
επεκτάσεις	extensions
επεκτάσεις	pròrrogues
επεκτάσεις	ampliacions
τζιμπουτί	djibouti
επίτευγμα	consecució
επίτευγμα	assoliment
πιστεύοντας	estimant
αντιτορπιλικό	destructor
όψεις	costats
τζούνιορ	júnior
τζούνιορ	junior
τζούνιορ	subalterns
φεγγάρι	lluna
συνήθης	habitual
συνήθης	usual
τηλεπικοινωνιών	telecomunicacions
δημιουργική	creatius
δημιουργική	creativa
δημιουργική	creative
δημιουργική	creatiu
δημιουργική	creatives
μπενφίκα	benfica
στεφάνι	cèrcol
κουν	kun
κουν	kuhn
σκληρότητα	crueltat
σκληρότητα	duresa
ανοικοδόμηση	reconstrucció
μότσαρτ	mozart
στρατηγούς	generals
εξηγήσεις	explicacions
αλμπέρτο	alberto
πληρωμή	pagament
ξενοφών	xenofont
λύσει	resoldre
λύσει	resol
υπόσχεση	penyora
τουβαλού	tuvalu
τόνγκα	tonga
μπροστινό	front
θηλαστικών	mammalian
φόρου	impost
βερόνα	verona
πάρκερ	parker
γερουσιαστές	senadors
κινητά	mòbil
λίθιο	liti
διάβασε	llegit
διάβασε	llegir
στάλθηκαν	enviats
στάλθηκαν	enviat
θουκυδίδης	tucídides
αρχίζοντας	començant
ανάρτηση	suspensió
μετράει	comptant
ελπίδες	esperances
φάλαγγα	phalanx
φάλαγγα	comboi
δέσμη	embalum
εξερευνητής	exploradora
εξερευνητής	explorer
εξερευνητής	explorador
άντον	anton
λισαβόνας	lisboa
αστικές	urban
λευκάδα	lèucada
αποσπάσει	distreure
ορατή	visible
ορατή	visibles
συναισθηματική	emocional
συναισθηματική	sentimental
πείνα	inanició
πείνα	fam
πιθανότητας	probabilitat
ενδιαφέρονται	interessat
ενδιαφέρονται	interessats
χειρισμό	tramitació
χειρισμό	maneig
χέρμπερτ	herbert
σεμινάρια	seminaris
ύψη	alçàries
ύψη	altures
ύψη	alçades
μπόμπι	bobby
πρίγκιπες	prínceps
πρίγκιπες	princes
ομάρ	omar
μπορντό	bordeus
μπορντό	borgonya
απόφοιτος	llicenciat
απόφοιτος	graduat
τζέισον	jason
τζέισον	jàson
καταλανικά	catalan
καταλανικά	català
αυτόνομο	autònoma
αιτιολογία	justificació
μεθάνιο	metà
τάκη	taki
ανάμειξη	mesclant
ανάμειξη	barrejant
απόρριψη	rebuig
απόρριψη	desestimar
απόρριψη	rebutjat
απόρριψη	descarta
επαμεινώνδας	epaminondes
ισπανούς	espanyols
παράδοξο	paradoxa
οχτώ	vuit
βαλτική	bàltic
αγοράστηκε	comprats
αγοράστηκε	comprat
κέιμπριτζ	cambridge
μεταλλικά	metall
μεταλλικά	metal
κεμάλ	kemal
εστιατόρια	restaurants
προτείνεται	recomanats
προτείνεται	recomanada
προτείνεται	recomanable
προτείνεται	recomanat
εφαρμόστηκε	aplicats
εφαρμόστηκε	aplicat
εφαρμόστηκε	aplicada
σύντροφος	soci
σύντροφος	camarada
σύντροφος	acompanyant
σύντροφος	companya
ακραίες	extrem
ακραίες	extrema
ακραίες	extreme
τούρκου	turku
έτοιμο	preparats
έτοιμο	preparat
έτοιμο	preparades
συνεχίζονται	continuant
μπερνάρ	bernard
μπερνάρ	bernat
ραψωδία	rhapsody
ψυχική	psíquic
ψυχική	psíquica
ψυχική	mental
πρόωρα	prematurament
πρόωρα	prematurs
πρόωρα	prematur
συνθέτουν	compon
συνθέτουν	componen
συνθέτουν	compondre
ενήλικα	adult
λογότυπα	logotips
καταστρέφει	destrueix
γαμπρός	nuvi
σομαλία	somàlia
σεμπάστιαν	sebastian
σεμπάστιαν	sebastián
χορηγός	patrocinat
χορηγός	patrocinats
χορηγός	patrocinador
χορηγός	padrí
αντιστοιχία	coincidència
ντόπιοι	nadius
διέλευση	transit
μερίδιο	compartir
μερίδιο	compartició
μερίδιο	comparteix
ουγκάντα	uganda
σχεδιάσει	planificat
σχεδιάσει	planejat
πυρετό	febre
αποκαλύψει	revelar
αποκαλύψει	revelen
ζάχαρη	sucre
παράγραφο	paràgraf
διευθέτηση	assentament
χρησιμοποίηση	usa
χρησιμοποίηση	utilització
χρησιμοποίηση	ús
βέρνερ	werner
εξαφανίστηκε	desaparegut
αντίστροφη	reverteix
μάνο	mano
ενέπνευσε	inspirat
δικαστές	magistrats
δικαστές	jutges
ράλι	reagrupament
συγγένεια	afinitat
συγγένεια	parentiu
τζουζέπε	giuseppe
δημόσιος	públic
δημόσιος	públics
δημόσιος	public
δημόσιος	públiques
ποινικό	criminal
ποινικό	penals
ποινικό	penal
όγδοη	vuitè
όγδοη	vuitena
δημιουργίες	creacions
υποδιαίρεση	subdivisió
υποδιαίρεση	subsecció
ρέμπραντ	rembrandt
αντιπροσωπεία	delegació
πιανίστας	pianista
ικανότητας	competencials
λεφτά	diners
λεφτά	diner
υπολογισμός	càlcul
υπολογισμός	calcula
υπολογισμός	calcular
κουρτ	kurt
πελάτη	client
δείχνοντας	focalitza
δείχνοντας	apuntant
έκκληση	recurs
διαχωρισμού	separació
υγρή	humits
υγρή	líquid
υγρή	liquid
υγρή	humida
υγρή	mullat
διαγράμματα	diagrames
διαγράμματα	gràfiques
διαγράμματα	diagrames
κλωντ	claude
απαγωγή	segrest
απαγωγή	segrestat
απαγωγή	segrestada
ζάμπια	zàmbia
ενεργοποίηση	activació
ενεργοποίηση	habilita
ενεργοποίηση	activa
μηχανικά	mecànicament
μηχανικά	mecànica
μηχανικά	mecànics
μηχανικά	mecànic
σεπτέμβρη	setembre
διακριτικά	insígnia
διακριτικά	discret
διακριτικά	discreta
καμπύλες	revolts
καμπύλες	corbes
διαβάστε	llegit
διαβάστε	llegir
ξίφος	espasa
αισθήσεις	sentits
έσωσε	desat
έσωσε	salvat
καινοτομία	innovació
φορτία	trameses
φορτία	càrregues
παράδεισο	cel
παράδεισο	heaven
