উজবেক	uzbecké
গর্ভবতী	těhotná
গর্ভবতী	těhotné
বারাক	barack
বারাক	barak
কবে	když
কবে	kdy
ব্যতিক্রমী	výjimečná
ব্যতিক্রমী	mimořádné
ব্যতিক্রমী	výjimečný
ব্যতিক্রমী	výjimečných
ব্যতিক্রমী	výjimečné
বিএনপির	bnp
ভূমধ্যসাগরীয়	středomoří
ভূমধ্যসাগরীয়	středomořské
ভূমধ্যসাগরীয়	středozemí
অন্তর্বর্তী	prozatímní
প্রতিনিয়ত	nepřetržitě
প্রতিনিয়ত	neustále
পেইজ	paige
পেল	jablko
পেল	jablečný
পেল	apple
পেল	jablka
এবিসি	abc
গাইতে	zpívej
গাইতে	zpívat
সার্কাস	cirkus
প্রতীকী	symbolické
গিনেস	guinness
ফর্মুলা	vzorec
ফর্মুলা	formule
ফান	phan
আইভরি	slonoviny
ভিসা	víza
ভিসা	vízum
ভিসা	víz
ভিসা	vízum
ভিসা	víza
কমিকস	komiks
কমিকস	komiksy
আঙুল	prst
আঙুল	prsty
সভ্য	civilizované
লক্ষাধিক	miliony
লক্ষাধিক	milionů
লক্ষাধিক	milióny
ইউটিউব	youtube
মান্না	manu
শাল	šál
শাল	šátek
ঠাণ্ডা	studené
ঠাণ্ডা	studený
ঠাণ্ডা	studená
ঠাণ্ডা	zima
ঠাণ্ডা	chlad
ঠাণ্ডা	zmrazení
ঠাণ্ডা	chlazené
উইসকনসিন	wisconsinu
কোকা	coca
আরু	aru
শিশুরা	deti
শিশুরা	děti
শিশুরা	děcka
শিশুরা	dětské
শিশুরা	děti
শিশুরা	miminka
শিশুরা	děti
প্রত্যেকে	všichni
প্রত্যেকে	každý
প্রত্যেকে	všichni
প্রত্যেকে	každý
প্রত্যেকে	všem
বাদাম	ořech
বাদাম	mandle
বাদাম	oříšky
বাদাম	nuts
বাদাম	matice
বাদাম	ořechy
ভালবাসার	láska
ভালবাসার	miluj
ভালবাসার	lásky
অগণিত	nespočet
অগণিত	bezpočet
মাল্টি	multi
দাবির	nárokovat
দাবির	tvrzení
দাবির	nárok
দাবির	požadavky
দাবির	nároky
দাবির	tvrzení
দাবির	pohledávky
দত্তক	adopce
দত্তক	adopci
দত্তক	přijetí
মাইলফলক	památka
মাইলফলক	milník
হ্যারল্ড	harold
প্রোগ্রামার	programátoři
প্রোগ্রামার	programátor
টিকিট	vstupenky
টিকিট	jízdenky
টিকিট	lístky
টিকিট	letenky
টিকিট	vstupenka
টিকিট	jízdenka
টিকিট	tiket
টিকিট	lístek
নিরাপদে	bezpečně
অ্যালুমিনিয়াম	hliník
অ্যালুমিনিয়াম	hliník
বলল	řekla
বলল	řekl
বলল	říkal
ময়ূর	páv
হুগো	hugo
রুটি	pečivo
রুটি	chleba
রুটি	chléb
ভয়ঙ্কর	děsivé
ভয়ঙ্কর	strašidelné
ভয়ঙ্কর	děsivý
ভয়ঙ্কর	strašné
কারারুদ্ধ	uvězněn
কারারুদ্ধ	uvězněné
কারারুদ্ধ	uvězněný
কারারুদ্ধ	uvězněni
মুলার	müller
পুঁজি	kapitalismus
প্রিক্স	prix
বমি	zvracení
বমি	zvratky
বমি	zvracet
বমি	zvracení
বিসর্জন	obětovat
বিসর্জন	oběť
বিসর্জন	obětování
বেটা	beta
পাগলা	blázen
পাগলা	šílený
পাগলা	šílená
পাগলা	bláznivý
আইনী	zákonné
আইনী	zákonný
আইনী	právní
আইনী	legální
ডেম	dem
ডেম	dame
কূটনীতিবিদ	diplomat
মুষ্টিযুদ্ধ	box
মুষ্টিযুদ্ধ	boxu
ল্যান্ড	pozemky
ল্যান্ড	pozemek
ল্যান্ড	země
সিনা	sina
শামুক	šnek
পাইন	pine
পাইন	borovice
লিঃ	ltd
কম্পন	vibrace
ক্রু	posádky
ক্রু	posádka
ক্রু	štáb
ক্রু	posádku
ক্রু	crew
নীহারিকা	mlhovina
নীহারিকা	mlhoviny
এনজিও	ngo
এনজিও	ngo
কম্পানি	společnosti
কম্পানি	firma
কম্পানি	společnost
সাবমেরিন	ponorky
সাবমেরিন	ponorku
সাবমেরিন	ponorka
সীমারেখা	hranice
যাকাত	charitu
যাকাত	dobročinnost
যাকাত	charity
যাকাত	charitativní
যাকাত	charita
সুতা	příze
সুতা	nitě
আরবরা	araby
আরবরা	arabové
বিক্রেতা	prodejci
বিক্রেতা	prodavač
বিক্রেতা	prodejce
বিক্রেতা	prodejce
বিক্রেতা	prodejci
বিক্রেতা	prodávající
মিসাইল	střely
মিসাইল	rakety
মিসাইল	střela
মিসাইল	raketa
বেবি	baby
বেবি	zlato
বেবি	dítě
বেবি	miláček
বেবি	bby
অনানুষ্ঠানিক	neformální
ক্লোরাইড	chlorid
আক্রমণকারী	útočník
আক্রমণকারী	útočníci
আক্রমণকারী	útočníky
আক্রমণকারী	útočníků
ক্যাম্ব্রিয়ান	kambria
ডিপ	dip
ডিপ	hluboká
ডিপ	hluboké
ডিপ	hluboko
ডিপ	hluboký
রাজনৈতিকভাবে	politicky
ফুসফুস	plíce
ফুসফুস	plic
ফুসফুস	plicní
ফুসফুস	plíce
ফুসফুস	plic
ট্রাম্প	tulák
ট্রাম্প	trump
মাইক্রোপ্রসেসর	mikroprocesor
প্রফুল্ল	veselý
প্রফুল্ল	veselá
অবিবাহিত	svobodná
অবিবাহিত	jednotné
অবিবাহিত	singl
অবিবাহিত	svobodný
কেন্দ্রীভূত	centralizované
অপরাজেয়	neporazitelný
অপরাজেয়	neporazitelný
সত্যিকারের	skutečný
সত্যিকারের	skutečná
সত্যিকারের	skutečné
সত্যিকারের	opravdový
সত্যিকারের	reálné
সত্যিকারের	pravda
সত্যিকারের	true
সত্যিকারের	pravdivé
আফ্রো	afro
মাদাগাস্কার	madagaskaru
মাদাগাস্কার	madagaskar
আইপিএল	ipl
অসন্তোষ	nespokojenost
আমের	amer
লোম	chlupatý
লোম	chlupaté
ইমপ্রেস	dojem
ইমপ্রেস	zapůsobit
আইফোন	iphone
আনসার	ansar
দিয়া	dia
একত্রীকরণ	sloučení
একত্রীকরণ	mer
ছাই	popel
ছাই	jasan
ছাই	ash
ছাই	popel
ছাই	břidlice
ফিজি	fidži
শিখদের	sikhové
সম্রাজ্ঞী	císařovna
চর্বি	tuky
জুনিয়র্স	junioři
ধারন	zajat
ধারন	chycen
ধারন	zajali
পোর্টাল	portál
সতেরো	seventeen
সতেরো	sedmnáct
ঘৃণা	nenávist
ঘৃণা	nenávisti
ঘৃণা	nesnáším
ঘৃণা	nenávist
ঘৃণা	nenávidím
জ্যোতির্বিদ্যা	astronomie
গলফ	golfu
গলফ	golf
শিশির	rosa
শিশির	dew
হাবল	hubble
মীমাংসা	vyřešit
মীমাংসা	vyřešení
কাঠমান্ডু	káthmándú
ঝোঁক	přízvuk
ঝোঁক	akcent
ফ্যাট	tlustý
ফ্যাট	tuk
ফ্যাট	tučný
ফ্যাট	tuky
ফ্যাট	tlustá
বন্টন	distribuční
বন্টন	rozdělení
বন্টন	distribuce
বন্টন	rozložení
ওর	orr
অ্যাক্সেস	přístupu
অ্যাক্সেস	přístup
বাল	bal
অজস্র	četné
নিয়োগের	nábor
কেমিক্যাল	chemická
কেমিক্যাল	chemikálie
কেমিক্যাল	chemické
কেমিক্যাল	chemický
কেমিক্যাল	chemikálie
ভীত	vystrašený
গুজরাত	gudžarát
গিবস	gibbs
অভিবাসন	migrace
অভিবাসন	migraci
রেসলিং	wrestling
স্কেচ	skeč
ইফেক্ট	dopady
ইফেক্ট	efekty
ইফেক্ট	účinky
ইফেক্ট	vlivy
ইফেক্ট	účinek
ইফেক্ট	efekt
শীতকাল	zimní
শীতকাল	zima
শীতকাল	winter
রাদারফোর্ড	rutherford
বসন্তে	jarní
বসন্তে	jaro
উইলিস	willis
অয়লার	euler
নারিকেল	kokos
আসক্তি	závislosti
আসক্তি	závislost
আসক্তি	návykové
আশ্চর্য	úžasný
আশ্চর্য	úžasné
আশ্চর্য	úžasná
আশ্চর্য	zvláštní
আশ্চর্য	zázrak
আশ্চর্য	divu
আশ্চর্য	wonder
উইলিয়ামসন	williamson
ফিলাডেলফিয়া	philadelphie
ফিলাডেলফিয়া	filadelfie
ফিলাডেলফিয়া	philadelphii
ব্যবসায়ীদের	obchodníků
ব্যবসায়ীদের	obchodníky
ব্যবসায়ীদের	obchodníci
তলার	nahoru
তলার	nahoře
অত্যাধুনিক	sofistikované
চিন	bradu
চিন	chin
চিন	brada
চিন	china
চিন	čína
চিন	číně
ওয়াইন	víno
ওয়াইন	vína
সংকুচিত	zkolaboval
অস্পষ্ট	nejasný
অস্পষ্ট	nejasná
অস্পষ্ট	nejasné
অস্পষ্ট	rozmazané
নৃতাত্ত্বিক	antropolog
দন্ড	klacky
দন্ড	tyčinky
দন্ড	hole
আর্নল্ড	arnold
দৌড়বাজী	atletika
লিন	lynn
লিন	lyn
লিন	lin
লিন	lina
ছাড়	slevy
ছাড়	sleva
ছাড়	slev
ছাড়	slevy
পনেরো	patnáct
পনেরো	fifteen
রবার্টস	roberts
ব্রেট	brett
কল্পিত	famózní
কল্পিত	báječné
ঘনিষ্ঠভাবে	úzce
ডলি	dolly
প্রাইড	pýcha
প্রাইড	hrdost
ভিলহেল্ম	wilhelm
ডায়ানা	diana
জোহানেসবার্গ	johannesburgu
ওম	ohm
সচিবালয়	sekretariát
অন্তর্বর্তীকালীন	přechodný
অন্তর্বর্তীকালীন	přechodná
অন্তর্বর্তীকালীন	přechodné
শোনার	sluch
শোনার	slyšení
দরজার	dveře
হোমস	holmes
হোমস	holmese
হোমস	homsu
দোকানের	shop
দোকানের	obchod
দোকানের	prodejna
সাও	são
সাও	sao
আইসল্যান্ড	island
মডার্ন	moderní
চতুর্থাংশ	čtvrtletí
চতুর্থাংশ	čtvrtina
অন্নপূর্ণা	annapurnu
ফুটার	zápatí
তৎপরতা	aktivitu
তৎপরতা	činnost
তৎপরতা	aktivity
তৎপরতা	aktivita
জুলিয়াস	julius
ভাতা	povolenky
ব্যাঙ্গালোর	bangalore
তাড়া	honička
তাড়া	chase
তাড়া	obleky
তাড়া	sluší
উপসাগরীয়	záliv
ইলেক্ট্রনিক্স	elektronika
ইলেক্ট্রনিক্স	elektroniky
পৌঁছায়	dosah
এমবিএ	mba
কবরের	hroby
লিওনেল	lionel
স্বর্গের	nebe
স্বর্গের	nebesa
সদস্যবৃন্দ	nezapomeňte
সদস্যবৃন্দ	pamatujte
সদস্যবৃন্দ	členové
সদস্যবৃন্দ	členy
সদস্যবৃন্দ	poslanci
সদস্যবৃন্দ	členů
অলংকার	ozdoby
ছাদের	střecha
ডুবিয়ে	utopit
ডুবিয়ে	utopil
উদ্যোগী	iniciativa
উদ্যোগী	iniciativy
উদ্যোগী	podnět
উদ্যোগী	iniciativu
চিরন্তন	věčné
চিরন্তন	věčná
চিরন্তন	věčný
সত্বেও	navzdory
লালা	lala
কানে	uši
কানে	ucha
কানে	ouška
কানে	ušní
কানে	ucho
ইকুয়েডরের	ekvádorské
এসেক্স	essex
জাস্টিন	justin
ফিশার	fisher
ফিশার	polokouli
ফিশার	fischer
মাইক্রোসফটের	microsoft
জাম্প	skočit
জাম্প	skok
বুলেট	kulka
বুলেট	náboj
কঠোরভাবে	přísně
কঠোরভাবে	striktně
দেওয়ালে	stěna
দেওয়ালে	zdi
দেওয়ালে	zeď
যোদ্ধাদের	stíhačky
যোদ্ধাদের	bojovníků
যোদ্ধাদের	bojovníci
যোদ্ধাদের	bojovníky
আর্ল	earl
আর্ল	earle
পাবলিশার্স	vydavatelé
সেলাই	šít
সেলাই	šicí
সেলাই	šití
সেলাই	steh
সেলাই	stich
সেলাই	stehy
সুরা	súra
প্রোটোকল	protokolu
প্রোটোকল	protokol
প্রোটোকল	protokolů
প্রোটোকল	protokoly
সৃষ্টিকর্তা	stvořitel
সৃষ্টিকর্তা	tvůrce
সৃষ্টিকর্তা	stvořiteli
দোয়া	dua
সন্ত্রাসবাদ	terorismus
সন্ত্রাসবাদ	terorismu
যত্ন	záleželo
যত্ন	péče
যত্ন	péči
তাজিকিস্তান	tádžikistán
অনশন	půst
সুগার	cukr
সুগার	cukru
মোদী	modi
মাননীয়	veličenstvo
ফান্ড	fondy
ফান্ড	fondů
ফান্ড	fond
ফান্ড	fondu
নির্মম	nemilosrdný
নির্মম	brutálně
নির্মম	brutální
নির্মম	drsné
তন্তু	vláken
তন্তু	vlákna
তন্তু	vlákna
মনি	mani
প্রবাদ	přísloví
বাটলার	butler
বাটলার	komorník
বাটলার	sluha
কৈশোর	dospívající
কৈশোর	pubertální
কৈশোর	dospívání
চিনতে	rozpoznat
চিনতে	rozpoznat
চিনতে	uznat
সাবান	mýdla
সাবান	mýdlo
স্বরধ্বনি	samohláska
জেনিফার	jennifer
ক্ষেত্রগুলি	pole
ক্ষেত্রগুলি	polí
মরক্কো	maroko
সিরীয়	sýrie
সিরীয়	syrské
এভিনিউ	avenue
হকিং	hawking
অর্থহীন	bezvýznamný
অর্থহীন	bezvýznamná
অর্থহীন	bezvýznamné
অর্থহীন	zbytečná
অর্থহীন	zbytečné
পাখনা	křídla
ক্রিশ্চিয়ান	křesťanské
ক্রিশ্চিয়ান	christian
ক্রিশ্চিয়ান	křesťanská
ক্রিশ্চিয়ান	křesťan
মাচু	machu
অভ্যর্থনা	recepce
অভ্যর্থনা	příjem
অভ্যর্থনা	recepci
ট্রিপল	trojitý
ট্রিপল	trojnásobek
ইউরেশীয়	eurasijské
মস্তিষ্কে	mozku
মস্তিষ্কে	mozková
মস্তিষ্কে	mozek
নিঃসন্দেহে	nepochybně
নিবিড়	intenzivní
প্রোডাকশন	produkce
প্রোডাকশন	výroby
প্রোডাকশন	výroba
খলিল	khalil
একনিষ্ঠ	oddaná
একনিষ্ঠ	oddaný
অ্যাঞ্জেলো	angelo
এলেন	ellen
সিকিম	sikkim
ব্যাঙের	žába
সম্ভাবনার	možností
সম্ভাবনার	možnosti
জিউস	die
জিউস	zeus
জিউস	dia
আরেকটা	další
জুরিখ	curychu
জুরিখ	curychu
বাহুর	zbraně
বাহুর	paže
বাহুর	ruce
মাইক্রো	mikro
বিভাজিত	zabalené
বিভাজিত	zabalený
ফ্লাওয়ার	kytka
ফ্লাওয়ার	květ
ফ্লাওয়ার	květina
অভিযোজন	přizpůsobování
অভিযোজন	adaptace
অভিযোজন	přizpůsobení
স্থানাংক	koordinovat
স্থানাংক	souřadnice
ইব্রাহীম	ibrahim
ইব্রাহীম	abraham
কোমর	pas
কোমর	pase
উদ্বাস্তু	uprchlíků
উদ্বাস্তু	uprchlíky
উদ্বাস্তু	uprchlíci
বিপর্যয়ের	pohroma
বিপর্যয়ের	neštěstí
বিপর্যয়ের	katastrofa
মোড	mód
মোড	režim
মোড	mode
কাঁকড়া	krabi
কাঁকড়া	kraby
কাঁকড়া	krabi
কাঁকড়া	krabí
কাঁকড়া	krab
নিয়মাবলী	pravidla
মায়ার	mayo
মায়ার	maya
গন্য	počítá
নেভিল	neville
শত্রুদের	nepřátele
শত্রুদের	nepřátel
শত্রুদের	nepřátelé
গি	gee
ভিড়	dav
ভিড়	davy
ভিড়	dav
ভিড়	zástup
ভিড়	davu
ভিলা	vila
ভিলা	villa
ভিলা	vily
গোসল	sprchy
গোসল	sprcha
গোসল	vana
গোসল	koupel
কোটা	kvóty
কোটা	kvóta
কোটা	kota
টার্গেট	cíle
বাজেয়াপ্ত	zabavili
বাজেয়াপ্ত	zabavil
ফসফরাস	fosforu
ফসফরাস	fosfor
গোপনীয়তা	soukromí
ইস্তানবুল	istanbulu
পিতামাতা	rodiče
পিতামাতা	rodiči
পিতামাতা	rodiče
পিতামাতা	rodič
অবিচ্ছিন্ন	nepřetržité
অবিচ্ছিন্ন	kontinuální
অবিচ্ছিন্ন	nepřetržitý
অবিচ্ছিন্ন	průběžné
নামগুলো	názvy
নামগুলো	jména
গ্রীষ্মকাল	letní
গ্রীষ্মকাল	léto
জাকার্তা	jakartě
হেল	hel
সিনেট	senátu
সিনেট	senát
টুইটার	twitter
টুইটার	twitteru
বাঁক	křivky
বরখাস্ত	zamítnutí
বরখাস্ত	propuštění
বীরত্ব	hrdinství
যুগল	pár
যুগল	dvojice
জার	car
জার	sklenice
জার	jar
লায়ন	lva
লায়ন	lev
অভিযোগের	nálože
অভিযোগের	obvinění
অভিযোগের	poplatky
ভাঙন	eroze
বাহামা	bahamy
বাহামা	bahamách
ফিলিপস	philips
ফিলিপস	phillips
টুকরা	plátky
টুকরা	kousek
টুকরা	kus
টুকরা	kusy
টুকরা	kousky
টুকরা	kusů
বরাক	barak
অসুস্থতা	nemoc
অসুস্থতা	nemoci
অসুস্থতা	onemocnění
অসুস্থতা	nemoc
অসুস্থতা	nemoci
লাগানোর	výsadbu
রহমত	milosrdenství
রহমত	mercy
রহমত	slitování
রহমত	milost
সারের	kompost
কিথ	keith
দেওয়াল	stěna
দেওয়াল	zdi
দেওয়াল	zeď
দেওয়াল	hradby
দেওয়াল	stěny
দেওয়াল	zdi
নোভা	novy
নোভা	nova
অ্যাক্ট	jednat
অ্যাক্ট	čin
অ্যাক্ট	akt
অ্যাক্ট	dějství
টহল	hlídkování
টহল	hlídka
কোস্টা	costa
লাইক	jako
লাইক	like
জুরি	iure
জুরি	porota
জুরি	porotu
পিঠা	dort
পিঠা	dorty
পিঠা	koláč
ডাটাবেস	databáze
স্থানসমূহ	místy
স্থানসমূহ	místa
স্থানসমূহ	míst
শার্লক	sherlocku
শার্লক	sherlock
জিনি	ginny
ডেঙ্গু	dengue
সি++	c++
স্পষ্টভাবে	definitivně
স্পষ্টভাবে	určitě
স্পষ্টভাবে	rozhodně
নিহিত	financovány
নিহিত	financována
নিহিত	financovaných
নিহিত	financované
পিটার্সবার্গ	petersburgu
শ্রোতাদের	posluchači
গোয়ার	goa
ঢোল	buben
মন্ত্রনালয়	ministerstvo
মন্ত্রনালয়	ministerstva
জারী	jari
ভেজা	mokrý
ভেজা	mokro
ভেজা	vlhký
ভেজা	mokré
ভেজা	mokrá
কুমির	krokodýl
খুনের	vražd
খুনের	vraždy
খুনের	vraždy
খুনের	vražda
মিছিলে	průvod
আর্কিটেকচার	architektura
আর্কিটেকচার	architektuře
আর্কিটেকচার	architekturu
আর্কিটেকচার	architektury
করন	karan
তেহরান	teheránu
নিরস্ত্র	neozbrojený
নিরস্ত্র	odzbrojit
প্রার্থীদের	uchazeči
প্রার্থীদের	zájemci
প্রার্থীদের	kandidátů
প্রার্থীদের	kandidáti
প্রার্থীদের	zájemce
ম্যাজিক	magie
ম্যাজিক	magic
ম্যাজিক	čáry
ম্যাজিক	kouzlo
ম্যাজিক	kouzelné
আগ্রাসন	agrese
আগ্রাসন	agresi
পেনিসিলিন	penicilin
রোমানদের	římané
রোমানদের	římany
একশ	stovku
একশ	stovka
হোল	díru
হোল	díry
হোল	díra
হোল	otvor
ট্রানজিস্টর	tranzistor
স্প্রিং	jarní
স্প্রিং	jaro
ক্রেইগ	craig
অর্থনৈতিকভাবে	ekonomicky
অর্থনৈতিকভাবে	hospodářsky
কীট	hmyz
আদর্শে	ideály
মিগ	mig
সারসংক্ষেপ	přehled
সারসংক্ষেপ	shrnutí
সারসংক্ষেপ	souhrn
শিক্ষাগত	vzdělávací
উদ্ভিদবিজ্ঞান	botaniky
তাক	racka
তাক	regály
তাক	police
সুড়ঙ্গ	tunel
সুড়ঙ্গ	tunely
সুড়ঙ্গ	tunelů
জুল	jules
যখনই	kdykoliv
যখনই	kdykoli
ফ্যাক্টর	činitel
ফ্যাক্টর	faktor
তুই	vy
তুই	jsi
তুই	ty
ডেল্টা	delta
লুসিয়া	lucie
লুসিয়া	lucia
চিত্রগ্রহণ	natáčení
নৈতিকতা	etiku
নৈতিকতা	etika
নৈতিকতা	etický
নৈতিকতা	morální
নৈতিকতা	morálku
নৈতিকতা	morálka
নৈতিকতা	morálku
নৈতিকতা	morálka
রাজহাঁস	husa
রাজহাঁস	husí
গ্যালিলিও	galileo
গাদ্দাফি	kaddáfí
উষ্ণতা	teplo
শিল্পপতি	průmyslník
স্টকহোম	stockholmu
স্টকহোম	stockholm
ভাবতে	mysli
সংকোচন	obklad
প্রসারণ	rozbalit
প্রসারণ	rozšířit
প্রসারণ	prodloužení
প্রসারণ	rozšíření
আংটি	kroužek
আংটি	ring
আংটি	prsten
আংটি	prstýnek
আংটি	kroužky
আংটি	prsteny
আংটি	kruhy
আংটি	prstýnky
পশ্চিমী	západ
পশ্চিমী	western
পশ্চিমী	západní
নন্দ	nanda
কিড	kluk
কিড	dítě
কিড	kid
দিচ্ছে	dávání
উট	velbloudy
উট	velbloud
জামা	trička
জামা	košile
জামা	triko
জামা	košili
জামা	tričko
জামা	košile
গ্রীষ্মের	letní
গ্রীষ্মের	léto
ফরিদ	fareed
ইউয়ান	yuan
গল	gal
বাঁচতে	živé
বাঁচতে	živá
বাঁচতে	živě
বাঁচতে	žít
বাঁচতে	žij
বাঁচতে	live
কলম্বাস	kolumbus
ট্যাঙ্ক	tanku
ট্যাঙ্ক	tank
ট্যাঙ্ক	nádrž
ট্যাঙ্ক	nádrže
ট্যাঙ্ক	tanky
ট্যাঙ্ক	cisterny
সুত্র	nápověda
ঋগ্বেদ	rgvéda
স্বাভাবিকভাবেই	přirozeně
ব্রিটানিকা	britannica
আরোগ্য	vyléčit
আরোগ্য	vyléčení
আরোগ্য	vyléčit
আরোগ্য	lék
আরোগ্য	hojení
আরোগ্য	uzdravení
আরোগ্য	léčení
কোকিল	kukačka
ক্রোয়েশীয়	chorvatské
হতাশ	frustrovaný
হতাশ	zklamaný
হতাশ	zklamán
হতাশ	zklamaná
উত্পাদন	výroba
উত্পাদন	produkce
উত্পাদন	výroby
উত্পাদন	výroba
উত্পাদন	zpracovatelský
উত্পাদন	výroba
উত্পাদন	výrobní
তেরেসা	teresa
তেরেসা	tereza
ফাতিমা	fatima
ক্রিসেন্ট	crescent
ভিক্ষুদের	mniši
ভিক্ষুদের	mnichy
ভিক্ষুদের	mnichů
নেচার	přírodní
নেচার	povaha
নেচার	příroda
নেচার	přírodě
নেচার	přirozenost
প্লাটুন	četa
লিখুন	psát
লিখুন	napište
লিখুন	napiš
লিখুন	pište
লিখুন	napsat
লিখুন	vstoupit
লিখুন	vstup
লিখুন	zadejte
লিখুন	vstupte
মরিশাস	mauricius
ফাঁদ	vymazat
ফাঁদ	past
ফাঁদ	pasti
ফাঁদ	pasti
গ্যালারী	galerie
ব্যঞ্জনধ্বনি	souhláska
গুণাবলী	kvality
বোস্টন	boston
বোস্টন	bostonu
সুইফট	swift
অপশন	opce
অপশন	volby
অপশন	možnosti
মার্কস	marek
মার্কস	marks
মার্কস	značky
পকেট	kapsu
পকেট	kapesní
পকেট	kapsa
পকেট	kapsy
পকেট	kapes
পকেট	kapsy
বোর	bohr
আনুষঙ্গিক	doplňky
আনুষঙ্গিক	příslušenství
কাঁধ	rameno
কাঁধ	ramena
স্পিরিট	destiláty
স্পিরিট	lihoviny
স্পিরিট	duchové
স্পিরিট	duchu
স্পিরিট	duch
টিকেট	vstupenka
টিকেট	jízdenka
টিকেট	tiket
টিকেট	lístek
ডিজেল	diesel
ডিজেল	nafta
মোস্ট	nejvíc
মোস্ট	většina
মোস্ট	nejvíce
স্নেহ	náklonnost
স্নেহ	cit
শান	shan
মার্ক্স	marx
ছোঁয়া	dotek
ছোঁয়া	dotyk
অঙ্গীকার	slib
অঙ্গীকার	závazek
অঙ্গীকার	odhodlání
হোস্ট	moderátor
হোস্ট	hostitel
হোস্ট	hostitele
হোস্ট	hostitelský
হোস্ট	hostitelé
ইভা	eva
ইভা	evu
ইভা	evo
ইভা	eva
ইভা	eve
ইভা	předvečer
ইভা	evi
বিস্ফোরিত	explodovat
বিস্ফোরিত	explodovala
ড্রাম	buben
দড়ি	lano
দড়ি	lana
দড়ি	provaz
টিউটোরিয়াল	návody
টিউটোরিয়াল	výuka
টিউটোরিয়াল	tutoriál
পাসপোর্ট	pas
ফেরি	trajekt
উল্লম্ব	vertikální
