দামী	дорого
নীহারিকা	туманність
এনজিও	нуо
এনজিও	ngo
এনজিও	громадської
এনজিও	організаціях
কম্পানি	компанія
সীমারেখা	межі
সীমারেখা	кордони
যাকাত	благодійна
যাকাত	благодійний
যাকাত	благодійність
আরবরা	араби
বিক্রেতা	крамнички
বিক্রেতা	постачальник
বিক্রেতা	виробник
বিক্রেতা	виробника
বিক্রেতা	продавця
বিক্রেতা	продавець
মিসাইল	ракет
মিসাইল	ракети
মিসাইল	ракета
বেবি	немовля
বেবি	малятко
বেবি	дитина
অনানুষ্ঠানিক	неформальна
ক্লোরাইড	хлорид
আক্রমণকারী	утруднення
আক্রমণকারী	нападників
আক্রমণকারী	атак
ক্যাম্ব্রিয়ান	кембрійський
ডিপ	висить
ডিপ	глибока
ডিপ	deep
ডিপ	глибоко
ডিপ	глибокий
রাজনৈতিকভাবে	політично
ফুসফুস	легені
ফুসফুস	легені
ট্রাম্প	бродяга
ট্রাম্প	бомж
ট্রাম্প	трамп
মাইক্রোপ্রসেসর	мікропроцесор
প্রফুল্ল	веселі
অবিবাহিত	окремі
অবিবাহিত	single
অবিবাহিত	самотній
কেন্দ্রীভূত	централізована
পাদটীকা	footnote
অপরাজেয়	зачарований
অপরাজেয়	гранично
অপরাজেয়	непереможний
সত্যিকারের	реал
সত্যিকারের	справжня
সত্যিকারের	справжні
সত্যিকারের	реальний
সত্যিকারের	справжній
সত্যিকারের	істина
সত্যিকারের	правда
আফ্রো	афро
মাদাগাস্কার	мадагаскар
আমের	амер
লোম	пухнасті
নেটিভ	рідний
নেটিভ	рідна
ইমপ্রেস	вразив
ইমপ্রেস	вразити
আইফোন	iphone
আনসার	ансар
দিয়া	діа
একত্রীকরণ	злиття
একত্রীকরণ	мер
ছাই	попіл
ছাই	прах
ছাই	попіл
ছাই	ash
ছাই	аш
ছাই	еш
ফিজি	фіджі
সম্রাজ্ঞী	імператриця
জুনিয়র্স	хуніорс
ধারন	полон
ধারন	спіймав
ধারন	захопили
ধারন	захоплені
পোর্টাল	портал
সতেরো	сімнадцять
ঘৃণা	ненависть
ঘৃণা	ненавиджу
ঘৃণা	ненависть
ঘৃণা	ненависті
জ্যোতির্বিদ্যা	астрономія
গলফ	гольф
শিশির	роса
শিশির	роси
হাবল	габбл
মীমাংসা	вирішують
মীমাংসা	вирішити
কাঠমান্ডু	катманду
ঝোঁক	акцент
ফ্যাট	жирний
ফ্যাট	жиру
ফ্যাট	жирна
ফ্যাট	жири
বন্টন	розподіл
ওর	орр
অ্যাক্সেস	доступ
বাল	бал
অজস্র	безліч
নিয়োগের	вербування
আজকাল	сучасних
কেমিক্যাল	хімічна
কেমিক্যাল	хімічні
কেমিক্যাল	хімічний
কেমিক্যাল	хімікатів
বিশ্লেষণী	аналітична
ভীত	налякана
ভীত	наляканий
ভীত	злякався
ভীত	переляканий
ভীত	страшно
ভীত	боюся
গিবস	гіббс
অভিবাসন	міграція
অভিবাসন	міграції
রেসলিং	боротьба
স্কেচ	ескіз
ইফেক্ট	ефекти
ইফেক্ট	ефект
শীতকাল	зима
রাদারফোর্ড	резерфорд
বসন্তে	весняна
বসন্তে	весна
বসন্তে	весняний
বসন্তে	весняні
উইলিস	вілліс
অয়লার	ейлера
নারিকেল	кокосова
আসক্তি	залежність
আশ্চর্য	вражає
আশ্চর্য	вражаюче
আশ্চর্য	дивовижно
আশ্চর্য	amazing
আশ্চর্য	неймовірний
আশ্চর্য	дивний
আশ্চর্য	дивна
আশ্চর্য	дивним
আশ্চর্য	дивно
আশ্চর্য	дивні
আশ্চর্য	цікаво
উইলিয়ামসন	вільямсон
ফিলাডেলফিয়া	філадельфія
তলার	нагорі
অত্যাধুনিক	вишукано
চিন	чин
চিন	підборіддя
চিন	china
চিন	китаї
চিন	китаю
চিন	китай
ওয়াইন	вина
ওয়াইন	вино
সংকুচিত	згорнуто
অস্পষ্ট	визначено
অস্পষ্ট	незрозуміло
অস্পষ্ট	утворення
করলাম	перевищення
দন্ড	пасує
আর্নল্ড	арнольд
দৌড়বাজী	атлетика
লিন	лінн
লিন	тримайте
লিন	лінь
ছাড়	знижки
ছাড়	знижка
ছাড়	знижки
রবার্টস	робертс
ব্রেট	бретт
কল্পিত	казковий
কল্পিত	казково
কল্পিত	уявляли
কল্পিত	видається
ঘনিষ্ঠভাবে	тісно
প্রাইড	гордість
ভিলহেল্ম	вільгельм
ডায়ানা	діана
ওম	ом
সচিবালয়	секретаріат
অন্তর্বর্তীকালীন	перехідний
শোনার	слух
দরজার	вивіз
দরজার	двері
হোমস	холмс
হোমস	хомс
দোকানের	крамниця
দোকানের	магазин
সাও	sao
আইসল্যান্ড	ісландія
আইসল্যান্ড	ісландії
মডার্ন	сучасні
মডার্ন	сучасно
মডার্ন	сучасний
মডার্ন	сучасне
চতুর্থাংশ	квартал
চতুর্থাংশ	чверть
অন্নপূর্ণা	аннапурни
ফুটার	підвал
তৎপরতা	активність
তৎপরতা	дії
তৎপরতা	діяльності
তৎপরতা	дія
তৎপরতা	діяльність
জুলিয়াস	юліус
জুলিয়াস	юлій
তাড়া	пасує
তাড়া	масті
তাড়া	костюми
উপসাগরীয়	затока
উপসাগরীয়	затоці
ইলেক্ট্রনিক্স	електроніка
পৌঁছায়	охоплення
এমবিএ	mba
কবরের	могили
লিওনেল	лайонел
স্বর্গের	heaven
স্বর্গের	небеса
স্বর্গের	рай
স্বর্গের	небес
স্বর্গের	небесне
সদস্যবৃন্দ	учасники
সদস্যবৃন্দ	члени
অলংকার	прикрасами
ডুবিয়ে	затопили
ডুবিয়ে	втопити
ডুবিয়ে	потонув
উদ্যোগী	ініціатива
চিরন্তন	вічне
চিরন্তন	вічні
চিরন্তন	вічна
চিরন্তন	безсмертні
চিরন্তন	вічний
সত্বেও	незважаючи
লালা	ляля
কানে	слуху
কানে	вухо
ইকুয়েডরের	еквадорський
ম্যাথিউস	mathews
এসেক্স	essex
জাস্টিন	джастін
ফিশার	фішер
ফিশার	півкулі
ফিশার	фішер
মাইক্রোসফটের	microsoft
জাম্প	стрибати
জাম্প	перехід
জাম্প	стрибок
জাম্প	перейти
বুলেট	кулю
বুলেট	постріли
বুলেট	позначки
বুলেট	куля
কঠোরভাবে	суворо
কঠোরভাবে	строго
দেওয়ালে	стіну
দেওয়ালে	стіна
দেওয়ালে	стіні
যোদ্ধাদের	бійців
যোদ্ধাদের	бійці
আর্ল	ерл
পাবলিশার্স	видавців
সেলাই	тих
সেলাই	шиття
সেলাই	гладдю
সেলাই	шви
সেলাই	швів
সুরা	сура
প্রোটোকল	протокол
প্রোটোকল	протоколи
প্রোটোকল	протоколів
ইয়াজিদ	язід
সৃষ্টিকর্তা	творець
সৃষ্টিকর্তা	автор
সৃষ্টিকর্তা	створив
সন্ত্রাসবাদ	тероризм
যত্ন	дбав
যত্ন	піклування
যত্ন	догляд
তাজিকিস্তান	таджикистану
অনশন	піст
সুগার	цукор
মোদী	моді
মাননীয়	величність
ফান্ড	фонди
ফান্ড	коштів
ফান্ড	фонд
ফান্ড	фонду
নির্মম	жорстоко
নির্মম	брутальний
নির্মম	шалена
নির্মম	круті
নির্মম	примхи
নির্মম	жорсткі
নির্মম	суворий
তন্তু	слідів
তন্তু	волокна
মনি	mani
বাটলার	батлер
কৈশোর	підліток
চিনতে	впізнав
চিনতে	впізнала
চিনতে	впізнати
চিনতে	визнає
চিনতে	впізнали
সাবান	мило
স্বরধ্বনি	голосний
স্বরধ্বনি	піднесення
জেনিফার	дженніфер
ক্ষেত্রগুলি	поля
মরক্কো	марокко
সিরীয়	сирійська
সিরীয়	сирійський
এভিনিউ	проспект
এভিনিউ	avenue
হকিং	гокінг
অর্থহীন	марними
অর্থহীন	непотрібні
পাখনা	крила
ক্রিশ্চিয়ান	християни
ক্রিশ্চিয়ান	християнин
ক্রিশ্চিয়ান	крістіан
ক্রিশ্চিয়ান	християнський
ক্রিশ্চিয়ান	християнська
মাচু	мачу
অভ্যর্থনা	прийом
ট্রিপল	потрійний
ইউরেশীয়	євразійський
মস্তিষ্কে	мозок
মস্তিষ্কে	мозку
পলায়ন	тікають
পলায়ন	продовжили
নিঃসন্দেহে	безсумнівно
ক্রুসেড	crusade
নিবিড়	інтенсивне
প্রোডাকশন	продакшн
প্রোডাকশন	виробництво
প্রোডাকশন	продукція
খলিল	халіл
একনিষ্ঠ	присвячується
একনিষ্ঠ	присвяченого
একনিষ্ঠ	присвячено
একনিষ্ঠ	присвятив
অ্যাঞ্জেলো	анджело
এলেন	еллен
এলেন	елен
সিকিম	сіккім
ব্যাঙের	жаба
জিউস	зевс
আরেকটা	інший
আরেকটা	інша
জুরিখ	цюрих
জুরিখ	zurich
বাহুর	руки
মাইক্রো	мікро
বিভাজিত	перенесено
বিভাজিত	перенесені
ফ্লাওয়ার	квітки
ফ্লাওয়ার	квітка
অভিযোজন	адаптація
অভিযোজন	адаптації
স্থানাংক	координат
স্থানাংক	керував
স্থানাংক	координати
ইব্রাহীম	ібрагім
ইব্রাহীম	авраам
ইব্রাহীম	абрахам
কোমর	талію
কোমর	талія
কোমর	пояс
উদ্বাস্তু	біженців
বিপর্যয়ের	катастрофа
মোড	режим
মোড	лад
মোড	mode
কাঁকড়া	краби
কাঁকড়া	краб
নিয়মাবলী	правила
মায়ার	мая
মায়ার	майя
গন্য	становитиме
গন্য	рахує
নেভিল	невіл
শত্রুদের	ворогів
শত্রুদের	вороги
ভিড়	натовпи
ভিড়	натовп
ভিড়	натовпі
ভিলা	вілла
গোসল	душі
গোসল	душ
গোসল	ванна
গোসল	ванни
কোটা	квоти
কোটা	кота
টার্গেট	цілей
বাজেয়াপ্ত	конфіскували
ফসফরাস	фосфор
গোপনীয়তা	приватність
গোপনীয়তা	конфіденційність
গোপনীয়তা	конфіденційності
ইস্তানবুল	стамбула
ইস্তানবুল	стамбулі
ইস্তানবুল	стамбул
পিতামাতা	батьки
পিতামাতা	батьківські
পিতামাতা	батьки
পিতামাতা	батьківського
পিতামাতা	батьківський
অবিচ্ছিন্ন	продовження
নামগুলো	назви
নামগুলো	імена
গ্রীষ্মকাল	літо
জাকার্তা	джакарта
হেল	гель
সিনেট	сенат
টুইটার	twitter
টুইটার	тремтіння
বাঁক	кривих
বাঁক	криві
বরখাস্ত	вигнав
বীরত্ব	героїзм
যুগল	пара
যুগল	парочка
জার	цар
জার	банки
লায়ন	лев
অভিযোগের	звинувачення
অভিযোগের	видатки
ভাঙন	ерозія
বাহামা	багами
ফিলিপস	philips
ফিলিপস	філліпс
টুকরা	шматочки
টুকরা	шматок
টুকরা	інсталяція
টুকরা	фігуру
টুকরা	шматочки
বরাক	барак
অসুস্থতা	хвороби
অসুস্থতা	хворобу
অসুস্থতা	хвороба
রহমত	мерсі
রহমত	милосердя
দেওয়াল	стіну
দেওয়াল	стіна
দেওয়াল	стіні
দেওয়াল	стіни
দেওয়াল	мури
নোভা	нова
অ্যাক্ট	діяти
অ্যাক্ট	акт
টহল	патрулювання
টহল	патруль
টহল	патрульний
টহল	патрулювання
কোস্টা	коста
লাইক	подобається
লাইক	зразок
লাইক	like
লাইক	уподобання
লাইক	уподобань
লাইক	подобається
লাইক	вподобань
লাইক	вподобання
জুরি	юре
জুরি	журі
জুরি	жюрі
পিঠা	торт
স্থানসমূহ	місць
স্থানসমূহ	місця
স্থানসমূহ	місцини
শার্লক	шерлок
সি++	c++
স্পষ্টভাবে	безперечно
স্পষ্টভাবে	точно
স্পষ্টভাবে	безумовно
নিহিত	фінансується
নিহিত	фінансування
পিটার্সবার্গ	петербург
শ্রোতাদের	слухачі
গোয়ার	гоа
ঢোল	барабан
মন্ত্রনালয়	міністерства
মন্ত্রনালয়	міністерство
জারী	ярі
অভিনব	вишукана
অভিনব	вишуканий
ভেজা	мокра
ভেজা	мокрий
কুমির	крокодил
খুনের	вбивств
খুনের	вбивства
খুনের	вбивство
খুনের	убивство
মিছিলে	ряди
আর্কিটেকচার	архітектура
তেহরান	tehran
প্রার্থীদের	кандидатів
ম্যাজিক	чарівна
ম্যাজিক	магія
ম্যাজিক	magic
আগ্রাসন	агресія
পেনিসিলিন	пеніцилін
একাদশী	екадаші
শাহীন	шахін
রোমানদের	римляни
রোমানদের	роман
রোমানদের	римлянам
একশ	сотня
একশ	сотню
একশ	сто
হোল	ями
হোল	лунка
হোল	дірка
হোল	діра
ট্রানজিস্টর	транзистор
স্প্রিং	весняна
স্প্রিং	весна
স্প্রিং	весняний
স্প্রিং	весняні
ক্রেইগ	крейг
কীট	комахи
কীট	комаху
কীট	комаха
আদর্শে	ідеали
আদর্শে	ідеалів
মিগ	mig
সারসংক্ষেপ	огляд
সারসংক্ষেপ	резюме
সারসংক্ষেপ	зведення
সারসংক্ষেপ	підсумок
শিক্ষাগত	освітня
শিক্ষাগত	навчальна
শিক্ষাগত	освітні
শিক্ষাগত	навчальних
উদ্ভিদবিজ্ঞান	ботаніка
তাক	шафа
তাক	стійка
তাক	полиці
সুড়ঙ্গ	тунель
সুড়ঙ্গ	тунелів
সুড়ঙ্গ	тунелі
জুল	жуль
ফ্যাক্টর	фактори
ফ্যাক্টর	коефіцієнт
ফ্যাক্টর	фактор
তুই	тобою
তুই	ви
তুই	ти
তুই	тебе
ডেল্টা	дельта
ডেল্টা	delta
চিত্রগ্রহণ	зйомки
চিত্রগ্রহণ	знімати
চিত্রগ্রহণ	доходить
চিত্রগ্রহণ	знімаю
নৈতিকতা	етика
নৈতিকতা	мораль
নৈতিকতা	мораль
নৈতিকতা	мораль
রাজহাঁস	гусей
গ্যালিলিও	галілео
গাদ্দাফি	каддафі
উষ্ণতা	тепло
স্টকহোম	стокгольм
ভাবতে	думаю
ভাবতে	think
ভাবতে	думайте
ভাবতে	згадай
ভাবতে	подумайте
সংকোচন	стиснути
প্রসারণ	розгорнути
প্রসারণ	розширити
প্রসারণ	розкрити
প্রসারণ	суфікс
প্রসারণ	розширення
আংটি	кільце
আংটি	перстень
আংটি	каблучка
আংটি	кільцева
আংটি	кільця
আংটি	обручки
পশ্চিমী	західний
পশ্চিমী	західні
পশ্চিমী	західна
কিড	малиш
দিচ্ছে	віддавали
দিচ্ছে	віддавати
দিচ্ছে	віддаю
দিচ্ছে	даючи
দিচ্ছে	даєш
উট	верблюди
উট	верблюда
জামা	сорочки
জামা	сорочка
গ্রীষ্মের	літо
ফরিদ	фарід
ইউয়ান	юань
গল	галлія
বাঁচতে	жити
বাঁচতে	live
বাঁচতে	наживо
বাঁচতে	живу
বাঁচতে	трансляція
কলম্বাস	колумб
ট্যাঙ্ক	танк
ট্যাঙ্ক	танки
ট্যাঙ্ক	танків
সুত্র	питання
স্বাভাবিকভাবেই	природним
স্বাভাবিকভাবেই	природно
ব্রিটানিকা	britannica
আরোগ্য	вистачить
আরোগ্য	лікують
আরোগ্য	вакцина
আরোগ্য	вилікувати
আরোগ্য	цілющі
কোকিল	зозуля
ক্রোয়েশীয়	хорватська
হতাশ	незадоволений
হতাশ	розчарований
হতাশ	розчарована
উত্পাদন	виробництва
উত্পাদন	продакшн
উত্পাদন	виробництво
উত্পাদন	продукція
উত্পাদন	виробництво
অযোগ্য	призначене
তেরেসা	тереза
ফাতিমা	фатіма
ক্রিসেন্ট	півмісяць
ভিক্ষুদের	монахи
নেচার	природа
নেচার	природня
প্লাটুন	чота
প্লাটুন	взвод
লিখুন	записати
লিখুন	напишіть
লিখুন	пишіть
লিখুন	виписати
লিখুন	написати
লিখুন	ввести
লিখুন	увійти
লিখুন	введіть
লিখুন	enter
মরিশাস	маврикію
ফাঁদ	стерти
ফাঁদ	витерти
ফাঁদ	пастка
ফাঁদ	пастки
গ্যালারী	галереях
গ্যালারী	галереї
ব্যঞ্জনধ্বনি	приголосний
গুণাবলী	якостями
বোস্টন	бостон
সুইফট	swift
অপশন	варіанти
অপশন	пункти
অপশন	опції
অপশন	параметри
মার্কস	позначає
পকেট	кишені
পকেট	кишеня
পকেট	кишенях
পকেট	кишені
বোর	породила
বোর	бора
বোর	бор
আনুষঙ্গিক	аксесуари
কাঁধ	плече
কাঁধ	плечі
কাঁধ	плечима
স্পিরিট	духи
স্পিরিট	духів
স্পিরিট	колорит
স্পিরিট	дух
স্পিরিট	spirit
টিকেট	квиток
টিকেট	квитків
ডিজেল	дизель
মোস্ট	найцікавіше
মোস্ট	більшість
স্নেহ	класики
মার্ক্স	маркс
মার্ক্স	маркса
ছোঁয়া	дотик
অঙ্গীকার	обіцяю
অঙ্গীকার	обіцянку
অঙ্গীকার	обіцяють
অঙ্গীকার	характеру
অঙ্গীকার	визнавати
অঙ্গীকার	обіцянка
অঙ্গীকার	дарування
হোস্ট	вузол
হোস্ট	ведуча
হোস্ট	вузли
হোস্ট	сервери
ইভা	єва
ইভা	єва
ইভা	єву
ইভা	переддень
ইভা	ів
ইভা	єви
বিস্ফোরিত	вибухне
বিস্ফোরিত	вибухнула
বিস্ফোরিত	вибухнув
সরানো	зворушений
সরানো	переїхала
সরানো	переїхали
সরানো	переїхав
ড্রাম	барабан
দড়ি	мотузку
দড়ি	нитка
দড়ি	мотузка
দড়ি	мотузки
টিউটোরিয়াল	підручники
টিউটোরিয়াল	настанови
টিউটোরিয়াল	інструкції
টিউটোরিয়াল	підручник
টিউটোরিয়াল	навчальної
টিউটোরিয়াল	навчання
পাসপোর্ট	паспорт
ফেরি	пором
উল্লম্ব	вертикальна
উল্লম্ব	вертикальне
উল্লম্ব	вертикальні
উল্লম্ব	вертикально
উল্লম্ব	вертикаль
উল্লম্ব	вертикальний
অগ্রগামী	pioneer
ফিকে	похмура
প্রিন্টার	принтера
প্রিন্টার	принтері
প্রিন্টার	принтер
প্রিন্টার	принтери
প্রিন্টার	принтерів
জাস্টিস	справедливість
জাস্টিস	правосуддя
মার্টিনেজ	мартінес
ফুসফুসের	легені
গোলন্দাজ	навідник
গেজেট	gazette
রেসিং	перегони
রেসিং	гонки
রেসিং	racing
যাদু	чарівна
যাদু	магія
যাদু	magic
এয়ারওয়েজ	airways
আইভি	плющ
সাম	сума
সাম	суму
সাম	сум
পিস্তল	пістолет
কেরি	керрі
দুধের	молоко
দুধের	молока
দুধের	milk
পরজীবী	паразит
কাঁটার	колючки
জ্যাজ	джаз
জ্যাজ	jazz
জ্যাজ	джазу
পাজ	пас
আর্সেনিক	арсен
আর্সেনিক	френч
আর্সেনিক	французька
আর্সেনিক	французькою
আর্সেনিক	французький
বিস্মিত	здивовані
বিস্মিত	дивує
বিস্মিত	здивована
বিস্মিত	здивувався
বিস্মিত	здивований
বিস্মিত	дивуюся
বিস্মিত	вражена
বিস্মিত	шокований
বিস্মিত	шокована
আয়না	дзеркал
আয়না	дзеркала
আয়না	дзеркало
অঞ্চলগুলি	регіони
অঞ্চলগুলি	регіонів
অঞ্চলগুলি	регіонах
অঞ্চলগুলি	областях
পয়সা	монета
পয়সা	фішка
পয়সা	монету
পার্কিং	паркінг
পার্কিং	паркування
কম্পটন	комптон
সর্বোত্তম	найвища
সর্বোত্তম	найвищий
সর্বোত্তম	кращий
সর্বোত্তম	найкраща
সর্বোত্তম	найкращий
সর্বোত্তম	найкраще
সর্বোত্তম	найкращі
সর্বোত্তম	відмінний
সর্বোত্তম	чудова
সর্বোত্তম	відмінно
বাক্যে	речення
বাক্যে	вирок
পরিকাঠামো	інфраструктура
গনি	гані
ভিজুয়াল	візуальне
ভিজুয়াল	візуальні
ভিজুয়াল	візуальний
হি	хі
অবজেক্ট	object
অবজেক্ট	предмети
পোলার	полярна
পোলার	полярний
মনস্তাত্ত্বিক	душевний
মনস্তাত্ত্বিক	психологічний
মনস্তাত্ত্বিক	психологічна
সিল্ক	шовку
সিল্ক	шовк
অনুকরণ	моделювання
অনুকরণ	симуляція
অনুকরণ	симуляція
অনুকরণ	імітація
রুডলফ	рудольф
কেলি	келлі
তীক্ষ্ণ	кін
তীক্ষ্ণ	прагне
তীক্ষ্ণ	гострий
তীক্ষ্ণ	гострі
থিওডোর	теодор
ব্র্যাড	бред
রোভার	rover
রোভার	ровер
টার্নার	тернер
খরা	посухи
জোরে	гучний
জোরে	голосно
জোরে	гучно
জোরে	яскрава
বক	відхилення
বক	чапля
বেলারুশ	білорусі
বেলারুশ	білорусь
কঙ্কাল	основу
পাত্রের	по
পাত্রের	горщиках
ডেরেক	дерек
নুর	нур
শোষিত	поглинає
টিয়া	папуга
রূপালী	срібла
রূপালী	срібло
রূপালী	silver
রূপালী	срібний
ঘুড়ি	шуліка
ক্যাবিনেট	кабінет
ক্যাবিনেট	кабінету
উইন্ডসর	віндзор
ডকুমেন্ট	документом
ডকুমেন্ট	документа
ডকুমেন্ট	документ
ডকুমেন্ট	документи
কর্মসংস্থান	працевлаштування
ঘাসের	трава
ঘাসের	трави
বলছে	каже
লাফ	стрибати
লাফ	перехід
লাফ	стрибок
লাফ	перейти
লাফ	накинувся
তৃণভূমি	мід
গানগুলি	пісень
গানগুলি	пісні
গানগুলি	songs
আইওএস	ios
উজ্জ্বলতা	підсвічування
উজ্জ্বলতা	величина
উজ্জ্বলতা	яскравість
ডেবিয়ান	debian
রিম	кордону
যাজক	пастор
যাজক	духовенство
যাজক	священики
অনুভূতির	почуття
যোগফল	сума
যোগফল	суму
যোগফল	сум
পাখা	прихильник
পাখা	фан
পাখা	шанувальник
পাখা	шанувальників
পাখা	вентилятор
মাংসের	meat
মাংসের	ковбасу
ফাটল	тріщини
জলবিদ্যুৎ	гідроенергетика
সন্ত্রাসবাদী	терорист
সন্ত্রাসবাদী	терористичних
সন্ত্রাসবাদী	терориста
সন্ত্রাসবাদী	терористи
সন্ত্রাসবাদী	терористів
গ্লাসগো	glasgow
ফোটন	фотон
নির্ভুল	perfect
নির্ভুল	ідеально
নির্ভুল	ідеальні
নির্ভুল	ідеальне
নির্ভুল	ідеальна
নির্ভুল	досконало
ম্যানগ্রোভ	мангрових
লক্ষণীয়	поліпшити
একরকম	схожі
গিল	гіл
সজীব	свіжі
সজীব	свіже
সজীব	свіжа
সজীব	свіжий
প্রাইম	prime
রোপণ	посадив
কেনেথ	кеннет
অ্যালগোরিদম	алгоритм
নিছক	стрімкі
হোমো	людина
হোমো	homo
সন্নিবেশিত	вбудований
সন্নিবেশিত	вбудована
সন্নিবেশিত	вбудованим
সন্নিবেশিত	вбудовані
মহীশূর	майсур
প্যাকেট	пакети
প্যাকেট	пакетів
কাছিম	черепашка
কাছিম	черепаха
কাছিম	черепашки
কাছিম	черепахи
আল্প	альп
আল্প	альпи
বর্গাকার	квадратний
বর্গাকার	площа
বর্গাকার	квадрат
কাঁচা	raw
জিব্রাল্টার	гібралтар
নিরো	ніро
নিরো	nero
রাসূল	messenger
রাসূল	апостола
রাসূল	апостол
অস্থির	неспокійно
উড়োজাহাজ	літаком
উড়োজাহাজ	літак
কালেক্টর	колектор
সালমা	сальма
নবাগত	новачок
সংক্রামক	інфекційних
গণ্ডার	носоріг
বর্ম	обладунки
বর্ম	броні
ব্যস্ততম	бурхливу
ফ্লোরেন্স	флоренція
ফ্লোরেন্স	флоренції
সরিষা	гірчиця
ভোরের	світанок
ভোরের	світанку
স্লোভেনিয়া	словенії
স্লোভেনিয়া	словенія
চিতা	гепард
চিতা	барс
সমৃদ্ধির	процвітання
যাচ্ছেন	їду
যাচ্ছেন	йдемо
প্লেটো	платон
মালি	малий
মালি	малі
ডাকাত	розбійники
ডাকাত	бандити
নেইমার	неймар
ঘুষি	бити
গ্রামার	граматики
গ্রামার	граматика
ফ্রান্সিস্কো	франсіско
ফ্রান্সিস্কো	франциско
অন্যান্যরা	інших
অন্যান্যরা	інші
অন্যান্যরা	іншими
বিচ	пляжний
বিচ	біч
বিচ	пляж
ফেলিক্স	фелікс
ভ্রমন	подорож
ওবামা	обама
জাগ্রত	пробуджується
জাগ্রত	прокинулися
জাগ্রত	прокинувся
বান্ধবী	подружка
বান্ধবী	подруга
বান্ধবী	дівчина
ক্রেওল	креольська
ছোটখাটো	мініатюра
ধারালো	гострий
ধারালো	гострі
ভিটা	віта
পেঁয়াজ	цибулю
