гостиница	готель
середина	середини
медицинская	медичних
медицинская	медичний
медицинская	medical
медицинская	медична
медицинская	медичні
логично	логічно
логично	логічна
логично	логічний
логично	логічне
выпускников	випускники
жаль	шкода
месяцы	місяці
месяцы	місяцями
месяцы	місяців
стремится	шукає
индонезия	індонезія
индонезия	індонезії
дизайнер	designer
дизайнер	дизайнер
дизайнер	дизайнера
стол	стіл
стол	столик
стол	таблиця
стол	таблиці
стол	стіл
луиджи	луїджі
исчезли	зник
могилы	могили
томми	томмі
томми	томі
королевская	королівська
королевская	royal
королевская	королівський
королевская	королівське
королевская	рояль
белков	білку
способствовало	пропонував
соглашается	згідний
чан	чан
чан	чан
чан	чан
улицах	вулицям
улицах	вулиць
улицах	вуличками
улицах	вулицями
улицах	вулиці
казнь	виконання
тольятти	тольятті
морис	моріс
совершает	передачі
совершает	передача
самцы	самці
убедить	переконати
технику	техніка
технику	методика
частного	приватні
частного	приватна
частного	особисте
частного	приватний
оригинальные	оригінал
оригинальные	оригінальна
оригинальные	оригінальне
оригинальные	початкове
оригинальные	оригінальний
цветы	квіти
рыцарь	лицар
прокат	автомобілів
прокат	оренду
литве	литві
литве	литви
литве	литва
первомайский	первомайський
родригес	родрігес
дам	гребля
наблюдать	спостерігати
кама	кама
печатных	надруковано
северное	північна
северное	північний
северное	північне
ценностей	значення
ценностей	цінності
квадратный	квадратний
квадратный	площа
квадратный	квадрат
малайзии	малайзії
малайзии	малайзійський
реплика	cue
одежда	одяг
одежда	одяг
промышленные	промислові
промышленные	промислова
промышленные	промисловий
тяжёлая	heavy
тяжёлая	важкий
тяжёлая	сильний
мкс	мкс
мкс	іс
мкс	irc
мкс	cie
оппонентов	опонентами
оппонентов	суперників
оппонентов	суперники
вдова	вдова
вдова	вдови
грибы	гриби
грибы	гриби
грибы	грибів
грибы	гриб
грибы	гриби
идеологии	ідеологія
разрешить	дозволяти
разрешить	дозволити
разрешить	дозволяють
барбара	барбара
признали	підтверджую
признали	визнана
признали	визнала
признали	визнав
признали	впізнали
признали	впізнав
признали	визнано
признали	визначив
верфи	верф
псевдонимы	псевдоніми
законодательство	законодавства
законодательство	законодавство
ксения	ксенія
ксения	ксенія
ганс	ганс
сзади	позаду
сзади	задній
сзади	строю
иллинойс	іллінойс
тон	тонну
тон	тонни
тон	тонус
тон	тон
тон	тоне
планете	planet
планете	планета
леви	леві
леви	леві
потомков	нащадки
регистр	зареєструватись
регистр	зареєструвати
регистр	регістр
регистр	реєстрація
регистр	реєстр
прототип	прототип
творческий	оформлення
творческий	творчий
творческий	креативні
геологии	геологія
химический	хімічна
химический	хімічні
химический	хімічний
ближайший	найближчий
ближайший	найближча
ближайший	найближчу
ближайший	найближчий
ближайший	найближчі
астрономы	астрономи
препараты	медикаментів
нижние	нижній
нижние	опустити
нижние	нижня
нижние	нижча
чистой	очистити
чистой	прибрати
чистой	почистити
чистой	чистий
украинцы	українцям
украинцы	українці
украинцы	український
украинцы	українець
украинцы	українська
продолжая	продовжуючи
продолжая	продовжуємо
коды	коди
коды	кодів
среду	середа
уголовное	кримінальні
уголовное	кримінальний
уголовное	кримінальне
уголовное	злочинець
капитал	капітал
капитал	столиця
монография	монографія
росс	рос
росс	росс
гвинеи	гвінеї
гвинеи	гвінея
гвинеи	гвінейський
вкус	смак
ссылается	викликає
дама	жіночі
дама	леді
дама	пані
дама	дам
атлетика	атлетика
трудящихся	робітників
трудящихся	працівників
трудящихся	працівники
трудящихся	робітники
ставки	ставки
ставки	ставки
ставки	курси
ставки	швидкостей
ставки	ставками
люблю	любов
люблю	кохаю
люблю	кохання
подруга	подружка
подруга	подруга
подруга	дівчина
подруга	другові
подруга	другом
подруга	друг
подруга	подруга
подруга	друга
сицилии	сицилії
клиентов	замовник
клиентов	клієнт
клиентов	клієнти
клиентов	клієнтів
клиентов	клієнтами
клиентов	клієнти
клиентов	клієнтів
клиентов	клієнтами
клиентов	клієнтам
выпускник	випускниця
выпускник	випускник
возникновение	спостерігали
успенский	успенський
остановка	зупинка
гвинея	гвінеї
гвинея	гвінея
реформа	реформування
реформа	реформи
реформа	реформа
войти	входу
войти	увійти
войти	вхід
войти	ввести
войти	увійти
войти	введіть
войти	enter
дева	діва
дева	діва
дева	богородиці
дева	дівоче
дева	дівоча
травму	травми
травму	травма
висит	висить
висит	висіти
полицейских	поліцейських
конвенции	конвенції
конвенции	конвенція
конвенции	конвенції
местоположения	розташування
местоположения	адреси
местоположения	місця
местоположения	адрес
обнаружить	знайдіть
душа	душі
душа	душ
душа	душу
душа	душа
душа	soul
душа	душею
медведь	ведмідь
медведь	ведмедик
чёрное	чорні
чёрное	чорне
чёрное	чорна
чёрное	чорний
эхо	echoes
эхо	echo
эхо	ехо
эхо	відлуння
кипра	кіпр
кипра	кіпрі
кипра	кіпру
быстрый	швидкі
быстрый	швидко
быстрый	швидке
быстрый	швидка
быстрый	швидкий
быстрый	швидко
быстрый	швидкі
быстрый	швидке
быстрый	швидка
быстрый	фаст
быстрый	швидкий
кратеров	кратери
тан	тан
тан	tan
тан	тан
тан	тань
спектр	контррозвідки
спектр	спектр
курт	курт
курт	курт
ширину	ширина
ширину	ширину
ширину	товщина
представлений	внески
представлений	претендентів
нации	держава
нации	нації
нации	нація
джин	цзінь
джин	джин
джин	наливайка
джин	жан
джин	джин
джин	ген
джин	джин
продано	продано
материнская	материнська
мощный	потужний
мощный	потужно
кругах	кіл
кругах	кола
записать	записати
записать	записувати
записать	рекорд
записать	запис
испанская	іспанською
испанская	іспанської
испанская	іспанська
комплексы	кластерами
разнообразные	особливі
мол	mal
мол	мол
мол	моль
моложе	молодша
моложе	молодший
моложе	молодшою
моложе	молодше
интерпретации	інтерпретації
льда	лід
северные	північна
северные	північний
северные	північне
зимний	зима
институты	інституція
институты	закладів
институты	установи
институты	інституції
институты	установ
институты	топові
немецкое	німецька
немецкое	німець
немецкое	герман
немецкое	німецькою
немецкое	німецький
норвежский	норвезька
командиров	командуванням
взяв	веду
взяв	взяти
взяв	беру
лейтенанты	високопосадовців
вулкан	вулкан
вулкан	vulcan
дополнительная	додаткові
дополнительная	додатковий
дополнительная	зайві
дополнительная	додаткова
дополнительная	додаткові
десятилетий	грунту
выросла	виросла
гостиницы	готелях
гостиницы	готелі
гостиницы	готелів
конкретный	конкретних
конкретный	певне
конкретный	конкретні
конкретный	бетонні
конкретный	бетон
верить	вірити
верить	повір
верить	вірю
верить	believe
верить	віримо
купить	купити
купить	придбати
верность	вірність
верность	вірність
поднять	підняти
поднять	підняти
поднять	ліфт
поднять	підібрали
поднять	складати
поднять	підняти
плата	плату
медики	медиків
репутацию	репутацію
репутацию	репутація
школьников	школярів
коммуникации	комунікацій
костюм	костюм
костюм	костюм
избирательный	вибіркове
маяк	маяк
норма	норма
норма	норм
норма	норма
отдельное	окреме
отдельное	відокремити
воин	воїн
крус	крус
отбора	вибір
отбора	вибране
бойцы	бійців
бойцы	бійці
лук	цибуля
лук	цибулю
лук	цибулею
лук	цибулі
лук	уклін
лук	арку
лук	лук
ушел	зник
ушел	зникли
ушел	зникла
прусской	прусська
бабушка	бабусі
бабушка	бабуся
бабушка	бабця
бабушка	бабусю
бабушка	бабусю
бабушка	аліна
бабушка	бабуся
фишер	фішер
фишер	фішер
симфония	симфонічний
симфония	симфонія
скажите	say
скажите	скажуть
скажите	кажу
скажите	сказати
скажите	кажеш
разрешено	статутний
разрешено	дозволено
разрешено	дозволені
разрешено	дозволили
разрешено	дозволено
разрешено	надавати
гражданские	цивільно
гражданские	цивільний
гражданские	громадянська
гражданские	цивільних
гражданские	цивільний
гражданские	цивільних
марино	марино
александров	александров
вызвали	покликали
вызвали	покликав
яковлев	яковлєв
богдан	богдан
проектирование	проектування
проектирование	дизайн
проектирование	розробка
проектирование	розробка
повышенной	підвищеного
функционирования	функціонування
низкая	низький
низкая	низька
низкая	low
краснодар	краснодар
завершено	завершено
завершено	завершені
завершено	виконано
завершено	завершено
завершено	завершені
завершено	закінчено
завершено	закінчиться
завершено	закінчив
сталинская	сталінський
франс	франс
франс	франції
франс	франція
франс	францію
индейцы	індіанці
трио	тріо
польшу	польщу
польшу	польща
польшу	польщі
толщиной	жирна
толщиной	товстий
толщиной	товста
толщиной	густе
достоинство	гідності
достоинство	гідність
верующих	віруючих
верующих	вірний
верующих	вірним
пустыни	пустелі
пустыни	пустеля
пустыни	пустелях
пустыни	пустелі
оборона	оборона
оборона	захист
оборона	оборони
оборона	захист
оборона	оборону
оборона	захисний
аллен	аллен
технически	технічно
технически	формально
дяди	дядьки
христос	христос
христос	christ
христос	христа
героиня	героїні
эрика	еріка
эрика	еріка
требовать	вимагати
согласиться	згодна
согласиться	згоден
согласиться	згодні
согласиться	погоджуюсь
согласиться	погоджуюся
согласиться	погодьтеся
упомянуть	згадай
пещера	печеру
пещера	печера
кабардино	кабардино
снимаю	зйомки
снимаю	знімати
снимаю	доходить
снимаю	знімаю
гости	відвідувачів
гости	відвідувачі
гости	гості
обнаружена	виявив
обнаружена	виявили
обнаружена	відкрив
обнаружена	виявлені
обнаружена	виявлено
переворот	переворот
южные	південна
южные	південний
афганистан	афганістану
афганистан	афганістан
перри	перрі
обслуживание	послуги
обслуживание	служби
обслуживание	служби
обслуживание	service
обслуживание	служба
обслуживание	послуга
обслуживание	сервіс
религиозный	релігійна
религиозный	релігійні
сортов	сортів
выделение	вибір
выделение	вибране
степанов	степанов
банки	береги
банки	банків
банки	банки
банки	банки
банки	банки
патриархата	патріархат
патриархата	патріархату
патриархата	патріарх
используемый	використовується
используемый	використана
используемый	використані
используемый	використано
настоящие	реал
настоящие	справжня
настоящие	справжні
настоящие	реальний
настоящие	справжній
настоящие	щирий
тяжёлый	heavy
тяжёлый	важкий
тяжёлый	сильний
сорок	сорок
ларри	ларрі
ларри	ларі
ларри	лері
курган	курган
стояла	стояв
стояла	стояли
запретить	заборонити
запретить	заборону
запретить	заблокувати
запретить	бан
крыша	дах
промышленный	промислові
промышленный	промислова
промышленный	промисловий
продюсеры	продюсери
продюсеры	виробники
объяснение	пояснення
уэст	захід
уэст	вест
атмосферу	атмосфера
добавления	додавання
прорыв	прорив
прорыв	breakout
сложный	комплекс
сложный	складні
сложный	складне
сложный	складно
сложный	складною
лат	lat
мастерство	майстерність
мастерство	уміння
сущность	суть
сущность	сутність
дизель	дизель
приоритет	priority
приоритет	пріоритет
кратко	коротко
кратко	коротко
боли	біль
секс	стать
секс	секс
секс	sex
уолтер	волтер
уолтер	вальтер
инцидент	інцидент
инцидент	дтп
серый	сірий
серый	сірі
серый	сіра
серый	сірий
серый	грей
филармонии	філармонія
точность	точність
точность	точність
альянс	альянс
заявляет	задає
проза	проза
белки	білок
белки	білки
белки	білку
белки	білки
мяса	meat
мяса	ковбасу
управляет	вдасться
управляет	влаштує
скандал	скандал
петровский	петровський
разницы	поле
свадьбы	весілля
ранение	травми
ранение	ушкоджень
ранение	ушкодження
ранение	травм
ранение	рана
орловская	орловська
подразумевает	мається
подразумевает	штрафу
фсб	fsb
пенсильвания	pennsylvania
цепь	ланцюжок
цепь	ланцюг
видна	видима
видна	видимий
видна	видно
видна	видимі
пруд	ставок
пруд	понд
звёздный	зоряна
волгоград	волгоград
делегации	делегацій
персона	персона
умершего	померлих
длиннее	довший
длиннее	довше
заменены	замінено
заменены	замінили
заменены	замінила
процессор	процесор
процессор	процесор
процессор	процесора
процессор	цп
изредка	місцями
эксперименты	експериментувати
эксперименты	експерименти
монах	монах
гражданина	житель
гражданина	громадянин
флоренции	флоренція
флоренции	флоренції
занят	зайнята
занят	зайнятість
занят	зайнятий
занят	зайнято
баз	баз
добровольцев	волонтери
добровольцев	волонтерів
добровольцев	добровольці
добровольцев	волонтер
добровольцев	волонтера
рождение	народження
отменить	скасувати
отменить	скасувати
винтовки	гвинтівок
винтовки	гвинтівки
самостоятельный	автономна
самостоятельный	автономний
доски	комітетів
доски	boards
отступить	відступати
очевидна	очевидно
очевидна	очевидне
очевидна	банально
очевидна	очевидна
максимович	максимович
вступление	вступ
существо	істота
существо	створіння
открытая	відкрити
открытая	відкрита
открытая	відкрито
открытая	відкриті
открытая	відкритий
принесли	привезли
принесли	принесли
принесли	приніс
единство	єдність
восьмой	вісім
восьмой	восьмий
столкновение	зіткнення
столкновение	clash
батарея	батареї
батарея	акумулятор
батарея	акумулятори
батарея	батарея
оценил	цінувати
оценил	вдячністю
оценил	оцінила
топливо	пальне
топливо	паливо
топливо	палива
топливо	палива
зенит	зеніт
зенит	зеніт
педагогических	педагогічних
педагогических	педагогічний
кристаллическая	кристалічних
рико	ріко
снятие	зняття
снятие	піднімати
снятие	зняття
прекращения	завершення
купил	платні
купил	придбаний
купил	купили
купил	купила
купил	купив
срочно	терміново
срочно	термінову
петрозаводск	петрозаводськ
похожие	схожі
похожие	подібні
похожие	подібна
похожие	подібний
врачи	лікарям
врачи	лікарів
врачи	лікарі
глубину	глибина
галактики	галактики
галактики	галактик
собирать	зібрати
собирать	збирати
уникальный	унікальний
уникальный	унікальне
уникальный	унікальні
массачусетс	массачусетс
мюллер	мюллер
мюллер	мюллер
мюллер	мюллер
мостов	мости
мостов	мостів
миллион	мільйон
комнаты	кімнат
комнаты	кімнати
ралли	ралі
ралли	мітинг
сократить	скоротити
сократить	зменшити
сократить	різати
сократить	вирізати
стрельба	стрільби
стрельба	зйомки
стрельба	стрільба
стрельба	постріли
раскопки	excavations
корпорация	корпорація
австрийская	австрійська
австрийская	австрійський
вершина	apex
вершина	вершиною
вершина	вершина
вершина	вершину
перестал	зупинено
перестал	зупинили
перестал	зупинився
перестал	зупинка
стрелок	шутер
стрелок	стрілок
региональный	районної
региональный	обласний
региональный	регіональні
региональный	регіональний
резиденция	резиденція
катание	катання
католицизм	католицтво
эпитет	епітет
изготовление	виробництва
изготовление	виробництво
изготовление	творити
изготовление	внесення
победителей	переможці
пользователи	користувачі
пользователи	користувачів
полу	крапкою
полу	напів
борисов	борисов
землетрясения	землетруси
землетрясения	землетрус
колоний	колонії
христиане	християни
христиане	християнин
христиане	крістіан
христиане	християнський
христиане	християнська
христиане	християни
рнк	рнк
тыл	задній
тыл	строю
кипр	кіпр
кипр	кіпрі
кипр	кіпру
мифы	міфи
мифы	міфів
судьбу	доля
судьбу	доля
судьбу	долі
судьбу	долю
глубины	глибини
глубины	глибина
ногу	нога
ногу	ногою
ногу	фут
ногу	пішки
ногу	лапка
ногу	ніжку
ногу	нога
ногу	нозі
ногу	ногу
страх	fear
страх	страх
страх	страху
интересная	цікавий
интересная	цікаво
интересная	цікаве
заседания	зустрічей
заседания	зустрічі
побеждает	перемог
побеждает	посіла
побеждает	виграє
разработчик	розробник
разработчик	розробника
статуи	статуї
активная	активна
активная	активні
активная	активне
активная	активним
активная	активний
оперативной	оперативного
оперативной	оперативна
оперативной	готовності
начальное	основний
начальное	основне
начальное	основна
растворяется	розчиняється
заметили	помітив
заметили	помітила
заметили	помітили
вмешательства	завада
вмешательства	втручання
корона	корону
корона	корона
корона	корони
политиков	політики
посла	посол
регулярного	формальні
регулярного	регулярний
регулярного	звичайний
регулярного	формальний
нова	нова
разногласия	відмінностей
разногласия	відмінності
разногласия	непорозумінь
разногласия	розбіжності
операторы	оператори
производственного	продуктивного
эмигрировал	емігрував
риа	ria
традиционный	традиційними
традиционный	традиційний
традиционный	традиційні
традиционный	традиційна
традиционный	традиційне
генералов	генералів
фонтан	фонтан
ресторан	ресторан
присутствовали	відвідали
углы	кути
углы	кути
партизаны	партизани
отчет	повідомити
отчет	скарга
отчет	звіт
экспорт	експортує
экспорт	експорт
экспорт	експорт
экспорт	експортувати
антония	антонія
целое	ціла
целое	ціле
целое	цілу
целое	цілий
целое	ціла
вещь	фішка
вещь	річ
вещь	затори
подтверждено	підтверджено
подтверждено	підтвердила
подтверждено	підтвердили
подтверждено	підтверджена
лёгкий	легке
лёгкий	легкого
шведская	шведська
враг	ворог
изменилось	змінився
изменилось	змінилася
изменилось	змінено
изменилось	змінений
изменилось	змінені
богдана	богдана
богдана	богдан
наследник	заразом
наследник	спадкоємець
наследник	нащадок
коммунистическая	комуністичний
коммунистическая	комуністична
широкая	широкі
широкая	широке
широкая	широкий
широкая	широка
мюзикл	музична
мюзикл	музичний
мюзикл	мюзикл
мюзикл	музичні
резерв	резервна
резерв	резерв
резерв	резервний
резерв	заповідник
репрессий	репресії
прозвища	псевдоніми
поняли	зрозуміла
поняли	зрозуміло
поняли	зрозуміли
интересный	цікавий
интересный	цікаво
интересный	цікаве
реальные	реал
реальные	справжня
реальные	справжні
реальные	реальний
реальные	справжній
теннис	теніс
ключи	клавіші
ключи	ключі
сделанные	зробила
сделанные	made
банды	чисельністю
банды	банди
татарский	татарин
татарский	татар
духовное	духовні
славу	славу
славу	слави
славу	славу
славу	слава
поляна	поляна
таиланд	таїланд
финансирование	фінансування
финансирование	фінансування
финансирование	фінанси
младшая	наймолодший
младшая	молодша
младшая	молодший
младшая	молодшою
младшая	молодше
глазго	glasgow
соперников	суперників
соперников	суперниками
пакистан	пакистану
пакистан	пакистан
робин	робін
робин	робін
библиотек	бібліотек
библиотек	бібліотеки
библиотек	бібліотеках
угроза	загрози
угроза	загроза
угроза	загрозу
угроза	загроза
угроза	погроза
угроза	загрозу
председатели	крісла
председатели	стільці
председатели	стільців
председатели	президентів
фёдоров	федоров
мозель	мозель
подростков	підлітки
демо	демонстрація
демо	демо
демо	демонстрації
трагедия	трагічний
трагедия	трагедія
трагедия	трагедія
заседание	сеанс
заседание	сесії
заседание	сеансу
заседание	сесія
заседание	засідання
заседание	нарада
заседание	зустрічі
заседание	зустріч
ушла	зник
ушла	зникли
ушла	зникла
луки	луками
луки	лука
луки	лука
таиланда	таїланд
таиланда	тайський
пройдя	проходила
пройдя	складе
советники	радники
троллейбус	тролейбус
отправили	постачається
отправили	надіслано
отправили	надіслані
аэропорты	аеропортів
гитлер	гітлера
гитлер	гітлер
оплаты	сплата
оплаты	оплати
оплаты	оплата
оплаты	платіж
оплаты	сплати
организмов	організми
присоединиться	приєднатися
присоединиться	приєднатись
присоединиться	приєднання
присоединиться	долучитися
присоединиться	приєднуйтесь
присоединиться	приєднуйтеся
хьюстон	houston
плацдарм	плацдарм
счастье	щастя
холл	холл
холл	зал
холл	зали
холл	ратуша
холл	голл
холл	зала
культ	культ
домашнее	домашній
лесных	лісова
лесных	ліс
никитин	нікітін
поколений	комплексів
поколений	покоління
поколений	поколінь
македония	македонія
македония	македонії
кондратьев	кондратьєв
утверждено	підтверджено
утверждено	затверджено
волос	шерсть
волос	волосся
создатели	творців
покрытия	обкладинку
покрытия	cover
покрытия	обкладинка
покрытия	обкладинки
ферма	ферма
произносится	виразний
грозный	грозний
условие	умова
объединять	комбінувати
португальский	португальська
низкий	низький
низкий	низька
низкий	low
никуда	нікуди
никуда	ніде
древесины	вуд
древесины	деревина
древесины	лісова
уменьшить	зменшити
уменьшить	зменшити
уменьшить	зменшення
уменьшить	зменшити
уменьшить	психологом
типичный	типові
типичный	типова
типичный	типовий
геолог	геолог
мобильных	мобільна
мобильных	мобільний
мобильных	мобільного
мобильных	мобільні
получены	отримано
получены	отримані
получены	отриманий
получены	отримали
получены	отримала
азота	азот
усовершенствования	вдосконалення
усовершенствования	покращення
мозг	мозок
мозг	мозку
мозг	мізки
поднял	виховали
поднял	виростили
поднял	карпатські
поднял	підняли
бред	бред
бред	delirium
бред	вирішать
бред	маячня
дэнни	данні
дэнни	денні
дэнни	денні
секция	розділ
секция	секція
секция	секції
десятка	десять
десятка	десятка
десятка	десяти
десятка	тен
десятка	десяток
десятка	десятки
нацистской	нацистів
господин	містер
господин	dominus
богатых	багаті
богатых	багатий
богатых	rich
богатых	багаті
богатых	багатих
сау	сау
биология	біологія
биология	біології
акулы	акул
акулы	акули
акулы	акула
диалектов	діалектів
сложность	складності
сложность	складність
сложность	складність
прибытия	прихід
прибытия	приїзд
прибытия	прибуття
осло	осло
расписание	розклад
расписание	розклад
введено	представила
введено	познайомила
введено	представив
квантовой	квантова
джонатан	джонатан
снималась	зірочкою
оперативного	запитати
оперативного	запитувати
разрыв	розійшлась
разрыв	розрив
пошла	поїхала
пошла	ходив
пошла	поїхав
греки	греки
греки	грецька
греки	грецький
греки	грецьке
греки	грек
греки	грецькі
богослов	богослов
васильевича	василевич
эволюция	еволюція
эволюция	evolution
подписания	підписують
подписания	підпис
леонардо	леонардо
дипольный	дипольний
сеньор	сеньйор
сеньор	сеньйор
водитель	драйвер
водитель	водій
водитель	водія
постоянная	постійний
постоянная	постійна
постоянная	стала
постоянная	постійний
монахов	монахи
паоло	паоло
завоевать	підкорити
завоевать	підкорення
вино	вина
вино	вино
бокс	бокс
прожил	жили
прожил	жила
прожил	жив
рабов	рабів
рабов	раби
боливии	болівійський
боливии	болівії
комсомольская	комсомольська
популярная	популярні
популярная	популярне
популярная	популярна
популярная	популярний
шейх	шейх
охлаждения	охолодження
путешественник	traveler
путешественник	мандрівник
путешественник	traveller
путешественник	мандрівник
гаити	гаїті
арсенал	арсенал
отбор	вибір
отбор	вибране
заменена	замінено
заменена	замінили
заменена	замінила
автономии	автономія
мадам	пані
мадам	мадам
мадам	madame
молока	молоко
молока	молока
молока	milk
специалиста	спеціаліст
словари	словників
словари	словники
длительность	тривалість
окончательный	фінал
окончательный	остаточний
окончательный	final
мера	вимірювання
мера	міру
мера	міра
новичков	новачкам
фазы	етапів
фазы	фази
рекорды	рекорди
рекорды	records
рекорды	платівки
меню	меню
меню	меню
белград	белграда
вилли	віллі
вилли	віллі
хлеба	хліба
хлеба	хліб
куча	купа
владельцев	власники
кислот	кислоти
дословно	дослівно
археологических	археологічний
сорока	сорок
соблюдать	спостерігати
наталия	наталя
наталия	наталія
инициатором	ініціатор
дерби	дербі
глеб	гліб
голода	голоду
голода	голод
испанию	іспанію
испанию	іспанія
испанию	іспанії
ассамблеи	зборів
ассамблеи	збори
фернандес	фернандес
фернандес	фернандес
снаружи	ззовні
снаружи	надворі
снаружи	поза
снаружи	зовні
археолог	археолог
александровка	александровка
отмечена	позначено
отмечена	позначене
отмечена	відмічені
отмечена	позначені
отмечена	помічено
баскетбол	баскетбол
гектаров	гектарів
предпочтение	основний
предпочтение	бажана
предпочтение	головна
предпочтение	бажаний
общение	комунікація
общение	спілкування
общение	комунікації
встретились	зустрілись
встретились	зустрілися
встретились	зустріли
джефф	джефф
абд	абд
луч	промінь
противоречия	протиріч
противоречия	протиріччя
противоречия	незгоди
аст	аст
амстердам	амстердам
эми	емі
антуан	антуан
цветок	квітки
цветок	квітка
философские	філософська
частная	приватні
частная	приватна
частная	особисте
частная	приватний
цру	цру
цру	цру
калия	калію
ленте	подача
ленте	годувати
ленте	стрічці
ленте	стрічка
ленте	подачу
морган	морган
прокурор	прокурор
прокурор	прокурора
мигель	мігель
равных	дорівнює
равных	рівне
равных	рівний
равных	дорівнює
коммуне	комуни
сомали	сомалі
сомали	сомалі
сомали	сомалійський
арк	арк
арк	дуга
арк	ark
арк	ковчег
чай	tea
чай	чаю
чай	чай
этапы	етапів
этапы	фази
этапы	стадії
этапы	діях
этапы	кроків
этапы	кроки
родственники	родичі
родственники	рідня
доверие	довіра
доверие	впевненість
доверие	довіра
кинематическая	кінематична
уничтожено	знищені
уничтожено	знищено
уничтожено	зруйновано
уничтожено	знищили
мэтт	мет
мэтт	метт
блоки	блоки
блоки	блоків
михаэль	михайло
михаэль	майкл
михаэль	michael
михаэль	михаїл
аргентинский	аргентинський
хью	гуго
леопольд	леопольд
склоне	схил
склоне	схилу
сер	сер
сер	пане
нормальная	звичайна
нормальная	нормальний
нормальная	нормальні
нормальная	звичайний
нормальная	звичайне
нос	ніс
произношение	вимова
наследника	заразом
наследника	спадкоємець
наследника	нащадок
пит	піт
пит	піт
адама	адам
ионизации	іонізація
кишинёв	кишинів
уверенно	впевнено
уверенно	узявся
абрамович	абрамович
кукол	ляльки
луций	луцій
зерна	зерна
зерна	зерно
еврейские	єврейський
еврейские	єврейська
габриэль	габріель
габриэль	габріель
дракон	dragon
дракон	дракон
тенденции	тренди
тенденции	тенденції
монархии	монархія
разбил	розбив
разбил	потерпілий
пекин	пекін
девочек	дівчатка
девочек	дівчата
дарья	дарія
дарья	мельникова
дарья	дарія
жозе	хосе
жозе	жозе
жозе	хосе
поставки	постачання
поставки	надати
поставки	запаси
грудь	груди
грудь	грудне
грудь	груди
грудь	грудей
новиков	новіков
интересует	цікавиться
интересует	зацікавлений
интересует	зацікавило
интересует	цікаво
интересует	цікавить
интересует	цікавляться
бросил	покинуті
бросил	відмовилися
бросил	закопав
бросил	кинули
бросил	закинув
бросил	кинув
бросил	кинула
самолет	літак
самолет	літаків
самолет	авіаційна
самолет	літак
самолет	площина
