nyikolajevics	نیکولاویچ
tárgyalás	مذاکرات
tárgyalás	مذاکره
tárgyalás	محاکمه
tárgyalás	دادرسی
befejezetlen	ناتمام
befejezetlen	ناتمام
befejezetlen	ناقص
lemond	استعفا
optimális	بهینه
optimális	مطلوب
optimális	بهینه
februárban	فوریه
detroit	دیترویت
intézkedések	کنش
konfliktusok	درگیریهای
konfliktusok	تضاد
konfliktusok	ناسازگار
konfliktusok	ناسازگاری
konfliktusok	درگیری
konfliktusok	منازعه
konfliktusok	کشمکش
konfliktusok	نزاع
konfliktusok	ناسازگاری
szörny	هیولا
adriai	آدریاتیک
eindhoven	آیندهوون
fehérje	پروتئین
fehérje	پروتئینی
fehérje	پروتئینهای
fehérje	پروتئینها
fehérje	پروتئینهای
eltérések	اختلافات
eltérések	انحرافات
eltérések	تفاوت
eltérések	تفاوتهای
eltérések	تفاوتها
eltérések	اختلاف
vitákat	مناظره
perzsák	ایرانیان
perzsák	ایرانیها
ókor	باستان
springer	اسپرینگر
részecske	ذرات
részecske	ذرات
részecske	ذره
elismerés	تشکر
elismerés	قدردانی
elismerés	پاس
molekula	مولکولی
molekula	مولکول
elegáns	ظریف
elegáns	برازنده
elegáns	شیک
cáceres	کاسرس
vegas	وگاس
everton	اورتون
donna	دونا
abd	عبد
bekezdés	پاراگراف
bekezdés	بند
nyilas	کمان
természetfeletti	سوپرنچرال
rocky	راکی
intelligencia	هوش
intelligencia	هوشی
fan	بادبزن
fan	طرفدار
fan	پنکه
fan	فن
fogak	دندانها
fogak	دندون
fogak	دندان
fogak	دندانهای
vizsgálati	آزمون
vizsgálati	آزمایش
vizsgálati	تست
vizsgálati	آزمون
vizsgálati	آزمودن
vizsgálati	آزمایش
vizsgálati	تست
rákok	خرچنگ
vaszilij	واسیلی
fertőző	واگیردار
fertőző	مسری
képregények	کمیک
fertőzött	مبتلا
fertőzött	آلوده
css	css
blackburn	بلکبرن
mondatok	عبارتهای
mondatok	جملات
naruto	ناروتو
brescia	برشا
baltimore	بالتیمور
ming	مینگ
kertek	باغ
kertek	بوستان
kertek	باغها
tizenhét	هفده
zavart	آشفتگی
zavart	گیجی
zavart	اغتشاش
zavart	سردرگمی
zavart	آشفته
zavart	پریشان
zavart	گیج
zavart	سردرگم
zavart	آشفته
molekulák	مولکولها
molekulák	مولکول
molekulák	مولکولهای
csillagászat	اخترشناسی
csillagászat	نجوم
technológiák	فناوریهای
iratok	اسناد
wimbledon	ویمبلدون
szebb	زیباتر
évtizedben	دهه
évtizedben	میلادی
illő	مناسبات
illő	درخور
lovasság	سواران
lovasság	سواره
tölteni	صرف
platón	افلاطون
tőke	عدل
tőke	انصاف
tőke	پایتخت
tőke	سرمایه
csatolt	پیوست
steel	فولاد
steel	استیل
steel	فولادی
hardcore	هاردکور
kanári	قناری
kanári	قناری
mason	میسون
mason	میسن
case	پرونده
case	کیس
case	مورد
edwin	ادوین
méhek	زنبورها
méhek	زنبورهای
viva	viva
jeremy	جرمی
elengedhetetlen	ضروری
termés	زراعت
termés	برداشت
termés	خرمن
termés	برش
kertben	باغچه
kertben	باغ
kertben	گاردن
kertben	بهشت
alfaj	زیرگونه
fordulat	پیچش
akkumulátorok	باطری
akkumulátorok	باتری
jelzés	انتن
jelzés	سیگنال
jelzés	علامت
találkozás	ملاقات
találkozás	جلسه
találkozás	دیدار
találkozás	رویارویی
találkozás	دیدار
műszerek	آلات
műszerek	instrumentation
számítástechnikai	محاسبات
számítástechnikai	رایانه
számítástechnikai	رایانش
fogoly	زندانی
fogoly	اسیر
fogoly	اسیر
kiszolgáló	سرور
kiszolgáló	کارساز
kiszolgáló	کارگزار
líbiai	لیبی
kecske	بز
kecske	بزه
kecske	بزغاله
kecske	گوت
kecske	بز
freud	فروید
antwerpen	آنتورپ
napoli	ناپولی
gondok	مسائلی
gondok	مسائل
gondok	مشکلات
huber	هابر
etikai	اخلاقیات
etikai	اخلاق
névmás	ضمیر
zongorista	پیانیست
sötétség	تیرگی
sötétség	ظلمت
sötétség	تاریکی
foster	فاستر
búr	بوئر
rns	rna
enrique	انریکه
festmények	نقاشیهای
dom	دام
tartása	نگهداشتن
tartása	نگهداری
ideológiai	ایدئولوژیک
duncan	دانکن
hansen	هانسن
hansen	هنسن
fiat	فیات
ügyes	باهوش
szegények	فقیران
szegények	فقیر
szegények	فقیری
szegények	بیچاره
berkeley	برکلی
végzetes	کشنده
végzetes	مرگبار
végzetes	مهلک
tüzérség	توپخانه
megerősítve	مصدق
megerősítve	تصدیق
megerősítve	تایید
megerősítve	تأیید
megerősítve	تصدیق
bűncselekmények	جنایات
bűncselekmények	جرایم
bűncselekmények	جرائم
bűncselekmények	جرم
bűncselekmények	جنایت
bűncselekmények	جرایم
bűncselekmények	جُرم
zoológus	جانورشناس
zeusz	زاوش
zeusz	زئوس
curtis	کورتیس
lőszer	مهمات
phillips	فیلیپس
jelentések	گزارشها
zászlók	پرچم
zászlók	پرچمها
zászlók	پرچمهای
hangsúly	تأکید
hangsúly	تاکید
megszálló	سرک
rajzolt	درو
elkészítése	آمادگی
elkészítése	تدارک
főnix	سیمرغ
főnix	فونیکس
főnix	ققنوس
főnix	فینکس
főnix	فینیکس
grey	گری
grey	خاکستری
értelmezés	تعبیر
értelmezés	تفسیر
tisztek	ماموران
tisztek	افسران
legkevésbé	کمترین
osztva	تقسیم
érme	سکه
érme	سکه
protokoll	قرارداد
protokoll	پروتکل
hallott	شنیده
sajnálom	متاسفم
asztalos	کارپنتر
asztalos	نجار
asztalos	نجاری
mérési	پیمانه
névleges	میزان
szabályzat	قواعد
szabályzat	قوانین
szabályzat	مقررات
szabályzat	سیاست
harag	عصبانیت
harag	غضب
harag	خشم
harag	غضب
harag	خشم
morrison	موریسون
hullámok	موجی
hullámok	امواج
hullámok	موجها
jogszabály	حقوق
jogszabály	قانون
jogszabály	قانونگذاری
mérték	نرخ
mérték	پیمانه
romlott	پوسیده
romlott	فاسد
elvek	اصول
tengerpart	بیچ
tengerpart	ساحل
tengerpart	سواحل
tengerpart	کوست
műszer	ساز
villeneuve	وینو
üresen	خالی
üresen	تهی
üresen	خالی
izom	عضلات
izom	عضله
izom	ماهیچه
izom	عضلات
bizonyított	ثابت
képzési	آموزش
képzési	تمرین
képzési	تمرینات
képzési	آموزشی
képzési	تعلیم
képzési	اموزش
párbeszéd	محاوره
veszett	هار
veszett	هاری
veszett	هار
líbia	لیبی
líbia	لیبی
emlékezett	یادش
fázis	مرحله
fázis	فازی
fázis	فاز
hills	هیلز
gran	گرن
zsoldos	مزدور
rossini	روسینی
kiegészítés	مکمل
kiegészítés	متمم
kiegészítés	الحاق
kiegészítés	ذیل
reggae	رگی
égő	سوز
égő	سوزاندن
égő	سوختن
címeket	عناوین
keverés	اختلاط
keverés	آمیختن
keverés	تلفیق
amsterdam	آمستردام
amsterdam	امستردام
nigel	نایجل
louvre	لوور
választható	اختیاری
közvetett	غیرمستقیم
elme	ذهن
elme	mind
büszke	مغرور
büszke	سرافراز
büszke	افتخار
büszke	سربلند
mia	mia
mia	میا
orleans	اورلئان
dinoszaurusz	دایناسور
eredményezte	لوگوی
xxx	xxx
kambodzsa	کامبوج
teljesíteni	وفا
kifejtett	فرمودند
bristol	بریستول
gyümölcsök	میوه
gyümölcsök	میوه
gyárban	کارخانه
bretagne	برتاین
moss	ماس
moss	خزه
énekelni	بخون
énekelni	بخونید
énekelni	آواز
énekelni	خوانندگی
anders	آندرس
anders	اندرس
téglalap	مستطیل
téglalap	مستطیلی
líra	لیره
feleségek	همسران
böngésző	مرورگر
olvasott	بخوان
olvasott	خواندن
olvasott	خوانده
olvasott	بخوانند
olvasott	بخوانید
bolton	بولتون
milton	میلتون
napokon	روزها
napokon	روزگار
napokon	روزهایی
napokon	روزای
napokon	روزهای
nagyok	بزرگ
nagyok	درشت
nagyok	بیگ
nagyok	big
nagyok	بزرگ
nagyok	بزرگی
zimbabwe	زیمبابوه
zimbabwe	زیمباوه
csupasz	عریان
csupasz	bare
csupasz	برهنه
garcia	گارسیا
repül	پرواز
repül	پروازی
repül	پرواز
sullivan	سالیوان
airways	ایرویز
érzelmek	احساسات
érzelmek	عاطفه
érzelmek	هیجانی
érzelmek	احساسات
érzelmek	احساسات
érzelmek	احساس
érzelmek	احساساتی
galaxy	کهکشان
galaxy	گلکسی
jung	جونگ
jung	یونگ
dallam	ملودی
dallam	آهنگ
kívánok	آرزو
sandra	ساندرا
sebész	جراح
sebész	جراحان
folyami	ریور
folyami	رود
folyami	رودخانه
nyilatkozat	بیانیه
nyilatkozat	اظهارات
nyilatkozat	اعلام
nyilatkozat	اعلان
málna	تمشک
algériai	الجزایر
övé	تختی
regina	رجینا
gyermekkori	کودکی
gyermekkori	بچگی
richards	ریچاردز
koronázás	تاجگذاری
pozíciók	مواضع
pozíciók	موقعیتهای
órák	ساعتها
órák	ساعتهای
órák	ساعات
órák	ساعت
órák	ساعتها
órák	ساعتهای
órák	کلاس
órák	کلاسهای
órák	کلاسها
órák	ساعتها
órák	ساعتهای
tár	کلیپ
tár	گیره
tár	مجله
marion	ماریون
tizennyolc	eighteen
tizennyolc	هیجده
tizennyolc	هجده
lev	لف
christina	کریستینا
helmut	هلموت
nathan	نیتن
nathan	ناتان
fenntartott	رزرو
toledo	تولیدو
toledo	تولدو
petri	پتری
operatív	عملیاتی
tévedés	اشتباه
tévedés	خطای
tévedés	خطا
claudia	کلودیا
ágak	شعبه
ágak	شاخه
gard	گار
klubok	خاج
braun	براون
aude	اود
övezet	منطقه
övezet	زون
megmenteni	ذخیره
megmenteni	نجات
megmenteni	ذخیره
megmenteni	ذخیرۀ
kivételek	استثنا
kivételek	استثنا
kivételek	استثنای
rajongó	بادبزن
rajongó	طرفدار
rajongó	پنکه
rajongó	فن
válaszokat	پاسخها
válaszokat	پاسخهای
válaszokat	جوابها
fogyasztása	مصرف
értékelés	ارزیابی
értékelés	ارزیابی
jeleket	سیگنالهای
küldeni	ارسال
hódítás	فتح
iskolákban	مدارس
államférfi	زمامدار
csökkenteni	کاهش
günther	گونتر
chase	چیس
szenegál	سنگال
metropolitan	متروپولیتن
időbeli	گیجگاهی
judo	جودو
díszlet	مناظر
duke	دیوک
duke	دوک
ellátás	تدارکات
ellátás	تجهیزات
ellátás	آذوقه
ellátás	تامین
gedeon	گیدئون
ruhát	لباسها
ruhát	لباس
ruhát	لباسهای
rákos	سرطانی
rákos	سرطان
far	دور
alabama	آلاباما
majom	میمون
teatro	teatro
merész	توپر
merész	جسور
merész	درینگ
merész	جسورانه
josh	جاش
dohány	دخانیات
dohány	تنباکو
dohány	توتون
elkészített	مهیا
nbc	nbc
lemondását	استعفای
lemondását	استعفاء
lemondását	استعفا
univerzális	جهانی
univerzális	یونیورسال
platina	پلاتین
platina	پلاتینی
teher	سربار
teher	باری
nyitó	افتتاحیه
nyitó	افتتاح
szerencse	بخت
szerencse	فال
szerencse	ثروت
szerencse	شانس
termékeket	محصولاتی
termékeket	محصولات
szalag	نوار
szalag	نواری
szalag	روبان
szalag	استریپ
vágás	بریدن
vágás	قطع
vágás	برش
vágás	کات
vágás	تدوین
vágás	ویرایش
vágás	اسلاتر
vágás	کشتار
vágás	سلاخی
vágás	بریدگی
testek	اجساد
qui	قویی
qui	کوی
manhattan	منهتن
tisztviselő	مدیر
tisztviselő	سرپرست
tisztviselő	رسمی
vancouver	ونکوور
állatorvos	دامپزشکی
állatorvos	دامپزشک
állatorvos	دامپزشکی
állatorvos	دامپزشکی
állatorvos	دامپزشک
szabályozása	تدبیر
brüsszelben	بروکسل
eugene	یوجین
eugene	اوژن
konstantinápoly	قسطنطنیه
fogadó	میزبان
fogadó	مهمانسرا
fogadó	مهمانخانه
fogadó	مسافرخانه
fogadó	گیرنده
apostolok	رسولان
apostolok	پیامبرانی
szándékos	ارادی
szándékos	عمدی
hívő	مؤمن
egyetemek	دانشگاههای
egyetemek	دانشگاهها
abdul	عبدل
app	اپ
app	برنامه
íze	مزه
íze	مزه
túlélő	بازماندگان
túlélő	بازمانده
tengerparton	بیچ
tengerparton	ساحل
kristályos	بلور
kristályos	کریستال
kristályos	آبگینه
kristályos	بلوری
xavier	خاویر
csúnya	زشته
csúnya	زشتی
csúnya	زشت
csúnya	زننده
viszonylagos	نسبی
oregon	اورگان
oregon	اورگن
sztár	استار
sztár	ستاره
kevesebbet	کمتر
kevesebbet	less
silvio	سیلویو
egyensúly	میزان
egyensúly	تعادل
egyensúly	توازن
egyensúly	موازنه
egyensúly	تعادل
orlando	اورلاندو
june	ژوئن
june	june
bernhard	برنهارد
jevgenyij	یوگنی
megegyezés	اسکان
megegyezés	سازش
megegyezés	قرارگاه
megegyezés	توافق
megegyezés	توافقنامه
megegyezés	موافقتنامه
megegyezés	قرارداد
megegyezés	توافق
megegyezés	توافق
összefüggés	متن
barcelonai	بارسلون
barcelonai	بارسلونا
vándor	آواره
vándor	واندرر
ingatlan	ویژگی
ingatlan	دارایی
ingatlan	ملک
ingatlan	اموال
ingatlan	مالکیت
ital	نوشیدن
ital	بنوش
ital	بنوشید
ital	نوشیدنی
szemek	چشمها
szemek	چشمانی
szemek	چشم
szemek	چشمان
sovány	لاغری
sovány	لاغر
sovány	تکیه
sovány	لاغر
sovány	نازک
sovány	لاغری
ciudad	سیوداد
krónikák	سرگذشت
hajóval	سفینه
hajóval	کشتی
hajóval	کشتیها
szintetikus	مصنوعی
kézikönyv	دستی
kézikönyv	راهنما
raf	raf
tizenkettedik	دوازدهمین
tizenkettedik	دوازدهم
ügynökség	سازمان
ügynökség	نمایندگی
ügynökség	آژانس
tobago	توباگو
uralta	چیره
átírni	بازنویسی
adler	آدلر
adler	ادلر
gmbh	gmbh
jet	جت
zen	ذن
bika	بول
hangos	بلند
hangos	شلوغ
mono	مونو
lars	لارس
polo	پلو
polo	پولو
polo	چوگان
tank	مخزن
tank	تانک
tank	تنک
tao	تائو
érzés	احساس
érzés	حس
érzés	احساسش
deutsch	دویچ
pillanat	لحظه
pillanat	گشتاور
ártatlan	بیگناهی
ártatlan	بیگناه
ártatlan	معصوم
nickelodeon	نیکلودئون
kaiser	کایزر
kaiser	قیصر
tanul	studying
tanul	مطالعه
tanul	یادگیری
tanul	یادگیری
ghz	گیگاهرتز
incidens	حادثه
incidens	واقعه
incidens	حوادث
díszítő	زینتی
butler	باتلر
dale	دیل
roosevelt	روزولت
kézműves	صنعتگران
kézműves	صنعتگر
obszervatórium	رصد
obszervatórium	رصدخانه
föderáció	فدراسیون
chen	چن
enzim	آنزیم
enzim	آنزیم
mansell	منسل
halvány	غش
halvány	کمرنگ
táplálék	تغذیه
táplálék	غذایی
táplálék	خوراک
táplálék	غذا
funkciók	توابع
funkciók	کارآمدی
funkciók	ویژگیها
funkciók	ویژگیهای
promóciós	promo
promóciós	ترویج
promóciós	ارتقاء
promóciós	ترفیع
promóciós	تبلیغ
promóciós	ارتقای
promóciós	ارتقا
palmer	پالمر
edzés	تمرین
edzés	آموزش
edzés	تمرین
edzés	تمرینات
edzés	آموزشی
edzés	تعلیم
edzés	اموزش
fuvola	فلوت
melinda	ملیندا
zita	زیتا
mássalhangzó	همخوان
próba	آزمون
próba	آزمایش
próba	تست
próba	تمرین
próba	آزمون
próba	آزمودن
próba	آزمایش
próba	تست
win	برنده
win	پیروز
win	برد
hangokat	صداها
hangokat	صداهایی
hangokat	صداهای
hangokat	آوازها
fellini	فلینی
fokozatos	تدریجی
fokozatos	پیشرو
angela	آنگلا
angela	آنجلا
öröm	مسرت
öröm	شادی
öröm	جوی
öröm	شادمانی
öröm	خوشی
öröm	رضای
öröm	خوشنودی
öröm	لذت
madridi	مادرید
faji	نژادی
texasi	تکزاس
texasi	تگزاس
összecsapás	کلش
összecsapás	برخورد
összecsapás	مشاجره
összecsapás	مواجهه
összecsapás	رویارویی
összecsapás	مقابله
közzétett	پست
kozák	قزاق
reformok	اصلاح
reformok	اصلاحات
társult	مرتبط
társult	وابسته
társult	همتای
folt	لکه
folt	نقطه
folt	پچ
diamond	الماس
diamond	دیاموند
diamond	الماسی
diamond	دایموند
dízel	دیزل
audio	صدا
termelő	خلاق
termelő	سودمندی
életmód	استایل
facto	facto
chapman	چپمن
millennium	هزاره
bosszú	انتقام
bosszú	کینه
bosszú	انتقام
cicero	سیسرو
tisztelet	مراعات
tisztelet	احترام
emírségek	امارات
terror	ترور
terror	دلهره
terror	هراس
betöltötte	پرشده
irma	ایرما
galériában	گالری
galériában	نگارخانه
galériában	gallery
közvetítő	دلال
közvetítő	کارگزار
közvetítő	واسطه
közvetítő	واسطه
közvetítő	میانجی
közvetítő	میانجیگری
terápiás	درمانی
küzd	کشمکش
küzd	تقلا
miranda	میراندا
hülye	احمق
hülye	احمقانه
hülye	حماقت
fejes	سرآیند
kukorica	ذرت
kukorica	میخچه
kukorica	حبوبات
tulajdonosai	صاحبان
tesztek	آزمونهای
szerelvény	قطار
szerelvény	مجلس
szerelvény	مجمع
szerelvény	محفل
domain	دامنه
helena	هلنا
nagykövet	سفیر
nagykövet	کبیری
reakciók	واکنشهای
reakciók	واکنشی
reakciók	واکنش
elsüllyedt	فرورفته
alany	سوژه
alany	فاعل
alany	موضوع
asztali	میز
asztali	سفره
asztali	جدول
asztali	رومیزی
káosz	آشفتگی
káosz	آشوب
hyde	هاید
meggyőzni	متقاعد
állva	قیام
állva	ایستاده
állva	ایستادن
hajnalban	داون
hajnalban	طلوع
hajnalban	سحرگاه
hajnalban	سپیده
őszinte	اخلاص
őszinte	خالص
őszinte	مخلص
őszinte	خواهانم
őszinte	راستگو
őszinte	صادقانه
őszinte	صادق
őszinte	صادقی
őszinte	امین
meteor	شهاب
meteor	شهابی
crassus	کراسوس
doki	داک
szertartás	مراسمی
szertartás	مراسم
szertartás	آیین
fájdalmas	دردناک
fájdalmas	دردآور
színtelen	colourless
lantos	لنتوس
alkalmanként	گهگاه
menekülés	گریز
menekülés	گریز
menekülés	فرار
elvis	الویس
befolyás	تاثیر
befolyás	تأثیر
befolyás	نفوذ
számol	شمردن
számol	شمارش
trió	trio
javítás	تعمیر
javítás	تعمیرات
javítás	اصلاح
javítás	تعمیرات
feltételes	شرطی
ich	ich
fulham	فولام
befolyással	تاثیر
befolyással	تأثیر
befolyással	نفوذ
lisszabon	لیسبون
teremtés	آفرینش
teremtés	ایجاد
teremtés	خلقت
mozilla	موزیلا
oldalsó	کناری
oldalsó	جانبی
leicester	لستر
humor	کمدی
humor	طنز
humor	خوشمزگی
humor	شوخی
humor	مزاح
humor	طنز
humor	مزاح
félre	کنار
vonattal	قطار
ronnie	رونی
meta	متا
baptiste	باپتیست
neme	جنسیتی
neme	جنسیت
duó	دوو
pet	پت
szállítási	تحویل
szállítási	زایمان
csecsemő	نوزاد
utah	یوتا
legmélyebb	عمیقترین
mélységben	اعماق
átlátszó	شفاف
korlátlan	نامحدود
operát	تماشاخانه
operát	اُپرا
operát	اپرا
paraszt	رعیت
paraszt	دهقان
paraszt	روستایی
para	پارا
para	para
kölyök	کید
érdekelt	علاقمندی
érdekelt	علاقه
érdekelt	علاقمند
tanúsított	certified
temple	پرستشگاه
temple	عبادتگاه
temple	معبد
temple	تمپل
savanyú	ترش
légköri	اتمسفر
louisiana	لوئیزیانا
wisconsin	ویسکانسین
key	کلید
key	کلیدی
tapasztalat	تجربه
veronica	ورونیکا
api	api
foltok	لکه
foltok	نقاط
wang	وانگ
wang	ونگ
cache	نهانگاه
cache	کش
tajvani	تایوان
tajvani	تایوانی
rotterdam	روتردام
írjon	نوشت
írjon	نویسند
írjon	نوشتن
írjon	بنویسید
írjon	بنویسد
áldozatai	قربانیان
baszk	باسکی
python	پایتون
python	پیتون
erőteljesen	شدیداً
szemet	چشم
szemet	چشمی
romeo	رومئو
pak	pak
pak	پاک
ibrahim	ابراهیم
veszteség	خسارات
veszteség	ضرر
como	کومو
hajózási	کشتیرانی
minősített	شایستگی
minősített	میزان
minősített	certified
benz	بنز
benz	benz
rágcsálók	جوندگان
rágcsálók	جونده
rágcsálók	جونده
operett	اپرت
namíbia	نامیبیا
tudatában	آگاه
törekszik	کوشش
törekszik	کوشش
díjakat	جوایز
évszak	فصل
évszak	فصلها
évszak	فصول
kincstár	خزانه
rövidítés	مخفف
rövidítés	سرنام
rövidítés	میانبر
bővítése	وسعت
szarvasmarha	چهارپایان
szarvasmarha	گله
xxiii	xxiii
változók	متغیرها
változók	متغیر
rush	راش
bíbor	بنفش
bíbor	ارغوانی
bíbor	زرشکی
bíbor	زرشکی
torre	تره
torre	توره
palesztin	فلسطین
palesztin	فلسطینی
palesztin	فلسطین
palesztin	فلسطینی
aviv	آویو
legősibb	قدیمیترین
megőrzése	حفظ
cohen	کوهن
cohen	کوئن
képességek	توانایی
képességek	قابلیت
képességek	مهارتش
képességek	مهارت
képességek	مهارتهای
képességek	قابلیت
hozó	رسان
federer	فدرر
patricia	پاتریشیا
mozgását	حرکات
gazdálkodás	مدیریت
gazdálkodás	کشاورزی
gazdálkodás	زراعت
pentium	پنتیوم
mir	میر
mir	mir
sportban	اسپرت
sportban	اسپورت
sportban	ورزشی
sportban	ورزش
gil	گیل
kölni	کلن
kölni	ادکلن
ace	ایس
ace	آس
megyek	میرم
chicagói	شیکاگو
kétnyelvű	bilingual
létrehozva	ایجاد
zero	صفر
zero	زیرو
zero	zero
karibi	کارائیب
praktikus	عملی
praktikus	هندی
hepburn	هپبورن
következetesen	سازگار
megölni	بکش
megölni	بکشی
megölni	بکشم
megölni	کشتن
gérard	ژرار
bennszülött	بومی
bennszülött	بومی
fenntartható	پایدار
vonzó	آراسته
vonzó	جذاب
aromás	خوشبو
foglyok	اسیری
foglyok	زندانیان
hatékonyan	کارآمد
hatékonyan	مؤثر
hatékonyan	موثر
granada	گرانادا
védők	مدافعان
létrehozásáról	تاسیس
létrehozásáról	تأسیس
terhesség	حاملگی
terhesség	بارداری
vezeték	سیم
vezeték	کابل
vezeték	وایر
vezeték	سیم
készítő	صورتگر
készítő	سازنده
richardson	ریچاردسون
ruha	لباس
ruha	پوشاک
ruha	همسفر
ruha	لباس
ruha	لباسها
ruha	لباس
ruha	لباسهای
terek	فضاهای
woody	وودی
vie	vie
gyűrűt	حلقه
gyűrűt	رینگ
gyűrűt	انگشتر
tartósan	ماندگار
tartósan	سمج
tartósan	دیرپا
tanítani	تدریس
tanítani	آموزش
tanítani	تدریس
kifejezett	صریح
kifejezett	فرمودند
adók	مالیات
adók	مالیاتی
adók	مالیات
adók	مالیاتی
österreich	österreich
rabszolga	slave
rabszolga	بنده
rabszolga	برده
látszólagos	آشکار
látszólagos	ظاهری
lily	لیلی
jogilag	قانونا
utókor	آیندگان
genfi	ژنو
zár	قفل
zár	میبندد
lépcső	پلکانی
lépcső	پلکان
lépcső	پلکان
lépcső	گام
lépcső	مرحله
lépcső	قدم
lépcső	گامهای
lépcső	پلکان
lépcső	پله
carol	کرول
carol	کارول
vitorlázás	قایقرانی
vitorlázás	دریانوردی
éjjeli	شبانه
vedd	برداشت
vedd	بگیر
vedd	بگیرد
vedd	بگیرید
koronás	تاجدار
rab	زندانی
rab	اسیر
rab	رب
szárazföld	خشکی
szárazföld	land
szárazföld	سرزمین
pleisztocén	پلیستوسن
felügyelet	نظارت
felügyelet	سرپرستی
felügyelet	نظارت
felügyelet	نظارتی
javak	کالاهای
javak	کالا
javak	اجناس
javak	کالاها
thomson	تامسون
alejandro	آلخاندرو
salamanca	سالامانکا
messier	مسیه
terápia	درمانی
terápia	معالجه
terápia	درمان
gorkij	گورکی
egészség	سلامت
egészség	بهداشت
egészség	health
egészség	سلامتی
testőr	بادیگارد
gilles	ژیل
burke	برک
sebészeti	جراحی
köztes	میانجی
köztes	واسطه
köztes	میانی
henderson	هندرسون
elképzelt	خیالی
elképzelt	موهومی
érdeklődő	علاقمندی
érdeklődő	علاقه
érdeklődő	علاقمند
darabjai	قطعه
ívelt	خم
tengerész	ملوان
tengerész	دریایی
tengerész	مارین
tengerész	سیمن
ütközik	اتوبان
disco	دیسکو
márki	مارکیز
márki	مارکی
wells	ولز
valentin	والنتین
valentin	والنتاین
valentin	ولنتاین
fehérjék	پروتئین
fehérjék	پروتئینی
fehérjék	پروتئینهای
fehérjék	پروتئینها
fehérjék	پروتئینهای
felfogás	ادراک
táblázatok	میزهای
találkoztam	met
támadásokat	حملات
cirkusz	سیرک
ungvár	ung
januári	ژانویه
veleszületett	مادرزادی
erőforrások	منابع
melléknév	وابسته
