側室	конкубина
廃墟	урнатините
廃墟	рушевини
深度	длабочина
配当	дивиденда
配当	распределба
配当	дистрибуција
配当	дивиденди
故意	намерно
故意	намерно
故意	намерно
ニコ	нико
ニコ	нико
クロム	хром
クロム	хром
預言	пророштво
預言	пророштвото
掲示	објавува
掲示	објавување
掲示	билтен
パスポート	пасоши
パスポート	пасош
カロリー	калорија
カロリー	калории
消化	варење
消化	варењето
ヘビ	змија
ヘビ	змии
膨張	проширување
膨張	експанзија
バッジ	значка
バッジ	беџ
バッジ	значки
残酷	сурово
残酷	суров
残酷	сурова
残酷	свирепо
ペナルティ	пенал
フェンス	ограда
フェンス	оградата
船員	морнар
フォレスト	форест
フォレスト	шума
フォレスト	шумски
クラッチ	спојката
見習い	чирак
見習い	ученик
黙示録	апокалипсата
黙示録	апокалипса
枢機卿	кардинал
枢機卿	кардиналот
メソッド	методот
メソッド	метод
メソッド	метода
メソッド	методи
スチュワート	стјуарт
スギ	сидер
賭博	коцкање
コップ	чашка
コップ	куп
コップ	шолја
コップ	пехар
母国	татковина
母国	татковината
視界	видливост
ニッケル	никел
反響	повторувајќи
反響	ехо
プラットホーム	платформа
カルチョ	калчо
スーザン	сузан
ハイチ	хаити
洗浄	миење
洗浄	перење
洗浄	чистење
不祥事	скандал
不祥事	скандали
委任	делегацијата
委任	делегација
委任	мандатот
委任	мандат
祭壇	олтар
スライダー	лизгач
スライダー	лизгачите
シエラ	сиера
ボローニャ	болоња
ヤギ	коза
ヤギ	козата
ヤギ	кози
ヤギ	козите
ワークショップ	работилници
ワークショップ	работилница
ワーグナー	вагнер
金庫	безбедни
金庫	безбедно
金庫	безбедна
金庫	безбеден
金庫	сефови
被告人	обвинет
被告人	обвини
被告人	обвинети
被告人	обвинета
被告人	обвинет
被告人	обвинетиот
バトン	батон
睡眠	спиење
睡眠	спијам
モノクロ	монохроматски
洗濯	миење
洗濯	перење
洗濯	перење
洗濯	перална
洗濯	алишта
ツル	кран
ツル	крејн
リヒャルト	ришар
リヒャルト	ричард
裏側	грб
裏側	назад
レズビアン	лезбејка
レズビアン	лезбејки
芸者	гејша
芸者	гејши
チャップリン	чаплин
吸気	вдишување
祝福	благослов
祝福	благослов
祝福	благословено
祝福	благословен
祝福	благословена
祝福	блажени
祝福	благословени
林檎	епл
林檎	јаболко
林檎	apple
視力	видот
ロナルド	роналд
ランニング	трчање
届出	известување
レスキュー	спасување
レスキュー	спас
レスキュー	спасувачки
土居	doi
土居	дои
委嘱	делегацијата
委嘱	делегација
委嘱	провизија
委嘱	комисија
アンドレア	андреја
アンドレア	андреа
パンダ	панда
冗談	шега
冗談	виц
お気に入り	омилено
お気に入り	омилени
お気に入り	фаворитот
お気に入り	омилена
お気に入り	омилен
お気に入り	фаворит
お気に入り	омилени
お気に入り	фаворити
お気に入り	омилени
お気に入り	омилено
お気に入り	омилен
お気に入り	омилена
お気に入り	омилени
お気に入り	омилени
ロッカー	рокер
ロッカー	шкафче
トゥルー	вистинито
トゥルー	вистина
ヨット	јахта
ヨット	јахти
シェーン	шејн
ダイナミック	динамична
ダイナミック	динамика
ダイナミック	динамичен
飛行船	летало
陶芸	грнчарија
エリオット	елиот
エリオット	елиот
まみ	мами
フットサル	футсал
消去	бришење
ストライカー	напаѓачот
ハンプシャー	хемпшир
テント	шатори
テント	шатор
テント	шаторот
リソース	ресурсот
リソース	ресурс
リソース	ресурси
リソース	ресурсите
リソース	ресурси
粛清	чистка
粛清	бришам
セリ	сери
崇拝	богослужба
ワトソン	вотсон
ワトソン	ватсон
値段	цена
快適	удобно
快適	комотно
快適	удобни
快適	пријатно
快適	удобна
足跡	отпечаток
足跡	стапки
ロベール	роберт
ロベール	робер
バスケ	кошарка
獣医	ветеринар
獣医	ветеринар
ヴァージン	девица
帝政	царство
帝政	империја
動揺	вознемирена
動揺	вознемирени
動揺	вознемирен
タブレット	табла
タブレット	плоча
タブレット	таблет
神学校	семинаријата
麻酔	анестезија
人魚	сирена
ジュエル	џул
サンチェス	санчез
サンチェス	санчез
文字通り	буквално
目的地	одредиште
目的地	дестинација
マルチメディア	мултимедијален
マルチメディア	мултимедија
オーラ	аура
ディープ	deep
ディープ	длабок
ディープ	длабока
ディープ	длабоко
ディープ	длабоки
マリアナ	маријана
アマゾン	амазон
年数	години
サイコロ	коцки
不自然	неприродно
コロナ	корона
切符	карти
切符	билети
切符	карта
切符	билет
教義	догма
教義	крид
教義	доктрина
オメガ	омега
富豪	милионери
両面	дуплекс
地雷	рудници
地雷	рудниците
地雷	мини
可愛	слатки
ホッケー	хокеј
かもめ	галеб
マダガスカル	мадагаскар
事績	остварувања
事績	достигнувања
事績	постигнувања
事績	достигнување
事績	остварување
上告	жалба
上告	апел
カートリッジ	чаури
カートリッジ	касети
カートリッジ	касета
トレイル	трага
トレイル	патека
トレイル	траги
臓器	органите
臓器	органи
臓器	орган
臓器	органи
電工	денко
コロンボ	коломбо
水銀	меркур
ニース	nice
ニース	убаво
ニース	ница
ホモ	хомо
ユニーク	единствени
ユニーク	уникатни
ユニーク	уникатна
ユニーク	уникатно
ユニーク	уникатен
ステアリング	управниот
ステアリング	управување
敏郎	тоширо
城郭	замоци
アドリア	адрија
浄化	прочистување
浄化	исчисти
浄化	прочисти
浄化	прочисти
音節	слог
音節	слогови
大洲	озу
炎症	воспалителни
炎症	провокативна
炎症	воспаление
ダンカン	данкан
カッパ	капа
摩擦	триење
ドーン	зората
ドーン	зори
ドーン	зора
芝生	тревникот
芝生	тревник
エヴァンゲリオン	evangelion
悪役	негативец
悪役	злосторник
実効	ефикасност
実効	ефикасноста
実効	ефективна
実効	ефикасно
実効	ефикасен
実効	ефикасна
実効	ефикасни
セナ	сена
セナ	сена
アルマ	алма
ルナ	луна
オリオン	орион
謙信	кеншин
ルーシー	луси
ウィリー	вили
ステータス	статус
アロン	ерон
アロン	арон
アロン	арон
四川省	сечуан
柔軟	флексибилност
イングリッシュ	англиски
浮気	неверство
浮気	мамење
浮気	аферата
浮気	афера
マッサージ	масажи
マッサージ	масажа
劣化	влошување
劣化	деградација
工具	алатка
工具	алат
上海市	шангај
オナニー	мастурбацијата
裁量	дискреционо
クイック	брзо
クイック	бргу
リニア	linear
ワタ	speciosa
ラーマ	лама
ラーマ	рама
接着	адхезија
サンプリング	примерок
必死	очајно
必死	очајни
必死	очајна
必死	очајно
必死	очаен
失効	пропуст
失効	истече
失効	истекување
ねずみ	глушец
ねずみ	глувче
経典	сутра
オセアニア	океанија
大気圏	атмосфера
不審	сомничав
不審	сомнително
不審	сомнителен
不審	сомнителни
リサイクル	рециклирање
リサイクル	рециклираат
リサイクル	рециклирање
チェン	ченг
隠す	сокриј
隠す	скриј
グラフィックス	графика
グラフィックス	графики
マニ	мани
カモ	патки
カモ	патките
カモ	паторот
カモ	патка
カモ	патор
無意味	бесцелно
無意味	бесмислено
無意味	бесмислени
ビーズ	грашок
ビーズ	монистри
無敗	непоразен
精製	префинет
精製	прочистени
精製	рафинирање
スナック	ужина
スナック	грицки
グリップ	зафат
グリップ	стисок
ペダル	педали
アレクサンドロス	александар
アレクサンドロス	александер
ビザ	виза
ビザ	визи
スタック	стек
スタック	стак
ヴァルター	валтер
ヴァルター	волтер
ヴァルター	валтер
悪性	малигни
満期	зрелост
強要	принуда
隙間	празнини
ギャンブル	коцкање
ギャンブル	коцкање
握手	ракување
オリバー	оливер
オリバー	oliver
庇護	патронат
ハリソン	харисон
フリート	флота
風力	гејл
強姦	силување
強姦	силувања
センチュリー	век
リカルド	рикардо
スルタン	султан
スルタン	султанот
バッグ	вреќа
バッグ	торба
バッグ	ќесе
バッグ	перничиња
バッグ	ќеси
バッグ	вреќи
バッグ	торби
バッグ	чанти
画質	квалитетно
画質	квалитет
飽和	заситеност
シャア	ша
シャア	шај
カヤ	каја
福音書	евангелие
ユニバーシアード	универзијада
侮辱	навреда
ロブ	роб
ダーウィン	дарвин
乗馬	јавање
粘土	глина
粘土	клеј
幸一	коичи
占有	опседнатост
占有	поседување
シュウ	оксална
モナ	мона
モナ	mona
肝臓	џигер
アンゴラ	ангола
味噌	мишо
ノック	тропање
ノック	чук
ノック	nok
ジェシカ	jess
ジェシカ	џес
ジェシカ	jessica
ジェシカ	џесика
真ん中	средина
真ん中	среден
ペイント	боја
ピーチ	праска
滑らか	мазна
滑らか	мазно
ハイランド	хајленд
完備	комплетен
完備	комплетна
完備	завршено
白血病	леукемија
アングル	агол
アングル	агли
冷たい	студ
冷たい	ладно
冷たい	ладна
冷たい	студено
冷たい	студена
ホノルル	хонолулу
ハンプトン	хемптон
ハンプトン	хамптон
ラウンジ	ложа
ラウンジ	салонот
ラウンジ	ложи
ディーラー	дилер
ディーラー	трговец
除隊	празнење
除隊	разрешување
ナイス	nice
ナイス	убаво
ナイス	ница
ケヴィン	кевин
ケヴィン	kevin
信条	крид
入札	понуда
入札	наддавање
エディンバラ	единбург
中性子	неутрон
処方	препишуваат
パノラマ	панорама
パノラマ	панорамски
クルト	курт
反復	повторување
反復	итерации
共存	соживот
ネイティブ	мајчин
ネイティブ	родно
ヴィレッジ	село
ヴィレッジ	селски
ロジャース	роџерс
バレンタイン	валентајн
バレンタイン	валентин
バレンタイン	вљубените
バレンタイン	валентина
パチ	pati
ボルドー	бордо
ヴァンパイア	вампир
受け取り	примен
受け取り	добиени
受け取り	доби
受け取り	примена
受け取り	примиле
風刺	сатира
仲裁	арбитража
顕微鏡	микроскоп
検察官	обвинителство
検察官	гонење
検察官	обвинителството
検察官	обвинител
ボトル	шишиња
ボトル	шише
ボトル	шишенце
神風	камиказе
クォーター	четврт
クォーター	кварт
グリッド	мрежа
グリッド	решетка
リチウム	lithium
わがまま	себичен
わがまま	себични
わがまま	себична
ラバー	гумена
ラバー	гумени
ラバー	гума
便所	тоалети
インタラクティブ	интерактивен
インタラクティブ	интерактивна
インタラクティブ	интерактивни
セール	распродажба
セール	продажба
アグネス	агнес
フェス	фез
フェルナンデス	фернандез
フェルナンデス	фернандез
用紙	хартија
パラオ	палау
ミナ	мина
快楽	задоволство
ヒール	излечи
ヒール	лечи
ヒール	оздрави
しみ	флеки
しみ	дамки
しみ	флека
しみ	дамка
きれい	чиста
きれい	чисто
きれい	чисти
きれい	чист
きれい	исчисти
気球	балон
イケメン	згодниот
イケメン	згоден
ディラン	дилан
リンパ	лимфен
リンパ	лимфа
メンフィス	мемфис
フィルタ	филтер
フィルタ	филтрите
フィルタ	филтри
ヴォルフガング	волфганг
チコ	чико
ココ	коко
ココ	коко
祈祷	молитва
募金	донирање
募金	донација
募金	донира
募金	донации
募金	донациите
オリエント	ориент
オーランド	орландо
作物	посевите
作物	посеви
パウンド	фунта
シャーロック	шерлок
スタッド	стад
スタッド	пастув
ギガ	гига
リッター	ритер
村人	селани
村人	селаните
トカゲ	гуштери
トカゲ	гуштер
飢饉	глад
ピストル	пиштол
布教	пропагирање
ブランチ	ужина
ブランチ	огранок
ブランチ	гранче
ブランチ	гранка
ブランチ	филијала
別館	анекс
聖歌	химна
聖歌	црковни
漁師	рибарите
漁師	рибари
漁師	рибар
ガーナ	гана
ミレニアム	милениум
なぜなら	бидејќи
塩素	хлор
釈迦	шака
つぼみ	пупки
ジェニファー	џенифер
クレイグ	крег
アイザック	ајзак
アイザック	ајзек
アイザック	исак
美学	естетика
筆記	напишано
筆記	напишани
筆記	пишано
筆記	пишан
筆記	пишување
筆記	запишување
セバスチャン	себастијан
レコーダー	рекордер
ダイアナ	дијана
ダイアナ	диана
ダイアナ	дајана
リハビリ	рехабилитација
バーゼル	базел
テリア	terriers
テリア	териер
苦情	приговори
苦情	поплаки
苦情	жалби
苦情	жалба
二階	горе
代名詞	заменка
静脈	вени
静脈	вените
静脈	вена
チューン	мелодија
ノルマンディー	нормандија
ハウ	хау
合法	легален
合法	легитимно
エデン	идн
エデン	eden
デザート	десерти
デザート	десерт
デザート	пустинска
デザート	пустински
デザート	пуст
デザート	пустина
デザート	пустината
デザート	десерти
リバイバル	оживување
リバイバル	заживување
動脈	артериска
動脈	артерија
動脈	артеријата
動脈	артерии
ツイッター	twitter
ツイッター	твитер
発熱	грозница
発熱	треска
リュック	ранец
リュック	ранецот
忍び	шиноби
織物	текстилна
織物	текстил
織物	ткаење
織物	ткаенина
織物	текстил
ペスト	чума
ペスト	штетници
礼儀	бонтон
礼儀	љубезност
礼儀	учтивост
ボンド	врска
ボンド	бонд
グロス	грос
グロス	одвратно
グロス	бруто
ヴィーナス	венус
ヴィーナス	венера
ゴリラ	горила
ゴリラ	горили
リサイタル	рецитал
フリッツ	фриц
ブランコ	бланко
ニトロ	нитро
ジュゼッペ	џузепе
竜巻	торнадо
竜巻	торнада
ダイヤル	бирање
苦悩	агонија
苦悩	патење
苦悩	страдање
苦悩	мака
ゴリ	гор
ゴア	goa
ゴア	gore
ゴア	гор
ネブラスカ	небраска
ポロ	polo
ポロ	поло
日没	залез
日没	зајдисонце
ミュラー	милер
ミュラー	мулер
ミュラー	милер
セルティックス	селтикс
ディナー	вечери
ディナー	вечера
ディナー	вечерата
白金	платинум
パラグアイ	парагвај
ブカレスト	букурешт
不信	недовербата
不信	недоверба
ジェシー	петре
ジェシー	џеси
オオカミ	волф
オオカミ	волк
コンタクト	контакт
バスケット	корпа
バスケット	кош
バスケット	кошница
ザルツブルク	салзбург
特製	специјализирана
特製	специјалитет
特製	специјалност
快感	задоволство
叔母	стрина
叔母	тетка
叔母	тета
叔母	вујна
空想	фенси
パーソナル	лично
パーソナル	личен
パーソナル	личното
パーソナル	лична
百姓	селани
百姓	селаните
段落	параграф
段落	пасус
段落	параграфи
ハーモニー	хармонија
やっと	конечно
やっと	најпосле
アイディア	замисла
アイディア	поим
アイディア	идеја
アイディア	идеа
アイディア	идеи
タイラー	тајлер
タイラー	тајлор
アンプ	амфитеатар
宝物	богатства
宝物	богатство
マルクス主義	марксизам
サーブ	служи
サーブ	служат
サーブ	сервира
サーブ	послужи
サーブ	саб
イワン	иван
ギフト	подароци
ギフト	дар
ギフト	поклон
ギフト	подарок
理性	причина
理性	разум
理性	разумот
恨み	злоба
ビスマルク	бизмарк
構文	синтакса
光景	знаменитости
光景	глетка
アインシュタイン	ајнштајн
申し立て	спорни
申し立て	спорен
申し立て	оспори
申し立て	спор
エミリー	емили
安い	евтина
安い	евтино
安い	евтин
安い	евтини
アミューズメント	забавен
ハーレム	харлем
サンズ	санс
サンズ	сендс
ガイ	гај
ガイ	тип
プラット	плат
プラット	прат
矯正	корекции
バタフライ	пеперутка
修業	стажирање
最小限	спушти
最小限	минимална
最小限	минимално
最小限	минимални
最小限	минимален
エレナ	елена
クイーンズ	кралици
クイーンズ	квинс
コサック	козаци
コサック	казак
スペル	правописот
スペル	правопис
スペル	магија
チャレンジャー	предизвикувачот
チャレンジャー	предизвикувач
プロポーズ	запроси
プロポーズ	предложи
プロポーズ	предлогот
プロポーズ	предлог
パラレル	паралелно
パラレル	паралела
パラレル	паралелен
パラレル	паралелни
パラレル	паралелна
ゴマ	сусам
サザン	јужен
サザン	јужна
サザン	јужни
図形	геометрија
図形	облик
図形	форма
ゲノム	геном
デイヴ	дејв
ドッキング	докот
ドッキング	пристаниште
マダム	мадам
マダム	госпоѓа
マダム	мадам
トレント	трент
アーセナル	арсенал
請願	петиции
請願	петиција
アトランティック	атлантик
アトランティック	атлантикот
アトランティック	атлантска
美保	михо
メチル	метил
おば	стрина
おば	тетка
おば	тета
おば	вујна
おば	тетки
腐敗	распаѓање
ベイビー	бебе
ベイビー	орце
ベイビー	душичка
ベイビー	срце
キルギス	киргистан
アダムス	адамс
ブライト	светло
ブライト	светли
ブライト	светла
参事官	советниците
参事官	советници
トレーラー	приколки
トレーラー	приколка
毛皮	крзно
コロシアム	колосеум
コロシアム	колосеумот
コロシアム	колосеумот
シンフォニー	симфонија
選任	назначување
選任	закажано
選任	закажување
選任	назначувањето
選任	избори
ゴールキーパー	голман
ゴールキーパー	голманот
マグマ	магма
条文	одредба
条文	одредби
条文	провизии
ニクソン	никсон
マリオン	мерион
マリオン	марион
ごみ	пелети
ごみ	глупости
ごみ	ѓубре
ごみ	ѓубре
ハーブ	билка
ハーブ	херб
ハーブ	билки
フィアット	фиат
ドロシー	дороти
一律	еднообразно
チェ	чои
チェ	че
チェ	che
キール	кобилицата
ジョーク	шега
ジョーク	виц
ジョーク	смешки
ジョーク	шеги
ジョーク	вицови
フォスター	фостер
クロスオーバー	прејди
孵化	хач
コウモリ	бат
コウモリ	лилјак
コウモリ	лилјаци
コウモリ	палка
コウモリ	лилјаците
コウモリ	лилјаци
バチカン	ватикан
バール	бар
バール	bar
丹下	танге
編み	плетенки
ヴィラ	vila
ヴィラ	вила
ヴィラ	вили
ユーモア	хумористична
ユーモア	хумор
ユーモア	хуморот
ユーモア	хумор
溶液	раствор
溶液	решение
転覆	соборување
ウイスキー	виски
ウイスキー	виски
バッド	bad
バッド	лоша
バッド	лош
バッド	лошо
バッド	бад
ナシ	круша
アレクセイ	алексеј
アレクセイ	алексеј
アレクセイ	алексеј
アレクセイ	алексеј
アレクサンドリア	александрија
総局	директорат
ファゴット	фагот
エリザベート	елизабет
借用	позајмица
借用	задолжување
借用	позајмување
誠実	искреност
誠実	искреноста
コンポーネント	компонента
コンポーネント	компоненти
聴覚	слух
聴覚	сослушување
簡潔	концизна
イベリア	иберија
イーグルス	орли
イーグルス	орлите
チューリップ	лалиња
チューリップ	лалињата
チューリップ	лале
舞子	маико
レニングラード	ленинград
リップ	rip
コルト	колт
プランニング	планирање
曲面	површина
曲面	површината
煉瓦	тули
煉瓦	цигли
煉瓦	тули
煉瓦	цигла
煉瓦	брик
煉瓦	тула
ペイン	пејн
ペイン	болката
ペイン	болки
ペイン	болка
薬剤師	фармацевт
自律	автономни
自律	автономен
自律	автономна
ポツダム	потсдам
ニコル	никол
嫌がらせ	малтретирање
嫌がらせ	злоставување
嫌がらせ	малтретира
ハーグ	хашки
ハーグ	хаг
プロヴァンス	прованса
ミーティング	состаноци
ミーティング	средба
ミーティング	состанок
カーペット	килими
カーペット	килим
カーペット	тепих
モンタナ	монтана
カビ	калап
カビ	мувла
ギャップ	празнини
ギャップ	празнина
ギャップ	јаз
ギャップ	гап
地層	stratum
アルス	арс
シェリー	шери
シェリー	чери
シェリー	шери
シェリー	шели
乗り物	возила
乗り物	возило
ダニ	тик
ダニ	dani
ダニ	дани
伊奈	ина
暖房	греење
イネ	ine
数量	количества
数量	количини
数量	количините
数量	количина
数量	количество
倍率	скалирање
パンドラ	pandora
パンドラ	пандора
チャイコフスキー	чајковски
カナリア	канаринците
カナリア	канарски
テンプル	храмот
テンプル	темпл
テンプル	храм
偽造	фалсификат
偽造	фалсификат
偽造	фалсификување
偽造	фалсификувани
エメラルド	смарагд
テレサ	тереза
テレサ	тереза
テレサ	тереса
マッカートニー	макартни
パタゴニア	патагонија
太い	дебела
太い	густи
太い	дебели
太い	дебело
太い	дебел
アニー	ани
アニー	ени
ベルン	берн
匂い	мирис
匂い	мирисни
匂い	мирисаат
匂い	миризба
精神病	психоза
ゴメス	гомез
ゴメス	гомез
ナラ	нала
ゲーテ	гете
無条件	безусловно
無条件	безусловна
無条件	безусловно
オスカル	оскар
リハーサル	проба
ケニー	кени
アスファルト	асфалт
アスファルト	асфалтот
祝う	славиме
祝う	слават
サラダ	салати
サラダ	салата
エクアドル	еквадор
制動	кочење
ルワンダ	руанда
ドーピング	допинг
十字路	крстопат
十字路	крстопат
十字路	крстосница
島嶼	островче
レナード	ленард
レナード	леонард
ベルナール	бернард
エンリケ	енрике
ひどい	ужас
ひどい	ужасни
ひどい	ужасна
ひどい	ужасно
ババ	baba
ババ	баба
ポーツマス	портсмут
オスロ	осло
モニカ	моника
モニカ	моника
スペシャリスト	специјалист
リガ	рига
軍備	вооружување
ロコ	loco
パワフル	моќен
パワフル	моќна
パワフル	моќно
パワフル	моќни
ジョシュ	џош
スカーレット	скарлет
スカーレット	скарлет
放射能	радиоактивност
ペレス	перез
泣く	плаче
泣く	плач
泣く	плачи
泣く	плачат
泣く	плачењето
泣く	плачење
泣く	плаче
泣く	плачејќи
インディー	инди
ペガサス	пегаз
ディエゴ	диего
観念	замисла
観念	поим
観念	идеја
観念	идеа
叫ぶ	извикуваат
叫ぶ	викај
ケネス	кенет
シャドウ	сенка
シャドウ	сенката
発送	централа
マンガン	манган
教訓	лекција
ポッター	потер
ハト	гулаби
ハト	гулаб
スモール	малечко
スモール	мала
スモール	мал
スモール	мали
