konštruktér	конструктор
kus	кусочек
kus	кусок
možná	возможная
možná	возможна
možná	возможно
možná	возможен
slávny	известная
slávny	знаменитая
slávny	известный
slávny	знаменитость
slávny	знаменитый
turbo	турбо
brazílie	бразилия
brazílie	бразилию
brazílie	бразилии
nezávislých	независимый
nezávislých	независимая
nezávislých	независимое
nezávislých	независимые
nezávislých	независимые
planétu	планете
planétu	планета
spoločenský	социальное
spoločenský	социального
spoločenský	социальный
spoločenský	социальная
spoločenský	социальные
postupnosť	последовательности
postupnosť	последовательность
arnold	арнольд
ľahšie	проще
ľahšie	легче
usporiadané	организовал
reaguje	реагирует
reaguje	отвечает
harold	гарольд
studio	студии
studio	studio
studio	студия
teoreticky	теоретически
podáva	домики
kódy	кодексы
kódy	коды
podporovať	поддержки
podporovať	поддержка
podporovať	поддержку
podporovať	поддерживаю
podporovať	поощрять
akt	акт
akt	акт
sultán	султан
nepriamo	косвенной
nepriamo	косвенные
nepriamo	косвенное
nepriamo	косвенно
nepriamo	косвенно
povedomia	осведомленность
povedomia	осознание
povedomia	осведомленности
modelka	модели
modelka	образец
modelka	model
modelka	модель
občianskeho	гражданская
občianskeho	гражданских
občianskeho	гражданский
uskutočňuje	проводит
blízkom	средняя
blízkom	ближнем
blízkom	средний
blízkom	среднее
vlk	вульф
vlk	вулф
vlk	волка
vlk	вольф
vlk	волк
volkswagen	volkswagen
sociológ	социолог
chemická	химического
chemická	химический
chemická	химическая
zur	zur
kongresu	съезд
kongresu	конгресс
lászló	ласло
robot	бот
robot	робот
námornej	морские
námornej	морской
námornej	морская
pevný	твердое
pevný	твердый
pevný	твердых
pevný	твердые
alexandrovič	александрович
zahraničné	иностранный
zahraničné	иностранное
zahraničné	иностранных
stuttgart	штутгарт
kovy	металла
kovy	метал
kovy	metal
kovy	металлические
kovy	металл
kovy	металлы
hamburg	гамбург
oslobodenie	изъятие
oslobodenie	освобождение
oslobodenie	освобождения
oslobodenie	освобождение
oslobodenie	облегчение
bydlisko	резидент
bydlisko	резидента
bydlisko	житель
bydlisko	резиденты
bydlisko	резиденция
bydlisko	проживание
mag	мэг
bobby	бобби
náhodou	нечаянно
náhodou	случайно
napísali	написано
napísali	письменные
napísali	письменное
napísali	письменный
napísali	писал
napísali	написала
napísali	написали
napísali	написал
tiger	тигр
nadácie	фонды
nadácie	основы
detaily	детали
detaily	подробности
kolektív	коллектив
kolektív	коллективных
kolektív	коллективные
kolektív	коллективная
kolektív	коллективное
automobilový	автомобильной
automobilový	автомобильная
philippe	филипп
ľad	лед
ľad	льда
ľad	ice
ľad	лёд
lese	лесу
lese	вудс
lese	лес
mostov	мосты
mostov	мостов
jadrovej	ядерная
jadrovej	ядерные
rap	рэп
výraznejšie	острее
odolnosť	сопротивления
odolnosť	сопротивление
odolnosť	стойкость
odolnosť	устойчивость
jay	джей
podobnú	аналогичная
podobnú	похожие
podobnú	аналогичное
podobnú	аналогичные
podobnú	схожие
teórií	теории
čou	чжоу
záhreb	загребе
leonardo	леонардо
sľuby	обещает
sľuby	обещания
sľuby	новички
sľuby	клятвы
sľuby	обеты
prepojenie	взаимосвязь
súčet	сумма
umiestnenia	размещения
umiestnenia	размещение
umiestnenia	местоположения
umiestnenia	места
umiestnenia	местах
umiestnenia	местоположение
umiestnenia	расположение
umiestnenia	местонахождение
umiestnenia	место
formátu	формат
záhrade	гарден
záhrade	сад
záhrade	garden
záujmov	интересы
derby	дерби
teréne	местности
teréne	местность
robinson	робинсон
zubov	зубов
zubov	зубы
bela	бела
sierra	сьерра
prusko	пруссии
portugalský	португальский
portugalský	португалии
case	случае
case	случай
case	дело
case	кейс
vlakov	поезда
soľ	соли
soľ	соль
miestni	местные
castle	замок
castle	касл
zjednotenie	объединение
zjednotenie	унификации
väzba	связать
väzba	обязательные
väzba	обязательных
väzba	стражей
väzba	бонд
tradícia	традиция
tradícia	традиции
povesti	слухи
abovsko	абауй
nástupcu	преемник
nástupcu	преемника
aktuálny	текущий
aktuálny	текущее
aktuálny	нынешней
aktuálny	текущие
aktuálny	текущая
aktuálny	актуальным
katalóg	каталог
katalóg	каталог
nelson	нельсон
rastú	расти
rastú	вырасти
sčítanie	переписи
sčítanie	перепись
výklad	толкование
výklad	интерпретация
výklad	толковать
výklad	интерпретировать
výzbroje	вооружение
výzbroje	вооружения
pozemné	наземные
pozemné	земное
pozemné	сухопутные
pozemné	наземных
pozemné	основание
pohľady	достопримечательности
pohľady	просмотры
pohľady	просмотров
pohľady	мнения
pohľady	взгляды
cestná	дорога
cestná	дорожной
cestná	road
cestná	роуд
zásah	вмешательство
zásah	вмешательства
zásah	помехи
zásah	вмешательство
zásah	интервенции
zásah	вмешательства
warner	warner
zdravotné	медицинская
zdravotné	медицинских
zdravotné	медицинское
zdravotné	медицинский
zdravotné	здоровья
zdravotné	здоровье
zdravotné	здравоохранения
zdravotné	здравоохранение
chybu	ошибка
založiť	база
založiť	основание
jules	джулс
jules	жюль
prúdov	потоки
prúdov	потоков
prúdov	ручьи
komédia	комедии
komédia	комедия
watanabe	ватанабэ
kresťanov	христиане
kresťanov	христиан
angel	анхель
angel	ангел
angel	ангела
továrne	заводы
továrne	фабрики
továrne	фабрик
faktor	коэффициент
faktor	фактор
faktor	фактором
litva	литве
litva	литвы
litva	литва
zavraždený	убита
zavraždený	убитый
zavraždený	убил
zavraždený	убит
zavraždený	убиты
phil	фила
phil	фил
rob	роб
rob	ограбить
spôsobujú	причинение
spôsobujú	вызывая
výkonný	исполнительная
ponúkol	предложил
presun	перенос
presun	трансфер
presun	передача
presun	двигаться
presun	переместить
presun	ход
presun	переезд
presun	перемещение
presun	двигаться
presun	передвижение
presun	движение
carter	картер
poistenie	страховка
poistenie	страхование
poistenie	страхования
finančne	финансово
kroky	этапы
kroky	ступеньки
kroky	шаги
kroky	стопам
kroky	шаги
zmazať	исключить
zmazať	удаление
zmazať	удалить
bohatý	богат
bohatý	богатых
bohatý	рич
bohatý	богатая
bohatý	богатый
bohatý	богатые
erich	эрих
informatiky	информатики
suchá	сухая
suchá	сухие
suchá	сухой
poddruh	подвида
slnečná	солнечной
slnečná	солнечное
slnečná	солнечные
slnečná	солнечная
infraštruktúra	инфраструктура
svetom	world
svetom	мир
nahrávanie	загрузка
nahrávanie	загрузите
nahrávanie	загрузка
nahrávanie	загрузить
nahrávanie	запись
nahrávanie	запись
nahrávanie	рекорд
nahrávanie	записать
nahrávanie	записывать
čítať	читайте
čítať	читай
čítať	прочитать
čítať	прочесть
čítať	читать
záchranu	спасатели
záchranu	спасти
záchranu	спасение
wood	дерево
wood	древесина
wood	вуд
wood	дрова
wood	древесины
klavirista	пианист
kabíny	домики
dutiny	полость
dutiny	полости
dutiny	пазухи
dutiny	кариеса
mer	мер
schopní	способный
organické	органические
organické	органических
organické	органический
rybníky	пруды
portálu	портал
vyvinuli	эволюционировали
skutočné	real
skutočné	настоящий
skutočné	настоящие
skutočné	настоящая
skutočné	реальные
skutočné	подлинные
skutočné	подлинного
skutočné	подлинный
skutočné	фактическое
skutočné	фактические
skutočné	фактический
skutočné	фактическая
skutočné	фактических
domény	домены
návštevy	посетители
návštevy	посетителей
návštevy	гости
návštevy	посетить
návštevy	визит
návštevy	визита
návštevy	посещение
návštevy	поездки
návštevy	визиты
návštevy	посещений
návštevy	посещения
citát	цитирую
citát	цитата
odborov	профсоюзов
odborov	союзы
odborov	профсоюзы
štvrté	четвертой
štvrté	четвертый
štvrté	четвертое
štvrté	четвёртая
štvrté	четвёртый
štvrté	четвертая
vzduchom	воздухе
jonas	джонас
barry	барри
barry	бэрри
equus	equus
licencie	лицензии
licencie	лицензий
licencie	лицензии
licencie	лицензий
licencie	лицензия
licencie	лицензирование
licencie	лицензирования
nákladu	груз
nákladu	грузов
nákladu	грузы
budovať	строить
budovať	построить
hlboké	глубокую
hlboké	глубокое
hlboké	глубокая
hlboké	глубокие
hlboké	глубоко
hlboké	глубокий
odhad	смета
odhad	оценить
vojnový	войны
vojnový	war
vojnový	война
koalície	коалиция
koalície	коалицию
koalície	коалиции
charakteristiky	особенности
charakteristiky	характеристики
charakteristiky	особенности
charakteristiky	функции
briti	британцев
briti	британцы
briti	британское
briti	британская
briti	британские
briti	великобритании
briti	британцы
briti	британский
briti	британцы
čínske	китайская
čínske	китайское
čínske	китайцы
čínske	китайский
čínske	китая
mama	мама
mama	мам
mama	мама
mama	мать
mama	мама
mama	матерь
mama	матушка
mama	мама
zisku	прибыль
zisku	прибыли
zaznamenané	записано
zaznamenané	записали
zaznamenané	отметило
zaznamenané	отметила
prepustený	выпущено
prepustený	освобождены
prepustený	выпустила
prepustený	выпущен
prepustený	выпущена
prepustený	выписали
venuša	венеры
venuša	венера
väzení	тюрьме
väzení	тюрьма
centrálne	центральная
centrálne	центральное
centrálne	центральной
centrálne	центральный
centrálne	централизованно
porážku	поражение
porážku	поражения
porážku	победить
budúci	далее
budúci	следующий
budúci	следующая
budúci	next
harvard	гарвард
olympic	олимпийские
olympic	олимпийский
nepriateľov	враги
nepriateľov	врагам
nepriateľov	врагов
geometria	геометрия
reprezentácia	представительство
priatelia	друзей
priatelia	друзья
verše	стихи
verše	знамения
socialistická	социалистическая
socialistická	социалистической
prince	принц
prince	принс
prince	князь
vrtuľníky	вертолеты
vrtuľníky	вертолетов
titan	титан
cook	приготовить
cook	повар
cook	кук
cook	готовить
diely	запчасти
diely	частей
diely	части
charlotte	шарлотта
počuť	слышать
počuť	слышите
počuť	слышу
chemicky	химически
matthew	мэттью
matthew	мэтью
emanuel	эмануэль
oskar	оскар
oskar	оскар
oskar	оскара
predstavenie	исполнение
predstavenie	производительность
predstavenie	показывать
predstavenie	шоу
predstavenie	show
predstavenie	показать
predstavenie	показ
bohato	богато
vraždy	убийство
vraždy	убийства
vraždy	убийство
vraždy	убийства
podvozok	шасси
podvozok	буги
zavedená	введена
zavedená	введен
zavedená	введено
lisa	лиза
lisa	лиса
vybrať	выберите
vybrať	выбор
vybrať	выбрать
vybrať	выбираем
vybrať	выберите
vybrať	выбор
vybrať	выделить
vybrať	выбрать
činiteľ	коэффициент
činiteľ	фактор
činiteľ	фактором
premenné	переменная
premenné	переменные
premenné	переменной
premenné	переменных
premenné	переменные
fred	фред
adrian	эдриан
adrian	эдриен
adrian	адриан
dvořák	дворжак
štandardy	нормы
štandardy	стандарты
planéte	планете
planéte	планета
čisté	нетто
čisté	net
čisté	чистый
čisté	чистая
čisté	чистые
čisté	чисто
čisté	чистый
čisté	чистое
čisté	чистые
čisté	чистая
čisté	чисто
čisté	чистый
čisté	очистить
čisté	чистой
ukončený	прекращены
ukončený	прекращено
súbežne	одновременно
súbežne	параллельное
súbežne	параллельно
súbežne	параллель
súbežne	параллельные
súbežne	параллельных
tvrdenia	претензии
tvrdenia	утверждения
tvrdenia	обвинения
tvrdenia	аргументы
tvrdenia	доводы
alois	алоиз
ručne	вручную
súkromný	частное
súkromný	частный
súkromný	частная
súkromný	частного
súkromný	личное
súkromný	частные
scaleminor	scaleminor
plody	фрукты
plody	фрукт
plody	плод
plody	плоды
plody	фрукты
plody	плоды
fórum	форумы
fórum	форум
fórum	форуме
pestovanie	растет
pestovanie	растущий
pestovanie	растущей
pestovanie	растущая
pestovanie	посадки
pestovanie	культивирование
pestovanie	культивирования
pestovanie	выращивание
relácia	заседание
relácia	сессия
relácia	сеанс
relácia	сессии
cooper	купер
nahradená	заменены
nahradená	заменили
nahradená	заменены
nahradená	заменена
logiky	логика
pohyby	движения
pohyby	движется
psychológ	психолог
psychológ	психолога
slávnosti	festival
slávnosti	фестиваль
terminológia	терминологии
terminológia	терминология
bytosti	существа
samice	самки
samice	женщины
samice	женское
samice	женщины
samice	женский
samice	женская
samice	женщина
súradnice	координировать
súradnice	координации
súradnice	координаты
senátu	сенат
senátu	сенате
grafický	графический
grafický	графические
grafický	графический
grafický	графические
plukovník	полковник
michelangelo	микеланджело
potomkov	потомство
potomkov	потомки
potomkov	потомков
potomkov	потомство
melbourne	мельбурне
korunu	короны
korunu	корону
korunu	корона
agent	агент
tém	темы
kapitola	глава
kapitola	главу
železo	железа
železo	утюг
železo	железо
železo	железный
spisy	труды
spisy	трудах
podvozku	буги
labe	эльба
konečný	окончательный
konečný	окончательного
konečný	заключительный
konečný	заключительные
efektívne	эффективное
efektívne	эффективный
efektívne	эффективная
efektívne	эффективного
efektívne	эффективно
efektívne	эффективное
efektívne	эффективность
efektívne	эффективный
efektívne	эффективная
efektívne	эффективные
efektívne	эффективно
efektívne	эффективно
najnovšie	недавние
najnovšie	последние
najnovšie	недавнее
najnovšie	недавно
najnovšie	новейшие
najnovšie	latest
poľnohospodárske	сельскохозяйственные
poľnohospodárske	сельскохозяйственных
poľnohospodárske	сельскохозяйственная
kaplnke	часовне
sasko	саксония
modra	синий
modra	blue
modra	синие
modra	голубые
modra	голубой
modra	модра
jadrom	core
jadrom	ядро
papiera	бумага
papiera	бумаги
platňa	тарелку
platňa	плита
platňa	тарелка
spol	сообщников
hlasovať	голосования
hlasovať	проголосовать
hlasovať	голосовать
hlasovať	голосование
hlasovať	голосуйте
hlasovať	голосования
hlasovať	голосование
liverpool	ливерпуль
opravy	исправления
opravy	ремонт
opravy	ремонт
dia	диа
mačky	кошек
mačky	коты
mačky	кошки
trestné	преступные
trestné	преступник
trestné	уголовное
trestné	уголовного
brigády	бригады
brigády	бригад
brigády	бригады
brigády	бригада
teológia	теологии
varšave	варшава
varšave	варшаве
následné	последующие
následné	последующее
ľudský	человеческое
ľudský	человеческая
ľudský	человек
ľudský	человека
potrieb	потребностей
potrieb	потребности
útek	побег
útek	избежать
útek	побег
útek	сбежать
zaťaženie	загрузить
zaťaženie	нагрузка
zaťaženie	нагрузок
zaťaženie	погрузки
zaťaženie	загрузка
tal	таль
sarah	сара
československo	чехословакии
spolupracovať	сотрудничать
spolupracovať	сотрудничать
vyhlásenia	заявления
vyhlásenia	декларации
vyhlásenia	заявления
vyhlásenia	объявления
sebastian	себастьян
klaus	клаус
obsahujúce	содержащий
obsahujúce	содержащие
obsahujúce	содержащих
obsahujúce	содержащая
dôsledky	последствия
dôsledky	последствия
chomutov	хомутов
váhy	шкалы
váhy	весы
váhy	весы
váhy	веса
váhy	весов
zámer	намерение
zámer	намерение
zámer	намерения
hladina	уровень
hladina	уровня
hladina	level
čreva	кишечник
čreva	кишечника
iniciatívy	инициативы
iniciatívy	инициатива
symbolov	символов
symbolov	символы
mons	монс
empire	империи
empire	империя
vietname	вьетнам
piatok	пятницу
piatok	пятница
tvarov	фигуры
tvarov	формы
štúdiá	студии
štúdiá	studios
používateľ	пользователь
používateľ	пользователя
používateľ	пользователю
made	сделанные
made	сделано
made	сделана
made	сделал
made	сделаны
letci	листовки
etapy	этапах
etapy	стадии
etapy	этапы
pristál	приземлился
rozširuje	расширяет
rozširuje	расширяется
rozširuje	расширяет
osád	поселения
osád	поселений
žltý	желтая
žltý	жёлтый
žltý	желтые
žltý	желтый
abd	абд
odmietli	отклонена
odmietli	отклонила
odmietli	отклонили
odmietli	отказался
jamie	джейми
náčelník	шеф
náčelník	начальник
náčelník	вождь
sociálny	социальное
sociálny	социального
sociálny	социальный
sociálny	социальная
sociálny	социальные
porto	порту
rozdielne	разные
rozdielne	различных
deutsche	deutsche
adresu	адреса
adresu	адрес
rumunský	румынии
lebky	черепа
lebky	череп
lebky	черепа
úseky	секции
úseky	разделы
priemyselná	промышленный
priemyselná	промышленные
priemyselná	промышленных
pretekár	гонщик
kras	карст
uhlie	уголь
uhlie	угля
uhlie	уголь
abeceda	алфавит
komédie	комедии
komédie	комедия
komédie	комедии
kopa	кучу
duchovné	духовные
duchovné	духовный
duchovné	духовное
duchovné	духовного
extra	дополнительные
extra	дополнительное
extra	дополнительная
nickelback	nickelback
udržanie	поддержание
vzdať	сдаться
vzdať	сдаваться
snahu	усилие
snahu	усилия
nárok	претензия
chýb	ошибки
chýb	ошибки
chýb	жуков
chýb	жуки
chýb	ошибки
medi	меди
medi	коп
medi	медь
pokryté	охватывает
zavedený	введена
zavedený	введен
zavedený	введено
jednotlivcov	лиц
archeológ	археолог
organizmus	организм
organizmus	организма
junior	младшие
junior	джуниор
junior	младший
životy	живёт
životy	жизней
životy	живет
životy	жизни
frekvencie	частоты
frekvencie	частотность
frekvencie	периодичность
frekvencie	частота
autobus	автобус
výrobcu	производитель
výrobcu	продюсер
výrobcu	изготовитель
výrobcu	производитель
výrobcu	изготовителем
tisícročia	тысячелетия
tisícročia	тысячелетие
prednášky	лекции
prednášky	лекции
prednášky	лекцию
prednášky	лекция
ulrich	ульрих
akademický	академических
návrhov	предложения
praktické	практических
praktické	практическая
praktické	практические
počasie	погода
nominácia	назначение
nominácia	выдвижение
nominácia	номинации
trio	трио
skúsenosť	опыт
najmladší	младшая
najmladší	младший
sklo	стакан
sklo	стекло
sklo	бокал
sklo	стекла
preložené	перевел
preložené	перевели
preložené	перевела
disciplíne	дисциплины
disciplíne	дисциплина
disciplíne	дисциплину
wwe	wwe
elektrických	электрический
elektrických	электрические
elektrických	электрических
elektrických	электрическая
elektrických	электрический
elektrických	электрик
elektrických	electric
elektrických	электрическая
adresy	адреса
adresy	адресов
family	семья
family	семейство
family	семейное
family	семьи
family	родные
operáciu	хирургия
operáciu	операция
vzdialený	отдаленных
vzdialený	дальний
vzdialený	дистанционное
vzdialený	дистанционного
vzdialený	пульт
naučil	научилась
naučil	узнал
naučil	научился
naučil	научил
naučil	преподавал
existoval	существовала
existoval	существовали
existoval	существовало
existoval	существовал
porasty	плантациях
porasty	плантации
dmitrij	дмитрий
pohlavia	пол
pohlavia	полов
pohlavia	секс
wars	войн
wars	войны
dallas	даллас
karibiku	карибского
broughton	бротон
timeaxis	timeaxis
zrýchlenie	ускорения
zrýchlenie	ускорение
core	core
core	ядро
paralelne	параллельное
paralelne	параллельно
paralelne	параллель
paralelne	параллельные
paralelne	параллельных
lipa	липы
challenger	challenger
bytov	квартиры
bytov	квартир
bytov	байт
bytov	квартиры
bytov	апартаменты
centrálny	центральная
centrálny	центральное
centrálny	центральной
centrálny	центральный
rodičmi	родители
rodičmi	родителям
rodičmi	родителей
eddie	эдди
nymburk	нимбурк
ross	росс
ross	росса
média	media
média	медиа
média	сми
fritz	фриц
afganistane	афганистана
afganistane	афганистан
afganistane	афганистане
prístupné	доступный
rádia	radio
rádia	радио
afrických	африканский
afrických	африканского
afrických	африканские
afrických	африканская
terminál	терминал
konstantin	константин
výstupy	мероприятия
výstupy	итоги
bruins	брюинз
armstrong	армстронг
lekára	врач
lekára	доктор
lekára	врач
rukopis	рукопись
shoemaker	сапожник
projektom	проекты
projektom	проектов
prózy	проза
margaret	маргарет
margaret	маргарита
pridáva	добавляет
nebezpečné	опасные
nebezpečné	опасно
nebezpečné	опасная
nebezpečné	опасный
nebezpečné	опасных
nebezpečné	опасное
nebezpečné	опасные
nebezpečné	опасных
pristáli	приземлился
škótsku	шотландия
škótsku	шотландии
škótsku	виски
škótsku	скотч
berkeley	беркли
outline	наброски
venovaná	посвященный
venovaná	выделенный
bočné	боковой
platnosť	действительный
platnosť	действительное
platnosť	действительности
platnosť	действительность
výchovu	воспитание
child	дитя
child	детский
child	ребенок
child	ребёнок
child	ребенка
zostať	остаюсь
zostať	остаться
polo	поло
sporné	сомнительно
sporné	сомнительных
sporné	спорных
sporné	спорный
sporné	спорные
sporné	спорных
neba	рай
neba	небеса
neba	небо
baktérie	бактерии
baktérie	микробы
main	основная
main	основные
main	главная
main	основных
grafika	оформление
grafika	artwork
grafika	графика
grafika	графики
vodcov	лидеров
vodcov	лидеры
vodcov	руководители
estónsko	эстонии
estónsko	эстония
sodný	натрия
schopností	способности
medzinárodne	международно
médium	media
médium	медиа
médium	сми
médium	экстрасенс
médium	средняя
médium	средних
médium	средний
médium	среднее
médium	средние
vyhláška	указ
vyhláška	постановление
vyhláška	указ
vyhláška	декрет
vyhláška	указ
úteku	побег
úteku	избежать
geometrie	геометрия
zachránil	спас
zachránil	сохранена
zachránil	сохранен
zachránil	сохранено
zachránil	сохранены
pravdepodobnosť	вероятности
pravdepodobnosť	шансы
pravdepodobnosť	вероятность
pravdepodobnosť	вероятность
guide	проводник
guide	гид
guide	руководства
guide	руководство
airbus	airbus
komentár	комментировать
komentár	прокомментировать
komentár	комментарий
komentár	замечания
komentár	комментарии
neskoro	опаздывает
neskoro	поздний
neskoro	поздно
neskoro	опоздал
dokázať	демонстрировать
dokázať	продемонстрировать
dokázať	доказать
vybraný	выбранный
vybraný	избранные
vybraný	избранный
vybraný	выбранный
vybraný	выбран
vybraný	выбранные
vybraný	выбрано
vybraný	подборка
zvon	колокольчик
zvon	белл
zvon	колокол
zvon	bell
kult	культ
usb	usb
veží	башни
tajne	втайне
tajne	тайно
reedy	риди
dodáva	доставляет
dodáva	добавляет
dodáva	поставляется
dodáva	поставлено
kryštály	кристаллы
unit	подразделение
unit	единицы
unit	единица
lightgrey	lightgrey
riadil	ехал
príbuzných	родственники
príbuzných	родственников
polomer	радиус
nákladné	дорогостоящим
nákladné	грузовых
nechce	хочет
užitočné	полезная
užitočné	полезное
užitočné	полезный
užitočné	полезно
užitočné	полезные
užitočné	полезное
užitočné	полезный
užitočné	полезно
užitočné	полезные
športovcov	спортсмены
športovcov	спортсменов
športovcov	спортсмены
dos	dos
terénu	местности
terénu	местность
plemena	породы
plemena	порода
otázok	вопросы
kantónov	кантоны
kantónov	кантонов
širokú	широкая
širokú	широкие
širokú	широкой
širokú	широкий
širokú	широкая
širokú	широкие
širokú	широкого
širokú	широкий
buffalo	буффало
pripravený	готово
pripravený	готовы
pripravený	готов
pripravený	готова
chemickej	химического
chemickej	химический
chemickej	химическая
špecifikácie	спецификации
špecifikácie	спецификация
obnoviť	сброс
obnoviť	сбросить
obnoviť	восстанавливать
obnoviť	восстановить
obnoviť	обновить
obnoviť	возобновить
ueda	уэда
vodiča	драйвер
vodiča	водителя
vodiča	водитель
vajíčka	яйца
zavedené	введена
zavedené	введен
zavedené	введено
zavedené	осуществлена
odborník	эксперта
odborník	эксперт
odborník	специалиста
odborník	специалист
bordeaux	бордо
sietí	сетки
sietí	сети
sietí	сеток
sietí	сетей
sietí	сети
sietí	сетях
matematické	математические
magazín	журнал
magazín	magazine
vypukla	разразился
chápe	понимает
hrdinovia	герои
hrdinovia	героев
bloky	куски
bloky	блоки
bloky	блоков
táborov	лагерях
táborov	лагеря
táborov	лагерей
predkov	предки
predkov	предков
predkov	предков
nikde	нигде
nikde	никуда
nikde	некуда
guinea	гвинеи
guinea	гвинея
guinea	гвинею
guinea	гвинее
ralph	ральф
dáma	lady
dáma	дама
dáma	леди
populárna	популярная
populárna	популярных
populárna	популярный
populárna	популярное
populárna	популярные
drámy	драма
drámy	драмы
pavilón	павильон
hospodárska	экономические
hospodárska	экономическая
hospodárska	экономического
hospodárska	экономический
hodnotenia	обзоры
hodnotenia	обзоров
hodnotenia	отзывы
hodnotenia	рейтинг
hodnotenia	рейтинги
hodnotenia	оценки
hodnotenia	оценки
robotník	работник
robotník	рабочий
premena	преобразование
premena	конверсии
premena	метаморфозы
premena	трансформация
premena	преобразования
premena	преобразование
premena	трансформации
vyriešiť	решимость
vyriešiť	решить
mobile	mobile
mobile	мобильные
mobile	мобильных
mobile	мобильный
živí	кормит
živí	ленты
živí	живой
živí	живым
živí	живая
živí	живые
živí	жив
pietro	пьетро
roland	роланд
spracovania	обработки
spracovania	переработка
spracovania	обработка
výslovnosť	произношение
priehrady	плотины
priehrady	плотин
vydávanie	вопрос
vydávanie	выпуск
vydávanie	проблема
vydávanie	выдача
vydávanie	издательство
vydávanie	публикация
autorka	автор
politikov	политиков
politikov	политики
