triangle	trīsstūra
smoke	dūmus
assassination	slepkavības
assassination	slepkavība
lancaster	lankasteras
reynolds	reinoldsa
divorce	šķiršanās
dust	putekļu
dust	putekļi
dust	putekļiem
separately	atsevišķi
grain	graudi
grain	graudu
translations	tulkojumi
zimbabwe	zimbabve
cohen	koens
puts	noliek
diving	niršanas
carroll	kerols
accounting	grāmatvedība
accounting	uzskaite
accounting	grāmatvedību
accounting	grāmatvedības
mesa	mesa
prussia	prūsija
intelligent	viedo
cherry	ķiršu
cherry	ķirši
tobacco	tabaku
tobacco	tabaka
varieties	šķirnēm
varieties	šķirnes
bench	stends
bench	stenda
directions	virzieni
directions	virzienos
directions	norādījumi
ellen	elena
ellen	elēna
measurement	mērīšana
measurement	mērījumu
measurement	mērījumi
measurement	mērījums
paradise	paradīze
paradise	paradīzes
alexandria	aleksandrija
complement	papildinājums
complement	papildināt
complement	papildina
witch	raganu
witch	ragana
attraction	piesaiste
diana	diana
diana	daiena
personalities	personības
personalities	personībām
colleagues	kolēģu
colleagues	kolēģiem
colleagues	kolēģi
busy	aizņemta
busy	aizņemts
busy	aizņemti
cia	cip
screenwriter	scenāriste
rankings	rangs
aboriginal	aborigēnu
commanders	komandieriem
commanders	komandieri
salem	salem
wagner	vāgners
firms	firmas
firms	firmām
sanctions	sankcijas
americas	amerika
americas	americas
endings	galos
instructor	instruktors
nobility	aristokrātu
tomorrow	rīt
manuscripts	manuskriptus
unified	vienots
unified	vienoti
clarify	noskaidrot
clarify	precizēt
scouts	skauti
investigations	izmeklēšanu
investigations	izmeklēšana
investigations	izmeklēšanas
investigations	izmeklējumi
silva	silva
derek	dereks
provision	noteikums
humanity	cilvēci
humanity	cilvēce
admit	atzīt
terror	terora
contestants	dalībniecēm
trinidad	trinidāda
distant	tālā
burke	bērks
circles	aprindās
circles	aprindas
assignment	piešķiršana
releasing	atbrīvojot
recalled	atgādināja
shrine	svētnīcu
sail	kuģot
celebrate	svinam
ranch	rančo
vampire	vampīrs
playwright	dramaturgs
sick	slima
sick	slims
sick	slimi
associates	palīgus
heinrich	heinrihs
ethiopia	etiopija
flags	karogi
tel	tel
drove	brauca
shorts	šorti
shorts	bikses
drives	vada
accomplished	izpildīts
accomplished	izpildīta
autobiography	autobiogrāfija
uprising	sacelšanās
edwin	edvīns
velocity	ātrums
terminology	terminoloģija
coordinates	koordinātas
coordinates	koordinātes
brighton	brighton
viola	viola
para	para
morrison	morisons
propulsion	dzinējspēks
propulsion	piedziņa
boxer	boxer
finale	noslēgums
shoulder	pleca
shoulder	plecs
disabled	invalīdi
disabled	atslēgts
disabled	invaliditāti
div	div
tactics	taktiku
tactics	taktika
ernst	ernsts
ernst	ernst
innocent	nevainīgi
innocent	nevainīgs
innocent	nevainīgu
rapper	reperis
settle	nokārtot
settle	nokārtotu
privacy	privātums
privacy	privātuma
boeing	boeing
cites	cites
bunch	bariņš
bunch	bars
emmy	emmija
indo	indo
rosa	rosa
rosa	roza
thermal	termiskā
flute	flauta
marines	karaspēks
feminist	feministu
trustees	pilnvaroto
trustees	pilnvarotie
sculptures	skulptūru
nationally	nacionāli
bacteria	baktēriju
bacteria	baktērija
bacteria	baktērijas
introduce	ieviest
disorders	traucējumi
rivalry	sacensība
prevention	profilakse
prevention	profilaksei
prevention	novēršana
healthy	veselīgi
healthy	veselīga
healthy	veseli
healthy	veselīgs
circus	cirks
circus	cirka
speculation	spekulācijas
speculation	spekulāciju
burma	birmu
burma	birmā
burma	birma
sec	sek
sec	sec
quiet	kluss
quiet	klusa
quiet	klusi
knee	ceļgala
deliver	piegādāt
deliver	nogādāt
hypothesis	hipotēzi
hypothesis	hipotēze
referendum	referendums
referendum	referendumā
travelling	ceļošana
travelling	ceļo
estonian	igauņu
estonian	igaunijas
pastor	mācītājs
sofia	sofijā
sofia	sofija
tribune	tribīnes
lasting	ilgstoša
lasting	ilgstošs
lasting	ilgstošu
permit	atļaut
permit	atļauja
priority	prioritāte
pounds	mārciņu
pounds	mārciņas
cent	centu
cent	centi
rica	kostarikā
furniture	mēbeles
macdonald	makdonalds
honest	godīgs
honest	godīgi
innovative	inovatīvu
innovative	inovatīva
innovative	inovatīvi
innovative	novatoriska
estimate	aplēses
atp	atp
rotation	rotācija
lecturer	lektors
automated	automatizētas
automated	automatizēta
kosovo	kosova
classics	klasika
classics	klasikas
julius	jūlijs
appreciated	novērtēts
naples	neapoles
sebastian	sebastians
activated	aktivizēta
activated	aktivizēts
activated	aktivizējas
offense	uzbrucēji
advised	ieteicams
barnes	bārnss
acknowledged	atzina
acknowledged	atzīta
acknowledged	atzīts
exceptions	izņēmumi
martha	marta
quarters	ceturtdaļas
drawings	rasējumus
drawings	rasējumi
barely	knapi
hitting	skar
refuge	patvērums
maharashtra	mahārāštras
conventions	konvencijas
conventions	konvencijām
elliott	eliots
diplomat	diplomāts
brigadier	brigādes
particle	daļiņa
thursday	ceturtdien
thursday	ceturtdiena
icon	ikonu
icon	ikona
icon	ikonas
ulster	ulster
genes	gēni
infinite	bezgalīgu
vale	vale
portraits	portretus
saxony	saksijas
convoy	karavāna
annie	annija
excessive	pārmērīgā
excessive	pārmērīgi
excessive	pārmērīgas
excessive	pārmērīga
excessive	pārmērīgs
believing	ticēt
rhine	reinas
mineral	minerālu
implement	ieviest
implement	īstenot
surgeon	ķirurgs
badge	žetonu
infection	inficēšanās
infection	infekcija
infection	infekcijas
electron	elektronu
cnn	cnn
likewise	tāpat
confederation	konfederācija
confederation	konfederāciju
casino	kazino
doctorate	doktora
guatemala	gvatemala
settings	iestatījumi
settings	uzstādījumi
mask	maska
shelter	patversmes
shelter	patvērums
shelter	patversme
dorothy	dorothy
hopefully	cerams
elimination	eliminācija
elimination	izvadīšana
elimination	likvidēšana
heath	hīts
pregnant	grūtniecība
pregnant	stāvoklī
richards	richards
theodore	teodors
delegates	delegāti
blair	blair
fac	pak
phrases	frāzes
crashed	avarēja
preference	priekšroka
preference	priekšroku
janeiro	janeiro
concerto	concerto
bits	bitiem
bits	sīkumi
bits	biti
tune	melodiju
unofficial	neoficiālā
unofficial	neoficiāla
unofficial	neoficiāls
lighthouse	bāka
stan	stens
highland	augstienes
mascot	talismans
acceptance	pieņemšana
acceptance	pieņemšanas
tight	cieši
considers	uzskata
hub	rumbas
hub	hub
mess	nekārtību
routine	rutīnas
dozens	desmitiem
dozens	dučiem
spotted	pamanīja
harmony	saskaņas
wwe	wwe
apollo	apollo
runway	skrejceļš
runway	skrejceļu
runway	skrejceļa
naked	kaila
naked	kails
naked	neapbruņotu
anton	antons
moses	mozus
legally	tiesiski
legally	juridiski
legally	legāli
fake	viltus
fake	viltoti
fake	viltojums
revolt	sacelšanās
revolt	sacelšanos
providence	providensa
investors	investori
reliability	ticamības
reliability	drošums
reliability	ticamība
reliability	uzticamība
tenor	tenors
fights	cīnās
pocket	kabatas
pocket	kabatā
sad	bēdīgs
sad	skumji
sad	vad
troy	trojas
treasure	dārgumi
treasure	dārgums
ion	jonu
roberto	roberto
adoption	pieņemšana
adoption	adopcija
decrease	samazinājums
decrease	samazināt
reserved	rezervēts
reserved	rezervēta
reserved	rezervēti
reserved	rezervētas
forgotten	aizmirsuši
forgotten	aizmirsts
forgotten	aizmirsti
forgotten	aizmirsis
lok	lok
crop	kultūraugu
crop	kultūra
crop	kultūraugi
licensing	licencēšana
licensing	licencēšanu
licensing	licencēšanas
advocacy	aizstāvēšana
collecting	savākt
treasury	kase
trumpet	trompete
johnston	džonstona
uncertain	nenoteikta
uncertain	neskaidrs
uncertain	neskaidra
norton	norton
collector	kolekcijas
cluster	kopa
dear	mīļie
dear	dārgā
dear	mīļā
georges	žoržs
roller	rullīšu
clothes	apģērbi
clothes	apģērbs
clothes	drēbes
sovereign	suverēna
sovereign	suverēnas
enhanced	pastiprināta
enhanced	uzlabots
compensation	kompensācijas
compensation	kompensācija
consent	piekrišanas
consent	piekrišana
outline	izklāstu
outline	kontūra
holdings	holdings
holdings	saimniecības
jorge	jorge
darkness	tumsu
darkness	tumsa
penalties	sankcijas
penalties	sodi
holes	caurumi
blow	trieciens
cooking	gatavošana
cooking	gatavošanas
trainer	pasniedzējs
measuring	mērīšana
measuring	mērīšanas
lawsuit	prāva
chip	čips
consciousness	apziņa
archaeology	arheoloģija
latvia	latvija
telugu	telugu
blogs	blogus
protecting	aizsargāšana
hardy	hardijs
stamp	zīmogs
nat	nat
fur	kažokādas
fur	kažokādu
redirected	novirzīti
estimates	aprēķini
estimates	aplēses
lit	ieslēgšana
ritual	rituāla
ritual	rituāls
locality	apvidus
trace	izsekot
trace	palieku
marble	marmora
foundations	pamati
politically	politiski
politically	politiskā
nottingham	nottingham
derivative	atvasinājumu
derivative	atvasinājums
boxers	šortos
dimension	dimensija
crawford	krofords
bats	sikspārņi
tanzania	tanzānijas
succeed	izdodas
motto	devīze
motto	moto
streak	svītru
concentrated	koncentrētas
concentrated	koncentrēti
concentrated	koncentrēta
concentrated	koncentrēts
dirty	netīra
dirty	netīrs
xbox	xbox
identifying	identificēt
identifying	identificēšana
likes	patīk
genres	žanru
galleries	alejas
galleries	galerijas
forbes	forbes
councils	padomes
brass	misiņa
bach	bahs
alias	segvārdu
tough	grūta
advertisement	sludinājums
trails	takas
claire	klēra
mistakes	kļūdas
bruno	bruno
dylan	dilans
bag	soma
bag	maiss
bag	maisiņš
throwing	met
churchill	churchill
tan	tan
witnesses	liecinieki
witnesses	lieciniekus
thames	temzas
kazakhstan	kazahstāna
bots	bot
highlights	uzsver
highlights	izceļ
jumping	lekt
prof	prof
slovak	slovāku
slovak	slovākijas
skull	galvaskausa
missionaries	misionāri
hoped	cerēju
hoped	cerēja
myth	mītu
myth	mīts
mandatory	obligāta
mandatory	obligāts
mandatory	obligātas
mandatory	obligāti
stern	pakaļgala
fees	nodevas
fees	maksa
fees	maksas
bet	derēt
bet	derības
monks	mūki
dancers	dejotāji
dancers	dejotājas
quantity	daudzums
inventor	izgudrotājs
cairo	kairas
graves	kapos
graves	kapi
proximity	tuvuma
seemingly	šķietami
barrier	barjera
barrier	šķērslis
barrier	barjeras
barrier	barjeru
creatures	radījumi
logan	logan
erik	ēriks
leicester	leicester
silence	klusēšana
silence	klusums
jessica	džesika
plateau	plato
precedent	precedents
walsh	walsh
zones	zonās
zones	zonas
intensity	intensitāte
exterior	ārējais
exterior	ārējā
exterior	ārpuses
exterior	ārējie
murders	slepkavības
paragraphs	rindkopas
bike	velosipēds
bike	riteni
imprisonment	ieslodzījuma
imprisonment	cietumsods
remarkable	ievērojamo
remarkable	zīmīgi
remarkable	ievērojams
differ	atšķirties
differ	atšķiras
tin	tin
tin	alvas
garcia	garsija
madagascar	madagaskaras
cameras	kamerām
cameras	kameras
ammunition	munīcija
ammunition	munīcijas
fires	ugunsgrēki
viewing	skatīšanās
explore	izpētīt
builder	celtnieku
minneapolis	mineapolisā
bullet	lode
kerry	kerry
subway	metro
arrow	bultu
arrow	bulta
economist	ekonomists
bread	maize
lou	lū
strategies	stratēģijas
rubber	gumija
rubber	gumijas
precise	precīzi
precise	precīzs
rifles	šautenes
cognitive	kognitīvo
governorate	guberņa
nest	ligzda
nest	nest
slam	slam
ancestry	senči
portsmouth	portsmouth
convince	pārliecinātu
convince	pārliecināt
audiences	auditorija
boarding	iekāpšanas
boarding	iekāpšana
bonds	obligācijas
joshua	joshua
inhabited	apdzīvo
casey	keisi
attract	piesaista
attract	piesaistītu
attract	piesaistīt
kilometres	kilometri
pump	sūknis
pump	sūkņa
feeding	barošanas
feeding	ēdināšana
feeding	barošana
ain	ain
mathematician	matemātiķis
diary	dienasgrāmata
diary	dienasgrāmatu
vulnerable	neaizsargāti
vulnerable	neaizsargātas
inscription	uzraksts
dubai	dubaijas
michelle	mišela
lebanese	libānas
productive	produktīva
happening	notiek
accordingly	attiecīgi
researcher	pētnieku
researcher	pētnieks
della	della
baden	bādene
upgraded	modernizētas
upgraded	uzlabots
demonstration	demonstrācija
demonstration	demonstrēšana
demonstration	demonstrējumu
equality	līdztiesība
equality	vienlīdzība
philosophers	filozofi
trap	lamatas
trap	slazdā
clara	klāra
invitation	ielūgums
invitation	uzaicinājums
marking	iezīmēšana
marking	marķējums
admission	uzņemšana
admission	uzņemšanas
sacramento	sakramento
certification	sertifikācijas
certification	sertifikācija
casting	liešanas
submarines	zemūdeņu
submarines	zemūdenes
prohibited	aizliegta
prohibited	aizliegts
prohibited	aizliegtas
prohibited	aizliegti
supposedly	domājams
governance	pārvaldība
frog	vardi
frog	vardes
frog	varde
vague	neskaidrs
vague	nenoteikts
tackles	risina
mhz	mhz
secular	laicīgo
tracking	izsekošanas
tracking	izsekošana
spa	spa
publicity	reklāma
publicity	publicitāte
armoured	bruņota
armoured	bruņu
cleared	noskaidroti
gibraltar	gibraltārs
renewed	atjaunots
reflects	ataino
reflects	atspoguļo
fever	drudzis
melody	melodija
supporter	atbalstītājs
supporter	atbalstītāja
jeffrey	džefrijs
discusses	diskutē
discusses	apspriež
surnames	uzvārdi
useless	bezjēdzīgi
useless	nelietderīgi
swift	swift
tuesday	otrdien
tuesday	otrdiena
silly	muļķīgi
empress	empress
capabilities	spējas
newman	ņūmens
scales	skalas
scales	svari
beatles	beatles
clergy	garīdzniecības
sara	sāra
lifestyle	dzīvesstila
lifestyle	dzīvesveida
lifestyle	dzīvesveids
bee	bite
bee	bišu
holders	turētājiem
holders	īpašnieki
holders	turētāji
baltic	baltic
baltic	baltijas
czechoslovakia	čehoslovākijas
brandon	brendons
loaded	ielādēts
maya	maiju
maya	maija
maya	maja
enterprises	uzņēmumi
imo	imo
mature	nobriedušu
physically	fiziski
sequences	sekvences
breast	krūts
beast	zvērs
raja	radžu
für	für
educator	pedagogs
griffin	griffin
rhodes	rhodes
preparing	sagatavošana
proportion	proporcija
ana	ana
rainbow	varavīksnes
rainbow	varavīksne
demon	dēmons
prussian	prūšu
answered	atbildēts
answered	atbildēja
ist	ist
perception	uztvere
distributor	izplatītājs
entities	subjekti
entities	vienības
dynamics	dinamika
dynamics	dinamiku
fiji	fidži
insufficient	nepietiekami
insufficient	nepietiekamas
insufficient	nepietiekama
insufficient	nepietiekams
algebra	algebra
homer	homērs
larvae	kāpuri
limestone	kaļķakmens
johns	johns
chaos	haoss
layers	slāņi
crater	krāteris
chad	čadas
excess	pārpalikums
bombardment	bombardēšanas
ashley	ešlija
dot	dot
gif	gif
translator	tulkotājs
cowboys	kovboji
hanging	karājas
soprano	soprāns
interviewed	intervēja
workshops	semināri
workshops	darbnīcas
terrain	apvidus
terrain	reljefa
belarus	baltkrievija
liked	iepatikās
liked	patika
console	pults
console	konsoles
nascar	nascar
applying	piemērojot
vandal	vandal
graduates	absolventiem
graduates	absolventi
jungle	džungļos
jungle	džungļu
placement	izvietojums
placement	izvietošanu
placement	ievietošana
placement	izvietošana
tourists	tūristi
tourists	tūristiem
reasonably	saprātīgi
performs	veic
performs	pilda
quarterly	ceturksnis
quarterly	ceturkšņa
quarterly	ceturksnī
quarterly	ceturksni
romans	romieši
diploma	diplomu
diploma	diploma
diploma	diploms
swan	gulbis
carpenter	carpenter
boris	boriss
berry	ogu
berry	berijs
invention	izgudrojums
southampton	sauthemptonas
bend	līkumu
app	app
app	lietotnes
app	aplikāciju
questioned	apšaubīja
questioned	apšaubīta
questioned	apšaubīts
explicit	skaidri
draws	zīmē
slight	nelieli
slight	neliels
slight	neliela
slight	nelielas
drag	vilkt
maxwell	maksvels
planes	lidmašīnas
planes	plaknes
manufacture	izgatavošana
manufacture	ražošana
coordinator	koordinators
coordinator	koordinatoru
coordinator	koordinatore
bombs	bumbas
superman	supermens
colombian	kolumbijas
philippe	philippe
felix	fēlikss
bengali	bengāļu
voluntary	brīvprātīgs
voluntary	brīvprātīga
voluntary	brīvprātīgais
voluntary	brīvprātīgi
floating	peldošie
montenegro	melnkalne
sketch	skice
mann	mann
flooding	plūdi
dressed	ģērbies
astronomy	astronomijas
sudden	pēkšņas
sudden	pēkšņs
sudden	pēkšņa
variables	mainīgie
arbitrary	patvaļīgas
arbitrary	patvaļīgi
skiing	slēpošana
timothy	timotijs
cello	čells
rainfall	nokrišņu
rafael	rafaels
sphere	sfēra
georg	georgs
cinematography	kinematogrāfija
canvas	audekls
chest	krūtīs
chest	krūškurvja
chest	krūšu
krishna	krišna
provider	piegādātājs
provider	sniedzējs
provider	nodrošinātājs
frances	frānsiss
wanting	vēlme
poles	poļu
poles	poļi
cabin	kabīne
cabin	salona
civilization	civilizācija
lisbon	lisabona
lisbon	lisabonas
lisbon	lisabonā
tongue	mēle
tongue	mēles
eliminate	likvidēt
panels	paneļi
panels	paneļu
panels	paneļus
darwin	darvins
cheese	siers
cheese	sieri
easter	lieldienas
rat	žurkas
rat	žurka
papua	papua
insert	ievietot
descriptions	apraksti
debates	debates
informal	neformālās
informal	neoficiāls
informal	neoficiāli
informal	neformāla
informal	neformālā
castles	pilis
cry	sauciens
cry	raudu
cry	raudāt
loyal	uzticams
surfaces	virsmām
surfaces	virsmas
nicolas	nicolas
institutes	institūti
institutes	institūtiem
humor	humors
madonna	madonna
worcester	worcester
cooperative	kooperatīvā
cooperative	kooperatīvs
trips	braucieni
trips	trips
trips	ceļojumi
winston	winston
introducing	ieviest
llc	llc
drake	dreika
fountain	strūklakas
fountain	strūklaka
consulting	konsultācijas
patricia	patrīcija
ers	ers
garcía	garcía
quit	iziet
rid	rid
maple	kļavu
illustrations	ilustrācijas
mechanisms	mehānismi
mechanisms	mehānismus
reds	sarkanie
posters	plakātus
posters	plakāti
leipzig	leipcigas
roland	rolands
expelled	izraidīt
evident	acīmredzams
telecommunications	telekomunikācijas
telecommunications	telekomunikāciju
telecommunications	telekomunikācijām
strait	šaurums
nationals	pilsoņi
unanimous	vienprātīgi
misleading	maldinošu
misleading	maldinošs
misleading	maldinoša
misleading	maldinoši
stefan	stefan
sleeping	gulēt
sleeping	guļ
alto	alto
thomson	tomsona
directing	vadīšanā
prehistoric	aizvēsturiskiem
communicate	sazināties
alphabet	alfabēts
zagreb	zagreba
chef	pavārs
chef	šefpavārs
tubes	caurules
carnegie	karnegi
hostile	naidīgu
prizes	godalgas
prizes	balvas
eighteen	astoņpadsmit
shirt	krekls
weird	savādi
weird	dīvaini
weird	dīvaina
loading	iekraušanas
loading	iekraušana
loading	ielādē
edges	malām
edges	malas
plantation	plantāciju
vernon	vernon
acre	akru
wonderful	brīnišķīgs
wonderful	brīnišķīga
wonderful	brīnišķīgi
wonderful	brīnišķīgā
wonderful	brīnišķīgas
missiles	raķetes
finger	pirksta
finger	pirksts
finger	pirkstu
garage	garāžas
garage	garāža
savage	savage
technological	tehnoloģiskie
