the	করে
year	বছরের
most	অধিকাংশ
most	সবচেয়ে
most	মোস্ট
city	শহর
city	নগর
used	ব্যবহৃত
then	অতঃপর
then	এরপর
then	তারপর
then	তখন
than	চেয়েও
than	চাইতে
than	চেয়ে
county	কাউন্টি
external	বহিঃস্থ
external	বাহ্যিক
external	বহিরাগত
where	কোথায়
where	যেখানে
will	করবে
will	করবো
will	দেবো
will	করবি
what	কি
what	যা
what	কী
any	অনির্দিষ্ট
any	যেকোনও
any	যেকোনো
these	এসব
these	এইসব
these	এগুলো
january	জানুয়ারি
january	জানুয়ারী
march	মার্চ
august	অগাস্ট
august	আগস্ট
july	জুলাই
being	হচ্ছে
being	হবার
film	চলচ্চিত্র
film	ফিল্ম
him	তাকে
many	অনেকেই
many	বহু
many	অনেক
south	দক্ষিণ
september	সদস্য
september	সেপ্টেম্বর
like	মতো
like	লাইক
like	পছন্দ
like	মত
like	যেমন
october	অক্টোবর
october	অন্যান্য
three	তিনজন
three	তিন
june	অবাঞ্ছিত
june	জুন
well	ভালো
well	ভাল
well	বেশ
well	ভালোভাবে
use	ব্যবহার
war	যুদ্ধ
under	নীচে
under	নিচে
them	তাদের
them	সেগুলি
them	তাদেরকে
april	এপ্রিল
born	জন্ম
born	জন্মেছেন
born	জন্মগ্রহন
born	বর্ন
december	সদস্য
december	ডিসেম্বর
link	লিঙ্ক
link	লিংক
link	সংযোগ
while	while
while	অথচ
later	পরে
part	অংশ
part	পার্ট
part	অংশটি
november	সদস্য
november	নভেম্বর
players	খেলোয়াড়দের
players	খেলোয়াড়
players	প্লেয়ার
list	তালিকা
please	প্লিজ
please	please
following	নিম্নোক্ত
following	নিম্নলিখিত
february	ফেব্রুয়ারি
february	ফেব্রুয়ারী
february	ফ্রেব্রুয়ারি
known	পরিচিত
known	চেনা
known	জ্ঞাত
second	সেকেন্ড
second	দ্বিতীয়
name	নাম
group	গ্রুপ
group	দল
group	গোষ্ঠী
group	শ্রেণী
history	ইতিহাস
series	সিরিজ
series	ধারাবাহিক
just	মাত্র
just	শুধু
north	উত্তর
work	কর্মস্থল
work	কর্ম
work	কাজকর্ম
before	আগে
before	পূর্বে
before	আগেই
since	থেকে
season	সিজন
season	ঋতু
season	মৌসুম
season	মৌসুমে
season	সেশন
both	উভয়ই
both	উভয়ের
both	দুজনেই
both	উভয়
high	উচু
high	উচ্চ
high	বেশী
high	উঁচু
through	মাধ্যমে
district	জেলার
district	জেলা
district	ডিস্ট্রিক্ট
now	এখন
now	এবার
comments	মন্তব্য
because	কেননা
because	কারন
because	কারণ
football	ফুটবল
music	সংগীত
music	সঙ্গীত
diff	diff
century	সেঞ্চুরি
century	শতাব্দী
century	শতক
century	শতাব্দীতে
league	লীগের
league	লীগ
league	লিগ
edits	সম্পাদনাগুলি
debate	তর্কের
debate	বিতর্ক
debate	বিতর্কে
title	শিরোনাম
title	শীর্ষক
title	নাম
articles	প্রবন্ধগুলি
articles	নিবন্ধগুলি
articles	নিবন্ধ
articles	প্রবন্ধ
john	জন
same	সমান
same	সেম
same	একই
same	same
could	পারতাম
could	পেতাম
english	ইংরেজী
english	ইংরাজি
english	ইংরেজি
english	ইংলিশ
album	অ্যালবাম
album	সংকলন
number	সংখ্যা
number	নাম্বার
number	নম্বর
against	বিপক্ষে
against	বিরুদ্ধে
family	পরিবারের
family	পারিবারিক
family	পরিবার
family	সংসার
user	ব্যবহারকারী
based	ভিত্তিক
area	এলাকা
area	অঞ্চল
york	ইয়োর্ক
life	প্রাণ
life	জিবন
life	লাইফ
life	জীবনের
life	জীবন
british	ব্রিটিশ
international	ইন্টারন্যাশনাল
international	আন্তর্জাতিক
game	গেম
game	খেলা
above	উপরে
club	সংঘ
club	ক্লাব
your	তোমার
your	আপনার
early	প্রারম্ভিক
early	তাড়াতাড়ি
best	বেস্ট
best	সর্বোত্তম
best	সেরা
best	শ্রেষ্ঠ
best	শ্রেষ্ট
best	best
west	পশ্চিম
house	বাড়ি
house	ঘরের
house	ঘর
house	হাউজ
house	হাউস
company	কোম্পানি
company	কম্পানি
company	কোম্পানী
general	সাধারণ
left	বাঁদিক
left	রেখে
left	বাম
left	বাঁদিকে
very	অত্যন্ত
very	খুবই
very	খুব
here	এখানে
don	ডন
living	লিভিং
living	জীবন্ত
living	বসবাসকারী
living	বসবাস
day	দিনের
day	দিন
day	দিবস
several	কতিপয়
place	জায়গায়
place	স্থান
place	জায়গা
party	পার্টি
party	পার্টির
college	কলেজ
college	কলেজের
college	কলেজে
college	মহাবিদ্যালয়
result	ফলাফল
result	রেজাল্ট
keep	রাখুন
keep	রাখো
keep	রাখা
appropriate	উপযুক্ত
four	চার
even	এমনকি
even	even
class	শ্রেণি
class	ক্লাস
class	শ্রেণী
government	সরকারি
government	সরকারের
government	সরকার
government	সরকারী
how	কীভাবে
how	কিভাবে
how	কত
how	কেমন
called	বলা
did	করেছিল
each	প্রত্যেক
each	প্রতিটি
found	পাওয়া
center	কেন্দ্রে
center	কেন্দ্র
center	মধ্য
style	শৈলী
style	ধরন
style	স্টাইল
style	বিন্যাস
long	দীর্ঘ
long	লম্বা
country	দেশের
country	দেশ
country	কান্ট্রি
back	পূর্ববর্তী
back	পিছনে
back	ফিরে
way	উপায়
way	পন্থা
way	পথের
way	পথ
does	করে
does	করেন
www	www
end	সমাপ্তি
end	শেষ
end	সমাপ্ত
public	সার্বজনীন
public	পাবলিক
public	সর্বজনীন
played	খেলেছেন
won	জিতেছে
won	ওন
won	জিতে
won	জিতেছেন
another	আরেকজনের
another	আরেকটি
another	আরেকটা
another	আরেক
another	আরেকজন
support	সমর্থন
support	সাপোর্ট
games	গেম
games	গেমস
games	খেলা
former	প্রাক্তন
former	আগের
former	সাবেক
those	সেসব
films	চলচ্চিত্র
films	ফিল্মস
films	চলচ্চিত্রের
church	চার্চ
church	গির্জার
church	গির্জা
church	গীর্জা
east	পূর্ব
east	পুর্ব
line	লাইন
line	রেখা
major	প্রধান
major	মেজর
members	সদস্যবৃন্দ
members	সদস্য
members	সদস্যগণ
members	সদস্যরা
good	ভাল
good	ভালো
good	ভালোই
good	গুড
much	মাচ
much	বেশি
much	অনেকটা
image	ছবি
image	চিত্র
show	প্রদর্শন
show	দেখান
still	তবু
still	এখনো
still	আজও
still	এখনও
think	ভাবতে
think	মনে
think	ভাবুন
below	নীচে
below	নিচে
town	শহর
town	টাউন
town	নগর
last	শেষ
last	সর্বশেষ
system	সিস্টেম
right	ঠিক
right	সঠিক
right	ডান
right	ডানদিকে
song	গান
non	নন
section	বিভাগ
section	সেকশন
single	অবিবাহিত
single	সিঙ্গেল
single	একা
single	একক
included	included
included	অন্তর্ভুক্ত
align	ক্ষারীয়
align	প্রান্তিককরণ
home	গৃহ
home	বাড়ি
home	বাসায়
home	হোম
women	নারী
women	মহিলা
women	নারীর
women	নারীদের
women	মহিলারা
television	টেলিভিশন
seed	বীজ
member	সদস্য
goals	লক্ষ্যগুলি
goals	লক্ষ্য
sources	উৎস
sources	উৎসগুলি
sources	সোর্স
book	বই
station	স্টেশন
order	অর্ডার
order	অনুক্রম
order	ধারা
old	পুরাতন
old	পুরানো
old	বয়সী
old	পুরোনো
old	পুরনো
information	তথ্য
information	তথ্যসূত্র
set	সেট
set	সংকলন
set	নির্ধারণ
own	নিজের
own	নিজস্ব
text	টেক্সট
text	পাঠ্য
text	লেখা
band	ব্যান্ড
point	বিন্দু
point	পয়েন্ট
local	স্থানীয়
local	আঞ্চলিক
around	আশেপাশে
around	চারপাশে
river	নদী
river	রিভার
top	উপরে
top	সেরা
top	শীর্ষ
main	প্রধান
main	মূল
main	মুখ্য
language	ভাষা
french	ফরাসী
french	আর্সেনিক
french	ফরাসি
https	https
named	নামযুক্ত
off	বন্ধ
note	উল্লেখ্য
note	টীকা
note	নোট
note	চিরকুট
career	ক্যারিয়ার
career	কর্মজীবন
original	মূল
original	প্রকৃত
original	আসল
age	যুগ
age	বয়স
service	পরিষেবা
service	সার্ভিস
service	পরিসেবা
established	প্রতিষ্ঠিত
located	অবস্থিত
said	বললাম
said	বলেন
said	বললেন
said	বলল
said	বলেছে
said	বললো
website	ওয়েবসাইট
population	জনসংখ্যা
population	জনপরিসংখ্যান
air	বায়ু
air	এয়ার
german	জার্মান
law	আইন
law	আইনের
military	সামরিক
military	মিলিটারি
great	গ্রেট
great	দুর্দান্ত
great	দারুণ
great	মহান
great	দারুন
within	মধ্যে
published	প্রকাশ
published	প্রকাশিত
president	প্রেসিডেন্ট
president	রাষ্ট্রপতি
park	উদ্যান
park	পার্ক
official	আনুষ্ঠানিক
official	official
official	অফিসিয়াল
official	সরকারি
official	কর্মকর্তা
case	পরিস্থিতি
case	কেস
case	মামলা
london	লন্ডন
times	টাইমস
small	ক্ষুদ্র
small	স্বল্প
small	ছোট
third	তৃতীয়
different	ভিন্ন
different	অন্যরকম
different	বিভিন্ন
different	আলাদা
due	দেয়
due	পূর্বনির্ধারিত
get	পাওয়া
get	পাবেন
get	পান
get	পেতে
get	পাও
village	গ্রাম
village	গ্রামে
village	গ্রামের
closed	বন্ধ
closed	ঘনিষ্ট
closed	সীমিত
closed	ঘনিষ্ঠ
art	শিল্প
art	কলা
art	শিল্পকলা
player	খেলোয়াড়
final	ফাইনাল
final	চূড়ান্ত
final	চুড়ান্ত
community	কমিউনিটি
community	সম্প্রদায়
again	আবার
again	পুনরায়
army	আর্মি
army	সেনাবাহিনী
army	সেনাবাহিনীর
army	সেনা
award	পুরস্কার
without	ছাড়াই
without	ছাড়া
death	মৃত্যু
built	নির্মিত
men	পুরুষ
men	পুরুষরা
men	পুরুষগণ
men	পুরুষেরা
men	পুরুষের
large	বড়
large	বৃহৎ
site	সাইট
white	সাদা
five	পাঁচ
central	কেন্দ্রীয়
central	সেন্ট্রাল
central	মধ্য
road	রাস্তা
road	রোড
children	শিশুরা
children	সন্তান
children	সন্তানদের
children	শিশু
children	সন্তানেরা
free	বিনামূল্যে
free	বিনামূল্যের
free	ফ্রি
free	অবশিষ্ট
free	অব্যবহৃত
free	মুক্ত
took	নিয়েছি
england	ইংল্যান্ড
include	include
include	অন্তর্ভুক্ত
association	এসোসিয়েশন
association	অ্যাসোসিয়েশন
down	নিচে
down	চেপে
down	নীচে
down	ডাউন
down	নেমে
given	দেয়া
given	দেওয়া
given	প্রদত্ত
source	উৎসস্থল
source	উৎস
source	সোর্স
california	ক্যালিফোর্নিয়া
man	পুরুষ
man	পুরুষের
man	ম্যান
man	মানুষ
man	মানুষকে
version	সংস্করণ
written	লিখিত
written	লিখা
media	মাধ্যম
media	মিডিয়া
black	কাল
black	কাজল
black	কালো
though	অথচ
though	যদিও
though	হলেও
though	যদিওবা
php	পিএইচপি
report	রিপোর্ট
report	অভিযোগ
report	প্রতিবেদন
building	নির্মাণকার্য
building	ভবন
building	বিল্ডিং
take	নিতে
take	নাও
take	নিন
take	তুলুন
comment	কমেন্ট
comment	মন্তব্য
king	সাহেব
edit	সম্পাদনা
edit	সম্পাদন
stadium	স্টেডিয়াম
stadium	স্টেডিয়ামে
died	মারা
ship	জাহাজ
ship	শিপ
ship	জাহাজের
research	গবেষণা
record	রেকর্ড
archive	আর্কাইভ
archive	সংরক্ষণাগার
places	স্থানসমূহ
places	স্থানগুলি
places	স্থান
places	অবস্থান
undo	পূর্বাবস্থা
cup	কাপ
records	রেকর্ড
records	রেকর্ডের
often	প্রায়শই
often	প্রায়ই
few	অল্প
few	কয়েকটি
few	কিছু
few	কয়েক
received	গৃহীত
received	প্রাপ্ত
side	সাইড
side	পাশের
power	ক্ষমতা
power	পাওয়ার
power	বিদ্যুৎ
education	শিক্ষা
know	জানতে
know	জানে
know	জানো
know	জানা
know	জানি
category	শ্রেণীবিভাগ
category	বিভাগ
category	শ্রেণী
water	পানির
water	পানিতে
water	পানি
water	জল
water	জলে
political	রাজনৈতিক
species	প্রজাতির
species	প্রজাতি
field	ক্ষেত্র
field	ফিল্ড
field	ক্ষেত্রের
near	কাছাকাছি
near	কাছে
near	কাছের
near	নিকটে
australia	অস্ট্রেলিয়া
video	ভিডিও
need	দরকার
need	লাগবে
need	প্রয়োজন
island	আইল্যান্ড
island	দ্বীপ
form	ফর্ম
form	থেকে
find	খুঁজুন
find	অনুসন্ধান
play	খেলা
play	চালান
project	প্রকল্প
project	প্রজেক্ট
project	প্রোজেক্ট
radio	বেতার
radio	রেডিও
every	প্রতিটা
every	প্রত্যেক
every	প্রতিটি
development	উন্নয়ন
development	ডেভেলপমেন্ট
example	নমুনা
example	উদাহরণ
live	বেঁচে
live	বাঁচতে
live	সরাসরি
live	লাইভ
union	ইউনিয়ন
india	ভারত
india	ইন্ডিয়া
india	ভারতের
next	পরবর্তী
next	পরের
special	স্পেশাল
special	বিশেষ
court	কোর্ট
court	আদালতের
court	আদালত
region	প্রদেশ
region	এলাকা
region	অঞ্চল
little	ছোট্ট
little	ছোট
little	লিটল
little	সামান্য
short	স্বল্প
short	সংক্ষিপ্ত
short	ছোট
william	উইলিয়াম
province	প্রদেশ
province	রাজ্য
western	পাশ্চাত্য
western	পশ্চিমি
western	পশ্চিমা
western	পশ্চিমী
son	ছেলের
son	ছেলে
son	পুত্র
france	ফ্রান্স
council	পরিষদের
council	কাউন্সিল
council	পরিষদ
others	অন্যের
others	অন্যান্য
others	অন্যান্যরা
royal	রয়াল
royal	রয়েল
royal	রাজকীয়
royal	রয়্যাল
current	বর্তমান
street	সড়ক
street	রাস্তা
street	সরণি
full	পরিপূর্ণ
full	পূর্ণ
full	পুরো
full	সম্পূর্ণ
full	ভরা
red	লাল
too	কেও
too	অতিরিক্ত
too	খুব
department	বিভাগ
department	ডিপার্টমেন্ট
san	সান
help	সাহায্য
help	সহায়তা
james	জেমস
open	খোলা
open	খুলুন
force	ফোর্স
force	জোর
force	বলপূর্বক
force	ফোর্সের
position	পার্টিশন
position	অবস্থান
head	মাথা
head	মাথায়
head	মাথার
head	হেড
director	পরিচালক
father	পিতার
father	বাপ
father	বাবা
father	পিতা
track	ট্র্যাক
http	http
canada	কানাডা
australian	অস্ট্রেলিয়ান
george	জর্জ
jpg	jpg
level	স্তর
level	মাত্রা
late	দেরীতে
late	দেরী
late	দেরি
summer	গ্রীষ্ম
summer	গ্রীষ্মের
summer	গ্রীষ্মকাল
society	সমাজে
society	সমাজ
society	সোসাইটি
society	সমাজকে
moved	সরানো
office	কার্যালয়
office	অফিস
period	ব্যস
period	সময়কাল
championship	চ্যাম্পিয়নশীপ
championship	চ্যাম্পিয়নশিপ
round	গোলাকার
round	রাউন্ড
story	স্টোরি
story	ঘটনা
story	গল্প
story	কাহিনী
songs	গান
songs	গানগুলি
songs	সঙ্গীত
various	বিবিধ
various	বিভিন্ন
file	ফাইল
days	দিন
days	দিনগুলি
land	ল্যান্ড
land	জমির
land	জমি
land	ভূমি
business	ব্যবসা
business	ব্যবসার
business	ব্যবসায়িক
reason	কারন
reason	কারণ
america	আমেরিকা
million	মিলিয়ন
european	ইউরোপিয়ান
european	ইউরোপীয়
term	সময়কাল
six	ছয়
post	পোস্ট
why	কেনে
why	কেনো
why	কেন
produced	উৎপাদিত
making	বানানো
subject	বিষয়
young	তরুণী
young	যুবক
young	যুবতী
young	তরুন
young	তরুণ
total	সর্বমোট
total	মোট
david	ডেভিড
david	দাউদ
science	বিজ্ঞান
related	রিলোড
related	সম্পর্কিত
rock	ফাটিয়ে
rock	শিলা
rock	রক
archived	সংরক্ষিত
railway	রেলওয়ে
railway	রেলের
railway	রেল
railway	রেলপথ
become	হয়ে
led	নেতৃত্বে
led	led
led	এলইডি
students	শিক্ষার্থীরা
students	শিক্ষার্থীদের
students	ছাত্ররা
students	ছাত্রদের
students	ছাত্র
started	শুরু
news	খবর
news	সংবাদ
news	নিউজ
news	খবরাখবর
role	ভূমিকা
election	নির্বাচন
albums	অ্যালবাম
albums	সংকলন
present	বর্তমান
present	উপস্থিত
indian	ইন্ডিয়ান
indian	ভারতীয়
kingdom	রাজত্ব
kingdom	কিংডম
kingdom	রাজ্য
books	বইগুলি
books	বই
important	গুরুত্বপূর্ণ
important	প্রয়োজনীয়
love	ভালবাসার
love	ভালোবাসার
love	ভালোবাসে
love	ভালবাসা
love	ভালোবাসা
love	প্রেম
run	চালাও
run	সঞ্চালন
run	চালান
canadian	কানাডিয়ান
press	চাপুন
press	প্রেস
type	টাইপ
type	প্রকার
type	ধরন
act	অ্যাক্ট
act	act
editor	সম্পাদক
came	এলে
came	আসেন
came	এলো
came	এসেছিলেন
schools	স্কুলগুলি
schools	বিদ্যালয়
program	প্রোগ্রাম
issue	ইস্যু
social	সামাজিক
social	সোশ্যাল
germany	জার্মানি
germany	জার্মানির
germany	জার্মানী
production	উৎপাদন
production	উত্পাদন
production	প্রোডাকশন
production	প্রযোজনা
male	পুরুষ
male	মালে
male	পুরুষের
awards	পুরস্কার
points	বিন্দু
points	পয়েন্ট
similar	অনুরূপ
professional	প্রফেশনাল
professional	পেশাদার
professional	পেশাগত
professional	পেশাদারী
say	বলবো
say	বলে
say	বলো
say	বলতে
say	বল
say	বলুন
background	পটভূমি
enough	যথেষ্ট
enough	পর্যাপ্ত
lead	নেতৃত্ব
lead	লিড
lead	সীসা
common	কমন
common	প্রচলিত
data	তথ্য
data	ডাটা
data	ডেটা
color	রং
color	রঙ
person	ব্যক্তি
person	ব্যাক্তি
person	ব্যক্তির
services	পরিষেবা
services	সার্ভিস
services	পরিসেবা
bgcolor	bgcolor
museum	মিউজিয়াম
museum	জাদুঘর
battle	ব্যাটেল
battle	যুদ্ধে
battle	যুদ্ধ
sports	খেলাধুলা
sports	ক্রীড়া
sports	ক্রিড়া
sports	স্পোর্টস
already	ইতি
already	ইতিমধ্যে
already	ইতিমধ্যেই
currently	বর্তমানে
hall	হল
hall	হলে
buildings	ভবন
historic	ঐতিহাসিক
date	দিন
date	তারিখ
considered	বিবেচিত
considered	বিবেচনা
change	পরিবর্তন
change	পাল্টে
location	অবস্থান
yes	হ্যা
yes	হ্যাঁ
our	আমাদের
southern	দক্ষিণাঞ্চলীয়
lost	হারিয়ে
something	কিছু
review	পর্যালোচনা
together	একত্রে
together	একসাথে
robert	রবার্ট
fact	fact
fact	ফ্যাক্ট
less	সংক্ষিপ্ত
less	কম
japanese	জাপানি
japanese	জাপানী
groups	গোষ্ঠীগুলি
groups	দল
groups	গোষ্ঠী
groups	গ্রুপ
content	সামগ্রী
content	বিষয়বস্তু
involved	জড়িত
isbn	isbn
board	বোর্ডের
board	বোর্ড
japan	জাপান
control	কন্ট্রোল
control	কনট্রোল
control	নিয়ন্ত্রণ
policy	পলিসি
policy	নীতিমালা
policy	নীতি
modern	আধুনিক
modern	মডার্ন
human	মানুষের
human	মানব
human	মানুষ
half	অর্ধ
half	অর্ধেক
design	ডিজাইন
design	নকশা
event	ঘটনা
event	অনুষ্ঠান
event	ইভেন্ট
events	ঘটনাগুলি
events	ঘটনাসমূহ
events	অনুষ্ঠান
events	ইভেন্ট
available	উপলব্ধ
available	অব্যবহৃত
available	বিদ্যমান
available	উপস্থিত
done	সম্পন্ন
done	শেষ
done	সমাপ্ত
washington	ওয়াশিংটন
real	বাস্তব
real	আসল
real	সত্যিকারের
real	প্রকৃত
real	রিয়েল
start	শুরু
start	আরম্ভ
personal	ব্যক্তিগত
action	কর্ম
action	কাজ
space	স্থান
space	ব্যবধান
space	স্পেস
areas	এলাকা
areas	অঞ্চলসমূহ
notability	notability
star	তারা
star	তারকা
star	স্টার
really	সত্যিই
really	আসলেই
really	সত্যি
china	চিন
china	চীন
china	চাইনা
china	চায়না
possible	সম্ভব
possible	সম্ভাব্য
paul	পল
working	কর্মব্যস্ত
far	দূরে
far	দূর
far	ফার
going	যাচ্ছেন
going	যাচ্ছে
going	যাচ্ছি
minister	মন্ত্রীর
minister	মন্ত্রী
lake	হ্রদ
lake	লেক
popular	জনপ্রিয়
married	বিবাহিত
founded	স্থাপিত
europe	ইউরোপ
author	নির্মাতা
author	গ্রন্থকার
author	লেখক
away	দূরে
away	অনুপস্থিত
away	অন্যত্র
independent	ইন্ডিপেন্ডেন্ট
independent	স্বাধীন
process	প্রসেস
process	প্রক্রিয়া
teams	দলগুলি
character	চরিত্র
character	অক্ষর
low	নিচু
low	নিম্ন
low	কম
low	নীচু
michael	মাইকেল
pages	পৃষ্ঠাগুলি
pages	পাতাগুলি
pages	পৃষ্ঠা
pages	পৃষ্ঠাসমূহ
pages	পাতা
pages	পাতাগুলো
light	আলো
light	হালকা
light	আলোর
light	সাদা
big	বড়
big	বড়ো
seen	দেখেছেন
seen	দেখেছি
release	মুক্তি
release	রিলিজ
want	চাও
want	চান
want	চাই
want	চায়
episode	পর্ব
wrote	লিখেছিলাম
wrote	লিখেছেন
wrote	লিখেছে
republic	প্রজাতন্ত্র
republic	রিপাবলিক
thomas	টমাস
thomas	থমাস
companies	কোম্পানিগুলি
companies	সংস্থাগুলি
companies	কোম্পানিগুলো
via	ভায়া
via	মারফত
via	মাধ্যমে
russian	রাশিয়ান
russian	রুশ
thanks	ধন্যবাদ
thanks	থ্যাংকস
thanks	thanks
thanks	করিয়া
put	লাগা
race	দৌড়
race	জাতি
race	রেস
route	রাউট
route	রুট
someone	কেউ
someone	কাউকে
someone	কারোর
someone	কারো
civil	সিভিল
police	পুলিশের
police	পুলিশ
charles	চার্লস
listed	তালিকাভুক্ত
users	ব্যবহারকারীগণ
users	ব্যবহারকারীরা
users	ব্যবহারকারী
users	ব্যবহারকারীদের
template	টেমপ্লেট
body	শরীরে
body	শরীরের
body	শরীর
body	দেহ
question	প্রশ্ন
question	প্রস্থ
italian	ইতালিয়ান
italian	ইতালীয়
italian	ইতালিয়
featured	বৈশিষ্ট্যযুক্ত
featured	বিশেষায়িত
week	সপ্তাহ
editors	এডিটর
texas	টেক্সাস
chief	প্রধান
chief	নেতা
match	মিল
match	ম্যাচ
roman	রোমান
come	আসে
come	এসে
come	এসো
tour	ট্যুর
tour	ভ্রমণ
tour	সফর
sea	সাগর
sea	সমুদ্র
actually	আসলো
actually	আসলেন
actually	আসলে
cross	অতিক্রম
cross	ক্রুশ
cross	ক্রস
playing	খেলছেন
health	স্বাস্থ্যের
health	স্বাস্থ্য
institute	ইনস্টিটিউট
institute	ইন্সটিটিউট
caps	টুপি
caps	ক্যাপস
green	সবুজ
rights	অধিকারগুলি
rights	অধিকারের
rights	অধিকার
evidence	প্রমান
evidence	প্রমাণ
originally	মূলত
aircraft	এয়ারক্রাফট
aircraft	বিমানে
aircraft	বিমান
aircraft	বিমানের
arts	শিল্প
arts	কলা
arts	শিল্পকলা
arts	আর্টস
range	সীমা
range	পরিসর
range	পরিসীমা
probably	সম্ভবতঃ
probably	সম্ভবত
consensus	ঐকমত্য
bar	বার
problem	সমস্যা
look	দেখ
look	চেহারা
look	দেখো
issues	সমস্যাগুলি
issues	বিষয়গুলি
alumni	এলামনাই
average	গড়ে
average	গড়
network	নেটওয়ার্ক
win	জয়
shows	দেখায়
wife	বউ
wife	বউকে
wife	বউয়ের
wife	স্ত্রী
night	নাইট
night	রাতে
night	রাত
night	রাতের
night	রাত্রি
magazine	ম্যাগাজিন
magazine	পত্রিকা
centre	মাঝামাঝি
centre	কেন্দ্র
centre	মধ্য
usually	সাধারনত
usually	সাধারণত
completed	সম্পন্ন
significant	তাৎপর্যপূর্ণ
african	আফ্রিকান
able	সক্ষম
google	google
google	গুগল
stage	স্টেজ
stage	মঞ্চ
stage	পর্যায়
ireland	আয়ারল্যান্ড
today	আজকের
today	আজ
today	আজকে
academy	একাডেমী
academy	একাডেমি
saint	সাধু
saint	সেন্ট
self	নিজের
self	নিজেকে
self	নিজস্ব
self	স্বয়ং
self	নিজে
continued	অব্যাহত
stations	স্টেশন
mother	মায়ের
mother	মা
mother	মাকে
africa	আফ্রিকা
culture	সংস্কৃতি
spanish	স্প্যানিশ
grand	গ্র্যান্ড
committee	কমিটি
committee	কমিটির
things	জিনিসগুলি
things	জিনিস
things	জিনিষ
fire	ফায়ার
fire	আগুন
changed	পরিবর্তিত
gold	সোনা
gold	সোনার
gold	সোনালি
gold	স্বর্ণ
female	নারী
female	মহিলা
female	স্ত্রী
course	কোর্স
directed	পরিচালিত
months	মাস
chinese	চিনা
chinese	চীনা
previous	পূর্ববর্তী
previous	পূর্বাবস্থা
size	আকৃতি
size	মাপ
size	আকার
mentioned	উল্লেখিত
festival	উৎসব
peter	পিটার
basketball	বাস্কেটবল
move	স্থানান্তরণ
move	সরান
performance	কর্মক্ষমতা
standard	আদর্শ
standard	প্রমিত
standard	স্ট্যান্ডার্ড
means	মানে
give	দেই
give	দাও
give	দান
training	প্রশিক্ষণ
artist	শিল্পী
word	শব্দ
blue	নীল
primary	প্রধান
primary	প্রাথমিক
announced	ঘোষিত
value	মান
christian	খ্রিষ্টান
christian	খ্রিস্টান
christian	ক্রিশ্চিয়ান
christian	খ্রীষ্টান
christian	ক্রিস্টিয়ান
private	একান্ত
private	ব্যক্তিগত
private	প্রাইভেট
catholic	ক্যাথলিক
artists	শিল্পী
includes	অন্তর্ভুক্ত
view	প্রদর্শন
view	দেখুন
