με	עם
κύπελλο	גביע
κύπελλο	ספל
κύπελλο	כוס
ζωή	life
ζωή	החיים
ζωή	חיים
ζωή	זואי
έδρα	מטה
έδρα	המפקדה
έδρα	מפקדה
έδρα	מושב
έδρα	המושב
περιλαμβάνει	כולל
περιλαμβάνει	כוללת
μεγάλο	גדולים
μεγάλο	גדול
μεγάλο	גדולה
μεγάλο	ביג
μεγάλο	גדולים
μεγάλο	גדול
μεγάλο	גדולה
βάση	בסיס
βάση	בסיס
κέντρο	המרכז
κέντρο	מרכז
κέντρο	סנטר
κέντρο	המרכז
κέντρο	מרכז
γεννήσεις	לידות
φεβρουαρίου	בפברואר
φεβρουαρίου	פברואר
κάτι	משהו
κάτι	משו
κοντά	ליד
κοντά	קרוב
κοντά	סגור
κοντά	קרובים
μορφή	הטופס
μορφή	צורת
μορφή	טופס
μορφή	צורה
μορφή	פורמט
μορφή	בפורמט
μορφή	תבנית
χρόνο	זמן
χρόνο	הזמן
χρόνο	עת
χρόνο	טיים
ιστοσελίδα	אתר
ιστοσελίδα	האתר
κόμμα	מפלגה
κόμμα	מסיבה
κόμμα	המפלגה
κόμμα	מפלגת
κόμμα	פסיק
γιατί	כי
γιατί	בגלל
γιατί	למה
γιατί	מדוע
ρόλο	רולו
ρόλο	תפקיד
ρόλο	התפקיד
άλμπουμ	האלבום
άλμπουμ	אלבום
άλμπουμ	אלבומים
επειδή	כי
επειδή	בגלל
έκδοση	המהדורה
έκδοση	מהדורה
έκδοση	גרסה
έκδοση	גירסה
έκδοση	הגרסה
έκδοση	גרסא
έκδοση	גרסת
γκολ	שערים
γκολ	מטרות
γκολ	יעדים
γκολ	שער
γκολ	מטרה
γκολ	יעד
γκολ	גול
αρχές	רשויות
αρχές	הרשויות
αρχές	העקרונות
αρχές	עקרונות
γύρω	סביב
γύρω	בסביבה
γύρω	מסביב
ονομασία	השם
ονομασία	שם
κοινότητα	הקהילה
κοινότητα	קהילה
τελευταία	אחרונה
τελευταία	אחרונות
τελευταία	האחרון
τελευταία	אחרונים
τελευταία	אחרון
τελευταία	לאחרונה
έκανε	עשה
έκανε	עשה
έκανε	הכין
ξεκίνησε	התחלת
ξεκίνησε	התחלנו
ξεκίνησε	התחיל
ξεκίνησε	התחלתי
ξεκίνησε	התחילה
κυβέρνηση	ממשלה
κυβέρνηση	הממשלה
κυβέρνηση	ממשל
πρώτος	ראשון
πρώτος	קודם
πρώτος	ראשית
πρώτος	תחילה
πήρε	לקח
πήρε	צילם
κάνει	בוצע
κάνει	סיים
κάνει	סיימתי
κάνει	סגור
ανάμεσα	בין
δεύτερη	שניה
δεύτερη	שנייה
δεύτερη	שני
δεύτερη	שנית
γλώσσα	לשון
γλώσσα	שפה
γιος	בני
γιος	בן
μάχη	קרב
μάχη	הקרב
μάχη	קרב
μάχη	קרבית
μάχη	קרבי
μάχη	הילחם
μάχη	להילחם
πανεπιστήμιο	אוניברסיטה
πανεπιστήμιο	האוניברסיטה
όλες	כולם
όλες	הכל
όλες	כל
κάποια	כמה
κάποια	חלקם
δείτε	ראי
δείτε	רואה
δείτε	ראה
δείτε	שעון
δείτε	צפו
δείτε	צפה
δείτε	לצפות
πόλεμο	מלחמה
πόλεμο	המלחמה
περιοχές	אזורים
περιοχές	אזורי
περιοχές	אזורים
περιοχές	תחומים
πρώην	לשעבר
παράδειγμα	דוגמא
παράδειγμα	לדוגמה
παράδειγμα	דוגמה
άρθρο	כתבה
άρθρο	המאמר
άρθρο	מאמר
εικόνα	התמונה
εικόνα	תמונה
εικόνα	תדמית
εικόνα	התמונה
εικόνα	תמונה
έλαβε	התקבלה
έλαβε	שהתקבלו
έλαβε	התקבל
έλαβε	קיבל
έλαβε	התקבלו
επίσημη	רשמי
επίσημη	רישמי
επίσημη	רשמי
επίσημη	פורמלי
κατοίκους	תושבים
κατοίκους	מתמחים
κατοίκους	תושבים
πηγές	מקורות
βόρεια	צפונה
βόρεια	הצפון
βόρεια	צפון
βόρεια	צפון
πόλεις	ערים
πόλεις	עיירות
πόλεις	ערים
πόλεις	הערים
ιδιαίτερα	במיוחד
ιδιαίτερα	במיוחד
ιδιαίτερα	בייחוד
ιδιαίτερα	ובמיוחד
αγώνα	מרוץ
αγώνα	גזע
αγώνα	מירוץ
αγώνα	הגזע
αγώνα	גפרור
αγώνα	התאמה
αγώνα	התאמת
αγώνα	הילחם
αγώνα	להילחם
γεγονός	אירוע
γεγονός	האירוע
γεγονός	עובדה
σελίδα	דף
σελίδα	עמוד
σελίδα	הדף
θέμα	נושא
θέμα	נושא
ηλικία	הגיל
ηλικία	גיל
χρησιμοποιείται	משומש
χρησιμοποιείται	בשימוש
πρώτα	ראשון
πρώτα	קודם
πρώτα	ראשית
πρώτα	תחילה
μέγεθος	מידה
μέγεθος	גודל
θεωρείται	נחשבת
θεωρείται	נחשב
εδώ	פה
εδώ	כאן
νότια	דרומי
νότια	דרומית
νότια	דרום
νότια	הדרומי
νότια	דרום
νότια	דרומה
νότια	הדרום
σημείο	נקודה
σημείο	נקודת
σημείο	פוינט
σχέση	יחסים
σχέση	זוגיות
περίπτωση	תיק
περίπτωση	קייס
περίπτωση	מקרה
νέο	חדש
νέο	חדשה
νέο	חדשים
ήδη	כבר
έτος	שנת
έτος	שנה
σχεδόν	כמעט
σχεδόν	כמעט
ένωση	האיחוד
ένωση	איגוד
ένωση	איחוד
ένωση	האגודה
ένωση	העמותה
ένωση	איגוד
ένωση	עמותה
περισσότερο	עוד
περισσότερο	יותר
βασιλιά	המלך
βασιλιά	קינג
βασιλιά	מלך
εκκλησία	כנסיה
εκκλησία	כנסייה
εκδόσεις	פרסומים
μουσείο	המוזיאון
μουσείο	מוזיאון
πολιτικός	פוליטיקאי
συμμετοχή	מעורבות
συμμετοχή	השתתפות
συμμετοχή	ההשתתפות
δυο	שני
δυο	שניים
δυο	שתיים
πέθανε	תמות
πέθανε	למות
πέθανε	מת
πέθανε	מתו
πέθανε	מתה
ανά	פר
μουσική	מוסיקה
μουσική	מוזיקה
κόσμο	קוזמו
κόσμο	קוסמו
κόσμο	העולם
κόσμο	עולם
άτομα	יחידים
άτομα	אנשים
δεύτερο	שניה
δεύτερο	שנייה
δεύτερο	שני
δεύτερο	שנית
είδος	סוג
είδος	מין
είδος	מינים
είδος	זן
αρκετά	מספיק
εκείνη	היא
χώρες	מדינות
χώρες	ארצות
χώρο	חלל
χώρο	מרחב
σχολή	לימודים
εναντίον	כנגד
εναντίον	נגד
τρία	שלושה
τρία	שלוש
τρία	three
χαρακτηριστικά	מאפיינים
χαρακτηριστικά	תכונות
χαρακτηριστικά	מאפיינים
χαρακτηριστικά	תכונות
χαρακτηριστικά	מאפיינים
όρος	המונח
όρος	מונח
όρος	מאונט
όρος	הר
όρος	תנאי
όρος	מצב
ιδρύθηκε	נוסדה
ιδρύθηκε	נוסד
ιδρύθηκε	ייסד
βασιλιάς	המלך
βασιλιάς	קינג
βασιλιάς	מלך
παιδιά	בנים
παιδιά	נערים
παιδιά	ילדים
παιδιά	בחורים
παιδιά	חברה
παιδιά	ילדים
βραβείο	פרס
βραβείο	פרס
άρχισε	התחלת
άρχισε	התחלנו
άρχισε	התחיל
άρχισε	התחלתי
άρχισε	התחילה
φαίνεται	נראה
αρχαία	עתיקים
αρχαία	עתיקה
αρχαία	עתיקות
αρχαία	עתיק
αρχαία	העתיקה
μήκος	אורך
μήκος	האורך
κυκλοφόρησε	שוחרר
κυκλοφόρησε	שוחררו
κυκλοφόρησε	משוחרר
κυκλοφόρησε	שוחררה
τι	מה
συμμετείχε	השתתפו
συμμετείχε	השתתפה
συμμετείχε	השתתפתי
συμμετείχε	השתתף
χρονιά	שנת
χρονιά	שנה
παραγωγή	ההפקה
παραγωγή	ייצור
παραγωγή	הפקה
ηθοποιός	שחקנית
ηθοποιός	שחקן
ηθοποιός	השחקן
ελληνικά	יוונים
ελληνικά	יווני
ελληνικά	יוונית
δυνάμεις	פאוורס
δυνάμεις	כוחות
δυνάμεις	סמכויות
δυνάμεις	הכוחות
δυνάμεις	עוצמות
δυνάμεις	חוזק
δυνάμεις	כוחות
δυνάμεις	הכוחות
γαλλία	צרפת
ελληνικό	יוונים
ελληνικό	יווני
ελληνικό	יוונית
ευρώπη	אירופה
δεκαετία	העשור
δεκαετία	עשור
γνωστό	ידוע
γνωστό	הידוע
γνωστό	ידועה
γνωστό	ידועים
παγκόσμιο	גלובל
παγκόσμιο	גלובלי
βιβλίο	ספר
διάστημα	מרווח
διάστημα	חלל
διάστημα	מרחב
οικογένεια	משפחה
μέτρα	אמצעי
σημαίνει	אמצעים
σημαίνει	אמצעי
πέντε	חמישה
πέντε	חמש
πέντε	five
παραπάνω	לעיל
παραπάνω	מעל
υπουργός	שר
υπουργός	השר
σεζόν	עונה
σεζόν	העונה
πρότυπο	מודל
πρότυπο	דוגמנית
πρότυπο	דוגמן
πρότυπο	דגם
πρότυπο	התבנית
πρότυπο	תבנית
πρότυπο	סטנדרטים
πρότυπο	סטנדרט
πρότυπο	סטנדרטי
πρότυπο	תקן
αριθμός	מספר
αριθμός	המספר
θάνατο	המוות
θάνατο	מות
θάνατο	מוות
εταιρεία	החברה
εταιρεία	חברה
εταιρεία	פלוגה
σώμα	גוף
σώμα	הגוף
σώμα	גופה
σώμα	החיל
σώμα	חיל
πρωτεύουσα	הון
παράλληλα	מקביל
παράλληλα	מקבילים
παράλληλα	במקביל
παράλληλα	מקבילה
σύνολο	הכולל
γνωστή	ידוע
γνωστή	הידוע
γνωστή	ידועה
γνωστή	ידועים
κατάσταση	הסטטוס
κατάσταση	מצב
κατάσταση	סטטוס
κατάσταση	מעמד
κατάσταση	סיטואציה
κατάσταση	מצב
κατάσταση	תנאי
κατάσταση	מצב
νησί	אי
νησί	האי
επίπεδο	רמה
επιτυχία	הצלחה
γερμανία	גרמניה
άλλους	אחרות
άλλους	אחרים
άλλους	ואחרים
πίσω	אחורה
πίσω	בחזרה
πίσω	חזרה
πίσω	לאחור
δημιουργία	צרי
δημιουργία	צור
δημιουργία	ליצור
δημιουργία	היצירה
δημιουργία	הבריאה
δημιουργία	יצירה
αρχή	התחלה
αρχή	התחל
αρχή	התחלה
αρχή	ההתחלה
αρχή	העיקרון
αρχή	עיקרון
αρχή	עקרון
αρχή	רשות
αρχή	סמכות
αρχή	הרשות
άδεια	רישיון
άδεια	הרישיון
άδεια	הרשאה
άδεια	אישור
άδεια	רשות
άδεια	רישיון
άδεια	ריקה
άδεια	ריק
σου	סו
περισσότερα	עוד
περισσότερα	יותר
ανάπτυξη	פיתוח
ανάπτυξη	התפתחות
ανάπτυξη	צמיחה
ανάπτυξη	גדילה
φάση	שלב
αυτόν	בו
αυτόν	אותו
συγγραφέας	כותב
συγγραφέας	תסריטאי
συγγραφέας	סופר
συγγραφέας	סופרת
συγγραφέας	מחבר
συγγραφέας	סופר
συγγραφέας	שחיבר
άγιος	קדוש
άγιος	הקדוש
άγιος	קדושה
θάνατοι	מיתות
γ΄	iii
γ΄	השלישי
τραγούδι	שרים
τραγούδι	שירה
τραγούδι	שר
τραγούδι	שיר
τραγούδι	השיר
κόρη	בתי
κόρη	בת
κόρη	הבת
πάλι	שוב
επαρχία	נפה
επαρχία	מחוז
ιωάννης	יואניס
θεσσαλονίκη	סלוניקי
αγγλικά	אנגלית
άλλοι	אחרות
άλλοι	אחרים
άλλοι	ואחרים
κέρδισε	מנצח
κέρδισε	לנצח
κέρδισε	זכיתי
κέρδισε	זכה
κέρδισε	ניצח
κέρδισε	ניצחו
βασίλειο	ממלכה
βασίλειο	הממלכה
σκοπό	מטרה
σκοπό	תכלית
συνολικά	הכולל
συνολικά	הכוללת
γνωστός	ידוע
γνωστός	הידוע
γνωστός	ידועה
γνωστός	ידועים
γνωστός	מכר
γνωστός	היכרות
πληροφορίες	מידע
πληροφορίες	מידע
πληροφορίες	אינפורמציה
εθνικό	לאומי
εθνικό	לאומית
καριέρα	קריירה
καριέρα	הקריירה
ποτέ	מעולם
ποτέ	לעולם
τέλη	דמי
τέλη	עמלות
πλευρά	סייד
πλευρά	צד
πλευρά	לצד
πλευρά	הצד
διάφορες	שונים
ανήκει	שייך
ανήκει	שייכת
πρόγραμμα	תכנית
πρόγραμμα	תוכנה
πρόγραμμα	תוכנית
πρόγραμμα	תזמון
πρόγραμμα	תוכנית
χιλιόμετρα	מיילס
χιλιόμετρα	קילומטרים
χιλιόμετρα	מיילים
χιλιόμετρα	קילומטר
χιλιόμετρα	קילומטרים
κάτοικοι	תושבים
κάτοικοι	מתמחים
κάτοικοι	תושבים
άρθρα	מאמרים
τύπου	עיתונות
τύπου	סוג
δημοκρατία	רפובליקה
δημοκρατία	הרפובליקה
δημοκρατία	דמוקרטיה
δημοκρατία	הדמוקרטיה
πόλεμος	מלחמה
πόλεμος	המלחמה
εφημερίδα	עיתונים
εφημερίδα	עיתון
μικρό	קטן
μικρό	קטנים
μικρό	קטנה
μικρό	סמול
μικρό	קטנות
μικρό	קטן
μικρό	קטנה
μικρό	ליטל
τόπος	המקום
τόπος	מקום
τόπος	המיקום
τόπος	מיקום
ονομάζεται	נקרא
συγκεκριμένα	ספציפית
συγκεκριμένα	ספציפי
συγκεκριμένα	ספציפיות
συγκεκριμένα	ספציפיים
συγκεκριμένα	במפורש
συγκεκριμένα	ספציפית
συγκεκριμένα	ובפרט
είδη	מין
είδη	מינים
είδη	זן
πηγή	מקור
πηγή	המקור
κάποιος	מישהי
κάποιος	מישהו
κάποιος	מישהו
πρωταθλήματα	אליפויות
ιταλία	איטליה
πατέρας	אבא
πατέρας	אבי
πατέρας	אב
κατηγορίες	חיובים
κατηγορίες	אישומים
κατηγορίες	קטגוריות
αναφέρει	מזכיר
αναφέρει	מוזכר
ποδόσφαιρο	כדורגל
ποδόσφαιρο	כדורגל
ποδόσφαιρο	פוטבול
θέσεις	עמדות
θέσεις	תנוחות
θέσεις	פרסומים
θέσεις	פוסטים
θέσεις	מושבי
θέσεις	כסאות
θέσεις	מושבים
θέσεις	מושב
περισσότερες	עוד
περισσότερες	יותר
έκταση	כוונת
έκταση	היקף
έκταση	אזור
έκταση	איזור
έκταση	האזור
έκταση	שטח
γενικά	הכוללת
γενικά	כללי
γενικά	גנרל
σημαντικό	חשובות
σημαντικό	חשובים
σημαντικό	חשוב
σημαντικό	חשובה
νίκη	מנצח
νίκη	לנצח
νίκη	הניצחון
νίκη	נצחון
νίκη	ניצחון
νίκη	מנצחת
νίκη	מנצח
νίκη	זכייה
μικρή	קטן
μικρή	קטנים
μικρή	קטנה
μικρή	סמול
μικρή	קטנות
μικρή	קטן
μικρή	קטנה
μικρή	ליטל
έτη	שנים
έτη	שנה
πατέρα	אבא
πατέρα	אבי
πατέρα	אב
αμερικανός	אמריקאים
αμερικανός	אמריקני
αμερικανός	אמריקאית
αμερικανός	אמריקאי
τελικό	סופית
τελικό	סופי
τελικό	סופיות
τελικό	גמר
πάντα	תמיד
συγκρότημα	הלהקה
συγκρότημα	להקה
συγκρότημα	מורכבים
συγκρότημα	מורכב
συγκρότημα	מורכבת
συγκρότημα	מתחם
συγκρότημα	תסביך
παραγωγής	ההפקה
παραγωγής	ייצור
παραγωγής	הפקה
ίσως	אולי
ίσως	אולי
επόμενη	הבא
στιγμή	מומנט
μήνες	חודשים
μήνες	חודשי
μήνες	חודשיים
αποτελείται	הלחין
θεωρία	תאוריה
θεωρία	תיאוריה
ύψος	גובה
ύψος	גובה
πολλοί	הרבה
πολλοί	רבות
πολλοί	רבים
όλοι	כולם
όλοι	כולם
όλοι	הכל
όλοι	כל
όλοι	כולם
τώρα	כעת
τώρα	עכשיו
προπονητής	מאמן
προπονητής	המאמן
προπονητής	מאמנת
θέατρο	תיאטרון
θέατρο	תיאטרון
σημαντική	חשובות
σημαντική	חשובים
σημαντική	חשוב
σημαντική	חשובה
σημαντική	משמעותי
σημαντική	משמעותיים
σημαντική	משמעותיות
σημαντική	משמעותית
ημέρα	יום
ημέρα	day
διάφορα	שונות
επέστρεψε	הוחזר
επέστρεψε	חזר
κατέκτησε	כבש
θέματα	נושאים
θέματα	נושאים
θέματα	נושאים
θέματα	סוגיות
θέματα	בעיות
στάδιο	אצטדיון
στάδιο	האצטדיון
στάδιο	הבמה
στάδιο	שלב
χωριά	הכפרים
χωριά	כפרים
επίθεση	התקפה
επίθεση	התקף
επίθεση	פיגוע
επίθεση	תקיפה
επίθεση	תקיפה
τραγούδια	שירים
τραγούδια	השירים
έδωσε	מסרו
έδωσε	נתן
έδωσε	נתנה
πληθυσμός	אוכלוסיית
πληθυσμός	אוכלוסייה
πληθυσμός	אוכלוסיה
λέξη	מלה
λέξη	מילה
κατάφερε	מנוהלת
κατάφερε	מנוהל
προβλήματα	בעיות
έχοντας	קיום
δύναμη	כוח
δύναμη	חוזק
δύναμη	עוצמה
δύναμη	כח
δύναμη	כוח
δύναμη	פורס
δύναμη	כח
δύναμη	כוח
δύναμη	עוצמה
δύναμη	כח
δύναμη	power
επανάσταση	מהפכה
επανάσταση	המהפכה
τύπος	עיתונות
τύπος	הנוסחה
τύπος	נוסחה
τύπος	פורמולה
τύπος	סוג
εκατομμύρια	מיליון
εκατομμύρια	מליון
εκατομμύρια	מליונים
εκατομμύρια	מיליונים
τέσσερις	four
τέσσερις	ארבעה
τέσσερις	ארבע
πορεία	קורס
πορεία	מסלול
μέση	אמצע
μέση	ביניים
μέση	התיכון
μέση	האמצע
μέση	ממוצע
μέση	הממוצע
μέση	המותניים
μέση	מותניים
πρόβλημα	הבעיה
πρόβλημα	בעייה
πρόβλημα	בעיה
πρόβλημα	צרה
πρόβλημα	צרות
άνω	עליון
άνω	העליונה
νερό	מיים
νερό	מים
αγωνίστηκε	רבנו
αγωνίστηκε	לחמו
αγωνίστηκε	נלחמו
τοπική	מקומיים
τοπική	מקומי
τοπική	מקומית
εντός	בתוך
περιφέρεια	אזור
περιφέρεια	מחוז
παρουσία	נוכחות
μητέρα	אמא
μητέρα	אימא
έξι	שש
έξι	six
έξι	שישה
δομή	מבנה
παρίσι	פריס
παρίσι	פריז
έγραψε	כתבה
έγραψε	כתבתי
έγραψε	כתב
έγραψε	כתבת
κατασκευή	ייצור
κατασκευή	בניה
κατασκευή	בנייה
περιέχει	מכיל
περιέχει	מכילה
περιπτώσεις	מקרים
περιπτώσεις	תיקים
ημέρες	ימים
ημέρες	ימי
ημέρες	הימים
μαρία	מריה
μερικές	כמה
μερικές	חלקם
τιμή	המחיר
τιμή	פרייס
τιμή	מחיר
τιμή	הערך
τιμή	ערך
διαδικασία	תהליך
διαδικασία	התהליך
διαδικασία	הליכים
διαδικασία	ההליכים
διαδικασία	נוהל
διαδικασία	הליך
κοινό	קהל
κοινό	הקהל
διαγραφή	מחק
διαγραφή	מחיקה
διαγραφή	למחוק
διαγραφή	מחק
διαγραφή	מחיקה
απογραφή	מלאי
απογραφή	המלאי
συλλογή	האוסף
συλλογή	אוסף
τρίτη	שלישי
τρίτη	שלישי
τρίτη	השלישי
τρίτη	שלישית
παρακάτω	מתחת
παρακάτω	למטה
παρακάτω	בהמשך
παρακάτω	להלן
ναός	מקדש
ναός	המקדש
βοήθεια	סיוע
βοήθεια	עזרה
βοήθεια	עזור
βοήθεια	עזרי
απόσταση	מרחק
απόσταση	טווח
νέων	הנעורים
νέων	נוער
νέων	נעורים
νέων	הנוער
αμέσως	מיד
αμέσως	מיידית
αμέσως	מייד
αναφορά	דווח
αναφορά	דוח
αναφορά	דיווח
αναφορά	התייחסות
ποδοσφαιριστής	כדורגלן
δράση	פעולה
δράση	עשייה
δράση	אקשן
λιγκ	הליגה
λιγκ	ליגה
απλά	פשוט
απλά	רק
γεγονότα	עובדות
γεγονότα	ארועים
γεγονότα	אירועים
σύντομο	קצר
σύντομο	קיצור
σύντομο	קצרה
σύντομο	קצר
σύντομο	תקציר
κράτος	מדינה
κράτος	המדינה
κωνσταντίνος	קונסטנטין
στρατό	צבא
αγία	קדוש
αγία	הקדוש
αγία	קדושה
αποτελέσματα	תוצאות
αποτελέσματα	התוצאות
ιστορικό	רקע
ιστορικό	הרקע
ιστορικό	היסטוריה
ιστορικό	ההיסטוריה
σπίτι	הביתה
σπίτι	הום
σπίτι	בבית
σπίτι	הבית
σπίτι	בית
σπίτι	home
σπίτι	הבית
σπίτι	האוס
σπίτι	בית
τμήματα	מחלקות
τμήματα	קטעים
τμήματα	פלחים
τμήματα	מחלקות
τμήματα	מחלקות
τμήματα	חלקים
λειτουργία	פונקציה
λειτουργία	מוד
λειτουργία	מצב
λειτουργία	מבצע
λειτουργία	המבצע
βιβλία	ספרים
κείμενο	טקסט
κείμενο	הטקסט
γραμμή	קו
γραμμή	שורה
σχέδιο	פרוייקט
σχέδιο	מיזם
σχέδιο	פרויקט
σχέδιο	הטיוטה
σχέδιο	גיוס
σχέδιο	טיוטה
σχέδιο	עיצוב
σχέδιο	תכנית
σχέδιο	תוכנית
γη	אדמה
γη	ארץ
γη	הארץ
γη	אדמה
γη	ארץ
γη	קרקע
χρήστες	משתמשים
εμφανίζεται	המוצג
εμφανίζεται	מוצגים
