آقایان	gentlemen
مجرای	saluran
اورتون	everton
سولفات	sulfat
ارس	juniperus
ارس	aras
نامنظم	irregular
قوت	kekuatan
مجالس	oper
مجالس	lulus
مجالس	pass
ابری	awan
ابری	awan
ابری	cloud
ابری	berawan
ابری	mendung
ابری	mendung
تایم	kali
تایم	waktu
تایم	waktunya
تایم	time
سومی	sepertiga
سومی	ketiga
کوپر	cooper
جانداران	fauna
جولی	julie
ساختگی	dummy
شارلوت	charlotte
اتوماتیک	automatic
اتوماتیک	otomatis
لوید	lloyd
لوید	llyod
گاندی	gandhi
ثانی	sani
ثانی	tsani
ثانی	thani
گریه	menangis
گریه	tangis
گریه	cry
گریه	menangislah
گریه	menangis
ذات	kemegahan
واگن	wagon
واگن	gerobak
لئونارد	leonard
راد	radikal
راد	rad
راد	rod
هفتگی	mingguan
هفتگی	weekly
مستمر	berkelanjutan
مستمر	kontinu
مستمر	penjajahan
مارسی	marseille
مارسی	marcy
مارسی	marci
مارسی	marseille
درامز	genderang
درامز	drum
درامز	gendang
مرتکب	commit
مرتکب	berkomitmen
مرتکب	komit
تدریجی	berangsur
تدریجی	bertahap
مستندات	dokumentasi
رقابتی	bersaing
رقابتی	kompetitif
کسری	defisit
کسری	fraksional
نخ	benang
نخ	benang
نخ	thread
نخ	utas
میلیمتر	milimeter
شاعری	penyair
شاعری	pujangga
مرادی	moradi
سیارات	planet
روشنفکران	intelektual
غلات	sereal
پاسکال	pascal
مقدونی	makedonia
ترغیب	bujukan
ترغیب	persuasif
عطر	parfum
هجده	eighteen
آندری	andrei
آندری	andrey
آندری	andrei
عنکبوت	laba
عنکبوت	spider
قیاس	monumental
قیاس	analogi
بازیافت	recycle
بازیافت	recycle
موس	moose
موس	rusa
مؤسسات	institusi
مؤسسات	lembaga
دیگو	diego
کریستینا	christina
کریستینا	cristina
آران	aran
تجربیات	pengalaman
ریاضیدان	matematikawan
خونین	berdarah
خونین	bloody
کافه	minang
کافه	kafe
کافه	cafe
کافه	café
کافه	kafe
کافه	cafe
کافه	café
لیل	lil
لیل	lille
سعیدی	saidi
دستان	dastan
دستان	hands
دستان	tangan
فروشی	shop
فروشی	ruko
فروشی	toko
فروشی	belanja
فروشی	berbelanja
دریک	drake
مراسمی	upacara
نصرت	nusrat
گشتی	patroli
گشتی	patrol
گشتی	berpatroli
مرجان	karang
مرجان	coral
مرجان	koral
مرجان	marjan
مرجان	marjan
پلاسما	plasma
سقراط	socrates
بوتان	bhutan
تعمیم	generalized
تعمیم	generalisasi
باردار	hamil
مالیاتی	pajak
مالیاتی	tax
مالیاتی	pajak
تداوم	kegigihan
تداوم	keuletan
تداوم	ketekunan
سینت	sint
آریا	aria
آریا	arya
گزیده	digigit
گزیده	selektif
بره	arietis
بره	aries
دیوارها	tembok
دیوارها	dinding
افراطی	ekstrimis
افراطی	ekstremis
افراطی	ekstrem
افراطی	ekstrim
افراطی	extreme
آژاکس	ajax
فرشتگان	malaikat
فرشتگان	angels
جیوه	mercury
جیوه	merkuri
جیوه	merkurius
جیوه	raksa
فاضلاب	selokan
فاضلاب	limbah
فاضلاب	selokan
فاضلاب	gorong
وادی	wadi
لیاقت	merit
جودی	judy
مند	mand
حفر	menggali
حفر	dig
حفر	gali
حفر	menggali
شعله	nyala
شعله	flame
شعله	api
کوچولو	little
کوچولو	kecil
کوچولو	sedikit
کوچولو	beraktifitas
تلفیق	merger
تلفیق	mencampurkan
تلفیق	mencampur
تلفیق	pencampuran
فک	rahang
زعفران	saffron
زعفران	kunyit
زعفران	crocus
تعاریف	definisi
دامن	rok
دامن	skirt
دامن	rok
گیلمور	gilmour
گیلمور	gilmore
مفصلی	arthritis
گیتاریست	gitaris
گوینده	pembicara
حرام	terlarang
حرام	dilarang
حرام	terlarang
حرام	dilarang
محراب	altar
محراب	mezbah
محراب	sanctuary
اقیانوسی	oceanic
اقیانوسی	samudera
اقیانوسی	samudra
اقیانوسی	lautan
اقیانوسی	laut
اقیانوسی	ocean
گیتی	universe
گیتی	semesta
گیتی	kosmos
گیتی	cosmos
رید	reid
عموی	paman
جودو	judo
پژو	peugeot
رجایی	rajai
مسائلی	masalah
بالاتری	tinggi
تامیل	tamil
نوسنگی	neolitik
کورت	curt
کورت	kurt
لاریجانی	larijani
خطبه	khotbah
خطبه	khutbah
خطبه	kotbah
نزاع	sengketa
نزاع	persengketaan
نزاع	perselisihan
نزاع	perselisihan
نزاع	konflik
نزاع	bertengkar
نزاع	pertengkaran
داروین	darwin
غواصی	diving
غواصی	selam
غواصی	menyelam
غواصی	dive
غواصی	menyelam
بلوط	chestnut
بلوط	biji
بلوط	chestnut
بلوط	kacangnya
بلوط	balut
بلوط	oak
بلوط	ek
دستورات	perintah
دستورات	pesanan
تقارن	simetri
اسراییل	israel
اشباع	kejenuhan
اشباع	saturasi
اشباع	jenuh
کوئین	quinn
پلاتین	platinum
پشتیبان	dukungan
پشتیبان	dukung
پشتیبان	support
پشتیبان	mendukung
پشتیبان	cadangan
پشتیبان	backup
اسکندریه	aleksandria
اسکندریه	alexandria
مرکوری	mercury
مرکوری	merkuri
مرکوری	merkurius
مرکوری	raksa
پخت	masak
پخت	masakan
پخت	memasak
پخت	cooking
موری	maury
موری	murray
تضعیف	redaman
تضعیف	melemah
خزانه	perbendaharaan
شهروندی	kewarganegaraan
شهروندی	warga
شهروندی	citizen
فین	finn
زانو	lutut
زانو	lutut
آرنا	arena
آرنا	gelanggang
فلش	flash
ورنر	werner
تنبیه	dihukum
تنبیه	hukuman
تنبیه	azab
تنبیه	berjamaah
اشتباهات	kesalahan
ویدئوی	vidio
ویدئوی	video
تقلب	cheat
تقلب	curang
تقلب	selingkuh
تقلب	kecurangan
تقلب	penipuan
نشینی	retret
نشینی	mundur
موزامبیک	mozambik
ایرویز	airways
مغان	magi
حقایق	fakta
رواندا	rwanda
تامسون	thompson
تامسون	dupont
تامسون	thomson
مانکن	supermodel
مانکن	manekin
مانکن	mannequin
پاور	tenaga
پاور	kekuasaan
پاور	kekuatan
پاور	power
پاور	daya
پاور	bertenaga
پاور	powered
جنجال	bermunculan
جنجال	kontroversi
تبت	tibetan
تبت	tibet
تبت	tibet
پوش	selubung
میتسوبیشی	mitsubishi
نورد	nord
اهلی	dijinakkan
اهلی	prt
اهلی	domestik
تیرداد	tiridates
خاکستر	asy
خاکستر	ash
خاکستر	abu
اساطیری	avatar
میانجی	penengah
میانجی	mediator
میانجی	mediasi
میانجی	perantara
میانجی	menengah
استریت	jalanan
استریت	street
تکاملی	evolusioner
گوجه	tomat
زرهی	panzer
قندهار	kandahar
خروس	kokang
خروس	rooster
کاریکاتور	karikatur
توت	tut
اطاعت	taat
اطاعت	patuh
اطاعت	taati
اطاعت	patuhi
سلیمانی	slimani
نمادین	simbolik
نمادین	simbolis
آگهی	iklan
آگهی	periklanan
آگهی	mengiklankan
آگهی	iklan
آگهی	beriklan
واکسن	vaksin
واکسن	vaksin
منفرد	manfred
نیجر	niger
تامی	tommy
وارن	warren
سیلندر	silinder
سیلندر	cylinder
رستاخیز	kiamat
رستاخیز	kebangkitan
حشره	serangga
بیوگرافی	biografi
امانوئل	emanuel
امانوئل	emanuele
امانوئل	emmanuel
امانوئل	emmanuelle
جبری	aljabar
شورشی	rebel
شورشی	pemberontak
شورشی	pemberontak
شکوفایی	bloom
شکوفایی	mekar
منطبق	identik
عهدنامه	perjanjian
عهدنامه	traktat
اقتصاددان	ekonom
کنش	tindakan
کنش	aksi
کنش	tindakan
کنش	aksi
پاهای	feet
پاهای	kaki
آرون	harun
آرون	aaron
تنظیمات	penyesuaian
تنظیمات	preferensi
تنظیمات	setingan
تنظیمات	pengaturan
آمیخته	campuran
آمیخته	mixtures
گیلانی	gilani
لیسبون	lisbon
دانیال	daniel
خوانی	resital
حماس	hamas
دوز	dosis
دوز	dosisnya
دوز	dosis
دوز	dosisnya
فرانکو	franco
تحقیقی	beasiswa
فمینیسم	feminisme
حلب	aleppo
سکولار	sekuler
زراعی	agraria
تأخیر	delay
تأخیر	penundaan
تأخیر	keterlambatan
تأخیر	menunda
تأخیر	tunda
تأخیر	menunda
آشوب	keributan
آشوب	kekacauan
آشوب	chaos
پارکر	parker
بالقوه	potensi
بالقوه	potensial
بالقوه	berpotensi
نخاعی	spinal
ادموند	edmund
غلامعلی	gholam
زینتی	dekoratif
زینتی	hias
زینتی	hiasan
زینتی	ornamen
سقط	keguguran
سقط	aborsi
تاتنهام	tottenham
دیزل	diesel
محفل	coven
محفل	assembly
محفل	perakitan
محفل	majelis
ناسیونال	nationale
ناسیونال	nacional
تماشای	nonton
تماشای	menonton
تماشای	watching
دوبلین	dublin
الکترونی	elektron
یاهو	yahoo
درآمدی	pendapatan
درآمدی	penghasilan
درآمدی	pemasukan
درآمدی	income
قطره	drop
قطره	jatuhkan
قطره	tetesan
قطره	tetes
باطل	batil
باطل	bathil
باطل	kebatilan
باطل	batil
باطل	palsu
باطل	false
باطل	salah
باطل	void
باطل	kehampaan
باطل	kesombongan
باطل	vanity
نیرومند	ampuh
نیرومند	kuat
خداحافظی	goodbye
آنالوگ	analog
جونگ	jong
جونگ	jeong
جونگ	jeong
جونگ	jung
رون	ron
اصابت	impact
اصابت	berdampak
اصابت	dampak
اصابت	benturan
عاطفی	emosional
عاطفی	emosi
دوندگان	pembalap
دوندگان	pelari
اسکن	memindai
اسکن	pindai
مایعات	cairan
وات	watt
عدسی	lensa
عدسی	lens
الجزیره	algiers
کریستیان	christian
کریستیان	kristiani
کریستیان	kristen
کریستیان	cristian
امارت	emirat
صدیق	siddique
صدیق	siddiq
مستطیل	segiempat
پورشه	porsche
سوگند	sumpah
کرنل	cornell
آشتیانی	ashtiani
کاج	kaj
کاج	pinus
کاج	pine
بایت	byte
بایت	bita
بایت	byte
بایت	bytes
بایت	bita
باروک	barok
تبخیر	rotary
تبخیر	penguapan
انقلابیون	revolusioner
کاتالونیا	catalunya
کاتالونیا	catalunya
برفی	salju
برفی	snow
برفی	snowy
مهربان	kind
مهربان	jenis
سوالات	pertanyaan
محافل	coven
رنگین	dicelup
راکی	rocky
نوسازی	pembaharuan
نوسازی	pembaruan
نوسازی	perpanjangan
نوسازی	renovasi
نوسازی	rehabilitasi
ریموند	raymond
شوک	kaget
شوک	terkejut
شوک	shock
شوک	mengejutkan
میخی	cuneiform
ابتکار	inisiatif
ابتکار	initiative
ابتکار	improvisasi
نمادی	simbolik
نمادی	simbolis
ورد	spell
ورد	mantra
ورد	eja
ورد	verde
زدایی	deregulasi
امیلی	emily
بور	bur
بور	bor
بور	bohr
بور	burr
بور	boron
اسپورت	sport
اسپورت	olahraga
اسپورت	olahraga
اسپورت	sports
آرت	seni
آرت	art
آرت	kesenian
موانع	hambatan
موانع	rintangan
تاخیر	delay
تاخیر	penundaan
تاخیر	keterlambatan
تاخیر	menunda
تاخیر	tunda
کولی	gipsi
کولی	gypsy
ناتوانی	ketidakmampuan
ناتوانی	cacat
ناتوانی	disabilitas
ناتوانی	kecacatan
تاکسی	taxi
تاکسی	taksi
تاکسی	taksi
تاکسی	cab
کلیوی	renai
زشت	jelek
زشت	ugly
فرید	farid
ماهر	terampil
ماهر	maher
پایانه	terminal
توس	birch
مصادف	bertepatan
عجایب	keajaiban
تعدیل	penyesuaian
زراعت	tanaman
زراعت	tanam
زراعت	bertani
زراعت	peternakan
زراعت	pertanian
واجب	wajib
واجب	diperlukan
واجب	perlu
راستش	sebenarnya
راستش	actually
بدتر	buruk
لوی	lewi
لوی	levi
لوی	loy
لوی	levy
سبزیجات	sayuran
سبزیجات	nabati
سبزیجات	sayur
سبزیجات	sayuran
سبزیجات	sayur
کارخانجات	pabrik
مازیار	maz
داس	sabit
داس	sabit
داس	das
هموار	lancar
هموار	smooth
هموار	kelancaran
هموار	halus
هموار	mulus
قرائت	bacaannya
قرائت	pembacaan
قرائت	bacaan
قرائت	membaca
قرائت	reading
نیا	nia
آناتومی	anatomi
سوق	menggiring
سوق	kandar
سوق	mengemudi
سوق	drive
هیلز	bukit
هیلز	hills
هیلز	perbukitan
وفاداری	loyalitas
وفاداری	kesetiaan
بارانی	shower
بارانی	pancuran
بارانی	mandi
بارانی	hujan
بارانی	rain
بارانی	rajang
بیچ	beech
بیچ	beach
بیچ	pantai
کیفری	pidana
کیفری	kriminal
کیفری	criminal
کیفری	penjahat
آرزو	wish
آرزو	berharap
آرزو	berharap
تصمیمات	keputusan
دانشگاهیان	akademisi
دانشگاهیان	academia
دانشگاهیان	akademisi
ضرر	kerugian
جنون	demensia
جنون	madness
جنون	kegilaan
جنون	kegilaan
متقاعد	meyakinkan
متقاعد	diyakinkan
متقاعد	yakinkan
متقاعد	meyakinkan
متقاعد	menyakinkan
متقاعد	meyakinkan
تایلر	tyler
عزت	kehormatan
عزت	kehormatan
عزت	honor
عزت	kemuliaan
عزت	glory
تمبر	stempel
تمبر	cap
تمبر	perangko
تمبر	perangko
تمبر	stempel
بلگراد	belgrade
معاملات	penawaran
معاملات	bertransaksi
معاملات	transaksi
یاقوت	safir
یاقوت	rubi
یاقوت	rubi
یاقوت	ruby
نوزده	nineteen
پرسی	percy
دستکاری	memanipulasi
دستکاری	manipulasi
معجزه	mujizat
معجزه	keajaiban
معجزه	mukjizat
معجزه	mukjizat
معجزه	miracle
معجزه	keajaiban
باهم	bareng
باهم	together
باهم	bersama
صالحی	salehi
خوردگی	korosi
لوکوموتیو	lokomotif
بدهی	utang
بدهی	hutang
بدهی	kewajiban
بدهی	utang
بدهی	hutang
بدهی	debit
یدالله	yadollah
کلیساها	gereja
پرستوی	menelan
پرستوی	swallow
پرستوی	telan
چادر	tenda
چادر	camping
چادر	berkemah
چادر	tenda
عمو	paman
نوسان	berosilasi
نوسان	osilasi
نوسان	ayunkan
نوسان	ayun
نوسان	ayunan
نوسان	swing
سرنشین	penumpang
سرنشین	crew
سرنشین	kru
زنجیر	rantai
ریوی	paru
اسپانیای	spanyol
ایزوتوپ	isotop
ایزوتوپ	isotop
ین	yen
دلالت	menyiratkan
دلالت	menandakan
دلالت	implikasi
نیزه	tombak
پارالمپیک	paralimpiade
مشهود	disaksikan
مشهود	menyaksikan
اسپنسر	spencer
طوطی	beo
طوطی	bayan
طوطی	beo
آپالاشیا	appalachia
لاتزیو	lazio
بلژیکی	belgia
اسکاندیناوی	skandinavia
اسکاندیناوی	skandinavia
بارو	barrow
کمینه	minimum
کمینه	minimal
کمینه	minimal
کمینه	minim
کاراته	karate
دستگاهی	perangkat
دستگاهی	peranti
کوپه	kompartemen
کوپه	coupé
کوپه	coupe
منازل	puri
سرما	cold
سرما	kedinginan
سرما	dingin
آموزگار	guru
شجاعت	keberanian
توران	turan
برهم	lonjakan
برهم	surge
پرستار	perawat
پرستار	nurse
پرستار	suster
مشکی	hitam
مشکی	black
بنگال	bengal
بنگال	benggala
الحاق	addendum
الحاق	aksesi
الحاق	tambah
الحاق	ditambahi
توریستی	wisatawan
توریستی	turis
ایان	ian
استیضاح	impeachment
جاوه	jaktim
جاوه	jawa
جاوه	java
متعهد	minuteman
متعهد	terikat
متعهد	diikat
متعهد	bound
متعهد	berkomitmen
بلیز	belize
مسمومیت	keracunan
مسمومیت	toksisitas
مجرد	tunggal
مجرد	bachelor
مجرد	bujangan
مجرد	sarjana
عروقی	vaskular
تحکیم	konsolidasi
سرگئی	sergei
درخشش	shine
درخشش	bersinar
درخشش	luminositas
درخشش	bercahaya
درخشش	glowing
درخشش	bersinar
درخشش	berkilauan
درخشش	glitter
درخشش	bersinar
درخشش	glow
اینترنشنال	internasional
اینترنشنال	international
اینترنشنال	mancanegara
دیترویت	detroit
فرعون	firaun
سهره	finch
هارون	harun
صمد	samad
شنوایی	pendengaran
جواهر	permata
جواهر	mustika
جواهر	jewel
جواهر	permata
جواهر	perhiasan
هیجان	keseruan
هیجان	kegembiraan
هیجان	sensasi
برانگیز	dorongan
پرتره	potret
پرتره	portrait
تومور	tumor
کپسول	capsule
کپسول	kapsul
بیسبال	baseball
بیسبال	bisbol
کروموزوم	kromosom
کروموزوم	kromosom
خستگی	kelelahan
خستگی	kebosanan
خستگی	kelelahan
بسامد	frekuensinya
بسامد	frekuensi
استعفای	pengunduran
چاپلین	chaplin
الکتریسیته	kelistrikan
الکتریسیته	listrik
پنجاب	punjab
غیرممکن	impossible
غیرممکن	mustahil
اشیا	obyek
اشیا	objek
اشیا	benda
مشت	tinju
مشت	coblos
مشت	punch
مشت	pukulan
مشت	kepalan
مشت	tinju
مشت	fist
ربع	triwulan
ربع	quarter
ربع	kuartal
ربع	seperempat
سهولت	kemudahan
کنسولگری	konsulat
جسیکا	jessica
مجنون	gila
مجنون	majnu
مجنون	mad
مجنون	marah
مجنون	gila
ویکیپدیای	wikipedia
بالکان	balkan
بالکان	balkan
باروری	kesuburan
باروری	melahirkannya
هوافضا	dirgantara
هوافضا	aerospace
عزاداری	meratapi
عزاداری	berduka
عزاداری	berkabung
عزاداری	duka
اضطراب	kecemasan
اضطراب	kegelisahan
شرلوک	sherlock
نسیم	angin
نسیم	breeze
نسیم	sepoi
نسیم	nasim
نسیم	naseem
اضطراری	darurat
اضطراری	emergency
ثور	thor
نزاکت	kesopanan
نزاکت	kepatutan
فروهر	esensi
فروهر	intisari
باکس	box
باکس	boks
باکس	kotak
اسکوشیا	scotia
میش	ewes
میش	ewe
تعصب	intoleransi
تعصب	prasangka
تعصب	dogma
تفنگداران	musketeers
تفنگداران	kesatuan
تفنگداران	corps
تفنگداران	korps
کرک	kirk
رحیمی	rahimi
درصدی	persentase
سنتز	sintesis
افغانی	afganistan
افغانی	afghanistan
افغانی	afganistan
افغانی	afghan
نیر	nir
اصولی	sistematis
وارده	berkelanjutan
سپید	white
سپید	putih
واسکو	vasco
هدر	heather
طبع	marah
نیکولا	nicola
نیکولا	nikola
دریچه	katup
دریچه	menetas
دریچه	palka
دریچه	hatch
احساسی	emosional
احساسی	emosi
انجیر	beringin
انجیر	ficus
انجیر	ara
انجیر	gbr
انجیر	anjir
ثالث	tersier
جوهر	toner
جوهر	tinta
جوهر	ink
پلاستیکی	plastic
پلاستیکی	plastik
پن	penn
پن	pan
تیموری	shahrukh
سس	saus
سس	kecap
تیغ	blade
مولر	müller
مولر	mueller
مولر	muller
مبدا	origin
مبدا	asal
رولز	rolls
رولز	gulungan
رولز	gulung
آرژانتینی	argentina
آرژانتینی	argentina
کیل	kale
کیل	kiel
وقفه	mengganggu
وقفه	menyela
وقفه	interupsi
وقفه	interupsi
وقفه	istirahatnya
وقفه	interupsi
گواهینامه	lisensi
گواهینامه	sim
گواهینامه	sertifikat
روال	rutin
روال	rutinitas
فراموشی	lupa
فراموشی	melupakan
آمینه	amino
زامبیا	zambia
تم	tam
تم	theme
تم	temanya
تم	tema
فاش	pengungkapan
فاش	mengungkapkan
فاش	ungkapkan
فاش	ungkap
فاش	pengungkapan
ویروسی	viral
ویروسی	virus
بابلی	babel
بابلی	babilon
بابلی	babilonia
صداهای	suara
صداهای	ips
سوسن	susan
رینگ	ring
رینگ	cincin
خطرات	risiko
هاردی	hardy
مخالفین	oposisi
گوزن	rusa
گوزن	moose
گوزن	rusa
گوزن	kijang
گوزن	rusa
گوزن	deer
نیومن	newman
نیومن	neumann
دورتموند	dortmund
الیاس	elijah
الیاس	elia
الیاس	ilyas
الیاس	elias
لیزری	laser
پاداش	bonus
پاداش	bonusnya
پاداش	imbalan
پاداش	reward
پاداش	reward
پاداش	hadiah
پاداش	imbalan
پاداش	pahala
پاداش	pahalanya
نفرین	kutuk
نفرین	kutukan
لمس	touch
لمس	sentuhan
لمس	sentuh
لمس	mengharukan
لمس	menyentuh
لمس	tersentuh
سوئیسی	swiss
سویا	kedelai
واگذاری	delegasi
کارن	karen
مهندسین	insinyur
قشر	korteks
قشر	cortex
طاووس	merak
طاووس	peacock
طاووس	merak
اسکلت	sasis
اسکلت	rangka
اسکلت	skeleton
اسکلت	kerangka
پدربزرگ	kakek
پدربزرگ	kakek
گروپ	group
گروپ	kelompokkan
گروپ	grup
گروپ	kelompok
انحصار	monopoli
منجمد	frozen
منجمد	beku
فواصل	interval
فلامینگو	flamingo
خدایی	god
خدایی	tuhan
خدایی	allah
سیار	mobile
سیار	seluler
سیار	ponsel
سیار	handphone
پادگان	base
پادگان	basis
پادگان	garrison
پادگان	garnisun
گرمایش	pemanas
گرمایش	memanaskan
گرمایش	pemanasan
خلاقیت	kreativitas
خلاقیت	kreatifitas
خلاقیت	kreatif
اسپورتینگ	sporting
امریکایی	american
امریکایی	amerika
بارون	baron
بارون	hujan
بارون	rain
بیکر	baker
بروسیا	borussia
گی	gay
مخرب	destruktif
مخرب	merusak
تهمت	fitnah
تهمت	penistaan
تهمت	fitnah
تهمت	fitnah
تهمت	memfitnah
تاسیسات	fasilitas
بلوچ	baloch
آبیلا	avila
مخازن	repositori
حسگر	sensor
مستعمره	koloni
بودا	buda
بودا	budha
بودا	buddha
حجازی	hijazi
مکاتب	komunikator
صاریغ	kuskus
صاریغ	possum
صاریغ	oposum
خودگردان	otonom
خودگردان	otonomi
محققین	peneliti
قسطنطنیه	konstantinopel
ایمن	aman
ایمن	brankas
ایمن	ayman
ایمن	amankan
ایمن	aman
ایمن	mengamankan
ایمن	secure
ایمن	eamon
جفرسون	jefferson
کاوشگر	probe
کاوشگر	lander
کاوشگر	pendarat
کاوشگر	penjelajah
کاوشگر	explorer
قطعاً	pasti
ویرانی	kehancuran
ویرانی	merusak
ویرانی	penghancuran
ویرانی	pengrusakan
ویرانی	kehancuran
غده	tumor
غده	kelenjar
بروک	brooke
بروک	brook
یزید	yazid
کاله	kalle
کاله	calais
مرمر	marmer
مرمر	marble
مرمر	kelereng
مقاصد	niat
مقاصد	destinasi
زیارتگاه	kuil
گراد	grad
گراد	pascasarjana
سنتور	centaur
انعقاد	koagulasi
توفیق	bantuan
رکن	pilar
رکن	tiang
پاسخگویی	jawab
پاسخگویی	jawaban
پاسخگویی	jawablah
پاسخگویی	menjawab
پاسخگویی	respon
پاسخگویی	tanggapan
پاسخگویی	respons
جنسیتی	gender
گیلبرت	gilbert
پدرو	pedro
تریلر	thriller
تریلر	trailer
چاک	chuck
خوک	babi
خوک	babi
خوک	pig
بازوی	lengan
بازوی	arm
بازوی	lengannya
دوازدهمین	twelfth
مدیاویکی	mediawiki
بیداری	terbangun
بیداری	awake
بیداری	terjaga
جامی	cangkir
جامی	gelas
جامی	piala
جامی	cawan
جامی	cangkir
جامی	cup
نیکون	nikon
بازتابی	flashbacks
فراهانی	farahani
آری	yea
آری	aye
تزئینات	hiasan
تزئینات	dekorasi
شوهرش	suamiku
شوهرش	suaminya
شوهرش	suami
شوهرش	husband
کالین	collin
کالین	colin
برونو	bruno
مارپیچی	spiral
باخ	bach
قذافی	gaddafi
مونتاژ	montase
گمنام	anonim
گمنام	ikang
گمنام	anonymous
ناراحتی	sedih
ناراحتی	sad
محبت	kebaikan
همخوانی	konsistensi
باک	buck
باک	kudaan
باک	bak
باک	bock
کارا	kara
کارا	cara
جنبشی	kinetik
وبا	kolera
جهانگردان	penjelajah
آستوریاس	asturias
تزئین	hiasan
تزئین	dekorasi
تزئین	hias
تزئین	menghias
پیشوند	awalan
پیشوند	prefiks
پیشوند	prefix
بیهوشی	anestesi
بیهوشی	bius
بیهوشی	pemadaman
شایان	cheyenne
نیایش	pemanggilan
نیایش	adorasi
نیایش	doa
انصراف	keluar
بیشه	rumpun
بیشه	belukar
کلامی	lisan
کلامی	verbal
کلامی	linguistik
تناقض	kontradiksi
تناقض	paradoks
تناقض	inkonsistensi
تناقض	kontradiksi
قضائیه	kehakiman
قضائیه	pengadilan
قضائیه	peradilan
تعطیلی	matikan
تعطیلی	shutdown
لیندا	linda
لیندا	lynda
قسم	bersumpahlah
قسم	bersumpah
قسم	sumpah
کمبوجیه	kambisus
آرم	lengan
آرم	arm
آرم	lengannya
دلاور	delaware
اتصالات	koneksi
اتصالات	etisalat
فراخوانی	callback
فراخوانی	menelepon
فراخوانی	calling
فراخوانی	memanggil
اسیدی	asam
اسیدی	acid
اسیدی	keasaman
بیکاری	pengangguran
فلفل	merica
فلفل	lada
هاپکینز	hopkins
مگس	lalat
کالاها	komoditi
کالاها	komoditas
کالاها	barangnya
کالاها	barang
لیبریا	liberia
لیبریا	liberia
محو	kabur
محو	blur
لای	lai
لای	lay
پنجشنبه	thu
پنجشنبه	kamis
بقای	survival
نامیبیا	namibia
سورینام	suriname
طرفه	sepihak
طرفه	sisi
طیفی	spektral
کمدین	pelawak
کمدین	comedian
کمدین	komedian
جن	jen
میکس	mix
میکس	campuran
میکس	campur
یوهانس	johannes
بذر	biji
بذر	benih
بذر	seed
بذر	bibit
بذر	biji
بذر	benih
بذر	bibit
عملگر	operator
تکن	tekken
فرصتی	peluang
فرصتی	kesempatan
اخطار	notifikasi
اخطار	pemberitahuan
اخطار	notification
اخطار	peringatan
اخطار	warning
بخارست	bucharest
