hopes	esperances
highlights	ressaltats
jumping	saltant
prof	prof
slovak	eslovac
skull	crani
ordained	ordenat
eventual	eventual
myth	mite
mandatory	obligatori
fees	honoraris
fees	taxes
bet	aposta
dancers	ballarines
dancers	ballarins
quantity	quantitat
inventor	inventor
cairo	cairo
cairo	caire
graves	tombes
proximity	proximitat
sue	sue
barrier	barrera
logan	logan
erik	erik
leicester	leicester
silence	silenci
jessica	jessica
plateau	altiplà
finite	finit
precedent	precedents
precedent	precedent
intensity	intensitat
murders	assassinats
paragraphs	apartats
paragraphs	paràgrafs
costume	disfressa
bike	bici
neighborhoods	barris
imprisonment	empresonament
suffolk	suffolk
remarkable	notable
remarkable	destacable
remarkable	remarcable
remarkable	remarcables
differ	difereixen
tin	tin
tin	llauna
garcia	garcia
garcia	garcía
madagascar	madagascar
cameras	càmeres
ammunition	municions
ammunition	munició
fires	incendis
explore	explorar
builder	constructor
minneapolis	minneapolis
bullet	bala
kerry	kerry
subway	metro
arrow	arrow
arrow	fletxa
economist	economista
bread	pa
lou	lou
strategies	estratègies
rubber	cautxú
rifles	rifles
cognitive	cognitiu
cognitive	cognitiva
governorate	governació
nest	niu
slam	slam
portsmouth	portsmouth
convince	convèncer
audiences	auditoris
bonds	bons
joshua	joshua
inhabited	habitat
casey	casey
attract	atraure
kilometres	quilòmetres
prey	presa
ain	ain
mathematician	matemàtic
diary	diari
vulnerable	vulnerables
vulnerable	vulnerable
dubai	dubai
michelle	michelle
lebanese	libanesos
productive	productives
productive	productius
productive	productiu
productive	productiva
guided	guiat
happening	passant
researcher	investigador
della	della
baden	baden
demonstration	demostració
demonstration	manifestació
equality	igualtat
philosophers	filòsofs
trap	trampa
trap	trap
clara	clara
invitation	invitació
marking	marcatge
expertise	peritatge
admission	admissió
certification	certificació
precisely	precisament
casting	fosa
casting	càsting
casting	casting
submarines	submarins
prohibited	prohibit
supposedly	suposadament
governance	governança
frog	granota
mhz	mhz
secular	laic
secular	laica
tracking	seguiment
tracking	rastrejant
spa	spa
cleared	liquidats
watts	watts
gibraltar	gibraltar
renewed	renovades
renewed	renovada
renewed	renovats
renewed	renovat
fever	febre
melody	melodia
melody	melody
supporter	defensora
supporter	partidari
elaborate	elaborades
elaborate	elaborada
jeffrey	jeffrey
surnames	cognoms
useless	inútil
swift	falciot
swift	swift
tuesday	dimarts
empress	emperadriu
capabilities	capacitats
newman	newman
scales	barems
scales	escales
scales	escates
scales	bàscula
beatles	beatles
clergy	clergues
clergy	clergat
jacksonville	jacksonville
sara	sara
bee	abella
bee	bee
baltic	bàltic
czechoslovakia	txecoslovàquia
brandon	brandon
loaded	carregat
loaded	carregats
maya	maya
evangelical	evangèlica
imo	imo
mature	madur
physically	físicament
sequences	seqüències
breast	mamella
beast	bèstia
raja	raja
für	für
educator	educadora
educator	educador
bang	bang
griffin	griffin
preparing	preparant
proportion	proporció
itv	itv
ana	ana
demon	dimoni
equations	equacions
answered	respost
answered	contestat
answered	contestada
ist	ist
perception	percepció
distributor	distribuïdor
entities	entitats
jackie	jackie
fiji	fiji
insufficient	insuficient
insufficient	insuficients
algebra	àlgebra
homer	homer
larvae	larves
limestone	calcària
johns	johns
chaos	caos
chang	chang
layers	capes
crater	cràter
chad	txad
seized	intervinguda
webster	webster
excess	excés
bombardment	bombardeig
hurling	hurling
ashley	ashley
dot	dot
gif	gif
translator	traductor
translator	traductora
cowboys	cowboys
hanging	penjats
soprano	soprano
interviewed	entrevistat
workshops	tallers
terrain	terreny
belarus	bielorússia
liked	agradat
console	consola
nascar	nascar
applying	aplicant
vandal	vandal
graduates	llicenciats
graduates	titulats
jungle	jungla
jungle	selva
ballot	papereta
placement	emplaçament
fairy	fada
tourists	turistes
reasonably	raonablement
performs	realitza
performs	efectua
quarterly	trimestrals
quarterly	trimestral
romans	romans
rpm	rpm
diploma	diplomat
diploma	diploma
circa	circa
environments	entorns
swan	cigne
swan	swan
carpenter	fuster
petition	petició
boris	boris
boris	borís
berry	berry
invention	invent
southampton	southampton
bend	doblegar
app	app
finalist	finalista
questioned	interrogat
explicit	explícita
explicit	explícit
draws	dibuixa
slight	lleuger
drag	arrossegament
drag	arrossega
maxwell	maxwell
planes	avions
oriental	oriental
manufacture	fabricació
coordinator	coordinador
coordinator	coordinadora
bombs	bombes
mohammad	mohammad
superman	superman
colombian	colombiana
philippe	philippe
felix	fèlix
greene	greene
voluntary	voluntària
floating	flotant
floating	surant
montenegro	montenegro
sketch	croquis
sketch	esbós
mann	mann
flooding	inundacions
escort	escorta
astronomy	astronomia
sudden	sobtada
variables	variables
arbitrary	arbitrària
arbitrary	arbitrari
skiing	esquí
timothy	timothy
cello	violoncel
rainfall	precipitacions
sphere	esfera
rewrite	reescriptura
georg	georg
cinematography	cinematografia
canvas	llenç
chest	pit
krishna	krishna
provider	proveïdor
frances	frances
crowned	coronat
crowned	coronada
carved	tallada
poles	polonesos
cabin	cabina
cabin	cabana
civilization	civilització
avoided	evitat
lisbon	lisboa
tongue	llengua
panels	plafons
panels	panells
darwin	darwin
cheese	formatge
rat	rata
papua	papua
insert	insereix
descriptions	descripcions
debates	debats
informal	informals
castles	castells
cry	ploren
cry	cry
cry	plorar
loyal	fidels
loyal	lleials
surfaces	superfícies
nicolas	nicolas
institutes	instituts
madonna	madonna
worcester	worcester
cooperative	cooperativa
substantially	substancialment
winston	winston
llc	llc
drake	drake
lunar	lunar
consulting	consulting
consulting	consultoria
tends	tendeix
patricia	patricia
ers	ers
garcía	garcía
quit	abandona
maple	maple
aberdeen	aberdeen
verb	verb
mechanisms	mecanismes
reds	rojos
reds	vermells
posters	cartells
posters	pòsters
leipzig	leipzig
roland	roland
expelled	expulsat
telecommunications	telecomunicacions
strait	estret
nationals	nacionals
unanimous	unànime
sherman	sherman
stefan	stefan
sleeping	dormint
alto	alto
crucial	crucial
thomson	thomson
directing	dirigir
prehistoric	prehistòriques
communicate	comuniqueu
alphabet	alfabet
zagreb	zagreb
chef	chef
chef	xef
tubes	tubs
carnegie	carnegie
hostile	hostil
prizes	premis
eighteen	divuit
shirt	camisa
loading	càrrega
loading	carregant
edges	vores
edges	arestes
plantation	plantació
vernon	vernon
practiced	practicat
practiced	practicada
practiced	practicades
wonderful	meravellós
missiles	míssils
guides	guies
finger	dit
garage	garatge
savage	salvatge
shoes	sabates
climbing	escalada
barrel	barril
biographies	biografies
spite	rancor
ham	pernil
ham	ham
hon	hon
geoffrey	geoffrey
valve	vàlvula
commenting	comentant
osaka	osaka
beck	beck
analog	anàleg
analog	analògic
monkey	mico
monkey	cercopitec
tackle	placar
listening	escoltant
integrity	integritat
definitions	definicions
critically	críticament
operas	òperes
baldwin	balduí
troop	tropa
objections	objeccions
marina	marina
detection	detecció
sixty	seixanta
differential	diferencial
venus	venus
salmon	salmó
monarchy	monarquia
stade	stade
francesco	francesco
abortion	avortament
monica	mònica
monica	monica
elephant	elefant
polar	polar
ton	tona
provisional	provisional
provisional	provisionals
counting	comptant
trucks	camions
airborne	aerotransportada
deutsche	deutsche
absorbed	absorbit
absorbed	absorbida
tension	tensió
pablo	pablo
aviv	aviv
cleaning	neteja
judgement	fallada
physicist	físic
catalina	catalina
disasters	catàstrofes
disasters	desastres
lesbian	lesbiana
rays	raigs
withdrawal	retirada
walks	passeigs
walks	caminades
trailer	remolc
trailer	tràiler
janet	janet
tornado	tornado
aunt	tieta
aunt	tia
distribute	distribueix
genesis	gènesi
genesis	genesis
shallow	superficial
mentioning	mencionant
floors	sòls
floors	pisos
violate	violen
scattered	dispersos
boyfriend	xicot
boyfriend	nòvio
boyfriend	nuvi
consolidated	consolidat
catholicism	catolicisme
luther	luther
pleasure	plaer
constructive	constructiu
constructive	constructives
webb	webb
alberto	alberto
magical	màgic
deliberately	deliberadament
sacrifice	sacrifici
faction	facció
corridor	corredor
compatible	compatible
compatible	compatibles
receptor	receptor
molecules	molècules
kiev	kíev
castro	castro
preceded	precedit
wei	wei
pleasant	pleasant
pleasant	plaent
miscellaneous	divers
lineup	alineació
ultra	ultra
bulletin	butlletí
clinic	clínica
clinic	clinic
itunes	itunes
patriots	patriotes
pollution	contaminació
treasurer	tresorera
treasurer	tresorer
herman	herman
questionable	qüestionables
sally	sally
rex	rex
stuck	enganxat
proceeded	procedit
openly	obertament
afghan	afganesa
vatican	vaticà
folklore	folklore
affiliation	afiliació
princes	prínceps
princes	princes
silk	seda
agreements	acords
trilogy	trilogia
armour	armadura
eng	eng
stamps	segells
specimens	espècimens
consumers	consumidors
defines	defineix
cage	gàbia
vicinity	rodalies
ferguson	ferguson
correspondence	correspondència
tehran	teheran
cheshire	cheshire
pageant	certamen
amanda	amanda
pos	pos
bye	adéu
employer	empresari
static	estàtic
static	estàtica
tibetan	tibetà
nixon	nixon
sociology	sociologia
recreational	recreatius
recreational	recreatiu
addressing	abordar
panthers	panthers
objection	objecció
systematic	sistemàtica
chocolate	xocolata
helsinki	hèlsinki
helsinki	helsinki
bedford	bedford
cambodia	cambodja
grandmother	àvia
rounded	arrodonida
fitness	fitness
halls	salons
halls	sales
midlands	midlands
jung	jung
brilliant	brillant
libya	líbia
transported	transportat
transported	transportats
angela	àngela
angela	angela
creature	criatura
gather	reunir
volcanic	volcànic
android	android
filmography	filmografia
deposits	dipòsits
mentor	mentor
freeman	freeman
apartments	apartaments
puppet	titella
carey	carey
meyer	meyer
gameplay	jugabilitat
topped	rematats
lima	lima
kirk	kirk
batteries	bateries
batteries	piles
chains	cadenes
ucla	ucla
wong	wong
ear	oïda
ear	orella
servants	servents
combine	combinar
decent	decent
cubs	cadells
deputies	diputats
hawk	hawk
contestant	concursant
cumberland	cumberland
rational	racional
rational	racionals
altar	altar
ufc	ufc
organize	organitzen
organize	organitzi
organize	organitzar
subjective	subjectiu
determination	determinació
chennai	chennai
dong	dong
threshold	llindar
myanmar	birmània
myanmar	myanmar
proud	orgullosa
proud	orgullós
proud	orgullosos
custody	custodia
custody	custòdia
surveillance	vigilància
threatening	amenaçant
discharge	abocament
penny	penny
penny	cèntim
kannada	kanara
astronomical	astronòmic
rector	rector
petroleum	petroleum
petroleum	petroli
bug	bug
proceed	procedeixi
chapman	chapman
decree	decret
honey	mel
diagram	diagrama
infringement	infracció
complexity	complexitat
riley	riley
displacement	desplaçaments
displacement	desplaçament
sponsor	patrocinador
sponsor	padrí
ira	ira
careers	carreres
careers	curses
haiti	haití
wisdom	saviesa
pierce	pierce
stupid	estúpid
alma	alma
alexandra	alexandra
continuously	ininterrompudament
shuttle	llançadora
hampton	hampton
eva	eva
mickey	mickey
atlético	atlético
yuan	yuan
lynch	lynch
johannes	johannes
destroying	destruint
trunk	tronc
proclaimed	proclamat
proclaimed	proclamada
proclaimed	proclamades
proclaimed	proclamats
genuine	genuí
adolf	adolf
sharon	sharon
acquire	adquirir
corrected	corregit
gardner	gardner
artifacts	artefactes
handful	grapat
mandate	mandat
dish	plat
terrible	terrible
terrible	terribles
reagan	reagan
rebecca	rebecca
indefinitely	indefinidament
recommendations	recomanacions
gymnastics	gimnàstica
alter	alterar
alter	alter
ideology	ideologia
carriers	portadors
carriers	transportistes
constantinople	constantinoble
modeling	modelatge
monsters	monstres
notified	notificat
notified	notificada
bulls	braus
bulls	toros
bulls	bous
censorship	censura
favorable	favorable
commercially	comercialment
inserted	inserida
luxury	luxe
yahoo	yahoo
ecology	ecologia
reviewers	revisors
emirates	emirats
emirates	emirates
neutrality	neutralitat
chronicles	cròniques
deployment	desplegament
jenkins	jenkins
detected	detectats
detected	detectat
attribution	atribució
bundesliga	bundesliga
overcome	superar
facilitate	facilitarà
facilitate	facilitar
hermann	hermann
morton	morton
conceived	concebut
conceived	concep
conceived	concebuda
accredited	acreditats
accredited	acreditades
echo	eco
echo	ressó
echo	echo
bangkok	bangkok
bergen	bergen
hawks	hawks
availability	disponibilitat
organizing	organitzant
lung	pulmó
andreas	andreas
bankruptcy	fallida
basement	soterrani
spirits	esperits
torture	tortura
toyota	toyota
wheat	blat
examined	examinats
examined	examinada
examined	examinat
membrane	membrana
knockout	eliminatori
coleman	coleman
homeland	pàtria
maiden	donzella
dhaka	dhaka
christine	christine
curious	curiós
curious	curiosa
tucker	tucker
evolutionary	evolutiva
evolutionary	evolutiu
responsibilities	responsabilitats
communists	comunistes
pavilion	pavelló
fantastic	fantàstic
fantastic	fantàstica
ceremonies	cerimònies
augustus	august
augustus	augustus
loans	préstecs
joey	joey
corporations	corporacions
tagging	etiquetatge
moss	molsa
moss	moss
parody	paròdia
yield	rendibilitat
yield	rendiment
sizes	talles
sizes	mides
armored	blindat
armored	blindada
armored	blindades
neighbourhood	veïnat
cheap	barat
stuttgart	stuttgart
dialects	là
forbidden	prohibit
sanskrit	sànscrit
neill	neill
councillor	regidor
knife	ganivet
wade	wade
humanities	humanitats
premiership	premiership
gonzález	gonzález
yesterday	ahir
percy	percy
transform	transformada
transform	transformar
transform	transforma
vegetation	vegetació
tickets	bitllets
tickets	entrades
adopt	adoptar
braves	braves
plural	plural
filmmaker	cineasta
habitats	hàbitats
sicily	sicília
justified	justificat
justified	justificats
justified	justificada
justified	justificades
speeds	velocitats
zip	zip
updates	actualitzacions
replied	respost
restriction	restricció
lin	lin
measurements	mesuraments
uttar	uttar
courthouse	jutjat
tide	marea
laps	voltes
dynamo	dinamo
predicted	prediu
poker	poker
poker	pòquer
promising	prometedor
kane	kane
trevor	trevor
reprinted	reprinted
attractive	atractiva
sidney	sidney
holidays	festes
holidays	festius
holidays	vacances
initiatives	iniciatives
comfortable	calaixera
comfortable	còmodes
fletcher	fletcher
airways	airways
floyd	floyd
snail	cargol
genocide	genocidi
saga	saga
scots	escocès
kingdoms	regnes
fossils	fòssils
buying	comprant
commissioners	comissaris
smoking	fumar
smoking	fumant
subdivision	subdivisió
leather	cuir
def	def
patch	pegat
patch	pedaç
patch	patch
porto	porto
valencia	valencia
valencia	valència
subfamily	subfamília
tracy	tracy
downloaded	descarregat
downloaded	descarregada
downloaded	baixat
breakfast	esmorzar
subspecies	subespècie
andhra	andhra
mercy	pietat
mercy	misericòrdia
peaks	cims
peaks	pics
ore	mineral
lone	lone
bottle	ampolla
tunisia	tunísia
angola	angola
humanitarian	humanitària
humanitarian	humanitari
decorations	decoracions
slide	diapositiva
slide	llisca
invalid	invàlid
generating	generant
trapped	atrapats
rao	rao
guru	guru
telescope	telescopi
dense	dens
dense	densa
satisfied	satisfet
satisfied	satisfets
coral	coral
coral	corall
xavier	xavier
obituary	esquela
helena	helena
anatomy	anatomia
binary	binària
binary	binari
controlling	controlant
controlling	controlar
wound	ferida
dixon	dixon
kuwait	kuwait
ridiculous	ridícul
suffer	patir
nsw	nsw
caves	coves
regent	regent
riverside	riverside
shane	shane
balanced	equilibrat
balanced	equilibrada
fitzgerald	fitzgerald
highlight	ressalta
highlight	ressaltat
payments	pagaments
joyce	joyce
belle	belle
lifted	aixecades
lifted	aixecat
davidson	davidson
decorative	decoratius
decorative	decorativa
decorative	decoratiu
rouge	rouge
rockets	coets
slope	desnivell
slope	talussos
manning	manning
boyd	boyd
organisms	organismes
paraguay	paraguai
preview	previsualitza
preview	previsualització
dodgers	dodgers
qatar	qatar
import	importació
buddy	buddy
iucn	uicn
dock	moll
clare	clare
penguin	pingüí
exceptional	excepcionals
exceptional	excepcional
shed	cobert
cologne	colònia
providers	proveïdors
beings	éssers
norwich	norwich
anthem	himne
supervision	supervisió
ming	ming
lease	arrendament
yours	teva
yours	teu
cecil	cecil
toys	joguines
conrad	conrad
buck	buck
hang	penjar
portable	portable
dell	dell
irving	irving
bells	campanes
tibet	tibet
councillors	regidors
salary	salari
salary	sou
enhance	potenciar
staying	quedant
fragments	fragments
caesar	cèsar
tragedy	tragèdia
unesco	unesco
investigated	investigat
cameroon	camerun
carson	carson
slot	ranura
rams	rams
icelandic	islandès
sophie	sophie
granite	granit
jenny	jenny
deciding	decidint
comparative	comparatiu
apostolic	apostòlica
pirate	pirata
paralympic	paralímpics
paralympic	paralímpic
slovenian	eslovè
delegation	delegació
combining	combinant
machinery	maquinària
miners	miners
embedded	incrustat
embedded	encastat
gandhi	gandhi
testimony	testimoni
duchess	duquessa
reflection	reflexió
middlesex	middlesex
carr	carr
booth	booth
booth	caseta
rudolf	rudolf
courage	coratge
courage	valentia
midland	midland
riots	motí
develops	desenvolupa
pier	pier
pier	moll
isles	illes
formatting	formatat
formatting	formatació
auction	subhasta
auction	llotja
cbc	cbc
specifications	especificacions
acclaim	acclaim
secrets	secrets
crest	cresta
crest	rasant
sutton	sutton
decreased	disminuït
ups	altes
repairs	reparacions
prominence	protagonisme
slopes	talussos
phantom	phantom
hartford	hartford
alps	alps
liner	liner
ease	facilitat
cet	cet
investments	inversions
auburn	auburn
flame	flama
exeter	exeter
exeter	almacelles
din	din
kay	kay
rent	lloguer
rent	renda
highlands	highlands
induced	induït
verses	versos
crane	grua
simulation	simulació
schemes	esquemes
latitude	latitud
lance	lance
networking	networking
keeper	guardià
fixing	fixació
fixing	arreglant
merits	mèrits
prejudice	prejudici
gloria	glòria
gloria	gloria
trent	trent
choosing	escollint
choosing	triant
horizon	horitzó
yemen	iemen
riot	aldarull
riot	revolta
arose	sorgiren
quinn	quinn
excluded	exclosos
excluded	exclòs
elena	elena
successive	successius
successive	successives
anger	colera
hierarchy	jerarquia
decoration	decoració
nerve	nervi
disability	discapacitat
disability	invalidesa
giuseppe	giuseppe
boot	bota
boot	arrencada
exceed	excedeixen
scan	exploració
scan	escaneig
rca	rca
pioneers	pioners
canberra	canberra
coupled	acoblat
newark	newark
flowing	abocat
fungi	fongs
sensors	sensors
sensors	captadors
shells	projectils
shells	closques
honduras	hondures
resides	resideix
reservation	reserva
pbs	pbs
mapping	mapatge
mapping	mapping
mongolia	mongòlia
nash	nash
sharks	taurons
shirley	shirley
exercises	exercicis
mild	lleus
mild	lleu
vikings	víkings
vikings	vikings
peers	parells
correspondent	corresponsal
renovated	repassat
reproduction	reproducció
sings	canta
mercedes	mercedes
compliance	acompliment
compliance	compliment
bombay	bombay
bombay	bombai
jointly	conjuntament
barack	barack
hawaiian	hawaià
poly	poli
rené	rené
imported	importat
imported	importada
transactions	transaccions
statute	estatut
congressman	congressista
jerome	jerome
shark	tauró
doom	doom
raids	raids
diagnosis	diagnosi
diagnosis	diagnòstic
referencing	referenciació
stoke	stoke
bride	núvia
prolific	prolífic
selective	selectius
selective	selectiu
selective	selectiva
criminals	criminals
lindsay	lindsay
automotive	automoció
vacuum	buit
heating	calefacció
lengths	longituds
johan	johan
inactive	inactiva
advances	avançaments
valued	valorats
valued	valorat
celebrities	famosos
meta	meta
estadio	estadi
rehabilitation	rehabilitació
synonym	sinònim
ambiguous	ambigua
ambiguous	ambigu
leone	leone
sailor	mariner
racism	racisme
negro	negro
tears	llàgrimes
inspection	inspecció
ancestors	avantpassats
honda	honda
controller	controlador
abbreviated	abreujat
abbreviated	abreujades
singular	singular
vacant	vacant
encounters	trobades
fruits	fruites
fruits	fruits
ruby	rubí
ruby	ruby
lunch	dinar
nationalism	nacionalisme
photographers	fotògrafs
mick	mick
classroom	aula
delegate	delegat
clyde	clyde
forums	fòrums
cups	cups
cups	tasses
challenger	challenger
challenger	aspirant
recommendation	recomanació
