流派	escoles
掘削	excavació
掘削	perforació
ボリビア	bolivià
ボリビア	bolívia
棄却	acomiadament
幼虫	larves
悪夢	malsons
悪夢	malson
桜田	sakurada
演目	programes
標準化	normalització
標準化	estandardització
チェルシー	chelsea
カタール	qatar
解読	desxifrar
解読	descodificació
ゲイリー	gary
やまと	yamato
出血	sagnat
タンゴ	tango
濡れ	mullar
濡れ	humida
濡れ	mullat
ロンド	rondo
キックボクシング	kickboxing
台北市	taipei
諮問	consulta
火事	incendi
火事	foc
小早川	kobayakawa
正夫	masao
ジュリエット	julieta
ジュリエット	juliet
マクラーレン	mclaren
オアシス	oasi
オアシス	oasis
赤道	equador
クウェート	kuwait
疲労	esgotador
疲労	fatiga
疲労	cansament
疲労	esgotament
疲労	exhauriment
平壌	pyongyang
国々	països
ディー	dee
タコ	polp
内訳	desglossament
内訳	avaries
ジャイアント	gegant
バディ	buddy
出願	aplicació
ウォーレン	warren
銃弾	bala
妥協	avinença
ピストン	piston
鉄拳	tekken
雅美	masami
グラミー	grammy
抗体	immunoglobulina
抗体	anticòs
風船	globus
風船	globus
おばさん	tieta
リターン	retornar
リターン	retorn
リターン	devolució
ユーラシア	eurasian
安定性	estabilitat
コメディアン	humorista
フェリックス	fèlix
エレクトロニクス	electrònica
スリ	carteristes
パトロール	patrulla
クレーター	cràters
クレーター	cràter
キャピタル	capital
チャット	xat
糖尿病	diabetis
ディズニーランド	disneyland
エルフ	elf
エルフ	elfs
バーガー	burger
バーガー	hamburguesa
カリウム	potassi
サバイバル	supervivència
根室	nemuro
シックス	sis
シックス	six
蛍光	fluorescents
蛍光	fluorescència
可愛い	guapa
スピリット	esperit
グアム	guam
民兵	milícia
側室	concubines
ルター	luther
共鳴	ressonància
ジュリアン	julian
ジュリアン	julián
ジュリアン	julià
チャーチル	churchill
ロフト	altell
まゆみ	mayumi
湯川	yukawa
シャム	farsa
帰属	atribució
モモ	préssecs
モモ	momo
モモ	presseguer
モモ	préssec
コンボ	combo
デンバー	denver
感度	sensibilitat
正午	migdia
ハント	hunt
ドレスデン	dresden
欠席	absent
欠席	absència
口座	compte
批准	ratificació
説教	sermons
説教	predicant
説教	sermó
説教	predicar
連想	associatives
連想	associativa
フルーツ	fruit
フルーツ	fruita
フルーツ	fruites
フルーツ	fruits
著しい	notable
著しい	destacable
著しい	remarcable
著しい	remarcables
カウンティ	comtat
カウンティ	comarques
チャネル	canals
チャネル	canal
淳子	junko
知子	tomoko
ウェスタン	western
スキャン	exploració
スキャン	escaneig
敬意	respect
敬意	respecte
オリエンタル	oriental
鋭い	sharp
鋭い	sostingut
お茶	tea
お茶	te
クローズ	tanca
ワープ	deformació
ダイナマイト	dinamita
コリンズ	collins
飲む	beguda
オークション	subhasta
オークション	llotja
オークション	subhastes
ポータブル	portable
モンロー	monroe
産卵	spawning
芥川	akutagawa
トラップ	trampa
トラップ	trap
トラップ	trampes
同値	equivalència
ローテーション	rotació
プリズム	prisma
フェアリー	fada
フェアリー	fairey
ポット	olla
マッカーサー	macarthur
ハチ	vespa
ハチ	abelles
ハチ	vespes
ミッチェル	mitchell
カルト	culte
カルト	secta
消える	desapareixent
消える	desaparèixer
テンション	tensió
個別に	individualment
ジャスト	només
フォーカス	focus
ナムコ	namco
分化	derivació
分化	diferenciació
ウエスタン	western
ラトビア	letònia
ラトビア	letó
酢酸	acetat
スタンプ	segell
スタンプ	adhesius
スタンプ	adhesiu
激戦	ferotge
おいしい	boníssim
おいしい	deliciós
停滞	estacionària
臼井	usui
スリップ	relliscada
カブス	cadells
照射	irradiació
照射	exposició
江藤	eto
アーカンソー	arkansas
パッド	acompanyament
板垣	itagaki
マナー	modals
バットマン	batman
タイル	rajola
タイル	fitxes
螺旋	helix
ホフマン	hoffmann
ホフマン	hoffman
ホフマン	hofmann
レジスタ	registre
ピュア	purs
ピュア	pura
ピュア	pur
フレイ	frey
フレイ	fray
ミッドフィールダー	centrecampista
野崎	nozaki
墨田	sumida
ブーツ	bota
ブーツ	arrencada
ブーツ	botes
出版物	publicació
ヒューズ	hughes
問い合わせ	consulta
連帯	solidaritat
ポーター	porter
帰宅	domicili
帰宅	llar
メイキング	fent
メイキング	making
エフェクト	efectes
エフェクト	efecte
野間	noma
デス	defunció
デス	mort
バター	mantega
教職員	facultat
結核	tuberculosi
ヨルダン	jordà
ヨルダン	jordània
恵那	ena
コバルト	cobalt
ソフトボール	softbol
アルビレックス	albirex
起業	empresari
起業	emprenedor
欠陥	defecte
コブラ	cobra
シスター	sister
シスター	germana
グリル	grill
グリル	graellada
脂肪	fat
脂肪	greix
回顧	retrospectiva
アーネスト	ernest
眠る	dorm
眠る	dormir
天台宗	tendai
アスレチック	athletic
彼氏	xicot
彼氏	nòvio
彼氏	nuvi
エミー	amy
迫害	persecució
迫害	perseguit
良一	ryoichi
左近	sakon
手数料	comissió
手数料	honoraris
手数料	taxes
バドミントン	bàdminton
ザック	zac
スクリプト	guions
スクリプト	scripting
スクリプト	scripts
スクリプト	script
スクリプト	guió
トライアングル	triangle
溶岩	lava
フィニッシュ	acabat
フィニッシュ	finalitza
異端	heretgia
真似	imitar
フン	hun
ハス	lotus
メグ	meg
ボールド	negreta
トッド	todd
入浴	banyar
ハング	penjar
流体	fluid
流体	fluids
ジュネーヴ	ginebra
ハーバート	herbert
秀行	hideyuki
未完成	incomplet
未完成	incompletes
未完成	incompleta
圭介	keisuke
オシ	prl
ブレーメン	bremen
宮澤	miyazawa
チューブ	tub
ヒゲ	barbes
林業	forestal
変装	disfressar
変装	disfressa
変装	disfressat
祐介	yusuke
シグナル	senyals
シグナル	senyal
オリーブ	olives
面接	entrevista
ダイエット	dieta
ダブリン	dublín
ダブリン	dublin
信念	fe
信念	creença
信念	creences
スチュアート	stuart
ワイヤー	filferro
ワイヤー	cable
ワイヤー	cables
アルブレヒト	albrecht
バレル	barril
サンティアゴ	santiago
雅人	masato
布袋	hotei
碑文	inscripcions
一樹	kazuki
いろは	iroha
ブルターニュ	bretanya
審判員	àrbitre
審判員	àrbitres
さゆり	sayuri
スレッド	conversa
スレッド	fils
スレッド	fil
スレッド	converses
正和	shōwa
ドラキュラ	dracula
ルネ	rené
ルネ	rene
桟橋	pier
桟橋	moll
亜鉛	zinc
グラハム	graham
正博	masahiro
デューク	duke
デューク	duc
語彙	vocabularis
語彙	vocabulari
コーディネーター	coordinador
コーディネーター	coordinadora
ソナー	sonar
大滝	otaki
充電	càrrec
充電	recàrrega
グラブ	agafa
バーミンガム	birmingham
マイヤー	meyer
リリー	lily
大工	fuster
大工	fusters
乗船	embarcar
停泊	amarratge
チャイ	chai
ワクチン	vacunes
ワクチン	vacuna
監獄	presó
監獄	presons
デラウェア	delaware
売る	vendre
夜叉	yasha
ペーター	peter
ペーター	pere
買い物	compres
買い物	shopping
既婚	casats
既婚	casat
陽性	positiu
陽性	positiva
陽性	positius
四十	quaranta
エコー	eco
エコー	ressó
エコー	echo
同調	conformitat
スイング	swing
クランク	manovella
コミュニティー	comunitat
施策	polítiques
トラクター	tractors
トラクター	tractor
カリスマ	carisma
カリスマ	carismàtic
吹く	bufa
淡水	freshwater
真宗	shinshu
分泌	secreció
ドキドキ	emocionant
和光	wako
驚き	sorpresa
ジェフリー	jeffrey
廃墟	ruïna
廃墟	ruïnes
深度	profunditat
配当	distribució
配当	dividends
故意	deliberada
故意	intencionada
故意	intencionadament
ニコ	nico
ニコ	niko
クロム	chrome
クロム	crom
預言	profecia
掲示	butlletí
パスポート	passaports
パスポート	passaport
カロリー	caloria
カロリー	calories
消化	digestió
ヘビ	serp
ヘビ	serps
膨張	expansió
バッジ	distintiu
バッジ	distintius
残酷	cruel
ペナルティ	sanció
ペナルティ	penalització
ペナルティ	pena
フェンス	tanca
浪速	naniwa
船員	mariner
フォレスト	forrest
フォレスト	bosc
クラッチ	embragatge
見習い	aprenents
見習い	aprenent
黙示録	apocalipsi
枢機卿	cardenal
メソッド	mètode
メソッド	mètodes
スチュワート	stewart
スランプ	slump
コップ	tassa
コップ	cup
からくり	karakuri
視界	visibilitat
ニッケル	níquel
反響	eco
反響	ressó
反響	echo
プラットホーム	plataforma
カルチョ	calcio
スーザン	susan
ハイチ	haití
洗浄	rentat
洗浄	rentatge
洗浄	neteja
不祥事	escàndol
不祥事	escàndols
委任	delegació
委任	mandat
祭壇	altar
シエラ	sierra
新一	shinichi
帰化	naturalització
ボローニャ	bologna
ボローニャ	bolonya
ヤギ	cabra
ヤギ	cabres
ワークショップ	tallers
ワークショップ	curset
ワークショップ	taller
ワーグナー	wagner
臨済宗	rinzai
慎吾	shingo
充当	consignació
被告人	imputats
被告人	demandat
バトン	porra
バトン	baton
睡眠	dorm
睡眠	dormir
洗濯	rentat
洗濯	rentatge
洗濯	bugaderia
天童	tendo
ツル	grua
リヒャルト	ricard
リヒャルト	richard
吉沢	yoshizawa
裏側	esquena
レズビアン	lesbiana
レズビアン	lesbianes
芸者	geisha
チャップリン	chaplin
吸気	inhalació
祝福	benedicció
祝福	benediccions
祝福	encarar
祝福	beneïda
祝福	esplèndida
祝福	beneït
林檎	poma
林檎	apple
星空	estelada
ケット	ket
ロナルド	ronald
ランニング	funcionant
高尾	takao
届出	notificació
レスキュー	rescat
レスキュー	salvament
土居	doi
委嘱	delegació
委嘱	comissió
アンドレア	andrea
パンダ	panda
ハク	haq
冗談	broma
冗談	acudit
お気に入り	favourite
お気に入り	fave
お気に入り	preferits
お気に入り	preferit
お気に入り	favorit
お気に入り	preferits
ロッカー	rocker
ロッカー	taquilles
トゥルー	cert
トゥルー	true
ヨット	iot
ヨット	iots
シェーン	shane
ダイナミック	dinàmic
ダイナミック	dinàmica
ラバウル	rabaul
勝浦	katsuura
飛行船	dirigible
エリオット	elliott
エリオット	elliot
まみ	mami
フットサル	futsal
真木	maki
バイザー	visera
ハンプシャー	hampshire
テント	carpes
テント	tendes
テント	tenda
テント	carpa
リソース	recurs
リソース	recursos
粛清	purga
崇拝	culte
ワトソン	watson
値段	preu
藤森	fujimori
快適	calaixera
快適	còmodes
足跡	petjada
ロベール	robert
バスケ	basquetbol
バスケ	bàsquet
ケロロ	keroro
獣医	veterinaris
獣医	veterinari
獣医	veterinari
房総	bosó
ヴァージン	virgin
ヴァージン	verge
石黒	ishiguro
和音	corda
帝政	imperi
動揺	molesta
動揺	molest
タブレット	tauleta
タブレット	comprimit
神学校	seminari
麻酔	anestèsia
人魚	sirena
ジュエル	joia
サンチェス	sánchez
サンチェス	sanchez
文字通り	literalment
目的地	destinació
マルチメディア	multimèdia
オーラ	aura
ディープ	deep
ディープ	profunds
ディープ	profund
マリアナ	mariana
アマゾン	amazon
アマゾン	amazona
義雄	yoshio
年数	anys
サイコロ	daus
不自然	antinatural
コロナ	ejecció
コロナ	corona
切符	bitllets
切符	entrades
切符	bitllet
教義	dogma
教義	credo
教義	doctrina
オメガ	omega
富豪	milionaris
両面	dúplex
地雷	mines
ホッケー	hoquei
かもめ	gavina
マダガスカル	madagascar
事績	èxits
事績	realitzacions
事績	consecució
事績	assoliment
キタ	kita
上告	recurs
カートリッジ	cartutxos
カートリッジ	cartutx
トレイル	sender
トレイル	trail
トレイル	rastre
臓器	òrgans
臓器	orgue
臓器	òrgan
コロンボ	colombo
水銀	mercuri
水銀	mercury
ニース	bonic
ニース	niça
ホモ	homo
ユニーク	úniques
ユニーク	únic
敏郎	toshiro
城郭	castells
アドリア	adria
浄化	purificació
浄化	purificar
今野	konno
シダ	falguera
曽根	sone
大洲	ozu
炎症	inflamatòries
炎症	inflamació
ダンカン	duncan
カッパ	kappa
長江	yangtze
摩擦	fricció
芝生	gespa
エヴァンゲリオン	evangelion
悪役	villà
実効	eficàcia
実効	efectivitat
実効	efectiu
セナ	sena
セナ	senna
アルマ	alma
矢田	yada
ルナ	luna
オリオン	orion
オリオン	orió
謙信	kenshin
ルーシー	lucy
ウィリー	willy
アロン	aaron
アロン	aron
四川省	sichuan
柔軟	flexibilitat
イングリッシュ	anglès
浮気	infidelitat
浮気	afer
みのり	minori
マッサージ	massatges
マッサージ	massatge
捕鯨	balener
劣化	deteriorament
劣化	degradació
工具	eina
上海市	shanghai
上海市	xangai
オナニー	masturbació
裁量	discrecional
裁量	discrecionals
リニア	lineal
ワタ	speciosa
ラーマ	lama
ラーマ	rama
卓也	takuya
接着	adherència
サンプリング	mostra
サンプリング	mostreig
必死	desesperadament
必死	desesperat
必死	desesperada
失効	lapse
失効	caducat
失効	vençut
失効	expiració
ねずみ	ratolí
経典	sutra
オセアニア	oceania
大気圏	atmosfera
リサイクル	recicla
リサイクル	reciclat
リサイクル	reciclatge
チェン	cheng
隠す	oculta
隠す	amaga
グラフィックス	gràfics
マニ	mani
カモ	ànecs
カモ	ànec
カモ	duck
ビーズ	beads
旋風	baldufa
無敗	invicte
精製	refinant
カンパ	campa
スナック	berenar
スナック	aperitius
グリップ	agafada
ペダル	pedal
アレクサンドロス	alexandre
アレクサンドロス	alexander
ビザ	visat
紀子	noriko
矢吹	yabuki
スタック	pila
ヴァルター	walther
ヴァルター	walter
満期	maduresa
満期	venciment
強要	coacció
隙間	llacunes
隙間	buits
屋号	yago
握手	encaixada
オリバー	oliver
長谷	hase
ハリソン	harrison
フリート	flota
風力	gale
強姦	colza
強姦	violació
湖畔	lakeside
センチュリー	segle
リカルド	ricardo
スルタン	sultà
スルタン	sultan
バッグ	bossa
バッグ	bosses
バッグ	borses
画質	qualitat
飽和	saturació
飽和	saturats
シャア	sha
カヤ	kaya
福音書	evangeli
侮辱	insult
ロブ	rob
ロブ	robb
平衡	equilibri
ダーウィン	darwin
乗馬	muntant
粘土	argila
幸一	koichi
占有	possessió
モナ	mona
信雄	nobuo
肝臓	fetge
アンゴラ	angola
味噌	miso
ノック	nok
ジェシカ	jess
ジェシカ	jessica
克己	katsumi
尊氏	takauji
ペイント	paint
ペイント	pinta
ピーチ	presseguer
ピーチ	préssec
滑らか	suau
ハイランド	highland
クッパ	bowser
完備	completa
完備	complet
白血病	leucèmia
アングル	angle
アングル	angles
金太郎	kintaro
冷たい	fred
ホノルル	honolulu
ハンプトン	hampton
ラウンジ	saló
ディーラー	concessionari
除隊	abocament
戊辰戦争	boshin
ナイス	bonic
ナイス	niça
ケヴィン	kevin
信条	credo
シルエット	silueta
エディンバラ	edimburg
中性子	neutró
処方	prescriuen
パノラマ	panorama
クルト	kurt
反復	repetició
反復	reencarnació
反復	iteracions
ネイティブ	nadiu
ネイティブ	natiu
祐子	yuko
修道士	frare
ヴィレッジ	poble
ヴィレッジ	aldea
ロジャース	rodgers
ロジャース	rogers
バレンタイン	valentine
ボルドー	bordeus
ヴァンパイア	vampir
受け取り	rebut
受け取り	rebé
受け取り	rebuda
風刺	sàtira
仲裁	arbitratge
顕微鏡	microscopi
検察官	fiscalia
検察官	fiscal
ボトル	ampolles
ボトル	ampolla
神風	kamikaze
クォーター	trimestre
グリッド	graella
リチウム	liti
わがまま	egoisme
わがまま	egoista
ラバー	cautxú
便所	sanitaris
便所	vàters
便所	lavabos
インタラクティブ	interactiu
インタラクティブ	interactive
セール	sale
セール	venda
アグネス	agnès
アグネス	agnes
フェス	fez
フェルナンデス	fernández
フェルナンデス	fernandez
フェルナンデス	fernández
フェルナンデス	fernandes
用紙	paper
パラオ	palau
ミナ	mina
快楽	plaer
ヒール	curar
均衡	equilibri
気球	globus
百合子	yuriko
イケメン	guapo
ディラン	dylan
杉村	sugimura
リンパ	limfa
越智	ochi
フィルタ	filtre
フィルタ	filtres
ヴォルフガング	wolfgang
チコ	chico
蒸発	evaporat
蒸発	evaporació
ココ	coco
ココ	koko
スクリュー	rosca
祈祷	oració
祈祷	pregària
募金	donació
募金	donas
募金	donatius
募金	donacions
智之	tomoyuki
オリエント	orient
オーランド	åland
オーランド	orlando
作物	cultius
作物	conreus
パウンド	lliura
シャーロック	sherlock
スタッド	stade
ギガ	giga
リッター	ritter
村人	cercavila
トカゲ	llangardaixos
トカゲ	llangardaix
参道	plantejament
参道	enfocament
ピストル	pistola
布教	propagació
ブランチ	subdivisió
ブランチ	sucursal
ブランチ	branca
別館	annex
聖歌	himne
聖歌	hymns
漁師	pescadors
漁師	pescador
ガーナ	ghana
ミレニアム	millenium
ミレニアム	millennium
なぜなら	perquè
なぜなら	perque
塩素	clor
釈迦	shaka
マリノス	marinos
ジェニファー	jennifer
クレイグ	craig
パッチ	pedaços
パッチ	pegat
パッチ	pedaç
パッチ	patch
アイザック	isaac
美学	estètica
死別	vidu
死別	vídua
筆記	escrit
筆記	escrivint
筆記	escriptura
セバスチャン	sebastian
セバスチャン	sebastián
レコーダー	enregistrador
レコーダー	registrador
ダイアナ	diana
リハビリ	rehabilitació
バーゼル	basilea
テリア	terriers
テリア	terrier
苦情	denúncies
苦情	queixes
苦情	denúncia
苦情	queixa
二階	dalt
代名詞	pronom
静脈	veins
静脈	venes
静脈	vena
チューン	sintonia
ノルマンディー	normandia
ハウ	howe
開示	divulgació
信之	nobuyuki
福澤	fukuzawa
エデン	eden
デザート	postres
デザート	desert
デザート	postres
リバイバル	revival
動脈	artèria
動脈	artèries
大文字	majúscules
大文字	majúscula
ツイッター	twitter
発熱	febre
リュック	motxilla
リュック	luc
忍び	shinobi
織物	tèxtil
織物	teixit
織物	tèxtils
ペスト	plaga
ペスト	pesta
礼儀	cortesia
ボンド	vincle
ボンド	lligam
オホーツク	okhotsk
グロス	bruta
グロス	bruts
ヴィーナス	venus
ゴリラ	gorillas
リサイタル	recital
フリッツ	fritz
ブランコ	blanco
ニトロ	nitro
ジュゼッペ	giuseppe
竜巻	tornado
竜巻	tornados
健治	kenji
分身	selves
ダイヤル	marcació
苦悩	agonia
苦悩	angoixa
ゴア	goa
ゴア	gore
ネブラスカ	nebraska
ポロ	polo
日没	capvespre
山東省	shandong
ミュラー	müller
ミュラー	mueller
ミュラー	muller
セルティックス	celtics
ディナー	sopars
ディナー	sopar
白金	platí
パラグアイ	paraguai
ブカレスト	dosrius
ブカレスト	bucarest
矢沢	yazawa
ジェシー	jesse
オオカミ	llop
オオカミ	wolf
桜木	sakuragi
コンタクト	contacte
バスケット	cistell
バスケット	cistella
ザルツブルク	salzburg
特製	especialitat
快感	plaer
叔母	tieta
叔母	tia
パーソナル	personals
百姓	pagesos
百姓	camperols
段落	paràgraf
段落	apartats
段落	paràgrafs
ハーモニー	harmony
ハーモニー	harmonia
歌川	utagawa
やっと	finalment
アイディア	idea
アイディア	idees
アイディア	ideas
タイラー	tyler
アンプ	amplificador
アンプ	amplificadors
宝物	tresors
宝物	tresor
礼子	reiko
マルクス主義	marxisme
イワン	ivan
ギフト	regals
ギフト	regal
理性	raó
理性	motiu
恨み	ressentiment
ビスマルク	bismarck
構文	sintàctics
構文	sintaxi
ミキ	miki
アインシュタイン	einstein
申し立て	disputada
申し立て	litigi
申し立て	controvèrsia
申し立て	disputa
安い	barat
アミューズメント	diversió
ハーレム	harlem
サンズ	sands
ガイ	guy
プラット	platt
プラット	pratt
プラット	platte
矯正	correccions
矯正	rectificacions
バタフライ	papallona
最小限	mínima
最小限	mínims
エレナ	elena
家光	iemitsu
クイーンズ	reines
クイーンズ	queens
コサック	cosacs
コサック	hetmanat
スペル	ortografia
スペル	encanteri
チャレンジャー	challenger
チャレンジャー	aspirant
修一	shuichi
プロポーズ	proposen
プロポーズ	proposta
ゴマ	sèsam
図形	geometria
図形	forma
ゲノム	genoma
デイヴ	dave
ドッキング	moll
ドッキング	amarrar
マダム	senyora
マダム	madame
トレント	trent
アーセナル	arsenal
請願	petició
アトランティック	atlantic
アトランティック	atlàntic
美保	miho
幸田	koda
おば	tieta
おば	tia
おば	tietes
腐敗	descomposició
ベイビー	baby
ベイビー	nadó
備後	bingo
キルギス	kirguizistan
アダムス	adams
参事官	regidors
参事官	regidor
トレーラー	remolc
トレーラー	tràiler
毛皮	pelatge
コロシアム	coliseum
コロシアム	colosseum
シンフォニー	simfonia
選任	designació
選任	cita
選任	nomenament
ゴールキーパー	porter
マグマ	magma
条文	disposició
条文	provisió
条文	disposicions
ニクソン	nixon
マリオン	marion
ごみ	camada
ごみ	escombraries
ハーブ	herb
ハーブ	herbes
ドロシー	dorothy
ヒスパニック	hispànica
一律	unitàriament
チェ	choi
チェ	che
フェンダー	fender
キール	kir
キール	quilla
ジョーク	broma
ジョーク	acudit
ジョーク	acudits
フォスター	foster
みさき	misaki
クロスオーバー	crossover
孵化	hatch
コウモリ	bat
コウモリ	ratpenats
バチカン	vaticà
バール	barra
バール	bar
トリス	tris
丹下	tange
編み	trenes
ヴィラ	vila
ヴィラ	villa
ヴィラ	villas
ユーモア	humorística
ユーモア	humor
溶液	solució
転覆	enderrocar
ウイスキー	whisky
バッド	bad
ナシ	pera
