年	рік
電影	фільм
電影	плівка
電影	знімали
電影	фільми
電影	кіно
季	season
季	сезон
季	сезону
季	сезони
龍	дракони
龍	драконів
龍	легені
龍	dragon
龍	дракон
女	жінка
女	жіноча
女	жіночий
女	самка
女	жінка
正式	офіційно
正式	формальні
正式	формальна
外	ззовні
外	надворі
外	поза
外	зовні
明	мін
美	прекрасні
美	красивий
美	красива
美	красиві
美	краса
字	словом
字	слово
字	слів
字	слова
因為	адже
因為	бо
北京	пекін
北京	пекінська
不同	different
不同	інше
不同	різні
不同	різних
不同	відмінні
足球	футбол
足球	футбол
目前	поточні
目前	поточний
目前	поточна
目前	течія
目前	струм
目前	зараз
目前	наразі
所有	усі
所有	всі
所有	все
所有	всіх
部分	частково
部分	розкладання
部分	часткове
部分	часткова
部分	частково
中央	central
中央	центральний
中央	центральна
森	сен
森	морі
郡	графство
郡	повіт
郡	жупанія
國家	стани
國家	штати
國家	країни
國家	країна
國家	кантрі
國家	стан
國家	держава
國家	національна
國家	націонал
國家	національне
國家	національний
國家	національні
國家	країн
國家	країни
球	кулька
球	бал
生	raw
但是	але
街	стріт
街	вулиця
提供	надані
提供	надано
提供	надають
提供	надати
城市	місто
城市	міста
城市	городи
城市	містах
城市	міст
一些	дехто
一些	деякі
一些	якесь
一些	якийсь
一些	трохи
長	довгий
長	хай
長	лонг
長	long
長	довга
長	довгі
水	вода
水	водні
水	водяний
水	водяне
人物	характер
人物	символів
人物	персонаж
人物	символ
軍	армії
軍	армія
軍	військо
軍	армійський
加入	приєднатися
加入	приєднатись
加入	приєднання
加入	долучитися
加入	приєднуйтесь
加入	приєднуйтеся
加入	приєднався
加入	долучився
加入	приєдналися
加入	приєднується
加入	приєдналася
加入	accession
英	ін
上海	шанхай
史	ши
第三	третє
第三	третій
第三	третя
屬	рід
魚	риб
魚	риба
魚	рибу
魚	рибка
魚	риби
波	хвиля
回	back
回	назад
回	ззаду
回	повернулася
回	спина
無	жодного
無	відсутнє
無	немає
無	жодних
無	відсутній
吉	катерина
吉	kat
你	тобою
你	ви
你	ти
你	тебе
方	фан
話	діалект
東	схід
英國	англія
周	тиждень
周	тижні
周	тижнів
周	чжоу
周	чоу
周	чау
石	ши
石	камінь
石	stone
石	стоун
事件	інцидент
事件	дтп
事件	випадки
事件	події
事件	подію
事件	події
事件	подією
事件	подія
建立	створення
建立	витвір
建立	заклад
建立	зібрати
建立	збирання
建立	побудувати
建立	будувати
生活	живі
生活	життя
生活	лайф
派	пиріг
教育	освітня
教育	навчальна
教育	освітні
教育	навчальних
教育	освіта
教育	освіти
教育	education
車站	станція
車站	станції
車站	вокзал
之後	після
萬	ван
國際	міжнародний
國際	міжнародна
國際	міжнародні
國際	інтернаціонал
國際	міжнародне
獎	нагороди
獎	премія
獎	нагорода
完成	завершено
完成	завершені
完成	закінчено
完成	закінчиться
完成	закінчив
完成	фініш
完成	завершити
完成	закінчити
完成	зроблено
完成	закінчили
完成	виконано
完成	готово
完成	done
完成	завершене
完成	завершити
完成	повний
完成	завершення
完成	завершений
白	білий
白	біла
白	біле
白	білі
白	вайт
白	бай
音樂	музика
音樂	музики
音樂	музик
音樂	музиці
音樂	музику
音樂	музична
音樂	музичний
音樂	мюзикл
音樂	музичні
沙	ша
沙	пісок
沙	шах
他們	вони
可能	можливе
可能	можливо
可能	можлива
分布	дистрибутивів
分布	розподіл
分布	поширюється
地區	області
地區	ділянки
地區	територіях
地區	площі
地區	районів
地區	улус
地區	округ
地區	нохія
地區	район
地區	область
地區	ділянка
地區	площа
地區	місцевість
車	автомобілем
車	машина
車	авто
車	автомобіль
車	автомобілі
車	тачки
官	наглядач
官	офіцер
梅	травнева
梅	травня
梅	травневі
梅	травні
梅	травень
梅	мей
中文	китайською
中文	китайські
中文	китайська
中文	китайці
中文	китайський
自由	свобода
自由	свобода
自由	вільна
自由	безкоштовне
自由	вільний
自由	безкоштовно
自由	вільно
黃	вонг
黃	хван
黃	хуан
黃	жовте
黃	жовтого
黃	жовті
黃	жовтий
獲得	отримати
獲得	get
光	світлі
光	світле
光	light
光	світло
光	світлий
光	hikari
重要	важливості
重要	важливість
重要	важлива
重要	важливі
重要	важливий
重要	важливе
重要	важливо
工程	техніка
工程	інженерних
工程	інженерія
工程	працює
港	бухта
港	бухті
港	гавань
港	пор
港	порт
港	гавань
列	колонка
列	стовпчик
列	колона
最後	останній
最後	остання
最後	останнє
提交	підкорення
提交	надіслати
提交	відправка
提交	подати
提交	наданий
提交	надіслано
提交	подання
提交	відправки
提交	надсилання
經	сутра
需要	need
需要	треба
需要	потрібно
需要	потреби
需要	потреба
需要	потрібним
需要	потреби
需要	потрібен
需要	потрібною
需要	необхідний
需要	вимагає
需要	потребує
需要	потреб
需要	потреби
江	річка
江	ріка
江	цзян
臺灣	тайвань
臺灣	тайванська
最佳	оптимального
最佳	оптимальний
這個	цей
這個	ця
泰	тай
地方	місце
地方	місць
地方	місця
地方	місцини
系列	серія
系列	серії
系列	ряд
系列	ряди
電視	телебачення
登	ден
黑	темні
黑	темна
黑	темний
黑	темне
黑	темно
黑	чорні
黑	чорне
黑	чорна
黑	чорний
花	квіти
花	квітки
花	квітка
神	божі
神	боже
神	бога
神	бог
神	богу
遊戲	гра
遊戲	гри
遊戲	гру
遊戲	ігор
遊戲	games
遊戲	ігри
清	цін
最高	згори
最高	вгорі
最高	топ
最高	верхній
最高	найпопулярніші
最高	зверху
最高	найвища
最高	найвищий
最高	supreme
要求	вимогою
要求	вимогу
要求	вимоги
要求	вимагає
要求	запит
要求	попит
要求	вимагаю
要求	запити
要求	запитів
要求	запит
讓	жан
讓	джин
讓	хай
讓	нехай
版本	версія
版本	редакціях
版本	версії
版本	версій
發現	знайшов
發現	знайдено
發現	знайшовся
發現	знайшла
發現	знайдені
發現	знайдіть
發現	відкриття
發現	знахідка
語	мова
語	мови
語	мову
只有	лише
只有	тільки
內容	контент
內容	вміст
內容	зміст
內容	матеріали
最大	макс
華	хуа
華	ва
製作	продакшн
製作	виробництво
製作	продукція
製作	production
出生	народження
出生	народився
出生	борн
出生	народилась
出生	народилася
出生	народження
朱	чжу
朱	чу
航空	авіації
航空	авіація
航空	aero
航空	авіалінії
航空	вузловий
航空	антонова
航空	авіалінії
航空	airlines
航空	air
航空	повітряна
航空	повітря
數	кількість
數	рахувати
數	відлік
數	підрахунок
數	порядковий
數	обліку
數	відлік
數	число
數	кількість
數	номер
數	номера
出版	опублікований
出版	оприлюднено
出版	опубліковано
出版	видавництво
出版	оприлюднення
出版	публікацією
出版	публікація
出版	публікування
出版	публікацію
出版	публікація
發展	розвитку
發展	розвиток
發展	розробка
成功	успішно
成功	успішне
成功	вдало
成功	успішний
成功	вдалась
成功	успіх
面積	область
面積	ділянка
面積	площа
面積	місцевість
堡	форт
堡	fort
系統	система
系統	системи
系統	системний
系統	системне
系統	системна
系統	систем
系統	systems
蘭	lan
劉	лю
劉	ло
班	відділення
班	загін
冠軍	шам
冠軍	чемпіон
冠軍	чемпіони
問題	задача
問題	проблему
問題	проблема
問題	запитання
問題	питання
問題	запитань
問題	питань
問題	вопросы
問題	запитання
問題	питання
康	побачиш
康	кан
海拔	висота
海拔	висота
島	острів
島	острів
島	іль
方式	метод
率	оцінити
率	частота
率	швидкість
率	оцініть
率	ставка
請	please
請	прошу
名稱	назва
名稱	назви
名稱	імена
官方	офіційно
愛	любов
愛	кохаю
愛	кохання
得到	отримати
得到	get
平	рівна
平	локацію
印度	індію
印度	індія
印度	індії
街道	стріт
街道	вулиця
街道	вулицям
街道	вулиць
街道	вуличками
街道	вулицями
街道	вулиці
存在	існування
存在	присутність
刪除	вилучено
刪除	вилучені
刪除	вилучення
刪除	видалення
刪除	вилучення
刪除	прибрати
刪除	видалити
刪除	вилучити
刪除	вилучення
刪除	видалити
刪除	вилучити
設計	designs
設計	проектування
設計	дизайн
設計	розробка
設計	розробка
卡特	картер
群	група
群	групова
群	груповий
群	групу
群	спільнота
命名	найменування
負責	відповідальний
負責	відповідальна
服務	послуги
服務	служби
服務	служити
服務	подаємо
服務	подавати
服務	подають
服務	служить
服務	обслуговує
服務	служби
服務	service
服務	служба
服務	послуга
服務	сервіс
機	machine
機	машина
機	автомат
任何	якісь
列表	перелік
列表	list
列表	список
唐	тан
唐	дон
西班牙	іспанію
西班牙	іспанія
西班牙	іспанії
頁	сторінки
頁	сторінок
條	смужки
兩	два
兩	дві
兩	двоє
兩	двох
兩	двійка
當	коли
超	ультра
超	ultra
超	супер
丁	дін
夏	ся
以上	вище
著名	відома
著名	знамениті
著名	відомий
著名	знаменитий
聖	святий
聖	saint
聖	сен
志	чжи
志	чі
志	хі
志	chi
已經	уже
已經	вже
梁	промінь
梁	лян
梁	промені
專輯	альбому
專輯	альбом
專輯	альбомів
專輯	альбоми
角色	характер
角色	символів
角色	персонаж
角色	символ
角色	ролі
角色	роль
角色	символів
角色	персонажі
角色	ієрогліфи
角色	літери
角色	символи
角色	ролі
武	кітано
半	пів
半	півтори
半	половина
半	половину
半	наполовину
成員	член
成員	учасник
成員	учасника
成員	члена
成員	учасники
成員	члени
東京	токіо
東京	tokyo
新聞	новини
新聞	новина
現在	тепер
現在	зараз
劇	драматичний
劇	драма
劇	драми
後來	згодом
後來	пізніше
後來	потому
女性	самиць
女性	жіноча
女性	жіночий
女性	самка
女性	жінка
女性	жінок
女性	жінки
高度	висота
高度	висота
說	say
說	скажуть
說	кажу
說	сказати
說	кажеш
男	чоловічий
男	самець
男	чоловічі
男	чоловіча
之前	перед
之前	before
合作	співпраця
合作	співпраці
合作	співробітництво
合作	співпрацю
合作	співпрацювати
門	брама
門	gate
門	ворота
門	вивіз
門	двері
門	двері
卷	рол
卷	roll
卷	кинути
卷	rolls
位置	розташування
位置	позиція
位置	положення
位置	позиції
位置	розміщення
位置	місцезнаходження
位置	локація
位置	місце
位置	розташування
活動	заняття
活動	діяльності
活動	діяльність
活動	події
活動	подію
活動	події
活動	подією
活動	подія
活動	активність
活動	дії
活動	діяльності
活動	дія
活動	діяльність
只	лише
只	тільки
歷史	журнал
歷史	історія
歷史	історії
歌曲	пісень
歌曲	пісні
歌曲	songs
歌曲	конкурс
歌曲	пісня
點	крапок
點	крапки
點	крапка
點	точка
點	точку
點	point
一次	once
植物	рослини
植物	заводи
植物	завод
植物	рослини
植物	садити
植物	рослина
封	фен
封	печатка
封	печатки
封	емблема
封	котик
封	сіл
皮	шкіра
非常	дуже
而且	та
通常	зазвичай
通常	зазвичай
形成	формування
形成	зборі
比賽	гра
比賽	гри
比賽	гру
比賽	перегони
比賽	забіг
比賽	раса
比賽	конкурс
比賽	євробачення
聯賽	ліга
學校	школах
學校	шкіл
學校	школа
學校	училище
完全	цілком
完全	повністю
完全	повністю
信	листи
信	літер
信	літери
信	лист
信	літера
信	листі
期間	строк
期間	період
接受	визнання
接受	прийнято
接受	прийняті
接受	прийняли
接受	прийнятий
接受	прийняти
接受	прийміть
接受	приймаємо
接受	погодитися
接受	приймаю
書	книжка
書	книжечки
書	книга
書	книги
書	книжки
書	книг
書	книги
交通	транспорт
交通	транспортування
交通	перевезення
交通	навантаження
交通	пробки
交通	трафік
交通	рух
交通	транспорт
交通	пересилання
木	вуд
木	деревина
木	лісова
討論	дискусії
討論	обговорення
討論	обговоримо
討論	обговорювати
討論	обговорити
討論	обговорення
故事	публікації
故事	історія
故事	сюжет
故事	розповідь
故事	публікація
故事	історії
故事	публікації
故事	розповіді
直接	пряма
直接	прямий
直接	direct
直接	прямі
直接	напряму
直接	безпосередньо
參與	участь
參與	заручини
參與	взаємодія
參與	участь
參與	участі
參與	участь
朗	ленг
朗	лон
湖	озеро
湖	озера
根	root
根	корінь
根	коріння
保留	замовлення
保留	бронювання
希望	надії
希望	надія
希望	надіюсь
手	кисть
手	хенд
手	правиця
手	рука
手	руку
手	рук
手	руками
手	руки
心	серце
心	серця
心	сердець
巴士	шини
巴士	бус
巴士	шина
巴士	автобус
巴士	автобуси
播放	трансляція
播放	відтворити
播放	грати
播放	програти
播放	програвання
播放	відтворення
播放	грає
播放	відтворює
播放	грає
播放	програвання
播放	відтворення
音	приголосний
音	тонус
音	тон
音	тоне
增加	збільшити
增加	підвищити
增加	зростати
增加	збільшення
增加	підвищує
增加	збільшується
增加	збільшує
增加	зростає
增加	зросли
增加	збільшили
角	кутку
角	куточок
角	куті
角	кут
角	кутова
角	кутовий
角	мис
角	точка
角	точку
角	point
天文台	обсерваторії
天文台	обсерваторія
耶	ура
這些	ці
丹	дан
丹	dan
丹	ден
丹	закохатися
太	теж
太	надто
太	занадто
徐	seo
永	крилом
永	крило
歌	пісень
歌	пісні
歌	songs
歌	конкурс
歌	пісня
美元	долари
美元	доларів
美元	долар
霍	хоу
圖	діаграма
圖	граф
圖	графіка
圖	графік
圖	діаграма
圖	діаграми
圖	фігура
投票	голосування
投票	голосуйте
投票	проголосувати
投票	голосувати
投票	голосування
投票	опитування
灣	впускний
灣	бухта
灣	губа
灣	затока
民主	демократія
寺	храму
寺	храм
雖然	хоча
雖然	хоча
雖然	щоправда
參加	присутнім
參加	участь
參加	присутній
特別	особливий
特別	спеціальний
特別	особливі
特別	особливе
特別	спеціальні
特別	особлива
控制	контроль
控制	контрольна
控制	керування
控制	контролює
蒙	мон
戰	battle
戰	битва
戰	бій
戰	війна
電視台	телебачення
以下	нижче
以下	знизу
然而	однак
然而	ще
七	сім
七	сімка
口	рот
口	рота
仁	цзінь
仁	джен
委員會	комісія
編輯	edit
編輯	редагувати
編輯	правка
編輯	змінити
編輯	редагування
編輯	монтаж
編輯	редактор
資料	дані
資料	data
隆	рю
青	перемін
青	цін
播出	трансляція
路線	шляхи
路線	маршрутів
路線	маршрути
路線	маршрут
倫	лунь
年度	рік
宋	конкурс
宋	пісня
附近	поблизу
附近	поруч
附近	поряд
附近	близько
附近	біля
附近	поблизу
附近	поруч
歌手	співаки
歌手	співак
歌手	співачка
歌手	співака
店	крамниця
店	магазин
店	зберігати
店	магазин
二十	двадцять
二十	двадцяти
組織	організація
組織	установа
組織	установа
組織	організація
組織	тканина
組織	ділення
組織	дивізіон
組織	поділ
分類	класифікувати
分類	класифікація
教授	професор
盃	чашка
盃	чаша
盃	кубок
源	джерело
源	джерела
八	вісім
法國	франції
法國	франція
法國	францію
除了	окрім
除了	крім
文字	текстовий
文字	текст
民族	національність
民族	нації
主席	президент
主席	президенти
主席	голова
主席	головою
不過	але
文物	дефектів
文物	старожитностей
文物	реліквій
老	старі
老	старе
老	старим
老	стара
老	старий
女子	жінка
選	обираємо
世紀	ст
世紀	століття
世紀	century
鐵	залізний
鐵	залізо
鐵	залізна
鐵	заліза
德國	німеччини
德國	німеччині
德國	німеччина
德國	німеччину
票	квитки
票	квиток
票	квитків
動畫	аніме
打	бій
打	бійка
打	fight
關係	взаємини
關係	відношення
關係	відносини
關係	стосунки
關係	взаємовідношення
能力	потужність
能力	спроможність
能力	здатність
能力	можливість
能力	можливість
佛	будда
少	меньше
少	менше
少	менше
網站	сайті
網站	сайт
網站	сайт
網站	сайти
模板	шаблони
模板	шаблон
模板	template
頭	head
頭	голова
頭	голівка
個人	особисті
個人	особисте
個人	особистий
個人	персональний
個人	окремих
個人	індивідуальна
個人	індивідуальні
個人	індивідуальне
個人	окремі
個人	індивідуальний
擁有	зберігання
擁有	одержимість
擁有	володіння
擁有	купуючи
擁有	володів
學生	студенти
學生	учням
學生	студентів
學生	студентам
學生	учні
學生	студентка
學生	студентська
學生	студент
鎮	містечко
鎮	місто
南部	південна
南部	південний
南部	південна
南部	південь
南部	південний
語言	мови
語言	мов
語言	мова
語言	мови
語言	мову
模式	режими
模式	взірець
模式	взірцем
模式	візерунок
模式	шаблон
模式	шаблони
模式	візерунки
模式	режим
模式	лад
模式	mode
相關	актуальна
相關	схожі
決定	вирішує
決定	рішенням
決定	рішення
決定	рішення
決定	рішень
楊	ян
楊	ян
方向	напрямки
方向	напрям
方向	напрямок
方向	орієнтація
方向	орієнтацію
郭	го
方法	метод
方法	способи
方法	методи
影響	вплив
影響	впливає
影響	перебіг
影響	впливати
影響	вплив
影響	ефекти
影響	впливає
屬於	належали
屬於	належав
許多	багато
許多	багатьох
第四	четверта
第四	четвертий
第四	четверте
秀	су
死	помер
死	померла
死	мертвий
死	dead
自治	автономія
蘇	засудити
甚至	навіть
甚至	даже
開	відкрити
開	відкрита
開	відкрито
開	відкриті
開	відкритий
見	подивитися
見	див
見	бачите
見	бачу
見	переглянути
田	тянь
只是	просто
只是	щойно
結束	завершити
結束	кінець
結束	закінчити
結束	закінчиться
結束	закінчення
巴西	бразилії
巴西	бразилія
巴西	бразильська
共同	спільними
共同	поширені
共同	спільне
共同	загальні
共同	common
出版社	видавець
出版社	видавців
提名	номінаціях
提名	номінації
保護	захисту
保護	захищати
保護	захистити
保護	стараються
保護	захисти
保護	захист
保護	захищений
保護	захищена
保護	захищено
加上	додавання
加上	додавати
加上	додати
加上	плюс
加上	plus
食	їли
食	їм
食	їсти
獨立	indie
獨立	самостійна
獨立	незалежні
獨立	незалежна
獨立	незалежний
獨立	незалежне
獨立	незалежність
獨立	незалежності
包含	містить
包含	містяться
距離	дистанція
距離	відстань
距離	дистанції
距離	дистанцій
距離	відстані
社會	суспільство
社會	товариства
社會	товариство
社會	товариств
社會	соціальне
社會	соціальні
社會	соціальна
社會	соціальний
加拿大	канаді
加拿大	канади
加拿大	канаду
加拿大	канада
兩個	два
兩個	дві
兩個	двоє
兩個	двох
兩個	двійка
公尺	метрах
公尺	метрів
公尺	метри
公尺	метр
公尺	метрів
公尺	метри
還	також
哥	брат
哥	брата
哥	братик
歐洲	європу
歐洲	європа
歐洲	європі
歐洲	європейський
歐洲	європейські
歐洲	європейська
像	подобається
像	зразок
像	like
鐵路	залізничний
鐵路	трамвая
鐵路	залізнична
鐵路	залізниця
鐵路	залізниця
鐵路	залізниці
鐵路	машиніст
鐵路	залізниця
居民	мешканці
居民	мешканців
功能	функція
功能	функцію
功能	функції
功能	особливості
功能	можливості
功能	функціональність
功能	функціональні
功能	функціональна
功能	можливість
功能	функціональності
功能	функціональність
聯盟	union
聯盟	союз
聯盟	юніон
聯盟	ліга
聯盟	альянс
聯盟	союзи
聯盟	коаліція
聯盟	коаліції
洪	висів
洪	повісили
洪	гонг
利用	використати
利用	використовувати
利用	користування
利用	використання
最終	зрештою
平均	середній
平均	середнє
平均	середня
平均	середнього
侵	десант
侵	напад
雙	дабл
雙	двічі
雙	дубль
雙	подвійна
雙	подвійний
雙	подвійне
再次	знов
再次	знову
網	web
網	веб
網	мережа
網	network
網	мережі
網	мережеві
網	нетто
網	net
施	ши
量	кількість
演員	зіграла
演員	акторів
演員	актори
演員	актриса
演員	акторка
演員	актор
亞洲	азійський
亞洲	азія
全球	всюди
全球	глобально
全球	глобус
全球	глобальний
全球	global
全球	загальні
全部	усі
全部	всі
全部	все
全部	всіх
北部	північна
北部	норт
北部	північний
北部	північ
北部	північна
北部	північний
北部	північне
運動	спорт
運動	спортивні
運動	спорту
運動	русі
運動	рух
運動	спорт
運動	рух
中共	cpc
毛	валовий
毛	мао
草	трава
草	трави
直到	доки
直到	до
直到	поки
名字	назва
地球	землею
地球	earth
地球	землі
地球	земля
死亡	death
死亡	смерть
死亡	смерті
戰爭	війна
戰爭	війн
戰爭	війни
作曲	написати
作曲	створення
溪	крік
溪	струмок
邦	pong
紅	червона
紅	ред
紅	червоний
紅	червоне
紅	червоні
唱片	записати
唱片	записувати
唱片	рекорд
唱片	запис
安全	сейф
安全	безпечний
安全	безпечно
安全	захищений
安全	безпечне
安全	безпечний
安全	безпечна
玉	jade
學院	академія
學院	академії
學院	коледж
學院	коледжі
學院	внз
學院	коледжі
豪	хау
豪	гоу
原因	причини
原因	причина
原因	привід
原因	спричинити
原因	причина
原因	причиною
通過	via
通過	віа
通過	через
通過	крізь
通過	наскрізь
通過	через
通過	передивився
通過	перевал
通過	передати
通過	проїхати
管	трубу
管	труба
管	люльку
管	каналом
管	труби
管	труба
強	сильним
強	сильні
強	сильною
強	сильний
強	сильна
選舉	вибори
選舉	вибори
辛	шин
辛	гріхом
辛	гріха
辛	гріх
漢	хан
漢	хана
法律	закон
法律	право
法律	законів
法律	закони
革命	революція
革命	революцій
計劃	плануємо
計劃	спланувати
計劃	планувати
計劃	план
計劃	плани
時代	таймс
時代	час
時代	часи
時代	times
男性	самці
男性	чоловічий
男性	самець
男性	чоловічі
男性	чоловіча
男性	чоловіки
目的	реалізується
形式	форму
形式	форма
形式	формат
形式	форматування
鄭	чжен
鄭	чон
基本	базові
基本	базове
基本	основні
基本	базовий
基本	основний
蔡	цай
葉	лист
葉	листок
葉	leaf
單位	одиниці
單位	юніт
單位	одиниці
單位	одиниця
惠	меґумі
修	виправити
修	фіксована
科技	технологія
科技	технології
科技	tech
科技	тех
青年	молодість
青年	юнацтва
青年	юність
青年	молодь
流	streaming
流	потік
流	потоки
流	потоків
流	потік
流	струмок
蒙古	монгольська
蒙古	монголії
結果	єдесталу
結果	результати
結果	результат
教	вчить
教	навчальні
教	навчати
教	викладати
教	навчити
解放	визволення
解放	звільнення
祖	джо
體	тіло
體	тіла
球隊	команди
球隊	команда
左	ліворуч
左	ліва
左	лівий
左	зліва
戴	дай
戴	носи
戴	ношу
戴	носити
自然	природним
自然	природно
自然	натуральний
自然	натуральна
自然	натуральні
自然	природний
自然	природні
自然	природа
自然	природня
台北	тайбей
澳門	макао
澳門	макао
新的	нові
新的	нове
新的	нова
新的	новий
新的	створити
經濟	економіка
經濟	економічне
經濟	економічні
經濟	економічна
經濟	економічний
經濟	корупцію
經濟	господарство
經濟	економіка
經濟	економія
傑	цзє
傑	джей
切	різати
切	вирізати
一起	разом
越南	vietnamese
權	квон
快速	швидкі
快速	швидко
快速	швидке
快速	швидка
快速	швидкий
快速	швидко
快速	швидкі
快速	швидке
快速	швидка
快速	фаст
快速	швидкий
學	навчання
學	дізнатися
學	вчити
學	вчитись
學	навчитися
職業	кар
職業	професія
職業	окупаційні
職業	окупація
職業	окупації
團	полк
百	сотня
百	сотню
百	сто
廣	широкий
廣	широка
廣	широкі
廣	широке
相同	однакові
相同	збігається
相同	однаковий
相同	однакові
相同	same
相同	самий
類	клас
兵	солдат
億	мільярдів
億	мільярд
億	мільярди
億	млрд
分鐘	хвилин
