অবাধ	rebel
বারাক	barak
কবে	keď
কবে	ked
কবে	kedy
পরিদর্শক	kontrolór
ব্যতিক্রমী	výnimočné
ব্যতিক্রমী	mimoriadny
ব্যতিক্রমী	výnimočná
ব্যতিক্রমী	výnimočný
ব্যতিক্রমী	mimoriadne
ব্যতিক্রমী	mimoriadna
বিএনপির	bnp
ভূমধ্যসাগরীয়	stredozemie
অন্তর্বর্তী	priebežné
অন্তর্বর্তী	priebežná
প্রতিনিয়ত	neprestajne
প্রতিনিয়ত	neustále
পেইজ	paige
পেল	jablko
পেল	jablkový
পেল	apple
এবিসি	abc
গাইতে	spievaj
গাইতে	zaspievať
গাইতে	spievať
সার্কাস	cirkus
প্রতীকী	symbolický
প্রতীকী	symbolické
গিনেস	guinness
ফর্মুলা	vzorec
ফর্মুলা	vzorca
আইভরি	slonoviny
ভিসা	víza
ভিসা	víza
ভিসা	vízum
কমিকস	komiksy
আঙুল	prstom
আঙুল	prst
আঙুল	prstami
আঙুল	prstov
আঙুল	prsty
লক্ষাধিক	miliónov
লক্ষাধিক	milióny
ইউটিউব	youtube
শাল	šál
ঠাণ্ডা	studená
ঠাণ্ডা	studené
ঠাণ্ডা	chladná
ঠাণ্ডা	zima
ঠাণ্ডা	chlad
ঠাণ্ডা	zmrazenie
ঠাণ্ডা	chladené
উইসকনসিন	wisconsine
কোকা	coca
শিশুরা	deti
শিশুরা	detská
শিশুরা	decká
শিশুরা	deti
শিশুরা	detská
শিশুরা	detské
শিশুরা	deti
শিশুরা	dojčatá
প্রত্যেকে	každý
প্রত্যেকে	vsetci
প্রত্যেকে	kazdy
প্রত্যেকে	všetci
প্রত্যেকে	každý
প্রত্যেকে	každého
প্রত্যেকে	vsetci
প্রত্যেকে	všetkým
প্রত্যেকে	všetci
বাদাম	orechové
বাদাম	orech
বাদাম	oriešok
বাদাম	mandle
বাদাম	oriešky
বাদাম	orechy
বাদাম	matice
ভালবাসার	love
ভালবাসার	lásky
ভালবাসার	milovať
ভালবাসার	laska
ভালবাসার	láska
অগণিত	nespočetné
মাল্টি	multi
দাবির	nárokovať
দাবির	tvrdenie
দাবির	nárok
দাবির	pohľadávka
দাবির	požiadavky
দাবির	nároky
দাবির	tvrdí
দাবির	pohľadávky
দাবির	tvrdenia
দত্তক	adopciu
দত্তক	adopcie
দত্তক	prijatie
মাইলফলক	pamiatka
মাইলফলক	míľnik
হ্যারল্ড	harold
প্রোগ্রামার	programátory
প্রোগ্রামার	programátor
প্রোগ্রামার	programátora
টিকিট	vstupenky
টিকিট	lístky
টিকিট	letenky
টিকিট	lístok
নিরাপদে	bezpečne
অ্যালুমিনিয়াম	hliníka
অ্যালুমিনিয়াম	hliníkové
অ্যালুমিনিয়াম	hliník
অ্যালুমিনিয়াম	hliníkové
অ্যালুমিনিয়াম	hliník
বলল	povedal
বলল	povedalo
বলল	povedala
ময়ূর	páv
হুগো	hugo
রুটি	chleba
রুটি	chlebík
রুটি	chlieb
ভয়ঙ্কর	desivé
ভয়ঙ্কর	strašidelné
ভয়ঙ্কর	hrozné
ভয়ঙ্কর	strašné
ভয়ঙ্কর	otrasné
ভয়ঙ্কর	strašná
কারারুদ্ধ	uväzniť
কারারুদ্ধ	uväznený
কারারুদ্ধ	uväznených
কারারুদ্ধ	uväznená
মুলার	müller
পুঁজি	kapitalizmus
প্রিক্স	prix
ঝুঁকে	naklonil
বমি	vracať
বমি	zvracanie
বমি	dávenie
বমি	vracanie
বিসর্জন	obeta
বিসর্জন	obetovať
বিসর্জন	obetu
বিসর্জন	obeť
বেটা	beta
পাগলা	crazy
পাগলা	šialené
পাগলা	blázon
পাগলা	šialenstvo
আইনী	zákonné
আইনী	právna
আইনী	právny
আইনী	právne
আইনী	legálne
ডেম	dem
ডেম	dame
কূটনীতিবিদ	diplomat
মুষ্টিযুদ্ধ	box
মুষ্টিযুদ্ধ	boxu
ল্যান্ড	land
ল্যান্ড	pozemok
ল্যান্ড	pôdy
ল্যান্ড	pozemky
ল্যান্ড	pôda
সিনা	sina
শামুক	slimáky
শামুক	slimák
পাইন	pine
লিঃ	ltd
কম্পন	zemetrasenie
কম্পন	vibrácie
কম্পন	vibrácií
ক্রু	parta
ক্রু	partia
ক্রু	posádka
ক্রু	crew
ক্রু	posádky
ক্রু	štáb
নীহারিকা	nebula
এনজিও	mvo
এনজিও	mvo
কম্পানি	firma
কম্পানি	firemné
কম্পানি	spoločnosti
কম্পানি	spoločnosť
সাবমেরিন	ponorku
সাবমেরিন	ponorka
সীমারেখা	hranice
যাকাত	charity
যাকাত	charitu
যাকাত	charita
সুতা	priadza
সুতা	priadze
আরবরা	arabi
বিক্রেতা	predajcovia
বিক্রেতা	predajcov
বিক্রেতা	predajca
বিক্রেতা	predavač
বিক্রেতা	dodávateľ
বিক্রেতা	predajcu
বিক্রেতা	predávajúci
বিক্রেতা	predajca
বিক্রেতা	predajcu
বিক্রেতা	predávajúci
মিসাইল	strely
মিসাইল	rakety
মিসাইল	strela
মিসাইল	raketa
বেবি	baby
বেবি	bábätko
বেবি	dieťa
বেবি	bby
অনানুষ্ঠানিক	neformálne
ক্লোরাইড	chlorid
আক্রমণকারী	útočníka
আক্রমণকারী	útočník
আক্রমণকারী	útočníkov
ক্যাম্ব্রিয়ান	kambrium
ডিপ	dip
ডিপ	hlboká
ডিপ	hlboké
ডিপ	hlboko
ডিপ	deep
ডিপ	hlboký
রাজনৈতিকভাবে	politicky
ফুসফুস	pľúca
ফুসফুস	pľúcne
ফুসফুস	pľúc
ফুসফুস	pľúca
ফুসফুস	pľúc
ট্রাম্প	tramp
ট্রাম্প	tulák
ট্রাম্প	trump
মাইক্রোপ্রসেসর	mikroprocesora
প্রফুল্ল	veselý
প্রফুল্ল	veselá
অবিবাহিত	slobodná
অবিবাহিত	jednotného
অবিবাহিত	jednotné
অবিবাহিত	single
অবিবাহিত	slobodný
অবিবাহিত	jednotný
অপরাজেয়	neporaziteľný
সত্যিকারের	real
সত্যিকারের	reálny
সত্যিকারের	skutočné
সত্যিকারের	skutočná
সত্যিকারের	reálne
সত্যিকারের	pravda
সত্যিকারের	true
সত্যিকারের	pravdivé
আফ্রো	afro
মাদাগাস্কার	madagaskaru
অসন্তোষ	nespokojnosť
আমের	amer
লোম	chlpatý
লোম	chlpaté
নেটিভ	native
ইমপ্রেস	zapôsobiť
আইফোন	iphone
দিয়া	dia
একত্রীকরণ	zlúčenie
একত্রীকরণ	mer
ছাই	popol
ছাই	popol
ছাই	ash
ফিজি	fidži
শিখদের	sikhov
সম্রাজ্ঞী	cisárovná
চর্বি	tuky
চর্বি	tukov
জুনিয়র্স	juniorov
ধারন	zachytený
ধারন	chytený
ধারন	zachytené
ধারন	zajali
পোর্টাল	portáli
পোর্টাল	portálu
পোর্টাল	portál
সতেরো	seventeen
সতেরো	sedemnásť
ঘৃণা	nenávisť
ঘৃণা	nenávidieť
ঘৃণা	nenávisť
ঘৃণা	nenávidím
ঘৃণা	neznášam
জ্যোতির্বিদ্যা	astronómia
গলফ	golf
গলফ	golfové
শিশির	rosný
শিশির	rosa
হাবল	hubble
মীমাংসা	vyriešiť
মীমাংসা	riešiť
মীমাংসা	vyriešenie
কাঠমান্ডু	káthmandu
ঝোঁক	prízvuk
ফ্যাট	tučné
ফ্যাট	tuku
ফ্যাট	tuk
ফ্যাট	tuky
ফ্যাট	fat
বন্টন	rozloženie
বন্টন	rozdeľovanie
বন্টন	distribúcia
বন্টন	rozdelenie
ওর	orr
অ্যাক্সেস	pristup
অ্যাক্সেস	prístup
বাল	bal
অজস্র	početné
অজস্র	početných
নিয়োগের	nábor
কেমিক্যাল	chemické
কেমিক্যাল	chemická
কেমিক্যাল	chemickej
কেমিক্যাল	chemický
কেমিক্যাল	chemikálie
বিশ্লেষণী	analytická
ভীত	bojím
ভীত	strach
গুজরাত	gudžarát
গিবস	gibbsa
গিবস	gibbs
অভিবাসন	migráciu
অভিবাসন	migrácie
অভিবাসন	prechod
অভিবাসন	migrácia
রেসলিং	wrestling
স্কেচ	načrtnúť
স্কেচ	náčrt
স্কেচ	portrét
ইফেক্ট	efekty
ইফেক্ট	účinky
ইফেক্ট	vplyvy
ইফেক্ট	efekt
ইফেক্ট	účinok
ইফেক্ট	vplyv
শীতকাল	zime
শীতকাল	zimný
শীতকাল	zimná
শীতকাল	zima
শীতকাল	zimné
রাদারফোর্ড	rutherford
বসন্তে	prameň
বসন্তে	jar
বসন্তে	jarná
বসন্তে	jaro
বসন্তে	jarné
উইলিস	willis
অয়লার	euler
নারিকেল	kokos
আসক্তি	závislosť
আসক্তি	návykové
আশ্চর্য	úžasne
আশ্চর্য	úžasné
আশ্চর্য	úžasný
আশ্চর্য	zvláštne
আশ্চর্য	podivné
আশ্চর্য	čudné
আশ্চর্য	zvláštny
আশ্চর্য	divu
উইলিয়ামসন	williamson
ফিলাডেলফিয়া	philadelphii
ব্যবসায়ীদের	obchodníkov
ব্যবসায়ীদের	predajcovia
ব্যবসায়ীদের	obchodníci
তলার	hore
তলার	poschodie
অত্যাধুনিক	sofistikované
চিন	bradu
চিন	brada
চিন	číne
চিন	china
চিন	čína
ফ্রেডরিক	frederic
ওয়াইন	vínko
ওয়াইন	víno
ওয়াইন	vína
ওয়াইন	vino
সংকুচিত	skolaboval
সংকুচিত	zrútil
অস্পষ্ট	nejasná
অস্পষ্ট	nejasný
অস্পষ্ট	nejasné
অস্পষ্ট	rozmazané
নৃতাত্ত্বিক	antropológ
দন্ড	tyčinky
দন্ড	paličky
দন্ড	palice
আর্নল্ড	arnold
দৌড়বাজী	atletike
লিন	lynn
লিন	lyn
লিন	oprieť
লিন	lin
ছাড়	zľavy
ছাড়	zľava
ছাড়	zľavu
ছাড়	zľavy
পনেরো	pätnástich
পনেরো	pätnásť
রবার্টস	roberts
ব্রেট	brett
ঘনিষ্ঠভাবে	úzko
ডলি	dolly
প্রাইড	pýcha
প্রাইড	hrdosť
প্রাইড	hrdosti
প্রাইড	pride
ভিলহেল্ম	wilhelm
ডায়ানা	diana
জোহানেসবার্গ	johannesburgu
ওম	ohm
সচিবালয়	sekretariátu
সচিবালয়	sekretariát
অন্তর্বর্তীকালীন	prechodný
অন্তর্বর্তীকালীন	prechodné
অন্তর্বর্তীকালীন	prechodná
শোনার	pojednávanie
শোনার	vypočúvanie
শোনার	sluch
শোনার	vypočutie
দরজার	dvere
দরজার	dverí
হোমস	holmes
হোমস	homs
দোকানের	shop
দোকানের	nakupovať
দোকানের	obchod
দোকানের	predajňa
সাও	são
সাও	sao
আইসল্যান্ড	island
মডার্ন	moderné
মডার্ন	moderný
মডার্ন	moderná
চতুর্থাংশ	štvrťrok
চতুর্থাংশ	štvrtina
তৎপরতা	činnosť
তৎপরতা	aktivity
তৎপরতা	aktivita
জুলিয়াস	julius
ভাতা	prídavky
ভাতা	kvóty
ভাতা	vreckové
ব্যাঙ্গালোর	bangalore
তাড়া	naháňať
তাড়া	chase
তাড়া	pristane
তাড়া	vyhovuje
তাড়া	obleky
উপসাগরীয়	zálive
উপসাগরীয়	záliv
উপসাগরীয়	priepasť
ইলেক্ট্রনিক্স	elektronika
ইলেক্ট্রনিক্স	elektroniky
পৌঁছায়	dosah
পৌঁছায়	reach
পৌঁছায়	dosiahnuť
এমবিএ	mba
কবরের	hrobov
কবরের	hroby
লিওনেল	lionel
স্বর্গের	neba
স্বর্গের	nebesá
স্বর্গের	nebo
সদস্যবৃন্দ	zapamätať
সদস্যবৃন্দ	pamätať
সদস্যবৃন্দ	pamätaj
সদস্যবৃন্দ	pamätajte
সদস্যবৃন্দ	poslanci
সদস্যবৃন্দ	členovia
সদস্যবৃন্দ	členov
অলংকার	ozdoby
ছাদের	streche
ছাদের	strecha
ছাদের	strechu
ডুবিয়ে	utopiť
ডুবিয়ে	utopila
ডুবিয়ে	utopil
উদ্যোগী	iniciatívu
উদ্যোগী	iniciatívy
উদ্যোগী	iniciatíva
চিরন্তন	večný
চিরন্তন	večná
চিরন্তন	večné
সত্বেও	navzdory
সত্বেও	napriek
লালা	lala
কানে	ucha
কানে	uchu
কানে	ucho
ইকুয়েডরের	ekvádorský
ম্যাথিউস	mathews
এসেক্স	essex
জাস্টিন	justin
জাস্টিন	justina
ফিশার	fisherová
ফিশার	fisher
ফিশার	rybár
ফিশার	pologuli
ফিশার	fischer
মাইক্রোসফটের	microsoft
জাম্প	skočiť
জাম্প	skok
জাম্প	skákať
জাম্প	preskočiť
বুলেট	strela
বুলেট	guľku
বুলেট	guľky
বুলেট	náboj
বুলেট	guľka
কঠোরভাবে	prísne
কঠোরভাবে	striktne
দেওয়ালে	steny
দেওয়ালে	múr
দেওয়ালে	wall
দেওয়ালে	stenu
দেওয়ালে	stene
দেওয়ালে	stena
যোদ্ধাদের	stíhačky
যোদ্ধাদের	bojovníci
যোদ্ধাদের	bojovníkov
আর্ল	earl
পাবলিশার্স	vydavateľov
সেলাই	šiť
সেলাই	šiť
সেলাই	šitie
সেলাই	stich
হজরত	hazrat
সুরা	surat
সুরা	súra
প্রোটোকল	protokolu
প্রোটোকল	protokol
প্রোটোকল	protokoly
প্রোটোকল	protokolov
সৃষ্টিকর্তা	stvoriteľ
সৃষ্টিকর্তা	tvorca
দোয়া	dua
সন্ত্রাসবাদ	terorizmus
যত্ন	staral
যত্ন	postarané
যত্ন	starala
যত্ন	záležalo
যত্ন	care
যত্ন	starostlivosti
যত্ন	starostlivosť
তাজিকিস্তান	tadžikistan
অনশন	nalačno
সুগার	cukor
সুগার	cukru
সুগার	cukrová
সুগার	sugar
মাননীয়	veličenstvo
মাননীয়	výsosť
ফান্ড	fondy
ফান্ড	fond
নির্মম	bezohľadné
নির্মম	bezohľadný
নির্মম	brutálne
নির্মম	brutálna
নির্মম	brutálny
নির্মম	brutal
নির্মম	brutálne
নির্মম	tvrdé
নির্মম	kruté
তন্তু	vlákien
তন্তু	vlákna
তন্তু	vlákna
মনি	mani
প্রবাদ	porekadlo
প্রবাদ	príslovie
বাটলার	butler
বাটলার	sluha
কৈশোর	dospievajúcich
কৈশোর	dospievanie
চিনতে	rozoznať
চিনতে	spoznal
চিনতে	rozpoznať
চিনতে	uznávať
চিনতে	rozpoznať
চিনতে	uznať
সাবান	mydlo
সাবান	mydla
স্বরধ্বনি	samohlásku
জেনিফার	jennifer
ক্ষেত্রগুলি	polia
ক্ষেত্রগুলি	políčka
ক্ষেত্রগুলি	polí
মরক্কো	maroko
সিরীয়	sýrskej
এভিনিউ	avenue
হকিং	hawking
অর্থহীন	nezmyselné
অর্থহীন	bezvýznamná
অর্থহীন	bezvýznamné
অর্থহীন	zbytočné
অর্থহীন	nepoužiteľné
অর্থহীন	zbytočná
অর্থহীন	zbytočný
অর্থহীন	nanič
পাখনা	krídla
পাখনা	wings
ক্রিশ্চিয়ান	kresťanský
ক্রিশ্চিয়ান	christian
ক্রিশ্চিয়ান	kresťanských
ক্রিশ্চিয়ান	kresťanské
ক্রিশ্চিয়ান	kresťan
ক্রিশ্চিয়ান	kresťanská
মাচু	machu
অভ্যর্থনা	prijímanie
অভ্যর্থনা	recepcia
অভ্যর্থনা	príjem
ট্রিপল	trojnásobok
ট্রিপল	triple
ইউরেশীয়	sluka
মস্তিষ্কে	mozgová
মস্তিষ্কে	mozog
মস্তিষ্কে	mozgu
পলায়ন	utiecť
নিঃসন্দেহে	nepochybne
নিঃসন্দেহে	bezpochyby
নিবিড়	intenzívna
নিবিড়	intenzívny
নিবিড়	intenzívne
প্রোডাকশন	produkciu
প্রোডাকশন	výroby
প্রোডাকশন	výroba
প্রোডাকশন	produkcia
খলিল	khalil
একনিষ্ঠ	vytrvalým
একনিষ্ঠ	venovaná
অ্যাঞ্জেলো	angelo
এলেন	ellen
ব্যাঙের	žaba
সম্ভাবনার	možností
সম্ভাবনার	možnosti
জিউস	zeus
আরেকটা	ďalšia
আরেকটা	ďalší
আরেকটা	iný
জুরিখ	zürich
জুরিখ	zurichu
বাহুর	ruky
বাহুর	ramená
বাহুর	zbraní
বাহুর	zbrane
মাইক্রো	mikro
বিভাজিত	zabalené
বিভাজিত	zabalený
ফ্লাওয়ার	kvet
ফ্লাওয়ার	kvietok
অভিযোজন	prispôsobenia
অভিযোজন	prispôsobenie
অভিযোজন	prispôsobovanie
স্থানাংক	koordinovať
স্থানাংক	súradnice
স্থানাংক	súradnice
ইব্রাহীম	ibrahim
ইব্রাহীম	abraham
কোমর	pás
কোমর	pása
উদ্বাস্তু	utečencov
উদ্বাস্তু	utečencom
উদ্বাস্তু	utečenci
বিপর্যয়ের	pohroma
বিপর্যয়ের	katastrofa
মোড	móde
মোড	režim
মোড	mód
কাঁকড়া	kraby
কাঁকড়া	krab
নিয়মাবলী	pravidlá
নিয়মাবলী	pravidlách
নিয়মাবলী	pravidiel
নিয়মাবলী	predpisy
নিয়মাবলী	pravidla
মায়ার	maya
গন্য	počty
গন্য	počíta
নেভিল	neville
শত্রুদের	nepriateľov
শত্রুদের	nepriateľom
শত্রুদের	nepriatelia
ভিড়	davy
ভিড়	dav
ভিড়	zástup
ভিড়	davu
ভিলা	vila
ভিলা	villa
গোসল	kúpeľ
গোসল	vaňa
কোটা	kvóty
কোটা	kota
টার্গেট	ciele
বাজেয়াপ্ত	zabavené
ফসফরাস	fosforu
ফসফরাস	fosfor
গোপনীয়তা	súkromie
গোপনীয়তা	súkromia
ইস্তানবুল	istanbule
পিতামাতা	rodičia
পিতামাতা	rodičmi
পিতামাতা	rodičov
পিতামাতা	rodičom
পিতামাতা	rodiča
পিতামাতা	materská
পিতামাতা	rodičovský
পিতামাতা	rodič
পিতামাতা	materskej
অবিচ্ছিন্ন	nepretržitá
অবিচ্ছিন্ন	priebežné
অবিচ্ছিন্ন	nepretržitý
অবিচ্ছিন্ন	nepretržité
নামগুলো	názvy
নামগুলো	mená
গ্রীষ্মকাল	summer
গ্রীষ্মকাল	letná
গ্রীষ্মকাল	leto
গ্রীষ্মকাল	letné
জাকার্তা	jakarte
হেল	hel
সিনেট	senátu
সিনেট	senát
টুইটার	twitter
টুইটার	twitteri
বাঁক	krivky
বরখাস্ত	vyhodili
বরখাস্ত	zamietol
বরখাস্ত	odvolaný
বরখাস্ত	zamietnuté
বরখাস্ত	prepustenie
বীরত্ব	hrdinstvo
যুগল	párik
যুগল	dvojica
যুগল	pár
জার	car
জার	džbány
লায়ন	leva
লায়ন	lev
অভিযোগের	obvinenia
অভিযোগের	obvinenie
অভিযোগের	odplaty
অভিযোগের	poplatky
ভাঙন	erózie
বাহামা	bahamy
ফিলিপস	philips
ফিলিপস	phillips
টুকরা	plátky
টুকরা	rezy
টুকরা	kusu
টুকরা	kus
টুকরা	kúsok
টুকরা	kusy
টুকরা	kúsky
টুকরা	kusov
বরাক	barak
অসুস্থতা	choroba
অসুস্থতা	ochorenie
অসুস্থতা	choroby
অসুস্থতা	ochorenia
অসুস্থতা	choroba
অসুস্থতা	ochorenie
অসুস্থতা	choroby
লাগানোর	výsadbu
লাগানোর	pestovanie
রহমত	zľutovanie
রহমত	milosrdenstvo
রহমত	milosť
সারের	kompost
কিথ	keith
দেওয়াল	steny
দেওয়াল	múr
দেওয়াল	wall
দেওয়াল	stenu
দেওয়াল	stene
দেওয়াল	stena
দেওয়াল	múry
দেওয়াল	steny
দেওয়াল	stien
নোভা	novu
নোভা	nova
অ্যাক্ট	čin
অ্যাক্ট	akt
অ্যাক্ট	act
অ্যাক্ট	konať
টহল	hliadka
কোস্টা	costa
লাইক	jako
লাইক	ako
লাইক	like
জুরি	jure
জুরি	porota
জুরি	porote
জুরি	poroty
পিঠা	koláč
পিঠা	torta
ডাটাবেস	databáz
ডাটাবেস	databázy
স্থানসমূহ	reštaurácie
স্থানসমূহ	miest
স্থানসমূহ	miesta
শার্লক	sherlock
জিনি	ginny
ডেঙ্গু	dengue
সি++	c++
স্পষ্টভাবে	určite
স্পষ্টভাবে	rozhodne
স্পষ্টভাবে	urcite
স্পষ্টভাবে	definitívne
স্পষ্টভাবে	jednoznačne
নিহিত	financovaný
নিহিত	financovaná
নিহিত	financoval
নিহিত	financované
পিটার্সবার্গ	petersburgu
শ্রোতাদের	poslucháčov
গোয়ার	goa
ঢোল	bubon
ঢোল	bicie
ঢোল	bubna
মন্ত্রনালয়	ministerstvo
মন্ত্রনালয়	ministerstvu
ভেজা	mokrý
ভেজা	mokré
ভেজা	mokrá
কুমির	krokodíl
খুনের	vrážd
খুনের	vraždy
খুনের	vraždiť
খুনের	vraždenie
খুনের	zavraždiť
খুনের	vražda
খুনের	vraždy
খুনের	vraždu
মিছিলে	sprievod
আর্কিটেকচার	architektúra
আর্কিটেকচার	architektúry
আর্কিটেকচার	architektúru
করন	karan
তেহরান	teheráne
তাপস	tapas
নিরস্ত্র	neozbrojený
নিরস্ত্র	odzbrojiť
প্রার্থীদের	záujemcovia
প্রার্থীদের	kandidáti
প্রার্থীদের	kandidátov
প্রার্থীদের	kandidátske
প্রার্থীদের	uchádzači
ম্যাজিক	magické
ম্যাজিক	magic
ম্যাজিক	čary
ম্যাজিক	mágia
ম্যাজিক	kúzlo
আগ্রাসন	agresiu
আগ্রাসন	agresie
পেনিসিলিন	penicilín
শাহীন	shaheen
রোমানদের	rimania
একশ	stoviek
একশ	hundred
একশ	sto
একশ	stovka
হোল	diery
হোল	diera
হোল	hole
ট্রানজিস্টর	tranzistor
স্প্রিং	prameň
স্প্রিং	jar
স্প্রিং	jarná
স্প্রিং	jaro
স্প্রিং	jarné
ক্রেইগ	craig
অর্থনৈতিকভাবে	hospodársky
অর্থনৈতিকভাবে	ekonomicky
কীট	hmyzu
কীট	hmyz
আদর্শে	ideály
মিগ	mig
সারসংক্ষেপ	prehľad
সারসংক্ষেপ	súhrn
সারসংক্ষেপ	zhrnutie
শিক্ষাগত	vzdelávacie
উদ্ভিদবিজ্ঞান	botanika
তাক	stojan
তাক	rack
তাক	police
সুড়ঙ্গ	tunela
সুড়ঙ্গ	tunel
সুড়ঙ্গ	tuneloch
সুড়ঙ্গ	tunely
সুড়ঙ্গ	tunelov
জুল	jules
যখনই	kedykoľvek
ফ্যাক্টর	činiteľ
ফ্যাক্টর	faktor
তুই	vy
তুই	si
তুই	ti
তুই	teba
তুই	ty
ডেল্টা	delta
লুসিয়া	lucia
চিত্রগ্রহণ	natáčanie
চিত্রগ্রহণ	natáčania
চিত্রগ্রহণ	natáčať
নৈতিকতা	etické
নৈতিকতা	etiky
নৈতিকতা	etiku
নৈতিকতা	morálny
নৈতিকতা	morálnu
নৈতিকতা	morálne
নৈতিকতা	morálka
নৈতিকতা	morálna
নৈতিকতা	morálky
নৈতিকতা	morálka
নৈতিকতা	morálku
নৈতিকতা	morálky
নৈতিকতা	morálka
রাজহাঁস	hus
গ্যালিলিও	galileo
গাদ্দাফি	kaddáfí
উষ্ণতা	teplo
শিল্পপতি	priemyselník
স্টকহোম	štokholmský
স্টকহোম	štokholmského
ভাবতে	myslis
ভাবতে	myslite
ভাবতে	myslieť
প্রসারণ	rozšírenie
প্রসারণ	rozšíriť
প্রসারণ	rozvinúť
প্রসারণ	predĺženie
প্রসারণ	rozšírenie
প্রসারণ	rozšírenia
আংটি	prsteň
আংটি	krúžok
আংটি	ring
আংটি	ringu
আংটি	kruhy
আংটি	prstene
আংটি	krúžky
পশ্চিমী	západný
পশ্চিমী	západnej
পশ্চিমী	západná
পশ্চিমী	western
পশ্চিমী	západné
কিড	decko
কিড	dieťa
কিড	kid
দিচ্ছে	rozdáva
দিচ্ছে	dávať
দিচ্ছে	dáva
উট	ťavy
উট	ťava
জামা	tričká
জামা	košele
জামা	trička
জামা	košeľa
জামা	trička
জামা	tričko
চাওয়া	chcieť
গ্রীষ্মের	summer
গ্রীষ্মের	letná
গ্রীষ্মের	leto
গ্রীষ্মের	letné
ইউয়ান	yuan
বাঁচতে	živé
বাঁচতে	ži
বাঁচতে	live
বাঁচতে	naživo
বাঁচতে	žiť
কলম্বাস	columbus
ট্যাঙ্ক	nádrž
ট্যাঙ্ক	tank
ট্যাঙ্ক	nádrže
ট্যাঙ্ক	tanky
ট্যাঙ্ক	cisterny
সুত্র	stopa
স্বাভাবিকভাবেই	prirodzene
ব্রিটানিকা	britannica
আরোগ্য	liečiť
আরোগ্য	vyliečiť
আরোগ্য	uzdravenie
আরোগ্য	liek
আরোগ্য	vyliečiť
আরোগ্য	liečenie
আরোগ্য	hojenia
কোকিল	kukučka
ক্রোয়েশীয়	chorvátska
হতাশ	frustrovaný
হতাশ	sklamaní
হতাশ	sklamanie
হতাশ	sklamaný
হতাশ	sklamaná
উত্পাদন	výroba
উত্পাদন	produkciu
উত্পাদন	výroby
উত্পাদন	výroba
উত্পাদন	produkcia
উত্পাদন	výrobné
উত্পাদন	výroby
উত্পাদন	výroba
উত্পাদন	výrobný
অযোগ্য	nevhodné
অযোগ্য	nevhodný
অযোগ্য	neoprávnené
তেরেসা	teresa
তেরেসা	tereza
ফাতিমা	fatima
ক্রিসেন্ট	polmesiaca
ভিক্ষুদের	mníchov
ভিক্ষুদের	mnísi
নেচার	priroda
নেচার	prírodu
নেচার	povaha
নেচার	príroda
নেচার	charakter
প্লাটুন	čata
লিখুন	píšte
লিখুন	písať
লিখুন	napísať
লিখুন	napíšte
লিখুন	píš
লিখুন	napíš
লিখুন	vstúpiť
লিখুন	zadajte
মরিশাস	maurícius
ফাঁদ	vymazať
ফাঁদ	pasce
ফাঁদ	uväzniť
ফাঁদ	pasca
ফাঁদ	pasce
গ্যালারী	galérie
বোস্টন	boston
বোস্টন	bostonu
বোস্টন	bostone
সুইফট	swift
অপশন	moznosti
অপশন	voľby
অপশন	opcie
অপশন	možnosti
