न्यायाधीशों	நீதிபதிகள்
चैत्र	சித்திரை
एथलेटिक्स	athletics
तैराकी	நீச்சல்
हक	ஹக்
हक	ஹக்
चिट्ठा	வலைப்பதிவு
चिट्ठा	வலைப்பூ
ठंड	குளிரில்
ठंड	சளி
ठंड	ஜலதோஷம்
ठंड	குளிர்
चूहे	எலிகள்
लीड	ஈயம்
लीड	லீட்
नेहरु	நேரு
पंकज	பங்கஜ்
संवेदना	இரங்கல்கள்
संवेदना	இரங்கல்
सॉफ़्टवेयर	மென்பொருள்
महेन्द्र	மகேந்திர
बमबारी	குண்டு
बमबारी	வெடிகுண்டு
कीड़े	புழுக்கள்
कठपुतली	கைப்பாவை
ग्रीनहाउस	பைங்குடில்
कैम्प	முகாம்
कैम्प	முகாம்கள்
किस्में	கற்றை
किस्में	பல்வேறு
विषाक्तता	poisoning
सम्मेलनों	மாநாடுகள்
चिंतित	ஆவலாக
चिंतित	சம்பந்தப்பட்ட
चिंतित	கவலை
चिंतित	கவலையாக
छुटकारा	தவிக்கும்
जॉर्डन	ஜோர்டான்
मनीष	மனிஷ்
विधिक	சட்டம்
विधिक	சட்ட
विधिक	சட்டப்பூர்வமான
असुरक्षित	பாதுகாப்பற்ற
वृन्दावन	பிருந்தாவனம்
रेखीय	நேரான
रेखीय	நேரியல்
शहद	தேன்
अम्लीय	அமில
ऑपरेटर	ஆபரேட்டர்
ऑपरेटर	ஆப்பரேட்டர்கள்
नल	திருப்பப்பட்டது
प्रेसीडेंसी	பிரசிடென்சி
कुक	குக்
मनी	பணம்
मनी	பணத்தை
मनी	மணி
चढ़	துரு
सेक्टर	sectors
महासागरीय	ஓசியானியா
क्रियाशील	இயங்கும்
क्रियाशील	செயல்பாட்டில்
क्रियाशील	செயலில்
क्रियाशील	செயல்படும்
क्रियाशील	பெயரடை
बैठकों	சந்திப்புகள்
बैठकों	கூட்டங்கள்
भट्ठी	உலைக்களம்
कारें	கார்கள்
क्योकि	ஏனென்றால்
क्योकि	ஏனெனில்
सभ्य	சுமாராக
सभ्य	ஒழுக்கமான
विकलांगता	இயலாமை
नोट्स	குறிப்புகள்
विलास	விலாஸ்
सहारनपुर	சகாரன்பூர்
कहें	சொல்ல
कहें	சொல்
कहें	சொல்லி
कहें	சொல்லும்
सुधीर	சுதிர்
एव	ave
एव	மரியே
सामी	சாமி
तिरुपति	திருப்பதி
धर्मशास्त्र	இறையியல்
आर्क	ஆர்க்
ट्रम्प	டிரம்ப்
यीशु	இயேசுவே
यीशु	ஏசு
यीशु	இயேசு
चश्मे	கண்ணாடிகள்
चश्मे	கண்ணாடியை
चश्मे	கண்ணாடி
एक्यूपंक्चर	அக்குபஞ்சர்
प्लूटो	புளூட்டோ
डेनियल	டேனியல்
डेनियल	டானியல்
डेनियल	ஆண்மகன்
पैरिस	பாரிஸ்
कामयाबी	வெற்றி
कामयाबी	வெற்றியை
प्रोटोटाइप	prototype
सिलसिले	சைலஸ்
फर्क	வேறுபாடு
फर्क	வித்தியாசம்
फर्क	மாறுபாடு
इयान	இயன்
भयभीत	பயமாக
भयभीत	பயம்
भयभीत	பயந்து
भयभीत	அதிர்ச்சியாக
भयभीत	அச்சம்
भयभीत	பயம்
वसूली	மீட்டெடுப்பு
वसूली	மீட்பு
मौन	முடக்கு
मौन	மௌனம்
डिप्लोमा	பட்டயம்
डिप्लोमा	diploma
घटा	குறைந்துள்ளது
घटा	குறை
पॉइंट	புள்ளிகள்
पॉइंट	புள்ளி
त्वरण	முடுக்கம்
जमैका	ஜமைக்கா
स्केल	அளவுகோல்
स्केल	அளவு
मुंशी	முன்ஷி
मक्खन	வெண்ணை
मक्खन	பட்டர்
मक्खन	வெண்ணெய்
साम्राज्यवाद	பேரரசுவாதம்
सूत	பஞ்சு
सूत	காட்டன்
सूत	பருத்தி
इज़राइल	இஸ்ரேல்
वैधता	validity
वैधता	முறையான
अनन्य	பிரத்யேக
मिथक	கட்டுக்கதை
श्रृंगार	ஒப்பனை
अर्ल	ஏர்ல்
वेदान्त	வேதாந்த
आवंटित	ஒதுக்கப்பட்டிருக்கும்
निर्देशिका	அடைவு
निर्देशिका	அடைவுகள்
आंग्ल	ஆங்கிலோ
समता	சமத்துவம்
एवेन्यू	அவென்யூ
बेरोजगारी	வேலைவாய்ப்பின்மை
लत	போதையில்
लत	போதை
लत	போதைக்கு
जुर्माना	நலம்
जुर्माना	நலமாக
जुर्माना	நன்றாக
पूर्णता	நிறைவு
ओमान	ஓமன்
मार्केटिंग	சந்தைப்படுத்துதல்
मार्केटिंग	மார்க்கெட்டிங்
मार्केटिंग	விற்பனை
मार्केटिंग	சந்தைப்படுத்தல்
पीड़ितों	பாதிக்கப்பட்டவர்கள்
बादलों	மேகங்கள்
चतुर्भुज	நாற்கரம்
चतुर्भुज	நீள்சதுரம்
चीता	சிவிங்கிப்புலி
मूक	அமைதியாக
मूक	அமைதி
मूक	முடக்கு
लीन	லின்
प्रतिभाशाली	மேதை
प्रतिभाशाली	திறமையான
प्रतिभाशाली	திறமை
पनीर	சீஸ்
पनीर	பன்னீர்
मालवीय	மாளவியா
स्मार्ट	ஸ்மார்ட்
स्मार्ट	புத்தி
स्मार्ट	சூட்டிகை
स्मार्ट	புத்திசாலி
नियोक्ता	நிறுவனம்
मैडोना	மடோனா
बराक	பராக்
बराक	பராக்
चमकदार	பளபளக்கும்
नाड़ी	பல்ஸ்
कादर	காதர்
स्पीकर	ஒலிபெருக்கி
स्पीकर	பேச்சாளர்
गैसें	வாயுக்கள்
सहभागिता	நிச்சயதார்த்தம்
सहभागिता	ஈடுபாடு
सहभागिता	முடியுமா
सहभागिता	உரையாடல்
यों	பிளாங்
गतिविधियाँ	செயற்பாடுகள்
गतिविधियाँ	நடவடிக்கைகள்
इसराइल	இஸ்ரேல்
वाट	வாட்
वाट	வாட்
कच्छ	கட்ச்
कोच्चि	கொச்சி
कृषक	விவசாயிகள்
ब्राउजर	உலாவி
गुदा	anal
वैश्य	வைசியர்
मूर्तिकला	சிற்பம்
शाश्वत	நித்திய
वैश्वीकरण	உலகமயமாதல்
पूना	பூனா
बैग	bag
बैग	பை
बैग	பைகள்
बैग	பைகளை
नर्तक	dancer
ग्लूकोज	குளுக்கோஸ்
नीतियाँ	கொள்கைகள்
प्रतिभागियों	பங்கேற்பாளர்கள்
दत्ता	தாடா
दत्ता	தத்தா
दत्ता	தத்தா
आपरेशन	செயல்
आपरेशन	இயக்கம்
आपरेशन	செயல்பாடு
ब्रॉडबैंड	பிராட்பேண்ட்
मैनुअल	கைமுறையாக
मैनुअल	கையேடு
मैनुअल	கைமுறை
दर्जन	டஜன்
सस्ती	மலிவு
सस्ती	மலிவான
गन्ना	கரும்பு
रणवीर	ரன்வீர்
पोषित	உளர்
वासुदेव	வாசுதேவ்
स्याही	மை
रॉस	ரோஸ்
रॉस	ராஸ்
परम्पराओं	மரபுகள்
पूछे	கேட்டேன்
पूछे	கேட்கப்பட்டது
पूछे	கேட்டார்
पूछे	கேட்டாள்
सेब	ஆப்பிள்
रो	அழுது
रो	அழுகை
रो	அழும்
पुस्तकालयों	நூலகங்கள்
पुस्तकालयों	நூலகம்
बालाजी	பாலாஜி
बहनों	சகோதரிகளே
बहनों	சகோதரிகள்
बहनों	சகோதரிகளின்
अश्लील	ஆபாச
आपात	அவசர
नामीबिया	நமிபியா
स्त्रियाँ	பெண்களுக்கு
स्त्रियाँ	பெண்களாக
स्त्रियाँ	பெண்கள்
एनी	ஆனி
मामा	மாமா
मामा	சித்தப்பா
मामा	மாமா
मामा	மாமன்
रूपांतर	பல்கேரிய
नगरीय	நகர்ப்புற
जैकी	ஜாக்கி
क्रोधित	ஆவேசமாக
क्रोधित	பியூரியஸ்
क्रोधित	கோபம்
क्रोधित	கோபமாக
तात्कालिक	அவசரம்
तात्कालिक	உடனடி
कमांड	கட்டளைகள்
कमांड	ஆணை
कमांड	கட்டளையை
कमांड	உத்தரவு
कमांड	கட்டளை
कोबेन	கோபேன்
विवेकानन्द	விவேகானந்தர்
धोनी	தோனி
बुराई	தீய
बुराई	தீமைகள்
बुराई	தீங்கு
टाइपिंग	தட்டச்சு
दशमलव	பதின்ம
काई	காய்
क्रूर	கொடூரமான
क्रूर	கொடூரமான
जोनाथन	ஜொனாதன்
गोपीनाथ	கோபிநாத்
फ्लाइट	விமானம்
मीणा	மீனா
सैर	நடைபயணம்
सैर	நட
सैर	நடை
सैर	நடக்க
कैनेडी	கென்னடி
टाई	டை
अनुवादित	மொழிபெயர்க்கப்பட்டது
इंजीनियरों	பொறியாளர்கள்
धनबाद	தன்பாத்
गा	பாடு
गा	பாடுங்கள்
गा	பாட
गा	பாடவும்
पूछताछ	விசாரணை
पूछताछ	விசாரணைகள்
सर्पिल	சுழற்சி
सर्पिल	சுழல்
गवाही	சாட்சி
गवाही	சாட்சியம்
गवाही	சான்று
वॉकर	வாக்கர்
लेआउट	உருவரை
कैदियों	கைதி
कैदियों	கைதிகள்
अरविंद	அரவிந்த்
अरविंद	அரவிந்த்
फिजी	பிஜி
हुक	கொக்கி
रिटर्न	காட்டும்
रिटर्न	திரும்ப
प्लैटिनम	பிளாட்டினம்
फिल	ஃபில்
फिलीपींस	பிலிப்பைன்ஸ்
दीवारें	சுவர்களில்
दीवारें	சுவர்கள்
मुंडे	முண்டே
लोकमान्य	லோகமானிய
सपाट	தட்டை
सपाट	தட்டையான
नक़ल	நகல்
नक़ल	பிரதிகள்
मुरलीधरन	முரளிதரன்
फ्रेमवर्क	கட்டமைப்பை
फ्रेमवर्क	வார்ப்பு
देशभक्ति	தேசபக்தி
केन्या	கென்யா
बर्बाद	கழிவு
बिड़ला	பிர்லா
कस्टम	சுங்க
कस्टम	விருப்பப்படி
कस्टम	தனிப்பயன்
कस्टम	வழக்கம்
कस्टम	ஆயத்த
शेन	ஷேன்
असीम	அசிம்
असीम	முடிவில்லா
कोलेस्ट्रॉल	கொலஸ்ட்ரால்
दांते	டான்டே
सीबीआई	cbi
किंगफिशर	கொத்தி
बगीचे	தோட்டத்தில்
बगीचे	தோட்டம்
मुराद	முராத்
ईमान	நம்பிக்கை
भट्टी	உலைக்களம்
पोटैशियम	பொட்டாசியம்
केली	கெல்லி
लोकगीत	நாட்டாரியல்
सर्बिया	செர்பியா
सर्बिया	காரணமானவர்
धर्मनिरपेक्ष	மதச்சார்பற்ற
दृष्टिगोचर	காணக்கூடியது
दृष्टिगोचर	தெரியும்
दूरभाष	தொலைபேசி
शेंगेन	ஷெங்கன்
दुल्हन	மணமகள்
दुल्हन	மணப்பெண்
आंत्र	டைஃபாய்டு
ओबेरॉय	ஓபராய்
जस्ता	துத்தநாக
उड़	பறந்து
उड़	பறக்க
माली	மாலத்தீவு
माली	மாலி
परियोजनाएं	திட்டங்கள்
सिएटल	சியாட்டில்
जन्मस्थान	birthplace
प्रिया	ப்ரியா
प्रिया	பிரியா
टायर	டயர்கள்
टायर	டயர்கள்
टायर	டயர்
टायर	டயர்
बाँस	மூங்கில்
रोहिणी	ரோகிணி
अठारह	பதினெட்டு
उत्खनन	அகழ்வாராய்ச்சி
उन्नयन	மேம்படுத்தவும்
उन्नयन	மேம்படுத்து
पेंशन	ஓய்வூதியம்
गरिमा	கண்ணியம்
गरिमा	கண்ணியத்தை
बताना	சொல்லு
बताना	சொல்
सिलेंडर	வேகத்தோடு
मैक्सिकन	மெக்சிகன்
देशो	நாடுகள்
खोपड़ी	மண்டை
कोलम्बिया	கொலம்பியா
छत्रपति	சத்ரபதி
पट्टिका	பேலட்
कैसा	எவ்வாறு
कैसा	எப்படி
कैसा	எப்படிக்
स्टीवन	ஸ்டீவன்
टेल	வால்
टेल	வாலை
बालिका	பாலிகா
सूर्योदय	உதயம்
रणनीतिक	மூலோபாய
रीड	ரீட்
इसरो	isro
एमी	ஆமி
एमी	ஏமி
एमी	எம்மி
रवीन्द्र	ரவீந்திர
प्लेटो	பிளேட்டோ
मीन	மீனம்
कनाडाई	கனடிய
कनाडाई	கனேடிய
रिसाव	கசிவு
निषिद्ध	தடுக்கப்பட்டு
सेम	பீன்
सेम	மொச்சை
सेम	பீன்ஸ்
इटावा	இட்டாவா
रॉन	ரான்
वैद्य	வைத்யா
बरसात	குளிக்க
बरसात	மழை
बरसात	மழை
बनर्जी	பானர்ஜி
इंटेल	இன்டெல்
फास्ट	வேகம்
फास्ट	விரைவாக
फास्ट	வேகமாக
फास्ट	விரைவான
फास्ट	வேகமானது
फास्ट	விரைவானது
यथार्थवाद	நிஜம்
मोहित	மோஹித்
बाह	bah
तालिबान	தாலிபான்
नेताजी	நேதாஜி
दर्शनशास्त्र	மெய்யியல்
दर्शनशास्त्र	தத்துவம்
स्वादिष्ट	சுவையான
स्वादिष्ट	சுவையானது
स्वादिष्ट	அற்புதம்
स्वादिष्ट	ருசி
स्वादिष्ट	சுவையான
ज्वाला	சுடர்
ईंटों	செங்கல்
कर्ज	கடன்
कर्ज	கடனை
सलाद	சாலட்
जलन	பொறாமை
जलन	அழற்சி
जलन	எரிச்சல்
शौकिया	அமெச்சூர்
अनूठा	அதிவேக
अनूठा	தள்ளியிருக்கும்
अनूठा	தனித்துவம்
अनूठा	தனிப்பட்ட
कैरी	கேரி
पहेली	புதிர்களின்
पहेली	புதிர்
पहेली	எனிக்மா
चादर	சால்வை
चादर	தாள்
जामा	ஜமா
नासिक	நாசிக்
फ्रैंकलिन	ஃப்ராங்க்ளின்
सेकेंड	விநாடிகள்
सेकेंड	நொடிகள்
सेकेंड	வினாடிகள்
सेकेंड	வினாடி
सेकेंड	இரண்டாம்
सेकेंड	இரண்டாவது
चढ़ाव	தாழ
मानविकी	மனிதநேயம்
प्रवीण	praveen
महापौर	மேயர்
आयताकार	நீள்சதுரம்
आयताकार	நீள்சதுர
प्रस्तावना	அறிமுகம்
मैनहटन	மன்ஹாட்டன்
मॉरीशस	மொரிஷியஸ்
मॉरीशस	மொரிசியசு
लावा	லாவா
बाधाओं	தடைகள்
परिधान	உடையில்
परिधान	ஆடை
परिधान	உடை
परिधान	உடுப்பு
परिधान	ஆடை
गोलीबारी	shootout
गोलीबारी	நடிப்பது
गोलीबारी	படப்பிடிப்பு
जग	உலகம்
जग	உலக
जग	உலகமே
जग	ஜக்
पम्प	பம்ப்
बायर	பேயர்
नाल	naal
नाल	லாட
पवित्रता	தூய்மை
रोचेस्टर	உரோச்சட்டர்
मुलाक़ात	hangout
डोनाल्ड	டொனால்ட்
रमन	இராமன்
रमन	ராமன்
सीढ़ी	ஏணி
पटियाला	பாட்டியாலா
प्रतिकृति	தோரணம்
ताड़	உள்ளங்கை
ताड़	பாம்
ताड़	பனை
कार्टर	கார்டர்
कार्टर	கார்ட்டர்
सिरदर्द	தலைவலி
उपनिवेशवाद	காலனி
सैंडविच	சாண்ட்விச்
चिप्स	சிப்ஸ்
चन्द	நிலவே
चन्द	சந்த்
उद्योगपति	தொழிலதிபர்
विधियां	முறைகள்
दार्जिलिंग	டார்ஜிலிங்
टिहरी	டெஃறி
शैतान	பிசாசு
शैतान	பேய்
शैतान	சைத்தான்
शैतान	சாத்தான்
नैनोट्यूब	நானோகுழாய்
शीट	தாள்
शीट	தாள்கள்
शीट	தாள்
उद्धार	மீட்பு
पैकेजिंग	பேக்கேஜிங்
शरीफ	ஷெரீப்
बिस्तर	படுக்கையில்
बिस्तर	படுக்கை
बिस्तर	கட்டில்
बोल्ट	போல்ட்
बोल्ट	bolt
गुम्बद	டோம்
सेवानिवृत्ति	ஓய்வு
सेवानिवृत्ति	ஓய்வை
जश्न	கொண்டாட்டங்கள்
जश्न	கொண்டாட்டம்
नोबल	நோபல்
टायसन	டைசன்
लहरों	அலைகள்
लहरों	அலை
टंडन	டாண்டன்
सीसा	ஈயம்
सीसा	லீட்
तना	ஸ்டெம்
तना	தண்டு
सदाबहार	பசுமையான
कंकाल	எலும்புக்கூடு
नाइट्राइट	நைத்திரைற்று
समीर	சமீர்
तांबे	செம்பு
तांबे	தாமிரம்
तांबे	காப்பர்
तांबे	செப்பு
जिन्ना	ஜின்னா
फेरारी	ஃபெராரி
माईस्पेस	மைஸ்பேஸ்
एमआईटी	mit
संभावनाओं	சாத்தியங்கள்
केक	கேக்
अन्याय	அநீதி
अन्याय	அநீதிக்கு
अनुसूची	திட்டமிடுதல்
अनुसूची	அட்டவணை
सेठी	சேதி
एनिमेशन	அசைவூட்டம்
देखो	பார்
देखो	தோற்றம்
इंतजार	காத்திரு
हिम्मत	தைரியம்
हिम्मत	துணிச்சல்
प्रमाणपत्र	சான்றிதழ்கள்
प्रमाणपत्र	சான்றிதழ்கள்
प्रमाणपत्र	சான்றிதழ்
सत्रहवीं	seventeenth
असमानता	ஏற்றத்தாழ்வு
झांसी	ஜான்சி
आमदनी	வருவாய்
आमदनी	வருமானம்
टिन	தகர
टिन	டின்
चारा	தீவனம்
चारा	தூண்டில்
ओलिवर	ஆலிவர்
घनी	தடித்த
घनी	தடிமனான
घनी	அழுத்தமான
एस्पिरिन	ஆஸ்பிரின்
जनजातीय	பழங்குடி
जनजातीय	பழங்குடிகள்
सोर्स	மூலம்
सोर्स	ஆதாரம்
पीर	பீர்
विश्लेषक	ஆய்வாளர்
नीम	வேம்பு
नीम	வேப்ப
अनुराग	அனுராக்
चेल्सी	செல்சியா
इच्छाओं	இவ்வுலகின்
रिश्तों	உறவுமுறைகள்
रिश्तों	உறவுகளை
रिश्तों	உறவுகள்
संन्यास	ஓய்வு
संन्यास	ஓய்வை
पुनर्वास	மறுவாழ்வு
प्रोसेसर	ஆக்கி
स्ट्रीम	ஸ்ட்ரீம்கள்
स्ट्रीम	ஓடை
स्ट्रीम	ஸ்ட்ரீம்
वक्तव्य	கூற்று
वक्तव्य	அறிக்கை
मुमताज़	மும்தாஜ்
जालंधर	ஜலந்தர்
कोंकणी	கொங்கணி
कृत्यों	செயல்கூறு
कृत्यों	செயற்பாடுகள்
बारहवीं	xii
नागराज	நாகராஜ்
स्टुअर्ट	ஸ்டுவர்ட்
अचार	ஊறுகாய்
प्रदाताओं	வழங்குவோர்
शर्तें	நிபந்தனைகள்
शर्तें	விதிமுறைகளை
शर्तें	விதிகள்
शर्तें	விதிமுறைகள்
मॉड्यूल	தொகுதி
मॉड्यूल	பாகம்
मॉड्यूल	கூறு
हिरण	மான்
सईद	சயீத்
प्रेषित	அனுப்பிய
प्रेषित	அனுப்பி
प्रेषित	அனுப்பப்பட்டது
प्रेषित	அனுப்பியது
ज़िन्दगी	ஜிந்தகி
ज़िन्दगी	வாழ்க்கை
ज़िन्दगी	உயிர்
ज़िन्दगी	ஆயுள்
बॉय	பாய்
बॉय	சிறுவன்
बॉय	பையன்
बॉय	பையா
हजरत	ஹஸ்ரத்
हजरत	ஹஜ்ரத்
इब्राहिम	இப்ராஹிம்
इब्राहिम	இப்ராஹீம்
इब्राहिम	இப்ராகிம்
कार्लो	கார்லோ
चावला	சாவ்லா
तपेदिक	காசநோய்
पुर	புர்
फिल्मफेयर	பிலிம்பேர்
वीजा	விசா
बैनर	பேனர்கள்
बैनर	பதாகை
बैनर	பேனர்
याहू	யாஹூ
बुजुर्ग	வயதான
वेदी	பீடம்
उत्साहित	உற்சாகமாக
नन्द	nand
रिले	ரிலே
चुनौतियों	சவால்கள்
खासी	காசி
बर्मन	பர்மன்
अनवर	அன்வர்
देवगन	தேவ்கன்
फर्ग्यूसन	ferguson
हालात	சூழ்நிலையில்
हालात	சூழ்நிலை
हालात	நிலைமை
भैंस	எருமை
इस्लामाबाद	இஸ்லாமாபாத்
लेनिन	லெனின்
समाचारपत्र	செய்தித்தாள்
समाचारपत्र	நாளிதழ்
रनवे	ஓடுபாதை
तरुण	தருண்
सफ़र	பயணத்தில்
सफ़र	பயணத்தை
सफ़र	பயணம்
खींचा	ட்ரூ
सल्फर	கந்தக
सल्फर	சல்பர்
स्क्वैश	ஸ்குவாஷ்
लॉक	லாக்
लॉक	பூட்டு
एबीसी	abc
वाल्टर	வால்டர்
डाकू	கொள்ளையடிக்கும்
पीएचडी	phd
पीएचडी	முனைவர்
फ़ुटबॉल	கால்பந்து
गॉर्डन	கோர்டன்
बांस	மூங்கில்
वाटसन	வாட்சன்
सहिष्णुता	சகிப்புத்தன்மை
लूथर	லூதர்
परिपक्वता	முதிர்ச்சி
निरंतरता	ஓவியங்களுக்கு
पनामा	பனாமா
लॉरेंस	லாரன்ஸ்
हिरासत	பாதுகாப்பில்
गणपति	கணபதி
गणपति	கணபதி
लड़	போராடும்
लड़	சண்டையிடும்
लड़	சண்டை
लड़	போராடுகிறது
गुणात्मक	qualitative
बौना	குள்ள
रेखाचित्र	வரைதல்
स्वदेश	தேசம்
सुपरमैन	சூப்பர்மேன்
बुल	புல்டாக்
बुल	காளை
धब्बे	ஒட்டு
धब्बे	வெள்ளத்தை
निक	நிக்
पीढी	தலைமுறை
माउस	சுட்டி
माउस	எலி
माउस	சொடுக்கி
क्राउन	கிரீடம்
साड़ी	புடவை
साड़ी	சேலை
साड़ी	சேலையை
साड़ी	புடவை
बहुमुखी	பெருக்கல்
बहुमुखी	பல
बहुमुखी	பல்துறை
पहियों	wta
पहियों	சக்கரங்கள்
स्पीयर्स	ஸ்பியர்ஸ்
बहू	மணமகள்
बहू	மணப்பெண்
वेबसाइटों	வலைத்தளங்கள்
वेबसाइटों	இணையதளங்கள்
छठा	ஆறாவது
स्पा	ஸ்பா
स्पा	ஸ்பாக்கள்
मातृभूमि	தாயகம்
मातृभूमि	தாய்நாடு
पनडुब्बी	நீர்மூழ்கி
काउंटर	எண்ணி
काउंटर	கவுண்டர்
शौक	பொழுதுபோக்கு
शौक	பொழுதுபோக்குகள்
निचला	கீழ்
निचला	கீழ்நிலை
वानर	ape
नौकर	வேலைக்காரன்
बोवी	போவி
अफगान	ஆப்கான்
दोहा	தோஹா
राजमहल	அரண்மனை
बसों	பேருந்துகள்
मॉर्गन	மோர்கன்
रसेल	ரஸ்ஸல்
क्राइस्ट	கிறிஸ்துவை
क्राइस्ट	கிறிஸ்து
प्रायोजक	ஸ்பான்சர்
ब्रिगेड	பிரிகேட்
पॉलिसी	கொள்கை
जोरदार	மீது
अल्फ्रेड	அல்பிரட்
दाखिल	தாக்கல்
वेल्श	வெல்ஷ்
वेल्श	பிரெய்லி
कराटे	கராத்தே
ग्रंथियों	நனை
ट्रैफिक	டிராஃபிக்
सिखाया	கற்றுக்
लिबरल	சுதந்திரமான
लिबरल	தாராளவாத
खंडहर	கழிவுகள்
कर्क	கடகம்
कर्क	புற்றுநோய்
लामा	லாமா
लेज़र	லேசர்
बाइबल	பைபிள்
बाइबल	பைபிளில்
क्रमांक	எண்ணி
क्रमांक	எண்
क्रमांक	எண்ணை
झाँसी	ஜான்சி
धक्का	தள்ளு
धक्का	புஷ்
आविष्कारक	கண்டுபிடிப்பாளர்
गोपनीय	இரகசியம்
गोपनीय	ரகசிய
गोपनीय	ரகசியம்
गोपनीय	சீக்ரெட்
गोपनीय	ரகசியமாக
गोपनीय	இரகசியம்
गोपनीय	நம்பகமான
स्थलीय	புவிப்புறத்
कब्रिस्तान	கல்லறை
कब्रिस्तान	மயானம்
राहु	ராகு
मैनपुरी	மைன்புரி
बुल्गारिया	பல்கேரியா
पासपोर्ट	பாஸ்போர்ட்
पासपोर्ट	கடவுச்சீட்டு
प्रज्ञा	உளவுத்துறை
प्रज्ञा	புலனாய்வு
प्रज्ञा	நுண்ணறிவு
बेशक	நிச்சயமாக
बेशक	நிச்சயமாக
आइसलैंड	ஐஸ்லாந்து
प्रमाणीकरण	உரிமம்
प्रमाणीकरण	அணுகல்
टोयोटा	டொயோட்டா
ब्लाक	தடு
सत्यापन	சரிபார்
सत्यापन	உரிமம்
सत्यापन	அணுகல்
रेशों	பட்டு
रेशों	சில்க்
वृहद	அதிகமான
ग्रैमी	கிராமி
बीट	துடிப்பு
इमेजिंग	இமேஜிங்
लटका	தொங்க
कैटरीना	கத்ரீனா
डिस्ट्रिक्ट	மாவட்ட
डिस्ट्रिक्ट	மாவட்டம்
काठमांडू	காத்மாண்டு
अरोड़ा	அரோரா
सीखना	கற்றல்
डॉक्टरों	மருத்துவர்கள்
पक्का	sure
पक्का	உறுதியாக
पक्का	நிச்சயமாக
पक्का	கண்டிப்பாக
गला	தொண்டை
गला	கழுத்தில்
गला	கழுத்து
हैदर	ஹைதர்
सुगमता	அணுகல்
स्ट्रॉस	ஸ்ட்ராஸ்
गार्सिया	கார்சியா
निद्रा	தூக்கம்
निद्रा	தூக்கத்தை
निद्रा	உறக்கம்
निद्रा	உறங்கும்
बहाने	புகழ்
एक्सप्लोरर	துருவி
छल	தொந்தரவு
छल	துன்புறுத்தல்
आलम	ஆலம்
बिज़नेस	தொழில்
बिज़नेस	வணிகம்
