کرالا	kerala
گامبیا	gambia
هور	hur
سوماترا	sumatra
فریده	farida
درسدن	dresden
کوزه	lọ
کوزه	jar
فرابنفش	ultraviolet
دوزخ	thoa
دروغین	sai
دروغین	giả
#فهرست	#danh
گالیله	galileo
الکسی	alexei
الکسی	aleksey
هاو	hoắc
هاو	hào
هاو	hao
هاو	hách
هاو	hảo
هاو	hạo
هاو	howe
دیانا	deanna
مارتینز	martinez
پروفایل	sơ
شربت	juice
الوار	plank
الوار	timber
میوسن	miocene
ولوو	volvo
سیگما	sigma
برک	burke
دلم	thèm
آیچی	aichi
آبجو	beer
آبجو	bia
مات	matte
مات	mott
مات	bastard
مات	mutt
کارآفرینی	entrepreneurship
بطری	lọ
بطری	chai
بطری	chai
کلئوپاترا	cleopatra
ذغال	than
شاپرک	moth
شاپرک	agdistis
اورتن	orton
مفعول	dưới
مفعول	bậc
مفعول	đáy
مفعول	bottom
کرمی	giun
کرمی	worm
اروین	erwin
اروین	irwin
ضربان	nhịp
ضربان	mạch
آیینه	gương
آیینه	mirror
کفر	infidelity
کفر	kafr
مالکی	maliki
حلزون	ốc
دانوب	danube
دانوب	donau
دانوب	donau
فاسد	thúi
نسرین	nasrin
ابرها	mây
نویسه	char
نایل	niall
چسب	keo
چسب	keo
سیلویا	silvia
سیلویا	sylvia
اویلر	euler
تعویق	hoãn
لفظی	literal
کلینیک	clinic
پیشگویی	prophecy
قولی	hứa
یزدانی	yazdani
مردانی	hãm
سیکورسکی	sikorski
سیکورسکی	sikorsky
آریل	ariel
لینچ	lynch
شیرهای	lions
حداد	haddad
ترامپ	trump
ولیعصر	vali
فارنهایت	fahrenheit
خردمند	wise
اژه	aegean
معاینه	thi
ساسان	sasan
مگابایت	mib
هرمس	hermes
هضم	hoá
شالکه	schalke
جنگها	war
دجله	tigris
پالایه	lọc
سوت	còi
سوت	sáo
جامه	bọc
بسی	bessie
بالگردگاه	blm
آنتیگوا	antigua
استیونز	stevens
مگی	maggie
آمپر	ampère
میگوید	nói
آروشا	arusha
همراهان	entourage
خاویر	xavier
کابوس	mộng
مازاد	thụ
لیام	liam
سیری	siri
داکوتا	dakota
آرمانی	armani
کپلر	kepler
کانارا	kannada
فواید	lợi
جلیلی	galilean
دهها	chục
دنور	denver
تجلی	epiphany
رودها	màng
رودها	sông
رودها	rivers
سوئیفت	yến
سوئیفت	swift
آمینو	amino
روت	ruth
خوشی	joy
مورچه	kiến
مورچه	kiến
کاکس	cox
چستر	chester
اختر	akhtar
ناز	naz
ناز	ngoan
ناز	cute
ناز	thương
ناز	bliss
باغچه	vườn
باغچه	garden
جوانه	mầm
فاینال	final
الکساندرا	alexandra
میسون	mason
سانتاندر	santander
الگوریتمی	algorithmic
سفالی	gốm
آریانا	arianna
آریانا	ariana
ساندرا	sandra
اخیرا	lately
زهر	poison
روبین	robin
چارلتون	charlton
آوا	ava
آوا	awa
چان	chan
چان	trần
شقایق	berries
شقایق	dâu
شقایق	anemone
تمسخر	mock
موز	chuối
موز	banana
موز	chuối
اندوه	buồn
اندوه	sadness
اندوه	sầu
آیندهوون	eindhoven
رونالدو	ronaldo
آکوستیک	acoustic
هنرمندی	nghệ
آریان	ariane
آریان	aryan
نیمروز	noon
نیمروز	trưa
چوپان	shepherd
نابینا	mù
فریبا	duyên
لورکوزن	leverkusen
آماتور	amateur
فوراً	ngay
توالت	toilet
توالت	toilet
آنجلو	angelo
آرین	aryan
آرین	arryn
لاهور	lahore
کوریتیبا	curitiba
اتاقک	cockpit
اتاقک	chòi
اتاقک	cabin
توکوگاوا	tokugawa
ژئومورفولوژی	geomorphology
کیس	case
کیس	kis
کهکشانی	galactic
جرارد	gerard
دف	daf
دف	def
مسموم	độc
مسموم	poison
ماین	chính
ماین	main
ماین	maine
تومانی	toumani
کارزار	battle
کارزار	trận
هلیم	helium
هلیم	heli
همخوان	chorus
کلینت	clint
بوروندی	burundi
آندریا	andrea
دوون	devon
شارون	sharon
شارون	charon
نیوپورت	newport
تونگا	tonga
خورخه	jorge
اندروز	andrews
پالمر	palmer
پلاس	cộng
پلاس	plus
اکرم	akram
امانت	amanat
گومز	gomes
گومز	gomez
گومز	gómez
گومز	gómez
ورماخت	wehrmacht
نوئل	noel
عطا	atta
عطا	ata
سنترال	trung
سنترال	central
هایک	heike
هایک	hayek
وینستون	winston
هوکایدو	hokkaido
هوکایدو	hokkaidō
تانگ	tang
تانگ	đường
تانگ	kềm
خالدار	đốm
خالدار	spotted
کلمنت	clement
کلوب	club
کلوب	clb
طرحهای	designs
دلا	dela
دلا	della
دلا	della
صباح	sabah
فشنگ	viên
گون	gòn
گون	gon
هلنا	helena
افعال	verbs
ادوبی	adobe
شری	cherie
شری	sherry
جویس	joyce
ربکا	rebekah
آلباتروس	albatross
انسولین	insulin
گوری	guri
مؤمن	believer
آستون	aston
ماندگاری	persistence
ماندگاری	bền
یاکوب	jakob
یاکوب	jacob
ویتوریو	vittorio
مدیسون	madison
جاوااسکریپت	javascript
شیروانی	attic
شیروانی	gác
فای	fay
بلفاست	belfast
بافر	đệm
قیچی	kéo
چاقی	béo
چاقی	mập
چاقی	fat
بازو	tay
بازو	tay
لایق	worthy
لکی	leckie
پارت	saga
پارت	part
پارت	phần
پارت	parthia
شیلات	fishery
مانور	manor
رمزگشایی	decoding
هیت	phuc
هیت	heath
بول	ngưu
بول	bò
بول	bull
ورژن	edition
بافتی	mô
لوبیا	bean
لوبیا	đậu
رضی	razi
جنی	jenny
هادسون	hudson
کوبه	kobe
نزدیکتر	closer
حواس	giác
پیغمبر	tri
استفانی	stephanie
مریل	merrill
النور	eleanor
فانوس	toulouse
فانوس	lantern
کریستوف	christophe
کریستوف	christoph
دفترچه	notebook
دفترچه	quyển
ایگل	eagle
ایگل	bàng
سانتو	santo
ویر	ware
ویر	weir
لینه	linnaeus
لنگر	neo
لنگر	anchor
لنگر	mooring
خطری	nguy
سوختگی	cháy
سوختگی	đốt
سوختگی	cháy
سوختگی	burn
مالاگا	malaga
مالاگا	málaga
مالاگا	malaga
سورن	severn
سورن	soren
یورگن	jürgen
یورگن	jurgen
یورگن	jurgen
برایتون	brighton
سانی	nắng
سانی	sunny
معطر	cay
القایی	induction
رینولدز	reynolds
رونی	ronnie
زال	zal
ارم	eram
نفوذی	insider
لیبرتی	liberty
فریمن	freeman
باواریا	bavarian
باواریا	bayern
باواریا	bavaria
برنجی	gạo
برنجی	cơm
اربیل	erbil
دالان	vẹn
دالان	lang
اباد	abad
ماکائو	macao
ماکائو	macao
ماکائو	macau
رابه	raabe
رابه	rabe
منزوی	isolated
پورتلند	portland
ادا	ada
ماریون	marion
آمبرلا	umbrella
آگوستین	augustin
آگوستین	augustine
چاق	béo
چاق	mập
چاق	fat
گروس	ghê
شارپ	sharp
شارپ	nhọn
پیترو	pietro
پاناسونیک	panasonic
هرمی	pyramid
تورهای	tours
آگوستوس	augustus
شاهکارهای	exploits
سیشل	xê
سیشل	seychelles
کای	kai
مخروط	nón
لم	bơm
دانگ	dang
رالی	rally
رالی	raleigh
کونگ	kông
کونگ	kong
آهوی	hươu
کاکتوس	cactus
چرچیل	churchill
پرستو	nuốt
پرستو	presto
سوان	swann
بندپایان	arthropod
بویز	boyz
پرهای	lông
ایدا	lda
ایدا	ida
ایدا	ada
کلیر	claire
کراولی	crowley
کراولی	crawley
تیری	thierry
معصومی	immaculate
شرحی	explanatory
ناپایدار	volatile
میراندا	miranda
کنسرسیوم	consortium
نخود	chickpea
زنگبار	zanzibar
گوران	goran
مهمانان	khách
ریانا	rihanna
کوله	balô
روسها	nga
سای	sài
سای	psi
سمپدوریا	sampdoria
موریکونه	morricone
ساکس	sacks
ساکس	sox
ساکس	sax
ساکس	saxo
لونا	luna
سامرا	zamora
هوارد	phuong
هوارد	howard
لوآر	loire
لبخند	smile
لبخند	cười
لبخند	cười
سرزنش	trách
سرزنش	chửi
میدلزبورو	middlesbrough
جوخه	squad
جوخه	đội
ممنوعه	cấm
فیلی	philly
فیلی	voi
استراسبورگ	strasbourg
استفراغ	spy
استفراغ	ói
استفراغ	nôn
لئوپولد	léopold
لئوپولد	leopold
کولین	collin
کولین	collin
کولین	colin
جنگلهای	rừng
ایلخانان	ilkhanate
سیلیس	silica
سعود	saud
فریتس	fritz
یوحنا	johanna
یوحنا	gioan
یوحنا	john
بیضوی	elliptic
بیضوی	elliptical
سیلوستر	sylvester
خلف	khalaf
مایورکا	mallorca
مایورکا	mallorca
خاردار	acomys
کلمبوس	columbus
رکس	rex
دردناک	đau
باداخس	badajoz
گجرات	gujarat
لسلی	leslie
تالین	tallinn
والری	valerie
خونه	nhà
عزیزان	dears
بیوه	góa
بیوه	widows
بیوه	widow
عدن	aden
عدن	eden
دانشیار	docent
یوم	ume
یوم	yum
لوزان	lausanne
بدوی	badawi
عاشیق	ashik
دلتای	delta
زبانه	thẻ
زبانه	tab
قرضه	nợ
ناخن	nail
ناخن	móng
ناخن	nails
خنجر	găm
هایدگر	heidegger
بانکوک	bangkok
رویان	phôi
کالیبر	caliber
هجدهمین	eighteenth
خندق	rãnh
خندق	mương
خندق	hào
مطیع	obedient
اسکله	pier
خوابگاه	dorm
خوابگاه	hostel
آنتیل	antilles
نازنین	nazanin
شلاق	whipping
شلاق	roi
شلاق	whip
دایان	diane
اتاوا	ottawa
سلین	celine
سکولاریسم	secularism
غاز	ngỗng
غاز	goose
غاز	ngỗng
طعمه	capture
طعمه	prey
طعمه	bait
طعمه	mồi
نای	trachea
نای	nai
نای	nye
آسا	asa
ابریشمی	lụa
سنگسار	đá
سنگسار	stone
آتیلا	attila
سنن	sunan
هگل	hegel
نیکسون	nixon
ویت	wyeth
ویت	việt
مرداب	lầy
مرداب	đầm
مرداب	lagoon
مرداب	marsh
چتر	dù
چتر	umbrella
تاشکند	tashkent
نیکوزیا	nicosia
عزیزم	hon
عزیزم	cưng
عزیزم	baby
عزیزم	bé
عزیزم	thuế
استعماری	colonial
هاربر	cảng
ادویه	spice
فدریکو	federico
سروتونین	serotonin
هد	đầu
هد	đàu
هد	head
ماکسیم	maxim
باهیا	bahia
ستار	sattar
ترومن	truman
گناهان	khuyết
جادوی	thuật
جادوی	magic
کلیپ	clip
کیتس	cates
کیتس	kitts
کیتس	keats
دوج	dodge
هارپر	harper
بردی	bardi
زامبی	zombie
شفق	afterglow
شفق	twilight
هاوک	hawk
اوان	evan
اوان	awan
فریدمن	friedman
داعی	summoner
داعی	caller
وری	vir
وری	vor
نیوفاندلند	newfoundland
حسادت	ghen
حسادت	jealousy
زمانهای	lần
زمانهای	times
کنسرتو	concerto
معمای	mystery
معمای	đố
معمای	puzzle
معمای	tuệ
معمای	dilemma
زوم	zoom
گرانیت	granite
رویترز	reuters
باندی	bandy
باندی	bundy
کامپانیا	campania
حکیمی	wise
دلی	deli
ادل	adele
ژرمنی	germanic
کلاین	cline
کلاین	klein
مفرد	singular
شیلد	shield
شیلد	khiên
ترکمان	munshi
بلندای	ngồi
بلندای	sat
سهمی	parabol
یونیون	union
یونیون	hợp
داوکینز	dawkins
تولدو	toledo
تلاقی	confluence
تلاقی	junction
ساق	chân
بلبل	nightingale
راههای	cách
راههای	banner
مونیکا	monica
کامی	camille
کامی	kami
چکش	búa
گالن	galen
گالن	galena
گالن	gallon
سوزا	souza
سانچز	sanchez
بورن	bourne
بناپارت	bonaparte
فانتوم	phantom
فانتوم	vỏ
قیصریه	kayseri
قیصریه	caesarea
چارت	chart
موشی	chuột
تینا	tina
تره	torre
تره	tre
کید	cade
کید	nhóc
کید	bé
کید	kid
داو	daw
داو	dove
داو	dow
مته	khoan
هیولا	monster
اوتو	otto
تیتانیوم	titanium
تیتانیوم	titan
ایزاک	isaac
بخوانند	đọc
اوکیناوا	okinawa
مکلنبورگ	mecklenburg
مکلنبورگ	ludwigslust
تدارکات	supplies
تدارکات	catering
ساراگوسا	zaragoza
ساکرامنتو	sacramento
استیک	tết
درایو	chạy
درایو	cán
مروان	marwan
مغ	magi
هرتز	hertz
دزدیده	chôm
دزدیده	cóc
آتلانتیس	atlantis
مردود	fail
ورم	sưng
ورم	sưng
ورم	khổng
ورم	kiêu
موم	sáp
موم	wax
زاهد	phaethornis
اجاق	lò
اجاق	hearth
اجاق	lò
مرغابی	vịt
ستونی	khe
ستونی	cột
ترا	tera
ترا	terra
ترا	terra
کامو	camus
کامو	kamo
خاکسپاری	táng
خاکسپاری	tang
خاکسپاری	lễ
اتر	ether
اتر	ete
مادربزرگ	bà
مادربزرگ	ngoại
قلاب	hook
قلاب	móc
تیگران	tigran
سایتاما	saitama
بگیر	lấy
بگیر	bắt
بگیر	chụp
یانی	yani
یانی	yanni
دوسلدورف	düsseldorf
باربودا	barbuda
زننده	nasty
زننده	phũ
زننده	chát
غازان	ghazan
قزاق	cossack
پلیموث	plymouth
مصمم	quyết
اورال	ural
دپ	dep
دپ	dập
دپ	dap
دپ	depp
وایلد	wild
وایلد	hoang
وایلد	wilde
کافر	pagan
لیدن	leiden
ضیاء	zia
هانی	thuế
هانی	hani
هوپ	mong
هوپ	xoa
براک	brock
ارگانیک	organic
دونگ	dong
دونگ	đổng
آندریاس	andreas
مجرمان	phạm
حواصیل	heron
حواصیل	diệc
کمین	ambush
کمین	rình
اتوبان	va
سیک	sik
سیک	sikh
ریتا	rita
لعاب	men
لعاب	men
کاتب	scribe
بولی	bun
پورتال	portal
پورتال	cổng
ومبلی	wembley
هوک	hook
هوک	móc
ورمونت	vermont
کوئن	cohen
کوئن	kwon
پونتیاک	pontiac
آویخته	hung
آویخته	hưng
افندی	effendi
راهب	monk
مردن	chết
بیه	baia
آرسنیک	arsenic
بریل	brill
میکی	mickey
میکی	micky
لایت	lite
مرئی	bien
میمند	meymand
خردسال	nhỏ
خردسال	minor
گلچین	anthology
اسپیلبرگ	spielberg
کوبین	cobain
لاکرونیا	coruna
لاکرونیا	coruña
عامر	amer
عامر	aamir
قریش	quraish
وولف	wolfe
وولف	soi
وولف	wolf
وولف	sói
پورتسموث	portsmouth
تاتار	tatar
کالری	calorie
کالری	calo
پترسون	peterson
پترسون	patterson
فابیو	fabio
فابیو	fabio
بیسمارک	bismarck
برانکس	bronx
بایزید	bayezid
متروکه	thác
پوتین	putin
پوتین	giày
پوتین	bốt
پوتین	ủng
پوتین	boots
سایبری	cyber
اتیلن	ethylene
خداحافظ	bye
دوبی	dubai
آلفونسو	alfonso
یوزپلنگ	cheetah
یوزپلنگ	puma
آنتورپ	antwerp
برآمدگی	monticello
آدلر	adler
گلیز	gliese
سیمز	sims
سیمز	simms
زک	zach
والش	walsh
فتحی	fathi
انباشته	laden
بلی	bụng
سوروس	severus
سوروس	soros
گراز	boar
گراز	hog
گراز	walrus
گینس	guinness
گینس	gaines
هوم	mmm
هوم	hmm
هوم	hừm
یاسین	yasin
یاسین	yaseen
سالیوان	sullivan
آرلینگتون	arlington
ماراتن	marathon
سیاهی	đen
شبگرد	caprimulgus
بهجت	bhagat
بازشدن	pip
بازشدن	bíp
بازشدن	chíp
ذوالفقار	zulfiqar
نیپون	nippon
سانت	sant
روبر	robert
ورقه	tờ
ورقه	mẩu
نواز	nawaz
آنارشیسم	anarchism
رب	reb
تاپ	nắp
تاپ	top
تاپ	đỉnh
جادوگری	thuỷ
جادوگری	thủy
فیلمبردار	cinematographer
خلقت	tạo
العابدین	abidine
میکائیل	michael
نولان	nolan
جرگه	jirga
نیروانا	nirvana
چکی	séc
تکی	single
تکی	đơn
تروا	troy
تروا	trois
لیمو	chanh
لیمو	chanh
باکره	trinh
باکره	virgin
باکره	tân
وودویل	woodville
پلوتو	pluto
مغناطیس	magnet
ایلیا	ilya
شیار	vết
شیار	rãnh
لورنزو	lorenzo
سرجیو	sergio
صفرا	mật
رالینز	rollins
سومری	sumer
هکتور	hector
واتفورد	watford
کراکوف	krakow
حنا	hana
ملیسا	melissa
تخمدان	ovarian
دایملر	daimler
اورارتو	urartu
گلوگاه	họng
برنت	brent
برنت	thiêu
برمید	bromua
عیلامی	elamite
دکل	buồm
مشروب	rượu
مارینا	marina
ات	ott
ساموآ	samoa
صبحانه	sáng
پارانائنزه	paranaense
برا	bh
سوز	burner
کاپور	kapoor
لیسا	lisa
ماندلا	mandela
درامر	drummer
باریکه	hẹp
بریت	britt
بریت	brit
بریت	brit
مرن	marne
کدی	cody
کدی	caddy
کدی	kodi
صابری	saberi
آدانا	adana
ناممکن	improbable
سغدی	sogdian
هولشتاین	holstein
گلوریا	gloria
احمق	ngu
نعمتی	blessing
قمار	gamble
قارچی	fungal
نیلی	chàm
ترکمنی	turkmen
بابایی	bố
القای	induction
اینچئون	incheon
آنجلا	angela
جویا	joya
لیوان	cốc
لیوان	kính
لیوان	ly
لیوان	mug
تئاتری	theatrical
حریق	mạo
بارتون	burton
بارتون	barton
میلز	mills
هارمونی	harmony
پیکاسو	picasso
تراست	tin
عسگری	askari
دارک	dark
دارک	tối
تایتانیک	titanic
فرایبورگ	freiburg
کمون	xã
پهناور	rộng
پهناور	vid
ژرف	deep
ژرف	sâu
گمراه	err
موتسارت	mozart
اعظمی	azmi
بیر	beer
بیر	bia
بیر	bir
بیر	gấu
زرافه	camelopardalis
زرافه	giraffe
بوکا	boca
تلمبه	bơm
سلسیوس	celsius
حاتم	hatem
رله	relay
مینسک	minsk
تسلا	tesla
اوستیای	ossetia
تایر	tires
تایر	lốp
تایر	lốp
تایر	lốp
کالی	cully
کالی	callie
ماژول	modul
ماژول	môđun
ماژول	module
ماژول	đun
میک	mick
کلین	collin
کلین	klein
هانیبال	hannibal
شرور	xấu
شرور	ác
گلدمن	goldman
ازمیر	izmir
فیلیپه	felipe
فیلیپه	philippe
شیفت	shift
شیفت	ca
شیفت	ca
عبدالقادر	abdelkader
شیاطین	quỷ
آمونیاک	ammonia
آمونیاک	ammoniac
فتق	hernia
هورن	horne
هورن	sừng
هورن	kèn
هورن	horn
میت	mitt
میت	mate
مقتدر	lỉnh
فوکوئوکا	fukuoka
نابودگر	terminator
نماهای	views
فایو	năm
مدنظر	rán
ملخ	chấu
ملخ	grasshopper
باهوش	minh
باهوش	khôn
هیوم	hume
دوسالانه	biennale
شلی	shelly
توانبخشی	rehab
اوزون	ozone
مرادآباد	moradabad
معمر	muammar
بلیط	vé
بلیط	vé
ناامید	desperate
نینجا	ninja
نینجا	ninja
جود	jude
کائوکا	cauca
کربنی	carbon
کربنی	cacbon
هوازی	aerobic
رابرتس	roberts
لارس	lars
معتاد	addicted
معتاد	nghiện
معتاد	ghiền
معتاد	junkie
معتاد	nghiện
وارون	inverse
فیصل	faisal
فیصل	feisal
شرمن	sherman
لوگان	logan
پارکینسون	parkinson
ظرافت	elegance
خمیده	bent
گورو	goro
گورو	guru
گلابی	pear
گلابی	lê
دورگه	hybrid
وایس	weiss
وایس	phó
وایس	vice
نینوا	nineveh
کانو	cano
کانو	kano
کانو	kanu
کانو	kano
کانو	xuồng
کانو	canoe
انداختند	feat
گلد	gould
گلد	vàng
گلد	gold
شرم	nhục
بنتلی	bentley
سوگواری	tang
الیویه	olivier
حاملگی	thai
چکیده	compact
چکیده	nén
چکیده	gọn
میسن	mason
لابرادور	labrador
پاستور	pasteur
تابشی	mãnh
تنبل	lười
تنبل	lat
تنبل	biếng
تنبل	lazy
تنبل	lười
عدنان	adnan
والد	wald
بارت	bart
تز	dissertation
ناطق	orator
سانگ	sang
سانگ	soong
سانگ	sung
کاپلی	copley
ورسای	versailles
شست	giặt
شست	thumb
کاسترو	castro
اوک	oak
اوک	sồi
پاتریشیا	patricia
کدگذاری	coding
اسکورسیزی	scorsese
دوروتی	dorothy
ساعد	forearm
سگی	chó
سگی	dog
برابانت	brabant
شهبانو	empress
هاوانا	havana
مر	mer
لغزش	cuộn
لغزش	trượt
بکش	giết
پیرسون	pearson
بنگ	đục
بنگ	bang
بنگ	boom
روزنه	aperture
روزنه	bullseye
رادیواکتیو	radioactive
هلمز	holmes
کراچی	karachi
مسافری	commuter
کخ	koch
آسم	hen
لیونل	lionel
گوتنبرگ	gutenberg
کبری	cobra
کبری	kubra
پیشی	kitty
دیاز	diaz
دیاز	dias
طوس	tus
اگوست	auguste
وودز	rừng
شهرتی	fame
الست	elst
آلساندرو	alessandro
سدی	sadie
موریسون	morrison
پریرا	pereira
کامبت	kombat
فرناندز	fernandez
فرناندز	fernández
فرناندز	fernandes
تفنگدار	musketeer
مدولاسیون	modulation
هوشیاری	consciousness
هوشیاری	conscious
داسو	dassault
ایستوود	eastwood
اوترخت	utrecht
سریالهای	serial
ممیز	chém
پولیس	cảnh
نووگورود	novgorod
مؤنث	nữ
دامی	dummy
دامی	nộm
دامی	bẫy
دامی	tráp
وانواتو	vanuatu
ورا	vera
تیت	tate
مورو	moreau
مورو	moro
مورو	murrow
شعب	shaab
تنگستن	tungsten
تنگستن	vonfram
تنگستن	wolfram
نمو	nemo
نمو	increment
لامبورگینی	lamborghini
وون	won
وون	thắng
گلدان	bình
گلدان	vase
پلیستوسن	pleistocene
معشوق	yêu
گلبرگ	petals
خامه	kem
خامه	cream
