aires	айресе
pedeapsa	наказание
pedeapsa	наказание
mei	мэй
mei	мей
sevilla	севилья
sevilla	севилье
domnule	сэр
domnule	сер
definite	определен
definite	определена
definite	определено
definite	определены
pauza	приостановить
pauza	пауза
pauza	сломать
pauza	перерыв
pauza	сломать
pauza	перерыв
pauza	приостановить
pauza	пауза
allan	аллан
seminarul	семинар
globala	глобальные
globala	глобальное
globala	global
globala	глобальный
globala	глобальная
torre	торре
conan	конан
brescia	брешиа
sarcini	задачи
circuitul	цепь
infrant	поражение
infrant	победил
hrusciov	хрущев
ferrara	феррара
string	строка
julian	джулиан
mandatului	мандат
collins	коллинс
collins	коллинз
ontario	онтарио
valoroase	ценное
valoroase	ценный
valoroase	ценная
valoroase	ценные
manifestat	проявилось
manifestat	проявляется
manifestat	проявилась
pianist	пианист
reclama	коммерческие
reclama	коммерческая
reclama	коммерческий
reclama	реклама
merite	заслуги
tong	тонг
comunicatii	связь
comunicatii	коммуникации
comunicatii	коммуникация
comunicatii	связи
comunicatii	сообщения
manga	манга
indo	индо
marketing	сбыт
marketing	маркетинг
marketing	маркетинга
montreal	монреальского
montreal	монреаль
ribbentrop	риббентроп
scade	уменьшить
scade	уменьшение
ton	тунца
ton	тон
cheia	ключ
cheia	ключевых
britannica	британника
romanov	романов
vidin	видин
mecanice	механические
mecanice	механических
hogna	hogna
ascunde	скрывать
ascunde	скрыть
ascunde	спрятать
mobil	mobile
mobil	мобильные
mobil	мобильных
mobil	мобильный
sean	шон
schi	ски
schi	лыжи
schi	ski
schi	лыжи
fondarea	основание
depozite	склады
depozite	складов
depozite	вклады
fictiv	фиктивные
fictiv	вымышленный
aeroport	airport
aeroport	аэропорт
talentul	талант
talentul	таланты
oklahoma	оклахома
terestra	наземные
terestra	земное
terestra	сухопутные
terestra	наземных
permisiunea	разрешите
permisiunea	разрешение
nepoata	внучка
nepoata	племянница
nepoata	внучка
nepoata	племянница
batut	избили
batut	избит
batut	избили
batut	избит
pragul	порог
oua	яйца
oua	яйца
aristotel	аристотель
panchen	панчен
alpha	alpha
alpha	альфа
atlético	атлетико
liudmila	людмила
sprijina	поддерживает
sprijina	поддерживаются
sprijina	поддерживается
tiparita	печатных
rica	рика
imnul	гимн
chirurgie	хирургия
chirurgie	операция
madison	мэдисон
icoana	значок
amy	эми
klaus	клаус
adriana	адриана
pasi	этапы
pasi	ступеньки
pasi	шаги
pasi	стопам
pasi	шаги
pasi	этапы
pasi	ступеньки
pasi	шаги
spatial	пространственных
legislatia	законодательство
butler	дворецкий
butler	батлер
discutat	обсудили
discutat	обсуждалось
discutat	обсуждались
inutil	бессмысленно
inutil	бесполезна
inutil	бесполезный
inutil	бесполезно
inutil	бесполезен
rolling	rolling
explicatie	пояснения
explicatie	объяснение
explicatie	пояснение
explicatie	разъяснение
explicatie	разъяснения
explicatie	пояснения
explicatie	объяснение
explicatie	пояснение
explicatie	разъяснение
explicatie	разъяснения
ritm	ритм
hudson	хадсон
nori	тучи
nori	облака
nori	облаков
edmund	эдмунд
mercedes	mercedes
mercedes	мерседес
intelectuali	интеллектуалов
intelectuali	интеллектуальной
intelectuali	интеллектуальная
proprietari	владельцы
proprietari	владельцев
proprietari	владельцам
protejat	охраняемых
protejat	защищена
protejat	защищены
protejat	защищен
ronald	рональд
alin	алинь
colective	коллектив
colective	коллективных
colective	коллективные
colective	коллективная
colective	коллективное
popularitate	популярность
popularitate	популярности
gandit	мысль
gandit	думал
homo	homo
homo	gay
homo	гей
homo	геи
castle	замок
castle	касл
droguri	наркотики
droguri	наркотик
droguri	препарат
droguri	наркотик
droguri	наркотиками
willem	виллем
executie	казни
executie	исполнение
executie	казнь
executie	казни
executie	исполнение
executie	казнь
jucand	играю
jucand	играет
intervenit	вмешался
succese	успехи
succese	успех
succese	успеха
bratislava	братиславе
damasc	дамаске
nuvela	роман
nuvela	повесть
nuvela	новелла
nuvela	повесть
nuvela	новелла
morbihan	морбиан
card	карта
card	карту
card	карточка
reformei	реформирование
reformei	реформы
reformei	реформа
necunoscute	неизвестное
necunoscute	неизвестный
necunoscute	неизвестно
necunoscute	неизвестная
necunoscute	неизвестен
filipine	филиппин
filipine	филиппины
secundara	среднее
carabus	жужелица
promis	обещал
promis	пообещал
promis	обещала
promis	обещали
rin	рин
rin	рейна
rin	рейн
incident	инцидента
incident	инцидент
incident	происшествие
semnificatia	значимость
plecare	выезд
plecare	отъезда
plecare	отъезд
plecare	отход
memorii	мемуары
memorii	мемуары
gandire	думаю
gandire	мышление
identificate	выявленные
anatomia	анатомии
farmacie	аптека
farmacie	аптеке
farmacie	аптека
farmacie	аптеки
farmacie	аптеке
biti	бит
biti	кусочки
rightarm	rightarm
mexican	мексиканская
mexican	мексиканский
mexican	мексики
five	пятеро
five	пять
portrete	портреты
pictate	нарисовал
parcuri	парки
parcuri	парков
pozitiva	положительные
pozitiva	положительно
pozitiva	позитивная
pozitiva	положительный
pozitiva	позитивные
tiparit	печатных
sangele	кровь
sangele	blood
sangele	крови
marchiz	маркиз
marchiz	маркиз
yemen	йемен
yemen	йемена
cantand	поет
cantand	поют
cantand	пою
cantand	пение
cantand	петь
cantand	поет
cantand	поют
cantand	пою
cantand	пение
cantand	петь
stiluri	стайлз
stiluri	стили
stiluri	стилей
protejarea	защита
norvegian	норвежский
norvegian	норвегии
impuscat	выстрел
impuscat	кадр
impuscat	застрелил
impuscat	застрелен
impuscat	выстрел
impuscat	кадр
impuscat	застрелил
impuscat	застрелен
salbatica	wild
salbatica	дикий
salbatica	дикая
salbatica	дикие
teama	страх
teama	страх
statui	статуи
sambata	суббота
sambata	субботу
sambata	суббота
sambata	субботу
sambata	субботы
sambata	субботам
sambata	суббота
sambata	субботу
sambata	суббота
sambata	субботу
profesionisti	профессионалы
profesionisti	специалистов
profesionisti	специалисты
profesionisti	профессионалы
profesionisti	специалистов
profesionisti	специалисты
irlandez	ирландский
irlandez	ирландец
irlandez	ирландии
consilieri	советники
consilieri	консультанты
consilieri	советники
bunica	бабушка
bunica	бабушка
bunica	бабушка
bunica	бабушка
bunica	бабушка
lituaniei	литве
lituaniei	литвы
lituaniei	литва
limitate	ограниченные
limitate	ограниченное
limitate	ограниченная
limitate	ограниченный
pereti	стены
pereti	стенки
pereti	стен
pereti	стены
pereti	стенки
pereti	стен
perry	перри
sept	перегородки
sept	сентябрь
distinctie	разграничение
distinctie	различие
distinctie	различия
cronici	chronicles
cronici	хроники
rugaciune	молитву
rugaciune	молитва
rugaciune	молитву
rugaciune	молитва
luther	лютер
luther	лютера
personalitatea	личности
personalitatea	индивидуальность
personalitatea	личность
atelierul	практикум
atelierul	семинар
atelierul	мастерская
cook	приготовить
cook	повар
cook	кук
cook	готовить
blois	блуа
abur	пар
oleg	олег
respectarea	соблюдение
vama	таможня
vama	таможня
adult	взрослая
adult	взрослый
adult	взрослых
adult	взрослые
imparte	сплит
imparte	раскол
imparte	разделить
experimental	экспериментальных
experimental	экспериментальная
experimental	экспериментальные
experimental	экспериментальное
experimental	экспериментальный
dir	реж
helsinki	хельсинки
julia	юлия
julia	джулия
julia	юля
mussolini	муссолини
scooby	скуби
faimos	известная
faimos	знаменитая
faimos	известный
faimos	знаменитость
faimos	знаменитый
magdalena	магдалена
anastasia	анастасия
studiourile	студии
studiourile	studios
posterior	задняя
bat	бат
bat	бита
apr	апр
mintea	разум
mintea	ум
dmitri	дмитрий
dmitri	дмитрий
americanii	американцы
alexei	алексей
sarb	сербская
sarb	сербы
sarb	сербов
sarb	сербии
sarb	сербские
sarb	сербская
documentul	документ
baba	баба
baba	бабы
baba	баба
baba	бабы
brusc	неожиданно
brusc	внезапно
brusc	вдруг
brusc	внезапный
brusc	внезапное
brusc	внезапно
japonezi	японские
japonezi	японская
japonezi	японский
japonezi	японцы
japonezi	японское
japonezi	японии
inspirata	вдохновил
paraguay	парагвая
paraguay	парагвае
paraguay	парагвай
consacrat	освящена
jennifer	дженифер
jennifer	дженнифер
facto	факто
facto	facto
cantal	канталь
izolat	изолированы
izolat	изолированных
berg	берг
anulat	отменена
anulat	отменено
anulat	отменен
anulat	отменены
anulat	отменена
anulat	отменил
anulat	отменено
anulat	отменен
precizeaza	указать
precizeaza	укажите
precizeaza	уточнить
evaluare	рейтинг
evaluare	оценка
evaluare	оценка
evaluare	оценка
evaluare	оценка
asediu	осада
asediu	осады
divizat	разделились
divizat	сплит
divizat	раскол
divizat	разделить
bergamo	бергамо
taxe	налоги
taxe	сборы
novo	ново
incurajat	поощряется
incurajat	поощряли
incurajat	поощряется
incurajat	поощряли
enterprise	предприятие
enterprise	предпринимательства
enterprise	энтерпрайз
enterprise	предпринимательство
inamic	враг
inamic	враги
vehicul	автомобиль
botanica	ботаника
botanica	ботанический
botanica	ботаника
botanica	ботанический
diferentele	расхождения
diferentele	отличия
diferentele	разногласия
diferentele	различия
servi	подавать
servi	служить
hanul	инн
hanul	inn
presupus	предположительно
presupus	предполагаемая
presupus	предполагаемых
presupus	предполагаемый
presupus	предполагаемые
nagy	надь
musulmane	мусульманских
musulmane	мусульманские
musulmane	мусульманин
musulmane	мусульмане
modificata	измененный
modificata	измененные
modificata	изменена
modificata	изменено
definitiva	окончательного
definitiva	окончательно
definitiva	окончательная
restaurarea	восстановление
restaurarea	восстановления
cafenea	кафе
cafenea	кафе
permanente	постоянная
permanente	постоянное
permanente	постоянные
permanente	постоянный
vizibila	видна
vizibila	виден
vizibila	видны
vizibila	видимые
vizibila	видимых
asociatie	ассоциация
asociatie	ассоциации
index	индекс
index	указатель
obisnuita	обычных
obisnuita	обычный
obisnuita	обычная
obisnuita	обычные
moral	морально
moral	моральная
moral	мораль
moral	моральный
kenneth	кеннет
trofee	призы
trofee	трофеи
asigurari	страховка
asigurari	страхование
asigurari	страхования
asigurari	страховка
asigurari	страхование
asigurari	страхования
dispute	споры
portughez	португальский
portughez	португалии
functionar	клерк
functionar	клерк
haiti	гаити
sindromul	синдром
locatie	местоположение
locatie	расположение
locatie	местонахождение
locatie	место
eugene	евгений
eugene	юджин
persan	персидского
traseu	след
traseu	маршрут
traseu	трасса
imbunatatit	улучшилась
imbunatatit	улучшилось
imbunatatit	улучшение
vinde	продавать
vinde	продажа
vinde	продать
atlantique	atlantique
arhitecturale	архитектурных
logic	логическое
logic	логично
logic	логика
precizie	точности
precizie	точность
precizie	точности
precizie	точность
meyer	майер
meyer	мейер
masoara	измерить
masoara	мера
masoara	меру
dom	купол
dom	купола
dom	дом
fame	известность
fame	славы
fame	слава
fame	славу
controlat	контролируемых
controlat	управляемый
controlat	контролируемые
controlat	контролируется
actionat	действовал
actionat	действовала
actionat	действовали
actionat	действовало
coleg	коллега
coleg	коллега
express	экспресс
express	express
express	выразить
amt	amt
nel	нель
baltice	балтийского
mustafa	мустафа
ardere	сжигания
ardere	сжигание
ardere	горит
ardere	сжигание
cost	цена
cost	стоимость
cost	затраты
modifica	изменить
boeing	boeing
intoarcere	возвращения
intoarcere	возврат
intoarcere	вернуть
intoarcere	вернуться
intoarcere	возвращение
cercetatorii	исследователи
pestera	пещера
pestera	пещере
pestera	пещера
pestera	пещере
pestera	пещера
pestera	пещере
pestera	пещера
pestera	пещере
senat	сенат
senat	сенате
gay	геев
gay	геи
gay	gay
gay	гей
gay	геи
creta	крит
creta	мел
creta	мел
creta	крит
ming	мин
ming	минг
montgomery	монтгомери
egiptean	египетский
egiptean	египта
variabile	переменная
variabile	переменные
variabile	переменной
variabile	переменных
variabile	переменные
mediterana	средиземноморья
mediterana	средиземноморье
mediterana	средиземноморья
mediterana	средиземноморье
metale	металла
metale	метал
metale	metal
metale	металлические
metale	металл
metale	металлы
bush	буш
bush	буша
standardele	нормы
standardele	стандарты
daneza	дании
daneza	датский
verticala	вертикальные
verticala	вертикальной
verticala	вертикально
verticala	вертикали
renunta	отменить
renunta	отмена
azerbaidjan	азербайджан
niveluri	уровни
niveluri	уровней
niveluri	уровни
niveluri	уровень
niveluri	уровней
mitchell	митчел
mitchell	митчелл
notat	отметило
notat	отметила
strategica	стратегическое
strategica	стратегическая
cambodgia	камбоджи
cambodgia	камбодже
cambodgia	камбоджи
cambodgia	камбоджа
pablo	пабло
morris	моррис
lent	медленные
lent	медленно
lent	медленный
academice	академических
ice	лед
ice	льда
ice	ice
ice	лёд
kate	кейт
aurora	аврора
sinod	синод
rou	rou
oregon	орегон
banci	бэнкс
banci	банки
banci	скамейки
banci	бэнкс
banci	банки
banci	скамейки
restaurant	ресторан
afectate	затронутые
pavia	павии
structurile	структуры
structurile	структур
impuse	введенных
silezia	силезии
urias	гигантский
urias	гигант
urias	гигантская
urias	гигантские
tabere	лагерях
tabere	лагеря
tabere	лагерей
alma	алма
alma	альма
atribuie	назначить
kentucky	кентукки
marfuri	груз
marfuri	грузов
marfuri	грузы
marfuri	товары
marfuri	товаров
marfuri	грузы
marfuri	товары
marfuri	товаров
marfuri	грузы
belle	белль
grau	пшеницы
grau	пшеницы
cuantica	квантовой
vazute	видел
vazute	видели
vazute	посмотрели
walt	уолт
dublin	дублине
dublin	дублин
festivaluri	фестивалей
ball	бал
ball	шар
ball	мяч
rusesc	русская
rusesc	русские
rusesc	российская
rusesc	русский
concepte	концепции
concepte	концепций
concepte	понятия
padova	падуя
echivalentul	эквивалент
echivalentul	эквивалентные
fani	поклонники
fani	фанаты
afirmand	подтверждая
postum	посмертно
postum	посмертно
plovdiv	пловдив
participantii	участников
participantii	участники
mandate	ордера
mandate	мандаты
morminte	могил
morminte	могилы
colegi	коллеги
colegi	коллегами
colegi	коллег
colegi	коллегам
colegi	коллеги
colegi	коллегами
colegi	коллег
potentialul	потенциал
potentialul	потенциальная
exacta	точная
exacta	точный
exacta	точная
exacta	точный
horror	ужас
horror	ужасы
vizibile	видна
vizibile	виден
vizibile	видны
vizibile	видимые
vizibile	видимых
uss	uss
flash	флеш
flash	вспышка
flash	flash
flash	флэш
srl	srl
srl	ltd
materia	материя
persia	персии
elementare	начальной
elementare	элементарные
elementare	начальная
christina	кристина
arhipelagul	архипелаг
succesiunea	наследование
succesiunea	преемственность
protocol	протокол
protocol	протокола
protocol	протоколу
update	обновления
update	обновлять
update	обновление
update	обновить
executa	выполнить
executa	казнить
executa	исполнить
ecuador	эквадор
ecuador	эквадоре
bull	бык
kenya	кении
kenya	кения
kenya	кению
ingropat	похоронили
ingropat	похоронен
ingropat	похоронили
ingropat	похоронен
november	ноября
november	ноябрь
locatii	местоположения
locatii	места
locatii	местах
locatii	местоположения
locatii	места
locatii	местах
biblie	библия
biblie	библию
biblie	библии
fabricat	изготовленные
fabricat	изготовлены
durere	боли
durere	болью
durere	боль
intalniri	собрания
intalniri	встречи
intalniri	заседания
intalniri	совещания
intalniri	встречи
intalniri	собрания
intalniri	встречи
intalniri	заседания
intalniri	совещания
intalniri	свидания
intalniri	знакомства
intalniri	свидание
