bella	bella
szabványos	standar
szabványos	standard
októberi	oktober
arabul	arab
arabul	arabic
milliméter	milimeter
kábel	kabel
büntetést	dihukum
nyak	leher
nyak	neck
légitársaság	maskapai
légitársaság	airline
légitársaság	airlines
többségi	mayoritas
univerzum	universe
univerzum	semesta
indulás	pemberangkatan
indulás	keberangkatan
kenny	kenny
jakob	jakob
műholdas	satellite
műholdas	satelit
cső	pipe
cső	pipa
cső	tabung
könyvtárosok	pustakawan
gyümölcs	buah
gyümölcs	buah
model	model
elisabeth	elisabeth
specifikus	spesifik
specifikus	tertentu
specifikus	khusus
természettudós	naturalis
diktatúra	kediktatoran
ömlik	tercurah
ömlik	memancar
rachel	rachel
rachel	rahel
projektek	proyek
viselkedése	tingkah
viselkedése	perilaku
viselkedése	kelakuan
viselkedése	prilaku
firenzei	florentine
csillagkép	constellation
csillagkép	konstelasi
#fff	#fff
holló	crow
holló	gagak
holló	gagak
holló	raven
anti	anti
hírességek	selebritis
hírességek	selebriti
hírességek	celebrity
hírességek	selebritis
hírességek	selebriti
auguste	auguste
werder	werder
térbeli	spasial
hetente	mingguan
hetente	weekly
köd	kabut
köd	kabut
köd	nebula
tang	tang
demográfiai	demografi
demográfiai	demografis
demográfiai	demografi
demográfiai	demografis
értékelte	dihargai
értékelte	disyukuri
baptista	pembaptis
baptista	baptis
mostanában	belakangan
kompatibilis	kompatibel
edge	edge
edge	tepi
edge	tepian
fokozott	meningkat
jam	macet
jam	selai
ajánlom	disarankan
ajánlom	rekomendasikan
ajánlom	sarankan
ajánlom	merekomendasikan
ajánlom	menyarankan
sarki	kutub
sarki	polar
figyelmeztetés	peringatan
figyelmeztetés	warning
figyelmeztetés	siaga
figyelmeztetés	peringatan
figyelmeztetés	waspada
figyelmeztetés	alert
figyelmeztetés	peringatan
narancssárga	orange
narancssárga	jingga
narancssárga	jeruk
narancssárga	oranye
meggyilkolták	dibunuh
meggyilkolták	terbunuh
scooby	scooby
lent	dibawah
boldogság	kebahagiaan
boldogság	happiness
boldogság	kebahagian
boldogság	senang
boldogság	bahagia
boldogság	ibrahimovic
boldogság	happy
szög	nail
szög	paku
szög	kuku
szög	angle
szög	sudut
megválasztott	terpilih
időszakos	periodik
időszakos	berkala
julian	julian
vienne	vienne
trombita	terompet
trombita	sangkakala
pan	pan
péntek	jumat
moldova	moldova
monumentális	monumental
bányászati	menambang
bányászati	pertambangan
bányászati	penambangan
poroszország	prusia
korrekt	betulkan
korrekt	adil
korrekt	fair
annie	annie
kalauz	pedoman
kalauz	panduan
kalauz	pemandu
kalauz	kondektur
kalauz	konduktor
vasutak	apian
vizsgált	diuji
vizsgált	teruji
vizsgált	diperiksa
vizsgált	diselidiki
tölgy	quercus
tölgy	oak
tölgy	ek
tojás	eggs
tojás	telur
tojás	egg
tojás	telur
létesítmény	pemasangan
létesítmény	penginstalan
létesítmény	instalasi
létesítmény	fasilitas
létesítmény	pembentukan
létesítmény	pendirian
értelmezhető	berarti
értelmezhető	bermakna
megszállt	kesurupan
megszállt	kerasukan
megszállt	dirasuki
megszállt	pendudukan
megszállt	ditempati
megszállt	diduduki
klorid	klorida
mialatt	sambil
mialatt	sementara
mialatt	selagi
fix	fix
fix	memperbaiki
fix	betulkan
fix	perbaiki
fix	diperbaiki
fix	tetap
fix	fixed
homok	sand
homok	pasir
homok	papak
homok	sands
csók	kissing
csók	berciuman
csók	mencium
csók	kecupan
csók	ciuman
csók	cium
csók	cium
csók	kiss
csók	ciuman
veszteségeket	kerugian
spontán	spontan
spontán	spontan
derby	derby
evolúció	evolusi
evolúció	evolution
evolúció	evolusioner
szurkolók	fans
szurkolók	penggemar
üzemeltető	operator
conrad	conrad
analízis	analisa
analízis	analisis
mongólia	mongolia
luna	luna
privát	swasta
privát	privat
privát	private
privát	pribadi
kezdetek	permulaan
kezdetek	awal
bizonyítani	pembuktian
bizonyítani	membuktikan
bizonyítani	buktikan
főnök	chief
főnök	ketua
főnök	kepala
főnök	bos
főnök	boss
szülő	orangtua
szülő	induk
harvey	harvey
áruház	simpan
áruház	toko
jackie	jackie
atlanta	atlanta
koordináta	koordinat
koordináta	koordinasi
koordináta	koordinat
claudius	claudius
átadott	dipindahkan
átadott	ditransfer
csillagkapu	stargate
potenciális	potensi
potenciális	potensial
lambert	lambert
horror	horor
horror	horror
horror	kengerian
szaxofon	saksofon
utasok	penumpang
utasok	wisatawan
utasok	pelancong
teológia	teologi
eltávolították	dibuang
eltávolították	dihapus
diszkográfia	diskografi
hamburger	burger
hamburger	hamburger
hamburger	hamburger
hamburger	burger
várta	ditunggu
várta	dinanti
reeder	reeder
szál	serat
szál	benang
szál	thread
szál	utas
szál	benang
szál	thread
szál	utas
centrum	centrum
centrum	tengah
centrum	pusat
centrum	centre
fát	kayu
fát	wood
hatásai	efek
keserű	pahit
keserű	dongkol
keserű	kepahitan
bűncselekmény	pidana
bűncselekmény	kejahatan
bűncselekmény	kriminalitas
bűncselekmény	pidana
bűncselekmény	kejahatan
bűncselekmény	kriminal
bűncselekmény	crime
kutatói	peneliti
kutatói	peneliti
lennon	lennon
broadway	broadway
értelmező	interpretative
értelmező	interpretatif
bomba	bomb
bomba	bom
bomba	bom
pérez	pérez
abraham	ibrahim
abraham	abraham
szerencsétlen	malang
szerencsétlen	disayangkan
felszerelve	dilengkapi
ibc	ibc
madagaszkár	madagaskar
madagaszkár	madagascar
gene	jeni
gene	gene
gene	gen
oslo	oslo
robbanás	ledakan
csonka	dipotong
csonka	terpotong
krakkó	kraków
diploma	ijazah
diploma	diploma
diploma	gelar
diploma	ijazah
diploma	derajat
egyetértés	kesepakatan
egyetértés	perjanjian
egyetértés	persetujuan
egyetértés	pengertian
egyetértés	pemahaman
egyetértés	memahami
egyetértés	konsensus
belseje	interior
megoldások	larutan
megoldások	solusi
hetes	seven
hetes	tujuh
következményei	konsekwensi
következményei	konsekuensi
lucia	lucia
boszorkány	penyihir
boszorkány	witch
fészek	sarang
fészek	nest
ars	ars
pat	tepuk
pat	pat
propaganda	propaganda
szocializmus	sosialisme
botrány	skandal
botrány	scandal
botrány	skandal
webber	webber
szilveszter	sylvester
santo	santo
tök	labu
tök	pumpkin
sheffield	sheffield
joel	joel
janeiro	janeiro
ipa	ipa
gót	goth
végrehajtási	penegakan
végrehajtási	penegak
végrehajtási	mengimplementasikan
végrehajtási	mengimplementasi
végrehajtási	menerapkan
tengerentúli	perantauan
asszisztensek	asisten
düsseldorf	düsseldorf
düsseldorf	dusseldorf
termelt	dihasilkan
termelt	diproduksi
csarnok	balai
csarnok	hall
csarnok	aula
spider	laba
spider	spider
interaktív	interaktif
sex	seks
sex	sex
feltöltött	mengunggah
feltöltött	diunggah
feltöltött	unggahan
autóval	car
autóval	mobil
paramount	paramount
hivatkozást	pranala
hivatkozást	link
hivatkozást	tautan
hivatkozást	taut
alkotók	pembuat
szépség	keindahan
szépség	cantiknya
szépség	kecantikan
szépség	beauty
csomag	paket
csomag	pack
csomag	paket
kai	kai
kazahsztán	kazakhstan
puy	puy
utazási	perjalanan
utazási	travel
utazási	wisata
linnaeus	linnaeus
radioaktív	radioaktif
lezárt	disegel
lezárt	tersegel
jamaica	jamaika
jamaica	jamaica
vallott	mengaku
kopasz	botak
kopasz	botak
kaukázusi	kaukasus
kaukázusi	kaukasus
kaukázusi	kaukasia
bokor	semak
bokor	bush
bokor	perdu
búza	gandum
bónusz	bonus
bónusz	bonusnya
bónusz	bonus
hónapja	bulan
mióta	semenjak
mióta	since
mióta	sejak
amy	amy
amy	adinda
amy	airlangga
alpha	alpha
alpha	alfa
sör	beer
sör	bir
hughes	hughes
morva	moravia
jake	jake
sorba	antrian
sorba	antri
sorba	antrean
hopkins	hopkins
stark	stark
olivier	olivier
népies	merakyat
niger	niger
megjelölt	ditandai
megjelölt	ditandai
kizárólagos	ekslusif
kizárólagos	exclusive
kizárólagos	eksklusif
szemét	sampah
szemét	sampah
szemét	sampah
szemét	trash
lakás	kempes
lakás	flat
lakás	rata
lakás	datar
lakás	apartement
lakás	apartment
lakás	apartemen
lakás	hunian
lakás	perumahan
trilógia	trilogy
dakota	dakota
dakota	desy
szombaton	sabtu
évenként	tahunan
koncepció	konsep
mti	mti
jeanne	joan
jeanne	jeanne
átalakított	modifikasi
átalakított	diubah
átalakított	dimodifikasi
átalakított	dikonversi
átalakított	mengonversi
átalakított	diadaptasi
előnyös	menguntungkan
előnyös	bermanfaat
törlése	hapus
törlése	delete
alább	dibawah
bizonyítékok	bukti
burgenland	burgenland
bsc	bsc
ávila	avila
eduardo	eduardo
fizikusok	fisikawan
simpson	simpson
nílus	nil
vallások	agama
élőlény	organisme
orange	orange
orange	jingga
orange	jeruk
orange	oranye
számláló	loket
számláló	penghitung
számláló	sanggahan
számláló	konter
számláló	counter
számláló	pembilang
elkerülése	menghindari
elkerülése	hindari
elkerülése	menghindari
elkerülése	penghindaran
konszenzus	konsensus
michelle	michelle
paula	paula
gerhard	gerhard
kapcsolatai	koneksi
közreműködő	penyumbang
közreműködő	kontributor
közreműködő	kontributor
közreműködő	penyumbang
nicaragua	nikaragua
castro	castro
vandalizmus	pengrusakan
vandalizmus	perusakan
vandalizmus	vandalisme
rhône	rhône
mobile	mobile
mobile	seluler
mobile	ponsel
mobile	handphone
glenn	glenn
stein	stein
gombák	jamur
gombák	jamur
ablakok	windows
ablakok	jendela
brno	brno
reagál	merespons
reagál	merespon
reagál	menanggapi
évszázad	abad
évszázad	century
armstrong	armstrong
csomópont	node
csomópont	nodal
csomópont	simpul
csomópont	noktah
csomópont	nodus
csomópont	junction
csomópont	persimpangan
aranyos	lucu
aranyos	imut
aranyos	cute
próbáltam	mencoba
próbáltam	dicoba
palermo	palermo
bezárt	ditutup
bezárt	tertutup
bezárt	tutup
bezárt	closed
csökkentése	kurangi
csökkentése	mengurangi
csökkentése	pengurangan
rain	hujan
rain	rain
auto	auto
auto	otomotif
auto	otomatis
kitörés	wabah
kitörés	breakout
kitörés	letusan
kitörés	luapan
freddie	freddie
apache	apache
esküvő	pernikahan
esküvő	wedding
hudson	hudson
utcák	jalanan
technikailag	teknisnya
alekszandrovics	alexandrovich
perui	peru
perui	peru
koreográfus	koreografer
recept	resep
recept	resep
társaságok	korporasi
társaságok	perusahaan
megszüntetése	pemutusan
megszüntetése	penghentian
siemens	siemens
kiadások	pembelanjaan
kiadások	pengeluaran
kiadások	pengeluaran
nyelvészet	linguistik
hollywoodi	hollywood
divat	fashion
divat	mode
divat	busana
christoph	christoph
összeg	jumlah
összeg	sum
összeg	jumlah
nicole	nicole
nepál	nepal
deux	deux
távközlési	telecom
távközlési	telekomunikasi
távközlési	telekomunikasi
távközlési	telekomunikasi
kocsik	cars
kocsik	mobil
kocsik	gerbong
kocsik	gerobak
felújítás	renovasi
felújítás	pembaharuan
felújítás	pembaruan
felújítás	perpanjangan
felújítás	renovasi
felújítás	refurbishment
professzionális	profesional
professzionális	professional
houston	houston
ulrich	ulrich
működés	operasi
lika	lika
istennő	dewi
hidak	bridges
hidak	jembatan
kultúrák	kultur
lombard	lmo
vívás	anggar
waters	waters
waters	perairan
waters	air
fbi	fbi
későn	terlambat
későn	telat
későn	larut
vert	vert
szociológus	sosiolog
cape	cape
cape	tanjung
hallani	mendengar
hallani	hear
hallani	dengarlah
kimondottan	khususnya
vilma	vilma
lili	lily
lili	lili
harald	harald
plus	ditambah
plus	plus
kövér	gemuk
kövér	lemak
kövér	fat
kövér	gendut
kínál	promo
kínál	penawaran
kínál	menawarkan
kínál	tawaran
kínál	menawarkan
kolostorban	vihara
kolostorban	biara
kerék	roda
kerék	roda
kerék	wheels
fejlesztések	perbaikan
fejlesztések	penyempurnaan
fejlesztések	upgrade
fejlesztések	perkembangan
emelet	lantai
emelet	lantainya
emelet	floor
szimmetrikus	simetri
szimmetrikus	simetrik
szimmetrikus	simetris
kártya	kartu
kártya	card
kártya	kartu
instrumentális	instrumental
holmes	holmes
kötés	mengikat
kötés	pengikatan
kötés	binding
kötés	ikatan
kötés	rajut
kötés	mengait
kötés	merajut
kötés	rajutan
kötés	perban
kötés	ikatan
kötés	obligasi
kötés	bond
tulajdonság	property
tulajdonság	properti
tulajdonság	sifat
tulajdonság	properti
légkör	atmosfer
légkör	suasana
légkör	atmosfir
kurd	kurdi
kurd	kurdi
mainz	mainz
orne	orne
terveket	desain
varázsló	penyihir
varázsló	wizard
varázsló	penyihir
varázsló	pesulap
varázsló	penyihir
heinz	heinz
sárgás	kekuningan
producerek	produsen
producerek	produser
nyelveket	bahasa
felmérés	survei
felmérés	poll
felmérés	angket
felmérés	survey
felmérés	survei
caf	caf
eugène	eugène
gyanús	curiga
gyanús	mencurigakan
gyanús	tersangka
henger	silinder
henger	cylinder
henger	silinder
műsorok	memperlihatkan
műsorok	menunjukkan
műsorok	menampilkan
műsorok	pertunjukan
venezia	venezia
csökkenő	menurun
csökkenő	penurunan
csökkenő	menolak
parma	parma
infrastruktúra	prasarana
infrastruktúra	infrastruktur
seattle	seattle
fegyvereket	senapan
fegyvereket	guns
fegyvereket	senjata
vágy	desire
vágy	keinginan
vágy	hasrat
vágy	keinginan
vágy	hasrat
vágy	nafsu
vágy	birahi
vágy	keinginan
vágy	ngidam
romboló	destroyer
romboló	perusak
romboló	penghancur
ugrás	jump
ugrás	melompat
ugrás	loncat
ugrás	lompat
erotikus	erotis
homo	homo
hibrid	hibrida
hibrid	hybrid
bon	bon
robbie	robbie
morris	morris
europa	europa
cukor	permen
cukor	candy
cukor	gula
cukor	sugar
terhes	hamil
érvek	argumen
városokat	kota
triász	trias
tömör	compact
tömör	kompak
tömör	solid
tömör	padat
áthelyezték	dipindahkan
anhalt	anhalt
kórházi	hospital
kórházi	rs
komédia	komedi
komédia	comedy
ita	ita
víztározó	aquifer
víztározó	waduk
roth	roth
csont	bones
csont	tulangku
csont	tulang
csont	bone
csont	tulang
bennett	bennett
csőre	beak
csőre	paruh
arizona	arizona
jegyzett	berlangganan
jegyzett	dikutip
baseball	baseball
baseball	bisbol
egyezik	cocok
egyezik	kecocokan
egyezik	pertandingan
egyezik	korek
egyezik	cocok
egyezik	pertandingan
egyezik	kecocokan
bolond	fool
bolond	tolol
bolond	bodoh
algebra	aljabar
kínaiak	tionghoa
kínaiak	china
kínaiak	cina
igazgatóság	direktorat
tibet	tibet
őszintén	sejujurnya
őszintén	jujur
toyota	toyota
ovális	oval
megosztott	berbagi
megosztott	dibagikan
megosztott	shared
megosztott	dibagi
megosztott	terbagi
tematikus	tematik
követői	followers
követői	pengikut
egyenlítői	equatorial
egyenlítői	khatulistiwa
napokban	days
napokban	hari
munkahelyek	pekerjaan
hanna	hannah
hanna	icha
hanna	nadya
hanna	hanna
halottak	tewas
halottak	dead
halottak	mati
utalt	direferensikan
utalt	disebut
utalt	dirujuk
burton	burton
nacionalista	nasionalis
csatornák	kanal
csatornák	saluran
csatornák	kanal
csatornák	selokan
csatornák	talang
csatornák	selokan
csatornák	gorong
kezelő	operator
kezelő	manager
kezelő	manajer
kezelő	pengelola
kezelő	penanganan
kezelő	penangan
kezelő	handler
vatikáni	vatikan
módszertani	metodologis
porsche	porsche
haiti	haiti
haiti	haiti
hírhedt	terkenal
tokiói	tokyo
józan	sadar
költség	biaya
költség	biaya
költség	biayanya
ricardo	ricardo
részleteket	perincian
részleteket	rincian
részleteket	detil
részleteket	detail
alpesi	alpine
törtek	pecahan
törtek	fraksi
galamb	dove
galamb	merpati
galamb	merpati
szervező	promotor
szervező	organiser
szervező	penyelenggara
szervező	organizer
macskák	cats
macskák	kucing
befolyásos	berpengaruh
elpusztította	dihancurkan
elpusztította	hancur
elpusztította	dimusnahkan
elpusztította	menghancurkan
hús	meat
hús	daging
hús	kedagingan
hús	daging
követelt	menuntut
búcsú	perpisahan
bástya	benteng
serena	serena
vosges	vosges
felipe	felipe
hirdetett	diiklankan
hirdetett	dipromosikan
logó	logo
katalógus	katalog
katalógus	katalog
katalógus	katalog
platform	platform
platform	platform
nyelvtan	grammar
kollektív	kolektif
hazafias	patriotik
rogers	rogers
tudor	tudor
tizenegyedik	kesebelas
jefferson	jefferson
meghívást	undangan
meghívást	invite
meghívást	undang
meghívást	undangan
meghívást	kondangan
akkád	akkadia
feladatai	tugas
vállalja	komit
viselkedik	berperilaku
viselkedik	berperilaku
glasgow	glasgow
suriname	suriname
légió	legion
légió	legiun
gyalogság	infanteri
gyalogság	infantri
értelmezni	menafsirkan
értelmezni	menafsirkannya
bauer	bauer
dunántúl	transdanubia
muzulmán	muslim
fajták	trah
fajták	varietas
hivatkozásokat	referensi
hivatkozásokat	rujukan
montana	montana
stratégia	strategi
nélkülözhetetlen	esensial
nélkülözhetetlen	penting
biztonság	security
biztonság	satpam
biztonság	sekuriti
biztonság	keamanan
biztonság	aman
biztonság	brankas
biztonság	keselamatan
biztonság	safety
biztonság	keamanan
len	flax
len	len
struktúra	struktur
ismétlődő	duplikat
ismétlődő	duplikasi
ismétlődő	gandakan
ismétlődő	berulang
ismétlődő	berulang
ismétlődő	berulang
ismétlődő	diulang
felvételeket	kaset
gaja	gaja
bűnös	bersalah
bűnös	pendosa
bűnös	berdosa
elsődlegesen	terutama
elsődlegesen	utamanya
kiejtés	pengucapan
kén	sulfur
kén	belerang
kén	sulfur
kén	belerang
admirális	laksamana
admirális	admiral
tarka	pied
váltakozó	bergantian
váltakozó	bolak
tedd	menempatkan
tedd	put
mérhető	terukur
puha	empuk
puha	soft
puha	lembut
zavaros	kebingungan
zavaros	bingung
zavaros	berawan
zavaros	mendung
zavaros	membingungkan
liechtenstein	liechtenstein
jessica	jessica
hubert	hubert
gers	gers
hitte	diyakini
hitte	dipercaya
rap	rap
januárban	januari
sértő	ofensif
sértő	menyinggung
sértő	menghina
sértő	serangan
sértő	menyerang
sértő	mengganggu
sértő	menghina
iowa	iowa
medina	madinah
medina	medina
kölcsön	dipinjam
kölcsön	pinjaman
kölcsön	pinjaman
kölcsön	meminjam
kölcsön	meminjamkan
clarke	clarke
kezdeményezés	inisiatif
kezdeményezés	initiative
régiók	daerah
régiók	wilayah
régiók	region
régiók	kawasan
régiók	daerah
régiók	wilayah
régiók	provinsi
régiók	region
régiók	kawasan
módosult	diubah
módosult	modifikasi
módosult	diubah
módosult	dimodifikasi
algoritmus	algoritma
hallgatta	mendengarkan
hallgatta	didengarkan
marton	marton
randy	randy
ferde	bengkok
ferde	miring
ferde	sipit
ferde	kemiringan
ontario	ontario
megállapítani	mendirikan
riporter	wartawan
riporter	reporter
esély	peluang
esély	chance
esély	peluang
esély	berpeluang
esély	kesempatan
szárnyas	bersayap
szárnyas	unggas
ünnepség	upacara
ünnepség	perayaan
kaliforniában	california
rossi	rossi
temetkezési	undertaker
bis	bis
kibocsátott	diterbitkan
kibocsátott	dikeluarkan
kibocsátott	dipancarkan
laboratóriumi	laboratory
laboratóriumi	laboratorium
rendezni	menetap
berg	berg
állampolgár	warga
állampolgár	citizen
albrecht	albrecht
gomba	jamur
gomba	jamur
gomba	jamur
szavazott	terpilih
nyelveken	bahasa
biztosítva	tertanggung
biztosítva	diasuransikan
afganisztán	afganistan
afganisztán	afghanistan
steiner	steiner
állítólagos	dugaan
állítólagos	diduga
szándéka	niat
szándéka	niat
szándéka	intent
világosabb	ringan
világosabb	pemantik
elérés	jangkau
elérés	jangkauan
visszafelé	kebelakang
visszafelé	mundur
ptolemaiosz	ptolemaios
cliff	tebing
cliff	cliff
memorial	memorial
nicola	nicola
képviselt	diwakili
egyenletes	merata
egyenletes	mantap
leveleket	letters
leveleket	huruf
brecht	brecht
martínez	martínez
növényzet	vegetasi
julien	julien
antarktisz	antarktika
antarktisz	antartika
üzemeltetett	dioperasikan
üzemeltetett	dioperasi
törzsi	suku
beavatkozás	interferensi
beavatkozás	gangguan
beavatkozás	intervensi
tolkien	tolkien
karcsú	langsing
karcsú	slim
karcsú	ramping
karcsú	ramping
tanít	mengajarkan
tanít	mengajari
tanít	mengajar
tanít	pengajaran
tanít	mengajarkan
kétséges	meragukan
kétséges	keraguan
kétséges	ragukan
kétséges	ragu
kétséges	meragukan
kétséges	meragukan
kétséges	diragukan
kétséges	ragu
dobó	bowler
dobó	pelempar
dobó	pitcher
dobó	kendi
dobó	melempar
technikák	teknik
zte	zte
átjáró	portal
átjáró	gerbang
átjáró	gateway
leslie	leslie
pusztító	destruktif
pusztító	merusak
pusztító	menghancurkan
pusztító	destroyer
pusztító	perusak
pusztító	penghancur
bolygók	planet
pearl	pearl
pearl	mutiara
erősíti	memperkuat
átdolgozott	direvisi
átdolgozott	revisi
rétegek	lapis
rétegek	lapisan
rétegek	strata
álma	impian
álma	mimpi
álma	dream
essen	essen
találkozni	bertemu
találkozni	meet
találkozni	temui
romantika	romance
romantika	percintaan
romantika	romansa
romantika	romantis
romantika	asmara
feldolgozó	prosesor
feldolgozó	processor
elena	elena
elektron	elektron
konferencián	conference
konferencián	konferensi
telek	daratan
telek	tanah
telek	land
sűrűsége	kepadatan
par	par
par	nominal
singer	penyanyi
singer	singer
lejárt	kedaluwarsa
lejárt	expired
lejárt	kadaluwarsa
lejárt	kadaluarsa
anatómiai	anatomi
zambia	zambia
leon	leon
laosz	laos
verset	puisi
casa	casa
vezetni	kandar
vezetni	mengemudi
vezetni	drive
rico	riko
rico	rico
haydn	haydn
felhasználás	menggunakan
felhasználás	gunakan
felhasználás	pakai
felhasználás	penggunaan
felhasználás	konsumsi
korong	disk
korong	diska
korong	cakram
korong	puck
korong	disc
korong	diska
korong	cakram
korong	disk
hűséges	loyal
hűséges	setia
hűséges	setia
elektronikai	elektronika
elektronikai	electronics
elektronikai	elektronik
venezuelai	venezuela
venezuelai	venezuela
paradicsom	tomat
paradicsom	tomat
paradicsom	firdaus
paradicsom	surga
paradicsom	paradise
fenntartása	pertahankan
fenntartása	mempertahankan
fenntartása	mempertahankan
fenntartása	pemeliharaan
álláspont	posisi
álláspont	jabatan
fenyegető	mengancam
fenyegető	mengancam
házigazda	penyelenggara
házigazda	host
harmadszor	ketiga
harmadszor	sepertiga
harmadszor	ketiga
faktor	factor
faktor	faktor
federico	federico
növelése	naikkan
növelése	tingkatkan
növelése	meningkat
növelése	meningkatkan
növelése	peningkatan
samantha	samantha
emily	emily
hbo	hbo
szingapúr	singapura
szingapúr	singapore
giacomo	giacomo
hektáros	acre
oszlopok	pilar
oszlopok	kolom
martina	martina
darwin	darwin
domenico	domenico
küld	mengirimkan
küld	mengirim
küld	mengirimkan
küld	kirim
küld	send
küld	kirimkan
doug	doug
lakók	penduduk
lakók	warga
lakók	penghuni
lakók	penyewa
lakók	penghuninya
lakók	penghuni
nyikolajevics	nikolaevich
republikánus	republik
rosszindulatú	menghina
rosszindulatú	mengganggu
rosszindulatú	melanggar
rosszindulatú	penyalahgunaan
rosszindulatú	judes
rövidítések	singkatan
rövidítések	akronim
arabok	arab
elemzés	analisa
elemzés	analisis
tehetségét	bakat
tehetségét	talenta
tehetségét	bakatnya
veronika	veronika
nomád	nomaden
nomád	nomaden
nomád	nomad
járvány	wabah
járvány	wabah
járvány	pandemi
járvány	epidemi
járvány	wabah
kötni	merajut
megfigyelő	pengamat
megfigyelő	observer
lille	lille
vicces	lucu
vicces	kocak
hónapok	bulan
laurent	laurent
alkalmazza	mempekerjakan
alkalmazza	pekerjakan
enged	lets
gázok	gas
válás	perceraian
válás	bercerai
chan	chan
másképpen	sebaliknya
halászat	perikanan
halászat	perikanan
halászat	perikanan
halászat	memancing
halászat	mancing
létrejövő	mengakibatkan
neill	neill
lánc	rantai
lánc	rantai
oxid	oksida
illetékes	kompeten
fortuna	fortuna
nielsen	nielsen
leeds	leeds
vega	vega
vega	bison
vega	vegetarian
vega	vegan
befejeződött	diselesaikan
befejeződött	selesai
boris	boris
fenyegeti	mengancam
kliens	klien
módosítani	modifikasi
módosítani	ubah
módosítani	memodifikasi
koalíció	koalisi
szex	seks
szex	sex
utazók	wisatawan
utazók	pelancong
utazók	musafir
utazók	traveler
utazók	pelancong
utazók	wisatawan
utazók	traveller
utazók	musafir
utazók	wisatawan
utazók	pelancong
kőolaj	oli
kőolaj	oil
kőolaj	minyak
kőolaj	petroleum
spin	berputar
spin	spin
spin	putar
hallottam	mendengar
hallottam	heard
