confesión	confessió
ámoa	ella
ámoa	her
dakar	dakar
dylan	dylan
xastre	sastre
enxergar	entendre
quizabes	podria
quizabes	tinguin
boulevard	boulevard
boulevard	bulevard
clermont	clermont
clermont	clarmont
crucifixión	crucifixió
geneviève	geneviève
melinda	melinda
clotilde	clotilde
imperfecto	imperfecte
imperfecto	imperfectes
imperfecto	la
imperfecto	els
refuxiados	refugiat
refuxiados	refugiats
viñan	vine
cambian	canvia
cambian	canvi
honestidade	honestedat
granxas	granges
granxas	explotacions
mozart	mozart
dados	daus
mestra	mestra
occidental	western
occidental	oest
representar	representar
representar	representen
actuación	actuació
actuación	rendiment
impresionante	impressionants
encaixa	into
encaixa	fits
king	king
king	rei
andy	andy
archie	archie
fantasía	fantasia
xulgar	jutge
xulgar	jutjar
vicepresidente	vici
vicepresidente	vice
vicepresidente	president
fase	etapa
fase	escenari
fase	fase
veredes	veure
veredes	tu
veredes	vostè
deixala	let
deixala	ella
deixala	her
deixala	tu
deixala	vostè
extraordinario	extraordinaris
extraordinario	extraordinària
extraordinario	extraordinàries
anderson	anderson
contesta	resposta
pagas	tu
pagas	vostè
preguntoume	preguntat
impedir	atura
impedir	stop
impedir	mantén
congreso	congrés
recibiron	rebut
recibiron	rebé
recibiron	rebuda
collen	take
béisbol	beisbol
electrónico	electronic
reto	challenge
reto	repte
reto	desafiament
postura	postura
postura	posició
interacción	interacció
relacionado	relacionat
relacionado	relacionada
relacionado	relacionats
tocas	tu
tocas	vostè
despedida	comiat
convencer	convèncer
ego	ego
prioridades	prioritats
largo	aconsegueix
largo	aconseguir
largo	out
experto	perit
experto	expert
referencia	referència
tiveses	tu
tiveses	vostè
tiveses	havien
preocupar	about
gafas	ulleres
secundarios	side
secundarios	costat
secreto	secret
verdadeiros	real
verdadeiros	cert
verdadeiros	true
similares	similars
similares	semblants
similares	similar
desafío	challenge
desafío	repte
desafío	desafiament
capturar	captura
profundidade	profunditat
profundidade	deep
profundidade	profunds
profundidade	profund
capas	capes
capas	or
capas	gold
utiliza	usa
utiliza	utilització
utiliza	ús
virán	vine
operar	operar
maquinaria	maquinària
maquinaria	màquina
renda	lloguer
renda	renda
renda	ingrés
renda	ingressos
sexamos	let
admitir	admetre
inxección	injecció
instrumento	instrument
diaños	la
diaños	els
diaños	infern
diaños	hell
micrófono	micròfon
micrófono	mic
cheguen	aconsegueix
cheguen	aconseguir
cheguen	vine
placas	matrícules
placas	plaques
habitacións	habitacions
habitacións	sales
actuais	actuals
actuais	actual
actuais	corrent
construíu	construït
construíu	construit
construíu	edificat
contrasinal	contrasenya
dispositivos	dispositius
mandela	mandela
mark	marca
mark	mark
particularmente	particularment
entrevistas	entrevistes
lendo	llegint
lendo	lectura
sa	saludables
sa	healthy
sa	sanes
sa	saludable
queixa	denúncia
queixa	queixa
verdades	veritats
tomen	take
manifestación	demostració
manifestación	manifestació
ética	ètica
opresión	opressió
serra	sierra
argumento	argument
xen	gene
xen	gen
asilo	infermeria
asilo	domicili
asilo	llar
autor	autor
ducha	dutxa
amabilidade	bondat
amabilidade	amabilitat
simon	simó
simon	simon
simon	simón
nucleares	nuclear
propiedades	propietat
propiedades	propietats
henry	enric
henry	henry
gañadores	premiats
gañadores	guanyadores
gañadores	guanyadors
use	usa
use	utilització
use	ús
paramos	atura
paramos	stop
aparecer	mostra
aparecer	espectacle
buracos	forats
ensaio	judici
mercados	mercat
mercados	mercats
suecia	suècia
pares	atura
pares	stop
dentista	dentista
comín	ate
reside	mentides
reside	resideix
farían	tinguin
xerais	general
xerais	generals
golpes	bufa
meniño	baby
meniño	nadó
meniño	noi
debiamos	havien
teredes	tinguin
teredes	tu
teredes	vostè
nazis	nazis
nazis	nazi
cazadores	caçadors
cazadores	caça
trataba	fou
musulmáns	musulmans
barrios	barris
barrios	zones
barrios	àrees
barrios	àmbits
microarn	microarn
reláxate	relaxa
reláxate	relax
entendía	entès
entendía	entendre
bater	encertar
bater	hit
perdoar	perdonar
manteñen	mantén
existiu	existia
existiu	existit
existiu	existien
elemento	la
elemento	els
elemento	element
mecánico	mecànica
mecánico	mecànics
mecánico	mecànic
mecánico	mecànic
desaparición	desaparició
piden	ask
piden	per
durmimos	dorm
durmimos	dormir
esquezo	oblida
refire	mitjana
refire	mean
espacial	hubble
espacial	espai
estacións	temporades
estacións	estacions
estacións	estacions
estacións	emissores
barra	barra
barra	bar
barra	quilo
barra	kilo
national	national
national	nacional
osos	óssos
diálogo	diàleg
personalidade	personalitat
gertrude	gertrude
gertrude	gertrudis
sinceramente	realment
perdidos	perduda
perdidos	perduts
perdidos	lost
perdidos	perdut
hara	hara
acusación	acusació
acusación	càrrec
vivido	vivia
vivido	viscut
lanzamento	llença
lanzamento	gota
recorda	recorda
recorda	recordeu
recorda	tu
recorda	vostè
green	green
green	verd
clásico	clàssica
clásico	classic
clásico	clàssic
armado	armat
armado	armats
mobles	mobles
mobles	mobiliari
mobles	moble
negociar	negociar
afastados	from
xestos	gestos
disturbios	motí
gravitacional	gravitatòria
averiguar	out
averiguar	troba
averiguar	trobi
averiguar	trobeu
desgracia	alàs
presencia	presència
teríamos	tinguin
brando	suaus
brando	soft
brando	suau
sospeita	sospita
sospeita	sospitosos
mestura	barreja
mestura	mesclant
mestura	barrejant
novidade	nova
novidade	nou
novidade	noves
mañán	matí
mañán	demà
tua	amorosa
asentos	seients
asentos	assentaments
bicos	petons
soto	soterrani
soto	celler
príncipes	prínceps
príncipes	princes
ocuparse	take
eterna	etern
elixido	elegits
elixido	electes
elixido	triats
elixido	elegit
elixido	escollida
elixido	one
fíxate	mira
fíxate	look
socialismo	socialisme
créame	creure
dareille	donar
mantemento	manteniment
mantemento	manutenció
privilexios	privilegis
sabíao	sabia
molestar	molestar
cansos	cansats
cansos	cansada
cansos	cansats
cansos	cansat
pases	temps
pases	time
botes	embarcacions
botes	vaixells
botes	barques
tivésemos	havien
algodón	cotó
tirado	mentint
tirado	tirada
pazo	villa
volvería	esquena
saes	tu
saes	vostè
saes	out
solitario	solitari
aturo	can
aturo	take
aturo	stand
responsábeis	responsable
responsábeis	per
desexaría	desig
plena	la
plena	els
aparta	aconsegueix
aparta	aconseguir
municións	municions
municións	munició
quite	take
quite	apagat
quite	off
louis	lluís
louis	louis
recordas	recorda
recordas	recordeu
miami	miami
descansa	descansa
descansa	descans
pedido	orde
pedido	ordre
stratton	stratton
francesas	francès
perdes	tu
perdes	vostè
zeke	zeke
detente	atura
detente	stop
servirá	will
servirá	voluntat
digno	dignes
amarelo	groc
wheeler	wheeler
fama	fama
fama	fame
canibalismo	canibalisme
duras	hard
duras	dura
duras	dur
aceno	gest
estouche	tu
estouche	vostè
della	della
trucos	trucs
alumnado	són
alumnado	estudiants
alumnado	alumnat
alumnado	alumnes
burgueses	burgués
vera	vera
tentativa	intentada
tentativa	intent
bárbaros	barbarians
bárbaros	salvatges
entendín	entès
movédevos	mou
stan	stan
stan	tu
stan	vostè
west	oest
bild	bild
marines	marines
marines	marine
dickie	dickie
lucinda	lucinda
cóidate	take
armenia	armènia
correde	executa
correde	córrer
turista	turista
mann	mann
kathy	kathy
alicia	alice
magali	magali
won	guanyat
heavy	heavy
heavy	pesats
heavy	pesada
heavy	pesant
heavy	pesades
wey	wei
farhad	farhad
cora	cora
doutora	metge
doutora	doctor
envioume	enviats
envioume	enviat
conquistar	conquerir
equipos	equips
procede	from
vise	saw
vise	veure
altar	altar
refírome	mitjana
refírome	mean
debates	discussions
debates	debats
debates	debats
redes	xarxes
investigadores	investigadors
utilidade	usa
utilidade	utilització
utilidade	ús
utilidade	utilitat
crece	creix
entretemento	entreteniment
entretemento	entertainment
diapositiva	diapositiva
diapositiva	llisca
trampas	trampes
soben	aixo
soben	que
vense	són
decatei	adonar
cometeu	comès
cometeu	fetes
cometeu	feta
favoritos	preferit
favoritos	favorit
favoritos	preferits
comparten	compartir
comparten	compartició
comparten	comparteix
volvía	esquena
musical	musical
musical	música
detector	detector
illado	aïllat
illado	aïllades
illado	aïllats
illado	aïllada
illado	aixo
illado	que
xuízos	sentències
xuízos	judicis
causas	causes
bate	batecs
bate	batega
substituír	reemplaça
substituír	substitueix
substituír	substitut
substituír	per
debuxo	dibuix
rostros	cares
rostros	cara
rostros	face
aula	room
aula	sala
aula	habitació
aula	classe
manipulación	manipulació
campá	bell
campá	timbre
campá	campana
saíde	aconsegueix
saíde	aconseguir
saíde	out
corrupción	corrupció
entras	vine
elo	aixo
elo	que
preguntarnos	ask
entrando	into
corvos	corbs
prestar	pagant
poñamos	let
persoais	personals
herdanza	patrimoni
herdanza	herència
defecto	predeterminat
eléctrica	elèctric
eléctrica	electric
eléctrica	potència
eléctrica	poder
prestado	presto
prestado	prestades
prestado	prestat
interiores	interiors
traxes	vestit
limitado	limitades
limitado	limitat
limitado	limitats
ancián	antic
ancián	home
ancián	man
infección	infecció
radicais	radicals
radicais	radical
recente	recents
recente	recent
italianos	italià
italianos	italians
xeracións	generacions
barreira	barrera
ouviu	escoltat
ouviu	tu
ouviu	vostè
jamie	jamie
ido	marxat
ido	anat
arruinar	ruïna
toquei	tocat
toquei	tocats
toquei	touch
concertos	concerts
pecho	tanca
virus	virus
pulmóns	pulmons
extremadamente	extremadament
fármacos	drogues
fármacos	fàrmacs
prácticas	pràctiques
prácticas	pràctic
estudios	studios
axuden	auxili
axuden	ajuda
axuden	ajut
arrecifes	coral
arrecifes	corall
arrecifes	esculls
éramos	eren
ondas	ones
ondas	onades
acabará	final
acabará	will
acabará	voluntat
ártico	àrtic
mortas	morts
mortas	dead
egoísta	egoisme
egoísta	egoista
crecín	plantejat
camiñas	caminant
camiñas	tu
camiñas	vostè
camiñas	passeig
claridade	clarament
rescate	rescat
rescate	salvament
xerar	generar
xerar	genera
racismo	racisme
esposo	marit
disposta	disposat
disposta	disposats
disposta	preparats
disposta	preparat
disposta	preparades
grecia	grècia
xove	joves
xove	young
xove	jove
demáis	altres
tecidos	teixits
frecuencia	freqüentment
frecuencia	sovint
caeron	tinguin
kilos	lliures
agradecido	agraït
agradecido	agraïts
aburrida	avorrida
aburrida	avorrit
aburrida	avorrida
aburrida	avorrits
tentan	prova
axencia	agència
motel	motel
responsables	responsable
responsables	responsabilitat
responsables	per
responsables	qui
responsables	who
nobel	nobel
nobel	premi
bonos	segells
sentiu	sentia
sentiu	feltre
falen	talking
falen	parlant
cultivar	cultivar
industriais	industrials
industriais	industrial
industriais	fàbrica
desigualdade	desigualtat
ameazas	amenaces
belfast	belfast
posesión	possessió
poderiades	tu
poderiades	vostè
poderiades	podria
poderiades	podria
curva	corba
curva	torn
entradas	bitllets
entradas	entrades
pasas	tu
pasas	vostè
incriblemente	increïblement
cultivo	cultura
tratamentos	tractament
tratamentos	tractaments
tratamentos	són
almacéns	botigues
almacéns	departament
almacéns	botiga
mecanismo	mecanisme
mecanismo	dispositiu
taylor	taylor
quinto	cinquè
quinto	cinquena
quinto	infern
quinto	hell
mandei	enviats
mandei	enviat
divino	divina
xoguetes	joguina
xoguetes	joguines
vilas	viles
arquivos	fitxers
arquivos	arxius
arquivos	arxius
cambiaron	tinguin
cambiaron	canviades
cambiaron	canviat
cambiaron	canviada
encargo	orde
encargo	ordre
encargo	take
empece	vaga
empece	out
asiáticos	asiàtics
factor	factor
labor	treball
labor	tasca
queimado	cremat
déronlle	fou
perpetua	vida
perpetua	life
perpetua	perpetu
aparencia	mira
aparencia	look
mesas	quadres
mesas	taules
abraham	abraham
temer	temor
temer	fear
temer	por
cinto	cinturó
camiñamos	passeig
lectura	llegint
lectura	lectura
lectura	llegit
lectura	llegir
batallas	batalles
bendiga	beneeixi
bendiga	tu
bendiga	vostè
propietaria	propietari
bonitos	bonic
bonitos	niça
esperade	espereu
esperade	espera
esperade	per
usaba	emprat
usaba	utilitzat
usaba	utilitzats
usaba	usat
ida	ida
matamos	matar
matamos	matat
sentou	sat
mates	kill
mates	mata
mates	matemàtiques
mates	matemàtica
carl	carl
columnas	columnes
furgoneta	van
furgoneta	furgoneta
numerosos	moltes
numerosos	molts
reforma	reforma
incendio	incendi
incendio	foc
estuda	estudi
estuda	estudiant
decepción	decepció
reportaxe	informe
ooh	ooh
móvese	movent
leopardo	lleopard
hola	hola
elvis	elvis
europea	european
mona	mona
ruína	ruïna
oracións	precs
oracións	preguem
xentes	gent
xentes	persones
remedio	tinguin
radiación	irradiació
radiación	radiació
radiación	radiacions
marco	terreny
marco	fotograma
marco	marc
marco	marco
viena	viena
rumbo	curs
rumbo	rumb
modesto	modest
modesto	modesta
vestíbulo	vestíbul
vestíbulo	hall
burguesa	burgués
ave	ocell
ave	ave
voa	mosques
chegado	vine
chegado	amb
brutalidade	brutalitat
cosmos	cosmos
transición	transició
usou	emprat
usou	utilitzat
usou	utilitzats
usou	usat
actuando	actuant
caldeiro	galleda
caldeiro	cubeta
paulo	paulo
atopaba	fou
atopaba	troba
atopaba	trobi
atopaba	trobeu
bandas	bandes
delincuencia	crim
permitirei	will
permitirei	voluntat
permitirei	no
permitirei	let
permitirei	guanyat
permitirei	ella
permitirei	her
iii	iii
levareite	take
levareite	tu
levareite	vostè
prométocho	tu
prométocho	vostè
virei	vine
choras	són
choras	tu
choras	vostè
choras	plorant
choras	plor
choras	ploren
choras	cry
choras	plorar
pagalo	per
municipal	municipal
municipal	municipals
peste	plaga
peste	pesta
estrañas	estranya
estrañas	strange
estrañas	estrany
representantes	representants
representantes	delegats
envexa	enveja
vente	vine
mel	mel
cuartel	seu
cuartel	caserna
cuartel	barracons
calmo	calma
afecto	fond
afecto	afecte
mineiros	miners
coide	mira
coide	look
coide	take
culler	cullera
disparan	disparar
disparan	incendi
disparan	foc
fianza	fiança
mantas	mantes
entendiches	entendre
pálida	pale
fresca	fresc
fresca	fresques
fresca	fresca
fresca	frescos
alice	alice
volverás	tu
volverás	vostè
las	la
las	els
honrado	honorat
honrado	honrat
honrado	honest
honrado	honesta
honrado	sincer
braun	braun
levarei	take
serpe	serpent
serpe	serp
valen	són
proletarios	proletariat
garrett	garrett
víchelo	saw
víchelo	ell
víchelo	tu
víchelo	vostè
walter	walter
bebo	beguda
dicides	say
dicides	tu
dicides	vostè
paras	tu
paras	vostè
paras	atura
paras	stop
abundancia	abundància
pelota	pilota
pagaron	pagat
pagaron	retribuïts
pagaron	pagats
chamaches	tu
chamaches	vostè
chamaches	cridat
cheminea	xemeneia
peggy	peggy
criticar	criticar
semellas	tu
semellas	vostè
semellas	mira
semellas	look
estragar	ruïna
debiches	tu
debiches	vostè
debiches	tinguin
patrulla	patrulla
£	trimestre
£	milions
£	milió
salta	salta
rematará	final
rematará	will
rematará	voluntat
traidores	traïdors
alabama	alabama
desexas	tu
desexas	vostè
milicia	milícia
morrese	die
morrese	morir
morrese	morí
norton	norton
serea	sirena
chamando	trucant
prepara	tu
prepara	vostè
gustouche	tu
gustouche	vostè
gustouche	com
gustouche	like
comerciantes	comerciants
arrestado	detingut
facela	make
facela	ella
facela	her
varón	masculí
varón	mascle
varón	noi
probábel	probablement
probábel	improbable
giuseppe	giuseppe
indio	indi
dáte	pressa
liras	lire
berce	bressol
traficante	concessionari
benditos	beneïda
benditos	esplèndida
benditos	beneït
benditos	són
boden	boden
estuardo	stuart
reféns	ostatges
dios	déu
dios	jesús
frota	flota
celoso	gelós
serventes	servents
seo	seo
punishment	càstig
mercadorías	mercaderies
mercadorías	béns
anano	home
anano	man
gueto	gueto
drummer	timbaler
asger	asger
esmeralda	esmeralda
mali	mali
mali	esquena
dorne	dorne
dígolles	tu
dígolles	vostè
clínicas	clíniques
clínicas	clínic
rifles	rifles
lombo	esquena
parei	aturat
procedemento	procediment
custo	cost
aforros	estalvis
chiste	broma
chiste	acudit
tigre	tiger
tigre	tigre
crecen	aconsegueix
crecen	aconseguir
cáncer	càncer
empezan	inici
empezan	comença
conectados	connectat
tradución	traducció
pintar	paint
pintar	pinta
básicos	bàsic
básicos	bàsics
básicos	bàsiques
básicos	basic
alimentación	menjar
alimentación	alimentació
alimentación	indumentària
alimentación	confecció
doulle	donar
loitas	lluites
loitas	lluita
bunker	bunker
bunker	búnquer
favorito	preferit
favorito	favorit
básico	bàsic
básico	bàsics
básico	bàsiques
básico	basic
camboxa	cambodja
defensores	defensors
axencias	organismes
axencias	agències
axencias	agència
pausa	pausa
alfombra	catifa
botarlle	take
agardade	espereu
agardade	espera
visións	visions
reacciona	reacciona
conceptos	conceptes
xenéticas	gene
xenéticas	gen
asociados	associada
asociados	associades
asociados	amb
confuso	confús
confuso	confós
confuso	confosa
confuso	perduda
confuso	perduts
confuso	lost
confuso	perdut
empregar	usa
empregar	utilització
empregar	ús
oposición	oposició
mecánica	mecànica
mecánica	mecànics
mecánica	mecànic
agochados	amagat
pesados	heavy
pesados	pesats
pesados	pesada
pesados	pesant
pesados	pesades
buraco	forat
chamámoslle	convocatòria
chamámoslle	trucada
inevitable	inevitable
elevado	alta
elevado	high
elevado	alt
direccións	direcció
situacións	situacions
odia	odi
odia	odia
afectan	afecten
afectan	afectar
susan	susan
facerte	make
facerte	tu
facerte	vostè
mundiais	món
mundiais	world
tentarei	prova
tentarei	aconsegueix
tentarei	aconseguir
prioridade	prioritat
descuberto	descobert
pensabamos	pensament
revistas	revista
revistas	revistes
mentras	mentre
bocas	boques
lograr	aconsegueix
lograr	aconseguir
lograr	make
distinguir	distingir
lévanos	into
lagos	lagos
lagos	llacs
recentes	recents
recentes	recent
funcione	treball
certificado	certificat
pipa	pipa
pipa	canonada
conversas	converses
radical	radical
obesidade	obesitat
cuando	quan
cadrado	quadrat
cadrado	plaça
prosperidade	prosperitat
exilio	exili
palma	palm
relativamente	relativament
cordas	cadenes
gráficos	gràfics
órganos	òrgans
decatarse	preavís
comunicarse	comuniqueu
apple	poma
apple	apple
apple	té
funcións	funcions
domina	domina
modernos	moderna
modernos	modern
colonial	colonial
exceso	from
exceso	excés
ostras	engrunes
vermellas	roig
vermellas	vermell
vermellas	red
ocupados	ocupat
avanzada	avançat
avanzada	avançada
avanzada	advanced
cascos	cascs
darvos	donar
darvos	tu
darvos	vostè
darvos	com
darvos	like
botóns	botons
interésame	interessat
interésame	interessats
afirmación	declaració
afirmación	afirmació
emocionado	emocionat
champaña	champagne
champaña	xampany
inda	encara
nalgo	quelcom
nalgo	algo
chamaría	convocatòria
chamaría	trucada
austria	àustria
agricultura	agricultura
unidas	junts
ratos	ratolins
ratos	rates
ratos	rats
dispoñible	disponibles
dispoñible	disponible
plataforma	plataforma
celebración	celebració
soubera	sabia
provén	from
provén	tiges
avós	avis
namorada	amor
namorada	amb
enfadado	enfadat
enfadado	mad
enviado	enviats
enviado	enviat
demasiadas	moltes
demasiadas	molts
dígoo	només
impórtalle	tu
impórtalle	vostè
impórtalle	ment
evidencias	evidència
preocupados	preocupat
preocupados	about
secundaria	alta
secundaria	high
secundaria	alt
secundaria	escola
secundaria	secundari
secundaria	secundaria
primas	materials
primas	matèries
irlanda	irlanda
irlanda	bellvís
seguín	seguí
seguín	seguit
seguín	guardava
seguín	mantingut
seguín	guardats
curiosamente	curiosament
mercou	comprat
escritores	escriptores
escritores	escriptors
universidades	universitats
universidades	universitat
ridícula	ridícul
podre	podrit
calcetíns	mitjons
calcetíns	socks
buscamos	per
anual	anual
anual	anuals
avances	avançaments
partidos	parts
partidos	mistos
partidos	partits
partidos	coincidències
partidos	coincideix
necesarias	necessàries
posiblemente	possiblement
delicado	delicada
delicado	delicat
ofrecerlle	oferta
durmas	dorm
durmas	dormir
durmas	despert
repito	repeteix
repito	repetició
crían	creien
crían	cregut
crían	creure
atoparse	conèixer
mensaxeiro	missatger
mensaxeiro	messenger
respiro	break
respiro	descans
respiro	alè
respiro	descansa
respiro	descans
controla	controls
combustible	combustible
sutil	subtil
crendo	creure
crendo	pensant
crendo	estimant
adoitaban	emprat
adoitaban	utilitzat
adoitaban	utilitzats
adoitaban	usat
alexander	alexandre
alexander	alexander
mortalidade	mortalitat
mortalidade	defunció
mortalidade	mort
accidentes	accidents
accidentes	accident
inclúe	inclou
seco	secà
materias	cru
materias	raw
misericordioso	misericordiós
xesucristo	jesús
xesucristo	crist
tradicións	tradicions
tradicións	tradició
alcohol	alcohol
alivio	socors
alivio	relleu
insectos	insectes
túnel	túnel
duelo	duel
mares	mar
mares	seas
vivas	vivint
artística	artístic
artística	artística
artística	artístics
artística	direcció
marxe	room
marxe	sala
marxe	habitació
sigamos	let
resolución	resolució
ensinou	imparteix
ensinou	impartit
cegos	cecs
cegos	cec
feixe	pila
feixe	lot
rexistros	rècords
rexistros	registres
globo	globus
choraba	plorant
choraba	plor
choraba	plorat
continuou	continuat
continuou	continuada
elefante	elefant
elefante	elefants
golf	golf
sétimo	setena
sétimo	setè
creceu	hi
creceu	allà
venden	vendre
camas	llits
atopara	havien
atopara	met
dixestes	tu
dixestes	vostè
bonecas	nines
bonecas	dolls
evento	esdeveniment
festival	festival
determinación	determinació
chamaron	cridat
brasil	brasil
afeita	emprat
afeita	utilitzat
afeita	utilitzats
afeita	usat
afeita	tu
afeita	vostè
arriscar	risc
pito	pollastre
pito	cigarreta
pito	cigarret
censura	censura
crianzas	fills
crianzas	infants
crianzas	nens
montes	muntanyes
chamados	cridat
proveito	alguns
proveito	algunes
cualificación	qualificació
cualificación	puntuació
cualificación	habilitació
obstante	tanmateix
insultar	insult
insultar	insultant
liberal	liberal
descoñecidos	estranys
descoñecidos	desconeguts
stewart	stewart
perdera	perduda
perdera	perduts
perdera	lost
perdera	perdut
perdera	havien
escuros	deep
escuros	profunds
escuros	profund
escuros	fosc
internacionais	internacional
internacionais	international
internacionais	internacionals
socio	soci
socio	associat
extrema	extrem
extrema	extrema
extrema	extreme
esquecido	oblidats
esquecido	oblidat
escoitarme	escoltant
escoitarme	escolta
escoitarme	escolteu
rabia	colera
rabia	ràbia
rabia	out
caros	car
católica	catòlic
católica	catòlica
sacrificar	sacrifici
sacrificar	sacrificant
apropiado	apropiat
apropiado	correspongui
carreta	phantom
carreta	carro
buscaba	fou
buscaba	per
dubido	dubte
suor	suar
suor	suor
merca	compra
merca	buy
merca	comprar
atraso	tard
copas	begudes
recto	recta
recto	rectes
saúda	say
saúda	hola
caramba	vine
falabamos	about
falabamos	parlava
contarllo	ell
escríbeme	escriu
dáma	donar
