yra	—
vasaros	летам
vasaros	лета
verslo	і
verslo	бізнэс
dainos	песні
dainos	вызвалення
dainos	сьпевамі
dainos	песьні
ispanijos	іспанская
reikia	трэба
reikia	патрэбна
reikia	павінны
reikia	патрэбы
sienos	сцяну
sienos	сцяна
sienos	мур
karinis	арміі
parašė	напісаў
parašė	напісала
parašė	пісаў
marijos	таямніца
marijos	таямніцу
marijos	тайну
marijos	тайны
marijos	тайна
kultūra	культуры
kultūra	культура
kultūra	культуру
kultūra	культурай
geriausias	найлепшы
vokietija	германія
vokietija	германіі
gerai	добры
gerai	добра
gerai	добрыя
gerai	добрае
gana	што
gana	даволі
gana	вельмі
gana	даволі
gana	настолькі
visiškai	канца
kunigas	сьвятар
moteris	жанчына
jiems	іх
jiems	ім
jiems	імі
eina	ідзе
kaimai	мястэчках
kaimai	мястэчкі
žmogus	чалавека
žmogus	людзей
žmogus	чалавек
žmogus	ён
namai	дамоў
namai	дамы
žaidėjas	player
stotis	прыпынку
keletą	некалькі
taikos	мір
taikos	супакой
taikos	супакоі
vietų	сынагогах
karas	вайны
karas	сусветнай
karas	вайна
karas	вайну
karas	вайне
darbai	працуе
darbai	справы
darbai	учынкаў
persikėlė	вымеценым
knyga	кнізе
knyga	кнігу
knyga	кнігі
knyga	кніга
vidaus	ўнутраныя
indijos	індыі
greitai	хутка
greitai	неўзабаве
greitai	адразу
greitai	хутка
greitai	рэстараны
greitai	посьцяць
greitai	посьціць
greitai	посьцячыся
greitai	хуткая
greitai	хуткі
greitai	хутка
greitai	хутчэй
greitai	адразу
sovietų	савецкай
technologijos	тэхналогій
technologijos	тэхналогію
technologijos	тэхналогіі
technologijos	тэхналогія
departamentas	міністэрства
palaidotas	пахавалі
biblioteka	бібліятэкай
jas	іх
jas	ім
jas	імі
netrukus	пасля
abu	і
abu	так
abu	абодва
abu	другое
klasės	класе
klasės	клас
klasės	урок
informacija	інфармацыі
informacija	інфармацыю
informacija	інфармацыя
informacija	інфармацыяй
informacija	зьвестак
garbės	пашана
garbės	пашаны
garbės	пашану
garbės	шануй
garbės	славу
garbės	слава
garbės	і
medžiagų	матэрыялаў
knygą	кнізе
knygą	кнігу
knygą	кнігі
knygą	кніга
tomas	том
tomas	тома
elektros	электрычнасці
knygos	кніг
knygos	кнігі
knygos	кніжак
tautos	народаў
tautos	народы
medžiagos	матэрыялаў
kompanija	фірму
kompanija	кампаніі
kompanija	кампанію
kompanija	з
kompanija	кагорту
filosofijos	філасофіі
amerikoje	амерыцы
amerikoje	амерыкі
amerikoje	зша
ataskaita	аб
ataskaita	заяўляць
ataskaita	паведаміце
ataskaita	пра
britanijos	брытанскіх
jeigu	калі
rinkimų	выбараў
rašė	напісаў
rašė	напісала
rašė	пісаў
miškai	лес
miškai	леса
finalas	таго
kalnas	гара
kalnas	гары
linija	радку
policijos	паліцыю
policijos	паліцыя
augalas	саджайце
mano	мая
mano	мой
mano	помста
mano	мае
mano	маё
mano	mine
ispanų	іспанская
akmuo	камень
akmuo	камяню
akmuo	скале
romanas	раману
gyvūnų	жывёлаў
gyvūnų	жывёлы
gyvūnų	жывёл
gyvūnų	жывёлах
gyvūnų	чатырохногіх
gyvūnų	жывёла
brolis	братам
brolis	брат
brolis	брата
brolis	брату
fizikos	фізіка
didelis	вялікага
didelis	што
didelis	вялікі
didelis	вялікія
didelis	мноства
didelis	шматлікі
didelis	шматлікія
didelis	вялікі
išleista	ноч
išleista	правёў
amžius	эра
amžius	веку
mokymo	вучэньне
mokymo	навучаючы
mokymo	навукі
dolerių	даляраў
dolerių	даляры
atsisakė	адмовіўся
japonų	японец
japonų	японскай
japonų	японскі
žaidimų	гульні
įmonė	фірму
įmonė	кампаніі
įmonė	кампанію
įmonė	з
įmonė	кагорту
įmonė	і
įmonė	бізнэс
bendrovė	фірму
bendrovė	кампаніі
bendrovė	кампанію
bendrovė	з
bendrovė	кагорту
save	сябе
save	сябе
save	самога
darbas	працу
darbas	праца
darbas	задача
darbas	працы
darbas	працы
darbas	праца
darbas	працу
gyvenimas	жыццё
gyvenimas	жыцця
gyvenimas	жыцьцё
gyvenimas	душу
bendrovės	фірму
bendrovės	кампаніі
bendrovės	кампанію
bendrovės	з
bendrovės	кагорту
bendrovės	кампаніі
bendrovės	кампаній
tiesiog	папросту
tiesiog	проста
tiesiog	толькі
tiesiog	проста
tiesiog	толькі
tiesiog	як
žaidimas	гульня
žaidimas	гульні
žaidimas	гульню
medžio	дрэва
medžio	дрэвам
akmens	камень
kaimų	мястэчках
kaimų	мястэчкі
paliko	пакінуў
paliko	пакінула
paliko	выйшаў
paliko	пакінуўшы
modelis	мадэль
modelis	s
modelis	мадэлі
naftos	алеем
naftos	алею
naftos	і
naftos	алей
karinės	арміі
bendras	агульнага
bendras	аднолькавае
bendras	агульнае
ligos	хваробы
ligos	немач
teisėjas	судзіць
teisėjas	судзіце
teisėjas	судзьдзя
teisėjas	судзіш
dievas	бог
dievas	богу
dievas	бога
david	давіда
david	давід
žurnalas	часопіса
didelės	вялікага
didelės	што
didelės	вялікі
didelės	вялікія
vyras	муж
vyras	мужа
vyras	чалавек
vyras	ён
jūra	мора
jūra	моры
jungtinės	зша
jungtinės	штаты
projektas	праект
projektas	project
mokytoja	настаўніка
mokytoja	настаўнік
ištekėjusi	замуж
ištekėjusi	жанаты
ištekėjusi	ажанілася
ištekėjusi	ажаніўся
ištekėjusi	замужам
ištekėjusi	жонку
motinos	маці
linijos	лініі
teorija	тэорыя
kūnas	цела
kūnas	целе
gyventi	жыву
gyventi	жыць
gyventi	жывуць
gyventi	жыве
gyventi	жывога
gyventi	жывёлы
egipto	егіпце
egipto	эгіпту
egipto	эгіпет
egipto	эгіпце
egipto	эгіпецкай
galvos	галавы
galvos	галаве
galvos	галаву
galvos	галава
galvos	галавою
atvyko	прыйшла
atvyko	прыйшоў
atvyko	прыйшлі
sėkmingai	паспяховых
laikas	раз
laikas	часу
laikas	час
kalnuose	горы
projekto	праект
projekto	project
visada	заўсёды
moterys	жанчын
moterys	жанчынам
moterys	жанчынамі
moterys	жанчыны
kanados	канадзе
žuvų	рыбу
žuvų	рыбы
žuvų	рыбаў
teorijos	тэорыя
turėtų	трэба
turėtų	няхай
kūriniai	працуе
kūriniai	справы
kūriniai	учынкаў
google	google
tyrimai	даследванні
kalnai	горы
širdies	сэрца
širdies	сэрцы
liga	немач
geriausia	найлепшы
man	мяне
man	мне
man	мною
darbininkų	работнікаў
duktė	дачку
duktė	дачка
duktė	дачкі
objektų	аб
patys	сябе
metrų	метраў
vertė	каштоўнасць
vertė	значэньне
karui	вайны
karui	сусветнай
karui	вайна
karui	вайну
karui	вайне
interneto	сеціва
interneto	інтэрнэт
interneto	інтэрнэт
interneto	інтэрнэту
interneto	інтэрнэце
interneto	інтэрнэтам
interneto	internet
stoties	прыпынку
tauta	краіне
tauta	нацыі
tauta	народ
tauta	паўстане
tauta	народу
tikslas	прызначэння
tikslas	мэта
statusą	статус
augalai	плады
tom	том
tom	тома
klasė	класе
klasė	клас
klasė	урок
būtent	менавіта
būtent	дакладна
žodžiai	слова
žodžiai	словы
žodžiai	словамі
žodžiai	словаў
mokslas	навуцы
mokslas	навука
mokslas	навуку
mokslas	навукі
medienos	дрэва
aukščiausia	найлепшы
akmenų	камянёў
akmenų	камяні
akmenų	камяні
japonija	японіі
japonija	японія
japonija	японію
geležies	жалеза
prisijungė	да
vyrai	мужчыны
vyrai	мужчын
vyrai	мужы
vyrai	мужоў
žvaigždės	зорка
žvaigždės	зорку
dėmesio	ўвагі
dėmesio	увагі
rinkimai	выбараў
mokymosi	вывучэння
mokymosi	навучання
mokymosi	вучыцца
mokymosi	навучэнне
mokymosi	навучэння
greitis	хуткасці
miškas	лес
miškas	лесу
miškas	лесе
sezonas	час
abi	і
abi	так
abi	абодва
abi	другое
tėvai	бацькоў
tėvai	бацькі
žvaigždžių	зоркі
žvaigždžių	зорак
aleksandro	аляксандра
aleksandro	аляксандар
geriau	лепш
geriau	лепей
saulius	саўл
saulius	саўле
saulius	саўла
video	відэа
tiesa	так
tiesa	праўда
tiesa	праўдзівы
tiesa	праўда
tiesa	праўды
tiesa	праўдзе
vyro	муж
vyro	мужа
lengvai	лёгка
lengvai	проста
lengvai	лёгкімі
lengvai	лёгка
lengvai	выкарыстаньні
siena	сцяну
siena	сцяна
siena	мур
gatvė	вуліцы
gatvė	вуліца
gatvė	вуліцу
viduje	унутры
viduje	ўнутры
paukščiai	птушак
paukščiai	птушкі
ląstelių	вуза
gatvės	вуліцы
gatvės	вуліца
gatvės	вуліцу
izraelio	ізраіль
izraelio	ізраіля
izraelio	ізраілю
sostą	пасад
sostą	пасаду
sostą	пасадам
sostą	пасадзе
james	джэймс
james	якуба
james	якуб
mokesčių	скарб
pavyko	атрымалася
galios	моц
galios	сілаю
galios	сілу
mintis	ідэю
mintis	ідэя
būdas	шлях
kolonija	калонію
kolonija	калоніі
teigė	казалі
šakos	галіны
ilgai	даўно
ilgai	доўга
paulius	павал
paulius	паўла
kūrybos	творчы
kūrybos	творчымі
kūrybos	творчыя
kūrybos	творчага
revoliucijos	рэвалюцыю
revoliucijos	рэвалюцыі
laikyti	і
laikyti	краму
laikyti	зьбірайце
kapitonas	настаўнік
kapitonas	пан
technologijų	тэхналогій
technologijų	тэхналогію
technologijų	тэхналогіі
technologijų	тэхналогія
nieko	нічога
nieko	не
nieko	нішто
nieko	ня
tarnyba	офісе
tarnyba	прэзідэнта
tarnyba	працу
ligų	хваробы
festivalis	сьвяце
festivalis	сьвята
festivalis	праснакоў
judėjimas	руху
rock	камень
rock	камяню
rock	скале
broliai	браты
broliai	братоў
balsų	галасы
tikriausiai	напэўна
tikriausiai	мабыць
tikriausiai	магчыма
vykdyti	балатавацца
vykdyti	ехаць
vykdyti	вадзіць
vykdyti	выганяю
vykdyti	выганяць
žvaigždė	зорка
žvaigždė	зорку
dėmesį	ўвагі
dėmesį	увагі
milijonų	мільёны
gamyklos	заводы
gamyklos	заводах
galia	моц
galia	сілаю
galia	сілу
kanadoje	канадзе
dangaus	неба
dangaus	небе
dangaus	небе
dangaus	блакітнае
dangaus	неба
dangaus	нябесныя
greičiausiai	напэўна
greičiausiai	мабыць
greičiausiai	магчыма
karalienė	даму
karalienė	дамы
dideli	мноства
dideli	шматлікі
dideli	шматлікія
dideli	вялікі
dideli	вялікага
dideli	што
dideli	вялікі
dideli	вялікія
filmai	кіно
anglies	вугляроду
šiandien	сёння
šiandien	сёньня
praleido	ноч
praleido	правёў
energija	энергія
energija	энергіі
energija	энэргію
energija	энэргіі
energija	энэргія
gauna	атрымлівае
institucija	ўладу
institucija	уладаю
institucija	уладу
institucija	ўладаю
dukra	дачку
dukra	дачка
dukra	дачкі
vedęs	замуж
vedęs	жанаты
vedęs	ажанілася
vedęs	ажаніўся
vedęs	замужам
vedęs	жонку
didelių	мноства
didelių	шматлікі
didelių	шматлікія
didelių	вялікі
atrodo	выглядае
atrodo	падобны
gamykla	саджайце
kariai	жаўнеры
kariai	жаўнераў
kariai	узяўшы
kariai	жаўнерам
lenktynių	навыперадкі
augo	сваякамі
augo	сваякоў
namas	дом
namas	доме
stovėjo	стаялі
stovėjo	стаяў
stovėjo	яго
stovėjo	стаў
stovėjo	стаўшы
stovėjo	сталі
stovėjo	устаўшы
įranga	машыны
įranga	машыннай
įranga	машынная
įranga	машына
įranga	машыну
šaka	галіну
šaka	галіна
dainas	песні
dainas	вызвалення
dainas	сьпевамі
dainas	песьні
garsus	гучыць
valdo	ўцякае
tamsiai	цёмнай
tamsiai	цёмная
tamsiai	цёмны
tamsiai	і
tamsiai	цёмна
tamsiai	цемры
mokytis	вывучэння
mokytis	навучання
mokytis	вучыцца
mokytis	навучэнне
mokytis	навучэння
mokytis	вывучыць
mokytis	навучыцца
mokytis	навучыцеся
unikalus	адзінкавыя
bangos	хваля
jais	іх
jais	ім
jais	імі
park	парк
park	парку
namus	дамоў
lėktuvas	самалёт
live	жыву
live	жыць
live	жывуць
karinė	арміі
raudona	чырвоную
raudona	чырвоны
raudona	чырвонае
raudona	чырвонага
rašyti	напішу
rašyti	пісаць
rašyti	напісаў
rašyti	напішы
medžiai	дрэвы
medžiai	дрэваў
medžiai	дрэў
karalystę	целе
karalystę	пекле
kolegijos	каледжаў
kolegijos	каледж
kolegijos	каледжы
kolegijos	выгады
festivalio	сьвяце
festivalio	сьвята
festivalio	праснакоў
meilės	каханне
meilės	любоў
meilės	любіць
meilės	любові
elementai	стыхіі
elementai	элемэнтаў
jungtinė	зша
jungtinė	штаты
žydai	юдэі
žydai	юдэяў
žydai	юдэям
miestus	гарадах
gautas	атрымалі
gautas	атрымаў
gautas	прынялі
gautas	прыняў
kūryba	стварэньня
kūryba	стварэньне
kūryba	заснаваньня
žodynas	слоўнік
biuro	офісе
biuro	прэзідэнта
biuro	працу
augimo	рост
smegenų	мазгу
smegenų	мозга
smegenų	мозг
smegenų	мозгу
tikras	рэальным
tikras	сапраўднае
tikras	сапраўдны
tikras	рэальны
tikras	рэальныя
tikras	што
tikras	упэўніцца
tikras	ўпэўнены
tikras	ім
pasirodo	дзяцінства
pasirodo	успаміны
pasirodo	памяць
ričardas	рычард
don	не
don	ведаю
klubai	трэфовую
gyvūnai	жывёлаў
gyvūnai	жывёлы
gyvūnai	жывёл
gyvūnai	жывёлах
gyvūnai	чатырохногіх
gyvūnai	жывёла
viršuje	залю
viršuje	залі
sesuo	сястра
sesuo	сястры
karjeros	кар
karjeros	кар
karjera	кар
karjera	кар
kalvos	гары
galbūt	магчыма
galbūt	можа
galbūt	мабыць
galbūt	магчыма
pobūdžio	прыродзе
pobūdžio	прыроду
pobūdžio	прыроды
vartai	брамы
vartai	брамы
vartai	брама
vartai	брамаў
primena	дзяцінства
primena	успаміны
primena	памяць
vaisiai	плод
vaisiai	плады
vaisiai	плоду
vaisiai	пладоў
stalo	стол
kojos	ногі
kojos	перабілі
kojos	нага
vadina	называем
vadina	называюць
vadina	клікаць
žuvis	рыбу
žuvis	рыбы
žuvis	рыбаў
dvd	dvd
dvd	dvd
ugnies	агонь
ugnies	агню
ugnies	агнём
versijos	версіі
tinka	масці
vaikas	дзіця
vaikas	дзіця
vaikas	дзіцятка
bibliotekos	бібліятэкай
parduota	за
parduota	прадалі
parduota	прадаць
parduota	прадаюцца
parduota	прадаў
parduota	прадавалі
parduota	меў
smėlio	пясок
rokas	камень
rokas	камяню
rokas	скале
drauge	сяброўка
drauge	сябар
drauge	сябра
sosto	пасад
sosto	пасаду
sosto	пасадам
sosto	пасадзе
simonas	сымона
simonas	сымону
simonas	сымон
simonas	сымоне
išsilavinimas	адукацыю
išsilavinimas	адукацыі
išsilavinimas	адукацыя
filosofija	філасофіі
laisvai	дарма
laisvai	адпусьціць
senas	старыя
senas	старое
sekmadienį	нядзелю
sekmadienį	нядзеля
idėja	ідэю
idėja	ідэя
pulko	статак
požymiai	якасцямі
požymiai	атрыбуты
žaidimai	гульні
trumpai	кароткі
trumpai	апавяданняў
trumpai	кароткае
trumpai	малы
dainavo	сьпяваюць
kanada	канадзе
įstaigų	цела
įstaigų	целаў
įstaigų	палеглі
įstaigų	захістаюцца
įstaigų	целы
sėkmės	поспеху
sėkmės	поспех
nori	хачу
tikrai	сапраўды
tikrai	ці
tikrai	праўда
tikrai	сапраўды
tikrai	вельмі
tikrai	насамрэч
joseph	язэп
joseph	язэпа
joseph	ёсіі
sinagoga	сынагогу
sinagoga	сынагозе
sinagoga	сынагогі
reikėjo	павінна
reikėjo	патрэбна
reikėjo	патрэбны
reikėjo	каб
reikėjo	трэба
reikėjo	голы
auksinis	залатых
auksinis	золата
auksinis	золатам
niekas	ніхто
sodas	садзе
sodas	гарод
sodas	сад
sodas	і
vykdo	выганяе
eiti	ідзіце
eiti	ідзі
akis	вочы
akis	вачах
akis	вачэй
akis	акуліста
akis	акуліст
akis	вока
akis	воку
akis	вушка
darbuotojai	работнікаў
bažnyčių	цэркваў
bažnyčių	цэрквах
bažnyčių	цэрквы
tiksliai	менавіта
tiksliai	дакладна
modeliai	мадэлі
mėgsta	любіць
mėgsta	любіць
tradicijos	традыцыі
tradicijos	традыцыі
ilgas	даўно
ilgas	доўга
cukraus	цукру
akių	акуліста
akių	акуліст
akių	вока
akių	воку
akių	вушка
akių	ветру
akių	вецер
sūnūs	сыноў
sūnūs	сыны
vartų	брамы
vartų	брама
vartų	брамаў
puikiai	вялікую
puikiai	вялікі
puikiai	добры
puikiai	добра
puikiai	добрыя
puikiai	добрае
idėjos	ідэй
idėjos	ідэі
grįžti	вернецца
grįžti	вярнуся
grįžti	прыйду
mirtis	смерць
mirtis	сьмерць
mirtis	сьмерці
ranka	руку
ranka	руцэ
ranka	рука
ranka	рукі
metodas	метад
gyvybės	жыццё
gyvybės	жыцця
gyvybės	жыцьцё
gyvybės	душу
viskas	усё
viskas	ўсё
viskas	ўсім
išteklių	рэсурсаў
dviračių	веласіпедзе
dviračių	ровар
dviračių	веласіпед
inžinerijos	інжынерных
laukas	поле
laukas	полі
bangų	хваля
youtube	youtube
youtube	ютуб
žymi	вядомы
žalia	зялёныя
amerika	амерыцы
amerika	амерыкі
amerika	зша
atėjo	прыйшлі
atėjo	прыйшоў
pakviestas	запрасіла
pakviestas	запрасілі
pakviestas	запрасіў
pakviestas	прасіў
pakviestas	прыходзьце
pakviestas	запрошаныя
pakviestas	пакліканых
pakviestas	пакліканыя
gal	можа
gal	мабыць
gal	магчыма
indija	індыі
viską	усё
viską	ўсё
viską	ўсім
ginklai	зброяй
asmeninis	асабістым
asmeninis	персанальных
seka	паслядоўнасці
dvasios	дух
dvasios	духу
dvasios	духа
konstrukcijos	структур
mergina	дзяўчына
mergina	дзяўчыну
mergina	дзяўчынку
mergina	дзяўчынка
mergina	дзяўчыне
egipte	егіпце
egipte	эгіпту
egipte	эгіпет
egipte	эгіпце
egipte	эгіпецкай
dujos	газ
kalifornijos	каліфорніі
kalifornijos	каліфорнія
išsaugoti	выратаваць
išsaugoti	збавіш
išsaugoti	збавіць
išsaugoti	збаў
banga	хваля
statybų	пабудаваны
statybų	пабудаваў
ginklas	зброяй
policija	паліцыю
policija	паліцыя
tradicijas	традыцыі
mama	грызлі
mama	маці
mama	маці
tikėjimo	вера
tikėjimo	веру
asmenybės	асобы
asmenybės	асоба
kilę	каленаў
apsaugoti	абараніць
apsaugoti	абараняць
apsaugoti	іх
tikra	так
tikra	праўда
tikra	праўдзівы
trumpas	кароткі
trumpas	апавяданняў
trumpas	кароткае
trumpas	малы
draugas	сяброўка
draugas	сябар
draugas	сябра
juoda	чорны
juoda	чорная
juoda	чорныя
juoda	чорным
joms	іх
joms	ім
joms	імі
karaliai	валадароў
karaliai	валадары
karaliai	валадарамі
suaugusiųjų	дарослых
pulkas	статак
nužudyti	забіць
nužudyti	заб
nužudyti	загубіць
pilnai	канца
sniego	снег
vėžio	раку
vėžio	рак
religinių	рэлігійныя
autobusų	аўтобус
britai	брытанскіх
kolegija	каледжаў
kolegija	каледж
kolegija	каледжы
kolegija	выгады
karai	войны
poilsio	супачынак
poilsio	іншыя
raketų	ракеты
įmanoma	магчымым
įmanoma	магчыма
feliksas	фэлікс
dizaino	дызайн
rytas	раніцай
rytas	раніцы
rytas	ранку
rytas	раніца
gan	што
gan	даволі
gan	вельмі
gamta	прыродзе
gamta	прыроду
gamta	прыроды
technologija	тэхналогій
technologija	тэхналогію
technologija	тэхналогіі
technologija	тэхналогія
kapas	магіле
kapas	магілы
kapas	магіла
plaučių	лёгкіх
kapitalo	яго
kapitalo	капітал
kapitalo	сталіца
durų	дзверы
durų	адчыняць
aukų	тэрарызму
meilė	каханне
meilė	любоў
meilė	любіць
meilė	любові
valdoma	атрымалася
neįmanoma	немагчымае
neįmanoma	што
neįmanoma	немагчыма
kareiviai	жаўнеры
kareiviai	жаўнераў
kareiviai	узяўшы
kareiviai	жаўнерам
kilometrų	кіламетраў
vartus	брамы
mediena	дрэва
tradicija	традыцыі
sėklos	насеньне
sėklos	ўпала
sėklos	зерне
sėklos	пасеянае
oras	надвор
oras	паветра
įstatymai	законы
geras	добры
geras	добра
geras	добрыя
geras	добрае
islandijos	востраў
juodas	чорны
juodas	чорная
juodas	чорныя
juodas	чорным
mašinos	машын
mašinos	машыны
brolių	браты
brolių	братоў
pirmadienį	панядзелак
arti	блізка
džeimsas	джэймс
džeimsas	якуба
džeimsas	якуб
greičio	хуткасці
lyg	як
auksas	золата
auksas	золатам
gėrimas	піць
gėrimas	п
filialas	галіну
filialas	галіна
žuvys	рыбу
žuvys	рыбы
žuvys	рыбаў
maldos	малітва
maldos	малітву
maldos	малітве
maldos	малітвах
maldos	просьба
maldos	малітвы
maldos	прашу
maldos	памаліўшыся
maldos	богу
maldos	пакланяюцца
maldos	пакланяцца
maldos	просьбы
maldos	моляцца
maldos	малітвах
maldos	малітвы
maldos	малітвамі
ryto	раніцай
ryto	раніцы
ryto	ранку
ryto	раніца
aliejus	алеем
aliejus	алею
aliejus	і
aliejus	алей
ilgiau	больш
ilgiau	даўжэй
analizė	аналіз
sparnai	крылы
sparnai	крылаў
den	пячорай
idėjų	ідэй
idėjų	ідэі
būdais	шляхі
maistas	ежы
maistas	ежу
maistas	ежа
maistas	хлеб
garsas	гучаць
garsas	гук
garsas	голас
druskos	соль
visuomenė	грамадстве
visuomenė	грамадства
kelionė	падарожжа
kelionė	шляху
kelionė	да
kelionė	дарогу
arklių	коней
organai	цела
organai	целаў
organai	палеглі
organai	захістаюцца
organai	целы
mokymas	вучэньне
mokymas	навучаючы
mokymas	навукі
mokymas	слове
mokymas	настаўленьне
mokymas	настаўленьня
izraelis	ізраіль
izraelis	ізраіля
izraelis	ізраілю
frank	франк
akys	вочы
akys	вачах
akys	вачэй
bendrovių	кампаніі
bendrovių	кампаній
dantų	зуб
deja	нажаль
deja	жаль
augti	калі
augti	растуць
augti	расьці
graikai	грэкі
graikai	грэкаў
turtas	маёмасьць
akmenys	камянёў
akmenys	камяні
akmenys	камяні
dnr	днк
karta	пакаленне
karta	пакаленьне
karta	пакаленьня
kalifornijoje	каліфорніі
kalifornijoje	каліфорнія
gydymas	лекаванне
gydymas	лекавання
auginamos	дарослым
modelių	мадэлі
ginti	адказваць
dizainas	дызайн
kalbėjo	размаўляюць
kalbėjo	сказаў
kalbėjo	гаварылі
kalbėjo	гаварыў
kalbėjo	з
kalbėjo	сказаў
kalbėjo	пра
