keith	keith
kalibra	kaliibriga
jason	jason
guillaume	guillaume
danny	danny
skrajno	äärmuslik
ravna	tasane
ravna	lame
instrument	instrument
instrument	pill
instrument	vahend
delec	fragment
delec	osakeste
delec	osakesed
delec	osake
negativna	negatiivne
negativna	negatiivsed
konzulat	konsulaat
učitelji	õpetajad
izkoristek	tõhusus
izkoristek	efektiivsus
izkoristek	kasutegur
izkoristek	tõhusus
izkoristek	efektiivsus
zatočišče	varjupaik
zatočišče	peavarju
zatočišče	varjupaik
zatočišče	varjupaik
zatočišče	pelgupaik
brod	brod
zaposlitve	töökohad
zaposlitve	tööhõive
sivo	gray
sivo	hall
sivo	hallid
sivo	hall
sivo	grey
sod	tünn
prizor	stseen
prizor	stseeni
vlakna	kiu
vlakna	kiud
vlakna	kiud
vlakna	kiud
keramike	keraamika
tarča	eesmärk
tarča	siht
tarča	märklaud
tarča	target
tarča	sihtmärk
arizona	arizona
zmogljivosti	võimekus
zmogljivosti	võimsus
zmogljivosti	võimekus
spektra	spektri
santo	santo
dvoboj	duell
objavlja	avaldab
liverpool	liverpooli
meč	mõõk
upanje	loodan
upanje	lootus
grumman	grumman
indeks	indeks
indeks	index
spoštovanje	lugupidamine
spoštovanje	austus
chapelle	chapelle
arheološki	arheoloogiline
definira	määratleb
eksplozije	plahvatus
eksplozije	plahvatused
demokratična	demokraatlik
demokratična	demokraatlikud
marin	marin
preostale	jäänud
razvite	arenenud
razvite	arendatud
moralno	moraalselt
moralno	moraal
moralno	moraalne
negativni	negatiivne
negativni	negatiivsed
razni	mitmesugused
zadovoljstvo	rahulolu
zadovoljstvo	rõõm
zadovoljstvo	nauding
predpisi	määrused
predpisi	reeglid
predpisi	eeskirjad
usmerjeno	suunatud
delovalo	töötatud
delovalo	töötas
delovalo	töötanud
hribi	mäed
hribi	hills
oblačil	rõivad
oblačil	riietus
oblačil	riided
igrišče	mänguväljak
administrator	haldur
administrator	administraator
klasifikacija	liigitamine
klasifikacija	klassifitseerimine
klasifikacija	klassifikatsioon
klasifikacija	liigitus
nosila	kandis
licenca	litsents
licenca	litsents
licenca	load
ska	ska
tisoče	tuhanded
tisoče	tuhandetes
tisoče	tuhandeid
ločitev	lahutus
ločitev	eraldamine
ločitev	lahutamine
meritev	mõõtmised
meritev	mõõtmine
meritev	mõõdud
meritev	mõõtmine
mine	kaevandused
mine	miinid
patent	patent
opiše	kirjeldatakse
opiše	kirjeldab
organizacijske	organisatsiooniline
župnijo	vald
glive	seened
tommy	tommy
obiskala	külastatud
bra	bra
videm	udine
težavah	raskusaste
težavah	raskused
doris	doris
primerni	sobiv
primerni	sobilik
primerni	sobivad
auf	auf
tower	tower
tower	torn
odvisni	sõltuv
odvisni	sõltuvad
dodajanje	liitmine
dodajanje	lisamine
dodajanje	lisa
dodajanje	lisamine
serena	serena
potrebovali	vajatakse
potrebovali	vajalik
potrebovali	vaja
potrebovali	vajas
običajna	normaalne
vroče	kuum
vroče	kuumad
vroče	hot
vroče	palav
por	por
komercialni	kaubanduslik
komercialni	reklaam
trio	trio
manjšine	vähemuste
manjšine	vähemus
manjšine	vähemuste
manjšine	vähemused
premiera	esilinastus
zime	winters
duhovni	vaimne
duhovni	hingeline
erwin	erwin
mišica	lihas
sredozemlju	vahemere
sredozemlju	vahemeri
algoritem	algoritm
preberite	loe
preberite	lugemine
preberite	loetud
posamezno	individuaalselt
posamezno	üksikult
posamezno	eraldi
posamezno	üksikute
posamezno	individuaalsed
posamezno	individuaalne
ulrik	ulrik
kmetije	põllumajandusettevõtete
možni	võimalikud
možni	võimalik
hudson	hudsoni
hudson	hudson
ohranjeno	säilitatud
ohranjeno	säilinud
ohranjeno	konserveeritud
doherty	doherty
blake	blake
zlom	luumurdude
zlom	mõra
razglasi	teatab
razglasi	kinnitab
razglasi	deklareerib
razglasi	kuulutada
jezo	viha
geometrija	geomeetria
geometrija	geomeetriline
geometrija	geomeetria
iraku	iraak
strategije	strateegiad
ogljik	süsinik
elektro	elektro
sekundarni	teisene
sekundarni	teisesed
sekundarni	teisese
sekundarni	teisejärguline
preboj	läbimurre
človeška	inimene
človeška	inimlik
novosti	uudsete
novosti	uuendused
novosti	uuendused
oklep	turvis
oklep	turvis
obsežna	ulatuslikud
obsežna	ulatuslik
zaščitna	kaitsev
ugotovitve	tähelepanekud
ugotovitve	vaatlused
ugotovitve	leiud
ugotovitve	järeldused
leseni	puust
geografski	geograafiline
geografski	geograafilised
barvni	värv
barvni	värvi
barvni	värvus
barvni	värv
barvni	värvi
otroštva	lapsepõlv
otroštva	lapsepõlve
otroštva	lapsepõlves
definicije	määratlused
definicije	mõisted
pastir	karjus
odkrivanje	avastamise
odkrivanje	tuvastamine
odkrivanje	avastamine
pravoslavne	õigeusu
samostojnost	autonoomia
samostojnost	sõltumatus
samostojnost	iseseisvus
samostojnost	sõltumatus
razcvet	õitseda
enrico	enrico
sinove	pojad
receptorjev	retseptorid
industrijska	tööstusliku
industrijska	tööstus
industrijska	tööstuslik
putnam	putnam
standardna	standardne
standardna	standard
tokovi	hoovused
tokovi	vood
tokovi	voolab
platon	platon
lisica	rebane
lisica	rebase
lisica	fox
kalcijev	kaltsium
kalcijev	kaltsiumi
pogovori	kõnelused
pogovori	vestlused
pogovori	vestlused
pogovori	intervjuud
pogovori	räägi
pogovori	jutt
vmesnik	liides
vmesnik	liidese
jajčeca	mune
jajčeca	munad
valle	valle
languedoc	languedoc
pištola	püstol
pištola	püss
pištola	relv
regionalni	regionaalne
regionalni	piirkondlik
regionalni	piirkondlikud
richardson	richardson
razširjeni	suurenenud
razširjeni	laienenud
razširjeni	laiendatud
razširjeni	pikendatud
razširjeni	laiendatud
prihodnje	tulevikku
prihodnje	tulevik
prijateljstvo	sõprus
prijateljstvo	sõpruse
prijateljstvo	sõprust
kancler	kantsler
alternative	alternatiiv
alternative	alternatiive
alternative	alternatiivid
industries	industries
pozni	hilja
pozni	hiline
pozni	hilinenud
pogledi	vaated
pogledi	seisukohad
magnus	magnus
sorodniki	sugulased
sorodniki	nõod
sorodniki	sugulased
podjetnik	ettevõtja
policist	politseinik
policist	ohvitser
policist	politseinik
bradley	bradley
mostovi	sillad
marseille	marseille
marseille	marseille
lastna	oma
posredovanje	edastamine
posredovanje	ülekanne
posredovanje	edastus
posredovanje	edastamine
posredovanje	sekkumine
posredovanje	sekkumise
zaključek	lõpuleviimist
zaključek	lõpetamine
zaključek	lõpuleviimine
zaključek	sulgemine
zaključek	lõpetamine
zaključek	järeldus
zaključek	järeldused
zaključek	kokkuvõte
razstavi	näitus
lucas	lucas
gibson	gibson
terme	spa
terme	terme
moon	kuu
moon	moon
organizirano	korraldatud
organizirano	organiseeritud
organizirano	organiseeritud
dama	daam
dama	neiu
dama	leedi
dama	dame
jezikovno	keelelise
jezikovno	keel
jezikovno	keele
nadal	nadal
ščit	kilp
achille	achille
hčere	tütreid
hčere	tütred
programiranje	kavandamine
izpostavljenost	kokkupuute
izpostavljenost	kokkupuude
biološki	bioloogiline
biološki	bioloogilised
powell	powell
utrdbo	kindlus
utrdbo	fort
mdr	mdr
ted	ted
emilio	emilio
slab	bad
slab	halb
slab	paha
nature	natura
izbris	kustutamine
izbris	kustutamine
izbris	tühistamine
izbris	kustuta
izbris	kustutamine
biologijo	bioloogia
dedek	vanaisa
dedek	vanaisa
ustavil	peatus
ustavil	peatatud
opremljen	varustatud
epizode	episoodid
epizode	episood
izidi	tulemus
izidi	tulemused
fisher	fisher
puščave	kõrbed
porto	porto
označen	märgitud
označen	märgistatud
realno	reaalne
realno	ehtne
realno	tõeline
realno	realistlikud
realno	realistlik
realno	realistlikult
realno	reaalselt
trinajst	kolmteist
casa	casa
virusi	viiruse
virusi	viirus
virusi	viirused
snega	lumesadu
snega	lumi
snega	lumesadu
mach	mach
leteči	lendamine
leteči	lendavad
hitra	kiire
hitra	kiiresti
reynolds	reynolds
ureditve	kokkulepped
priporoča	soovitab
ekonomska	majanduslik
zastrupitve	mürgitus
warren	warren
komunikacija	teatis
komunikacija	suhtlemine
komunikacija	kommunikatsioon
komunikacija	side
rick	rick
commons	commons
alkohol	alkohol
alkohol	alkoholi
kras	crassus
terry	terry
osebje	personal
osebje	töötajad
osebje	töötajad
osebje	personal
zbrane	kogutud
zbrane	kogutud
zbrane	kogunenud
jelka	puu
jelka	puud
izvajalci	operaatorid
izvajalci	ettevõtjad
izvajalci	töövõtjate
izvajalci	esitajad
mile	miil
mile	miili
toto	toto
rolling	rolling
rolling	jooksvalt
rolling	veere
dodatki	lisandid
dodatki	söödalisandid
dodatki	lisaained
dodatki	preemiaid
dodatki	täiendused
dodatki	tarvikud
dodatki	lisaseadmed
dodatki	manused
dodatki	liidete
mass	missa
mass	massi
mass	mass
dušo	hinge
dušo	hing
simetrija	sümmeetria
lakote	nälga
lakote	nälg
bertrand	bertrand
zaščitena	kaitstud
kvalifikacije	kvalifitseeruvad
kvalifikacije	kvalifikatsioon
kvalifikacije	kvalifikatsioon
kvalifikacije	kvalifikatsiooni
pari	paaride
pari	paarid
pari	paari
pari	paaris
pari	paaride
pari	paarid
pari	pari
irana	iraani
irana	iraan
turbina	turbiin
aktivist	aktivist
dominik	dominik
augusta	augusta
sen	sen
hrbet	tagasi
chaplin	chaplin
bach	bach
skriva	peidus
skriva	peitmine
televizija	televiisor
televizija	televisiooni
televizija	televisioon
osvojitev	vallutus
rena	rein
rena	reini
rena	reno
poj	laulge
poj	laulda
poj	laula
poj	laulma
deveto	üheksanda
deveto	üheksas
pomanjkljivosti	puudused
pomanjkljivosti	puudused
pomanjkljivosti	puudujäägid
pomanjkljivosti	nõrkused
pomanjkljivosti	puudused
člena	artikkel
upravnik	manager
upravnik	juhataja
upravnik	haldur
upravnik	vanglaülem
gilles	gilles
uspešnica	bestseller
resnico	tõde
strup	mürk
strup	mürk
ignacij	ignatius
živčni	närviline
novinarjev	ajakirjanikud
geoffrey	geoffrey
zadaj	tagasi
zadaj	tagumised
zadaj	tagaosa
zadaj	tagumine
zadaj	tagant
zadaj	taga
opisi	kirjeldused
poskusil	üritasin
poskusil	proovis
poskusil	proovisid
poskusil	proovisin
poskusil	proovitud
pooblastila	kinnitused
pooblastila	võimed
pooblastila	powers
pooblastila	volitused
pooblastila	volitused
pooblastila	mandaat
pooblastila	volitus
guido	guido
violinist	viiuldaja
udeležili	osales
najmanjša	minimaalselt
najmanjša	miinimum
najmanjša	minimaalne
najmanjša	väikseim
metalec	käivitaja
navade	harjumused
navade	harjumus
con	con
vittorio	vittorio
religija	religioon
častniki	ohvitserid
pravokotno	risti
groba	karm
groba	haud
groba	hauda
groba	haua
seme	sperma
seme	seemned
seme	seeme
seme	seeme
verigo	kett
verigo	ketti
verigo	ketid
verigo	ahel
izboljša	parandab
izboljša	parandada
poznavanje	teadmised
poznavanje	teadmine
duncan	duncan
hansen	hansen
horst	horst
poznano	tuttav
ujel	püütud
preiskave	uurimine
preiskave	uurimised
preiskave	uurimine
preiskave	uurimiste
preiskave	uurimised
preiskave	uuringud
štirinajst	neliteist
nameščeni	paigaldatud
dramo	draama
jürgen	jürgen
jürgen	jurgen
bin	bin
minute	minutid
gerard	gerard
uničiti	hävita
uničiti	hävitamine
uničiti	hävitada
identiteto	identiteedi
identiteto	identiteet
mehansko	mehaaniliselt
mehansko	mehaanilise
mehansko	mehaanilised
mehansko	mehaaniline
izjavo	avaldus
police	poliitikad
police	poliitika
thierry	thierry
organizacijsko	organisatsiooniline
demokratične	demokraatlik
demokratične	demokraatlikud
dano	antud
klobuk	müts
klobuk	mütsi
klobuk	kaabu
klobuk	kübar
photo	foto
izobraževalno	haridus
greene	greene
varuje	kaitseb
pierce	pierce
pierce	pearce
japonci	jaapani
japonci	jaapanlased
objavljeni	avaldatud
nikdar	kunagi
elektroni	elektronid
predala	tagastatud
škotske	šotimaal
škotske	šotimaa
škotske	šoti
leona	leona
robertson	robertson
postavljeno	tõstetud
postavljeno	tõstatatud
postavljeno	kasvatatud
potniški	reisija
potniški	sõitja
potniški	reisijate
sonja	sonja
umetni	kunstlik
glavobol	peavalud
glavobol	peavalu
angeli	inglid
članstvo	liikmeks
bruselj	brüssel
razmišljanje	mõtlemine
razmišljanje	mõeldes
razmišljanje	mõtled
razmišljanje	mõtleb
razmišljanje	kontemplatsioon
umetne	kunstlik
prisilil	sundis
prisilil	sunnitud
misijonar	misjonäri
julie	julie
širitev	laienemine
širitev	laiendamine
širitev	laienemine
legend	legendid
legend	legend
legend	legendi
malmö	malmö
dimenzije	mõõtmed
dimenzije	mõõdud
volji	meeleolu
volji	tuju
oblikovan	vormitud
oblikovan	sõnastatud
porta	porta
ayrton	ayrton
klein	klein
zob	hammas
zob	hamba
cesarica	keisrinna
domovina	kodumaa
domovina	isamaa
domovina	kodumaa
domovina	isamaa
petja	laulmine
italiano	italiano
opisan	kirjeldas
opisan	kirjeldatud
lennon	lennon
vijak	kruvi
žita	teraviljad
žita	teravili
podaljšana	laiendatud
podaljšana	pikendatud
podaljšana	pikaajaline
podaljšana	piklikud
prispel	saabusid
prispel	saabunud
prispel	saabus
kde	kde
christoph	christoph
spencer	spencer
dar	dar
marta	marta
marta	martha
sadje	puuviljad
sadje	vili
sadje	puuvili
sadje	puuvilja
sadje	viljad
sadje	puuviljad
jevgenij	jevgeni
presenetljivo	hämmastav
presenetljivo	üllatavalt
presenetljivo	üllatav
trditve	nõuded
trditve	väited
trditve	väited
trditve	argumendid
tujino	välismaale
tujino	välismaal
sara	sarah
sara	sara
nizki	madal
nizki	madala
nizki	madalad
plodovi	viljad
plodovi	puuviljad
priljubljeno	populaarne
priljubljeno	populaarsed
priljubljeno	lemmik
priljubljeno	lemmik
dale	dale
jay	jay
jarek	trench
jarek	vallikraavi
jarek	kraavi
premera	läbimõõt
premera	diameeter
kampanje	kampaaniad
kampanje	kampaaniaid
kampanje	kampaaniate
kampanje	kampaania
zasnovana	kujundatud
zasnovana	disainitud
zasnovana	projekteeritud
zasnovana	kavandatud
doseženo	saavutas
doseženo	jõuti
doseženo	saavutati
doseženo	saavutatud
simbolizira	sümboliseerib
simbolizira	sümboliseerib
posamezna	üksikute
posamezna	individuaalsed
posamezna	individuaalne
motive	motiivid
rjavo	brown
rjavo	pruuniks
rjavo	pruunid
rjavo	pruun
izjemen	erakordne
izjemen	erandlik
izjemen	erandlikud
prehrani	toitumine
prehrani	toitumise
nielsen	nielsen
obremenitev	koormus
obremenitev	laadi
obremenitev	laadimine
obremenitev	laadimine
roll	rulli
roll	veere
čelo	laup
čelo	tšello
zavrne	keeldub
zavrne	keeldu
zavrne	keeldumine
zavrne	keelduda
zavrne	tagasilükkamine
tekmovanj	võistlustel
tekmovanj	võistlused
pojave	nähtused
gašper	henry
lola	lola
slavi	hiilgus
lesen	puust
blog	blogi
blog	blogis
ettore	ettore
vrtovi	aiad
potrjuje	kinnitab
vožnje	sõitmas
vožnje	sõidab
vožnje	sõitmine
eugen	eugen
imunski	immuunne
danijel	daniel
stresa	stress
stresa	stressist
stresa	stressi
einstein	einstein
linz	linz
simone	simone
castro	castro
senator	senaator
vincenzo	vincenzo
podružnica	tütarettevõte
podružnica	oks
podružnica	filiaal
podružnica	haru
podružnica	filiaali
izpostavljeni	paljastatud
podvozje	šassii
kmečka	talupoeg
betty	betty
ilustracije	illustratsioonid
križišču	risttee
najdlje	pikim
alabama	alabama
odstranjevanje	kõrvaldamise
odstranjevanje	kõrvaldamine
odstranjevanje	eemaldamine
odstranjevanje	eemaldamine
odstranjevanje	kõrvaldamine
zaman	edev
prefekt	prefekt
giulio	giulio
siegfried	siegfried
bomba	pomm
scene	stseenid
navidezni	ilmne
navidezni	virtuaalne
neill	neill
mera	määr
sulfat	sulfaat
sulfat	sulfaat
tito	tito
izdelane	valmistatud
izdelane	toodetud
izmenjavo	vahetus
docent	dotsent
deseti	kümnes
infrastrukture	infrastruktuurid
dim	dim
dim	suitsu
dim	suits
obred	tseremoonia
obred	rituaal
obred	rituaali
veronika	veronika
veronika	veronica
skale	rahnud
skale	kivid
skale	kive
označeno	märgitud
označeno	märgistatud
označeno	tähistatud
označeno	märgitud
označeno	märgistatud
ukinjena	kaotati
catherine	catherine
catherine	katariina
razlage	tõlgenduste
razlage	selgitused
odkrito	ausalt
medicinsko	meditsiinilised
medicinsko	meditsiiniline
realna	realistlikud
realna	realistlik
mejah	piirid
puščavi	kõrb
zajec	jänes
zajec	küülik
zheng	zheng
stojan	stojan
twin	kaksik
twin	twin
disciplina	distsipliini
disciplina	distsipliin
soproga	abikaasa
soproga	naise
soproga	naine
dorothy	dorothy
teoretik	teoreetik
lars	lars
malta	malta
cona	tsoon
cona	vöönd
zaupanje	enesekindlus
zaupanje	usaldus
zaupanje	usalda
zaupanje	usaldus
zaupanje	usaldust
široki	laiad
široki	lai
široki	laia
konstruktor	konstruktor
prejeti	saadi
prejeti	saadud
prejeti	laekunud
izginila	haihtunud
izginila	kadus
izginila	kaovad
izginila	kaduma
izginila	kadusid
izginila	kadus
primerjavo	võrdlemine
primerjavo	võrdlus
primerjavo	võrdlemine
diska	ketta
diska	plaat
diska	ketas
diska	plaadi
zgleda	paistab
garcia	garcia
testiranje	katsed
testiranje	testimine
testiranje	katsetamine
selena	seleeni
navdušen	vaimustuses
navdušen	rabatud
navdušen	erutatud
nakup	ostu
nakup	ostmine
nakup	ost
nakup	osta
nakup	ostes
nakup	ostmine
bishop	oda
bishop	bishop
bishop	piiskop
modrosti	tarkust
modrosti	tarkus
nacional	nacional
cepivo	vaktsiini
cepivo	vaktsiin
ozračje	atmosfääri
ozračje	atmosfäär
gospodarstvu	hoidmine
curtis	curtis
hladno	külm
hladno	külmad
sls	sls
ocenjuje	hindab
ocenjuje	hindab
prvenec	debüüt
čebele	mesilased
pruski	preisi
sužnji	orjad
rgb	rgb
ravnotežje	saldo
ravnotežje	tasakaalu
ravnotežje	tasakaal
ravnotežje	bilanss
ravnotežje	tasakaal
zbrani	kogutud
zbrani	kogunenud
desetletij	aastakümnete
desetletij	aastakümneid
zmanjšati	vähenda
zmanjšati	vähendada
jamie	jamie
spore	eosed
spore	vaidlused
minuto	minut
pojasnjuje	selgitab
pojasnjuje	seletab
pastor	pastor
piper	piper
ust	suu
ust	suud
telefon	telefoni
telefon	telefon
telefon	telefoni
telefon	telefon
razmnoževanje	korrutamine
razmnoževanje	paljundamine
pojasnil	selgitas
pojasnil	selgitati
pojasnil	selgitatud
priznan	tunnustatud
priznan	tunnustatud
priznan	tunnistas
priznan	tunnustatud
urbana	urban
figura	juhtfiguur
kovanci	mündid
kovanci	münt
kovanci	mündi
možgani	ajju
možgani	aju
možgani	ajud
marcello	marcello
prazen	tühi
prazen	tühjad
prazen	tühi
usposabljanja	koolitus
usposabljanja	koolitused
usposabljanja	väljaõpe
usposabljanja	treeningud
omenil	maini
stroji	masinad
stroji	masinad
izboljšati	parandada
foster	foster
organizirana	korraldatud
organizirana	organiseeritud
organizirana	organiseeritud
turnbull	turnbull
dean	dean
dean	dekaan
junaki	kangelased
poteze	liigub
poteze	käigud
poteze	liigutab
premikanje	liigutamine
premikanje	liigub
premikanje	kolimine
premikanje	liikumine
vreden	väärt
vreden	vääriline
ujetništvu	vangistuses
ujetništvu	vangistus
čevljev	kingad
čevljev	jalanõud
železnico	raudtee
povabilo	kutsu
povabilo	kutse
povabilo	kutse
rotor	rootori
protokol	protokoll
prepovedi	keelud
prepovedi	ban
prepovedi	keeld
prepovedi	keelustamine
prepovedi	keelud
nizek	madal
nizek	madala
nizek	madalad
