अमोनिया	аміак
लत	залежність
जुर्माना	файно
जुर्माना	добре
जुर्माना	ефіроолійні
क़ुरान	коран
पूर्णता	завершення
पूर्णता	доповнення
पूर्णता	досконалості
पूर्णता	досконалість
ओमान	оману
मार्केटिंग	маркетинг
पीड़ितों	жертв
पीड़ितों	жертви
पीड़ितों	жертвами
पीड़ितों	постраждалих
पीड़ितों	постраждалим
शक्तियां	живить
शक्तियां	здібності
शक्तियां	силами
शक्तियां	сил
शक्तियां	сили
शक्तियां	військах
बादलों	хмари
बादलों	хмар
चतुर्भुज	чотирикутник
चतुर्भुज	прямокутник
चीता	гепард
चीता	барс
मूक	тиха
मूक	мовчазна
मूक	вимкнути
मूक	звук
मूक	німі
प्रतिभाशाली	геніально
प्रतिभाशाली	геній
प्रतिभाशाली	талановита
प्रतिभाशाली	талановитий
प्रतिभाशाली	талановиті
पनीर	сир
पनीर	сиру
पनीर	сири
स्मार्ट	розумним
स्मार्ट	смарт
स्मार्ट	розумний
स्मार्ट	smart
नियोक्ता	роботодавців
नियोक्ता	роботодавець
पश्तो	пушту
मैडोना	мадонна
बराक	бараку
बराक	барак
चमकदार	світловий
चमकदार	красунчик
नाड़ी	пульс
स्पीकर	доповідач
स्पीकर	гучномовець
गैसें	гази
सहभागिता	заручини
सहभागिता	взаємодія
सहभागिता	взаємодія
सहभागिता	взаємодії
गतिविधियाँ	заняття
गतिविधियाँ	діяльності
गतिविधियाँ	діяльність
इसराइल	ізраїлі
इसराइल	ізраїлю
इसराइल	ізраїль
वाट	ват
वाट	ват
कोच्चि	коті
कृषक	фермери
कृषक	фермерів
कृषक	селяни
संख्यात्मक	нумерація
ब्राउजर	браузер
ब्राउजर	навігатор
ब्राउजर	переглядач
गुदा	анальний
टीकाकरण	вакцина
टीकाकरण	вакцинація
मूर्तिकला	скульптура
शाश्वत	вічність
शाश्वत	вічності
किरणें	проміння
किरणें	промені
वैश्वीकरण	глобалізація
बैग	мішок
बैग	сумка
बैग	валізи
बैग	сумки
नर्तक	танцюристів
नर्तक	танцівниця
नर्तक	dancer
नर्तक	танцюрист
ग्लूकोज	глюкоза
नीतियाँ	політики
नीतियाँ	правила
प्रतिभागियों	учасників
प्रतिभागियों	учасники
प्रतिभागियों	учасникам
पढ़ना	читання
आपरेशन	дія
आपरेशन	операція
मैनुअल	підручник
मैनुअल	ручний
मैनुअल	ручна
मैनुअल	ручне
मैनुअल	вручну
मैनुअल	довідок
दर्जन	десяток
दर्जन	десятки
सुखद	приємного
सुखद	приємніше
सुखद	приємним
सुखद	приємна
सस्ती	недорогих
सस्ती	дешевий
सस्ती	дешево
बेखम	бекхем
स्याही	чорнила
रॉस	рос
रॉस	росс
हवाओं	вітри
परम्पराओं	традиції
पूछे	запитує
पूछे	питаю
पूछे	прошу
पूछे	запитали
पूछे	запитала
पूछे	просили
पूछे	просив
पूछे	запитав
सेब	яблуко
सेब	apple
सेब	яблучко
रो	ро
रो	плаче
रो	плач
रो	реве
पुस्तकालयों	бібліотек
पुस्तकालयों	бібліотеки
पुस्तकालयों	бібліотеках
पुस्तकालयों	бібліотеку
पुस्तकालयों	бібліотека
पुस्तकालयों	бібліотеки
चौकी	застава
चौकी	форпост
बहनों	сестрички
बहनों	сестри
अश्लील	порно
आपात	надзвичайні
आपात	аварійні
आपात	швидка
नामीबिया	намібія
स्त्रियाँ	жінок
स्त्रियाँ	жінки
एनी	енні
मामा	mama
मामा	мама
मामा	дядько
मामा	дядечко
मामा	дядя
रूपांतर	варіант
नगरीय	урбан
नगरीय	міський
जैकी	джекі
क्रोधित	форсаж
क्रोधित	злий
क्रोधित	агресивний
क्रोधित	злість
तात्कालिक	терміново
तात्कालिक	термінову
तात्कालिक	негайно
तात्कालिक	негайного
तात्कालिक	безпосередній
हुक्म	вступати
हलके	світлий
कमांड	команд
कमांड	команди
कमांड	наказую
कमांड	командний
कमांड	команда
कोबेन	кобейн
बुराई	гріха
बुराई	зла
बुराई	злом
बुराई	evil
बुराई	зло
टाइपिंग	введення
दशमलव	десятковий
काई	кай
क्रूर	жорстокий
क्रूर	жорстока
क्रूर	жорстоко
क्रूर	жорстокі
क्रूर	жорстокість
क्रूर	брутальний
क्रूर	шалена
जोनाथन	джонатан
हस्त	hasta
फ्लाइट	польоту
फ्लाइट	переліт
फ्लाइट	рейс
फ्लाइट	політ
निकटता	близькості
सैर	прогулянок
सैर	ходить
सैर	прогулянка
चिकनी	плавне
चिकनी	згладжування
चिकनी	плавні
चिकनी	плавно
चिकनी	гладкий
कैनेडी	кеннеді
टाई	краватка
टाई	краватку
विदेशियों	іноземців
विदेशियों	іноземці
अनुवादित	перекладено
इंजीनियरों	інженери
गा	співають
गा	співай
गा	співаю
पूछताछ	розслідування
पूछताछ	довідки
सर्पिल	спіраль
परिशिष्ट	додатку
परिशिष्ट	додаток
गवाही	свідчити
गवाही	свідчення
गवाही	показання
वॉकर	вокер
लेआउट	компонування
लेआउट	розкладка
कैदियों	затримані
कैदियों	полонених
फिजी	фіджі
हुक	застібка
हुक	гак
हुक	гук
हुक	гачок
रिटर्न	повертається
रिटर्न	повертає
रिटर्न	повернутися
रिटर्न	повернення
प्लैटिनम	platinum
फिल	філ
फिलीपींस	філіппіни
दीवारें	стіни
दीवारें	мури
सपाट	рівна
नक़ल	скопіюйте
नक़ल	копіювання
नक़ल	скопіювати
नक़ल	копіювати
नक़ल	копія
नक़ल	копії
नक़ल	копій
नक़ल	копіює
फ्रेमवर्क	каркас
फ्रेमवर्क	рамках
देशभक्ति	патріотизм
केन्या	кенії
केन्या	кенія
बर्बाद	відходи
बर्बाद	переводити
कस्टम	митниця
कस्टम	звичаї
कस्टम	власний
कस्टम	особлива
कस्टम	нетипові
कस्टम	індивідуально
कस्टम	нетиповий
अकादमिक	академічна
अकादमिक	навчального
अकादमिक	академічний
शेन	шейн
असीम	прадавні
असीम	нескінченно
एकजुट	єднайтеся
कोलेस्ट्रॉल	холестерину
दांते	данте
बगीचे	садку
बगीचे	садок
बगीचे	сад
मुराद	мурад
ईमान	віра
भट्टी	піч
पोटैशियम	калію
केली	келлі
केली	кейлі
लोकगीत	фольклор
सर्बिया	сербія
सर्बिया	сербії
धर्मनिरपेक्ष	вікова
धर्मनिरपेक्ष	вікові
दृष्टिगोचर	видима
दृष्टिगोचर	видимий
दृष्टिगोचर	видно
दृष्टिगोचर	видимі
तोप	гармата
तोप	гармати
दूरभाष	телефон
दूरभाष	телефоном
दुल्हन	наречена
आंत्र	черевний
जस्ता	цинку
उड़	fly
उड़	літати
उड़	муха
उड़	лети
गुजरता	минає
गुजरता	мине
गुजरता	завершилися
माली	мальдіви
माली	садівник
माली	малий
माली	малі
परियोजनाएं	проекти
परियोजनाएं	проектів
सिएटल	seattle
टायर	шини
टायर	tyres
टायर	тіра
टायर	шина
टायर	колесо
बाँस	бамбук
सुधारक	реформатор
अठारह	вісімнадцять
उन्नयन	оновити
उन्नयन	висота
पेंशन	пенсія
गरिमा	гідності
गरिमा	гідність
बताना	скажи
बताना	розказати
बताना	розкажіть
बताना	розкажу
बताना	розкажи
सिलेंडर	циліндри
मैक्सिकन	мексиканська
मैक्सिकन	мексиканський
देशो	країн
देशो	країни
खोपड़ी	череп
खोपड़ी	черепа
कोलम्बिया	колумбії
कोलम्बिया	колумбія
गोलियों	постріли
विद्रोहियों	повстанців
विद्रोहियों	повстанці
कैसा	як
स्टीवन	стівен
टेल	казка
टेल	хвіст
सूर्योदय	світанок
रणनीतिक	стратегічний
रणनीतिक	стратегічного
रणनीतिक	стратегічна
रणनीतिक	стратегічно
रणनीतिक	тактичний
रणनीतिक	тактична
रणनीतिक	tactical
रीड	рід
प्रक्षेप	проекція
पर्यवेक्षण	нагляду
पर्यवेक्षण	опіки
पर्यवेक्षण	нагляд
एमी	емі
एमी	еммі
प्लेटो	платон
मीन	риби
कनाडाई	канадська
कनाडाई	канадський
कनाडाई	canadian
रिसाव	проникає
रिसाव	витоків
अनावरण	оприлюднив
निषिद्ध	заборона
निषिद्ध	заборонено
निषिद्ध	заборонене
निषिद्ध	заборонений
निषिद्ध	заборонені
निषिद्ध	заборонено
सेम	бін
सेम	сабін
सेम	смаки
सेम	sem
सेम	сем
रॉन	рон
शोधन	рафінування
बरसात	душі
बरसात	душ
बरसात	дощовий
बरसात	дощів
बरसात	дощова
बरसात	дощ
इंटेल	intel
फास्ट	швидко
फास्ट	швидкі
फास्ट	швидке
फास्ट	швидка
फास्ट	фаст
फास्ट	швидкий
यथार्थवाद	реалізм
तालिबान	талібан
दर्शनशास्त्र	філософія
स्वादिष्ट	смачний
स्वादिष्ट	смачні
स्वादिष्ट	смачна
स्वादिष्ट	смачно
स्वादिष्ट	смачне
ज्वाला	flame
ईंटों	цеглу
ईंटों	цегла
कर्ज	борг
कर्ज	боргу
सलाद	салат
सलाद	салат
सलाद	салату
जलन	заздрить
जलन	подразнення
शौकिया	аматорського
शौकिया	аматорський
शौकिया	аматор
अनूठा	дивними
अनूठा	унікальний
अनूठा	унікальне
अनूठा	унікальні
कैरी	керрі
कैरी	кері
पेशावर	пешавар
पहेली	загадки
पहेली	головоломки
पहेली	головоломка
पहेली	enigma
चादर	шаль
चादर	аркуш
जामा	яма
फ्रैंकलिन	франклін
एथिलीन	етилен
सेकेंड	сек
सेकेंड	секундах
सेकेंड	секунд
सेकेंड	секунди
सेकेंड	другий
सेकेंड	друге
सेकेंड	друга
सेकेंड	секунда
आयुध	ordnance
मानविकी	гуманітарний
महापौर	мер
महापौर	мера
महापौर	майор
आयताकार	прямокутник
आयताकार	прямокутник
आयताकार	прямокутний
प्रस्तावना	вступ
प्रस्तावना	пролог
प्रस्तावना	преамбула
मैनहटन	манхеттен
मॉरीशस	маврикію
लावा	лави
लावा	лава
बाधाओं	перешкоди
माइग्रेन	мігрень
परिधान	сукня
परिधान	костюми
गोलीबारी	стрільби
गोलीबारी	зйомки
गोलीबारी	стрільба
हब	hub
जग	світовий
जग	світ
जग	світе
जग	world
पम्प	насос
मातृ	материнська
बायर	bayer
नाल	підкова
पवित्रता	чистоти
पवित्रता	чистота
पवित्रता	святості
रोचेस्टर	рочестер
डोनाल्ड	дональд
रमन	раман
सीढ़ी	драбина
प्रतिकृति	взірець
प्रतिकृति	взірцем
प्रतिकृति	візерунок
प्रतिकृति	шаблон
घराने	жанрів
ताड़	palm
सीटी	свисток
परोसा	подають
परोसा	служив
कार्टर	картер
उपनिवेशवाद	колоніалізму
उपनिवेशवाद	колонія
सैंडविच	бутерброд
सैंडविच	сендвіч
चिप्स	чіпси
चिप्स	фішки
चन्द	чанд
चन्द	виклики
विधियां	способи
विधियां	методи
बिखरे	розкидані
दार्जिलिंग	дарджилінг
वेस्टमिंस्टर	вестмінстерський
सुनाया	виразний
शैतान	диявол
शैतान	біс
शैतान	сатана
नैनोट्यूब	нанотрубки
शीट	аркуш
शीट	аркушів
शीट	аркуші
उद्धार	якісно
उद्धार	врятувати
उद्धार	рятівник
उद्धार	порятунок
पैकेजिंग	пакування
पैकेजिंग	упаковка
म्यूनिख	мюнхен
शरीफ	шариф
बिस्तर	ліжко
बिस्तर	постіль
दोहराया	повторюється
गुम्बद	купол
सेवानिवृत्ति	пенсії
जश्न	святкування
नोबल	благородний
नोबल	благородні
टायसन	тайсон
लहरों	хвилі
लहरों	хвилями
स्पाइवेयर	spyware
संग्रहीत	застарілі
संग्रहीत	архів
सीसा	лід
सीसा	свинець
सीसा	ведучий
सीसा	ліда
तना	стебла
तना	stem
सदाबहार	evergreen
कंकाल	основу
समीर	самір
ऑर	орр
तांबे	міді
तांबे	мідь
समतुल्य	еквівалент
फेरारी	феррарі
फेरारी	ferrari
माईस्पेस	myspace
एमआईटी	mit
भ्रामक	бентежить
भ्रामक	тлумачення
नगण्य	тривіальним
केक	торт
साख	благословенням
जिज्ञासा	цікавість
अन्याय	несправедливість
अनुसूची	розклад
एनिमेशन	анімація
एनिमेशन	анімація
एनिमेशन	анімації
देखो	погляд
देखो	вигляд
देखो	подивитися
देखो	дивіться
देखो	дивися
देखो	дивись
इंतजार	чекайте
इंतजार	почекайте
इंतजार	чекати
इंतजार	почекати
लेप	мазків
हिम्मत	мужність
हिम्मत	наважився
प्रमाणपत्र	сертифікати
प्रमाणपत्र	сертифікат
सांकेतिक	символічне
सांकेतिक	символічні
सांकेतिक	символічних
सत्रहवीं	сімнадцята
असमानता	нерівність
आमदनी	вклади
आमदनी	прибуток
आमदनी	дохід
आमदनी	прибутки
टिन	шапочка
चारा	корм
ओलिवर	олівер
डिब्बे	банки
घनी	жирна
घनी	товстий
घनी	товста
घनी	густе
एस्पिरिन	аспірин
सोर्स	джерело
सोर्स	джерела
पीर	вузол
पीर	декларацій
विश्लेषक	аналітик
चेल्सी	челсі
पाम	pam
इच्छाओं	бажанням
इच्छाओं	забаганки
रिश्तों	взаємини
महाप्रभु	махапрабгу
संन्यास	пенсії
पुनर्वास	реабілітація
प्रोसेसर	процесор
स्ट्रीम	потоки
स्ट्रीम	потоків
स्ट्रीम	потік
स्ट्रीम	струмок
वक्तव्य	заява
वक्तव्य	виписка
वक्तव्य	твердження
चंद्रगुप्त	чандрагупта
कोंकणी	конкані
कृत्यों	функції
बल्तिस्तान	балтистан
बारहवीं	xii
बारहवीं	дванадцята
स्टुअर्ट	стюарт
अचार	огірок
प्रदाताओं	джерела
प्रदाताओं	провайдерів
फेंकने	кидати
शर्तें	умови
शर्तें	умовами
शर्तें	терміни
शर्तें	умови
मॉड्यूल	модулів
मॉड्यूल	модулі
मॉड्यूल	модуль
हिरण	олень
हिरण	олені
हिरण	оленя
पिकनिक	пікнік
ईसाइयों	християни
सईद	саїд
प्रेषित	надіслано
प्रेषित	надіслані
ज़िन्दगी	життя
ज़िन्दगी	лайф
बॉय	хлопчик
बॉय	закохалася
इब्राहिम	ібрагім
स्टेरॉयड	стероїди
संवेदी	сенсорна
कार्लो	карло
स्वार्थ	егоїзм
तपेदिक	туберкульозу
पुर	pur
फिल्मफेयर	filmfare
वीजा	візи
वीजा	віза
वीजा	візи
बैनर	банери
बैनर	стяг
बैनर	банер
याहू	yahoo
बुजुर्ग	старих
वेदी	вівтар
वेदी	сесії
वेदी	веді
उत्साहित	хвилюється
प्रलय	катастрофа
प्रलय	катастрофи
घटती	скорочуються
नन्द	nand
रिले	райлі
रिले	естафета
चुनौतियों	виклики
बर्मन	бурман
अनवर	анвар
फर्ग्यूसन	фергюсон
हालात	ситуацію
हालात	ситуація
हालात	становище
हालात	ситуації
हालात	обставини
भैंस	buffalo
महाद्वीपों	континенти
लेनिन	леніна
लेनिन	ленін
समाचारपत्र	газета
रनवे	смугу
सफ़र	мандрівка
सफ़र	подорож
सफ़र	подорожі
विवेचना	роздумів
मनोरोग	психіатрична
खींचा	намалював
खींचा	дрю
सल्फर	сірка
सल्फर	сірка
स्क्वैश	знищувати
लॉक	блокування
लॉक	зафіксувати
लॉक	замкнути
लॉक	заблокувати
एबीसी	abc
वाल्टर	волтер
वाल्टर	вальтер
डाकू	злочинного
डाकू	пограбувала
पीएचडी	phd
फ़ुटबॉल	футбол
गॉर्डन	гордон
बांस	бамбук
वाटसन	вотсон
सहिष्णुता	толерантність
लूथर	лютер
परिपक्वता	погашення
पूज्य	вразливих
निरंतरता	неперервність
निरंतरता	sustainability
पनामा	панами
लॉरेंस	лоуренс
हिरासत	затриманий
सांप्रदायिक	комунальна
लड़	бійцівський
लड़	боротьба
लड़	боротьбі
लड़	боротись
लड़	бойовий
लड़	бійка
बौना	карлик
बौना	гном
रेखाचित्र	графи
रेखाचित्र	графіки
रेखाचित्र	графіків
रेखाचित्र	креслення
रेखाचित्र	малюнок
रेखाचित्र	малювання
स्वदेश	держава
स्वदेश	нації
स्वदेश	нація
सुपरमैन	супермен
बुल	бульдог
बुल	бик
बुल	бул
बुल	бика
बुल	булл
धब्बे	плями
धब्बे	плям
अमूल्य	безцінний
अमूल्य	безцінні
विकिस्रोत	вікіджерела
निक	нік
निक	псевдонім
पीढी	створення
पीढी	generation
पीढी	покоління
पीढी	генерація
माउस	миша
माउस	мишу
माउस	мишкою
माउस	миші
माउस	мишка
क्राउन	корону
क्राउन	корона
क्राउन	корони
साड़ी	сарі
बहुमुखी	декілька
बहुमुखी	універсальне
पहियों	wta
पहियों	колеса
स्पीयर्स	списів
बहू	наречена
वेबसाइटों	сайти
छठा	шоста
छठा	шостий
छठा	шосте
स्पा	spa
स्पा	спа
मातृभूमि	вітчизна
मातृभूमि	вітчизну
मातृभूमि	вітчизни
मातृभूमि	батьківщина
मशीनें	ютери
मशीनें	автоматів
मशीनें	машини
मशीनें	машинами
मुखर	вокальний
मुखर	вокал
काउंटर	лічильник
पूर्णांक	ціла
पूर्णांक	ціле
बचना	проїзд
शौक	хобі
शौक	хоббі
शौक	хобі
निचला	нижній
निचला	опустити
निचला	нижня
निचला	нижча
वानर	мавпа
नौकर	слуга
बोवी	боуї
अफगान	афганський
दोहा	доха
टार्ज़न	тарзан
राजमहल	палац
बसों	автобуси
अर्थहीन	марними
मॉर्गन	морган
सतहों	поверхонь
रसेल	расселл
रसेल	рассел
संगीतमय	музична
संगीतमय	музичний
संगीतमय	мюзикл
संगीतमय	музичні
टिक	тік
क्राइस्ट	христос
क्राइस्ट	christ
क्राइस्ट	христа
अनुप्रस्थ	поперечна
प्रायोजक	спонсора
प्रायोजक	заплатила
प्रायोजक	спонсори
ब्रिगेड	бригада
ब्रिगेड	бригади
पॉलिसी	правила
पॉलिसी	політики
पॉलिसी	policy
पॉलिसी	політика
पॉलिसी	політикою
संभोग	грудьми
अल्फ्रेड	альфред
दाखिल	збору
वेल्श	валлійська
वेल्श	брайля
कराटे	карате
ग्रंथियों	залози
ट्रैफिक	навантаження
ट्रैफिक	пробки
ट्रैफिक	трафік
ट्रैफिक	рух
सिखाया	навчили
सिखाया	вчили
सिखाया	навчила
सिखाया	викладав
सिखाया	навчив
लिबरल	ліберальна
खंडहर	уламки
खंडहर	руїни
कर्क	рак
प्रेरण	індукція
लामा	лама
लेज़र	лазер
बाइबल	біблія
क्रमांक	число
क्रमांक	кількість
क्रमांक	номер
क्रमांक	номера
धक्का	push
धक्का	передачі
आविष्कारक	винахідників
आविष्कारक	винахідник
गोपनीय	зашифровані
गोपनीय	таємний
गोपनीय	секретний
गोपनीय	таємна
गोपनीय	таємниця
गोपनीय	таємно
प्रेत	зомбі
सप्ताहांत	вихідних
सप्ताहांत	вихідні
सप्ताहांत	вихідні
कब्रिस्तान	цвинтарях
कब्रिस्तान	кладовище
कब्रिस्तान	цвинтар
बुल्गारिया	болгарії
बुल्गारिया	болгарія
पासपोर्ट	паспорт
प्रज्ञा	інтелект
प्रज्ञा	розвідка
बेशक	воістину
आइसलैंड	ісландія
आइसलैंड	ісландії
प्रमाणीकरण	автентифікація
प्रमाणीकरण	розпізнавання
टोयोटा	toyota
ब्लाक	блокувати
ब्लाक	блок
ब्लाक	заблокувати
सत्यापन	перевірити
सत्यापन	підтвердити
सत्यापन	автентифікація
सत्यापन	розпізнавання
सत्यापन	перевірка
सत्यापन	перевірки
रेशों	шовку
रेशों	шовк
प्रत्यावर्ती	почергово
प्रत्यावर्ती	змінний
वृहद	більше
लॉन्च	запускає
लॉन्च	стартувати
लॉन्च	запуск
बीट	били
बीट	біт
बीट	побили
इमेजिंग	візуалізація
इमेजिंग	imaging
लटका	висів
लटका	повісили
कैटरीना	катріна
डिस्ट्रिक्ट	улус
डिस्ट्रिक्ट	округ
डिस्ट्रिक्ट	нохія
डिस्ट्रिक्ट	район
काठमांडू	катманду
सीखना	навчання
वेश	одягнутий
वेश	одягатися
वेश	одягнений
वेश	скромно
वेश	одягнена
डॉक्टरों	лікарів
डॉक्टरों	лікарі
पक्का	впевнений
पक्का	звичайно
पक्का	впевнені
गला	горло
गला	шия
गला	шию
हैदर	гайдер
सुगमता	доступність
सुगमता	доступності
स्ट्रॉस	штраус
गार्सिया	гарсія
निद्रा	сон
निद्रा	спати
एक्सप्लोरर	explorer
एक्सप्लोरर	дослідник
छल	переслідування
आलम	алам
बिज़नेस	бізнес
बिज़नेस	справа
बिज़नेस	ділова
बिज़नेस	business
बिज़नेस	діловий
प्रतिबद्ध	вчинив
प्रतिबद्ध	скоїв
कॉलोनी	колонія
आवंटन	виділення
बाला	бала
कार्लोस	карлос
अनीता	аліса
अनीता	еліс
अनीता	аніта
अनोखा	дивними
अनोखा	унікальний
अनोखा	унікальне
अनोखा	унікальні
रिएक्टर	реактор
करीना	каріна
कपाल	череп
कपाल	черепа
श्रोता	слухачі
श्रोता	слухач
श्रोता	аудиторію
श्रोता	аудиторія
श्रोता	аудиторії
श्रोता	глядачі
कॉमन	спільними
कॉमन	поширені
कॉमन	спільне
कॉमन	загальні
कॉमन	common
आपेक्षिकता	відносність
लेम्बोर्गिनी	lamborghini
प्याज	цибулю
प्याज	цибулею
प्याज	цибулі
असीमित	нескінченні
असीमित	нескінченний
असीमित	безмежний
असीमित	нескінченна
असीमित	нескінченно
असीमित	необмежена
असीमित	безмежна
असीमित	безмежного
बग	ваду
बग	вада
बग	жуків
बग	вад
बग	вади
मॉस्को	московська
मॉस्को	moscow
मॉस्को	москва
सोम	сома
सोम	сом
सोम	мон
सोम	mon
टर्नर	тернер
हिमानी	льодовик
हिमानी	гімалаї
ट्रांस	trans
ट्रांस	транс
मेहमान	гості
मेहमान	гостя
मेहमान	гість
मेहमान	guest
