警部補	лейтенант
売春	проституции
不全	недостаточность
話し合い	обсуждение
話し合い	дискуссия
話し合い	обсуждения
話し合い	дискуссии
スターリング	стерлинг
スターリング	стирлинг
ヘルシンキ	хельсинки
アーノルド	арнольд
ハノーファー	ганновер
ハノーファー	ганновер
製造業	производство
製造業	изготовление
製造業	производство
製造業	изготовление
製造業	производит
宣告	приговор
宣告	предложение
マフィア	мафия
マフィア	мафии
正平	сёхэй
ルビ	руби
金髪	блондинки
金髪	блондинок
金髪	блондинка
金髪	блондинки
金髪	блондинка
金髪	блондин
ヴィオラ	виола
不幸	несчастная
不幸	несчастный
胞子	споры
開花	цветения
開花	цветёт
ジュール	джулс
ジュール	жюль
ジュール	джоуль
反動	реакционные
賀茂	камо
回帰	регрессии
アンカー	привязки
アンカー	закрепление
アンカー	якорь
アンカー	якорей
ネバダ	невада
溶接	сварных
溶接	сварка
近似	приближение
ビクトリア	victoria
ビクトリア	виктория
給付	пособие
環礁	атолле
手動	вручную
手動	руководство
手動	вручную
マキシ	макси
パルス	пульс
パルス	импульс
レオナルド	леонардо
許諾	разрешение
許諾	разрешите
許諾	разрешение
まゆ	брови
まゆ	бровь
カオス	хаос
マネージメント	менеджмент
マネージメント	руководство
マネージメント	управление
ハングル	хангыль
抹消	аннулирование
抹消	отмена
抹消	списание
セクシー	sexy
セクシー	сексуально
セクシー	сексуальный
セクシー	сексуальная
セクシー	сексуальные
発光	светится
ちび	крошечный
ちび	крошечные
ダウ	доу
リッチモンド	ричмонд
注ぐ	залить
海岸線	береговая
カーネル	ядро
カーネル	ядра
カーネル	ядра
電線	кабельное
電線	трос
電線	кабель
スペンサー	спенсер
居酒屋	таверне
ギルバート	гилберт
隆盛	такамори
興奮	волнения
興奮	волнение
興奮	возбуждение
モータースポーツ	motorsport
モータースポーツ	motorsports
台地	плато
パルマ	пальма
パルマ	парма
日数	дни
日数	days
日数	дней
再戦	реванш
機密	конфиденциальность
機密	конфиденциально
機密	конфиденциальной
未遂	покушение
未遂	попытка
未遂	попытки
未遂	покушение
未遂	попытка
クライアント	клиента
クライアント	клиент
クライアント	клиентов
クライアント	клиенты
掃除	чистка
掃除	уборка
掃除	уборки
掃除	очистка
微生物	микроорганизмов
ウシ	скот
ソマリア	сомали
穀物	зерна
穀物	зерно
パオ	пао
音色	тона
抜粋	выдержка
山名	ямана
スカイライン	skyline
鉱石	руды
保育園	детской
保育園	детская
シンポジウム	симпозиум
美香	мика
ブランデンブルク	бранденбург
エドガー	эдгар
ローラー	роллер
下線	подчеркнул
下線	подчеркнуто
下線	подчеркнула
下線	подчеркнуть
下線	подчеркивая
トラスト	доверие
トラスト	доверять
トラスト	довериться
エリカ	эрика
フラット	квартиру
フラット	квартира
アニメーター	аниматор
カバ	бегемот
ジョーカー	шутник
受け入れる	принимаю
受け入れる	примите
受け入れる	принимаем
受け入れる	принять
迫撃砲	минометных
補助金	субсидии
シェフ	шеф
シェフ	повар
スクープ	сенсация
歯車	снаряжение
歯車	gear
大当たり	джекпот
グレッグ	грег
パスワード	пароль
パスワード	пароли
メカニック	механика
メカニック	механик
申告	объявить
申告	объявлять
申告	декларация
申告	заявление
赤ちゃん	baby
赤ちゃん	ребёнок
赤ちゃん	малышка
赤ちゃん	детка
赤ちゃん	малыш
赤ちゃん	малыши
赤ちゃん	детки
赤ちゃん	дети
細分	деление
壱岐	ики
スクロール	прокрутка
スクロール	свиток
会う	познакомиться
会う	знакомьтесь
会う	встретиться
弾頭	боеголовки
セクター	сектор
セクター	секторов
セクター	секторы
セクター	сектора
濃い	сильный
濃い	сильная
濃い	сильные
濃い	сильна
濃い	сильное
減らす	уменьшить
減らす	уменьшение
減らす	уменьшить
減らす	сократить
ショパン	шопен
トロンボーン	тромбон
ネック	шею
ネック	шея
ストライキ	забастовку
ストライキ	забастовка
最低限	минимальный
最低限	минимальное
最低限	минимальная
最低限	минимум
レター	буква
レター	письмо
回廊	коридор
プレゼン	презентации
プレゼン	презентация
プレゼン	представление
プレゼン	представляем
プレゼン	презентации
プレゼン	выступления
モスク	мечетей
モスク	мечети
モスク	мечеть
モスク	мечети
ルーカス	лукас
ルーカス	люка
ルーカス	лукас
プライド	гордыня
プライド	гордость
清算	ликвидация
テロリスト	террорист
テロリスト	террористических
テロリスト	террористы
テロリスト	террористов
バーンズ	барнс
バーンズ	бёрнс
バーンズ	ожоги
バーンズ	бернс
管理人	администратора
管理人	администратором
管理人	администратор
管理人	администраторы
管理人	администраторов
管理人	администраторы
管理人	администраторов
管理人	администратора
管理人	администратор
持ち込み	нести
持ち込み	принести
持ち込み	привести
コスチューム	костюм
コスチューム	костюмы
こだま	кодама
カージナルス	кардиналов
波動	волна
波動	волны
エアバス	airbus
ボリス	борис
サンバ	samba
原告	истец
原告	истца
原告	заявитель
原告	истец
地主	домовладелец
チキン	курица
チキン	куриные
インデックス	индекс
インデックス	указатель
インデックス	указатели
インデックス	индексы
さおり	саори
中道	умеренных
中道	умеренные
ピックアップ	пикапов
ピックアップ	пикап
コールド	холодная
コールド	холодное
コールド	холодный
コールド	холодно
コールド	холод
プライス	прайс
プライス	цена
ハロルド	гарольд
待遇	лечение
待遇	обращение
北極	арктике
フレンチ	французский
フレンチ	французы
フレンチ	французское
フレンチ	французская
すごい	круто
すごい	классные
すごい	классная
すごい	классно
すごい	удивительно
すごい	потрясающая
すごい	поразительно
すごい	изумительно
すごい	потрясающе
吹雪	снегопад
吹雪	blizzard
ライプツィヒ	лейпциге
アダムズ	адамс
ジュース	сока
ジュース	сок
ジュース	соки
ゴルファー	гольфист
ルージュ	руж
バーツ	бат
従兄弟	кузина
従兄弟	кузен
ギルド	гильдии
ニュルンベルク	нюрнберг
ニュルンベルク	нюрнберг
ブラザー	братец
ブラザー	брат
チューリッヒ	цюрих
チューリッヒ	цюрихе
内線	продление
内線	расширение
ルクス	люкс
ルクス	лакс
ステッカー	наклейки
浅い	мелко
カブ	репа
パウル	павел
パウル	пол
パウル	пауль
パウル	поль
故人	покойный
故人	скончалась
故人	умершего
故人	скончался
故人	умершие
アッパー	апперкот
ハンドボール	гандбол
オークス	оукс
エッグ	яйца
エッグ	яйцо
更生	реорганизация
更生	реабилитация
更生	восстановление
更生	реабилитации
スキン	шкуры
スキン	кожи
スキン	кожа
まさし	масаси
パース	перт
皐月	сацуки
エマ	эмма
ヌード	nude
ヌード	ню
メビウス	мёбиус
公害	загрязнение
コペンハーゲン	копенгагене
コペンハーゲン	копенгаген
りんご	яблоки
りんご	яблоко
りんご	яблочный
りんご	apple
ヒカル	хикару
インフルエンザ	грипп
インフルエンザ	гриппа
インフルエンザ	грипп
関税	тарифов
関税	тариф
毒性	токсичных
毒性	токсичные
毒性	токсичность
毒性	токсичности
メカニズム	механизмы
メカニズム	механизм
メカニズム	механизма
ファンタジア	фантазия
ファンタジア	фантазии
やさしい	полегче
やさしい	легче
やさしい	легко
ジャンボ	джамбо
燃える	горит
燃える	сжигание
体質	конституция
イヌ	собака
イヌ	пес
イヌ	пёс
苦しみ	страдания
苦しみ	страдание
キノコ	грибы
キノコ	гриб
キノコ	грибы
グラン	гран
厚い	толстый
厚い	толстая
厚い	толщиной
厚い	толстые
終着駅	конечная
終着駅	terminus
ヤンキー	янки
飛躍	скачок
飛躍	прыжок
麻痺	паралич
オリンピア	олимпия
クラウス	краус
クラウス	клаус
証人	свидетели
証人	свидетелям
証人	свидетелей
証人	свидетель
賞賛	восхищаться
賞賛	восхищение
賞賛	хвала
シリアル	серийный
シリアル	последовательный
シリアル	зерновых
シリアル	хлопья
子育て	воспитание
ウィンドウ	window
ウィンドウ	окна
ウィンドウ	окно
乱闘	драка
乱闘	потасовка
水分	влажность
水分	влаги
聴く	слушайте
聴く	послушай
バーバラ	барбара
遊ぶ	play
遊ぶ	играть
遊ぶ	играйте
遊ぶ	играй
決済	платежи
決済	выплаты
決済	урегулирование
決済	поселение
決済	урегулирования
決済	оплата
決済	платежи
決済	выплата
決済	платеж
決済	оплаты
サニー	солнечно
サニー	солнечные
サニー	солнечная
サニー	санни
サニー	солнечный
嫉妬	ревнует
嫉妬	завидую
嫉妬	ревность
嫉妬	ревновать
嫉妬	зависть
嫉妬	зависть
嫉妬	ревность
ディスコ	диско
ブタ	свиней
ブタ	свиньи
ブタ	свинья
ブタ	свиньи
ノーマン	норман
尾翼	хвост
退却	отступить
退却	отступать
退却	отступление
悪意	злобы
オタク	geek
オタク	ботан
オタク	ботаник
屋台	партер
伝導	проводимость
受け取る	получать
アーロン	аарон
アーロン	аарона
アンチ	анти
ベストセラー	бестселлер
ピコ	пико
ステンレス	нержавеющая
壁画	фрески
壁画	фреску
エンブレム	эмблем
エンブレム	герб
エンブレム	эмблемы
素敵	прелесть
素敵	прекрасно
素敵	приятно
素敵	мило
思想家	мыслителей
ピクセル	пиксель
ピクセル	элемент
ピクセル	пикселей
コントローラ	контроллеры
コントローラ	контролер
コントローラ	регулятор
コントローラ	контроллер
たまに	изредка
外科医	хирург
伝送	передачи
伝送	передача
木戸	кидо
トロイ	трой
二条	нидзё
翔子	сёко
面会	посещение
面会	посещения
タンカー	танкер
気体	газа
気体	бензин
気体	газ
気体	газов
気体	газы
処罰	наказать
処罰	наказывать
処罰	наказание
ロータス	lotus
キャンセル	отменить
キャンセル	отмена
キャンセル	отменена
キャンセル	отменил
キャンセル	отменено
キャンセル	отменен
キャンセル	отменена
キャンセル	отменено
キャンセル	отменен
キャンセル	отменены
キャンセル	аннулирование
キャンセル	отмена
キャンセル	списание
血統	родословная
不完全	несовершенной
ウィキ	wiki
ウィキ	вики
リスボン	лиссабон
剥奪	лишенные
剥奪	лишены
掘削	раскопки
掘削	бурение
ボリビア	боливии
ボリビア	боливии
ボリビア	боливия
棄却	увольнения
棄却	увольнение
幼虫	личинок
幼虫	личинки
悪夢	кошмары
悪夢	кошмар
演目	программы
標準化	стандартизация
標準化	стандартизации
チェルシー	челси
ナンシー	нэнси
カタール	катаре
カタール	катар
カタール	катара
カタール	катара
解読	расшифровать
解読	декодирование
ゲイリー	гэри
ゲイリー	гари
やまと	ямато
出血	кровотечение
出血	кровотечения
出血	кровоизлияние
タンゴ	танго
濡れ	увлажнения
濡れ	мокрый
濡れ	мокрая
濡れ	мокрые
ロンド	рондо
キックボクシング	кикбоксинг
台北市	тайбэй
諮問	консультация
諮問	консультации
火事	fire
火事	пожар
火事	огонь
慎太郎	синтаро
正夫	масао
ジュリエット	джульет
ジュリエット	джульетта
マクラーレン	mclaren
オアシス	оазис
赤道	экватора
クウェート	кувейт
クウェート	кувейта
クウェート	кувейте
疲労	усталости
疲労	усталость
疲労	истощение
疲労	исчерпания
平壌	пхеньяне
国々	стран
国々	страны
ディー	ди
タコ	осьминог
内訳	разбивка
内訳	срыв
内訳	распад
内訳	разбивки
ジャイアント	гигантский
ジャイアント	гигант
ジャイアント	гигантская
ジャイアント	гигантские
バディ	приятель
バディ	бадди
出願	применения
出願	заявка
出願	применение
ウォーレン	уоррен
銃弾	пуля
銃弾	пулю
妥協	компромисс
妥協	компромисса
ピストン	поршня
鉄拳	tekken
雅美	масами
グラミー	гурами
グラミー	грэмми
抗体	антитела
抗体	антител
トモ	томо
風船	шар
風船	шарик
風船	шарики
風船	шары
おばさん	тетя
おばさん	тётушка
おばさん	тётя
おばさん	тётя
リターン	возвращения
リターン	возврат
リターン	вернуть
リターン	вернуться
リターン	возвращение
ユーラシア	евразийского
安定性	стабильность
安定性	стабильности
コメディアン	комик
コメディアン	комики
フェリックス	феликс
副官	адъютант
エレクトロニクス	электроники
パトロール	патруль
パトロール	патрулирование
パトロール	патрульные
クレーター	кратеров
クレーター	кратер
キャピタル	столица
キャピタル	капитал
キャピタル	capital
チャット	чата
チャット	чат
高句麗	когурё
糖尿病	диабет
ディズニーランド	диснейленд
エルフ	эльф
エルフ	эльфы
バーガー	бургер
カリウム	калия
サバイバル	выживания
サバイバル	выживание
シックス	шесть
シックス	six
シックス	шестеро
シックス	шестой
蛍光	люминесцентных
可愛い	милые
可愛い	милый
可愛い	довольно
可愛い	красивая
スピリット	дух
スピリット	духом
相良	сагара
グアム	гуам
民兵	милиция
民兵	ополченцев
民兵	милиции
民兵	ополченцы
側室	наложница
側室	наложниц
ルター	лютер
ルター	лютера
共鳴	резонанс
ジュリアン	джулиан
受領	получения
受領	получение
チャーチル	черчилль
まゆみ	маюми
シャム	сиамские
シャム	шам
帰属	присвоение
帰属	атрибуции
モモ	персик
モモ	персики
モモ	момо
モモ	персик
コンボ	комбинация
コンボ	комбо
デンバー	денвер
感度	чувствительность
感度	чувствительности
正午	полдень
正午	полдень
ハント	охота
ハント	хант
ドレスデン	дрезден
欠席	отсутствует
欠席	отсутствие
口座	счёт
口座	аккаунт
口座	счет
批准	ратификация
説教	проповеди
説教	проповедь
説教	проповеди
説教	проповедь
説教	проповеди
説教	проповедовать
連想	ассоциативных
フルーツ	фрукты
フルーツ	фрукт
フルーツ	плод
フルーツ	плоды
フルーツ	фрукты
フルーツ	плоды
著しい	замечательный
カウンティ	графство
カウンティ	округе
カウンティ	округ
カウンティ	графства
カウンティ	округа
カウンティ	графствах
返済	погашения
返済	погашение
チャネル	каналы
チャネル	канал
チャネル	channel
チャネル	каналы
尾根	хребет
尾根	ридж
知子	томоко
ウェスタン	западная
ウェスタン	западные
ウェスタン	западной
ウェスタン	западный
ウェスタン	западное
スキャン	сканирование
スキャン	сканирования
スキャン	сканирование
敬意	респект
敬意	уважать
敬意	уважение
敬意	уважаю
オリエンタル	восточной
オリエンタル	восточная
オリエンタル	восточное
鋭い	острая
鋭い	острые
鋭い	шарп
鋭い	острый
お茶	чаю
お茶	чая
お茶	чай
クローズ	закрыть
クローズ	близко
クローズ	закройте
ワープ	варп
ダイナマイト	динамит
コリンズ	коллинс
コリンズ	коллинз
飲む	питьевой
飲む	пью
飲む	пить
飲む	пей
飲む	пить
飲む	выпить
飲む	напиток
オークション	аукцион
オークション	аукционов
ポータブル	переносных
モンロー	монро
産卵	нереста
芥川	акутагава
トラップ	ловушку
トラップ	ловушка
トラップ	ловушки
同値	эквивалентности
ローテーション	вращения
ローテーション	ротации
ローテーション	вращение
プリズム	призму
フェアリー	феи
フェアリー	фея
フェアリー	fairey
ポット	горшок
マッカーサー	макартура
ハチ	wasp
ハチ	пчелы
ハチ	осы
ミッチェル	митчел
ミッチェル	митчелл
カルト	культ
家事	уборка
家事	горничная
消える	исчезает
消える	исчезновение
消える	исчезают
消える	исчезнет
消える	исчезнуть
消える	исчезают
テンション	напряжение
テンション	напряженность
テンション	напряженности
個別に	индивидуально
ジャスト	просто
ジャスト	только
フォーカス	фокус
フォーカス	сфокусироваться
フォーカス	сконцентрироваться
フォーカス	внимание
ナムコ	namco
分化	дифференциации
ウエスタン	западная
ウエスタン	западные
ウエスタン	западной
ウエスタン	западный
ウエスタン	западное
ラトビア	латвия
ラトビア	латвии
ラトビア	латвии
酢酸	ацетат
スタンプ	марка
スタンプ	наклейки
スタンプ	пень
発令	выдача
激戦	жестокой
おいしい	вкусно
おいしい	вкусно
停滞	стагнации
停滞	застой
停滞	стационарных
停滞	стационарные
スリップ	ускользнуть
照射	облучения
照射	воздействия
クルーザー	крейсер
ハンドブック	руководство
ハンドブック	справочник
江藤	eto
アーカンソー	арканзас
パッド	pad
マナー	этикет
マナー	манеры
バットマン	бэтмен
裁定	постановление
タイル	плитки
タイル	плитки
螺旋	спирали
螺旋	спираль
ホフマン	хоффман
ホフマン	хоффман
ホフマン	хофманн
レジスタ	регистров
レジスタ	реестры
レジスタ	регистры
レジスタ	зарегистрироваться
レジスタ	регистра
レジスタ	регистр
レジスタ	зарегистрировать
レジスタ	реестр
レジスタ	регистрация
ピュア	чистая
ピュア	чистые
ピュア	чисто
ピュア	чистый
ピュア	чистое
蒸留	дистилляции
蒸留	дистиллированной
フレイ	фрей
フレイ	fray
ミッドフィールダー	полузащитник
ブーツ	ботинки
ブーツ	сапоги
出版物	публикации
出版物	публикация
出版物	опубликование
出版物	издание
ヒューズ	хьюз
ヒューズ	предохранитель
問い合わせ	запрос
問い合わせ	справки
問い合わせ	запросы
連帯	солидарности
連帯	солидарность
ポーター	портер
帰宅	дом
帰宅	дома
帰宅	домой
帰宅	домашний
帰宅	home
メイキング	изготовление
エフェクト	последствия
エフェクト	эффекты
エフェクト	эффект
野間	нома
デス	death
デス	смерть
バター	масло
教職員	преподаватели
教職員	факультет
結核	туберкулезом
結核	туберкулез
ヨルダン	иордании
ヨルダン	иордания
ヨルダン	иордан
ヨルダン	иорданию
ヨルダン	джордан
ヨルダン	иордании
恵那	эна
コバルト	кобальта
ソフトボール	софтбол
起業	предприниматель
起業	предпринимательства
起業	предпринимательство
欠陥	дефект
欠陥	несовершенство
コブラ	кобра
シスター	сестра
グリル	гриль
脂肪	толстый
脂肪	толстая
脂肪	жир
脂肪	жирный
アーネスト	эрнест
眠る	сон
眠る	спать
眠る	спи
アスレチック	спортивный
アスレチック	спортивная
彼氏	бойфренд
彼氏	парень
エミー	эми
迫害	преследование
迫害	преследования
迫害	преследованиям
コンコース	вестибюль
勧誘	привлечение
手数料	комиссия
手数料	комиссии
手数料	плату
手数料	гонорар
手数料	плата
手数料	сборы
バドミントン	бадминтон
ザック	зак
陶器	керамика
スクリプト	сценарии
スクリプト	сценарий
トライアングル	треугольник
溶岩	лава
フィニッシュ	закончить
フィニッシュ	завершить
異端	ересь
真似	подражать
真似	имитировать
フン	хун
ハス	lotus
メグ	мэг
メグ	мег
ボールド	смелый
ボールド	смелые
トッド	тодд
入浴	купаться
入浴	купания
入浴	бани
入浴	ванна
入浴	бат
入浴	ванной
入浴	баня
ハング	повесили
ハング	хун
ハング	повесить
流体	жидкость
流体	жидкости
ジュネーヴ	женева
ジュネーヴ	женевская
ハーバート	герберт
お菓子	сладости
未完成	неполный
未完成	неполной
オシ	ош
ブレーメン	бремен
共生	симбиотические
チューブ	трубку
チューブ	трубка
ヒゲ	бороды
浄土宗	тодор
変装	маскировка
変装	маскировку
軍需	вооружение
軍需	вооружения
軍需	вооружений
シグナル	сигналы
シグナル	сигнал
オリーブ	оливковое
オリーブ	олив
オリーブ	оливки
面接	собеседование
面接	интервью
面接	беседа
ダイエット	диеты
ダイエット	рацион
ダイエット	диеты
ダイエット	диета
ダブリン	дублине
ダブリン	дублин
信念	вере
信念	веру
信念	вера
信念	вера
信念	убеждения
信念	убеждений
スチュアート	стюарта
スチュアート	стюарт
ワイヤー	провод
ワイヤー	провода
アルブレヒト	альбрехт
バレル	ствол
サンティアゴ	сантьяго
雅人	масато
碑文	надпись
碑文	надписи
ブルターニュ	бриттани
審判員	арбитр
審判員	судья
審判員	рефери
審判員	арбитр
スレッド	переписку
スレッド	переписка
スレッド	разговор
スレッド	беседа
スレッド	нитки
スレッド	нити
スレッド	дискуссии
スレッド	нитки
スレッド	нити
スレッド	нить
スレッド	переписки
スレッド	разговоры
スレッド	беседы
ドラキュラ	дракула
ルネ	рене
ルネ	рене
桟橋	пирс
桟橋	пьер
亜鉛	цинка
グラハム	грэм
正博	масахиро
デューク	герцог
デューク	дюк
語彙	словарь
コーディネーター	координатор
コーディネーター	координатора
充電	обвинение
充電	заряд
充電	зарядки
充電	заряд
グラブ	схватить
バーミンガム	бирмингем
マイヤー	майер
マイヤー	мейер
リリー	лилия
リリー	лили
大工	карпентер
大工	плотники
隠岐	оки
ワクチン	вакцины
ワクチン	вакцин
ワクチン	вакцины
ワクチン	вакцина
ワクチン	вакцину
監獄	тюрьме
監獄	тюрьма
監獄	тюрьмах
監獄	тюрьмы
デラウェア	делавэр
売る	продавать
売る	продажа
売る	продать
破片	мусора
破片	обломки
夜叉	яша
桃園	таоюань
ペーター	петр
ペーター	питер
ペーター	петер
ペーター	пётр
買い物	покупки
既婚	женился
既婚	женаты
既婚	замужем
既婚	женат
陽性	положительные
陽性	положительно
陽性	позитивная
陽性	положительный
陽性	позитивные
チョーク	мел
チョーク	задушить
四十	forty
四十	сорок
四十	сорока
エコー	эко
エコー	эхо
同調	соответствие
同調	соответствия
スイング	качели
クランク	мет
コミュニティー	община
コミュニティー	общины
コミュニティー	сообщества
コミュニティー	сообщество
施策	политика
トラクター	трактор
トラクター	тракторов
トラクター	трактор
カリスマ	харизма
カリスマ	харизматичный
吹く	удары
吹く	ударов
下着	трусы
下着	бельё
下着	белье
淡水	пресноводных
分泌	секреция
驚き	удивление
驚き	сюрприз
ジェフリー	джефри
ジェフリー	джеффри
廃墟	руины
廃墟	разрушить
廃墟	руины
深度	глубины
深度	глубина
深度	глубину
配当	дивиденды
配当	распространение
配当	распределение
配当	распределения
配当	дивиденды
故意	преднамеренное
故意	умышленно
故意	преднамеренно
故意	намеренно
故意	умышленное
故意	намеренно
故意	нарочно
故意	умышленно
故意	преднамеренно
故意	намеренно
ニコ	нико
ニコ	нико
クロム	chrome
クロム	хром
生き方	lifestyle
預言	пророчество
預言	предсказание
預言	пророчества
掲示	публикация
掲示	размещения
掲示	бюллетень
パスポート	паспорта
パスポート	паспорт
カロリー	калорий
カロリー	калорий
消化	пищеварение
ヘビ	змея
ヘビ	змеи
ヘビ	змей
ヘビ	змеи
ヘビ	змей
膨張	расширение
バッジ	значок
バッジ	значки
残酷	жестокие
残酷	жестоко
残酷	жестокий
残酷	жестокого
残酷	жестокое
ペナルティ	наказание
フェンス	забор
フェンス	ограждение
船員	моряк
フォレスト	форест
フォレスト	форрест
フォレスト	леса
フォレスト	лесных
フォレスト	лес
クラッチ	сцепление
見習い	учеников
見習い	ученик
見習い	стажер
黙示録	апокалипсис
枢機卿	кардинал
メソッド	способ
メソッド	метод
メソッド	методы
スチュワート	стюарт
スランプ	спад
スギ	сидар
コップ	чашка
コップ	чаша
コップ	кубок
コップ	cup
母国	родина
視界	видимости
視界	видимость
ニッケル	никель
反響	эко
反響	эхо
プラットホーム	платформу
プラットホーム	платформы
プラットホーム	платформа
カルチョ	calcio
スーザン	сюзан
スーザン	сьюзан
スーザン	сьюзен
ハイチ	гаити
洗浄	мытья
洗浄	чистка
洗浄	уборка
洗浄	уборки
洗浄	очистка
不祥事	скандал
不祥事	скандалы
委任	делегирование
委任	делегация
委任	мандат
祭壇	алтарь
シエラ	сьерра
帰化	натурализации
手当	пособие
ボローニャ	болонья
ヤギ	коза
ヤギ	козёл
ヤギ	козел
ヤギ	козлы
ヤギ	коз
ワークショップ	семинары
ワークショップ	практикум
ワークショップ	семинар
ワークショップ	мастерская
ワーグナー	вагнер
金庫	безопасно
金庫	безопасное
金庫	сейф
慎吾	синго
消耗	истощение
充当	ассигнования
充当	присвоение
被告人	обвиняемые
被告人	обвиняемых
被告人	обвиняемый
被告人	обвиняемый
被告人	обвиняемого
被告人	ответчик
被告人	подсудимый
バトン	батон
睡眠	сон
睡眠	спать
睡眠	спи
洗濯	мытья
洗濯	прачечная
洗濯	белье
ツル	крейн
ツル	кран
リヒャルト	ричард
裏側	назад
裏側	back
裏側	спина
裏側	обратно
レズビアン	лесбиянка
レズビアン	лесбиянок
レズビアン	лесбиянки
レズビアン	лесбиянки
レズビアン	лесбиянок
芸者	гейша
チャップリン	чаплин
祝福	благословение
祝福	благословение
祝福	благословения
祝福	благословен
林檎	яблоко
林檎	яблочный
林檎	apple
視力	зрение
星空	звездное
ロナルド	рональд
ランニング	бег
ランニング	бегать
高尾	такао
古谷	сэйити
届出	уведомление
届出	уведомления
レスキュー	спасатели
レスキュー	спасти
レスキュー	спасение
土居	дои
委嘱	делегирование
委嘱	делегация
委嘱	комиссия
委嘱	комиссии
アンドレア	андреа
パンダ	панда
ハク	хак
冗談	шутка
冗談	шутка
冗談	шучу
冗談	шутка
冗談	шучу
お気に入り	любимое
お気に入り	любимая
お気に入り	любимые
お気に入り	любимый
お気に入り	любимая
お気に入り	любимые
お気に入り	избранное
お気に入り	любимых
お気に入り	любимая
お気に入り	любимое
お気に入り	любимые
お気に入り	любимый
お気に入り	избранное
お気に入り	любимых
お気に入り	избранные
ロッカー	рокер
トゥルー	true
トゥルー	правда
ヨット	яхты
ヨット	яхта
ヨット	яхту
ヨット	яхты
シェーン	шейн
ダイナミック	динамические
ダイナミック	динамических
ダイナミック	динамично
ラバウル	рабаул
勝浦	кацуура
飛行船	дирижабль
陶芸	керамика
エリオット	эллиотт
エリオット	эллиот
エリオット	элиот
エリオット	эллиот
まみ	мами
消去	стереть
消去	гашение
ストライカー	нападающий
ストライカー	личинки
真木	маки
ハンプシャー	хэмпшир
テント	палатки
テント	палатку
テント	палатки
リソース	ресурс
リソース	ресурсы
粛清	чистка
セリ	сери
崇拝	поклонения
崇拝	поклоняться
崇拝	поклонение
ワトソン	ватсон
ワトソン	уотсон
値段	прайс
値段	цена
藤森	фухимори
快適	удобный
快適	удобно
快適	удобная
快適	удобные
快適	удобный
快適	удобно
快適	удобная
快適	комфортно
快適	удобные
足跡	след
足跡	следы
ロベール	роберт
ロベール	робер
バスケ	баскетбол
獣医	ветеринар
獣医	ветеран
獣医	ветеринар
ヴァージン	девственница
ヴァージン	виргинских
ヴァージン	дева
和音	аккорд
帝政	империи
帝政	империя
動揺	расстроился
動揺	расстроен
動揺	расстроена
タブレット	планшет
