skudru	נמלים
honda	הונדה
abba	אבבא
aes	aes
signālus	אותות
sodīts	להיענש
sodīts	עונש
sodīts	נענש
pacers	פייסרס
mati	שיער
mati	שערה
senas	עתיקים
senas	עתיקה
senas	עתיקות
senas	עתיק
senas	העתיקה
eric	אריק
budistu	בודהיסטי
parakstīt	חתום
parakstīt	סימן
parakstīt	שלט
donalds	דונלד
irāka	עירק
irāka	עיראק
biologs	ביולוג
anita	אניטה
jeruzalemes	ירושלים
dens	דן
neparasti	חריגה
neparasti	חריג
bioloģiskā	הביולוגי
bioloģiskā	ביולוגי
bioloģiskā	ביולוגית
vienalga	שיהיה
piektajā	החמישי
piektajā	חמישית
piektajā	חמישי
tipisks	אופיינית
tipisks	טיפוסית
tipisks	טיפוסי
tipisks	אופייני
niedru	ריד
vēlu	מאחרת
vēlu	איחור
vēlu	באיחור
vēlu	מאוחר
piesaistīja	נמשכת
piesaistīja	נמשך
vienoties	מסכימים
vienoties	מסכימה
vienoties	מסכים
platumā	רוחב
manuels	מנואל
dienvidi	דרום
dienvidi	דרומה
dienvidi	הדרום
ražoti	הפיק
ražoti	מיוצר
ražoti	יוצר
ražoti	מיוצר
ražoti	יוצרו
ražoti	מיוצרים
medībās	ציד
medībās	צייד
abinieku	אמפיבי
lūiss	לואיס
paaugstināta	מוגברת
paaugstināta	גדל
zviedriem	השוודים
pieraksts	מנוי
pieraksts	מינוי
locītavas	המפרקים
locītavas	מפרקים
mao	מאו
trīspadsmit	thirteen
drošu	בטוחה
drošu	כספת
drošu	בטוחים
drošu	בטוח
sēru	באבל
sēru	מתאבלת
sēru	מתאבל
sēru	האבל
fantāzijas	פנטזיה
fantāzijas	פנטזיות
fantāzijas	הפנטזיות
lauksaimniecība	חקלאות
lauksaimniecība	חקלאות
apzināti	במודע
apzināti	בכוונה
apzināti	במכוון
apzināti	בכוונה
apzināti	במתכוון
apzināti	במכוון
apzināti	במודע
apzināti	ביודעין
apzināti	מכוונת
apzināti	מכוון
ievads	מבוא
ievads	הכרות
ievads	ההיכרות
ievads	היכרות
ievads	הקדמה
čaulas	פגז
čaulas	מעטפת
čaulas	קליפה
čaulas	קליפות
čaulas	פגזים
avangard	אוונגרד
dziļu	עמוקה
dziļu	מעמיק
dziļu	עמוק
ana	אנה
kopīgas	שיתפו
kopīgas	שיתף
kopīgas	משותף
kopīgas	משותפת
senioru	בוגרים
senioru	קשישים
milzīga	ענקית
milzīga	ענק
milzīga	עצומה
milzīga	עצום
milzīga	מאסיב
milzīga	מסיבית
milzīga	מסיבי
milzīga	עצום
lāci	דוב
pagrīdes	טיילת
pagrīdes	הטיילת
radošo	יצירתית
radošo	יצירתי
radošo	יצירתיות
radošo	קריאייטיב
uzplauka	שגשגו
pārtrauc	מבטל
sūtīt	שלח
sūtīt	שלחי
sūtīt	לשלוח
sūtīt	שלחו
iekšējais	פנים
iekšējais	פנימית
iekšējais	פנימיות
iekšējais	פנימי
sandra	סנדרה
pārtraukums	לשבור
pārtraukums	הפסקה
pārtraukums	להפריע
slēpjas	מסתור
slēpjas	מסתתרת
slēpjas	מסתיר
slēpjas	מתחבאת
slēpjas	מתחבא
slēpjas	מסתתר
ķirurgs	כירורג
ķirurgs	מנתחת
ķirurgs	מנתח
dzeltenais	צהוב
dzeltenais	צהובה
silver	כסף
silver	סילבר
silver	כסופה
silver	כסוף
silver	מכסף
augumu	גובה
oriģinālā	מקוריות
oriģinālā	מקוריים
oriģinālā	מקורית
oriģinālā	מקורי
oriģinālā	המקורי
peldēšanas	שחייה
peldēšanas	שוחה
peldēšanas	שחיה
pētnieku	חוקרת
pētnieku	חוקר
sacenšas	להתחרות
sacenšas	מתחרים
sacenšas	מתחרות
sacenšas	מתחרה
rasu	גזעי
kritēriji	קריטריונים
mareks	מאריק
svītras	פסים
zēns	בוי
zēns	ילד
zēns	נער
palestīniešu	פלסטינים
palestīniešu	פלסטיני
paskaidrojumi	הסברים
baltastes	בולוור
brīvs	חופשי
brīvs	חינם
brīvs	free
brīvs	חופשיים
brīvs	בחינם
bagātīgi	בשפע
bagātīgi	בשפע
bagātīgi	שופע
bagātīgi	שפע
pazuda	נעלמו
pazuda	נעלמה
pazuda	נעלם
iegādāts	רכשו
iegādāts	רכש
iegādāts	נרכש
iegādāts	נקנה
peldēšana	שחייה
peldēšana	שוחה
peldēšana	שחיה
golden	זהב
golden	זהוב
golden	גולדן
alejas	גלריות
līdakas	פייק
izstrādāti	פיתח
izstrādāti	התפתח
izstrādāti	מפותחת
izstrādāti	התפתחה
katastrofas	אסונות
pavēlnieks	לורד
vienādojumu	משוואה
organisms	אורגניזם
sudānas	סודנים
plānota	מתוכנן
plānota	מתוזמן
plānota	מתוכננת
plānota	מתוכנן
plānota	תכנן
slēgt	מנעול
slēgt	לנעול
slēgt	נעילה
hēlija	הליום
bayer	באייר
piepilsētas	מהפרברים
strēlnieki	קשתים
sadalīšanas	פיצול
snak	snak
kopija	עותק
kopija	העתק
kopija	העתקה
balasta	נטושים
balasta	נטל
pievienotas	מחובר
pievienotas	מצורף
vīrusu	ויראלי
vīrusu	נגיף
vīrusu	וירוס
būtiskas	הכרחי
būtiskas	חיוניות
būtiskas	חיונית
būtiskas	חיוני
laikapstākļi	מזג
izpratni	ההבנה
izpratni	הבנה
laima	ליים
sulu	מיץ
asamblejas	הרכבה
asamblejas	אסיפה
sēdes	יושבים
sēdes	יושב
sēdes	יושבת
sēdes	פגישות
sēdes	מפגשים
sēdes	ישיבות
sēdes	שימוע
bot	בוטים
vienādojums	משוואה
pateikt	תגיד
pateikt	אמור
pateikt	תגידי
mākslīgā	מלאכותי
mākslīgā	מלאכותית
mākslīgā	מלאכותיים
akli	עיוורון
akli	עיוורת
akli	עיוור
akli	עיוורים
akli	בעיוורון
pierre	פייר
regulāra	רגילה
regulāra	סדיר
regulāra	רגיל
regulāra	קבוע
uzlabo	משתפרת
uzlabo	משתפר
uzlabo	שיפור
uzlabo	משתפרת
uzlabo	משפר
uzlabo	לשפר
plāksnes	צלחות
plāksnes	צלחת
garīgais	רוחנית
garīgais	רוחני
garīgais	רוחניות
aptieka	מרקחת
ronis	חותם
cēzara	קיסר
oksīdu	תחמוצת
juridiski	חוקית
absolūti	לגמרי
absolūti	לחלוטין
absolūti	בהחלט
tēvam	אבא
tēvam	אבי
tēvam	אב
civilā	אזרחי
civilā	אזרחית
civilā	אזרחית
civilā	אזרח
civilā	אזרחי
misisipi	מיסיסיפי
atrisināt	פתרתי
atrisināt	פתור
atrisināt	פתר
atrisināt	נפתר
atrisināt	נפתרה
atrisināt	פתור
atrisināt	נחישות
atrisināt	לפתור
atrisināt	לפתור
datori	מחשבים
reģistrētas	רשום
reģistrētas	רשומה
ieiet	נכנס
ieiet	הזן
ieiet	הכנס
drošība	בטחון
drošība	אבטחה
drošība	ביטחון
drošība	בטיחות
atkarību	תלות
procesora	מעבד
procesora	מעבד
atcelt	ביטול
atcelt	לבטל
atcelt	בטל
talantu	כישרון
talantu	כשרון
zīmēšanas	ציור
zīmēšanas	מציירת
zīmēšanas	מצייר
piens	חלב
vidzeme	ליבוניה
avīzē	עיתונים
avīzē	עיתון
tavu	שלך
civilās	אזרחי
civilās	אזרחית
civilās	אזרחית
civilās	אזרח
civilās	אזרחי
precīzs	מדוייק
precīzs	מדויק
precīzs	מדויקת
precīzs	מדוייק
precīzs	מדויק
precīzs	מדויקים
precīzs	מדויקת
precīzs	מדויק
diplomātiskās	דיפלומטי
diplomātiskās	דיפלומטית
reperis	ראפר
reperis	הראפר
trauku	מנה
trauku	צלחת
luna	לונה
lerijs	לארי
parakstīšanas	חותם
parakstīšanas	חתימה
rīki	כלים
rīki	הילוכים
zonās	אזורים
intervijā	ראיון
intervijā	ריאיון
rīkles	הגרון
rīkles	גרון
gazols	גאסול
toyota	טויוטה
apturēta	מושהה
apturēta	מושהה
apturēta	מושעה
apturēta	הושעה
atzīmē	פתקים
atzīmē	רשימות
atzīmē	הערות
atzīmē	תווים
aicina	מתקשרת
aicina	מתקשר
aicina	קורא
aicina	הזמנות
skaitļošanas	מחשוב
aizliegums	האיסור
aizliegums	איסור
aizliegums	באן
klārks	קלארק
klārks	קלארק
koncepciju	מושג
koncepciju	תפיסה
ieroci	אקדח
ieroci	רובה
slepkavību	רצח
las	לאס
gaga	גאגא
samazinājies	שנפלו
samazinājies	נפל
samazinājies	הנופלים
samazinājies	נפלו
samazinājies	שנפל
samazinājies	סירבה
samazinājies	נדחה
samazinājies	סרב
samazinājies	דחה
šūmahers	שומאכר
grenlandes	גרינלנד
normandijas	נורמנדי
garšu	טעם
garšu	לטעום
pauda	עיצור
step	צעד
step	מדרגה
step	שלב
veikalā	חנות
pašreizējie	זרם
pašreizējie	הנוכחית
pašreizējie	נוכחית
pašreizējie	נוכחי
procedūras	הליכים
procedūras	נהלים
atlikušās	נותר
atlikušās	נותרה
atlikušās	נותרו
atlikušās	שנותרו
tuberkulozes	שחפת
skeleta	שלד
skeleta	השלד
jostas	חגורות
porsche	פורשה
zināt	דע
zināt	מכירה
zināt	יודעת
zināt	יודע
bazilika	בזיל
bazilika	באזיל
bazilika	בזיליקת
dala	מחולק
dala	מחולקת
izšķilšanās	הופעתה
izšķilšanās	בוקע
izcili	מבריקה
izcili	גאוני
izcili	מבריק
izcili	מצטיין
izcili	מעולה
izcili	מצוין
izcili	מצויין
līknes	עקומות
joahims	יואכים
zebiekste	סמור
konfederāciju	בהעפלה
konfederāciju	הקונפדרציה
salīdzināt	השווה
salīdzināt	השווי
salīdzināt	להשוות
tiesneši	שופטים
rex	רקס
aģents	סוכן
aģents	הסוכן
aģents	סוכנת
žurnāliste	עיתונאית
žurnāliste	עיתונאי
romans	רומן
romans	רומי
pārklājas	חפיפה
elektriskais	חשמלית
elektriskais	חשמלי
ieee	ieee
palīdzot	עוזרת
palīdzot	עוזר
atpazīt	מזהה
made	עשה
made	הכין
uzrakstīts	נכתב
uzrakstīts	כתובה
uzrakstīts	נכתבה
uzrakstīts	כתובים
uzrakstīts	כתוב
taisnstūra	מלבן
taisnstūra	מלבני
deklarācijas	הצהרות
personība	זהות
personība	אישיות
intensīva	אינטנסיבי
intensīva	נמרץ
intensīva	אינטנסיבי
maņu	חושית
maņu	חושי
pēcnācējiem	צאצאים
pēcnācējiem	צאצא
ieslodzījuma	מאסר
ieslodzījuma	כליאה
ērti	נוחה
ērti	נוחה
ērti	נוח
ērti	נוחים
amsterdamas	אמסטרדם
gudrības	חכמה
gudrības	חוכמה
gudrības	תבונה
mute	מאות
ziemeļi	צפונה
ziemeļi	הצפון
ziemeļi	צפון
sarkani	רד
sarkani	אדום
sarkani	אדומים
sarkani	אדומה
optisko	אופטית
optisko	אופטי
sauss	יבשים
sauss	יבש
sauss	יבשה
noliktava	מחסן
sazināties	מגע
sazināties	קשר
sazināties	לתקשר
praksi	אימון
praksi	להתאמן
praksi	תרגול
nodoklis	חובה
nodoklis	מס
kandidatūru	מועמדות
hop	הופ
dāma	מלכה
dāma	המלכה
dāma	גברת
dāma	ליידי
ražotāji	מפיקים
ražotāji	מפיק
ražotāji	המפיקים
ražotāji	יצרני
solis	צעד
solis	מדרגה
solis	שלב
iedzīvotājs	תושבת
iedzīvotājs	תושב
iedzīvotājs	מתמחה
vērts	שווי
vērts	שווים
vērts	שווה
vērts	ראויים
vērts	ראויה
vērts	ראוי
kuģniecības	משלוחים
kuģniecības	משלוח
vakuuma	ואקום
apvienojas	למזג
apvienojas	מיזוג
apvienojas	מיזוג
palikusi	שמאלה
palikusi	שמאל
palikusi	משמאל
apsūdzēja	הואשם
apsūdzēja	מואשמת
apsūdzēja	מואשם
apsūdzēja	האשים
apsūdzēja	נאשם
florida	פלורידה
matricas	מטריקס
matricas	מטריצה
kopenhāgenā	קופנהגן
luhanskas	לוהנסק
finansiāli	כלכלית
kaķiem	חתולים
arheologs	ארכיאולוג
laulība	חתונה
laulība	נישואים
laulība	נישואין
ieviešana	יישום
ieviešana	מימוש
sasniegumu	הישגים
sasniegumu	הישג
gaz	גאז
uzskaitītas	רשום
uzskaitītas	רשומה
nigērijas	הניגרי
profesore	פרופסור
tcp	tcp
muti	מאות
gmbh	gmbh
fails	קובץ
fails	הקובץ
redakcijas	גרסאות
gulbji	ברבורים
slovēnija	סלובניה
copa	קופה
peldēt	לשחות
obama	אובאמה
obama	אובמה
apdares	מסיים
apdares	מסיימים
apdares	מסיימת
organizētas	מאורגן
organizētas	מאורגנת
spuras	סנפירים
marie	מרי
marie	מארי
lībekas	ליבק
īzaks	אייזק
īzaks	יצחק
dārzos	גנים
dārzos	גני
veicinātu	אומנה
veicinātu	פוסטר
veicinātu	קדמי
veicinātu	קדם
pelēkas	אפורה
pelēkas	גריי
pelēkas	אפור
pērkons	רעם
pērkons	הרעם
pērkons	רעמים
sabruka	התמוטטה
sabruka	קרס
sabruka	התמוטט
inspektors	המפקח
inspektors	מפקח
inspektors	מפקחת
ķirzakas	לטאות
likvidēt	לחסל
dejotāja	רקדנית
dejotāja	רקדן
olimpiskajā	אולימפי
olimpiskajā	האולימפי
luters	לותר
vāgners	וגנר
vāgners	ווגנר
kursos	הקורסים
kursos	קורסים
tuksnesis	מדבר
tuksnesis	המדבר
atzīti	מזוהה
atzīti	זוהה
atzīti	מזוהה
atzīti	מוכר
atzīti	מוכרת
teritoriālais	טריטוריאלי
dziļš	עמוקים
dziļš	עמוקה
dziļš	עמוק
žaunu	גיל
dana	דיינה
dana	דנה
dārziņš	הגינה
dārziņš	גן
dārziņš	הגן
dārziņš	גינה
silvija	סילביה
silvija	סילביה
izpildītāji	אומנים
izpildītāji	אמנים
izpildītāji	אמני
pavlovs	פבלוב
sausā	יבשים
sausā	יבש
sausā	יבשה
pacientiem	חולי
pacientiem	מטופלים
pacientiem	חולים
asp	asp
vienādu	המדים
vienādu	אחיד
vienādu	אחידה
vienādu	מדים
vadims	ואדים
mini	מיני
sekcija	מקטע
sekcija	סעיף
sekcija	מחלקה
sekcija	מפרץ
adams	אדמס
adams	אדאמס
digitālā	דיגיטלית
digitālā	דיגיטלי
bioloģija	ביולוגיה
eļļa	שמן
eļļa	נפט
frakcija	שבר
saturēt	להכיל
saturēt	מכילות
bahs	באך
atbalstītāji	תומכים
atbalstītāji	תומכי
definīcija	הגדרה
labāks	עדיף
palīgā	עזרה
palīgā	עזור
palīgā	עזרי
dzīvsudraba	כספית
dzīvsudraba	מרקורי
fiksēts	תוקן
fiksēts	מתוקן
fiksēts	קבוע
mākslīgais	מלאכותי
mākslīgais	מלאכותית
mākslīgais	מלאכותיים
lādiņu	קליע
cieņu	כבוד
paplašināta	המורחבת
paplašināta	מורחב
paplašināta	מורחבת
paplašināta	הרחיבו
paplašināta	מוגדלת
paplašināta	מורחב
paplašināta	התרחב
veselas	שלם
veselas	שלמה
apvalks	הטוניקה
falco	פאלקו
frakciju	פלג
frakciju	הסיעה
biļetes	כרטיסים
biļetes	לכרטיסים
dimantu	יהלום
dimantu	יהלומים
dimantu	היהלום
izplatīšanās	הפצה
izplatīšanās	התפלגות
izplatīšanās	התפשטות
izplatīšanās	התפשט
izplatīšanās	להפיץ
izplatīšanās	מתפשט
atveres	פתיחות
nikolass	ניקולאס
nikolass	ניקולס
gadījuma	מקרי
gadījuma	אקראי
gadījuma	אקראית
gadījuma	אקראיות
gadījuma	מזדמן
gadījuma	מקרית
amerikāņi	אמריקנים
amerikāņi	אמריקאים
tīra	טהורה
tīra	טהורים
tīra	טהור
tīra	נקיה
tīra	נקייה
tīra	נקי
baumas	שמועות
baumas	שמועה
izabella	איזבל
izabella	איזבלה
izabella	איזבל
prāga	פראג
nogulumu	משקע
nieres	כליות
nieres	כליה
nieres	כליות
nieres	הכליה
pasākuma	מדידה
pasākuma	מידה
patērē	נצרך
patērē	לצרוך
patērē	לצרוך
patērē	צורכים
patērē	מכלה
zālamana	שלמה
zālamana	סולומון
apsūdzēts	הואשם
apsūdzēts	מואשמת
apsūdzēts	מואשם
apsūdzēts	האשים
apsūdzēts	נאשם
reklāma	פירסום
reklāma	פרסום
vikingi	ויקינגים
sidnejas	סידני
munīcijas	תחמושת
plānā	תכנית
plānā	תוכנית
muguru	אחורה
muguru	בחזרה
muguru	חזרה
muguru	לאחור
mūris	חומה
mūris	הכותל
mūris	הקיר
mūris	קיר
apzīmējumi	מונחים
apzīmējumi	תנאי
apzīmējumi	תנאים
apzīmējumi	האגדה
apzīmējumi	אגדה
porto	פורטו
turēt	להחזיק
turēt	החזק
turēt	שמור
turēt	לשמור
polo	פולו
laivas	סירות
ģenētiski	גנטית
interscope	interscope
mainsnak	mainsnak
vasalis	וסאל
eksperimenti	ניסויים
eksperimenti	ניסויים
clippers	קוצץ
leonards	לאונרד
atpūta	פנאי
atpūta	בילוי
atpūta	פנאי
atpūta	הפנאי
atpūta	לנוח
atpūta	השאר
atpūta	מנוחה
atpūta	נוחי
atpūta	תנוח
nirnbergas	נירנברג
dzemdes	הרחם
dzemdes	רחם
dzemdes	רחם
saimnieki	מאסטרס
saimnieki	אדונים
saimnieki	מארחים
saimnieki	מארח
tarkovskis	טרקובסקי
skaļi	רם
algu	המשכורת
algu	שכר
algu	משכורת
algu	שכר
pretojās	התנגד
pretojās	התנגדה
uzplaukums	בום
piramīdas	הפירמידה
piramīdas	פירמידה
piramīdas	הפירמידות
augstākas	גבוה
publikācija	פרסום
publikācija	פרסום
gps	gps
risinājumi	פתרונות
teju	כמעט
uzraudzības	מעקב
uzraudzības	מעקבים
tīrs	טהורה
tīrs	טהורים
tīrs	טהור
tīrs	נקיה
tīrs	נקייה
tīrs	נקי
konflikti	עימותים
konflikti	סכסוכים
konflikti	הסכסוך
konflikti	עימות
konflikti	סכסוך
sārmu	אלקלי
mijiedarbība	אינטראקציה
mijiedarbība	אינטראקציות
mijiedarbība	אינטראקציה
kritiski	קריטית
kritiski	קריטי
kritiski	ביקורתי
kritiski	ביקורתית
markss	מרקס
tulkots	מתורגם
nintendo	נינטנדו
sertificēts	מוסמכת
sertificēts	מוסמך
sertificēts	מורשה
izvietot	לפרוס
piecpadsmit	fifteen
mācīja	לימדה
mācīja	לימד
tipiski	אופיינית
tipiski	טיפוסית
tipiski	טיפוסי
tipiski	אופייני
spartaks	ספרטקוס
laukiem	שדות
laukiem	פילדס
laukiem	השדות
urālu	אורל
mir	מיר
sems	סם
sems	סאם
viltus	שווא
viltus	שקרי
viltus	שקר
viltus	מזויף
viltus	מזוייף
viltus	מזויפת
viltus	זיוף
viltus	מזויפות
apmaiņā	מחלף
maisījums	לערבב
maisījums	מערבבים
maisījums	ערבב
maisījums	מיקס
maisījums	תערובת
maisījums	תערובת
dalīšanās	השיתוף
dalīšanās	שיתוף
dalīšanās	משתפת
dalīšanās	משתף
automašīna	הרכב
automašīna	מכונית
automašīna	רכב
pievienojies	הצטרף
pievienojies	הצטרפות
pievienojies	הצטרפו
pievienojies	להצטרף
extra	תוספת
extra	אקסטרה
lēna	לנה
lēna	לינה
lēna	איטי
plānus	תוכניות
plānus	תכניות
aizstāvji	מגינים
aizstāvji	מגנים
aizstāvji	מגיני
aizstāvji	המגינים
amsterdamā	אמסטרדם
sīrija	סוריה
jaunieši	הנעורים
jaunieši	נוער
jaunieši	נעורים
jaunieši	הנוער
milzīgs	ענקית
milzīgs	ענק
milzīgs	עצום
adatas	מחט
adatas	המחט
adatas	מחטים
tūre	סיור
novērtēt	להעריך
intensitāte	עוצמה
jūdžu	מייל
riteņbraukšana	רכיבה
kļūmes	כישלון
kļūmes	כישלונות
kļūmes	תקלות
tulkojumi	תרגומים
allmusic	allmusic
sajūta	הרגשה
sajūta	מרגישה
sajūta	מרגיש
sajūta	תחושה
aizdomas	החשוד
aizdomas	חשוד
aizdomas	חשודה
aizdomas	חשד
aizdomas	החשדות
aizdomas	חשדות
unikāls	ייחודיים
unikāls	ייחודיות
unikāls	ייחודית
unikāls	ייחודי
tic	טיק
domāja	מחשבה
domāja	חשבתי
domāja	חשב
domāja	חשבה
pretinieki	היריבים
pretinieki	יריבים
pretinieki	אויבים
pretinieki	אויבי
alba	אלבה
garsija	גרסיה
garsija	גרסייה
indes	רעלים
pieaugušiem	בוגרים
pieaugušiem	מבוגרים
keita	קייט
vienkāršā	פשוטות
vienkāršā	פשוט
vienkāršā	פשוטה
vienkāršā	פשוטים
vienkāršā	יסודי
vienkāršā	היסודי
cieš	סבל
cieš	תסבול
cieš	לסבול
cieš	יסבול
sitiens	יריה
sitiens	זריקה
sitiens	ירייה
sitiens	שוט
sitiens	נורה
sitiens	ירה
pasliktinājās	החמיר
pasliktinājās	התדרדר
adrijas	האדריאטי
zemāks	תחתון
stratēģiski	אסטרטגית
stratēģiski	אסטרטגי
haizivs	כריש
haizivs	הכריש
kabeļu	כבלים
kabeļu	כבל
interjera	פנים
linga	לינגה
apmatojums	שיער
apmatojums	שערה
sadalīšanās	פירוק
sadalīšanās	ריקבון
hornets	צרעות
itunes	itunes
lūdz	שואל
lūdz	שואלת
lūdz	מבקשת
lūdz	מבקש
cola	קולה
stadija	הבמה
stadija	שלב
apsūdzības	האשמות
mantu	סמים
rīks	כלי
rīks	הכלי
cerēja	קיוו
cerēja	קיווה
lokomotīvju	קטר
komunisti	קומוניסטים
komunisti	הקומוניסטים
ģeogrāfisko	גיאוגרפי
imperatori	הקיסרים
xml	xml
veģetācijas	צמחייה
imdb	imdb
panda	פנדה
zīmols	מיתוג
zīmols	מותג
zīmols	המותג
būtnes	ישויות
degviela	הדלק
degviela	דלק
piedāvājums	עדין
piedāvājums	מכרז
piedāvājums	עדינה
piedāvājums	הצעות
piedāvājums	אספקת
piedāvājums	אספקה
piedāvājums	תציעו
piedāvājums	הצעה
piedāvājums	ההצעה
duets	דואטים
rīkoties	מערכה
rīkoties	לפעול
rīkoties	להתנהג
timberwolves	טימברוולבס
aprakstītas	מתואר
aprakstītas	תאר
aprakstītas	תיאר
aizmugurējā	אחורי
aizmugurējā	אחורית
aizmugurējā	אחוריים
stāvus	זקוף
zieds	פרח
akcija	לשתף
akcija	שתף
akcija	שתפו
akcija	שיתוף
novērš	למנוע
novērš	תמנע
novērš	מנע
raidījums	שידור
raidījums	השידור
caurules	מקטרת
caurules	צינור
caurules	צנרת
caurules	צינורות
caurules	צינורות
caurules	צינור
kimi	קימי
zobiem	שיניים
pieprasa	מבקשת
pieprasa	מבקש
uzpildes	מילוי
uzpildes	ממלא
uzpildes	ממלאת
ģeogrāfiski	גיאוגרפית
agnese	אגנס
timbaland	טימבלנד
cēloņi	גורם
cēloņi	סיבות
āpsis	גירית
dziļa	עמוקים
dziļa	עמוקה
dziļa	עמוק
nelaimes	תאונות
nelaimes	תאונה
filipīnas	הפיליפינים
egons	אגון
garšas	טעם
garšas	לטעום
garšas	טעמים
garšas	הטעמים
garšas	טעם
afgāņu	אפגנים
dabūt	לקבל
dabūt	קבל
bioloģisko	הביולוגי
bioloģisko	ביולוגי
bioloģisko	ביולוגית
lašu	סלמון
dzirdēt	לשמוע
dzirdēt	שומע
dzirdēt	שומעת
rīts	בוקר
magazine	מגזין
mākonis	הענן
mākonis	ענן
denijs	דני
pulkstenis	שעון
pulkstenis	צפו
pulkstenis	צפה
pulkstenis	לצפות
pulkstenis	שעון
lēcas	עדשה
lēcas	עדשים
lēcas	עדשות
anastasija	אנסטסיה
pārvadājumi	כרכרה
pārvadājumi	תחבורה
pārvadājumi	הובלה
gviānas	גיאנה
tavs	שלך
tavs	שלך
saņemts	התקבלה
saņemts	שהתקבלו
saņemts	התקבל
saņemts	קיבל
saņemts	התקבלו
albānija	אלבניה
grafika	גרפיקה
flora	פלורה
stabili	יציבה
stabili	יציב
svarīgas	חשובות
svarīgas	חשובים
svarīgas	חשוב
svarīgas	חשובה
pārdod	למכור
pārdod	מכור
pārdod	נמכרה
pārdod	מכר
pārdod	נמכרו
pārdod	נמכר
līgumi	חוזים
līgumi	הסכמים
grūtniecības	היריון
grūtniecības	הריון
pārbaude	בודק
pārbaude	בודקת
pārbaude	אימות
pārbaude	טסט
pārbaude	מבחן
pārbaude	בדיקה
pārbaude	בדוק
vērtējums	דירוג
vērtējums	הערכת
vērtējums	הערכה
ārpusē	בחוץ
ārpusē	מחוץ
astotā	שמינית
astotā	שמיני
astotā	השמינית
kurss	קורס
kurss	מסלול
siltums	חימום
siltums	היט
