din	no
octombrie	oktobrī
august	augusts
august	augustā
sat	ciema
sat	ciemata
sat	ciems
sat	ciematu
sat	ciemu
sat	ciemats
sat	sēdēja
sat	sat
martie	marta
martie	martā
martie	marts
biserica	baznīca
biserica	baznīcas
biserica	baznīcā
fișier	faila
fișier	fails
fișier	failu
decembrie	decembrī
decembrie	decembris
decembrie	decembra
decembrie	decembrim
toate	visiem
toate	visu
toate	visas
toate	visi
toate	visa
ianuarie	janvāris
ianuarie	janvāra
ianuarie	janvārī
latns	latns
latd	latd
longd	longd
adresă	adrese
adresă	address
noiembrie	novembra
noiembrie	novembrī
noiembrie	novembris
cum	kā
imagine	attēls
imagine	bildē
imagine	bilde
imagine	bildei
imagine	attēla
imagine	attēls
imagine	attēlu
statul	valsts
statul	štats
lor	viņu
avut	bija
familia	saime
familia	ģimene
familia	ģimenē
familia	ģimenes
numele	vārds
numele	nosaukums
timpul	laiks
timpul	laika
nord	ziemeļi
nord	ziemeļos
nord	ziemeļu
nord	nord
principală	galvenais
principală	galvenās
principală	galvenā
sud	dienvidu
sud	dienvidos
sud	dienvidi
aprilie	aprīlis
aprilie	aprīlī
aprilie	aprīļa
loc	vieta
primul	pirmais
primul	pirmā
primul	pirmās
primul	pirmie
primul	pirma
primul	vispirms
astfel	tādējādi
iulie	jūlija
iulie	jūlijs
iulie	jūlijā
doar	tikai
doar	tikai
editura	izdevējs
asteroid	asteroīds
februarie	februārī
februarie	februāra
februarie	februāris
recensământului	skaitīšana
listă	sarakstu
listă	saraksta
listă	uzskaitījums
listă	saraksts
trei	trim
trei	trīs
limba	mēle
limba	mēles
limba	valoda
lats	lats
longm	longm
latm	latm
discuție	pārrunas
discuție	apspriešana
discuție	diskusijas
discuție	diskusija
franța	franciju
franța	francijā
franța	francija
franța	france
partea	daļa
mult	daudz
fără	bez
departamentul	departamentā
departamentul	departaments
foarte	ļoti
foarte	loti
raionul	sānā
data	datums
data	dati
departament	departamentā
departament	departaments
unul	viens
unul	viena
unul	vienu
apoi	tad
grup	grupu
grup	grupa
grup	grupas
locul	vieta
oraș	pilsēta
oraș	pilsēta
pot	var
pot	varam
camp	nometne
camp	nometnes
camp	nometnē
germania	vācijas
germania	vācija
germania	vācijā
face	padarīt
face	padarītu
face	make
face	marka
satul	ciema
satul	ciemata
satul	ciems
satul	ciematu
satul	ciemu
satul	ciemats
național	nacionālais
note	piezīmes
note	atzīmē
perioada	laikposms
perioada	periods
minoritate	mazākums
minoritate	minoritāte
minoritate	minoritāšu
ucraineană	ukraiņu
ucraineană	ukrainas
general	vispārējā
general	vispārējais
general	vispārīgi
general	vispārēji
război	karu
război	karš
război	kara
război	karā
peste	pār
română	rumāņu
română	rumānijas
află	mācies
află	mācīties
început	sākts
început	sākta
început	sākās
început	sākums
iii	iii
duce	hercogs
român	rumāņu
român	rumānijas
provincia	province
provincia	ils
existând	esošie
existând	esošo
existând	esošā
existând	esošās
vedere	skats
vedere	apskatīt
wikipedia	wikipedia
specie	suga
specie	sugas
punct	dot
punct	punkts
punct	point
stat	valsts
stat	štats
unite	united
unite	apvienotā
unite	apvienoto
unite	vienoti
moldova	moldovā
moldova	moldovas
moldova	moldova
file	cilnes
atunci	tad
aceste	šīs
aceste	šie
secolul	gadsimts
una	viens
una	viena
una	vienu
aceasta	šī
aceasta	šo
aceasta	šis
aceasta	tas
life	life
life	dzīve
life	dzīvi
life	dzīvība
reședință	rezidence
reședință	uzturēšanās
reședință	dzīvesvieta
reședință	dzīvesvietu
reședință	dzīvesvietas
orașul	pilsēta
tot	visiem
tot	visu
tot	visas
tot	visi
tot	visa
tot	vēl
tot	vēljoprojām
tot	joprojām
chiar	pat
făcut	izgatavots
făcut	made
cunoscute	zināma
cunoscute	zināmi
cunoscute	zināms
cunoscute	pazīstama
film	filma
film	filmu
film	plēve
film	filma
film	plēves
perioadă	laikposms
perioadă	periods
vorbitori	runātāji
date	datumi
date	dati
cunoscută	zināma
cunoscută	zināmi
cunoscută	zināms
cunoscută	pazīstama
decât	than
decât	nekā
aici	šeit
aici	te
mari	liels
mari	lielais
mari	lieli
mari	liela
mari	lielā
mari	mari
zile	dienām
zile	dienās
zile	dienas
față	priekšējais
față	fronte
față	priekšpusē
față	priekšā
față	priekšējie
față	seju
față	seja
club	klubā
club	club
club	klubs
club	kluba
componente	komponenti
componente	sastāvdaļas
componente	komponentes
est	austrumos
est	austrumu
est	austrumi
est	est
nou	jauna
nou	jaunums
nou	jauni
nou	jauns
nou	jaunais
nou	jaunas
numai	tikai
ioan	džons
ion	jonu
rusă	krievu
rusă	krieviski
rusă	krievs
rusă	krievijas
isbn	isbn
populația	populācija
populația	iedzīvotāji
doi	divas
doi	divus
doi	divi
același	pašas
același	pašu
membru	deputāts
membru	loceklis
membru	biedrs
dată	datums
numit	nosaukta
numit	nosaukts
numit	saucās
numit	saukts
descrisă	aprakstīts
descrisă	aprakstītas
descrisă	aprakstīta
descrisă	raksturotas
descrisă	aprakstītais
oficial	amatpersona
oficial	ierēdnis
oficial	oficiāli
împotriva	pret
saint	svētais
saint	saint
împreună	kopā
specia	suga
specia	sugas
vest	rietumu
vest	rietumos
vest	rietumi
vest	west
vest	rietumu
vest	western
italia	italia
italia	itālija
puțin	maz
puțin	maza
puțin	mazais
excentricitate	ekscentricitāti
încă	vēl
încă	vēljoprojām
încă	joprojām
descoperit	atklāju
înainte	pārsūtīt
înainte	pirms
lemn	koksne
lemn	koks
lemn	koka
lemn	kokmateriāli
noi	jauna
noi	jaunums
noi	jauni
noi	jauns
noi	jaunais
noi	jaunas
nicolae	nikolajs
nicolae	nikolass
nicolae	nicolae
națională	nacionālais
subspecii	pasugas
statele	valstis
roman	romāns
roman	romans
roman	romiešu
roman	romāns
drept	taisni
drept	taisna
mod	režīms
mod	mod
american	american
american	amerikāņu
american	amerikas
fiecare	katrs
fiecare	katru
fiecare	katra
prezent	pašreizējais
prezent	klāt
prezent	tagadni
casa	māja
casa	mājā
acestea	šīs
acestea	šie
categorie	kategoriju
categorie	kategorija
categorie	kategorijā
text	teksts
cluj	cluj
bine	laba
bine	labas
bine	labi
bine	labs
bine	labais
bine	labi
http	http
site	vietne
site	vieta
articole	raksti
articole	izstrādājumi
articole	panti
articole	priekšmeti
articole	posteņi
alexandru	alexandru
alexandru	aleksandrs
unele	dažas
unele	dažiem
unele	daži
milioane	miljons
milioane	miljoni
milioane	miljonos
milioane	miljoniem
milioane	miljoni
apă	ūdeni
apă	ūdenī
apă	ūdens
doua	divas
doua	divus
doua	divi
țară	valsts
târziu	vēlu
târziu	novēloti
istoria	vēsture
istoria	vēstures
istoria	vēsturi
istoria	vēsturē
maria	marija
cunoscut	zināma
cunoscut	zināmi
cunoscut	zināms
cunoscut	pazīstama
patru	četri
patru	četras
patru	četriem
patru	četrus
republica	republika
republica	republikas
cca	aptuveni
cca	apm
râul	upe
râul	upes
formată	veidojas
formată	veidoti
paris	paris
paris	parīzē
paris	parīze
paris	parīzes
gheorghe	gheorghe
gheorghe	džordžs
tip	puisis
tip	čalis
tip	tips
tip	veids
premiul	balva
premiul	balvu
premiul	apbalvošana
premiul	balva
premiul	piešķiršana
premiul	piešķiršanas
putea	varēja
putea	varētu
persoane	personām
persoane	personas
persoane	cilveki
persoane	cilvēki
persoane	tauta
persoane	cilvēkiem
constantin	constantin
constantin	konstantīns
etc	etc
etc	utt
exemplu	piemērs
descriere	virsraksts
descriere	apraksts
george	džordžs
articol	raksts
articol	izstrādājums
articol	pants
născut	dzimuši
născut	dzimis
născut	dzimusi
numărul	numuru
numărul	numurs
numărul	skaitlis
numărul	skaits
comitatul	apriņķis
comitatul	apgabals
harta	kartē
harta	karte
john	džons
jos	leju
jos	lejā
jos	lejup
marea	jūra
deoarece	jo
localitate	apvidus
aproape	gandrīz
aproape	teju
scris	rakstisks
scris	rakstveida
scris	uzrakstīts
scris	rakstiska
raport	ziņot
raport	ziņojums
echipa	squad
echipa	vadu
echipa	komanda
echipa	team
diferite	atšķirīgi
diferite	dažādi
diferite	atšķirīgs
diferite	dažādas
baza	pamatne
baza	pamats
baza	bāze
special	īpaša
special	īpašais
special	īpašs
special	īpašā
special	īpaši
valea	ieleja
comune	kopīga
comune	locītavu
comune	kopīgais
ele	viņi
ele	tie
ele	tās
stadium	stadionā
stadium	stadions
svg	svg
zona	zona
zona	teritorija
zona	platība
zona	apgabals
zona	laukums
dat	dots
dat	dota
dat	dotas
slovenia	slovēnija
slovenia	slovēnijā
americii	amerika
americii	amerikā
americii	ameriku
satului	ciema
satului	ciemata
satului	ciems
satului	ciematu
satului	ciemu
satului	ciemats
împărat	imperators
localitatea	apvidus
resedinta	rezidence
resedinta	uzturēšanās
resedinta	dzīvesvieta
resedinta	dzīvesvietu
resedinta	dzīvesvietas
viața	life
viața	dzīve
viața	dzīvi
viața	dzīvība
bun	laba
bun	labas
bun	labi
bun	labs
bun	labais
cet	cet
format	veidojas
format	veidoti
format	formāts
primit	saņemts
primit	saņemtas
primit	saņemtās
primit	saņemti
primit	saņēma
președinte	prezidents
președinte	priekšsēdētāja
președinte	priekšsēdētājs
președinte	priekšsēdētāja
președinte	priekšsēdētājs
lângă	tuvu
lângă	netālu
oameni	cilveki
oameni	cilvēki
oameni	tauta
oameni	cilvēkiem
istoric	vēsturisks
istoric	vēsturiska
istoric	vēsturisko
istoric	vēsturiski
istoric	vēsturiskais
istoric	vēsturiskas
istoric	vēsturnieks
istoric	vēsturisks
istoric	vēsturiskā
istoric	vēsturisko
istoric	vēsturiski
istoric	vēsturiskais
istoric	vēsturiskas
istoric	vēsture
istoric	vēstures
istoric	vēsturi
istoric	vēsturē
suprafață	virsma
suprafață	teritorija
suprafață	platība
suprafață	apgabals
suprafață	laukums
europa	eiropa
europa	europe
europa	europa
universitatea	universitātē
universitatea	universitāte
universitatea	universitātes
team	komanda
team	team
copii	bērni
copii	bērnus
copii	bērniem
copii	bērni
aproximativ	aptuvens
aproximativ	aptuvenie
aproximativ	aptuvenais
aproximativ	aptuvenā
aproximativ	aptuveni
aproximativ	apmēram
aproximativ	aptuveni
aproximativ	rupji
lucru	darbs
cazul	gadījums
cazul	lieta
români	rumāņu
români	rumānijas
români	rumāņu
români	rumāņiem
folosit	izmanto
folosit	lietots
folosit	izmantotais
folosit	izmantots
folosit	lietoti
folosit	lietota
orice	jebkuru
orice	jebkura
orice	jebkurš
orice	jebkas
orice	jebko
clubnat	clubnat
ibn	ibn
mihai	mihai
mihai	maikls
mihai	michael
acum	tagad
recensământul	skaitīšana
centrul	centrs
centrul	centrā
centrul	centrs
centrul	centrā
centrul	centra
reprezintă	atveido
reprezintă	pārstāv
reprezintă	pārstāvēt
reprezintă	pārstāv
san	san
teritoriul	teritorija
van	van
ungaria	ungārija
număr	numuru
număr	numurs
număr	skaitlis
număr	skaits
cauza	cēlonis
cauza	izraisīt
bulgaria	bulgārija
engleză	angļu
serie	sērija
serie	sērijas
sua	asv
sua	usa
vechi	vecā
vechi	veca
vechi	veci
vechi	vecs
reședința	rezidence
reședința	uzturēšanās
reședința	dzīvesvieta
reședința	dzīvesvietu
reședința	dzīvesvietas
munții	kalni
munții	kalnos
limbi	valodas
apelor	ūdeņi
fotbal	futbols
regele	king
regele	karalis
regele	ķēniņš
fiul	dēls
anterior	iepriekš
anterior	agrāk
anterior	iepriekšējā
anterior	iepriekšējais
anterior	iepriekšējās
anterior	iepriekšējie
nouă	jauna
nouă	jaunums
nouă	jauni
nouă	jauns
nouă	jaunais
nouă	jaunas
nouă	deviņas
nouă	deviņiem
nouă	deviņi
nouă	deviņu
evoluția	attīstība
evoluția	attīstību
viteză	ātrums
viteză	ātrumu
viteză	apgriezieni
paul	pauls
paul	pols
orașe	pilsētu
orașe	pilsētas
institutul	institūts
institutul	institūtā
lansat	atbrīvota
lansat	atbrīvots
lansat	atbrīvoti
lansat	uzsāka
istorice	vēsturisks
istorice	vēsturiskā
istorice	vēsturisko
istorice	vēsturiski
istorice	vēsturiskais
istorice	vēsturiskas
trecut	pagātni
trecut	pagātnes
trecut	pagātne
articolul	raksts
articolul	izstrādājums
articolul	pants
mulți	daudziem
mulți	daudz
mulți	daudzi
mulți	daudzus
mulți	daudzas
viață	life
viață	dzīve
viață	dzīvi
viață	dzīvība
informații	informācija
titlu	virsraksts
titlu	virsraksts
titlu	tituls
goluri	mērķi
goluri	mērķus
titlul	virsraksts
titlul	tituls
album	albuma
album	albums
album	albumu
von	fon
pagina	lappuse
pagina	lapa
imperiul	impērija
moartea	nāve
moartea	nāves
apare	rādās
fața	seju
fața	seja
armata	armijas
armata	armija
formă	forma
formă	forma
color	krāsu
color	krāsa
color	krāsu
color	krāsa
german	vācijas
german	vācietis
german	vācu
ștefan	stīvens
ștefan	stefan
rolul	loma
rolul	lomu
mică	mazas
mică	mazās
mică	mazie
mică	maza
mică	mazs
mică	vizlas
des	des
transilvania	transilvānijas
epocă	vintage
începând	sāk
începând	sākot
începând	sākas
principal	galvenais
principal	galvenās
principal	galvenā
forma	forma
forma	forma
carol	kerolu
mici	mazas
mici	mazās
mici	mazie
mici	maza
mici	mazs
astăzi	šodien
robert	roberts
apărut	parādījās
eliberare	atlaist
eliberare	atbrīvot
eliberare	izlaišana
eliberare	atbrīvošana
eliberare	atbrīvošanas
eliberare	atbrīvošana
eliberare	atbrīvošanās
european	eiropas
european	eiropietis
mic	mazas
mic	mazās
mic	mazie
mic	maza
mic	mazs
mic	maz
mic	maza
mic	mazais
mic	mic
minore	maznozīmīgi
minore	nelielas
câștigat	uzvarēja
câștigat	uzvarējis
câștigat	ieguva
gen	dzimumu
gen	dzimums
gen	žanrs
gen	ģints
gen	gen
com	kom
com	com
importante	svarīgs
importante	svarīga
importante	svarīgas
importante	svarīgi
importante	nozīmīgs
aur	zeltā
aur	zelta
aur	zelts
luat	ņemta
luat	ņemts
luat	veikti
murit	nomira
murit	mira
germană	vācijas
germană	vācietis
germană	vācu
orbită	orbītā
rotație	rotācija
pol	pol
pol	polis
pol	pole
lume	pasaule
lume	pasaulē
local	lokāli
local	vietēji
local	vietējie
local	vietējā
local	vietējais
local	lokāla
local	lokālā
fapt	fakts
anglia	anglija
anglia	england
anglia	angliju
politică	politika
politică	politikā
politică	politikas
politică	politika
politică	politikā
revista	žurnāls
revista	magazine
asta	šī
asta	šo
asta	šis
asta	tas
asta	ka
asta	tas
vasile	bazilika
profesor	profesore
profesor	profesors
profesor	pasniedzēja
profesor	skolotāju
profesor	skolotāja
profesor	skolotājs
planetelor	planētas
cinci	piecus
cinci	piecas
cinci	pieciem
cinci	pieci
acolo	tur
lumea	pasaule
lumea	pasaulē
muzică	mūzika
muzică	music
muzică	mūzikā
situat	atrodas
david	deivids
david	dāvids
david	david
țara	valsts
etnică	etnisko
etnică	etniskā
centru	centrs
centru	centrā
centru	centrs
centru	centrā
centru	centra
alt	alt
alt	alat
istorie	vēsture
istorie	vēstures
istorie	vēsturi
istorie	vēsturē
austria	austrija
austria	austrijas
austria	austrijā
austria	austriju
districtul	rajons
districtul	apgabals
altitudine	augstums
altitudine	augstumā
periheliu	perihelion
regatul	karaliste
conține	satur
activitatea	aktivitāte
activitatea	darbība
activitatea	aktivitātes
sultan	sultāns
afeliu	aphelion
inițial	sākumā
inițial	sākotnēji
inițial	sākotnēji
inițial	sākotnējā
inițial	sākotnējais
artă	māksla
artă	art
body	ķermeņa
body	ķermenis
imagini	attēli
imagini	attēlus
imagini	attēli
imagini	bildes
rusia	krievija
spune	pateikt
spune	saki
spune	teikt
domeniul	sfēra
domeniul	domēna
domeniul	joma
școala	skola
școala	skolas
școala	skolu
școala	skolā
polonia	polija
polonia	polijas
polonia	polijā
succes	veiksme
succes	veiksmes
succes	panākumi
succes	veiksmīgi
succes	panākumus
succes	veiksmīga
provincie	province
provincie	ils
studii	pētījums
studii	izpēte
studii	pētījuma
studii	pētījumi
inclusiv	tostarp
inclusiv	ieskaitot
primar	mērs
primar	primārās
primar	primāra
primar	primārie
primar	primārā
primar	primārais
francez	francūzis
francez	francijas
francez	franču
privind	vēro
privind	skatos
privind	skatās
privind	vērot
scriitor	rakstnieks
jean	žans
jean	džīna
sistemul	sistēmu
sistemul	sistēma
sistemul	sistēmas
începe	sākt
începe	palaist
începe	sākums
începe	starts
ziua	dienu
ziua	dienā
ziua	diena
sur	sur
single	vienotā
single	vienreizēja
single	vienots
single	vienotais
urmat	sekoja
războiul	karu
războiul	karš
războiul	kara
războiul	karā
world	pasaule
world	pasaulē
xix	xix
internațional	international
internațional	starptautiskā
internațional	starptautiski
franceză	francijas
franceză	franču
pare	šķiet
william	viljams
ministru	ministre
ministru	ministrs
ministru	ministra
important	svarīgs
important	svarīga
important	svarīgas
important	svarīgi
important	nozīmīgs
familie	saime
familie	ģimene
familie	ģimenē
familie	ģimenes
politic	politiski
politic	politiskā
politic	politiskā
chișinău	kišiņeva
țări	valstīm
țări	valstis
funcția	amats
funcția	funkcija
jpl	jpl
lucrări	būvdarbi
lucrări	darbi
publicat	publicēts
publicat	publicēta
mircea	mircea
curs	kursa
curs	kursu
curs	kurss
curs	kursā
considerat	uzskatīja
considerat	uzskatīts
considerat	apsvērta
considerat	uzskatīta
sistem	sistēmu
sistem	sistēma
sistem	sistēmas
politice	politiskā
sudul	dienvidu
sudul	dienvidu
sudul	dienvidos
sudul	dienvidi
vreme	laikapstākļi
vreme	laika
autor	autors
autor	autore
mediu	vide
mediu	vidējais
mediu	vidēji
mediu	vidējā
mediu	vidēja
mediu	vidējs
prea	pārāk
spania	spānija
funcție	amats
funcție	funkcija
categoria	kategoriju
categoria	kategorija
categoria	kategorijā
nivel	līmenis
web	web
web	tīmekļa
top	top
top	tops
top	augšējā
top	augšējais
mihail	mihails
mihail	maikls
mihail	michael
mihail	mihail
biserică	baznīca
biserică	baznīcas
biserică	baznīcā
realizat	sasniegti
realizat	sasniegta
realizat	sasniegts
realizat	izpildīts
realizat	izpildīta
realizat	realizēti
realizat	saprata
cartea	grāmata
cartea	grāmatiņa
cartea	grāmatu
filme	filmas
filme	filmas
filme	kino
noua	jauna
noua	jaunums
noua	jauni
noua	jauns
noua	jaunais
noua	jaunas
căsătorit	precējusies
căsătorit	precējies
png	png
muzeul	muzeju
muzeul	muzeja
muzeul	muzejā
muzeul	muzejs
city	pilsēta
construit	celta
construit	būvēts
construit	uzbūvēts
construit	veidots
construit	būvēti
construit	būvēta
odată	reizi
odată	vienreiz
odată	reiz
luptă	kaujā
luptă	kauja
luptă	cīņa
luptă	kaujas
luptă	cīņu
luptă	cīņa
luptă	cīnīties
unit	united
unit	apvienotā
unit	apvienoto
unit	vienoti
luni	mēnešus
luni	mēnešiem
luni	mēneši
luni	pirmdien
luni	pirmdienā
luni	pirmdiena
jucat	spēlējis
jucat	spēlēja
zone	zonās
zone	zonas
zone	jomas
zone	apgabali
zone	teritorijas
zone	platības
radio	radio
romano	romano
istorică	vēsturisks
istorică	vēsturiska
istorică	vēsturisko
istorică	vēsturiski
istorică	vēsturiskais
istorică	vēsturiskas
istorică	vēsturisks
istorică	vēsturiskā
istorică	vēsturisko
istorică	vēsturiski
istorică	vēsturiskais
istorică	vēsturiskas
deja	jau
monument	piemineklis
monument	pieminekļa
europene	eiropas
europene	eiropietis
fac	dari
fac	darām
fac	dara
dreapta	tiesības
dreapta	labās
dreapta	pareizi
moment	moments
moment	brīdis
moment	mirklis
componenta	komponente
componenta	sastāvdaļa
componenta	komponents
vârsta	vecums
km²	km²
toți	visiem
toți	visu
toți	visas
toți	visi
toți	visa
bază	pamatne
bază	pamats
bază	bāze
ultima	pēdējo
ultima	pēdējais
ultima	pēdējā
ultima	pēdējās
ultima	pēdējoreiz
origine	izcelsmi
origine	izcelsme
recensământ	skaitīšana
actor	aktieris
literatură	literatūra
literatură	literatūrā
literatură	literatūras
anderson	andersone
anderson	andersons
veche	vecā
veche	veca
veche	veci
veche	vecs
les	les
participat	piedalījās
participat	piedalījušies
participat	piedalījusies
participat	piedalījies
guvernul	valdība
guvernul	valdības
estul	austrumos
estul	austrumu
estul	austrumi
total	kopā
total	pilnīgi
japonia	japāna
sibiu	sibiu
petru	petru
petru	pīters
petru	pēteris
conte	skaitīt
conte	saskaitīt
conte	skaits
alba	alba
bavaria	bavārijā
bavaria	bavārijas
roma	romas
roma	romā
roma	roma
roma	romu
roma	romi
specii	suga
specii	sugas
cupa	kauss
bătălia	kaujā
bătălia	kauja
bătălia	cīņa
bătălia	kaujas
ceva	kautkas
membri	locekļi
membri	dalībnieki
membri	deputāti
membri	biedri
calitate	kvalitāte
calitate	kvalitātes
scrie	rakstīt
scrie	rakstiet
euro	eiro
euro	euro
uniunii	savienības
uniunii	savienība
scurt	īsa
scurt	īsais
scurt	īsā
scurt	īsi
scurt	īss
scurt	īsi
mama	mammu
mama	mammai
mama	mamma
mama	mammas
mama	māte
mama	mātes
creat	radīta
creat	radīts
creat	izveidots
creat	radīti
creat	izveidota
campionatul	čempionāts
campionatul	motokrosā
campionatul	čempionāta
del	del
locuri	vietām
locuri	vietas
locuri	sēdekļi
locuri	sēdvietas
uri	uri
mănăstirea	klostera
america	amerika
america	amerikā
america	ameriku
produs	ražoti
produs	ražota
produs	ražotas
produs	saražots
produs	ražots
produs	produkta
produs	izstrādājums
produs	produkts
produs	ražojums
ultimul	pēdējo
ultimul	pēdējais
ultimul	pēdējā
ultimul	pēdējās
ultimul	pēdējoreiz
președintele	prezidents
președintele	priekšsēdētāja
președintele	priekšsēdētājs
andrei	andrejs
andrei	andrejs
brazilia	brazīlija
brazilia	brazīlijas
james	džeimss
james	džeims
declarat	deklarēts
surse	avoti
obicei	ieradumu
obicei	ieradums
compania	sabiedrība
compania	uzņēmums
compania	kompānija
etnic	etnisko
etnic	etniskā
echipe	komandām
echipe	komandas
sezonul	sezonai
sezonul	sezonu
sezonul	sezonas
sezonul	sezonā
sezonul	sezona
central	centrālā
central	centrālais
central	centrālās
dan	dens
dan	dan
unii	dažas
unii	dažiem
unii	daži
liga	līgas
liga	līga
liga	liga
rol	loma
rol	lomu
loire	loire
india	indija
india	indijā
india	indijas
construită	celta
construită	būvēts
construită	uzbūvēts
construită	veidots
construită	būvēti
construită	būvēta
uniunea	savienības
uniunea	savienība
obținut	iegūtie
obținut	iegūti
obținut	iegūta
obținut	iegūts
obținut	iegūtā
obținut	sasniegti
obținut	sasniegta
obținut	sasniegts
cărți	kārtis
cărți	kartes
cărți	kartītes
cărți	grāmatas
opera	opera
opera	operas
rock	akmens
rock	rock
zonă	zona
zonă	teritorija
zonă	platība
zonă	apgabals
zonă	laukums
stil	stils
pus	nolikt
pus	ielikt
video	video
teatru	teātrī
teatru	teātris
teatru	teātra
ziarul	laikraksts
ziarul	avīze
ziarul	laikraksta
ziarul	avīzē
www	www
militară	militāra
militară	militārie
militară	militārā
militară	militāri
militară	militāro
post	amats
post	pasts
post	post
românesc	rumāņu
românesc	rumānijas
plus	plus
plus	pluss
richard	rihards
richard	ričards
china	ķīna
china	china
codul	kods
administrația	ievadīšana
administrația	administrācija
fiica	meitu
fiica	meita
scopul	mērķis
scopul	nolūks
scopul	mērķis
scopul	mērķis
grupul	grupu
grupul	grupa
grupul	grupas
victor	viktors
michael	maikls
michael	michael
londra	londona
londra	londonā
londra	london
insula	sala
poziția	amats
poziția	novietojums
poziția	pozīcija
poziția	virsraksts
poziția	pozīcija
charles	kārlis
charles	čārlzs
forțele	spēkus
forțele	spēki
albumul	albuma
albumul	albums
albumul	albumu
diverse	dažādi
diverse	dažādas
intrat	ierakstīts
intrat	ievadīti
șase	sešus
șase	seši
șase	sešas
director	direktora
director	direktors
director	direktore
director	režisors
director	direktorija
director	direktoriju
director	mape
website	mājaslapa
website	mājaslapā
militar	militāra
militar	militārie
militar	militārā
militar	militāri
militar	militāro
originală	oriģināls
originală	sākotnējais
originală	oriģinālā
originală	sākotnējā
originală	oriģināli
originală	oriģināla
state	valstis
state	valsts
state	štats
pop	iemet
pop	pop
azi	šodien
uneori	dažkārt
uneori	reizēm
uneori	dažreiz
university	universitātē
university	universitāte
university	universitātes
trimis	nosūtīta
trimis	nosūtīja
trimis	nosūtīti
trimis	nosūtīts
bar	bāri
bar	bar
bar	bārs
bar	stienis
henric	henrijs
folosite	izmanto
folosite	lietots
folosite	izmantotais
folosite	izmantots
folosite	lietoti
folosite	lietota
jumătate	pusi
capitala	kapitāls
capitala	galvaspilsēta
fizice	fiziskais
fizice	fiziskās
fizice	fiziskie
fizice	fiziski
fizice	fiziska
fizice	fiziskā
mexico	meksika
mexico	meksikas
mexico	meksikā
activitate	aktivitāte
activitate	darbība
activitate	aktivitātes
mesa	mesa
sfântul	svētais
sfântul	saint
științe	zinātnes
soția	sievas
soția	sieva
metri	metri
metri	skaitītāji
metri	mērītāji
metri	metri
metri	metrus
imperiului	impērija
centrală	centrālā
centrală	centrālais
centrală	centrālās
vii	vii
singur	vien
singur	vienotā
singur	vienreizēja
singur	vienots
singur	vienotais
singur	vientuļš
singur	vientuļa
singur	vientuļi
public	publiski
public	publiskais
public	publiska
public	publiski
nevoie	vajag
nevoie	vajadzība
nevoie	nepieciešams
nevoie	nepieciešamība
nevoie	nepieciešami
nevoie	vajadzīgs
nevoie	nepieciešams
oamenii	cilvēkiem
oamenii	cilveki
oamenii	cilvēki
oamenii	tauta
oamenii	cilvēkiem
caz	gadījums
caz	lieta
televiziune	televizors
televiziune	televīzijas
televiziune	televīzija
curtea	tiesa
curtea	palāta
probleme	nepatikšanas
probleme	problēmas
probleme	jautājumi
publice	publiski
publice	publiskais
publice	publiska
regia	vērsta
regia	virzīta
regia	vērsts
plan	plāna
plan	plāns
plan	plānā
naturale	dabīgais
naturale	dabas
naturale	dabīgs
