superman	teräsmies
happy	iloinen
estrazione	louhinta
estrazione	nouto
accompagnamento	mukana
minerali	malmin
minerali	mineraaleja
minerali	malmien
minerali	mineraali
ticino	ticino
mondi	maailmojen
mondi	maailmoja
mozart	mozart
fissa	korjattu
fissa	kiinteät
fissa	kiinteän
fissa	kiinteä
bmw	bmw
campionessa	mestari
monarchia	monarkia
adolfo	adolfo
adolfo	adolphe
adolfo	adolf
installazione	laitos
installazione	asennus
installazione	asennetaan
installazione	asennus
installazione	asentaminen
installazione	asennetaan
installazione	asentaa
installazione	asennus
spin	pyöri
spin	spin
michigan	michigan
violoncello	sello
applicata	soveltanut
applicata	sovellettu
collaboratori	avustajia
collaboratori	avustajat
collaboratori	osallistujien
collaboratori	tekijät
collaboratori	osallistujat
monferrato	monferrato
esposti	alttiina
esposti	altistuvat
esposti	altistunut
joão	joão
leon	leon
alexandre	alexandre
colli	colli
colli	hillsin
colli	hills
grotte	luolia
alessandra	alexandra
alessandra	alessandra
definiti	määritellyt
definiti	määritetty
definiti	määritelty
abiti	pukeutuu
abiti	vaatteet
abiti	vaatteita
assi	akselien
assi	ässää
filologo	filologi
ostilità	vihamielisyyttä
ostilità	vihollisuuksien
rodríguez	rodriguez
rodríguez	rodríguez
compleanno	syntymäpäivää
compleanno	syntymäpäivä
compleanno	syntymäpäivät
compleanno	synttärit
cristoforo	risto
cristoforo	christopher
ernest	ernest
severo	severus
severo	ankara
severo	vakavat
severo	vakava
severo	stern
severo	perä
return	palaa
return	paluu
return	palautus
return	palauta
return	palata
cecil	cecil
governi	hallitukset
governi	hallitusten
esistere	olemassa
comandanti	komentajat
pallone	ilmapallo
pallone	pallo
pallone	pallon
pallone	kuula
pallone	tanssiaiset
recitato	lausui
attraversato	ristissä
attraversato	ylitti
attraversato	ylitetty
adatta	sopivan
adatta	sopivat
adatta	soveltuva
adatta	sopiva
adatta	hyväkuntoinen
adatta	sovi
arizona	arizonassa
arizona	arizonan
wagner	wagner
promosse	ylennyksen
cristallo	crystal
cristallo	kristalli
cristallo	kristallin
vercelli	vercelli
secco	kuivaa
secco	kuivat
secco	kuiva
annibale	hannibal
crollo	romahdus
crollo	romahtaa
cosimo	cosimo
body	elin
body	vartalo
body	ruumis
body	kehon
body	keho
combatté	taistellut
combatté	tais
combatté	taisteli
affetto	hellyyttä
amanda	amanda
picco	huippu
negozi	kaupat
negozi	kauppoja
cancellazioni	poistot
cancellazioni	peruuttaminen
ignazio	ignacio
ignazio	ignatius
ignazio	ignazio
ronald	ronald
retro	retro
naso	nenä
naso	nenän
naso	nenää
melbourne	melbourne
peste	vitsaus
peste	rutto
peste	ruttoa
ghost	ghost
ghost	haamu
ghost	kummitus
ghost	aave
harvey	harvey
isaac	isaac
pausa	riko
pausa	rikkoa
pausa	tauko
pausa	pysäytä
pausa	tauko
razze	rotuja
know	tietää
know	tiedä
formando	muodostaminen
formando	muodostaa
formando	muodostavat
hunt	metsästää
hunt	hunt
hunt	huntin
hunt	jahti
hunt	metsästys
coloni	siirtolaiset
coloni	uudisasukkaat
testimone	todistaja
testimone	silminnäkijä
testimone	todistajan
testimone	todistajat
mercati	markkinoiden
mercati	markkinat
crebbe	kasvoi
crebbe	kasvanut
lontana	etäinen
lontana	kaukainen
sfruttare	hyödynnä
sfruttare	hyödyntää
tele	kankaita
tele	tele
sposare	naida
sposare	naimisiin
palmer	palmer
palmer	palmerin
scrivi	kirjoittaa
scrivi	kirjoita
scrivi	kirjoitetaan
reed	reedin
reed	reed
emily	emilyn
emily	emily
acquisito	saavutetut
acquisito	hankittu
acquisito	hankkinut
pellicole	elokuvat
pellicole	elokuvia
pellicole	elokuva
pellicole	kalvo
pellicole	filmi
reality	todellisuus
reality	todellisuuden
reality	todellisuutta
transizione	siirtyminen
transizione	siirtymä
transizione	siirtymäkauden
transizione	siirtymä
taiwan	taiwanin
taiwan	taiwan
taiwan	taiwanissa
taiwan	taiwanin
circondato	saarrettu
circondato	piiritetty
pour	kaada
pour	kaataa
pour	kaadetaan
cardinali	kardinaalit
müller	müller
müller	müller
müller	muller
xxi	xxi
cantato	lauloi
cantato	sung
freccia	nuoli
stellare	stellar
colpevole	syyllinen
protocollo	pöytäkirjan
protocollo	protokolla
protocollo	pöytäkirja
claire	claire
folla	väkijoukot
folla	yleisö
folla	yleisöä
folla	porukkaa
concorrente	kilpailija
concorrente	kilpailija
concorrente	kilpailijan
libia	libyan
libia	libyassa
libia	libya
uniforme	yhdenmukainen
uniforme	univormu
josh	joshin
josh	josh
ribellione	kapina
ribellione	kapinan
ribellione	kapinaa
raro	harvinaiset
raro	harvinainen
fausto	faust
dimostrazione	demo
dimostrazione	esittely
dimostrazione	osoittaminen
dimostrazione	mielenosoitus
concesse	myönnetään
concesse	myönnetyt
concesse	myönnetty
eseguiti	toteutettu
eseguiti	teloitettiin
eseguiti	suoritti
eseguiti	suoritetut
impressione	vaikutelman
impressione	vaikutelma
run	suorita
run	juokse
aperti	avaa
duchessa	herttuatar
cavo	kaapelin
cavo	kaapeli
cavo	kaapelit
gallese	walesin
carmelo	carmel
separata	erotettu
separata	erikseen
separata	erilliset
separata	erillinen
siviglia	sevillan
invita	kutsuja
invita	kutsut
invita	kutsuu
invita	kutsu
invita	kutsua
omicidi	murha
omicidi	murhia
omicidi	murhat
omicidi	murhia
omicidi	murhat
residente	kotimaiset
residente	kotimainen
residente	asukas
umbria	umbrian
atletico	urheilullinen
holmes	holmes
diga	dam
diga	pato
reato	rikkomus
reato	rikos
reato	rikokset
reato	rikollisuus
reato	rikoksen
reato	rikollisuuden
continuamente	jatkuvasti
continuamente	jatkuvasti
continuamente	jatkuvasti
militante	militantti
contemporaneo	nykyaikainen
trasformare	muunnos
got	sai
got	sain
associati	kumppanit
associati	liitetty
associati	liittyvät
filadelfia	philadelphian
filadelfia	philadelphia
filadelfia	philadelphiassa
vertice	huippukokous
vertice	huippukokouksessa
attuazione	toteuttaminen
attuazione	täytäntöönpanon
attuazione	täytäntöönpanoa
attuazione	täytäntöönpano
attuazione	toteutus
gregory	gregory
narrativa	fiktiota
procuratore	syyttäjä
operatori	toimijoiden
operatori	operaattorit
operatori	toimijat
rinunciare	luopua
menzione	mainitse
menzione	mainita
menzione	maininta
dar	dar
verbo	verbi
distribuita	jaettu
distribuita	jaetut
suggerisce	ehdottaa
uguali	tasa
uguali	equal
creatore	luoja
leva	vipu
leva	vaikutusvaltaa
macchia	tahra
macchia	tahra
intenzioni	aikeet
intenzioni	aikeita
intenzioni	aikomus
intenzioni	aikomuksena
rudolf	rudolf
soglia	kynnyksen
ortodossa	ortodoksinen
hope	toivoa
hope	toivo
hope	toivottavasti
liberato	vapautunut
liberato	vapautettu
liberato	vapautti
liberato	vapautettu
automatica	automaattinen
automatica	automaattisesti
automatica	automaattiset
automatica	automaatti
pirenei	pyreneiden
guardare	kello
guardare	katso
guardare	katsella
guardare	katselin
guardare	katsomassa
guardare	katselee
guardare	katsoo
nuotatore	pelastaja
nuotatore	uimari
rivali	kilpailijoita
rivali	kilpailijat
rivali	kilpailija
manoscritti	käsikirjoituksia
manoscritti	käsikirjoitus
controllata	tytäryhtiö
controllata	ohjattu
controllata	valvottu
controllata	hallittu
controllata	hallinnassa
rettore	dean
rettore	dekaani
rettore	rehtori
folk	folk
beatles	beatles
costruttori	rakentajat
costruttori	valmistajien
costruttori	valmistajat
significativa	merkityksellistä
significativa	merkityksellinen
significativa	mielekästä
significativa	huomattava
significativa	merkittävä
significativa	merkittävät
significativa	merkittäviä
significativa	merkittävää
bombardamenti	pommitukset
lou	lou
tubo	putki
tubo	piippu
tubo	putken
tubo	putki
tubo	letku
adottata	hyväksytty
adottata	hyväksyttiin
adottata	hyväksyi
adottata	adoptoitu
adottata	hyväksytyt
decisivo	ratkaisevaa
decisivo	ratkaiseva
decisivo	ratkaisevat
decisivo	päättäväinen
decisivo	määräävä
contenenti	sisältävien
contenenti	sisältävät
impostazione	asetus
impostazione	asettaminen
canonico	canon
rex	rex
soffitto	katto
soffitto	enimmäismäärä
soffitto	kattoon
giove	jupiter
giove	jupiterin
comprensione	ymmärryksen
comprensione	ymmärtää
comprensione	yhteisymmärrys
comprensione	ymmärtäminen
comprensione	ymmärrys
comprensione	ymmärtäväinen
comprensione	ymmärrystä
fisici	fyysiset
fisici	fyysinen
fisici	fyysistä
recensioni	arviot
recensioni	arvostelu
recensioni	arvostelut
arrivata	saapuivat
arrivata	saapuneet
arrivata	saapui
arrivata	saapunut
vangelo	gospel
rogers	rogers
imperatrice	keisarinna
imperatrice	valtiatar
ieri	eilisen
ieri	eilinen
ieri	eilen
intervallo	etäisyys
intervallo	vaihteluväli
intervallo	väli
poetica	runollista
divisi	jaettuna
divisi	jaettu
violinista	viulisti
violinista	viulunsoittaja
pericoloso	vaarallista
pericoloso	vaarallinen
pericoloso	vaaralliset
pericoloso	vaarallisten
pericoloso	vaarallista
pericoloso	vaarallinen
pericoloso	vaaralliset
citate	mainittu
true	true
true	totta
secondario	toissijainen
slovenia	slovenia
slovenia	sloveniassa
slovenia	slovenian
negativa	kielteinen
negativa	negatiiviset
negativa	negatiivinen
gaio	gaius
organista	urkuri
crociera	risteilylle
crociera	cruise
sonic	sonic
anteprima	esikatselu
carol	carol
carol	carolin
han	han
pura	puhdasta
pura	puhtaana
pura	puhdas
pura	puhtaat
inaugurazione	avaus
inaugurazione	avajaiset
inaugurazione	avaaminen
inaugurazione	avataan
adolf	adolf
correre	suorita
correre	juokse
orale	suullinen
orale	suullisen
aggiornata	päivitettiin
aggiornata	päivitetty
aggiornata	päivitetään
eccezionalmente	poikkeuksellisesti
eccezionalmente	poikkeuksellisen
beat	hakata
beat	hakkaa
sprint	sprint
dinamo	dynamo
liberty	vapaus
liberty	liberty
trinità	trinity
guillermo	guillermo
gallia	gallialainen
aggiungendo	lisätään
aggiungendo	lisääminen
australian	australian
violento	väkivaltaista
violento	väkivaltainen
riforme	uudistaminen
riforme	uudistukset
riforme	uudistus
riforme	uudistuksen
riforme	uudistuksia
riforme	uudistukset
cipro	kyproksen
cipro	kypros
demoni	paholainen
demoni	demoni
demoni	demonin
demoni	demoneja
demoni	demonit
demoni	demoneita
favorire	suositaan
favorire	suosii
massachusetts	massachusettsin
corde	köydet
cellula	selli
cellula	solu
cellula	solun
presidenti	puheenjohtajat
presidenti	puheenjohtajat
presidenti	puhemies
presidenti	presidentti
presidenti	puheenjohtaja
mine	miinoja
mine	minun
mine	miina
mine	kaivos
digimon	digimon
carità	hyväntekeväisyyttä
carità	hyväntekeväisyys
leggende	legendoja
leggende	legendan
leggende	taru
leggende	legenda
saverio	xavier
saverio	saverio
molecole	molekyyli
molecole	molekyylit
sacrificio	uhraa
sacrificio	uhraus
sacrificio	uhrata
architetti	arkkitehdit
cava	louhos
cava	cava
sospetto	epäilys
sospetto	epäilykset
sospetto	epäilyt
sospetto	epäilyttävä
sospetto	epäilyttävää
sospetto	epäluuloinen
sospetto	epäilty
sospetto	epäilyttävä
sospetto	epäilee
sospetto	epäillään
terminale	terminaali
lombardi	lombardi
benzina	bensiini
benzina	bensiiniä
benzina	bensiinin
benzina	bensiini
benzina	bensiiniä
benzina	bensa
benzina	bensiinin
zar	tsaari
reggente	regent
five	viisi
rispettare	kunnioittaa
rispettare	kunnioita
rispettare	kunnioitus
rispettare	kunnioitusta
olanda	hollannissa
olanda	holland
olanda	hollanti
fatica	väsymystä
fatica	väsymys
generazioni	sukupolvet
generazioni	sukupolvien
hal	hal
hal	halin
derivati	johdannaiset
derivati	johdannaisia
derivati	johdannainen
consentito	sallitaan
consentito	sallitut
consentito	sallittu
consentito	sallitaan
consentito	sallittua
consentito	sallitut
consentito	sallittu
seggi	istuimet
seggi	paikat
cantare	laulaa
cantare	laula
cantare	laulaa
cantare	laulavat
cantare	laulu
cantare	laulua
provinciali	maakunnan
referendum	kansanäänestyksen
referendum	kansanäänestystä
referendum	kansanäänestys
referendum	kansanäänestys
apostolo	apostoli
fischio	viheltää
fischio	pilli
fischio	viheltää
contee	maakunnat
contee	läänit
gestore	esimies
gestore	managerin
gestore	johtaja
gestore	manageri
teramo	teramo
israeliano	israelin
israeliano	israelilaiset
indie	indie
africano	afrikkalainen
africano	afrikkalaiset
africano	afrikka
africano	afrikan
suite	sviitti
qualifica	kelpoisuus
qualifica	pätevyys
guillaume	guillaume
lino	lino
lino	pellavaa
lino	pellava
capaci	kykenee
capaci	kykenevät
capaci	kykenevä
ira	ira
ira	viha
make	make
make	tee
make	tehdä
curtis	curtis
enormi	valtava
enormi	valtavat
enormi	suunnaton
enormi	valtava
efficienza	tehokkuutta
efficienza	tehokkuus
efficienza	tehokkuuden
nina	nina
significativi	huomattava
significativi	merkittävä
significativi	merkittävät
significativi	merkittäviä
significativi	merkittävää
nodo	solmu
nodo	solmun
nodo	solmu
heaven	taivaaseen
heaven	taivas
heaven	taivaan
unire	yhdistäminen
unire	yhdistä
unire	yhdistää
ostacoli	esteitä
ostacoli	esteet
ostacoli	esteitä
ostacoli	esteet
ostacoli	este
sinfonia	sinfonia
pasta	pastaa
pasta	pasta
pasta	liittää
pasta	liitä
massacro	teurastus
massacro	verilöyly
massacro	verilöyly
massacro	teurastus
massacro	teurastusta
rolling	rolling
rolling	pyörii
fall	pudota
fall	syksy
fall	kaatuu
fall	kaadu
leoni	leijonat
leoni	leijonia
convegno	kokous
convegno	konferenssi
convegno	konferenssin
boemia	bohemia
derivata	johdannainen
centimetri	senttimetriä
centimetri	senttiä
centimetri	tuumaa
ginnastica	voimistelu
ginnastica	voimistelu
identificare	tunnista
identificare	tunnistaa
identificare	tunnistaminen
identificare	tunnistaa
amanti	rakastajattaria
amanti	rakastavaiset
amanti	rakastavaisia
mason	masonin
mason	mason
odore	hajun
odore	haju
odore	tuoksu
odore	haju
odore	haista
odore	haise
marca	brändin
marca	brand
marca	merkki
frutta	hedelmä
frutta	hedelmät
frutta	hedelmiä
frutta	hedelmistä
frutta	hedelmät
frutta	hedelmiä
algeria	algerian
algeria	algeria
algeria	algeriassa
algeria	algerian
algeria	algeria
gradualmente	asteittain
gradualmente	vähitellen
calice	maljaa
calice	pikari
crimini	rikokset
crimini	rikoksia
crimini	rikos
crimini	rikokset
crimini	rikollisuus
crimini	rikoksen
crimini	rikollisuuden
organico	orgaaninen
organico	orgaanista
organico	orgaaniset
organico	luonnonmukainen
estinzione	sukupuuttoon
trattare	kohdella
trattare	herkku
catene	kahleet
catene	kahleet
catene	ketjut
catene	ketjun
catene	ketjut
catene	ketjussa
catene	ketju
rara	harvinaiset
rara	harvinainen
rimuovere	poistaa
rimuovere	poista
eyes	silmiä
eyes	katse
eyes	silmät
ultimate	äärimmäinen
face	ilme
face	naama
face	kasvot
face	naamaa
face	face
sinonimi	synonyymit
sinonimi	synonyymi
vettore	vektori
vettore	harjoittajan
vettore	operaattori
vettore	kantaja
appassionato	harrastaja
appassionato	intohimoisesti
appassionato	kiihkeä
appassionato	intohimoinen
mons	mons
fabbricato	valmistettu
fabbricato	valmistetut
fabbricato	tekaistu
sensibilità	herkkyys
dominazione	määräävä
causando	aiheuttaa
gola	kurkun
gola	kurkku
gola	rotko
annuario	vuosikirja
irene	irene
songs	kappaleet
songs	laulut
songs	kappaleita
songs	lauluja
soap	saippuaa
soap	saippua
mvp	mvp
gatti	kissoja
gatti	kissat
cameron	cameron
cameron	cameronin
evidenti	ilmiselvä
evidenti	ilmeinen
evidenti	ilmeistä
naturalista	luonnontieteilijä
suonato	pelattu
suonato	soitettu
suonato	pelasi
suonato	pelannut
sforza	sforza
cintura	vyö
cintura	vyön
gorizia	gorizia
procedimento	toimenpide
procedimento	menettelytapa
procedimento	menettely
uccisione	tappaminen
uccisione	surma
uccisione	tappaa
uccisione	tappamista
uccisione	tappaminen
uccisione	tappo
marziale	martial
parchi	puisto
attacca	iskujen
attacca	hyökkäykset
attacca	iskut
trovati	löydetty
trovati	löytynyt
trovati	löydettiin
trovati	löysi
trovati	löyty
trovati	löytyi
distanze	etäisyydet
distanze	välimatka
distanze	etäisyys
abbandona	hylkää
abbandona	hylätä
certezza	varmuutta
certezza	varmuus
felix	felix
cook	cook
cook	kokki
lotte	lotte
materie	aiheet
materie	aiheita
materie	kohteet
birra	olut
birra	kaljaa
birra	olutta
birra	kalja
birra	olut
birra	oluet
birra	olutta
birra	kaljaa
fallito	epäonnistui
fallito	epäonnistunut
sviluppi	kehitys
esplicitamente	nimenomaisesti
stanze	huoneita
stanze	huoneet
stanze	huonetta
stanze	eläkkeet
dita	sormien
dita	sormet
dita	sormia
dita	sormi
dita	sormen
dita	sormella
klaus	klaus
continuando	jatketaan
continuando	jatkuvat
continuando	jatkuu
continuando	jatkuva
altopiano	highland
altopiano	plateau
sierra	sierra
rivolto	osoitettu
confessa	tunnusta
confessa	tunnustaa
jeremy	jeremy
elegante	elegantti
elegante	tyylikäs
copa	copa
operaio	työntekijä
operaio	työntekijää
operaio	työläinen
operaio	työntekijän
operaio	työntekijöiden
becker	becker
adiacente	vierekkäisten
adiacente	vieressä
cannes	cannesin
volare	kärpänen
volare	lennä
volare	lentää
volare	lentäminen
volare	lentävä
volare	lentää
volare	lentävät
democratici	demokraattiset
democratici	demokraattinen
democratici	demokraatit
democratici	demokraatit
organizzati	järjestäytyneen
organizzati	järjestäytynyt
organizzati	järjestetty
organizzati	järjestelmällinen
organizzati	järjestäytyneen
organizzati	järjestäytynyt
organizzati	järjestetty
giuridico	oikeudellinen
giuridico	oikeudelliset
giuridico	laillinen
ambientali	ympäristön
ambientali	ympäristö
sentimento	fiilis
sentimento	tunne
sentimento	olo
sentimento	tunteet
sentimento	tunteita
sentimento	tunteisiin
parroco	kirkkoherra
tubi	putket
tubi	putkia
tubi	putket
scafo	runko
scafo	rungon
positivi	positiiviset
positivi	myönteinen
positivi	positiivinen
positivi	positiivista
positivi	positiiviset
positivi	positiivisia
money	raha
money	rahat
money	rahaa
sopravvivere	selvitä
sopravvivere	selviydy
sopravvivere	selviytyminen
ricercatori	tutkijoita
ricercatori	tutkijoiden
ricercatori	tutkijat
cifre	numeroinen
cifre	lukuja
cifre	luvut
consorzio	yhteenliittymä
consorzio	yhteenliittymän
mensile	kuukausittainen
mensile	kuukausi
mensile	kuukausittaiset
mensile	kuukausittain
inviare	lähetä
inviare	lähettää
trek	trek
scarso	niukasti
rookie	keltanokka
rookie	aloittelija
rookie	tulokas
rookie	alokas
vasi	ruukkuja
amor	amor
picture	kuvaa
picture	kuva
picture	kuvan
giocata	pelattu
giocata	soitettu
giocata	pelasi
giocata	pelannut
stili	styles
costanza	constance
par	par
superfici	pinnat
legenda	legendan
legenda	taru
legenda	legenda
succede	tapahtuu
povertà	köyhyyden
povertà	köyhyyteen
povertà	köyhyys
povertà	köyhyyttä
fibre	kuitujen
fibre	kuituja
fibre	kuidut
fibre	kuitu
fibre	kuitua
fibre	kuituja
fibre	kuidut
fibre	kuitu
fibre	kuidut
fibre	kuituja
fibre	kuidut
espresse	ilmaistu
espresse	ilmaistuna
espresse	ilmaissut
espresse	ilmaisi
avellino	avellino
ettari	hehtaaria
ettari	hehtaaria
crociata	ristiretki
crociata	ristiretkiä
aggiunti	lisättiin
aggiunti	lisäsi
aggiunti	lisätty
concorrenza	kilpailun
concorrenza	kilpailu
españa	españa
beck	beck
veloci	nopea
veloci	nopeasti
veloci	nopeaa
veloci	nopea
veloci	nopeasti
xxx	xxx
annualmente	vuosittaiset
annualmente	vuosittain
annualmente	vuosittainen
annualmente	vuosittain
caduto	putosi
caduto	kaatui
caduto	kaatunut
caduto	langennut
caduto	putosi
caduto	pudonnut
caduto	kaatui
contenute	sisälsi
leslie	leslie
animato	animoitu
sorgenti	springs
sorgenti	lähteet
jedi	jedi
jedi	jedit
bizantina	bysantin
clara	clara
competenze	pätevyyden
competenze	pätevyys
competenze	osaaminen
competenze	taitoja
competenze	osaaminen
competenze	taidot
competenze	ammattitaito
competenze	toimivalta
competenze	pätevyys
competenze	asiantuntemusta
competenze	asiantuntemus
competenze	toimivalta
quartetto	kvartetin
funzionario	virkamies
funzionario	viralliset
funzionario	virallinen
productions	productions
stadi	vaiheissa
stadi	vaiheita
stadi	vaiheet
prezzi	hintojen
prezzi	hinnat
prezzi	hinta
rinuncia	luopuminen
rinuncia	luopuminen
rinuncia	luopuminen
sacri	pyhä
sacri	pyhitetty
enzima	entsyymin
enzima	entsyymi
scelti	valittu
scelti	valitut
poetessa	runoilija
coloniale	colonial
gang	jengi
gang	gangin
gang	jengit
lana	villa
lana	villaa
lana	lana
adiacenti	vierekkäisten
adiacenti	vieressä
disastro	tuho
disastro	katastrofi
disastro	onnettomuus
disastro	katastrofin
costanzo	costanzo
testimoni	todistajien
testimoni	todistajia
testimoni	todistajat
testimoni	todistaja
testimoni	silminnäkijä
testimoni	todistajan
testimoni	todistajat
diffusi	hajanaista
coltivazione	viljely
coltivazione	viljelyä
coltivazione	viljelyyn
coltivazione	viljelyn
magnus	magnus
quattordici	neljätoista
tronco	vartalon
tronco	vartalo
tronco	ylävartalon
registri	rekisterit
registri	rekisterien
registri	rekisterit
registri	rekisterien
straordinario	poikkeuksellisia
straordinario	poikkeuksellinen
camere	huoneita
camere	huoneet
camere	huonetta
camere	eläkkeet
alimentari	ruokakauppa
vicinanza	läheisyys
vicinanza	läheisyyttä
vicinanza	läheisyys
qualifiche	tutkintojen
qualifiche	pätevyys
consecutivi	peräkkäisen
archeologia	arkeologia
archeologia	arkeologia
cresta	ridge
apprezzato	arvostettu
apprezzato	arvostaa
apprezzato	arvostetaan
solido	kiinteää
solido	kiinteät
solido	kiinteä
straniera	ulkomaalainen
straniera	ulkomaan
straniera	ulkomaalainen
straniera	ulkomainen
straniera	ulkomaiset
muri	muurit
muri	seiniä
muri	seinät
servito	palveli
servito	palvellut
muso	kuono
apparente	ilmeistä
apparente	ilmeinen
owen	owen
owen	owenin
kenneth	kenneth
randy	randy
controllato	ohjattu
controllato	valvottu
controllato	hallittu
controllato	hallinnassa
controllato	tarkastettu
controllato	tarkistin
controllato	tarkistettu
marta	marta
marta	martha
architettonico	arkkitehti
short	lyhyet
short	lyhyt
oslo	oslo
oslo	oslon
grammy	grammy
grammy	grammy
abbigliamento	vaatteet
abbigliamento	vaatteet
abbigliamento	vaatetus
abbigliamento	vaate
abbigliamento	vaatteita
abbigliamento	vaatteet
abbigliamento	vaatteita
where	missä
where	jossa
serpente	snake
serpente	käärme
serpente	käärme
felicità	onni
felicità	onnen
felicità	onnea
felicità	onnellisuus
particolarità	erityispiirteet
particolarità	erityispiirteet
most	eniten
most	useimmat
most	useimmilla
most	useimpia
straordinaria	poikkeuksellisia
straordinaria	poikkeuksellinen
interessati	huolestunut
interessati	kiinnostuneita
interessati	kiinnostunut
interessati	kiinnostaa
interessati	kiinnostuneet
vincente	voittaja
vincente	voittajan
peggio	pahin
peggio	pahinta
peggio	huonoin
peggio	pahimmillaan
peggio	pahempaa
peggio	huonompi
peggio	pahempi
doria	doria
rare	harvinaiset
rare	harvinainen
bosnia	bosnia
artistiche	taiteellinen
rivolte	mellakka
rivolte	mellakoita
cornice	ruutu
cornice	kehys
cornice	kehykset
vivente	asuminen
vivente	elävä
vivente	elää
vivente	eläminen
vivente	elävät
capitan	kapteeni
nona	yhdeksäs
lapide	hautakivi
lapide	hautakivi
lapide	hautakivi
urss	neuvostoliiton
urss	neuvostoliitto
celebrato	juhlittu
celebrato	juhlittiin
celebrato	juhli
territoriali	alueellisen
territoriali	alueellinen
territoriali	alueelliset
hits	iskee
hits	osumia
hits	osuu
sapienza	sapienza
sapienza	viisaus
sapienza	viisauden
sapienza	viisautta
offerto	tarjosi
offerto	tarjottu
offerto	tarjotaan
vampiro	vampyyri
vampiro	vampyyrin
strisce	raidat
recitazione	näyttelemistä
drive	aja
drive	ajaa
miracolo	ihme
corda	köysi
corda	köyttä
corda	sointu
ninja	ninja
ninja	ninjoja
triangolo	kolmion
triangolo	kolmio
incinta	raskaana
datata	päivätty
annessione	liittäminen
gallerie	gallerioita
gallerie	tunneleissa
gallerie	tunneleita
gallerie	tunnelit
confermata	varmistettu
confermata	vahvistetut
confermata	vahvistanut
confermata	vahvistettu
cittadella	linnake
cittadella	linnoitus
cittadella	citadel
fortunato	onnekas
fortunato	lucky
fortunato	fortunato
human	ihmisen
human	ihminen
human	inhimillinen
vestiti	vaatteet
vestiti	vaatteita
corsica	korsikan
trophy	palkinto
inviati	lähetetty
inviati	lähetetyt
inviati	lähetti
carnevale	karnevaalit
carnevale	tivoli
impulso	pulssi
impulso	impulssi
lucy	lucy
asiatico	aasian
asiatico	aasialainen
eco	eco
eco	ekologinen
eco	kaiku
eco	echon
eco	echo
lars	lars
latini	latinalainen
latini	latinalaisen
latini	latinaa
urbino	urbino
powell	powell
ricognizione	tiedustelu
ricognizione	tiedustelu
mind	mielen
mind	mieli
