eligió	vybral
bus	autobusy
mini	mini
master	mistr
master	mistře
africano	africký
africano	africká
africano	africké
poética	poetické
robinson	robinson
otomano	osmanské
over	over
over	konec
over	přes
finanzas	financování
finanzas	finance
finanzas	financovat
finanzas	finance
finanzas	finance
sinfónica	symfonie
suborden	podřád
boxeo	box
boxeo	boxu
ocupada	obsazeno
ocupada	zaneprázdněn
ocupada	zaneprázdněný
ocupada	obsazeno
ocupada	obsazený
ocupada	okupované
ocupada	obsazené
renault	renault
raymond	raymond
raymond	raymonda
comparte	sdílet
comparte	sdílení
comparte	akcie
comparte	podíly
comparte	sdílení
jerry	jerryho
jerry	jerry
árbitro	rozhodčí
árbitro	rozhodce
árbitro	rozhodčí
antropología	antropologie
favorable	příznivý
favorable	příznivé
favorable	příznivý
favorable	příznivé
bizantino	byzantský
significativa	smysluplné
significativa	významná
significativa	značná
significativa	významné
significativa	významný
protegida	chráněný
protegida	chráněná
protegida	chráněno
protegida	chráněné
fiel	věrná
fiel	věrní
fiel	věrné
fiel	věrný
derivado	odvozené
rodaje	natáčení
rodaje	střílet
rodaje	zastřelení
rodaje	střelba
rodaje	střílení
escalera	schodiště
escalera	schodiště
escalera	žebřík
escalera	schodů
escalera	schody
escalera	schodiště
heinrich	heinrich
reglamento	předpisy
reglamento	nařízení
reglamento	pravidla
reglamento	předpis
reglamento	regulace
reglamento	nařízení
arabia	arábie
gigantes	obři
gigantes	obr
gigantes	obří
experimentos	experimenty
experimentos	pokusy
experimentos	experimenty
experimentos	experimentování
paisajes	krajina
paisajes	krajiny
paisajes	krajiny
paisajes	krajinu
paisajes	krajina
cuesta	cuesta
mito	mýtus
dispuesto	ochoten
dispuesto	ochotný
dispuesto	ochotny
dispuesto	ochotná
dei	dei
grabados	rytina
grabados	rytiny
grabados	zaznamenáno
grabados	nahraný
grabados	zaznamenané
grabados	nahrané
grabados	otisky
efectivo	hotovosti
efectivo	hotovost
efectivo	cash
efectivo	hotově
robot	robot
robot	robota
sra	paní
cárdenas	cárdenas
cuota	poplatek
cuota	honorář
cuota	kvóty
cuota	kvóta
roland	roland
obreros	pracovníky
obreros	pracovníci
obreros	dělníci
sagrada	posvátný
sagrada	posvátné
sagrada	posvátná
primarias	primárky
primarias	primární
interpretaciones	výklady
hembra	samice
hembra	ženská
hembra	žena
diseñada	navrženo
diseñada	navržený
diseñada	konstruované
diseñada	navrhl
diseñada	navržené
empresarial	firemní
empresarial	korporátní
añadió	přidáno
añadió	přidána
añadió	přidané
añadió	přidán
añadió	přidány
gold	zlato
gold	zlatá
gold	zlatý
gold	gold
gold	zlaté
procedimientos	postupy
procedimientos	procedury
procedimientos	postupů
dominante	dominantní
fred	fred
rob	rob
rob	robe
chaco	chaco
luchador	bojovnice
luchador	stíhačka
luchador	bojovník
luchador	zápasník
luchador	zápasník
ligera	světle
ligera	lehké
ligera	světlo
ligera	lehké
facultades	fakulty
tocando	dojemné
tocando	hraní
tocando	hrají
tocando	hrajeme
tocando	hraje
recuerdos	vzpomínky
recuerdos	suvenýry
recuerdos	vzpomínka
recuerdos	vzpomínky
recuerdos	paměti
recuerdos	paměť
site	stránka
site	lokalita
site	stránky
mantenido	udržována
mantenido	zachována
mantenido	udržovány
específicos	specifické
específicos	specifická
específicos	konkrétní
específicos	specifický
wright	wright
falla	selhat
falla	neúspěch
falla	selhání
falla	selže
falla	vada
falla	míjí
llano	llano
llano	prosté
llano	prostá
llano	prostý
romper	zlom
romper	zlomit
romper	pauza
romper	přestávka
huerta	sadu
huerta	sad
huerta	huerta
septentrional	severní
seguimiento	sledování
seguimiento	sledování
seguimiento	monitorování
difíciles	obtížné
difíciles	obtížná
difíciles	obtížně
difíciles	obtížný
cerveza	piva
cerveza	pivní
cerveza	pivo
cerveza	pivko
proyección	projekce
proyección	promítání
neerlandés	nizozemský
neerlandés	dutch
chiapas	chiapas
compuestas	kompozitní
bloqueado	zamčeno
bloqueado	zamčené
bloqueado	zablokovaný
bloqueado	zablokované
bloqueado	zablokovaná
maneras	způsoby
tocó	dotkl
infierno	peklo
gastos	výdaje
gastos	výdaj
gastos	výdaje
gastos	náklady
gastos	výdaje
africana	africký
africana	africká
africana	africké
depósito	záloha
depósito	vklad
lucio	lucio
lucio	pike
lucio	lucie
lucio	lucius
avanzada	pokročilý
avanzada	vyspělá
avanzada	pokročilé
avanzada	pokročilá
nucleares	nukleární
nucleares	jaderné
nucleares	jaderná
nucleares	jaderný
emma	emmou
emma	emma
terry	terryho
terry	terry
jornadas	dní
jornadas	dnů
jornadas	dny
lobos	vlčí
lobos	vlk
lobos	wolf
lobos	vlků
lobos	vlky
lobos	vlci
lobos	lobos
especialista	odborník
especialista	specialista
octava	osmá
octava	osmé
octava	osmý
octava	octave
pendiente	sklon
pendiente	svahu
pendiente	náušnice
pendiente	čekající
pendiente	vynikající
realista	realista
realista	reálné
realista	realistické
realista	realistický
century	století
definitivo	definitivní
definitivo	konečná
definitivo	závěrečná
definitivo	konečné
definitivo	finále
definitivo	konečný
definitivo	definitivní
recordar	zapamatování
recordar	vzpomínání
recordar	nezapomeňte
recordar	pamatujte
comenzando	počátek
comenzando	začátek
comenzando	začíná
comenzando	začínám
comenzando	začínáme
paraíso	ráje
paraíso	ráj
paraíso	paradise
autora	autor
autora	autorka
autora	autora
testimonio	svědek
testimonio	svědka
testimonio	svědkyně
testimonio	svědectví
malta	sladu
malta	maltu
malta	malty
malta	malta
aerolíneas	aerolinky
aerolíneas	airlines
aerolíneas	aerolinky
balonmano	házená
bloques	bloků
bloques	bloky
positiva	kladný
positiva	kladné
positiva	pozitivní
separa	odděluje
turner	turner
turner	turnerová
turner	turnera
vidal	vidal
polvo	prachu
polvo	prach
polvo	prach
polvo	prášek
polvo	pudr
tomada	přijata
tomada	přijatá
balón	míč
balón	míček
balón	ples
balón	ball
declara	vyhlásit
declara	prohlásit
declara	prohlašuje
alegría	joy
alegría	radosti
alegría	radost
alegría	veselí
luxemburgo	lucembursko
luxemburgo	lucembursko
prusia	prusko
prusia	pruský
declaraciones	prohlášení
declaraciones	výpovědi
reconoció	uznala
reconoció	uznal
reconoció	uznáno
cronología	chronologie
cronología	timeline
cría	chovu
cría	chov
cría	chovné
ilustraciones	ilustrace
cross	křížem
cross	křížek
cross	kříž
cross	přejít
cross	cross
ron	ron
ron	rum
estrada	estrada
vital	zásadní
comenzado	začalo
comenzado	začal
comenzado	zahájena
comenzado	začala
phoenix	fénix
phoenix	phoenixu
phoenix	phoenix
maine	maine
varsovia	varšavě
masacre	masakr
masacre	porážka
masacre	masakr
masacre	jatka
masacre	porážku
vinos	víno
vinos	vína
vinos	vína
nominada	nominován
denuncia	nahlásit
denuncia	zpráva
denuncia	report
denuncia	hlášení
denuncia	nahlášení
denuncia	stížnost
denuncia	stížnosti
denuncia	podnět
denuncia	udání
denuncia	vypovězení
decidir	rozhodování
decidir	rozhodne
decidir	rozhodnout
frutas	ovoce
frutas	ovoce
frutas	plody
periodos	období
periodos	doby
obtenidos	získaná
obtenidos	získáno
obtenidos	získané
obtenidos	získána
obtenidos	získán
graham	grahama
graham	grahame
graham	graham
duquesa	vévodkyně
delito	zločin
delito	zločin
delito	kriminalita
delito	trestný
preocupación	obavy
preocupación	znepokojení
preocupación	obavy
preocupación	znepokojení
preocupación	obava
metales	kovy
metales	metal
metales	kov
metales	kovy
sufrir	trpět
sufrir	trpí
renfe	renfe
golf	golfu
golf	golf
asistencias	asistence
asistencias	asistencí
creencias	přesvědčení
creencias	víra
creencias	přesvědčení
sucre	sucre
baltimore	baltimoru
baltimore	baltimore
stars	hvězdičky
stars	hvězdy
stars	hvězdami
stars	stars
reputación	reputaci
reputación	reputace
reputación	pověst
reputación	pověsti
party	párty
party	večírek
party	strana
party	party
norman	norman
humberto	humberto
humberto	umberto
humberto	hubert
participante	účastník
conexiones	spoje
conexiones	spojení
cumplimiento	soulad
cumplimiento	dodržování
cumplimiento	splnění
cumplimiento	naplnění
cumplimiento	naplňování
aurora	aurora
quedarse	zůstávám
condujo	řídil
condujo	jel
htm	htm
australiana	australský
australiana	austrálie
ámsterdam	amsterdam
ámsterdam	amsterdamu
ilustración	osvícení
ilustración	ilustrace
potosí	potosí
efectiva	účinná
efectiva	účinné
efectiva	efektivní
efectiva	účinný
convertir	proměnit
convertir	převést
convertir	konverzi
emite	vyzařuje
llanura	prosté
llanura	prostá
llanura	prostý
llanura	plains
llanura	roviny
llanura	pláně
levantamiento	povstání
levantamiento	zdvih
levantamiento	zvedání
hebreo	hebrejsky
propaganda	propaganda
desea	přání
desea	přeji
desea	přání
desea	přeje
thompson	thompson
thompson	thompsona
jay	jay
secuela	pokračování
tributo	hold
tributo	pocta
placas	talíře
placas	desky
placas	placky
placas	odznaky
placas	talíř
placas	deska
estructural	strukturální
culpa	obviňování
culpa	vina
culpa	provinění
causar	způsobující
causar	způsobuje
singapur	singapuru
singapur	singapur
secreta	tajný
secreta	tajná
secreta	tajemství
secreta	tajné
comerciantes	obchodníků
comerciantes	obchodníky
comerciantes	obchodníci
comerciantes	obchodníci
comerciantes	obchodníci
comerciantes	prodejci
bank	banku
bank	banka
bank	bankovní
bank	banky
bank	bank
meseta	mesa
meseta	plošina
meseta	plošině
hamburgo	hamburku
ordenado	nařídil
pereira	pereira
proporción	poměr
proporción	podíl
asociada	přidružené
asociada	související
asociada	společník
fiat	fiat
estimada	vážený
estimada	vážená
estimada	odhad
estimada	odhadované
estimada	odhadovaná
interfaz	rozhraní
correa	vodítko
correa	vodítka
correa	correa
correa	popruh
colaborar	spolupráce
colaborar	spolupráci
arquidiócesis	arcidiecéze
episcopal	episkopální
secretaria	sekretářka
secretaria	tajemník
circuitos	okruhy
circuitos	obvodů
circuitos	obvody
circuitos	okruh
circuitos	obvod
circuitos	okruhu
magallanes	magellan
distribuye	distribuuje
distribuye	distribuovat
concacaf	concacaf
auxiliar	asistent
auxiliar	asistentka
auxiliar	pomocné
auxiliar	pomocný
minería	důlní
minería	těžba
minería	těžební
corteza	kůra
corteza	kůry
verso	verš
verso	verše
anónimo	anonymní
anónimo	anonymně
auge	boom
auge	bum
encargo	zadal
encargo	zadané
encargo	pořádek
encargo	řád
encargo	pořadí
encargo	objednávka
encargo	objednat
sensación	pocit
sensación	senzace
afluentes	přítoků
suave	hladce
suave	hladká
suave	hladký
suave	hladké
suave	měkký
suave	měkká
suave	jemné
suave	měkké
suave	mírné
suave	mírná
suave	mírný
suave	jemný
constantes	konstantní
constantes	stálý
constantes	neustálé
constantes	stálé
constantes	stálá
constantes	konstanty
viaja	cestuje
cbs	cbs
suizo	švýcarsko
suizo	švýcarský
suizo	švýcarská
suizo	švýcarské
jamaica	jamajky
jamaica	jamajské
sencilla	jednoduchá
sencilla	prosté
sencilla	jednoduchý
sencilla	jednoduché
sencilla	snadný
sencilla	snadné
sencilla	jednoduché
censura	necenzurované
censura	cenzurovat
censura	cenzura
rebelde	rebel
roll	roll
paco	paco
matías	mathias
matías	matías
matías	matthias
nancy	nancy
marítima	námořní
crimea	krym
crimea	krymské
liberado	propuštěn
liberado	uvolněna
liberado	osvobodil
liberado	osvobozen
liberado	osvobozena
liberado	osvobodili
liberado	osvobozen
narrativa	vyprávění
narrativa	vyprávění
gerente	vedoucí
gerente	správce
gerente	manažer
encuesta	zjišťování
encuesta	průzkum
encuesta	dotazník
encuesta	anketa
afecta	postihují
afecta	ovlivňuje
afecta	ovlivnit
afecta	postihují
pokémon	pokémon
libertador	osvoboditel
generalidad	obecnost
efectivamente	účinně
efectivamente	efektivně
efectivamente	vskutku
efectivamente	skutečně
seca	suchá
seca	suché
seca	sucho
seca	suchý
seca	sušená
seca	sušený
seca	sušené
marchó	pochodovali
medir	měřicí
medir	měření
medir	opatření
medir	změřit
asume	předpokládat
asume	předpokládejme
asume	předpokládá
dieta	dieta
dieta	strava
dieta	dietu
dieta	dietní
aparente	zjevná
aparente	zjevné
aparente	zřejmé
aparente	zřejmá
discusiones	diskuse
discusiones	diskuze
discusiones	diskuse
discusiones	diskuze
discusiones	argumentace
discusiones	argumenty
stanley	stanleyho
stanley	stanley
panorama	panorama
realistas	reálné
realistas	realistické
realistas	realistický
realistas	realista
rin	rin
rin	porýní
animada	animované
animada	živá
intensa	intenzivní
duelo	souboj
duelo	duel
duelo	truchlení
duelo	truchlící
duelo	truchlí
duelo	truchlení
duelo	smutek
duelo	smuteční
legend	legend
legend	legenda
seattle	seattle
seattle	seattlu
rectangular	obdélníkové
acústica	akustika
acústica	akustické
innovación	inovaci
innovación	inovační
innovación	inovace
hueso	kosti
hueso	kost
hueso	kostí
hueso	bone
administrativas	správní
administrativas	administrativní
donald	donald
rincón	roh
rincón	rohu
rincón	zatáčka
rincón	kout
rincón	koutek
jacob	jacob
jacob	jakub
jacob	jakuba
ordenador	počítačová
ordenador	počítač
ordenador	počítače
ordenador	počítači
baño	záchod
baño	toaleta
baño	wc
baño	koupelny
baño	koupelna
baño	toaleta
baño	záchod
baño	vana
baño	koupel
seguros	pojistka
seguros	pojištění
seguros	pojišťovací
seguros	pojišťovnictví
correr	běžící
correr	běží
correr	běh
correr	běhání
correr	utíkat
correr	běh
correr	spustit
correr	běhání
correr	běhat
hms	hms
telecomunicaciones	telecom
telecomunicaciones	telekomunikace
telecomunicaciones	telekomunikace
telecomunicaciones	telekomunikace
arequipa	arequipa
iris	iris
eventualmente	nakonec
eventualmente	eventuálně
maldonado	maldonado
ocupando	okupační
cantando	zpívání
cantando	zpěv
cantando	zpívám
examen	recenze
examen	přezkumu
examen	přezkum
examen	zkoumání
examen	vyšetření
depósitos	sklady
depósitos	nádrže
depósitos	zásobníky
depósitos	vklady
depósitos	záloha
depósitos	vklad
ocasionalmente	příležitostné
ocasionalmente	příležitostně
ocasionalmente	občas
ocasionalmente	příležitostně
invitada	host
invitada	pozván
invitada	pozvaní
invitada	pozval
invitada	pozváni
gov	gov
homer	homer
liverpool	liverpoolu
rap	rapovat
rap	rap
respondió	odpovědělo
respondió	odpověděl
respondió	odpověděla
respondió	odpovědělo
respondió	odpověděl
respondió	odpověděl
respondió	reagoval
asistir	asistence
asistir	asistovat
asistir	zúčastnit
turistas	turisty
turistas	turistů
turistas	turisté
turistas	turistická
turistas	turistické
turistas	turista
darío	darius
darío	darío
imdb	imdb
autobús	bus
autobús	autobus
autobús	autobusem
autobús	autobusy
actuando	herectví
actuando	hraní
anuncia	oznamuje
anuncia	oznámit
confusión	zmatky
confusión	zmatení
confusión	zmatek
lituania	litevské
lituania	lotyšsko
lituania	litva
tendencias	trend
tendencias	trendy
tendencias	tendence
tendencias	trendy
secretos	tajnosti
secretos	tajemství
secretos	tajný
secretos	tajná
secretos	tajemství
secretos	tajné
tommy	tommyho
tommy	tommy
probabilidad	pravděpodobnost
probabilidad	pravděpodobnost
probabilidad	pravděpodobnosti
exhibición	výstava
exhibición	výstavy
exhibición	výstava
exhibición	výstavní
amistoso	přátelský
amistoso	přátelská
amistoso	friendly
amistoso	přátelské
convenio	pakt
convenio	konvence
convenio	sjezd
convenio	úmluvy
convenio	úmluva
entretenimiento	pobavení
entretenimiento	zábava
entretenimiento	zábavní
temprano	časně
temprano	rané
temprano	brzy
euphorbia	euphorbia
direcciones	směry
direcciones	směr
direcciones	adres
direcciones	adresy
direcciones	adresu
direcciones	adresa
soprano	soprano
now	nyní
now	teď
delitos	přestupky
delitos	zločiny
delitos	přestupky
atletas	sportovci
atletas	sportovce
semifinal	semifinále
semifinal	semifinále
asumir	předpokládat
asumir	předpokládejme
espectro	přízrak
espectro	strašidlo
espectro	wraithové
espectro	spektra
espectro	spektrum
espectro	spektra
espectro	spektrum
espectro	přízrak
espectro	strašidlo
espectro	spectre
serio	vážný
serio	závažné
serio	vážné
serio	vážná
conducción	řízení
conducción	jízda
gobernantes	vládci
capacidades	kapacit
capacidades	kapacity
capacidades	schopnosti
inteligente	chytré
inteligente	chytrý
inteligente	inteligentní
inteligente	chytrá
inteligente	chytré
inteligente	smart
inteligente	chytrý
introducido	zadali
introducido	zadané
introducido	vstoupil
introducido	vstoupila
introducido	zavedené
introducido	zavedena
introducido	představil
introducido	zavedená
introducido	zavedený
ficticio	fiktivní
ficticio	fiktivní
manhattan	manhattanu
manhattan	manhattan
concursos	soutěže
concursos	soutěže
cia	cia
cia	cia
abundantes	hojnost
dosis	dávek
dosis	dávky
dosis	dávka
dosis	dávky
dosis	dávkování
dosis	dávku
dosis	dávky
dosis	dávka
conocía	věděl
conocía	věděla
cubrir	krýt
cubrir	obal
cubrir	krytí
cubrir	pokrytí
antártida	antarktidě
antártida	antarktidě
citas	citace
citas	citáty
citas	citace
citas	jmenování
citas	schůzky
aprobada	schváleno
aprobada	schválené
aprobada	schválen
aprobada	schválená
aprobada	schválený
aprobada	schválena
investigar	prošetřit
investigar	vyšetřovat
investigar	vyšetřit
libreto	libreto
filadelfia	philly
filadelfia	filadelfie
filadelfia	philadelphie
filadelfia	filadelfie
filadelfia	philadelphii
decidido	rozhodnuto
decidido	rozhodl
decidido	rozhodli
decidido	rozhodla
decidido	odhodlaný
decidido	odhodlaná
baden	baden
falso	nepravdivé
falso	falešné
falso	padělek
falso	falešné
falso	falešný
falso	fake
jesuitas	jezuité
jesuitas	jezuita
humedad	vlhkost
humedad	vlhkosti
humedad	vlhkost
humedad	vlhkosti
atracción	atrakce
atracción	přitažlivost
jurídico	zákonné
jurídico	zákonný
jurídico	právní
jurídico	legální
tabasco	tabasco
formaciones	formace
destruida	zničeno
destruida	zničen
destruida	zničena
testigo	svědek
testigo	svědka
testigo	svědkyně
seguida	následovalo
seguida	následovala
seguida	sledoval
seguida	následoval
bros	bros
kilómetro	mile
kilómetro	míli
kilómetro	míle
kilómetro	kilometr
kilómetro	kilometr
bobby	bobbyho
bobby	bobby
lugo	lugo
reptiles	plaz
reptiles	plazi
logo	logo
logo	loga
sustancia	látka
sustancia	substance
turística	turistická
turística	turistické
turística	turista
holandés	holanďan
holandés	nizozemský
holandés	dutch
plus	plus
plus	navíc
estocolmo	stockholmu
estocolmo	stockholm
nasa	nasa
masiva	masivní
masiva	mohutný
viendo	sledování
viendo	sleduju
mercurio	rtuť
mercurio	mercury
mercurio	rtuti
mercurio	merkur
gilbert	gilbert
escobar	escobar
moléculas	molekuly
moléculas	molekul
regulación	předpis
regulación	regulace
regulación	nařízení
regulación	regulace
regulación	regulaci
regulación	regulační
sargento	seržant
sargento	seržant
alturas	výšky
alturas	heights
alturas	výšek
creencia	víra
creencia	přesvědčení
aterrizaje	přístaviště
aterrizaje	přistání
campbell	campbell
danny	danny
danny	dany
danny	dannyho
ventajas	přínosy
ventajas	přínos
ventajas	výhody
ventajas	dávky
ventajas	požitky
ventajas	výhody
ventajas	výhody
ventajas	přednosti
abandona	opustit
martes	úterý
requieren	požadovat
requieren	vyžadují
requieren	vyžadovat
pretendía	zamýšlená
pretendía	zamýšlené
pretendía	určeno
pretendía	určena
arsenal	zbrojnice
arsenal	zbrojnici
arsenal	zbrojnice
arsenal	arzenál
arsenal	arsenal
sociología	sociologie
nigeria	nigerijské
nigeria	nigérie
constantinopla	konstantinopole
extrema	extrémní
extrema	krajní
gibraltar	gibraltaru
consola	konzole
sentimiento	pocit
sentimiento	sentiment
cargas	břemena
cargas	nálože
cargas	obvinění
cargas	poplatky
cargas	zatížení
complutense	complutense
trato	výhodné
trato	dohodu
trato	dohoda
suficientes	dost
suficientes	dostačující
suficientes	dostatečná
suficientes	postačující
suficientes	dostatečný
suficientes	dostatečné
when	když
when	kdy
márquez	márquez
márquez	marquez
flash	blesk
flash	flash
flash	záblesk
place	místo
place	misto
proclamó	prohlásil
non	non
reality	skutečnost
reality	reality
reality	realita
castillos	hrady
fuga	fuga
fuga	útěk
fuga	utéct
fuga	únik
cleveland	clevelandu
cleveland	cleveland
dorada	zlaté
dorada	zlatý
dorada	zlatí
dorada	golden
dorada	zlatá
dorada	zlato
dorada	zlatá
dorada	zlatý
dorada	gold
dorada	zlaté
abuela	babičky
abuela	babička
abuela	bába
abuela	babka
abuela	babička
abuela	babičky
abuela	babička
afueras	okolí
experto	odborník
experto	odborná
experto	znalec
experto	expert
frontal	předek
frontal	fronta
frontal	front
frontal	přední
frontal	čelní
considerablemente	výrazně
considerablemente	značně
borgoña	burgundy
huevo	vejce
huevo	vajec
huevo	vajíčka
huevo	vajíčko
huevo	vejce
tragedia	tragický
tragedia	tragická
tragedia	tragické
tragedia	tragédie
tragedia	tragédie
lagunas	mezer
lagunas	mezery
beta	beta
contaminación	kontaminace
contaminación	kontaminaci
contaminación	znečištění
costera	pobřežní
charlotte	charlotte
azteca	azteca
azteca	aztécké
patrones	vzory
patrones	vzorce
patrones	vzor
patrones	vzorec
patrones	zaměstnavatele
patrones	zaměstnavatelé
how	jak
boeing	boeing
transmisiones	přenosy
aliado	spojenecké
aliado	spojence
aliado	ally
aliado	spojenec
enfrentar	konfrontovat
ama	ama
ama	milenka
ama	paní
ama	miluje
literarios	literární
luchó	zápasil
luchó	bojovala
luchó	bojovali
luchó	bojoval
viejos	starý
viejos	staré
viejos	stará
mediodía	polední
mediodía	poledne
mediodía	polední
mediodía	poledne
traducciones	překlady
traducciones	překlad
traducciones	překlady
traducciones	překladů
pulgadas	palec
arnold	arnold
ladrillo	cihla
ladrillo	brick
calvo	plešatý
calvo	calvo
barbara	barbaru
barbara	barbara
creer	věřit
compartir	sdílení
compartir	sdílet
compartir	sdílení
niñas	dívky
niñas	holčičky
niñas	holky
niñas	děvčata
dependencia	závislosti
dependencia	závislost
dependencia	závislosti
dependencia	závislost
detective	detektiv
probar	prokázat
probar	dokažte
probar	dokázat
probar	zkuste
probar	vyzkoušejte
probar	test
probar	zkouška
probar	otestovat
mónica	monika
mónica	monica
mónica	mónica
arroyos	proudy
arroyos	brooks
volante	leták
sabio	sage
sabio	moudrý
sabio	moudrá
sabio	moudré
budapest	budapešti
budapest	budapešť
beca	stipendia
beca	stipendium
cráneo	lebka
cráneo	lebku
cráneo	lebky
cráneo	lebka
provocando	jiskření
provocando	způsobující
provocando	způsobuje
provocando	provokovat
gobernante	vládce
madison	madison
caridad	charitativní
caridad	charity
caridad	charita
caridad	charitu
caridad	dobročinnost
caridad	charity
caridad	charitativní
caridad	charita
leftarm	leftarm
llave	klíče
llave	klíčové
llave	klíčová
llave	klíč
exclusiva	výhradní
exclusiva	výlučné
exclusiva	exkluzivní
merced	merced
armados	ozbrojená
armados	ozbrojený
armados	ozbrojen
armados	ozbrojené
manuscritos	rukopisy
manuscritos	rukopis
rivas	rivas
major	major
necesariamente	nutně
necesariamente	nezbytně
demonio	démon
demonio	daemon
demonio	čert
demonio	ďábel
demonio	démon
note	poznámka
emitida	emitované
emitida	emitovaných
carrillo	carrillo
reside	pobývat
nazis	nacista
nazis	nacistické
nazis	nacisté
nazis	nacisti
nazis	nacisty
valdivia	valdivia
luisiana	louisianě
malo	bad
malo	špatný
materias	materiály
materias	materiál
materias	subjekty
urbanas	městský
urbanas	městská
urbanas	městské
estándares	normy
estándares	standardy
estándares	norem
básicas	základní
gases	benzín
gases	plynové
gases	plyn
gases	plyny
gases	plyny
ferroviario	železniční
ferroviario	železnice
boletín	newsletter
boletín	zpravodaj
boletín	bulletinu
boletín	zpravodaj
boletín	věstník
potencias	powers
potencias	pravomoci
ejemplar	kopírovat
ejemplar	kopírování
ejemplar	kopie
ejemplar	zkopírovat
ejemplar	příkladné
separadas	oddělené
separadas	oddělená
separadas	oddělený
separadas	odděleny
express	expres
express	express
express	vyjádřit
express	expresní
portugueses	portugalské
portugueses	portugalská
normales	normální
basket	koš
basket	košík
