kennedyn	кеннеді
ilmoitus	оголошення
ilmoitus	анонс
ilmoitus	сповіщення
ilmoitus	інформує
ilmoitus	декларація
ilmoitus	оголошення
sankarit	heroes
sankarit	герої
sankarit	героїв
notre	нотр
erin	ерін
tarinoiden	історії
tarinoiden	публікації
tarinoiden	розповіді
päivien	днів
päivien	дні
yksityisen	приватні
yksityisen	приватна
yksityisen	особисте
yksityisen	приватний
lucy	люсі
piiritys	облога
sophie	софі
sophie	софія
uno	uno
akselin	колія
akselin	вісь
venezuelan	венесуельський
venezuelan	венесуели
omistajat	власники
donner	доннер
keskeyttää	призупинити
keskeyttää	переривання
keskeyttää	перервати
keskeyttää	переривання
hiljaa	тихо
hiljaa	тихенько
erilliset	окреме
erilliset	відокремити
kirjeitä	листи
kirjeitä	літер
kirjeitä	літери
tulevaisuuteen	майбутнє
mitata	вимірювання
mitata	міру
mitata	міра
ohjauksen	керування
kesäkuu	червня
kesäkuu	червні
kesäkuu	червень
davies	девіс
kunnia	честь
kunnia	пошани
kunnia	заслужений
kunnia	поважно
kunnia	честь
kunnia	шанувати
kunnia	вшанування
kunnia	славу
kunnia	слава
konrad	конрад
vaikuttava	вражає
vaikuttava	вражаюче
vaikuttava	вражаюча
ansaitsi	заслужена
ansaitsi	заслужив
ansaitsi	заслужили
ansaitsi	заробив
lucius	луцій
burton	бертон
atlantis	атлантида
osuu	hits
osuu	удар
osuu	хіт
osuu	влучити
osuu	зачепив
osuu	вдарив
pjotr	петро
linjat	лінії
linjat	рядками
linjat	рядків
linjat	лініями
linjat	рядки
ramsay	рамсей
vastapäätä	протилежність
vastapäätä	відміну
vastapäätä	протилежний
vastapäätä	навпаки
lainasi	запозичено
lainasi	позичив
jeanne	жанна
veri	кров
veri	blood
kitaran	гітару
kitaran	гітара
luna	луна
spartan	spartan
esineet	предмети
rannan	пляжний
rannan	біч
rannan	пляж
nimitetty	призначив
nikita	нікіта
nikita	микита
tehtaat	фабрики
tehtaat	заводів
tehtaat	міллс
hollannissa	голландії
hollannissa	голландія
gerhard	герхард
harva	кілька
harva	небагато
kilon	кіло
kaappasi	захопили
kaappasi	викрали
felipe	феліпе
jokia	річок
jokia	річки
jokia	ріки
suunnitteilla	запланована
suunnitteilla	заплановано
suunnitteilla	запланований
suunnitteilla	заплановане
rajattu	обмежені
rajattu	обмежений
rajattu	обмежена
rajattu	обмежено
rajattu	обмежений
citroën	citroën
julkaistut	опублікований
julkaistut	оприлюднено
julkaistut	опубліковано
matkustaja	пасажир
matkustaja	traveler
matkustaja	мандрівник
matkustaja	traveller
matkustaja	мандрівник
romanttinen	романтик
romanttinen	романтична
romanttinen	романтичний
romanttinen	романтичні
tulevaisuus	майбутнє
hautausmaan	кладовище
hautausmaan	цвинтар
madridissa	madrid
madridissa	мадрид
pyyntö	запит
rinta	груди
rinta	грудне
rinta	груди
rinta	грудей
balkanin	півострова
balkanin	балканський
spider	павук
näkökulma	перспективу
näkökulma	перспектива
näkökulma	перспективи
riippuvainen	залежні
riippuvainen	залежних
riippuvainen	addicted
sieni	гриба
sieni	губки
sieni	губка
sieni	fungal
sieni	гриб
sieni	гриби
suuruus	велич
suuruus	величі
alkoholia	алкоголю
alkoholia	алкоголь
alkoholia	спирт
syvyys	глибина
wwf	wwf
leirin	табір
konsertteja	концерти
valtiomies	statesman
omega	омега
työkaluja	інструменти
työkaluja	засоби
kuuli	почув
kuuli	чув
kuuli	почула
kuuli	чули
kuuli	чула
näkymä	перегляд
näkymä	вигляд
näkymä	view
näkymä	вид
näkymä	переглянути
liikkeeseen	обіг
sotia	війн
sotia	війни
simpson	сімпсон
heinz	гайнц
vaihtoehtoja	альтернативи
vaihtoehtoja	варіанти
vaihtoehtoja	варіанти
vaihtoehtoja	пункти
vaihtoehtoja	опції
vaihtoehtoja	параметри
ylimääräinen	надлишок
ylimääräinen	додатковий
ylimääräinen	зайві
ylimääräinen	додаткова
ylimääräinen	додаткові
saku	саку
saku	німець
saku	крот
mahdoton	неможлива
mahdoton	неможливе
mahdoton	неможливо
willie	віллі
lohikäärme	dragon
lohikäärme	дракон
kalojen	рибки
audi	audi
katja	катя
videoita	відео
verrata	порівняння
verrata	порівняти
verrata	порівнювати
verrata	порівняйте
menossa	їду
menossa	йдемо
oltu	був
oltu	було
oltu	були
ajax	аякс
shakespearen	шекспір
tilojen	вкладів
tilojen	вклади
rannikko	берегова
rannikko	узбережжя
rannikko	берег
kysyy	запитує
kysyy	питаю
kysyy	прошу
kysyy	запитує
kysyy	питає
teiden	доріг
teiden	дороги
itsenäisyyttä	незалежність
itsenäisyyttä	незалежності
som	сом
kansalaisia	громадяни
kansalaisia	громадян
kansalaisia	громадянам
ladata	вивантаження
käsitteitä	концепції
käsitteitä	принципи
niemimaa	півострів
diskografia	дискографія
diskografia	руслани
pelkäsi	боявся
pelkäsi	бояться
pelkäsi	боялися
kaksikymmentä	двадцять
kaksikymmentä	двадцяти
metsään	лісі
piirretty	намальовано
piirretty	намальовані
piirretty	мультик
piirretty	мультфільмів
ricardo	рікардо
massaa	маса
massaa	mass
trans	trans
trans	транс
microsoftin	microsoft
ruusu	роуз
ruusu	роза
ruusu	розі
ruusu	троянда
silja	сілья
harryn	гаррі
harryn	гарі
bergman	бергман
lähtö	відправлення
lähtö	виліт
quest	квест
quest	quest
päätöksiä	рішення
päätöksiä	рішень
islamilaisen	ісламський
ikuisesti	назавжди
ikuisesti	forever
ikuisesti	навіки
vatsa	косий
vatsa	живіт
vatsa	шлунок
vatsa	живіт
vatsa	живота
vatsa	животі
aukko	апертура
aukko	ями
aukko	лунка
aukko	дірка
aukko	діра
aukko	розрив
päätä	head
päätä	голова
päätä	голівка
päätä	вирішувати
päätä	вирішуйте
päätä	вирішити
päätä	визначитися
aloilla	секторів
aloilla	сектори
kurki	журавель
kurki	кран
tasainen	рівна
tasainen	стабільний
tasainen	рівно
gps	gps
curtis	кертіс
tykit	гарматами
tykit	гармат
tykit	зброї
tykit	зброя
tykit	зброю
tykit	гармата
tykit	гармати
islamilainen	ісламський
puuttuminen	відсутність
puuttuminen	відсутності
puuttuminen	відсутність
puuttuminen	бракує
puuttuminen	брак
puuttuminen	нестача
kiinteää	суцільна
kiinteää	твердий
kiinteää	суцільний
kiinteää	суцільне
bosnian	боснійська
huomautus	зауваження
huomautus	примітки
huomautus	зауважте
huomautus	примітка
huomautus	нота
asunnon	квартира
halo	halo
lewisin	льюїс
lewisin	льюіс
montana	монтана
vuosikymmenten	грунту
pelaamisen	ігри
dei	dei
temple	храму
temple	храм
jalkaa	нога
jalkaa	ногою
jalkaa	фут
jalkaa	пішки
jalkaa	лапка
jalkaa	ніжку
jalkaa	нога
jalkaa	нозі
jalkaa	ногу
huvila	вілла
ulkoasu	компонування
ulkoasu	розкладка
ulkoasu	вигляд
today	сьогодні
ohjelmiston	програмний
ohjelmiston	програми
ohjelmiston	застосунок
tunneli	тунель
norjalaiset	норвежці
opel	opel
rna	рнк
tuodaan	імпорт
tuodaan	імпортовано
tuodaan	імпортовані
luoja	творець
luoja	автор
luoja	створив
mongolian	монгольська
mongolian	монголії
kirkkoja	церкви
kirkkoja	церквах
kirkkoja	храми
kirkkoja	церков
mccartney	маккартні
karen	карен
milton	мілтон
brysselin	брюсселі
brysselin	брюссель
ella	елла
ella	ella
toukokuu	травнева
toukokuu	травня
toukokuu	травневі
toukokuu	травні
toukokuu	травень
teorioita	теорії
eugene	євген
eugene	юджин
eugene	євгеній
yritin	намагалися
yritin	спробували
yritin	спробував
yritin	намагався
yritin	пробував
talojen	будинках
talojen	доми
talojen	будинки
talojen	будинків
talojen	домів
virginian	вірджинія
versailles	версаль
lukko	блокування
lukko	зафіксувати
lukko	замкнути
lukko	заблокувати
morsian	наречена
jumalatar	богиня
syyttää	звинувачувати
syyttää	гідні
syyttää	звинуватити
syyttää	звинувачує
syyttää	звинувачують
kuula	кулька
kuula	бал
kampanjan	кампанії
kampanjan	похід
kampanjan	кампанія
puhdasta	очистити
puhdasta	прибрати
puhdasta	почистити
puhdasta	чистий
puhdasta	чисте
puhdasta	чисті
puhdasta	чиста
puhdasta	чистих
vahvistettu	підтверджено
vahvistettu	підтвердила
vahvistettu	підтвердили
vahvistettu	підтверджена
vahvistettu	перевірено
suvi	літо
täytä	заповнення
täytä	заповнювати
täytä	заповнити
kaliforniaan	каліфорнію
kaliforniaan	california
kaliforniaan	каліфорнія
prahassa	прага
muslimien	мусульмани
muslimien	мусульманин
muslimien	мусульмани
benny	бенні
joulukuu	грудень
joulukuu	грудня
joulukuu	грудні
joulukuu	схилення
joulukuu	схил
joulukuu	dec
petra	петра
fyysinen	фізична
fyysinen	фізичні
fyysinen	фізичне
hullu	божевільний
hullu	аншлаг
hullu	божевільна
hullu	шалено
hullu	шалені
hullu	скажений
hullu	шалений
hullu	божевільна
hullu	скажений
hullu	mad
hullu	скажені
vaihteli	parus
lyon	ліон
neuvoa	попередження
neuvoa	раджу
yhdistyvät	поєднується
koreografi	хореограф
foster	фостер
sotilaallinen	військові
sotilaallinen	військовий
kokonainen	ціла
kokonainen	цілу
kokonainen	цілий
kokonainen	ціла
kuninkaat	королі
kuori	оболонка
kuori	оболонки
muokattu	змінені
muokattu	змінений
muokattu	змінений
muokattu	змінено
muokattu	змінене
muokattu	змінені
tammikuu	січні
tammikuu	січень
tammikuu	січня
eronnut	здалися
eronnut	звільнився
eronnut	розлучена
suoja	захист
suoja	щит
irina	ірина
sovittu	згідний
sovittu	домовилися
sovittu	домовились
sovittu	погодився
jälkiä	доріжок
jälkiä	слідкує
jälkiä	композиції
jälkiä	доріжки
jälkiä	сліди
alexandre	александр
azerbaidžanin	азербайджану
azerbaidžanin	азербайджанський
azerbaidžanin	азербайджан
edustajien	представники
edustajien	представників
arkkitehdit	архітекторів
kuvioita	шаблони
kuvioita	візерунки
maalaukset	картини
maalaukset	картин
viola	фіалка
yhtäkkiä	раптово
yhtäkkiä	раптом
yhtäkkiä	несподівано
yhtäkkiä	зненацька
kiova	київ
osallisena	звинувачували
osallisena	звязок
kristina	крістіна
kristina	kristina
osapuoli	вечірка
osapuoli	партії
osapuoli	вечірки
osapuoli	партія
osapuoli	party
vertaa	порівняння
vertaa	порівняти
vertaa	порівнювати
vertaa	порівняйте
une	une
sello	віолончель
yritetty	намагалися
yritetty	спробували
yritetty	спробував
yritetty	намагався
yritetty	пробував
gregory	ґреґорі
gregory	григорій
gregory	грегорі
jupiter	юпітер
lil	lil
kehittyivät	походять
velho	майстер
velho	чарівник
velho	майстра
velho	чаклун
asukas	жителька
martínez	мартінес
kaivos	гірнича
kaivos	копальня
kaivos	моє
kaivos	мій
kaivos	міна
isompi	точніше
isompi	більший
isompi	більшого
isompi	більшим
isompi	більший
isompi	більші
isompi	більше
isompi	більша
italialaiset	італійці
italialaiset	італійською
italialaiset	італійський
italialaiset	італієць
italialaiset	італійська
italialaiset	італійської
esp	esp
alessandro	алессандро
virheellinen	неправильна
virheellinen	невірно
virheellinen	неправильний
virheellinen	неправильне
virheellinen	некоректний
virheellinen	некоректна
virheellinen	неправильний
kokemuksia	обставинах
kokemuksia	враження
kokemuksia	досвід
hiiri	миші
hiiri	мишей
hiiri	миша
hiiri	мишу
hiiri	мишкою
hiiri	миші
hiiri	мишка
työntekijä	служить
työntekijä	приймав
työntekijä	робітника
työntekijä	робітник
työntekijä	працівник
julkiset	публічний
julkiset	громадське
julkiset	паблік
julkiset	відкритий
julkiset	публічна
julkiset	громадського
henkilökohtaista	особисті
henkilökohtaista	особисте
henkilökohtaista	особистий
henkilökohtaista	персональний
tsaari	цар
tsaari	ніколая
hal	гал
verkkosivusto	сайті
verkkosivusto	сайт
romaaneja	романів
romaaneja	романи
perintö	спадщина
perintö	застаріла
perintö	спадок
perintö	успадкування
häät	весілля
freeman	фрімен
virus	вірусний
virus	вірус
hienoa	великий
hienoa	чудово
hyväksytään	згодна
hyväksytään	прийняттям
hyväksytään	прийнято
hyväksytään	прийняті
hyväksytään	прийняли
hyväksytään	прийнятий
ferguson	фергюсон
legendan	легенду
legendan	легенда
ehdokkaat	номінантів
ehdokkaat	номінаціях
ehdokkaat	кандидатів
paineen	тиск
saatavissa	доступні
saatavissa	доступний
saatavissa	наявні
saatavissa	наявний
arvostelut	огляди
arvostelut	відгуки
esitelty	обрані
esitelty	представили
esitelty	презентували
esitelty	представлена
esitelty	презентувала
iskut	приступ
iskut	атакує
iskut	напади
iskut	атаки
iskut	удари
kouluttaa	виховують
sisäistä	внутрішнє
sisäistä	внутрішній
sisäistä	внутрішня
sisäistä	внутрішні
mcdonald	макдональд
timothy	тимофія
timothy	тімоті
pelkää	fear
pelkää	страх
pelkää	страху
pelkää	боюся
valokuvan	фотографії
valokuvan	фотографія
valokuvan	фотографію
kruunu	корону
kruunu	корона
kruunu	корони
kuviot	шаблони
kuviot	візерунки
bart	барт
schmidt	шмідт
esityksiä	виступів
esityksiä	презентації
esityksiä	презентацій
pahin	найгірші
pahin	найгірше
pahin	найгірша
pahin	найстрашніше
puhkesi	широкі
ultra	ультра
ultra	ultra
arne	арне
montenegron	чорногорія
montenegron	чорногорії
montenegron	чорногорська
asetus	постанова
asetus	встановлення
asetus	постанова
asetus	регулювання
voimistelija	гімнастка
suhteellinen	відносно
suhteellinen	відносна
suhteellinen	відносний
suhteellinen	пропорційно
uros	чоловічий
uros	самець
uros	чоловічі
uros	чоловіча
beck	бек
täydet	повна
täydet	повний
täydet	повне
olosuhteet	умови
olosuhteet	обставини
epäillään	підозрюю
epäillään	підозрюваний
happea	киснем
happea	кисень
olennainen	інтеграл
olennainen	необхідних
olennainen	необхідного
olennainen	необхідний
sijoitti	вклав
sijoitti	вклала
tehtävien	завдання
tehtävien	задачі
nähtävyydet	погляди
nähtävyydet	екскурсії
lentävä	польоту
häviää	втрати
häviää	втрачаємо
häviää	програш
häviää	втратить
häviää	програє
häviää	втратити
häviää	програти
liiketoiminnan	бізнес
liiketoiminnan	справа
liiketoiminnan	ділова
liiketoiminnan	business
liiketoiminnan	діловий
kalevala	калевала
ennemmin	раніше
kyle	кайл
css	css
mann	mann
kysyi	запитали
kysyi	запитала
kysyi	просили
kysyi	просив
kysyi	запитав
gmbh	gmbh
swan	лебідь
yksityiskohtia	відомості
yksityiskohtia	подробиці
yksityiskohtia	деталі
kulmassa	кутку
kulmassa	куточок
kulmassa	куті
komisario	ревізор
komisario	інспектор
saatavana	доступні
saatavana	доступний
saatavana	наявні
saatavana	наявний
isabella	ізабелла
svensk	svensk
jaarli	ерл
jaarli	ярл
sevilla	севілья
todellakin	воістину
tupla	дабл
tupla	двічі
tupla	дубль
tupla	подвійна
tupla	подвійний
tupla	подвійне
unelma	сон
unelma	dream
unelma	мрія
oven	вивіз
oven	двері
porsche	порше
porsche	porsche
filmi	фільм
filmi	плівка
sparta	спарта
lääke	ліки
lääke	медицина
lääke	препарати
lääke	наркотик
kaasu	газова
kaasu	газу
kaasu	газ
blossom	цвітіння
bristol	bristol
lassi	лассі
lassi	calvin
sillanpää	плацдарм
slovenia	словенії
slovenia	словенія
slovenia	словенський
keskusteluissa	дискусії
keskusteluissa	обговорення
keskusteluissa	пленарному
näkyvissä	видима
näkyvissä	видимий
näkyvissä	видно
näkyvissä	видимі
julistaa	оголошувати
julistaa	задає
julistaa	оголошення
julistaa	оголосити
minskin	мінськ
minskin	мінська
minskin	мінську
laivoja	кораблів
laivoja	кораблі
huolto	обслуговування
huolto	супровід
kommunistit	комуністи
kommunistit	комуністичний
kommunistit	комуністична
ocean	океан
mailin	миля
tenori	тенор
rover	rover
rover	ровер
lippua	прапором
lippua	прапорець
lippua	прапор
lippua	прапора
vuotuinen	річну
vuotuinen	річна
vuotuinen	щороку
vuotuinen	річні
vuotuinen	річний
marilyn	мерилін
ratsuväen	кавалерії
järjestäjä	спонсора
järjestäjä	заплатила
järjestäjä	організатор
järjestäjä	організатора
järjestäjä	вузол
järjestäjä	ведуча
järjestäjä	організатор
järjestäjä	організатора
täytti	заповнений
irwin	ірвін
opiskelee	вчиться
opiskelee	навчається
opiskelee	навчання
portin	брама
portin	gate
portin	ворота
säteily	радіація
säteily	випромінювання
säteily	радіації
shawn	шон
kustannukset	вартість
kustannukset	кошти
kustannukset	коштує
hyödyllinen	корисне
hyödyllinen	корисні
hyödyllinen	корисна
hyödyllinen	корисно
hyödyllinen	корисний
hyödyllinen	корисні
hyödyllinen	корисно
hyödyllinen	корисна
hyödyllinen	корисний
kiista	спір
kiista	суперечка
päiväkirja	журнал
päiväkirja	journal
päiväkirja	щоденник
päiväkirja	щоденник
reinhold	рейнгольд
vietnam	vietnamese
lähdön	відправлення
lähdön	виліт
irc	irc
operaattori	оператор
operaattori	авіаносець
systeemi	система
systeemi	системи
systeemi	системний
systeemi	системне
systeemi	системна
oikeudenkäynti	судять
indonesia	індонезійський
indonesia	індонезія
indonesia	індонезії
indie	indie
oscarin	оскар
lyö	удар
lyö	хіт
lyö	влучити
lyö	зачепив
lyö	вдарив
kouluja	школах
kouluja	шкіл
säännöllinen	формальні
säännöllinen	регулярний
säännöllinen	звичайний
säännöllinen	формальний
montgomery	монтгомері
tonavan	дунай
ein	германії
tietotekniikan	інформатики
saavutuksia	досягнення
saavutuksia	поставлені
slovakia	словацька
slovakia	словаччині
slovakia	словаччина
vastuun	відповідальність
osoitettu	призначена
osoitettu	оргкомітет
osoitettu	призначені
osoitettu	звернувся
osoitettu	виділено
osoitettu	виділив
osoitettu	віддано
osoitettu	доведено
reinin	рейн
puut	дерев
