хищници	درندگان
ръба	لبه
ръба	اج
ръба	لبۀ
лири	لیره
жозеф	یوسف
жозеф	یوزف
жозеф	ژوزف
жозеф	جوزف
науру	نائورو
нож	چاقوی
нож	چاقو
нож	کارد
нож	چاقویی
антоанета	آنتوانت
изключителни	خالص
изключителни	انحصاری
изключителни	استثنایی
изключителни	استثنائی
астронавти	فضانوردان
астронавти	فضانورد
стадий	مرحله
стадий	صحنه
стадий	استیج
арка	آرچ
арка	arch
арка	طاق
феномен	پدیده
феномен	پدیدهای
пакет	بسته
пакет	بقچه
пакет	بسته
пакет	بستۀ
дружба	دوستی
дружба	رفاقت
дружба	مصاحبت
дружба	همراهی
гигантски	غول
означение	نشانگذاری
означение	نماد
нахия	nahiyah
сюзън	سوسن
сюзън	سوزان
сеул	سئول
традиционна	سنتی
борса	معاوضه
борса	تبادل
борса	مبادله
обичам	دوست
обичам	عشق
обичам	عشقی
обичам	عاشق
психоанализа	روانکاوان
психоанализа	روانکاوی
панония	پانونیا
панчо	پانچو
тор	کود
тор	کود
тор	tor
тор	تور
тор	تور
тор	ثور
мита	افسانه
мита	اسطوره
мита	تکالیف
мита	وظایف
доказано	ثابت
биологични	زیستی
клонове	شعبه
клонове	شاخه
витамин	ویتامین
плажове	سواحل
духове	ارواح
духове	اشباح
обвивка	پوش
обвивка	شل
обвивка	پوسته
приключване	تکمیل
приключване	خاتمه
публична	عمومی
публична	علنی
публична	همگانی
публична	public
агиос	اگیواس
вулкан	آتشفشان
вулкан	وولکان
бежанците	مهاجر
бежанците	پناهنده
бежанците	پناهندگان
бежанците	پناهجویان
бежанците	مهاجرین
собственици	صاحبان
осветление	نورپردازی
осветление	روشنایی
повторение	تکرار
повторение	تکرار
хайделберг	هایدلبرگ
папи	پاپی
папи	پاپی
дъблин	دابلین
дъблин	دوبلین
парламентът	مجلس
парламентът	پارلمان
ренесанс	رنسانس
зигфрид	زیگفرید
шеста	ششمین
шеста	ششم
шеста	ششمی
юлих	یولیش
керамични	سرامیک
мощен	توانا
мощен	نیرومند
мощен	پرقدرت
мощен	قدرتمند
мощен	تواناست
равнини	دشتی
равнини	دشتهای
пътуват	مسافرت
пътуват	travel
пътуват	سفر
градината	باغچه
градината	باغ
градината	گاردن
градината	بهشت
марш	مارش
марш	مرداب
търнър	ترنم
търнър	ترنر
матиас	ماتیاس
матиас	ماتیاس
матиас	ماتیاس
симфония	سمفونی
провал	شکست
провал	نارسایی
провал	خرابی
сухо	خشک
сухо	خشکیده
предна	جبهه
предна	جلو
свазиленд	سوازیلند
дъга	قوس
дъга	کمان
удобно	راحتی
удобно	راحت
двойна	دابل
постигането	دستاوردهای
постигането	کامیابی
команди	فرمانها
команди	فرمانهای
привлече	مجذوب
мъртви	مرده
мъртви	مردن
мъртви	مُرده
мъртви	مردگان
телефон	گوشی
телефон	تلفن
телефон	تلفن
фокус	کانون
фокус	تمرکز
редиците	درجات
редиците	صف
чести	رایج
чести	معمولی
чести	مشترک
дион	دیون
ела	بیا
ела	بیاید
устава	احکام
армстронг	آرمسترانگ
триумф	پیروزی
триумф	تریومف
манхатън	منهتن
клиентите	مشتریان
клиентите	مشتری
томпсън	تامسون
томпсън	تامپسون
записки	یادداشتها
записки	یادداشتهای
записки	نوت
прадеш	پرادش
пепел	آش
пепел	اش
пепел	خاکستر
тактика	تاکتیکهای
тактика	تاکتیک
тактика	رزم
тактика	تاکتیک
репресии	سرکوبی
репресии	سرکوب
инфекция	عفونت
инфекция	عفونتهای
инфекция	آلودگی
инфекция	عفونت
влечуги	خزندگان
влечуги	خزنده
влечуги	خزندگان
синдром	نشانگان
синдром	سندروم
синдром	سندرم
мелник	ملنیک
приемник	میزبان
приемник	گیرنده
банда	band
банда	بند
банда	گروه
банда	گنگ
конкуренция	مسابقه
конкуренция	رقابت
конкуренция	رقابتهای
конкуренция	رقابتها
променлива	متغیر
променлива	متغیرها
чудо	مارول
чудо	معجزه
чудо	تعجب
кобург	کوبورگ
багдад	بغداد
променено	تغییریافته
чума	طاعون
борд	بورد
борд	تخته
консумация	مصرف
дракон	اژدهای
дракон	دراگون
дракон	اژدها
лук	پیاز
лук	پیاز
младежта	جوانی
младежта	جوانان
арканзас	آرکانزاس
електричество	الکتریسیته
електричество	برق
електричество	برقی
електричество	الکتریکی
електричество	الکتریک
привилегии	امتیازات
седмицата	هفته
седмицата	هفتۀ
хюсеин	حسین
хюсеин	حسین
хюсеин	hüseyin
батман	بتمن
кафяв	قهوهای
кафяв	براون
предполагат	پیشنهاد
включено	شامل
пръстените	حلقه
напредък	پیشرفت
напредък	پیشرفتی
напредък	پیشرفت
напредък	ترقی
вековете	قرنها
рейчъл	راشل
рейчъл	ریچل
рейчъл	راچل
ниши	نیشی
роуз	رز
роуз	رُز
увреждания	غیرفعال
увреждания	ناتوانی
увреждания	معلولیت
увреждания	افتادگی
увреждания	معلول
съществена	ضروری
колинс	کالینز
дарвин	داروین
информатика	انفورماتیک
братислава	براتیسلاوا
снаряди	صدف
нели	نلی
нели	نلی
недоволство	نارضایتی
недоволство	نارضایتی
отмъщение	انتقام
отмъщение	کینه
отмъщение	انتقام
повреди	صدمه
повреди	آسیب
милена	میلنا
любима	محبوب
любима	دلبند
екипировка	تجهیزات
екипировка	وسایل
депутатите	قانونگذاران
стабилност	پایداری
стабилност	ثبات
бедни	فقیران
бедни	فقیر
бедни	فقیری
бедни	بیچاره
бюрото	بیرو
словашки	اسلواکی
царуването	سلطنت
царуването	حکمرانی
тръба	لوله
тръба	لوله
месото	گوشتی
месото	گوشته
месото	گوشت
такси	تاکسی
такси	تاکسی
такси	شهریه
албумите	آلبومهای
лош	bad
лош	بد
докторат	دکترای
разработване	توسعه
разработване	توسعه
документа	سند
документа	نوشتار
запазено	رزرو
запазено	محفوظ
статуи	مجسمه
математическа	ریاضی
айнщайн	اینشتین
айнщайн	انیشتین
коридор	دالان
лора	لورا
слухове	شایعات
слухове	شایعاتی
плячка	درندگان
плячка	طعمه
плячка	شکارش
плячка	تاراج
плячка	غنیمت
параклиса	نمازخانه
параклиса	چپل
параклиса	کلیسای
пера	پر
пера	پرهای
противниците	مخالفان
младен	ملادن
лоша	bad
лоша	بد
закрито	سالنی
зигмунд	زیگموند
петрол	بنزینی
петрол	بنزین
петрол	نفت
петрол	اویل
петрол	روغن
петрол	نفت
лихтенщайн	لیکتنستاین
беатрис	بئاتریس
суматра	سوماترا
оператори	تکمیلی
слива	آلو
слива	آلوچه
кадафи	قذافی
зареждане	بارگذاری
зареждане	بار
зареждане	اتهام
зареждане	شارژ
зареждане	بارگیری
зареждане	بارگذاری
зареждане	انها
харисън	هریسون
елзас	آلزاس
добавка	الحاق
добавка	ذیل
добавка	افزودنی
рап	rap
рап	رپ
интервал	فاصله
лингвистика	زبانشناسی
моделите	مدلهای
панорама	پانوراما
хрушчов	خروشچف
лидия	لیدیا
антонин	آنتونن
възможен	امکان
възможен	ممکن
пелопонес	پلوپونز
раул	رائول
миграция	وطن
миграция	مهاجرت
мюзикъл	موزیکال
работилница	کارگاه
галактика	کهکشان
галактика	گلکسی
кавалерия	سواران
кавалерия	سواره
клиент	مشتری
клиент	مشتری
клиент	کارخواه
клиент	موکل
завой	رویت
завой	نوبت
завой	خم
завой	بند
емили	امیلی
светкавица	برق
светкавица	فلش
светкавица	flash
светкавица	فلاش
светкавица	صاعقه
светкавица	برق
светкавица	آذرخش
мазнини	چربیها
мазнини	چاقی
мазнини	چربی
мазнини	fat
мазнини	چاق
мазнини	تپل
самоубийство	انتحاری
самоубийство	خودکشی
самоубийство	انتحار
достигане	رسا
крайни	افراطی
смесена	مخلوط
смесена	مختلط
соломон	سلیمان
соломон	سولومون
теодорих	تئودریک
екрана	پرده
гласни	مصوت
глазгоу	گلاسکو
растат	رشد
съкровище	گنجینه
съкровище	گنج
кейн	قابیل
кейн	کین
кейн	نیشکر
положително	مثبت
заплата	حقوق
моравия	موراویا
страбон	استرابون
американци	آمریکاییها
ренесанса	رنسانس
богатството	ثروت
богатството	مال
лена	لینا
лена	لنا
етажа	طبقه
етажа	طبقات
ограничаване	محدودیت
ограничаване	محدودیت
ограничаване	حد
ограничаване	محدود
ограничаване	محدودیت
ограничаване	مهار
конник	سوارکار
конник	موتورسواری
конник	سوار
доза	دوز
доза	دوز
пиеро	پیرو
петра	پترا
мускул	عضله
мускул	ماهیچه
мускул	عضلات
тбилиси	تفلیس
колонията	کلونی
колонията	مستعمره
сиви	خاکستری
сиви	گری
сиви	خاکستری
полезна	مفید
полезна	مفید
размножаване	انتشار
размножаване	شکوفا
размножаване	پرورش
статуята	مجسمه
статуята	تندیس
териториално	ارضی
верни	باوفا
верни	وفادار
верни	راست
верни	حقیقی
верни	درست
верни	true
верни	وفادار
верни	مؤمن
верни	امین
верни	باوفا
алпите	آلپ
демо	دمو
архиви	رکوردز
архиви	آرشیو
архиви	بایگانی
архиви	آرشیو
архиви	بایگانی
документите	اسناد
вечеря	شام
вечеря	عصرانه
вечеря	شام
померания	پومرانی
анализи	تحلیل
анализи	آنالیز
анализи	بصیرت
съдържаща	حاوی
бедствия	فجایع
бедствия	حوادث
бедствия	مصیبت
бедствия	فاجعه
бедствия	مصیبتی
бедствия	حادثه
производни	مشتقات
влажни	مرطوب
влажни	خفقان
подводница	زیردریایی
подводница	ساب
подводница	فرعی
перо	پر
перо	پرم
лекува	مداوا
арктика	قطبی
въведение	معرفی
въведение	مقدمه
въведение	اشنایی
въведение	آشنایی
въведение	مقدمه
известия	notifications
известия	اعلان
бара	bara
бара	بارا
важност	اهمیت
торпедо	اژدر
шрифт	قلم
бюст	بالاتنه
пустиня	کویر
пустиня	بیابان
пустиня	بیابانی
пустиня	صحرا
пустиня	اعراب
новгород	نووگورود
локомотиви	locomotives
намален	خواص
зърна	حبوبات
зърна	دانه
зърна	گندم
сенат	سنا
сенат	سنای
съображения	ملاحظات
утре	فردا
утре	فردایی
авторитет	تسلط
авторитет	سلطه
японско	ژاپنی
преки	دایرکت
преки	direct
ваня	وانیا
шведска	سوئدی
тотнъм	تاتنهام
гробници	گورها
атланта	آتلانتا
елит	نخبگان
елит	نخبه
рита	ریتا
рон	ران
рон	رون
стратегическо	راهبردی
стратегическо	استراتژیک
темите	موضوعات
темите	موضوعاتی
паскал	پاسکال
трио	trio
указания	دستورالعملها
указания	دستورالعمل
трагедията	تراژدی
бунтовниците	شورشی
бунтовниците	یاغی
бунтовниците	طغیان
малцинства	اقلیتهای
фред	فرد
основания	مناطقی
алеко	آلکو
грозни	زشته
грозни	زشتی
грозни	زشت
грозни	گروزنی
железни	آهن
близнаци	دوقلو
близнаци	جمینای
близнаци	دوقلوها
близнаци	دوقلو
совалка	شاتل
замъци	قصری
тигър	ببر
тигър	ببری
тигър	تایگر
тигър	پلنگ
видя	see
видя	دیدن
имигранти	مهاجران
имигранти	مهاجرین
имигранти	مهاجر
имигранти	مهاجران
имигранти	مهاجرین
имигранти	مهاجری
имигранти	مهاجر
вкъщи	خانه
вкъщи	وطن
вкъщи	خونه
вкъщи	آغازه
нарушаване	اعوجاج
обсерватория	رصد
обсерватория	رصدخانه
азаренка	آزارنکا
виолета	بنفش
виолета	بنفشه
механик	مکانیک
караджа	کاراجا
младост	جوانی
младост	جوانان
поддръжници	حامیان
познато	آشنای
познато	آشنا
познато	اشنا
познато	آشناست
изолация	عایق
изолация	جداسازی
изолация	انزوا
гробища	قبرستان
гробища	گورستان
съвместни	مفصل
момичетата	دخترها
момичетата	دختران
заплашва	تهدید
придвижване	جنبش
придвижване	تحرک
придвижване	نهضت
далас	دالاس
съставна	کامپوزیت
съставна	مرکب
мода	couture
мода	فشن
мода	مد
мода	fashion
мода	مُد
пие	نوشیدن
пие	آشامیدنی
пие	نوشیدنی
верде	ورده
верде	ورد
управляващ	مدیریت
преминал	بگذشت
преминал	گذشت
смях	خنده
смях	خندان
смях	خندیدن
смях	خنده
смях	خندیدم
смях	بخند
компилация	کامپایل
компилация	تالیف
клане	کشتار
клане	کشتار
клане	اسلاتر
клане	کشتار
клане	سلاخی
симпсън	سیمپسون
образователна	آموزنده
образователна	آموزشی
детектив	کارگاه
детектив	کارآگاه
детектив	کاراگاه
албанско	آلبانیایی
приключенията	ماجراهای
редове	سطرها
редове	صف
редове	خطوط
предимства	فواید
предимства	منافع
предимства	مزایای
предимства	مزایای
предимства	مزایا
римляни	رومیها
еоод	ltd
формати	قالبهای
отворено	باز
квалификации	صلاحیت
печалба	سودش
печалба	منفعت
печалба	سودی
печалба	سود
печалба	سود
одобрение	تصویب
демокрацията	دمکراسی
демокрацията	دموکراسی
фиат	فیات
блейк	بلیک
еврейско	یهود
еврейско	یهودیان
еврейско	یهودی
антична	آنتیک
антична	عتیقه
русо	روسو
русо	روسو
памук	کاتن
памук	کتان
памук	پنبه
ахил	آشیل
ахил	آکیله
четвъртък	پنجشنبه
романтични	رمانتیکی
романтични	رومانتیک
романтични	رمانتیک
романтични	عاشقانه
батальона	گردان
алгоритъм	الگوریتم
партньорство	شراکت
партньорство	همکاری
партньорство	شرکتی
дин	الدین
дин	din
стрийт	استریت
стрийт	خیابانی
стрийт	خیابان
стрийт	خیابون
пето	پیتو
пето	پنجم
пето	پنجمی
пето	پنجمین
наема	اجاره
наема	کرایه
конфедерация	کنفدراسیون
юнг	جونگ
юнг	یونگ
инвазия	تهاجم
инвазия	هجوم
местообитания	زیستگاه
глина	کلی
глина	گلی
чисти	تمیز
чисти	پاکم
чисти	پاک
облаци	ابری
облаци	ابر
облаци	ابرها
облаци	ابری
облаци	ابر
олтар	محراب
олтар	قربانگاه
олтар	عبادتگاه
олтар	معبد
олтар	زیارتگاه
биг	بیگ
биг	big
биг	بزرگ
биг	بزرگی
бригадата	تشکیلات
бригадата	تیپ
бригадата	الرسول
седма	هفتمین
седма	هفتم
козината	خز
вале	بایه
вале	واله
вале	جک
вале	واله
вале	ملازم
свещена	مقدس
смъртни	فناپذیر
смъртни	فانی
арменци	ارمنیان
арменци	ارمنی
арменци	ارامنه
арменци	ارمنیان
арменци	ارمنی
предложен	پیشنهاد
предложен	امانت
предложен	خواستگاری
предложен	پیشنهادی
джън	ژنگ
лил	لیل
лил	لیل
историография	تاریخنگاری
казимир	کازیمیر
панаир	کارناوال
панаир	فر
панаир	عادلانه
панаир	منصفانه
панаир	انصاف
панаир	منصف
психиатър	روانپزشک
мембрана	غشای
мембрана	غشاء
конете	اسبان
конете	اسب
конете	اسبها
травма	جراحت
травма	آزاری
травма	زخم
последствия	عواقب
намерението	قصدی
намерението	قصدم
намерението	قصد
сабин	سابین
университетите	دانشگاههای
университетите	دانشگاهها
ленти	نوارها
ленти	نوارهای
ленти	استریپ
сервий	سرویوس
рамки	فریم
вратите	درها
кабо	کیپ
кабо	شنل
кабо	دماغه
кабо	کابو
регулиране	تنظیم
регулиране	تعدیل
регулиране	تدبیر
скъпи	عزیز
скъпи	جانم
скъпи	عزیزم
есе	مقاله
потомък	قلمه
потомък	زادگان
потомък	نواده
кавала	کاوالا
процесор	پرداز
процесор	پردازنده
процесор	پردازشگر
трудни	سخت
трудни	سختی
трудни	دشوار
справедливост	عدالت
справедливост	عدل
вар	ور
вар	واروس
вар	آهک
вар	لایم
доставка	تحویل
доставка	زایمان
доставка	کشتیرانی
доставка	تامین
бенд	خم
бенд	بند
влага	رطوبت
влага	رطوبت
странно	عجیب
странно	عجیبی
странно	عجیب
странно	فرد
странно	عجیب
уста	دهانت
уста	دهان
уста	دهن
хага	هیگ
кит	نهنگ
кит	وال
беневенто	بنونتو
форест	فارست
форест	فارست
форест	جنگل
форест	جنگلی
футуна	فوتونا
клиника	مطب
клиника	درمانگاه
клиника	کلینیک
пиза	پیزا
бин	bin
бин	لاوک
жълта	زرد
тито	تیتو
готовност	تمایل
мил	میل
мил	آسیاب
инструктор	instructor
инструктор	مدرس
таланти	استعداد
таланти	استعدادها
таланти	استعداد
таланти	ذکاوت
таланти	استعدادها
дюселдорф	دوسلدورف
обичай	سفارشی
констанций	کنستانتیوس
сива	خاکستری
сива	گری
сива	خاکستری
изкопаеми	فسیلی
изкопаеми	فسیل
отзиви	نقدهای
рожден	تولد
рожден	زادروز
роджърс	راجرز
скрити	پنهان
скрити	مخفی
съхраняване	انبار
съхраняване	ذخیره
модула	کاوشگر
телескоп	تلسکوپ
отговорни	مسئول
отговорни	مسول
отговорни	مسئولیت
осетия	اوستیای
ангели	فرشتگان
толкин	تالکین
кантон	کانتون
насекомо	حشره
рамо	شونه
рамо	شانه
фабрики	کارخانجات
малц	مالت
билборд	بیلبورد
нюкасъл	نیوکاسل
европейците	اروپاییها
жлеза	غده
доставя	مهلکه
доставя	تحویل
сбор	مجموع
сбор	مبلغ
приск	پریسکوس
газа	غزه
мек	ملایم
мек	نرمه
мек	نرمی
мек	سافت
мек	نرم
модернизация	ارتقاء
избрано	برگزیده
избрано	برگزیده
сигизмунд	زیگیسموند
отрасли	صنایع
чувствата	احساسات
чувствата	احساس
чувствата	احساساتی
упадък	انقیاد
неутрална	بیطرف
неутрална	خنثی
родригес	رودریگز
родригес	رودریگز
родригес	رودریگز
дъщерите	دختران
николаевич	نیکولایویچ
райна	راینا
лозя	تاکستان
лозя	تاکستان
поли	پالی
поли	پائولی
поли	دامن
поли	پلی
гнездо	لانه
гнездо	آشیانه
гнездо	لونه
провери	بررسی
лиза	لیسا
лиза	لیزا
лиза	لایزا
чужда	خارجه
чужда	خارجی
тестване	آزمون
тестване	آزمودن
тестване	آزمایش
тестване	تست
авиацията	هوانوردی
авиацията	هواپیمایی
виното	شرابی
виното	شراب
виното	باده
точна	دقیق
кантакузин	کانتاکوزنوس
чешката	چک
чешката	چکی
психолози	روانشناسان
линейни	خطی
временен	موقت
временен	موقتی
временен	موقت
временен	موقتی
отон	اوتان
графичен	نگاره
графичен	graphic
графичен	نگارهای
графичен	گرافیکی
графичен	نگارهای
графичен	گرافیک
графичен	گرافیکی
водачите	رانندگان
ядрено	هسته
вариации	تغییرات
полу	semi
полу	نیمه
верди	وردی
нба	nba
нба	انبیای
разход	هزینه
разход	هزینه
атома	اتم
клипове	سمتش
клипове	ویدئوهای
клипове	ویدیو
клипове	ویدیوها
клипове	ویدیوهای
искра	جرقه
искра	اسپارک
недостиг	کمبود
вер	وره
земетресението	زلزله
алба	آلبا
алба	البا
логически	منطقی
логически	منطق
логически	منطقی
пионер	پیشگام
пионер	پایونیر
лео	لئو
лео	leo
заем	قرض
заем	وام
хенриета	هنریتا
цру	cla
мартинес	مارتینز
наблюдавани	پایش
решетка	گریل
решетка	توری
решетка	گرید
решетка	شبکه
решетка	توری
пабло	پابلو
читатели	خوانندگان
корупция	تباهی
корупция	فساد
социалисти	سوسیالیست
намюр	نامور
марсел	مارسل
симптомите	علائم
талин	تالین
заводи	گیاهان
заводи	کارخانجات
композира	نگارش
композира	سرودن
композира	نگارش
композира	تألیف
предотвратяване	پیشگیری
антични	آنتیک
антични	عتیقه
равена	راونا
коалицията	ائتلاف
политики	سیاستهای
мартен	سمور
максимален	حداکثر
максимален	بیشینه
клей	کلی
клей	گلی
грубо	خام
грубо	ناهموار
грубо	خروشان
географ	جغرافیدان
франки	فرانکی
жозе	جوز
жозе	خوزه
жозе	خسه
жозе	ژوزه
жозе	خوزه
хармония	هارمونی
хармония	هماهنگی
бъдещ	اینده
бъдещ	future
бъдещ	آینده
нацистите	نازیها
декоративни	تزئینی
декоративни	زینتی
декоративни	زینتی
загубите	خسارات
загубите	ضرر
уокър	واکر
уокър	والکر
единбург	ادینبورگ
горене	احتراق
горене	سوزاندن
горене	سوختن
измислен	اختراع
измислен	خیالی
тежест	سربار
тежест	باری
тежест	وزنش
тежест	وزنه
тежест	وزن
тежест	شدت
тежест	جدیت
репутация	اعتبار
репутация	آبرو
репутация	شهرت
репутация	شهرتش
споменаване	یادی
автобус	اتوبوس
автобус	bus
милош	میلوس
олимпия	olympia
олимпия	المپیا
разследването	تحقیق
разследването	تحقیقات
омар	خرچنگ
омар	عمر
изпит	امتحان
изпит	معاینه
изпит	آزمون
изпит	امتحانات
мечта	دریم
мечта	خواب
мечта	رویا
мечта	رؤیا
мечта	رویای
мечта	رؤیای
диплома	دیپلم
комикси	کمیک
комикси	کمدی
комикси	کمیک
комикси	مصور
събрания	جلسات
истинско	رئال
истинско	حقیقی
истинско	واقعی
въведено	معرفی
установен	تمکین
синт	سینت
ферма	مزرعه
ферма	فارم
ферма	فرما
троя	تروا
троя	تروی
благородник	بزرگوار
благородник	نوبل
благородник	اصیل
благородник	گرامی
благородник	نجیب
перес	پرز
укрепване	تقویت
таен	محرمانه
таен	رازی
таен	راز
таен	مخفی
спин	ایدز
окръжност	چرخه
окръжност	دایره
частица	ذرات
частица	ذره
олимп	الیمپوس
гробището	قبرستان
гробището	گورستان
гробището	قبرستان
хотели	هتلهای
хотели	هتلها
пистолет	تفنگ
пистолет	تفنگی
пистолет	اسلحه
арест	بازداشت
арест	توقیف
арест	دستگیر
арест	دستگیری
ресурс	منبع
пир	مهمانی
пир	عید
пир	ضیافت
пир	جشن
реалността	واقعیت
преценка	داوری
преценка	قضاوت
преценка	حکم
преценка	حاکمیت
преценка	ارزیابی
преценка	قضاوت
преценка	حکم
преценка	قضاوتی
преценка	داوری
оформление	چیدمان
пода	کف
пода	کفپوش
пода	طبقه
фараон	فرعون
легиона	لژیون
легиона	سپاه
линда	لیندا
изключителен	برجسته
изключителен	استثنایی
изключителен	استثنائی
демонстрация	تظاهرات
шарлот	شارلوت
анимация	پویانمایی
анимация	انیمیشن
анимация	کارتون
сад	شاده
шалке	شالکه
маркиз	مارکیز
маркиз	مارکی
внос	واردات
внос	واردشده
внос	وارداتی
централни	مرکزی
централни	سنترال
централни	مرکز
куб	مکعب
вината	گناه
автомобилна	خودرو
автомобилна	خودروسازی
невски	نوسکی
дебела	ضخیم
дебела	کلفت
дебела	چاقی
дебела	چربی
дебела	fat
дебела	چاق
дебела	تپل
тирел	تایرل
моряци	ملوان
месечна	ماهانه
месечна	ماهنامه
месечна	ماهیانه
покер	پوکر
отзад	عقب
мит	mit
мит	افسانه
мит	اسطوره
хубава	خوشگل
хубава	خوشگله
хубава	خیلی
хубава	خوبی
хубава	قشنگ
хубава	قشنگه
робинсън	رابینسون
убеждения	محکومیت
убеждения	اعتقاداتش
убеждения	اعتقادات
убеждения	عقاید
убеждения	باورهای
урал	اورال
хъдсън	هادسون
хъдсън	هادسن
ценен	ارج
ценен	ارز
ценен	ارزشمند
правен	مجاز
правен	قانونی
правен	حقوقی
дискриминация	تبعیض
митридат	مهرداد
плиний	پلینی
монца	مونتزا
драмата	درام
харт	هارت
индивид	شخصی
индивид	فرد
позволено	مجاز
работен	کار
филипс	فیلیپس
филипс	فیلیپس
тъмен	دارک
тъмен	تاریک
тъмен	تیره
антигуа	آنتیگوا
прозорци	ویندوز
полицай	افسر
полицай	سرکار
бисмарк	بیسمارک
бомбардировки	بمباران
бомбардировки	بمبگذاری
бомбардировки	بمباران
сант	سانت
одобрен	تأیید
монархията	شهریاری
упражнения	مشق
упражнения	ورزش
упражнения	تمرین
майот	مایوت
свине	خوک
цивилизации	تمدنهای
цивилизации	civilisations
алонсо	آلونسو
алонсо	آلونزو
худ	هود
отстъпление	نشینی
изправен	یکتاپرست
монтаж	نصب
монтаж	مونتاژ
монтаж	مناسبات
монтаж	درخور
монтаж	تدوین
монтаж	ویرایش
мастърс	اساتید
мастърс	استادان
мастърс	اربابان
мастърс	مسترز
плати	تاوان
плати	پرداخت
квадрат	مربع
квадрат	میدان
фернандес	فرناندز
фернандес	فرناندز
