slovacchia	slovaquie
tifosi	supporters
tifosi	soutiens
ucraino	ukrainiennes
ucraino	ukrainien
ucraino	ukrainienne
ucraino	ukrainiens
franchigia	franchise
franchigia	franchises
franchigia	franchisé
franchigia	franchisés
giù	down
giù	descendre
tessuti	tissus
tessuti	toiles
tessuti	tissu
tessuti	tissus
josef	josef
martínez	martínez
finalisti	finaliste
finalisti	finalistes
finalisti	finalistes
allan	allan
mina	mina
incrociatore	cruiser
incrociatore	croiseur
nacional	nacional
antonino	antonino
essenziale	essentiel
essenziale	indispensable
essenziale	essentielles
essenziale	essentielle
essenziale	essentiels
essenziale	essentiels
essenziale	essentielles
essenziale	essentiel
duello	duel
duello	duels
immediato	immédiates
immediato	immédiat
immediato	immédiats
immediato	immédiate
immediato	immédiatement
leggeri	lumiere
leggeri	lumière
leggeri	légère
leggeri	léger
leggeri	léger
leggeri	légèreté
leggeri	légère
leggeri	légères
coinvolti	impliqué
coinvolti	impliqués
coinvolti	impliquée
suicidio	suicide
suicidio	suicides
local	locale
local	local
local	locales
local	locaux
carbone	houille
carbone	charbon
carbone	charbon
carbone	carbone
credito	crédit
adriatico	adriatique
adriatico	adriatico
adrian	adrien
adrian	adrian
regolari	ordinaire
regolari	régulière
regolari	régulières
regolari	régulier
famose	fameux
famose	célèbre
famose	célèbres
fiamme	flamme
fiamme	flammes
fiamme	flammes
august	aout
august	août
comunisti	communistes
comunisti	communisme
comunisti	communistes
comunisti	communiste
organismi	organismes
pienamente	complètement
pienamente	pleinement
pienamente	entièrement
pienamente	totalement
terribile	affreux
terribile	horrible
terribile	affreux
terribile	terrible
terribile	épouvantable
terribile	horrible
hell	hell
hell	enfer
kiss	baiser
kiss	kiss
kiss	bisou
gestita	gérée
gestita	gérés
gestita	géré
seattle	seattle
nathan	nathan
topolino	mickey
topolino	souris
wang	wang
sedici	sixteen
sedici	seize
anticipo	advance
anticipo	avancée
anticipo	avance
philadelphia	philadelphie
philadelphia	philadelphia
levi	levi
crimine	délit
crimine	délinquance
crimine	criminalité
crimine	crime
ispirata	inspiré
ispirata	inspirées
ispirata	inspirés
ispirata	inspirée
empire	empire
iscritti	inscrits
iscritti	inscrit
teatri	théâtres
teatri	théâtres
taglia	cut
taglia	couper
taglia	coupé
taglia	coupez
taglia	coupe
taglia	taille
taglia	pointure
taglia	tailles
orange	orange
orange	orangé
orange	oranges
rettangolare	rectangle
rettangolare	rectangulaire
rettangolare	rectangulaires
riposo	reposant
riposo	repos
riposo	repose
intensa	intense
intensa	intenses
laser	laser
laser	lasers
laser	lasers
mentale	mentale
mentale	mental
allenamento	entrainement
allenamento	entraînement
allenamento	pratiquer
allenamento	pratique
allenamento	pratiques
ritratti	portraits
sergente	sergent
sergente	sarge
sergente	sergent
sergente	adjudant
divenire	devenez
divenire	deviennent
divenire	deviens
divenire	devenir
divenire	devenant
divenire	devenir
invenzione	invention
invenzione	inventés
invenzione	inventée
invenzione	inventé
ristorante	restaurant
ristorante	gastronomie
porti	ports
lemmon	lemmon
marchi	marques
marchi	marques
marchi	marks
marchi	marques
borghese	borghese
borghese	bourgeoise
borghese	bourgeoisie
borghese	bourgeois
channel	canal
channel	chaîne
channel	chenal
channel	channel
indipendentemente	indépendamment
polemiche	controverses
polemiche	controverse
polemiche	polémique
polemiche	controverses
frequenta	assiste
tentare	tenter
antologia	anthologie
historia	historia
ritardo	retarder
ritardo	retard
ritardo	délai
ritardo	tardive
ritardo	tardif
ritardo	retard
ritardo	tard
ritardo	retardée
ritardo	retardé
ritardo	retard
ritardo	retardés
ritardo	différé
fauna	faune
cancro	cancer
louise	louise
soprannominato	surnommé
soprannominato	surnommé
soprannominato	surnommée
lima	lima
bande	bandes
bande	groupes
bande	gangs
cappelle	chapelles
beata	bénie
beata	bienheureux
beata	béni
beata	bénis
bis	encore
werner	werner
perfetta	parfaits
perfetta	parfait
perfetta	parfaites
perfetta	parfaite
perfetta	impeccable
perfetta	irréprochable
pontefice	pontife
autrice	auteure
autrice	auteur
marsiglia	marseille
marsiglia	marseille
prete	priest
prete	prêtre
prete	curé
marcos	marcos
cadavere	cadavre
cadavere	cadavre
periferia	faubourgs
periferia	banlieue
periferia	banlieues
periferia	faubourg
periferia	banlieue
periferia	périphérie
periferia	périphérie
periferia	banlieue
cranio	crâne
cranio	crâne
cranio	crânes
nono	ninth
nono	neuvième
iscritto	inscrits
iscritto	inscrit
cosenza	cosenza
sguardo	regard
borgogna	bourgogne
borgogna	bourgogne
orizzontale	horizontales
orizzontale	horizontaux
orizzontale	horizontal
orizzontale	horizontalement
orizzontale	horizontale
catturare	capturer
catturare	capture
catturare	capter
catturare	capturer
catturare	capture
catturare	capter
assisi	assise
strati	pondeuses
strati	couches
strati	calques
strati	couche
strati	calque
strati	strates
campana	campana
campana	cloche
campana	clochette
campana	bell
hart	hart
frederick	frédéric
frederick	frederick
tombe	tombes
tombe	tombeaux
tombe	graves
tombe	fosses
tombe	tombes
tombe	tombeaux
studia	etude
studia	étudier
studia	étude
ricostruita	reconstitué
ricostruita	reconstruits
ricostruita	reconstruite
ricostruita	reconstruit
ricostruita	reconstruits
ricostruita	reconstruite
ricostruita	reconstruit
gambe	cuisses
gambe	jambes
gambe	pattes
puro	pures
puro	purs
puro	pur
puro	pure
miles	milles
miles	kilomètres
miles	miles
connessione	branchement
connessione	raccordement
connessione	connexion
connessione	connecter
connessione	raccordement
connessione	reliant
connessione	connexion
olandesi	hollandaise
olandesi	néerlandaise
olandesi	néerlandais
olandesi	hollandais
var	var
marcus	marcus
rappresentanza	représentation
anziani	aînés
anziani	seniors
anziani	âgées
predecessore	prédécesseur
canne	roseaux
intellettuale	intellectuelle
intellettuale	intellectuel
intellettuale	intellectuels
marittima	maritimes
marittima	maritime
full	complète
full	pleine
full	plein
full	complet
classiche	classiques
classiche	classic
classiche	classique
classiche	classiques
efficacia	efficacité
efficacia	effectivité
efficacia	efficacité
efficacia	effectivité
spot	spot
batterie	batterie
batterie	pile
batterie	accumulateur
batterie	batterie
batterie	batteries
batterie	piles
batterie	accumulateurs
minnesota	minnesota
collezioni	collections
gigi	gigi
riservato	réservés
riservato	réservée
riservato	réservé
riservato	confidentielle
riservato	confidentiel
riservato	confidentiels
riservato	confidentielles
manoscritto	manuscrit
manoscritto	manuscrits
jake	jake
completamento	achèvement
acronimo	acronyme
acronimo	sigle
murphy	murphy
premiato	récompensée
premiato	récompensés
premiato	récompensé
armatura	blindage
armatura	armures
armatura	armure
armatura	blindage
armatura	armures
armatura	armure
buio	noir
buio	foncé
buio	sombre
buio	noirceur
buio	pénombre
buio	obscurité
buio	ténèbres
dono	cadeau
dono	cadeaux
allevamento	élevage
allevamento	reproducteurs
allevamento	elevage
allevamento	reproduction
statistica	statistiques
statistica	statistique
statistica	statistique
laterza	laterza
aaron	aaron
jules	jules
johannes	johannes
prestigio	prestige
main	principal
main	principales
main	main
main	principale
main	principaux
munizioni	munition
munizioni	munitions
munizioni	munition
munizioni	munitions
munizioni	munition
munizioni	munitions
votato	votés
votato	votées
votato	votée
votato	voté
esisteva	existait
esisteva	existé
esisteva	existaient
trionfo	triomphe
trionfo	triompher
trionfo	triumph
identificato	identifiée
identificato	identifié
identificato	identifiées
identificato	identifiés
english	anglaise
english	francais
english	anglais
lettori	lectorat
lettori	lecteur
lettori	lecteurs
ohio	ohio
approvato	approuvé
approvato	approuvée
approvato	approuvés
approvato	agréée
approvato	approuvées
approvato	agréé
organizzatore	organisateur
organizzatore	organisatrice
organizzatore	organisateur
glenn	glenn
vertici	sommets
industrie	industries
gemelli	jumelle
gemelli	jumeau
gemelli	jumeaux
gemelli	jumelles
gemelli	jumelles
gemelli	jumeaux
invitato	invité
invitato	invitée
invitato	invitées
presumibilmente	vraisemblablement
presumibilmente	supposé
presumibilmente	prétendument
presumibilmente	prétendument
treccani	treccani
pareri	opinions
riuniti	réunie
riuniti	réunis
riuniti	réuni
riuniti	retrouvailles
meccanico	concessionnaires
meccanico	concessionnaire
meccanico	mécano
meccanico	mécanicien
meccanico	mécanique
meccanico	mécaniques
lane	lane
trilogia	trilogie
servire	servant
servire	portion
servire	servir
servire	servir
servire	sers
servire	servez
abile	habile
abile	habiles
abile	adepte
abile	habile
abile	habiles
torres	torres
ampliato	élargi
ampliato	élargie
ampliato	étendu
ampliato	agrandi
incluse	incluses
incluse	inclus
incluse	incluse
incluse	compris
temporaneamente	temporairement
temporaneamente	provisoirement
temporaneamente	momentanément
temporaneamente	provisoire
temporaneamente	temporaires
temporaneamente	temporaire
dame	dame
virgilio	virgil
virgilio	virgile
virgilio	virgilio
grassi	graisses
grassi	grassi
grassi	grasse
grassi	gros
grassi	gras
grassi	graisses
grassi	graisse
contenuta	contenues
contenuta	contenaient
panzer	panzer
cecilia	cecilia
marziali	martial
marziali	martiaux
sopravvissuti	survivants
sopravvissuti	rescapés
sopravvissuti	survivant
sopravvissuti	survécu
acquisizione	acquisition
morris	morris
depressione	dépressions
depressione	dépression
dirigenti	cadres
dirigenti	exécutifs
dirigenti	dirigeants
javier	javier
spessore	épaisseur
spessore	épaisseurs
identificazione	identification
operativa	opérationnelles
operativa	opérationnel
operativa	opérationnels
operativa	opérationnelle
inviata	envoyés
inviata	envoyées
inviata	envoyée
inviata	envoyé
petto	poitrine
petto	thoracique
petto	torse
petto	coffre
petto	mammaire
petto	poitrine
petto	seins
petto	sein
circostanze	circonstances
circostanze	circonstance
circostanze	circonstances
igor	igor
descrivere	décrivez
descrivere	décrire
devil	démon
devil	devil
devil	diable
interpretazioni	interprétations
terrestri	terrestre
terrestri	terrestres
terrestri	terriens
rilievi	reliefs
biografie	biographies
biografie	biographiques
biografie	biographie
biografie	biographiques
repubblicano	républicaine
repubblicano	républicain
repubblicano	républicains
pavimento	etage
pavimento	étage
pavimento	sol
pavimento	plancher
legali	juridique
legali	légal
legali	légales
legali	légale
zucchero	sucre
zucchero	sucres
funzionalità	fonctionnalités
funzionalità	fonctionnalité
pdc	pdc
sacerdoti	prêtres
este	este
clero	clergé
rappresentazioni	représentations
rappresentazioni	performances
rappresentazioni	spectacles
rappresentazioni	représentations
frontale	front
frontale	avant
frontale	devant
frontale	frontal
frontale	frontale
england	angleterre
ordinario	ordinaire
ordinario	ordinaires
soppressione	abolie
soppressione	abolition
soppressione	abolir
soppressione	suppressions
soppressione	effacement
soppressione	suppression
soppressione	suppression
soci	partenaires
pérez	perez
pérez	perez
pérez	pérez
hugh	hugues
hugh	hugh
again	again
again	encore
eserciti	armées
secondarie	secondaires
secondarie	secondaire
specializzata	spécialisé
specializzata	spécialisée
specializzata	spécialisées
specializzata	spécialisés
specializzata	spécialisé
specializzata	spécialisée
specializzata	spécialisées
specializzata	spécialisés
manovra	manoeuvre
manovra	manœuvre
manovra	manoeuvre
manovra	manœuvrer
manovra	manœuvre
valencia	valence
valencia	valencia
variazione	variations
variazione	variante
variazione	variation
variazione	modifier
variazione	changements
variazione	changer
variazione	changement
archivi	archives
away	loin
sospensione	suspension
sospensione	sursis
sospensione	suspendre
sospensione	suspendu
sospensione	suspensions
pirati	pirates
pirati	pirate
pirati	pirates
tavole	tables
tavole	tableaux
veneziano	vénitienne
veneziano	vénitien
veneziano	vénitiens
wallace	wallace
loggia	loggia
pesaro	pesaro
sultano	sultan
toro	toro
toro	taureau
toro	taurus
toro	bull
toro	taureau
toro	taureaux
eletti	élue
eletti	élu
eletti	élues
eletti	élus
eletti	élire
superman	superman
modern	modernité
modern	moderne
modern	modernes
mass	masse
mass	messe
percentuali	pourcentages
emissione	délivrance
emissione	délivrance
emissione	émission
emissione	emission
massimi	maxima
bottega	bottega
after	apres
after	after
after	après
after	aprés
ferite	blessures
ferite	blessés
ferite	lésions
ferite	plaies
ferite	blessures
kiev	kiev
kiev	kiev
realizzando	réalisant
phoenix	phénix
phoenix	phoenix
alluminio	aluminium
alluminio	aluminium
vendere	vends
vendere	vendre
vendere	vendre
datato	datés
datato	datée
datato	daté
corno	trompette
corno	corne
corno	cor
corno	avertisseur
corno	horn
piatti	vaisselle
piatti	plats
futuri	future
futuri	futures
futuri	futur
futuri	futurs
futuri	avenir
futuri	futures
futuri	futurs
protesta	protestation
protesta	protestations
protesta	contestation
protesta	protester
protesta	manifestation
rachel	rachel
immacolata	impeccable
immacolata	immaculée
immacolata	immaculé
canti	chantons
canti	chanter
canti	chante
canti	chants
canti	chanson
canti	chansons
intellettuali	intellectuels
intellettuali	intellectuelle
intellettuali	intellectuel
intellettuali	intellectuels
elia	elie
elia	elijah
elia	elia
elia	elias
bersaglio	cibles
bersaglio	objectif
bersaglio	cible
bersaglio	cibler
manifesto	poster
manifesto	affiches
manifesto	affiche
manifesto	manifeste
manifesto	manifeste
manifesto	manifestes
napoletano	napolitaine
napoletano	napoletano
fedeltà	fidelity
fedeltà	fidélité
fedeltà	fidélisation
fedeltà	loyauté
fedeltà	fidélité
raw	cru
raw	premières
raw	brut
raw	crue
raw	raw
raw	crus
illustri	illustre
illustri	illustres
illustri	distinguées
illustri	distingués
illustri	distinguée
illustri	distingué
integrato	intégrée
integrato	intégrées
integrato	intégré
integrato	intégrés
integrato	intégrée
integrato	incorporé
integrato	intégré
integrato	embarqué
integrato	intégrés
perfino	meme
perfino	même
tomáš	tomáš
watson	watson
interfaccia	interface
finanziaria	financière
finanziaria	financier
terrore	terreur
terrore	terrorisme
mod	mod
reynolds	reynolds
martiri	martyrs
istanbul	istanbul
colorado	colorado
für	für
preceduto	précédé
preceduto	précédés
preceduto	précédée
separati	séparées
separati	séparée
separati	séparés
separati	séparé
separati	distinct
separati	séparés
separati	séparé
separati	séparées
separati	séparer
continuato	continué
colorazione	coloriage
colorazione	colorant
colorazione	coloration
colorazione	coloriage
colorazione	coloration
parità	parité
parità	parités
parità	égalité
parità	egalité
etiopia	éthiopie
etiopia	ethiopie
sandra	sandra
soggiorno	reste
soggiorno	séjour
soggiorno	rester
illinois	illinois
magico	magie
magico	magic
magico	magique
magico	magiques
magico	magique
orleans	orleans
orleans	orléans
spalla	épaules
spalla	épaule
spalla	acolyte
challenge	gageure
challenge	challenge
challenge	contestation
challenge	défi
scipione	scipion
scipione	scipione
bach	bach
getto	jet
bros	bros
phillips	philips
phillips	phillips
giocate	jouer
giocate	jouez
sentito	entendu
sentito	entendue
sentito	entendues
sentito	entendus
sloveno	slovène
sloveno	slovènes
sloveno	slovène
sloveno	slovènes
call	appeler
call	appelez
call	appel
call	appelle
indiani	indiens
indiani	indienne
indiani	indiens
indiani	indiennes
indiani	indien
scalo	escale
geometria	géométrique
geometria	géométrie
biagio	biagio
biagio	blaise
millennio	millénaire
millennio	millenium
millennio	millennium
giganti	géants
giganti	giants
giganti	géants
giganti	géant
giganti	giant
giganti	géante
zia	tatie
zia	tata
zia	tante
zia	tatie
zia	tante
zia	tatie
zia	tante
zia	zia
rimosso	retirée
rimosso	enlevé
rimosso	retiré
rimosso	supprimée
rimosso	supprimés
rimosso	supprimé
traduzioni	traduction
traduzioni	traductions
traduzioni	traductions
traduzioni	traduction
happy	heureuses
happy	joyeux
happy	heureux
happy	heureuse
happy	joyeuse
voll	voll
estrazione	extraction
accompagnamento	accompagnement
accompagnamento	accompagnement
accompagnamento	accompagnant
accompagnamento	accompagner
minerali	minerai
minerali	ore
minerali	minéral
minerali	minéraux
minerali	minerais
minerali	minéral
minerali	minéraux
minerali	minérales
ticino	tessin
mondi	mondes
mozart	mozart
fissa	corrigé
fissa	fixe
fissa	fixes
fissa	fixé
fissa	réparé
distinguere	distinguer
distinguere	distinguer
distinguere	distinctif
bmw	bmw
campionessa	championne
campionessa	champion
monarchia	monarchie
adolfo	adolfo
adolfo	adolphus
adolfo	adolphe
adolfo	adolphe
adolfo	adolf
installazione	montage
installazione	installation
installazione	installer
installazione	installation
installazione	installer
installazione	installent
installazione	installe
spin	vrille
spin	spin
spin	tourner
spin	tourne
michigan	michigan
violoncello	violoncelle
applicata	appliquée
applicata	appliqués
applicata	appliqué
collaboratori	collaborateurs
collaboratori	collègues
collaboratori	collaborateurs
collaboratori	collaborateurs
collaboratori	contributeurs
monferrato	montferrat
monferrato	monferrato
gac	gac
esposti	exposées
esposti	exposées
esposti	exposés
esposti	exposé
joão	joão
leon	léon
leon	león
leon	leon
alexandre	alexandre
colli	cous
colli	cou
colli	colli
colli	collines
grotte	grotte
grotte	caves
grotte	grottes
grotte	cavernes
alessandra	alexandra
alessandra	alessandra
definiti	définie
definiti	définis
definiti	définies
definiti	défini
abiti	robes
abiti	vêtements
abiti	vêtement
assi	essieux
assi	as
assi	haches
assi	axes
ostilità	hostilité
ostilità	hostilités
rodríguez	rodriguez
rodríguez	rodríguez
rodríguez	rodríguez
hop	houblon
hop	hop
compleanno	anniversaire
compleanno	anniversaires
cristoforo	cristoforo
cristoforo	christopher
cristoforo	christophe
ernest	ernest
carrara	carrara
severo	severus
severo	severo
severo	sévères
severo	graves
severo	grave
severo	sévère
severo	poupe
severo	sévère
severo	stern
return	retourner
return	retour
return	revenir
cecil	cecil
governi	gouvernements
esistere	existent
esistere	existe
esistere	exister
comandanti	commandants
pallone	flasque
pallone	fiole
pallone	ballons
pallone	montgolfière
pallone	ballon
pallone	boule
pallone	ball
pallone	balle
pallone	ballon
recitato	récité
recitato	étoilé
attraversato	traversé
adatta	approprié
adatta	convenable
adatta	fit
adatta	ajuster
arizona	arizona
wagner	wagner
promosse	promue
promosse	promus
promosse	promu
promosse	promues
cristallo	cristal
cristallo	cristalline
cristallo	cristaux
cristallo	crystal
vercelli	vercelli
secco	sèche
secco	sèches
secco	sec
secco	secs
secco	sécher
annibale	hannibal
crollo	effondrement
cosimo	cosimo
body	organisme
body	carrosserie
body	organe
body	corps
combatté	combattu
affetto	affection
amanda	amanda
picco	apogée
picco	pic
picco	crête
negozi	commerces
negozi	magasins
negozi	boutiques
rca	rca
cancellazioni	suppressions
cancellazioni	annulations
cancellazioni	annulations
cancellazioni	annulation
cancellazioni	résiliation
ignazio	ignacio
ignazio	ignace
ignazio	ignazio
ronald	ronald
retro	rétro
retro	retro
naso	nez
melbourne	melbourne
pastorale	pastorale
pastorale	pastorales
peste	peste
peste	fléau
ghost	ghost
ghost	fantôme
ghost	fantômes
harvey	harvey
isaac	isaac
pausa	break
pausa	pause
pausa	rupture
pausa	briser
pausa	interrompre
pausa	pause
pausa	suspendre
razze	courses
razze	races
know	connaitre
know	connaître
know	sais
know	sachez
know	savoir
formando	formant
formando	formage
hunt	hunt
hunt	pourchasser
hunt	chasser
hunt	chasse
coloni	colons
coloni	colons
testimone	témoins
testimone	témoin
mercati	marchés
viceversa	inversement
vacante	vacant
vacante	vacants
lontana	distante
lontana	distants
lontana	distant
lontana	lointaine
lontana	lointain
sfruttare	exploit
sfruttare	exploiter
tele	toiles
tele	tele
sposare	marier
sposare	épouser
palmer	palmer
scrivi	écrivez
scrivi	ecrire
scrivi	écrire
scrivi	rédiger
reed	roseaux
reed	reed
emily	émilie
emily	emilie
emily	emily
napoletana	napolitaine
acquisito	acquise
acquisito	acquises
acquisito	acquis
rivalità	rivalité
rivalità	rivalités
rivalità	rivalités
provoca	provoque
pellicole	films
pellicole	film
hms	hms
reality	réalité
reality	réalités
transizione	transition
transizione	transition
transizione	transitoire
transizione	transitoires
taiwan	taiwan
taiwan	taïwan
taiwan	taiwanais
taiwan	taïwan
taiwan	taïwanais
circondato	entourés
circondato	encerclé
circondato	encerclés
circondato	entourée
circondato	entouré
pour	verser
pour	verse
cardinali	cardinaux
müller	müller
müller	müller
müller	muller
xxi	xxi
xxi	xxie
xxi	xxième
cantato	sang
cantato	chanté
cantato	chantait
cantato	chanté
cantato	sung
cantato	chantée
freccia	flèches
freccia	arrow
freccia	flèche
stellare	stellaire
colpevole	coupable
colpevole	coupables
protocollo	protocole
protocollo	protocol
claire	claire
folla	foules
folla	foule
folla	foule
concorrente	participante
concorrente	candidate
concorrente	concurrent
concorrente	participant
concorrente	concurrent
concorrente	compétiteurs
concorrente	concurrents
libia	libye
uniforme	uniforme
uniforme	uniformes
josh	josh
ribellione	révolte
ribellione	rébellion
raro	rareté
raro	rare
raro	saignant
raro	rares
fausto	fausto
fausto	faust
dimostrazione	démonstration
dimostrazione	demo
dimostrazione	démo
dimostrazione	démos
dimostrazione	démonstration
dimostrazione	démonstrations
dimostrazione	manifestation
concesse	accordées
concesse	accordé
concesse	octroyé
concesse	accordée
eseguiti	exécuté
eseguiti	exécutés
eseguiti	exécutée
eseguiti	effectué
impressione	impression
run	courir
run	exécuter
aperti	ouverte
aperti	ouvrez
aperti	ouvert
aperti	ouverture
aperti	ouvrir
duchessa	duchesse
cavo	câbles
cavo	cable
cavo	câble
gallese	galloise
gallese	gallois
gallese	welsh
carmelo	carmelo
carmelo	carmel
separata	séparées
separata	séparée
separata	séparés
separata	séparé
separata	distinct
separata	séparés
separata	séparé
separata	séparées
separata	séparer
siviglia	séville
siviglia	seville
invita	invite
invita	invitations
invita	inviter
invita	invite
invita	invitation
omicidi	homicide
omicidi	homicides
omicidi	criminelle
omicidi	assassinats
omicidi	meurtres
omicidi	homicides
residente	résidente
residente	résidant
residente	résident
residente	résidents
umbria	ombrie
umbria	umbria
atletico	athlétique
atletico	athlétisme
holmes	holmes
diga	dam
diga	barrage
diga	digue
reato	crime
reato	offense
reato	infraction
reato	délit
reato	délit
reato	délinquance
reato	criminalité
reato	crime
continuamente	continuellement
continuamente	constamment
continuamente	continuellement
militante	militant
militante	militante
sismica	sismique
sismica	sismiques
contemporaneo	contemporains
contemporaneo	contemporain
contemporaneo	contemporaine
trasformare	transformer
trasformare	transforme
trasformare	transformation
got	got
associati	associés
associati	associée
associati	associées
filadelfia	philadelphie
filadelfia	philadelphia
vertice	sommet
attuazione	implémentation
gregory	gregory
gregory	grégoire
gregory	grégory
narrativa	récit
narrativa	fictions
narrativa	fiction
procuratore	procureur
operatori	exploitants
operatori	opérateurs
rinunciare	renoncer
menzione	mention
menzione	mentionner
dar	dar
verbo	verbe
verbo	verbes
distribuita	distribué
distribuita	distribués
distribuita	distribuée
distribuita	distribuées
suggerisce	suggère
uguali	égales
uguali	égaux
uguali	égal
uguali	égale
uguali	égale
uguali	égaux
uguali	égales
uguali	égal
creatore	créatrice
creatore	créateur
leva	levier
leva	lever
leva	levier
macchia	teinté
macchia	tache
macchia	teinture
macchia	flous
macchia	flou
intenzioni	intentions
intenzioni	intention
intenzioni	intentions
rudolf	rodolphe
rudolf	rudolf
soglia	seuil
ortodossa	orthodoxe
ortodossa	orthodoxie
ortodossa	orthodoxes
hope	espère
hope	espoirs
hope	espérer
hope	espoir
hope	espérance
liberato	libérée
liberato	libérés
liberato	libéré
liberato	affranchi
liberato	libérés
liberato	libéré
automatica	automatiques
automatica	automatisé
automatica	automatique
pirenei	pyrénées
guardare	regardez
guardare	montre
guardare	montres
guardare	regarder
guardare	regarde
guardare	regardant
guardare	regarder
nuotatore	nageur
rivali	rivaux
rivali	rival
rivali	rivale
rivali	rivaux
manoscritti	manuscrits
manoscritti	manuscrit
manoscritti	manuscrits
controllata	filiale
controllata	subsidiaires
controllata	contrôlées
controllata	contrôlés
controllata	contrôlée
controllata	contrôlé
rettore	doyen
rettore	dean
rettore	doyenne
rettore	recteur
folk	folk
beatles	beatles
beatles	beatles
costruttori	constructeurs
costruttori	bâtisseurs
costruttori	constructeurs
costruttori	fabricants
tendono	tendent
significativa	significative
significativa	significatif
significativa	significative
significativa	significatif
significativa	significatifs
bombardamenti	bombardements
bombardamenti	attentats
bombardamenti	bombardement
bombardamenti	bombardements
bombardamenti	attentat
lou	lou
tubo	pipe
tubo	tuyau
tubo	tube
adottata	adoptées
adottata	adoptée
adottata	adopté
adottata	adoptés
decisivo	déterminant
decisivo	décisives
decisivo	décisive
decisivo	décisif
contenenti	contenant
impostazione	paramètre
impostazione	réglage
canonico	canonique
canonico	canon
canonico	canonique
rex	rex
gestisce	gère
soffitto	plafond
soffitto	plafonds
giove	jupiter
comprensione	compréhension
comprensione	compréhension
comprensione	compréhensif
comprensione	comprendre
comprensione	compréhensive
fisici	physique
fisici	physiques
recensioni	examens
recensioni	critiques
arrivata	arrivés
arrivata	arrivé
vangelo	évangile
vangelo	évangélique
vangelo	evangile
caratterizzati	caractérisé
caratterizzati	caractérisés
caratterizzati	caractérisée
caratterizzati	caractérisé
caratterizzati	caractérisés
cesena	cesena
rogers	rogers
imperatrice	impératrice
ieri	hier
ieri	yesterday
intervallo	gamme
intervallo	portée
intervallo	intervalle
