din	no
timp	laika
despre	par
unde	kur
unde	ja
majoritatea	vairums
majoritatea	visvairāk
majoritatea	vairākums
majoritatea	vairākumu
densitate	blīvums
limba	mēle
limba	mēles
limba	valoda
limba	mēle
limba	mēles
limba	valoda
iunie	jūnijs
iunie	jūnija
iunie	jūnijā
multe	daudziem
multe	daudz
multe	daudzi
multe	daudzus
multe	daudzas
prima	pirmais
prima	pirmā
prima	pirmās
prima	pirmie
prima	pirma
prima	vispirms
prima	piemaksas
prima	piemaksa
prima	prēmija
octombrie	oktobris
octombrie	oktobrī
august	augusts
august	augustā
sat	ciema
sat	ciemata
sat	ciems
sat	ciematu
sat	ciemu
sat	ciemats
sat	sēdēja
sat	sat
martie	marta
martie	martā
martie	marts
biserica	baznīca
biserica	baznīcas
biserica	baznīcā
biserica	baznīca
biserica	baznīcas
biserica	baznīcā
fisier	faila
fisier	fails
fisier	failu
fisier	faila
fisier	fails
fisier	failu
decembrie	decembrī
decembrie	decembris
decembrie	decembra
decembrie	decembrim
toate	visiem
toate	visu
toate	visas
toate	visi
toate	visa
ianuarie	janvāris
ianuarie	janvāra
ianuarie	janvārī
latns	latns
latd	latd
longd	longd
adresa	adrese
adresa	address
adresa	adrese
adresa	address
noiembrie	novembra
noiembrie	novembrī
noiembrie	novembris
cum	kā
imagine	attēls
imagine	bildē
imagine	bilde
imagine	bildei
imagine	attēla
imagine	attēls
imagine	attēlu
statul	valsts
statul	štats
lor	viņu
avut	bija
familia	saime
familia	ģimene
familia	ģimenē
familia	ģimenes
numele	vārds
numele	nosaukums
timpul	laiks
timpul	laika
nord	ziemeļi
nord	ziemeļos
nord	ziemeļu
nord	nord
principala	galvenais
principala	galvenās
principala	galvenā
principala	galvenais
principala	galvenās
principala	galvenā
sud	dienvidu
sud	dienvidos
sud	dienvidi
aprilie	aprīlis
aprilie	aprīlī
aprilie	aprīļa
loc	vieta
primul	pirmais
primul	pirmā
primul	pirmās
primul	pirmie
primul	pirma
primul	vispirms
astfel	tādējādi
iulie	jūlija
iulie	jūlijs
iulie	jūlijā
doar	tikai
doar	tikai
editura	izdevējs
asteroid	asteroīds
februarie	februārī
februarie	februāra
februarie	februāris
recensamantului	skaitīšana
trei	trim
trei	trīs
lats	lats
longm	longm
latm	latm
discutie	pārrunas
discutie	apspriešana
discutie	diskusijas
discutie	diskusija
discutie	pārrunas
discutie	apspriešana
discutie	diskusijas
discutie	diskusija
discutie	pārrunas
discutie	apspriešana
discutie	diskusijas
discutie	diskusija
franta	franciju
franta	francijā
franta	francija
franta	france
franta	franciju
franta	francijā
franta	francija
franta	france
franta	franciju
franta	francijā
franta	francija
franta	france
partea	daļa
mult	daudz
fara	bez
fara	bez
departamentul	departamentā
departamentul	departaments
foarte	ļoti
foarte	loti
raionul	sānā
data	datums
data	dati
data	datums
departament	departamentā
departament	departaments
unul	viens
unul	viena
unul	vienu
apoi	tad
grup	grupu
grup	grupa
grup	grupas
locul	vieta
oras	pilsēta
oras	pilsēta
oras	pilsēta
oras	pilsēta
oras	pilsēta
oras	pilsēta
pot	var
pot	varam
camp	nometne
camp	nometnes
camp	nometnē
camp	lauks
camp	lauka
camp	laukā
germania	vācijas
germania	vācija
germania	vācijā
face	padarīt
face	padarītu
face	make
face	marka
satul	ciema
satul	ciemata
satul	ciems
satul	ciematu
satul	ciemu
satul	ciemats
national	nacionālais
national	nacionālais
national	nacionālais
note	piezīmes
note	atzīmē
perioada	laikposms
perioada	periods
perioada	laikposms
perioada	periods
minoritate	mazākums
minoritate	minoritāte
minoritate	minoritāšu
ucraineana	ukraiņu
ucraineana	ukrainas
general	vispārējā
general	vispārējais
general	vispārīgi
general	vispārēji
razboi	karu
razboi	karš
razboi	kara
razboi	karā
razboi	karu
razboi	karš
razboi	kara
razboi	karā
peste	pār
peste	zivīm
peste	zivs
peste	zivis
romana	rumāņu
romana	rumānijas
romana	romāns
romana	romans
romana	romiešu
romana	romana
afla	mācies
afla	mācīties
inceput	sākts
inceput	sākta
inceput	sākās
inceput	sākums
iii	iii
duce	hercogs
roman	rumāņu
roman	rumānijas
roman	romāns
roman	romans
roman	romiešu
roman	romāns
provincia	province
provincia	ils
existand	esošie
existand	esošo
existand	esošā
existand	esošās
vedere	skats
vedere	apskatīt
wikipedia	wikipedia
specie	suga
specie	sugas
punct	dot
punct	punkts
punct	point
stat	valsts
stat	štats
unite	united
unite	apvienotā
unite	apvienoto
unite	vienoti
moldova	moldovā
moldova	moldovas
moldova	moldova
file	cilnes
atunci	tad
aceste	šīs
aceste	šie
secolul	gadsimts
una	viens
una	viena
una	vienu
aceasta	šī
aceasta	šo
aceasta	šis
aceasta	tas
life	life
life	dzīve
life	dzīvi
life	dzīvība
resedinta	rezidence
resedinta	uzturēšanās
resedinta	dzīvesvieta
resedinta	dzīvesvietu
resedinta	dzīvesvietas
resedinta	rezidence
resedinta	uzturēšanās
resedinta	dzīvesvieta
resedinta	dzīvesvietu
resedinta	dzīvesvietas
resedinta	rezidence
resedinta	uzturēšanās
resedinta	dzīvesvieta
resedinta	dzīvesvietu
resedinta	dzīvesvietas
orasul	pilsēta
orasul	pilsēta
orasul	pilsēta
tot	visiem
tot	visu
tot	visas
tot	visi
tot	visa
tot	vēl
tot	vēljoprojām
tot	joprojām
chiar	pat
facut	izgatavots
facut	made
cunoscute	zināma
cunoscute	zināmi
cunoscute	zināms
cunoscute	pazīstama
film	filma
film	filmu
film	plēve
film	filma
film	plēves
vorbitori	runātāji
date	datumi
date	dati
cunoscuta	zināma
cunoscuta	zināmi
cunoscuta	zināms
cunoscuta	pazīstama
decat	than
decat	nekā
decat	than
decat	nekā
aici	šeit
aici	te
mari	liels
mari	lielais
mari	lieli
mari	liela
mari	lielā
mari	mari
mari	jūrās
mari	jūrām
mari	jūru
zile	dienām
zile	dienās
zile	dienas
fata	priekšējais
fata	fronte
fata	priekšpusē
fata	priekšā
fata	priekšējie
fata	seju
fata	seja
fata	seju
fata	seja
fata	meitiņa
fata	meitene
fata	meitenei
fata	seju
fata	seja
fata	meitiņa
fata	meitene
fata	meitenei
fata	seju
fata	seja
fata	seju
fata	seja
club	klubā
club	club
club	klubs
club	kluba
componente	komponenti
componente	sastāvdaļas
componente	komponentes
est	austrumos
est	austrumu
est	austrumi
est	est
nou	jauna
nou	jaunums
nou	jauni
nou	jauns
nou	jaunais
nou	jaunas
numai	tikai
ioan	džons
ion	jonu
rusa	krievu
rusa	krieviski
rusa	krievs
rusa	krievijas
rusa	krievu
rusa	krieviski
rusa	krievs
rusa	krievijas
isbn	isbn
populatia	populācija
populatia	iedzīvotāji
populatia	populācija
populatia	iedzīvotāji
doi	divas
doi	divus
doi	divi
acelasi	pašas
acelasi	pašu
membru	deputāts
membru	loceklis
membru	biedrs
numit	nosaukta
numit	nosaukts
numit	saucās
numit	saukts
descrisa	aprakstīts
descrisa	aprakstītas
descrisa	aprakstīta
descrisa	raksturotas
descrisa	aprakstītais
oficial	amatpersona
oficial	ierēdnis
oficial	oficiāli
impotriva	pret
impotriva	pret
impotriva	pret
saint	svētais
saint	saint
impreuna	kopā
impreuna	kopā
impreuna	kopā
specia	suga
specia	sugas
vest	rietumu
vest	rietumos
vest	rietumi
vest	west
vest	rietumu
vest	western
italia	italia
italia	itālija
putin	maz
putin	maza
putin	mazais
putin	putin
putin	putina
excentricitate	ekscentricitāti
inca	vēl
inca	vēljoprojām
inca	joprojām
inca	vēl
inca	vēljoprojām
inca	joprojām
descoperit	atklāju
inainte	pārsūtīt
inainte	pirms
inainte	pārsūtīt
inainte	pirms
lemn	koksne
lemn	koks
lemn	koka
lemn	kokmateriāli
noi	jauna
noi	jaunums
noi	jauni
noi	jauns
noi	jaunais
noi	jaunas
nicolae	nikolajs
nicolae	nikolass
nicolae	nicolae
nationala	nacionālais
nationala	nacionālais
subspecii	pasugas
statele	valstis
drept	taisni
drept	taisna
mod	režīms
mod	mod
american	american
american	amerikāņu
american	amerikas
fiecare	katrs
fiecare	katru
fiecare	katra
prezent	pašreizējais
prezent	klāt
prezent	tagadni
casa	māja
casa	mājā
casa	māja
casa	mājā
casa	mājās
casa	home
casa	mājas
casa	majas
acestea	šīs
acestea	šie
categorie	kategoriju
categorie	kategorija
categorie	kategorijā
text	teksts
cluj	cluj
bine	laba
bine	labas
bine	labi
bine	labs
bine	labais
bine	labi
http	http
site	vietne
site	vieta
articole	raksti
articole	izstrādājumi
articole	panti
articole	priekšmeti
articole	posteņi
alexandru	alexandru
alexandru	aleksandrs
unele	dažas
unele	dažiem
unele	daži
milioane	miljons
milioane	miljoni
milioane	miljonos
milioane	miljoniem
milioane	miljoni
apa	ūdeni
apa	ūdenī
apa	ūdens
apa	ūdeni
apa	ūdenī
apa	ūdens
iasi	jasi
iasi	jasi
iasi	jasi
tara	valsts
tara	valsts
tara	valsts
tara	tara
tara	valsts
tara	valsts
tarziu	vēlu
tarziu	novēloti
tarziu	vēlu
tarziu	novēloti
istoria	vēsture
istoria	vēstures
istoria	vēsturi
istoria	vēsturē
maria	marija
cunoscut	zināma
cunoscut	zināmi
cunoscut	zināms
cunoscut	pazīstama
patru	četri
patru	četras
patru	četriem
patru	četrus
republica	republika
republica	republikas
republica	republika
republica	republikas
cca	aptuveni
cca	apm
raul	upe
raul	upes
raul	rauls
raul	ļauni
raul	ļaunums
raul	ļaunumu
raul	ļauns
formata	veidojas
formata	veidoti
paris	paris
paris	parīzē
paris	parīze
paris	parīzes
gheorghe	gheorghe
gheorghe	džordžs
tip	puisis
tip	čalis
tip	tips
tip	veids
premiul	balva
premiul	balvu
premiul	apbalvošana
premiul	balva
premiul	piešķiršana
premiul	piešķiršanas
putea	varēja
putea	varētu
persoane	personām
persoane	personas
persoane	cilveki
persoane	cilvēki
persoane	tauta
persoane	cilvēkiem
constantin	constantin
constantin	konstantīns
etc	etc
etc	utt
exemplu	piemērs
descriere	virsraksts
descriere	apraksts
george	džordžs
articol	raksts
articol	izstrādājums
articol	pants
nascut	dzimuši
nascut	dzimis
nascut	dzimusi
nascut	dzimuši
nascut	dzimis
nascut	dzimusi
numarul	numuru
numarul	numurs
numarul	skaitlis
numarul	skaits
comitatul	apriņķis
comitatul	apgabals
harta	kartē
harta	karte
harta	kartē
harta	karte
john	džons
jos	leju
jos	lejā
jos	lejup
marea	jūra
deoarece	jo
localitate	apvidus
aproape	gandrīz
aproape	teju
scris	rakstisks
scris	rakstveida
scris	uzrakstīts
scris	rakstiska
raport	ziņot
raport	ziņojums
echipa	squad
echipa	vadu
echipa	komanda
echipa	team
echipa	komanda
echipa	team
diferite	atšķirīgi
diferite	dažādi
diferite	atšķirīgs
diferite	dažādas
baza	pamatne
baza	pamats
baza	bāze
baza	pamatne
baza	pamats
baza	bāze
special	īpaša
special	īpašais
special	īpašs
special	īpašā
special	īpaši
valea	ieleja
comune	kopīga
comune	locītavu
comune	kopīgais
ele	viņi
ele	tie
ele	tās
stadium	stadionā
stadium	stadions
svg	svg
zona	zona
zona	teritorija
zona	platība
zona	apgabals
zona	laukums
zona	zona
zona	teritorija
zona	platība
zona	apgabals
zona	laukums
dat	dots
dat	dota
dat	dotas
slovenia	slovēnija
slovenia	slovēnijā
americii	amerika
americii	amerikā
americii	ameriku
satului	ciema
satului	ciemata
satului	ciems
satului	ciematu
satului	ciemu
satului	ciemats
imparat	imperators
imparat	imperators
localitatea	apvidus
viata	life
viata	dzīve
viata	dzīvi
viata	dzīvība
viata	life
viata	dzīve
viata	dzīvi
viata	dzīvība
viata	life
viata	dzīve
viata	dzīvi
viata	dzīvība
viata	life
viata	dzīve
viata	dzīvi
viata	dzīvība
viata	life
viata	dzīve
viata	dzīvi
viata	dzīvība
bun	laba
bun	labas
bun	labi
bun	labs
bun	labais
cet	cet
format	veidojas
format	veidoti
format	formāts
primit	saņemts
primit	saņemtas
primit	saņemtās
primit	saņemti
primit	saņēma
presedinte	prezidents
presedinte	priekšsēdētāja
presedinte	priekšsēdētājs
presedinte	priekšsēdētāja
presedinte	priekšsēdētājs
presedinte	prezidents
presedinte	priekšsēdētāja
presedinte	priekšsēdētājs
presedinte	prezidents
presedinte	priekšsēdētāja
presedinte	priekšsēdētājs
presedinte	priekšsēdētāja
presedinte	priekšsēdētājs
langa	tuvu
langa	netālu
oameni	cilveki
oameni	cilvēki
oameni	tauta
oameni	cilvēkiem
istoric	vēsturisks
istoric	vēsturiska
istoric	vēsturisko
istoric	vēsturiski
istoric	vēsturiskais
istoric	vēsturiskas
istoric	vēsturnieks
istoric	vēsturisks
istoric	vēsturiskā
istoric	vēsturisko
istoric	vēsturiski
istoric	vēsturiskais
istoric	vēsturiskas
istoric	vēsture
istoric	vēstures
istoric	vēsturi
istoric	vēsturē
suprafata	virsma
suprafata	teritorija
suprafata	platība
suprafata	apgabals
suprafata	laukums
suprafata	virsma
suprafata	virsma
suprafata	virsma
suprafata	virsma
europa	eiropa
europa	europe
europa	europa
europa	eiropa
europa	europe
universitatea	universitātē
universitatea	universitāte
universitatea	universitātes
team	komanda
team	team
copii	bērni
copii	bērnus
copii	bērniem
copii	bērni
aproximativ	aptuvens
aproximativ	aptuvenie
aproximativ	aptuvenais
aproximativ	aptuvenā
aproximativ	aptuveni
aproximativ	apmēram
aproximativ	aptuveni
aproximativ	rupji
lucru	darbs
cazul	gadījums
cazul	lieta
romani	rumāņu
romani	rumānijas
romani	rumāņu
romani	rumāņiem
romani	romieši
folosit	izmanto
folosit	lietots
folosit	izmantotais
folosit	izmantots
folosit	lietoti
folosit	lietota
orice	jebkuru
orice	jebkura
orice	jebkurš
orice	jebkas
orice	jebko
clubnat	clubnat
ibn	ibn
mihai	mihai
mihai	maikls
mihai	michael
acum	tagad
recensamantul	skaitīšana
centrul	centrs
centrul	centrā
centrul	centrs
centrul	centrā
centrul	centra
reprezinta	atveido
reprezinta	pārstāv
reprezinta	pārstāvēt
reprezinta	pārstāv
reprezinta	atveido
reprezinta	pārstāv
reprezinta	pārstāvēt
reprezinta	pārstāv
san	san
san	krūts
teritoriul	teritorija
van	van
van	van
ungaria	ungārija
numar	numuru
numar	numurs
numar	skaitlis
numar	skaits
numar	numuru
numar	numurs
numar	skaitlis
numar	skaits
cauza	cēlonis
cauza	izraisīt
cauza	cēlonis
cauza	izraisīt
bulgaria	bulgārija
engleza	angļu
engleza	angļu
serie	sērija
serie	sērijas
sua	asv
sua	usa
vechi	vecā
vechi	veca
vechi	veci
vechi	vecs
muntii	kalni
muntii	kalnos
muntii	kalni
muntii	kalnos
muntii	kalni
muntii	kalnos
limbi	valodas
apelor	ūdeņi
fotbal	futbols
regele	king
regele	karalis
regele	ķēniņš
fiul	dēls
anterior	iepriekš
anterior	agrāk
anterior	iepriekšējā
anterior	iepriekšējais
anterior	iepriekšējās
anterior	iepriekšējie
noua	jauna
noua	jaunums
noua	jauni
noua	jauns
noua	jaunais
noua	jaunas
noua	deviņas
noua	deviņiem
noua	deviņi
noua	deviņu
noua	jauna
noua	jaunums
noua	jauni
noua	jauns
noua	jaunais
noua	jaunas
evolutia	attīstība
evolutia	attīstību
evolutia	attīstība
evolutia	attīstību
evolutia	attīstība
evolutia	attīstību
viteza	ātrums
viteza	ātrumu
viteza	apgriezieni
viteza	ātrums
viteza	ātrumu
viteza	apgriezieni
paul	pauls
paul	pols
orase	pilsētu
orase	pilsētas
orase	pilsētu
orase	pilsētas
orase	pilsētas
orase	pilsētu
orase	pilsētas
institutul	institūts
institutul	institūtā
lansat	atbrīvota
lansat	atbrīvots
lansat	atbrīvoti
lansat	uzsāka
istorice	vēsturisks
istorice	vēsturiskā
istorice	vēsturisko
istorice	vēsturiski
istorice	vēsturiskais
istorice	vēsturiskas
trecut	pagātni
trecut	pagātnes
trecut	pagātne
articolul	raksts
articolul	izstrādājums
articolul	pants
multi	daudziem
multi	daudz
multi	daudzi
multi	daudzus
multi	daudzas
multi	daudziem
multi	daudz
multi	daudzi
multi	daudzus
multi	daudzas
informatii	informācija
informatii	info
informatii	informācija
informatii	info
informatii	informācija
titlu	virsraksts
titlu	virsraksts
titlu	tituls
goluri	mērķi
goluri	mērķus
titlul	virsraksts
titlul	tituls
album	albuma
album	albums
album	albumu
von	fon
pagina	lappuse
pagina	lapa
pagina	lappuse
pagina	lapa
imperiul	impērija
moartea	nāve
moartea	nāves
apare	rādās
armata	armijas
armata	armija
armata	militāra
armata	militārie
armata	militārā
armata	militāri
armata	militāro
armata	armijas
armata	armija
forma	forma
forma	forma
forma	forma
forma	forma
color	krāsu
color	krāsa
color	krāsu
color	krāsa
german	vācijas
german	vācietis
german	vācu
stefan	stīvens
stefan	stefan
stefan	stefan
stefan	stefan
stefan	stīvens
stefan	stefan
rolul	loma
rolul	lomu
mica	mazas
mica	mazās
mica	mazie
mica	maza
mica	mazs
mica	vizlas
mica	vizlas
des	des
transilvania	transilvānijas
epoca	vintage
epoca	epoch
incepand	sāk
incepand	sākot
incepand	sākas
incepand	sāk
incepand	sākot
incepand	sākas
principal	galvenais
principal	galvenās
principal	galvenā
carol	kerolu
mici	mazas
mici	mazās
mici	mazie
mici	maza
mici	mazs
astazi	šodien
astazi	šodien
robert	roberts
aparut	parādījās
eliberare	atlaist
eliberare	atbrīvot
eliberare	izlaišana
eliberare	atbrīvošana
eliberare	atbrīvošanas
eliberare	atbrīvošana
eliberare	atbrīvošanās
european	eiropas
european	eiropietis
mic	mazas
mic	mazās
mic	mazie
mic	maza
mic	mazs
mic	maz
mic	maza
mic	mazais
mic	mic
minore	maznozīmīgi
minore	nelielas
castigat	uzvarēja
castigat	uzvarējis
castigat	ieguva
gen	dzimumu
gen	dzimums
gen	žanrs
gen	ģints
gen	gen
com	kom
com	com
importante	svarīgs
importante	svarīga
importante	svarīgas
importante	svarīgi
importante	nozīmīgs
aur	zeltā
aur	zelta
aur	zelts
luat	ņemta
luat	ņemts
luat	veikti
murit	nomira
murit	mira
germana	vācijas
germana	vācietis
germana	vācu
germana	vācijas
germana	vācietis
germana	vācu
orbita	orbītā
orbita	orbītā
rotatie	rotācija
pol	pol
pol	polis
pol	pole
lume	pasaule
lume	pasaulē
local	lokāli
local	vietēji
local	vietējie
local	vietējā
local	vietējais
local	lokāla
local	lokālā
fapt	fakts
anglia	anglija
anglia	england
anglia	angliju
politica	politika
politica	politikā
politica	politikas
politica	politika
politica	politikā
politica	politika
politica	politikā
politica	politikas
politica	politika
politica	politikā
revista	žurnāls
revista	magazine
revista	žurnāls
revista	magazine
asta	šī
asta	šo
asta	šis
asta	tas
asta	ka
asta	tas
vasile	bazilika
profesor	profesore
profesor	profesors
profesor	pasniedzēja
profesor	skolotāju
profesor	skolotāja
profesor	skolotājs
planetelor	planētas
cinci	piecus
cinci	piecas
cinci	pieciem
cinci	pieci
acolo	tur
lumea	pasaule
lumea	pasaulē
muzica	mūzika
muzica	music
muzica	mūzikā
muzica	mūzika
muzica	music
muzica	mūzikā
situat	atrodas
david	deivids
david	dāvids
david	david
etnica	etnisko
etnica	etniskā
buna	laba
buna	labas
buna	labi
buna	labs
buna	labais
centru	centrs
centru	centrā
centru	centrs
centru	centrā
centru	centra
alt	alt
alt	alat
istorie	vēsture
istorie	vēstures
istorie	vēsturi
istorie	vēsturē
austria	austrija
austria	austrijas
austria	austrijā
austria	austriju
districtul	rajons
districtul	apgabals
altitudine	augstums
altitudine	augstumā
periheliu	perihelion
regatul	karaliste
contine	satur
contine	satur
contine	satur
activitatea	aktivitāte
activitatea	darbība
activitatea	aktivitātes
sultan	sultāns
afeliu	aphelion
initial	sākumā
initial	sākotnēji
initial	sākotnēji
initial	sākotnējā
initial	sākotnējais
initial	sākumā
initial	sākotnēji
initial	sākotnēji
initial	sākumā
initial	sākotnēji
initial	sākotnēji
arta	māksla
arta	art
arta	māksla
arta	art
body	ķermeņa
body	ķermenis
imagini	attēli
imagini	attēlus
imagini	attēli
imagini	bildes
rusia	krievija
spune	pateikt
spune	saki
spune	teikt
domeniul	sfēra
domeniul	domēna
domeniul	joma
scoala	skola
scoala	skolas
scoala	skolu
scoala	skolā
scoala	skola
scoala	skolas
scoala	skolu
scoala	skolā
scoala	skola
scoala	skolas
scoala	skolu
scoala	skolā
scoala	skola
scoala	skolas
scoala	skolu
scoala	skolā
scoala	skola
scoala	skolas
scoala	skolu
scoala	skolā
polonia	polija
polonia	polijas
polonia	polijā
succes	veiksme
succes	veiksmes
succes	panākumi
succes	veiksmīgi
succes	panākumus
succes	veiksmīga
provincie	province
provincie	ils
studii	pētījums
studii	izpēte
studii	pētījuma
studii	pētījumi
inclusiv	tostarp
inclusiv	ieskaitot
primar	mērs
primar	primārās
primar	primāra
primar	primārie
primar	primārā
primar	primārais
francez	francūzis
francez	francijas
francez	franču
privind	vēro
privind	skatos
privind	skatās
privind	vērot
scriitor	rakstnieks
jean	žans
jean	džīna
sistemul	sistēmu
sistemul	sistēma
sistemul	sistēmas
incepe	sākt
incepe	palaist
incepe	sākums
incepe	starts
ziua	dienu
ziua	dienā
ziua	diena
sur	sur
single	vienotā
single	vienreizēja
single	vienots
single	vienotais
urmat	sekoja
razboiul	karu
razboiul	karš
razboiul	kara
razboiul	karā
world	pasaule
world	pasaulē
xix	xix
international	international
international	starptautiskā
international	starptautiski
international	international
international	starptautiskā
international	starptautiski
international	international
international	starptautiskā
international	starptautiski
franceza	francijas
franceza	franču
franceza	francijas
franceza	franču
pare	šķiet
william	viljams
ministru	ministre
ministru	ministrs
ministru	ministra
important	svarīgs
important	svarīga
important	svarīgas
important	svarīgi
important	nozīmīgs
familie	saime
familie	ģimene
familie	ģimenē
familie	ģimenes
politic	politiski
politic	politiskā
politic	politiskā
chisinau	kišiņevā
chisinau	kišiņevas
chisinau	kišiņevā
chisinau	kišiņevas
chisinau	kišiņevā
chisinau	kišiņevas
tari	valstīm
tari	valstis
tari	valstīm
tari	valstis
functia	amats
functia	funkcija
functia	amats
functia	funkcija
jpl	jpl
lucrari	būvdarbi
lucrari	darbi
lucrari	būvdarbi
lucrari	darbi
publicat	publicēts
publicat	publicēta
mircea	mircea
curs	kursa
curs	kursu
curs	kurss
curs	kursā
considerat	uzskatīja
considerat	uzskatīts
considerat	apsvērta
considerat	uzskatīta
sistem	sistēmu
sistem	sistēma
sistem	sistēmas
politice	politiskā
sudul	dienvidu
sudul	dienvidu
sudul	dienvidos
sudul	dienvidi
vreme	laikapstākļi
vreme	laika
autor	autors
autor	autore
mediu	vide
mediu	vidējais
mediu	vidēji
mediu	vidējā
mediu	vidēja
mediu	vidējs
prea	pārāk
spania	spānija
functie	amats
functie	funkcija
functie	amats
functie	funkcija
categoria	kategoriju
categoria	kategorija
categoria	kategorijā
nivel	līmenis
web	web
web	tīmekļa
top	top
top	tops
top	augšējā
top	augšējais
mihail	mihails
mihail	maikls
mihail	michael
mihail	mihail
realizat	sasniegti
realizat	sasniegta
realizat	sasniegts
realizat	izpildīts
realizat	izpildīta
realizat	realizēti
realizat	saprata
cartea	grāmata
cartea	grāmatiņa
cartea	grāmatu
filme	filmas
filme	filmas
filme	kino
casatorit	precējusies
casatorit	precējies
casatorit	precējusies
casatorit	precējies
png	png
muzeul	muzeju
muzeul	muzeja
muzeul	muzejā
muzeul	muzejs
city	pilsēta
construit	celta
construit	būvēts
construit	uzbūvēts
construit	veidots
construit	būvēti
construit	būvēta
odata	reizi
odata	vienreiz
odata	reiz
lupta	kaujā
lupta	kauja
lupta	cīņa
lupta	kaujas
lupta	cīņu
lupta	cīņa
lupta	cīnīties
lupta	cīņa
lupta	cīnās
lupta	cīņu
lupta	cīņa
lupta	cīnīties
unit	united
unit	apvienotā
unit	apvienoto
unit	vienoti
luni	mēnešus
luni	mēnešiem
luni	mēneši
luni	pirmdien
luni	pirmdienā
luni	pirmdiena
jucat	spēlējis
jucat	spēlēja
zone	zonās
zone	zonas
zone	jomas
zone	apgabali
zone	teritorijas
zone	platības
radio	radio
romano	romano
istorica	vēsturisks
istorica	vēsturiska
istorica	vēsturisko
istorica	vēsturiski
istorica	vēsturiskais
istorica	vēsturiskas
istorica	vēsturisks
istorica	vēsturiskā
istorica	vēsturisko
istorica	vēsturiski
istorica	vēsturiskais
istorica	vēsturiskas
deja	jau
monument	piemineklis
monument	pieminekļa
europene	eiropas
europene	eiropietis
fac	dari
fac	darām
fac	dara
dreapta	tiesības
dreapta	labās
dreapta	pareizi
moment	moments
moment	brīdis
moment	mirklis
componenta	komponente
componenta	sastāvdaļa
componenta	komponents
componenta	komponente
componenta	sastāvdaļa
componenta	komponents
varsta	vecums
varsta	vecums
varsta	vecums
km²	km²
toti	visiem
toti	visu
toti	visas
toti	visi
toti	visa
toti	visiem
toti	visu
toti	visas
toti	visi
toti	visa
ultima	pēdējo
ultima	pēdējais
ultima	pēdējā
ultima	pēdējās
ultima	pēdējoreiz
origine	izcelsmi
origine	izcelsme
recensamant	skaitīšana
actor	aktieris
literatura	literatūra
literatura	literatūrā
literatura	literatūras
literatura	literatūra
literatura	literatūrā
literatura	literatūras
anderson	andersone
anderson	andersons
veche	vecā
veche	veca
veche	veci
veche	vecs
timisoara	timišoarā
timisoara	timišoarā
timisoara	timišoarā
les	les
participat	piedalījās
participat	piedalījušies
participat	piedalījusies
participat	piedalījies
guvernul	valdība
guvernul	valdības
estul	austrumos
estul	austrumu
estul	austrumi
total	kopā
total	pilnīgi
japonia	japāna
sibiu	sibiu
petru	petru
petru	pīters
petru	pēteris
conte	skaitīt
conte	saskaitīt
conte	skaits
alba	alba
alba	balti
alba	balta
alba	balts
alba	baltais
alba	baltā
bavaria	bavārijā
bavaria	bavārijas
roma	romas
roma	romā
roma	roma
roma	romu
roma	romi
specii	suga
specii	sugas
cupa	kauss
cupa	kauss
batalia	kaujā
batalia	kauja
batalia	cīņa
