lloyd	ллойд
holden	голден
superordo	superordo
wessel	вессель
linda	лінда
reims	реймс
hertogin	герцогиня
gespesifiseer	зазначені
gespesifiseer	вказано
gespesifiseer	вказана
gespesifiseer	зазначений
gespesifiseer	вказаний
kroeë	барів
kroeë	смужки
kroeë	бари
kroeë	гратами
kroeë	бруси
seekoei	бегемот
funksionele	функціональні
funksionele	функціональна
kelly	келлі
harder	голосніше
harder	складніше
harder	важче
sous	соус
sous	соусом
weeklikse	щотижня
robbie	роббі
estniese	естонська
nevada	невада
aantreklike	привабливою
aantreklike	привабливий
aantreklike	приваблива
aantreklike	привабливим
wright	райт
krities	критична
krities	критичні
krities	критичний
prefek	префекта
nigel	найджел
nacional	насьйональ
magiese	магічні
magiese	чарівне
magiese	магічне
magiese	міфічні
frase	фраза
frase	фразу
horus	гор
stempel	штамп
stempel	марку
stempel	марка
christ	христос
christ	christ
christ	христа
leningrad	ленінград
staaf	род
earl	ерл
search	шукати
search	пошук
morfologie	морфологія
seleksie	вибір
seleksie	вибране
stelle	набори
stelle	встановлює
stelle	заходить
else	іще
else	інше
jordan	йорданії
jordan	джордан
afgelaai	завантажено
vrylik	вільно
picasso	пікассо
opinie	думка
rjoerik	рюрик
operasionele	оперативного
operasionele	оперативна
operasionele	готовності
waarborg	гарантія
waarborg	гарантії
waarborg	гарантія
hellings	схили
skoene	кросівки
skoene	взуття
skoene	туфлі
skoene	взуття
brandewyn	бренді
vaardigheid	майстерність
vaardigheid	уміння
bemarking	маркетинг
natuurlewe	природу
ambassade	посольства
ambassade	посольство
myspace	myspace
skuins	slant
skuins	курсив
château	шато
herzegowina	герцеговини
herzegowina	герцеговина
base	основа
base	базова
base	база
base	основою
base	базовий
bryan	браян
hek	брама
hek	gate
hek	ворота
geïnterpreteer	розібрати
zambezi	замбезі
nommers	числа
nommers	номери
nommers	цифри
omsluit	взяті
omsluit	вкладені
omsluit	дужками
omsluit	дужки
umeå	умео
novelle	повість
geestelik	духовні
onse	унцій
wenke	поради
wenke	підказки
wenke	підказки
gutenberg	гутенберг
okt	жовтня
baanbreker	прорив
louvre	лувр
plata	плата
plata	плати
els	els
africanus	африканський
africanus	африкан
afwesig	відсутній
nuwer	новіші
icd	icd
alfonso	альфонсо
milner	мілнер
orion	оріон
venda	венда
dialoog	діалог
ogg	ogg
movement	рух
scotia	шотландія
scotia	scotia
molekule	молекула
molekule	молекули
garde	гард
alba	альба
mini	mini
mini	міні
johns	джонс
johns	джонса
kabel	дріт
kabel	кабель
igor	ігор
igor	ігоре
voorvaders	пращурів
knope	вузлів
eksklusiewe	ексклюзивний
eksklusiewe	ексклюзив
eksklusiewe	ексклюзивні
wallace	воллес
ontvoer	викрали
beampte	наглядач
beampte	офіцер
sparta	спарта
konsentrasies	спеціальність
schmidt	шмідт
kapitalisme	капіталізм
speaker	доповідач
speaker	гучномовець
yslands	ісландська
jeff	джефф
voorvoegsel	префікс
osiris	осіріс
onvoltooide	незакінчені
pot	горщик
luigi	луїджі
muir	muir
philips	philips
argaïese	архаїчна
walvis	кит
walvis	кити
namibia	намібія
behulpsaam	корисні
behulpsaam	корисно
behulpsaam	корисна
behulpsaam	корисний
sleutels	клавіші
sleutels	ключі
rebels	повстанців
rebels	повстанці
kirchner	кірхнер
julia	юлія
julia	джулія
hardeware	обладнання
hardeware	обладнанням
anas	качка
imperial	імператорський
imperial	імперський
imperial	imperial
voorgeskryf	встановленого
uitdaging	виклик
emmanuel	еммануель
gelykheid	рівність
gelykheid	доходів
dale	дейл
koen	коен
lint	lint
balkan	балканський
jeffrey	джеффрі
modernisme	модернізму
parade	парад
bain	бейн
detroit	detroit
hun	hun
algoritme	алгоритм
palm	palm
uitgeput	витрачені
uitgeput	виснажена
uitgeput	виснажений
realistiese	реалістична
ajax	аякс
foster	фостер
pype	труби
pype	феєрверк
oksitaans	окситанська
battista	баттіста
urban	урбан
urban	міський
opgelaai	завантажено
zur	zur
ontspanning	відпочинок
ontspanning	дозвілля
ontspanning	відпочинку
promosie	promo
promosie	промо
promosie	підвищення
promosie	просування
promosie	заохочення
acrocephalus	acrocephalus
robin	робін
simba	сімба
fortuin	фортуна
monopolie	монополія
diamond	diamond
diamond	діамант
etiese	етичних
brandwag	водоспади
oudio	аудіо
oudio	audio
lama	лама
mig	мб
vergroting	росте
vergroting	нарощування
geraas	шум
romp	тулуб
neurenberg	нюрнберг
tekening	креслення
tekening	малюнок
tekening	малювання
lawa	лави
lawa	лава
swembad	басейн
ritme	били
ritme	біт
ritme	побили
kas	регістр
kas	справа
kas	випадок
kas	випадку
kas	кеш
kas	кешу
uss	uss
streef	дістане
aria	арія
orléans	орлеан
deelnemer	учасник
paneel	панель
formate	формати
griep	грип
marmer	marble
marmer	мармур
andrews	ендрюс
bejaardes	старих
viëtnamese	vietnamese
beethoven	бетховен
komende	наступних
komende	майбутні
subordo	subordo
dapperheid	сміливість
bord	дошки
bord	правління
bord	дошка
bord	настільні
lombard	ломбард
hol	пуста
haute	от
bai	бай
aurora	аврора
michelangelo	мікеланджело
titus	тит
filippynse	філіппінська
lettergreep	склад
hiërargie	ієрархія
unix	unix
ruan	жуань
burg	бург
patriot	патріот
eksentrisiteit	ексцентриситет
haïti	гаїті
wedersydse	взаємного
wedersydse	спільний
wedersydse	взаємно
mehmet	мехмед
sol	соль
sol	sol
jamestown	джеймстаун
connecticut	коннектикут
dick	дік
shepherd	вівчарка
shepherd	пастир
afrodite	афродіта
aap	мавпа
aap	monkey
beswyk	могутньої
pleistoseen	плейстоцен
motivering	мотивації
motivering	мотивація
motivering	мотивацію
guillaume	гійом
aftree	пенсію
simfonie	симфонічний
simfonie	симфонія
sinagoge	синагога
blanc	блан
proteïen	білок
proteïen	білки
tenk	танк
stoel	крісло
stoel	стілець
klade	клада
digbundel	антологія
reguleer	практик
sophie	софі
sophie	софія
miguel	мігель
oorweging	вивчивши
oorweging	враховувати
galaktiese	галактична
centauri	центавра
jefferson	джефферсон
vertonings	дисплеї
vertonings	показує
vertonings	показує
dickinson	дікінсон
verde	verde
verde	верде
lening	борг
lening	кредитні
lening	кредит
lening	кредиту
spesifikasies	специфікації
blik	скринька
opgehou	зупинено
opgehou	зупинили
opgehou	зупинився
opgehou	зупинка
tegnies	технічно
tegnies	формально
gaia	гайя
gaia	гая
diaspora	діаспора
pont	міст
pont	пон
desimale	десятковий
konferensies	конференцій
sony	sony
sony	playstation
rogers	роджерс
geweer	гвинтівки
geweer	гвинтівка
verdrae	договорах
verdrae	договори
gottfried	готтфрід
turyn	плащаниця
inkwisisie	інквізиція
diktator	диктатор
ussr	срср
arriveer	прибуде
kritieke	критична
kritieke	критичні
kritieke	критичний
jeremy	джеремі
kleindogter	онука
oorblyfsel	наднової
oorblyfsel	залишки
bobby	боббі
rade	раде
naturelle	naturelle
gamma	гама
gamma	гами
gamma	гамма
gamma	грамів
verhuur	споруди
verhuur	лізинг
verhuur	ліз
aankondiging	оголошення
aankondiging	анонс
beoordeel	оцінити
beoordeel	частота
beoordeel	швидкість
beoordeel	оцініть
beoordeel	ставка
bruno	бруно
blair	блер
hef	заряд
regters	судді
regters	суддів
diskriminasie	дискримінації
diskriminasie	дискримінація
plymouth	plymouth
kia	kia
theunis	тоніс
padda	жаба
genereer	створити
reagan	рейган
volwassene	дорослих
volwassene	доросла
volwassene	дорослі
volwassene	доросле
volwassene	дорослий
kleredrag	одяг
austin	остін
asem	подих
eskader	ескадрильї
thom	блаженний
allah	аллах
sánchez	санчес
heritage	спадщина
rustige	спокійна
rustige	мирного
rustige	мирний
flieks	знімали
flieks	фільми
flieks	кіно
maraton	марафон
verfyn	уточнити
verfyn	вдосконалити
impliseer	штрафу
dance	танці
dance	танцюй
dance	танець
dance	танцювальна
dance	танок
sterte	нахил
sterte	хвости
riefenstahl	ріфеншталь
never	никогда
never	ніколи
never	never
hoed	шапка
hoed	капелюх
onderhandelings	переговори
implementering	реалізації
implementering	впровадження
implementering	реалізація
implementering	реалізацію
hamer	молоток
versoening	злагоди
versoening	узгодження
versoening	примирення
spook	примара
spook	привид
mabel	мейбл
oklahoma	оклахома
wilhelmina	вільгельміна
yellow	жовте
yellow	жовтого
yellow	жовті
yellow	жовтий
charadrius	пісочник
inter	інтер
amazon	amazon
amazon	амазон
ren	жень
intelligente	розумні
intelligente	інтелектуальний
clarke	кларк
hel	гель
loire	луар
woordelys	глосарій
honduras	гондурасу
drake	дрейк
lus	циклу
gedrink	пили
gedrink	пити
gedrink	пиття
gedrink	алкогольні
hera	гера
vervat	містяться
vervat	міститься
verkieslik	бажано
verkieslik	поєднується
verkieslik	ідеалі
guardian	опікун
lessing	лессінг
deurlopende	тривале
deurlopende	продовжив
deurlopende	продовжували
deurlopende	продовжується
deurlopende	продовжила
pollock	поллок
albrecht	альбрехт
antiogië	антіохії
elbe	ельба
bomme	бомб
bomme	бомби
hillary	гілларі
kolomme	стовпчиками
kolomme	колонки
kolomme	стовпчиків
kolomme	стовпчики
erich	еріх
maine	мен
joernalistiek	журналісти
joernalistiek	журналістика
argiewe	архіви
artillerie	artillerie
stadions	стадіонів
innsbruck	інсбрук
maagdenburg	магдебург
indirek	непрямим
beck	бек
miranda	міранда
koors	гарячка
koors	жар
koors	лихоманка
agtien	вісімнадцять
illustreer	наочно
atlanta	атланти
indeling	домовленість
indeling	аранжування
indeling	розташування
genees	лікують
genees	вакцина
genees	вилікувати
mod	mod
uitbreidings	суфікси
uitbreidings	додатки
uitbreidings	розширення
uitbreidings	опис
lille	лілль
rudi	руді
sean	шон
afhanklikheid	залежність
potter	гончар
potter	поттер
bantoe	народності
botter	масло
kosbare	цінні
kosbare	корисна
kosbare	цінний
theodorus	теодор
balk	bar
balk	бар
balk	смужка
krimp	зменшення
krimp	зменшити
krimp	психологом
bespeur	виявлені
bespeur	виявлено
kilometers	кілометри
arles	арль
muise	миші
muise	мишей
bauhaus	bauhaus
temple	храму
temple	храм
duik	дів
auguste	огюст
tamil	тамільська
korporatiewe	корпоративні
korporatiewe	відділу
ffff	ffff
bin	біні
aboe	абу
eurasië	євразія
stilte	тиша
stilte	тиші
stilte	мовчання
netto	нетто
netto	net
burundi	бурунді
gotha	гота
toere	тури
toere	турів
hop	гоп
hop	hop
hop	хоп
hop	пружні
brunswyk	брауншвейг
bars	широкі
yuan	юань
dietrich	дітріх
falkland	фолклендські
veelsydige	універсальне
spieël	дзеркало
karnaval	карнавал
eagle	орла
eagle	орел
tegnologieë	технологій
tegnologieë	technologies
tegnologieë	технології
perseus	персей
charon	харон
verbeterings	вдосконалення
verbeterings	покращення
vandalisme	вандалізму
freud	фрейд
youthyears	youthyears
abell	abell
besmet	зараження
bevoegdhede	живить
bevoegdhede	здібності
bevoegdhede	силами
binêre	бінарні
binêre	двійковий
advertensie	рекламні
advertensie	піару
hitchcock	гічкок
vandale	вандали
diagnose	діагноз
diagnose	діагностика
omsingel	оточити
vennote	партнери
ervare	експертні
ervare	експерт
australis	australis
bewustheid	обізнаність
simpatie	співчуття
katalaanse	каталонська
verdrink	затопили
verdrink	втопити
doodmaak	припинення
doodmaak	вбити
doodmaak	kill
valse	фальшивий
valse	підробка
debatte	пленарному
chemikalieë	хімікатів
uitreiking	видачі
puin	уламки
bulgare	болгар
antwoorde	відповіді
antwoorde	відповіді
antwoorde	відповіді
ontslag	видати
ontslag	розряд
vierkant	квадратний
vierkant	площа
vierkant	квадрат
dundee	данді
adresse	адреси
adresse	адрес
jamaika	ямайки
indiana	індіана
redding	врятувати
redding	рятівник
redding	порятунок
skaap	вівця
skaap	вівці
skaap	вівцями
sewentien	сімнадцять
beraamde	орієнтовний
beraamde	приблизна
tent	наметі
tent	намет
panthera	пантера
verstaanbaar	прийнятним
verstaanbaar	зрозумілий
promoveer	рекламувати
promoveer	просувати
promoveer	розповсюдити
haat	ненавиджу
haat	ненависть
haat	ненависті
korporasie	корпорація
korporasie	plc
tiberius	тіберій
hannes	ганнес
beheerde	переживали
beheerde	худоби
beheerde	вдалося
beheerde	зуміли
beheerde	керується
wikitext	wikitext
caroline	кароліна
caroline	керолайн
mal	шалено
mal	шалені
mal	скажений
mal	шалений
demokrate	демократи
pale	бліда
ongepubliseerde	неопубліковані
mededingende	конкуренції
irving	ірвінг
leone	леоне
aflaai	перезавантаження
ingevoerde	ввели
ingevoerde	введений
ingevoerde	введено
ingevoerde	введена
ingevoerde	увійшов
ingevoerde	імпортовано
ingevoerde	імпортовані
slade	слейд
dakota	дакота
animasie	анімація
animasie	анімація
animasie	визначення
pionier	pioneer
sve	процесор
sve	процесора
sve	цп
boulevard	бульвар
bach	бах
lisa	ліза
marine	морська
norfolk	норфолк
santo	санто
cardiff	кардіфф
omgekeer	зворотний
onwaarskynlik	малоймовірно
denver	денвер
philipp	філіпп
webjoernaal	блог
nasaret	назарет
stralsund	штральзунд
bel	дзвінок
bel	зателефонувати
bel	виклик
bel	набрати
bel	дзвонити
resepte	рецепти
loubser	подяки
klaas	клас
bristol	bristol
greenwich	greenwich
altvar	altvar
abc	abc
ondermyn	змушували
voortgesette	постійну
voortgesette	триває
voortgesette	складну
skenking	пожертва
skenking	пожертву
transliterasie	транслітерація
birmaanse	бірманська
boheme	bohemia
verklein	зменшення
verklein	зменшити
verklein	психологом
verklein	мінімізувати
presbiteriaanse	presbyterian
christina	крістіна
christina	христина
holy	святі
holy	святе
holy	свята
holy	священні
holy	святий
romagna	романья
helikopter	гелікоптер
helikopter	вертоліт
swapo	свапо
doek	полотно
doek	полотна
resep	рецепт
teikens	цілей
bankrot	банкрутства
bankrot	розбили
bankrot	розійшлися
bankrot	зламав
bankrot	відійшли
joel	джоел
kentucky	кентуккі
musical	музична
musical	музичний
musical	мюзикл
musical	музичні
pittsburgh	піттсбург
harrison	гаррісон
pakket	пакунок
pakket	зграя
pakket	пачку
voetbal	футбол
versteur	заважав
kemp	кемп
pinyin	піньїнь
gekruis	перетнув
kalifaat	халіфат
plaza	площа
plaza	plaza
plaza	плаза
gregory	ґреґорі
gregory	григорій
gregory	грегорі
panorama	панорами
panorama	панорама
panorama	panorama
vita	віта
jerewan	єреван
kollega	колеги
berry	беррі
berry	ягода
palermo	палермо
ammoniak	аміак
werker	робітник
werker	працівник
gespikkelde	coral
gespikkelde	корал
gespikkelde	кораловий
nagorno	нагірно
guevara	гевара
identiese	однакові
carol	керол
carol	колядки
speletjies	ігри
speletjies	ігор
speletjies	games
speletjies	ігри
eksperiment	експеримент
medikasie	ліків
medikasie	медикаменти
geïgnoreer	ігнорується
geesteswetenskappe	гуманітарний
gister	вчора
gister	учора
shaun	шон
liechtenstein	ліхтенштейн
tristan	трістан
telekommunikasie	телекомунікаційний
nagte	ночі
nagte	ночей
nêrens	нікуди
nêrens	ніде
genesis	буття
theodore	теодор
versterking	підсилення
versterking	заробити
numeriese	чисельні
numeriese	числове
numeriese	числові
numeriese	числове
numeriese	цифрову
bahrein	бахрейн
wonde	рана
brett	бретт
nikolai	ніко
laval	лаваль
aantekeninge	зауваження
aantekeninge	примітки
aantekeninge	зауважте
aantekeninge	примітка
aantekeninge	нота
eddie	едді
hunne	гуни
serie	серія
serie	послідовний
serie	серійний
nsu	nsu
bom	бомба
krappe	краби
stoot	push
stoot	передачі
uitstekend	відмінний
uitstekend	чудова
uitstekend	відмінно
bundy	банді
dortmund	dortmund
ptah	пта
silvester	сильвестр
neutrino	нейтрино
habsburg	габсбург
balle	кульки
balle	яйця
balle	кульок
jon	йон
jon	джон
ioniese	іонічне
bestek	видимості
geteister	переслідують
vleuels	крила
etanol	етанол
rostof	ростов
che	че
che	che
kansas	канзасі
kansas	канзас
herhaling	повторення
#efefef	#efefef
simbolies	символічне
simbolies	символічні
simbolies	символічних
kanariese	канарські
norme	нормам
pearl	перл
pearl	перли
pearl	перлина
pearl	перлини
vuurpyl	ракети
vuurpyl	ракета
montevideo	монтевідео
bydraer	внески
malaria	малярія
reisiger	traveller
reisiger	мандрівник
afmetings	геометрія
ikone	піктограми
ikone	ікони
ikone	піктограм
zosterops	zosterops
bakoe	баку
olimpiade	олімпіада
justice	справедливість
justice	правосуддя
mexico	мексики
mexico	мексиці
mexico	мексика
vashou	обмежити
kwartaal	квартал
kwartaal	чверть
hervorm	реформи
hervorm	реформа
seymour	сеймур
samestellings	творів
samestellings	нараховують
aanhalings	цитати
aanhalings	лапки
aanhalings	цитати
duet	дует
duet	duo
ipairs	ipairs
skakelaar	перемикання
skakelaar	перемикач
speletjie	гра
speletjie	гри
speletjie	гру
speletjie	геймер
blind	blind
blind	осліп
blind	сліпий
blind	сліпих
blind	сліпим
koppelvlak	інтерфейс
koppelvlak	перехопити
artistieke	художні
artistieke	художнього
ham	ам
benadeel	компроміс
ossetië	осетії
henk	генк
minnesota	міннесота
watervalle	водоспади
watervalle	водоспадів
mausoleum	мавзолей
swaarste	найважчий
sprekende	говорячи
sprekende	speaking
lotus	lotus
village	село
gardner	гарднер
pat	пат
bissau	бісау
mainz	mainz
honolulu	гонолулу
elektronika	електроніка
elsie	елсі
moeders	мами
moeders	матерів
moeders	матері
merke	позначає
ingewikkeld	складне
ingewikkeld	складно
ingewikkeld	складною
terugvoer	відгук
terugvoer	відгуки
versmelt	злиття
hoofde	головах
hoofde	голів
hoofde	голови
hoofde	головами
stres	стрес
meshid	meshid
bermuda	бермуди
inmenging	завада
orkaan	ураган
qing	цін
woede	злість
woede	гнів
woede	лють
utah	юта
ledemate	ніжками
ledemate	кінцівки
registrasie	реєстрація
skop	заїхав
skop	викинути
ongewenste	непотрібних
kleine	kleine
māori	маорі
chi	чі
chi	хі
chi	chi
kontant	грошовий
kontant	готівки
worldcat	worldcat
kassier	касі
kassier	касир
andes	анд
vlermuis	bat
ron	рон
morrison	моррісон
alexandria	alexandria
harper	гарпер
koburg	кобург
avontuur	пригодницький
avontuur	adventure
avontuur	пригоди
avontuur	пригода
rebel	rebel
voorouer	пращур
niels	нільс
sussex	сассекс
firefox	firefox
mozilla	mozilla
bekyk	універсальна
bekyk	universal
bekyk	універсальний
bekyk	перегляд
bekyk	вигляд
bekyk	view
bekyk	вид
bekyk	переглянути
cite	cite
bevoordeel	користь
uitsaai	трансляція
uitsaai	ефіри
uitsaai	трансляція
hokkie	хокей
vegter	воїн
maggie	меггі
metropolitan	metropolitan
verdamping	випаровування
verdun	верден
homoseksuele	геї
homoseksuele	голубий
homoseksuele	гей
vrywillig	добровільно
vrywillig	волонтерська
vrywillig	добровільно
vrywillig	добровільна
handleiding	підручник
handleiding	ручний
handleiding	ручна
handleiding	ручне
handleiding	вручну
handleiding	довідок
quo	quo
nancy	ненсі
eenvoudiger	простіше
reus	giant
reus	велетенська
reus	гігант
reus	велетень
dinosauria	dinosauria
kinetiese	кінетична
sosiologie	соціологія
martelaar	мученика
egeïese	егейське
alberta	альберта
shire	шир
geometriese	ведична
geometriese	геометричних
silesië	сілезія
gletser	льодовик
émile	еміль
oegriese	угорські
felipe	феліпе
kinder	малиш
zambia	замбії
alonso	алонсо
oorvleuel	перекриваються
lausanne	lausanne
grootpad	шосе
gekose	вибраний
gekose	обрані
gekose	вибрані
gekose	вибране
gekose	вибрано
pol	пол
cannes	канни
klagtes	скарг
klagtes	скарги
aruba	аруби
chevrolet	chevrolet
verklarings	оголошення
lou	лу
gekopieer	скопійовано
transport	транспорт
transport	пересилання
bewoonde	населеному
gnome	gnome
gnome	гном
dapper	хоробрим
dapper	сміливі
dapper	сміливий
dapper	мужній
dapper	хоробрі
phobos	фобос
toelating	дозволу
toelating	дозвіл
lesse	уроки
cornelia	корнелія
bevredig	задовольнити
gemaklik	зручно
gemaklik	комфортний
gemaklik	зручні
gemaklik	зручне
gemaklik	зручний
gemaklik	затишний
freiburg	фрайбург
elsa	ельза
koei	корова
geloofsbelydenis	сповідь
geloofsbelydenis	визнання
versteek	приховані
versteek	приховано
versteek	сховані
versteek	прихований
versteek	сховати
versteek	приховати
versteek	ховати
bewerking	дія
bewerking	операція
loodreg	перпендикулярно
ouderdomme	віки
sauer	зауер
cinnyris	cinnyris
lübeck	любек
uitheemse	чужий
uitheemse	прибульці
tekstiele	виробів
anjou	анжу
uitkoms	єдесталу
dekking	покриття
isa	іса
verlosser	спас
verlosser	спаситель
dieptes	глибини
byt	шматочок
vriendelik	дружній
vriendelik	friendly
presteer	виконують
presteer	виконати
fluit	свисток
fluit	флейта
komma	кома
komma	комами
réunion	реюньйон
jonas	йонас
thibault	тібо
ingryping	конституційний
ingryping	конституційного
horlosie	дивитися
horlosie	подивитися
horlosie	дивіться
horlosie	дивися
horlosie	спостерігати
horlosie	годинник
insident	інцидент
insident	дтп
insident	аварія
insident	крах
insident	crash
insident	аварії
rijn	rijn
gilbert	гілберт
vakansiedae	свята
brugge	брюгге
petroleum	нафтовий
petroleum	нафту
petroleum	нафта
modules	модулів
modules	модулі
kronos	кронос
vaart	подорож
jerry	джері
jerry	джеррі
turdus	turdus
trio	тріо
apokriewe	біблійна
lesing	лекції
lesing	лекція
tuna	тунець
hepburn	хепберн
hardy	гарді
lua	lua
akkuraatheid	точність
daag	прилітають
daag	приїхати
raid	рейд
discovery	відкриття
discovery	знахідка
robotte	боти
fotografiese	фотографічних
geletterdheid	грамотність
verhoudinge	відносини
heidegger	гайдеггер
hoffman	гоффман
ingelig	освіту
ingelig	повідомили
nuvola	nuvola
hastings	гастінгс
check	перевірити
check	перевірте
olaf	олаф
saga	saga
blyplek	житло
aanleer	кравець
oesbekistan	узбекистан
oesbekistan	узбекистану
cleopatra	клеопатра
komposisies	творів
liam	ліам
federal	федеральний
tang	тан
brien	браєн
inwoner	жителька
dreig	загрожують
dreig	лякає
dreig	погрожує
groeperings	групування
historia	historia
damaskus	дамаску
trui	светр
volgehou	наполягає
navigasie	навігація
navigasie	навігація
navigasie	навігації
lenings	кредити
spa	spa
spa	спа
maryland	меріленд
diploma	диплом
aas	балкон
aas	тераса
geskenke	дарунки
geskenke	подарунки
cola	кола
bailey	бейлі
gis	дріжджі
brusselse	брюсселі
brusselse	брюссель
marino	марино
tesla	tesla
tesla	тесла
angelo	анджело
kelte	кельти
vasbeslote	рішуче
verweer	нищить
verweer	знищує
angus	ангус
pieke	вершин
pieke	вершини
dhcp	dhcp
schumacher	шумахер
jose	хосе
casper	каспер
eenvoudigste	найпростіші
protestantisme	протестантизм
mangaan	марганець
giacomo	джакомо
rms	rms
astrid	астрід
cunha	кунья
toledo	toledo
byvoeging	додавання
weerlig	блискавка
strafskoppe	штрафи
strafskoppe	штрафів
opset	встановлення
gilles	жиль
ardenne	арденни
kroeg	bar
kroeg	бар
kroeg	смужка
kroeg	паб
kroeg	pub
swerwer	traveler
swerwer	мандрівник
dorothy	дороті
roemeense	румунська
fisies	фізично
casualties	втрати
seëls	штампи
seëls	марки
ich	ich
dylan	ділан
pali	палі
liberty	свобода
arcadia	аркадія
eaton	ітон
ekologie	екологія
taipei	тайбей
rente	відсотки
rente	зацікавлення
rente	відсоткова
rente	інтерес
rente	вигода
bewonder	милуватися
bewonder	захоплювалася
skaduwee	тіней
skaduwee	морок
skaduwee	shadow
skaduwee	тінь
skaduwee	штрихами
kliniese	клінічних
masjinerie	техніка
elegante	вишуканий
elegante	елегантний
elegante	елегантно
batoe	бату
vertaalde	перекладено
subpage	subpage
giza	гізи
ekonoom	economist
appèl	заклик
appèl	апеляцію
appèl	звернення
werkende	операційну
werkende	операційна
entiteite	сутності
rot	пацюк
rot	щур
rot	rattus
bayer	bayer
diertjie	істота
diertjie	створіння
riet	рід
tau	tau
pearson	пірсон
anthem	гімн
coca	кока
felis	felis
gekanselleer	скасовано
gekanselleer	скасовано
gekanselleer	припинено
gekanselleer	перервано
gran	гран
nobel	нобелівської
eweknieë	комплексом
mosie	русі
mosie	рух
marina	марина
marina	маріна
seuntjie	хлопчик
seuntjie	закохалася
ironies	іронічно
simpson	сімпсон
sement	ступка
sement	розчин
keramiek	кераміка
gevangenskap	полон
liberië	ліберія
navbox	navbox
gronde	дичини
geografies	географічної
routledge	routledge
lis	lis
boson	бозон
verwerping	запереченням
kosovo	косова
kosovo	косово
linnaeus	лінней
juwele	коштовності
paddas	жаби
toneelspel	во
toneelspel	заступник
toneelspel	акторська
toneelspel	діяти
lüderitz	людериц
interaksies	взаємодію
interaksies	взаємодії
dimensie	вимір
instansies	випадки
instansies	екземплярів
instansies	збігів
instansies	випадки
herontdek	рушили
curaçao	кюрасао
versoeke	запити
versoeke	запитів
versoeke	запит
waarskuwing	попередження
waarskuwing	увага
waarskuwing	тривога
waarskuwing	попередження
waarskuwing	попередити
pyrénées	піренеї
eredivisie	ередивізі
berekeninge	дистиляція
henrik	генрік
camille	каміла
camille	каміль
relevante	актуальна
reed	рід
alberto	альберто
gelos	випустили
gelos	випущено
cbs	cbs
matrose	матроса
rachel	рейчел
augusta	августа
homoseksualiteit	гомосексуалізм
denkbeeldige	уявні
bedieners	сервери
bedieners	серверів
eenvormige	форма
rennes	ренн
sale	зал
korrespondensie	відповідності
korrespondensie	листів
mustafa	мустафа
eon	eon
foucault	фуко
rpm	rpm
warner	warner
objekte	предмети
baskiese	баскська
vegters	бійців
vegters	бійці
insameling	підвищення
