பாஸ்பரஸ்	fosfor
குணப்படுத்தும்	ljekovita
கைபேசி	ćelija
கைபேசி	mobilni
கைபேசி	mobilne
முரணாக	ironično
காலாண்டு	četvrtina
காலாண்டு	kvartal
காலாண்டு	četvrt
காலாண்டு	četvrtinu
புலங்கள்	polja
அன்னிய	stranih
அன்னிய	strani
அன்னிய	stranim
பரவுகிறது	širi
மரபை	nasljedstvo
மரபை	legacy
மரபை	naslijeđe
புகலிடம்	pješačko
புகலிடம்	utočište
சவாலாக	izazvani
இம்ரான்	imran
எண்ணங்களை	misli
அளவுகோல்	skala
புதுப்பிக்கத்தக்க	obnovljiva
புதுப்பிக்கத்தக்க	obnovljivi
நகர்வுகள்	poteza
ஹெக்டர்	hektor
வெண்கல	bronzana
வெண்கல	bronza
குணப்படுத்த	lijek
குணப்படுத்த	lek
குணப்படுத்த	lijeku
ரோல்	roll
ஆல்பங்கள்	albuma
கெல்லி	kelly
முதுகெலும்பு	kičme
பாக்கியம்	blagoslovljen
பாக்கியம்	odabrani
சிறகு	krilo
சிறகு	krila
சிறகு	krilima
பட்டாணி	grašak
பட்டாணி	peas
சர்ச்சில்	churchill
அங்கீகரிக்கப்பட்டது	odobrena
அங்கீகரிக்கப்பட்டது	odobrio
அங்கீகரிக்கப்பட்டது	odobreni
அங்கீகரிக்கப்பட்டது	odobren
அங்கீகரிக்கப்பட்டது	approved
ஆற்றலும்	energija
கூட்டுக்	združeni
கூட்டுக்	kombinovane
கூட்டுக்	kombinaciji
கூட்டுக்	kombinovao
ஆக்கி	procesor
கடற்படையினர்	marinaca
கற்பு	čednosti
ஈடன்	eden
கொன்றது	ubila
கொன்றது	ubili
கொன்றது	ubio
கொன்றது	ubijena
கொன்றது	ubijen
கொன்றது	ubijeni
அதிகபட்சம்	max
அதிகபட்சம்	maksimalna
அதிகபட்சம்	maksimalni
அதிகபட்சம்	maksimalne
அதிகபட்சம்	maksimum
அதிகபட்சம்	maksimalno
கிட்	git
கிட்	kit
செய்தியாளர்	press
செய்தியாளர்	štampa
செய்தியாளர்	novinar
செய்தியாளர்	reporter
சிப்	čip
புக்கர்	booker
கேளிக்கை	zabava
சமோவா	samoa
பந்துகள்	jaja
பந்துகள்	lopte
பந்துகள்	kugle
பருவங்கள்	sezona
குடியேற்றவாத	kolonizacija
வாத	teror
யுனிக்ஸ்	unix
தொட்டில்	cradle
விஸ்டா	vista
வாசம்	dah
கோளம்	sfera
திரையரங்கு	pozorište
பின்புலம்	pozadinu
பின்புலம்	pozadina
பின்னோக்கி	zaostali
பின்னோக்கி	unatrag
தத்து	tab
லம்போர்கினி	lamborghini
ஆலோசனைக்	konsultacije
ஆலோசனைக்	konsultacija
தனிமையில்	sami
தனிமையில்	sama
தனிமையில்	lonely
தனிமையில்	usamljeni
தனிமையில்	solitude
வழிகாட்டல்	uputa
தன்னைத்தானே	lično
விக்கெட்	wicket
பார்வைகள்	posjeta
பார்வைகள்	pogledi
பார்வைகள்	poglede
நோக்கங்களை	namjere
பளிங்கு	mramor
மனிதர்களும்	ljudi
வாக்கியம்	kaznu
வாக்கியம்	rečenica
வாக்கியம்	kazna
வாக்கியம்	presudom
எதிரானது	protiv
அனுப்புகிறது	slanje
சுமேரிய	sumerski
கலந்துகொண்டார்	prisustvovala
கலந்துகொண்டார்	prisustvovao
கலந்துகொண்டார்	otišla
கலந்துகொண்டார்	prošao
கலந்துகொண்டார்	otišao
துவக்கி	pokretač
பூனைகள்	mačke
பூனைகள்	cats
பூனைகள்	mačaka
வார்சா	varšava
புள்ளிவிவரம்	statistika
பாஸ்கல்	pascal
மார்க்கெட்	tržište
மார்க்கெட்	tržišta
கணங்கள்	trenutaka
கணங்கள்	trenucima
சோமாலியா	somalija
படத்தொகுப்பு	kolaž
மீனவர்	ribari
மீனவர்	ribarsko
பென்சீன்	benzen
நானக்	nanak
இருக்கவும்	ostala
இருக்கவும்	ostati
இருக்கவும்	ostanu
இருக்கவும்	boravka
துல்லியம்	preciznost
துல்லியம்	preciznosti
குவளை	mug
தொழிற்சாலையில்	fabrika
ராக்கெட்	raketa
ஆல்ப்ஸ்	alpi
இயல்பை	priroda
பானங்கள்	pića
பானங்கள்	pije
நினைக்கும்	misli
நினைக்கும்	misle
பெயர்ச்சி	zamijeniti
பெயர்ச்சி	zamijenit
பெயர்ச்சி	zamjenu
தற்செயலாக	slučajno
நாட்டினர்	zemljaka
சமத்துவம்	neutralnost
சமத்துவம்	neutralnosti
சமத்துவம்	jednakost
சமத்துவம்	ravnopravnost
சமத்துவம்	jednakosti
நடப்பில்	tekuće
நடப்பில்	tekućih
நடப்பில்	tekući
நிபந்தனைகள்	uslovi
விடு	napustiti
விடு	ostavi
விடு	napusti
விடு	kap
விடு	pad
துர்கா	durga
அலபாமா	alabama
அன்ட்ரூ	andrew
நெருங்கி	prilazi
நெருங்கி	približava
ரேகை	longitude
பாலைவனத்தில்	pustinja
டான்ஸ்	dons
கலீபா	halifa
தந்திரம்	trik
அறிவார்ந்த	intelligent
மதிப்பாய்வு	pregled
குவான்	guan
குவான்	quan
ஆர்எஸ்எஸ்	rss
நேர்மை	iskrenost
பொறாமை	ljubomoran
பொறாமை	ljubomore
பொறாமை	jealousy
கச்சா	sirove
வரவிருக்கும்	predstojeće
வரவிருக்கும்	predstojeći
அவுட்லுக்	prognoza
சூசன்	susan
காமெடி	komedija
நையாண்டி	satira
கமிட்டி	odbor
கமிட்டி	komitet
தீராத	hronični
தீராத	hronična
தீராத	hronične
தீராத	hroničnih
தீராத	hroničnim
வைக்கோல்	straw
இப்ராஹிம்	ibrahim
மென்பொருளில்	onemogućava
புள்ளிவிவர	statistička
புள்ளிவிவர	statističke
பங்களா	bangla
ஜூலியஸ்	julije
ஈஸ்ட்	kvasca
பரிணாமம்	evolucija
பங்கேற்பு	učešće
பங்கேற்பு	prisustvovati
பங்கேற்பு	prisustvuju
சோலார்	solarni
சோலார்	sunčev
சோலார்	solarne
மேகங்கள்	oblaka
மேகங்கள்	oblaci
மேகங்கள்	oblacima
மேகங்கள்	oblake
கேம்ஸ்	igara
கேம்ஸ்	igre
கேம்ஸ்	igrama
கருட	garuda
நீரோ	neron
பூத	fizički
பூத	fizičko
பூத	fizičke
நெரிசல்	stampedo
வாய்க்கால்	kanal
இறைவனிடம்	gospodara
இறைவனிடம்	gospodar
இறைவனிடம்	gospod
இறைவனிடம்	gospodaru
இறைவனிடம்	lord
ரொனால்ட்	ronald
கொலராடோ	colorado
முதலீட்டாளர்	investitor
முதலீட்டாளர்	investitora
நசீர்	nasir
சோர்வு	umor
சோர்வு	umoran
எவரெஸ்ட்	everest
திறக்க	otvorene
திறக்க	otvorena
திறக்க	otvoren
திறக்க	otvoreno
திறக்க	open
வானியற்பியல்	astrofizika
சையது	syed
இடைவெளிகள்	prostori
இடைவெளிகள்	prostora
இடைவெளிகள்	spaces
இடைவெளிகள்	prostore
இரவும்	night
அத்தியாவசிய	suštinska
அத்தியாவசிய	osnovni
ஏதுமில்லை	nijedan
ஏதுமில்லை	nijedna
முன்னோக்கி	napred
முன்னோக்கி	naprijed
உணவாகும்	grub
ராஜு	raju
பயன்முறை	modu
பயன்முறை	mode
பயன்முறை	mod
பெர்க்சையர்	berkshire
ஜிமெயில்	gmail
கவர்ச்சியான	sexy
சுலைமான்	sulejmana
சுலைமான்	sulejman
சுலைமான்	sulejmanova
சுலைமான்	sulejman
தெருக்கள்	ulice
தெருக்கள்	ulica
தெருக்கள்	ulicama
ஆர்ச்சர்	strijelac
ஆர்ச்சர்	archer
கீரை	špinat
ஜெப்ரி	geoffrey
ஜெப்ரி	jeffery
சன்னி	sunčan
சன்னி	sani
பாதுகாக்கவும்	zaštititi
பாதுகாக்கவும்	štiti
படையணி	bataljon
மோட்சம்	odanost
மோட்சம்	odanosti
சொரெஸ்	soros
பயிற்சியாளர்கள்	treneri
பேசுகிறது	govori
பேசுகிறது	govoreći
ஈடுபட்டுள்ள	bavili
ஈடுபட்டுள்ள	angažiran
ஏழ்மை	siromaštvo
ஏழ்மை	siromaštva
உடற்கூறு	anatomija
பயங்கர	užasni
மேலாளர்கள்	menadžeri
மேலாளர்கள்	menadžera
மீதம்	mjerilo
மீதம்	bilans
மீதம்	preostali
மீதம்	preostalih
மீதம்	preostala
மீதம்	preostale
மீதம்	lijevo
பீச்	beech
பீச்	peaches
பீச்	breskva
குதுப்	qutb
லுட்விக்	ludwig
நெற்றியில்	čelo
பொறுப்பான	odgovorne
பொறுப்பான	odgovorna
பொறுப்பான	odgovorni
பொறுப்பான	odgovornim
பொறுப்பான	odgovoran
கன்று	tele
தீவிரவாதம்	terorizam
குறுக்கீடு	organizatore
குறுக்கீடு	miješanja
எள்	susam
வடிவமைக்க	podesi
மனப்பான்மை	stav
மனப்பான்மை	stava
எட்ஜ்	edge
செய்கிறான்	uzroka
செய்கிறான்	uzroci
செய்கிறான்	uzrokuje
பிளந்து	rascijepljena
மாவீரன்	ratnik
வாருங்கள்	dođu
வாருங்கள்	dolaze
வாருங்கள்	dolazi
வாருங்கள்	doći
ஆன்மீகம்	duhovne
ஆன்மீகம்	duhovni
ஆன்மீகம்	duhovnih
ஆன்மீகம்	duhovno
ஆன்மீகம்	duhovnog
ஆன்மீகம்	duhovnu
மெகாடெத்	megadeth
அனைவருமே	svi
உள்நாட்டில்	lokalno
வியூகம்	strategijom
வியூகம்	strategija
மாம்பழம்	mango
கழுதை	magarac
முஸ்தபா	mostafa
முஸ்தபா	mustafa
நம்பிக்கையுடன்	nadaju
நம்பிக்கையுடன்	hopefully
கிரகம்	planeta
தலைக்கு	glava
மாறிவிட்டது	promijenio
மாறிவிட்டது	promijenila
மாறிவிட்டது	promijenjen
மியாமி	miami
பொறித்த	fried
நிக்கோலஸ்	nicolas
நிக்கோலஸ்	nicholas
கொரில்லா	gorile
நானா	nana
மோகம்	strast
தெரிவித்துக்	posjetili
தெரிவித்துக்	posjetila
தெரிவித்துக்	posjetio
கால்நடைகள்	stoku
கால்நடைகள்	stoke
தொலைகாட்சி	oled
ஓட்டோ	otto
நாளைய	sutra
சிர்க்கோனியம்	cirkonij
சந்தர்ப்பம்	kontekst
சந்தர்ப்பம்	kontekstu
ஆண்டர்சன்	anderson
சிக்னல்	signal
மோடம்	modem
கிளென்	glen
கிளென்	glenn
காபூல்	kabul
அரிவாள்	srp
பேச்சாளர்கள்	govornika
பேச்சாளர்கள்	govornici
எலிகள்	miševi
வைன்	vino
வாடிக்கையாளரின்	klijent
பட்டினி	gladi
திறக்கும்	otvaranje
ராபர்ட்ஸ்	roberts
ஜேக்மேன்	jackman
பிரைவேட்	pvt
அசிட்டேட்டு	acetat
மருமகன்	nećak
பக்தர்களின்	upa
கிரகங்கள்	planete
கிரகங்கள்	planeta
காவி	šafran
தோழன்	mate
தோழன்	mat
நாட்டியம்	ples
கடனை	duga
கடனை	dug
சாஹிப்	sahib
உபரி	višak
அனுபவ	exp
குட்டிகள்	mladunci
ஓவியத்தை	slikarstvo
சின்னப்பர்	thebes
நிரூபிக்க	dokaže
நிரூபிக்க	dokazati
நிரூபிக்க	dokazali
நிரூபிக்க	dokazuju
ஜூலி	juli
ஜூலி	julie
சொல்லாட்சி	retorike
அலங்கரிக்கப்பட்ட	ukrašen
ஒலிகள்	zvuči
ஒலிகள்	zvukova
ஒலிகள்	sounds
ஜோர்டான்	jordan
பிரபஞ்சம்	svemir
பிரபஞ்சம்	galaksija
சிறுநீரகம்	bubrega
மறக்க	zaboravi
பிளாங்க்	planckova
நடித்தது	glumi
சுயசரிதை	biografija
ரூபி	ruby
அத்தை	tetka
அத்தை	tetka
துரோகம்	izdaje
துரோகம்	izdaju
சீரோ	ćiro
சரியா	pravo
சரியா	desno
கார்லோ	carlo
பக்கத்து	komšija
பக்கத்து	susjeda
பண்பேற்றம்	modulation
படுக்கையில்	krevet
படுக்கையில்	postelju
படுக்கையில்	bed
விவசாயி	farmera
வழங்குநர்	računar
வழங்குநர்	provajder
வழங்குநர்	provajdera
பதினொன்று	jedanaest
திறமைகளை	talenata
திறமைகளை	sposobnosti
நிற்பது	stoji
நிற்பது	stajanje
இரகசியமாக	tajno
முன்னேற்றத்தை	napredak
முகமூடி	maska
கோல்ட்மேன்	goldman
எலியட்	eliot
வியாபாரிகள்	trgovaca
மொழிபெயர்க்கப்பட்டது	prevedene
மொழிபெயர்க்கப்பட்டது	preveden
மொழிபெயர்க்கப்பட்டது	prevedena
பட்லர்	butler
காட்டப்பட்டது	pokazao
காட்டப்பட்டது	pokazale
காட்டப்பட்டது	pokazala
காட்டப்பட்டது	pokazalo
காட்டப்பட்டது	pokazali
தந்தையர்	očeva
முபாரக்	mubaraka
முபாரக்	mubarak
வயர்லெஸ்	bežični
வயர்லெஸ்	bežično
ஜின்னா	jinnah
குளூனி	clooney
பென்னி	peni
பென்னி	beni
லூக்	luke
லூக்	luk
ஹன்னிபால்	hanibal
வில்லி	willy
பொய்யான	lažnih
பொய்யான	lažna
பொய்யான	lažne
பொய்யான	lažni
பொய்யான	lažno
படத்தைப்	foto
படத்தைப்	fotografija
முற்றத்தில்	dvorišta
தேவாலயங்கள்	crkava
மல்யுத்தம்	hrvanje
பெட்ரோ	pedro
பிம்பம்	imidžu
பிம்பம்	imidž
பிம்பம்	slika
இழப்பீடு	kompenzacije
இழப்பீடு	kompenzaciju
இழப்பீடு	naknadu
இழப்பீடு	naknade
கோலங்கள்	crtežima
கோலங்கள்	crteži
நீட்டிப்பு	produže
நீட்டிப்பு	produžiti
வினைச்சொல்	glagoli
பிசுமத்	bizmut
ஜாகுவார்	jaguar
கிராமத்திற்கு	selo
பாணிகள்	stilova
அல்ஜீரியா	alžir
குளிர்காலம்	zima
குறிப்பான	specifične
குறிப்பான	konkretne
குறிப்பான	specifična
காத்துக்	čekanje
காத்துக்	čekajući
காத்துக்	čeka
காத்துக்	čekaju
காத்துக்	čekanja
ஜெனிபர்	jennifer
மஹா	maha
டோம்	kupola
ஆராய்ச்சியாளர்	istraživač
நதியா	nadia
பத்திரிக்கையாளர்	novinar
இர்வின்	irvin
இர்வின்	irvine
கட்ச்	kutch
புரூக்	brooke
புரூக்	brook
உற்பத்தியாளர்	proizvođač
புதன்கிழமை	srijeda
கொரியன்	korejski
முன்னொட்டு	prefiks
சாமா	chama
விவகாரம்	skandal
முதலாளித்துவ	kapitalistička
பயோடீசல்	biodizela
பாடு	pjevaju
பாடு	sing
சையத்	syed
பண்டார	pandora
சியாம்	siam
பாகா	baja
கிடங்கு	skladište
நாஷ்	nash
பயங்கரமான	scary
பயங்கரமான	užasni
பொறுத்தே	zavisi
குங்குமப்பூ	šafran
வெனிலா	vanilla
வழித்தடங்கள்	pravci
வழித்தடங்கள்	pravaca
துறவறம்	sveti
துறவறம்	saint
குடிக்கும்	piju
குடிக்கும்	pio
குடிக்கும்	piće
பார்க்கப்பட்டது	vidjeli
பார்க்கப்பட்டது	viđena
பார்க்கப்பட்டது	vidio
பார்க்கப்பட்டது	viđen
பார்க்கப்பட்டது	gledao
பார்க்கப்பட்டது	posmatrali
பார்க்கப்பட்டது	posmatrao
மேனி	manny
கையாளுதல்	rukovanje
கையாளுதல்	manipulacija
கையாளுதல்	manipulacijama
கையாளுதல்	manipulacije
வழங்குவதில்	obezbjeđivanje
டாப்ளர்	doppler
கார்டர்	carter
ரைடர்ஸ்	jahači
குடிமகன்	građanin
பேராசிரியர்கள்	profesora
பேராசிரியர்கள்	profesori
பால்டிக்	baltička
ஏற்கப்பட்டது	prihvatio
ஏற்கப்பட்டது	prihvaćena
ஏற்கப்பட்டது	primljeni
ஏற்கப்பட்டது	primljen
ஏற்கப்பட்டது	prihvatili
அரசுகளும்	vlade
மொசாம்பிக்	mozambik
சோமு	somu
ஒட்டுண்ணி	paraziti
சுடும்	strijelac
ஃபெராரி	ferrari
ஜாதி	kasta
நிறுத்தங்கள்	staje
நிறுத்தங்கள்	prestaje
நிறுத்தங்கள்	sprečava
நாகை	nagai
பர்	burr
மிருகங்கள்	životinje
விதிவிலக்கு	iznimke
விதிவிலக்கு	izuzetaka
விதிவிலக்கு	izuzeci
குறிப்பை	napomena
ஜார்ஜியா	georgia
ஜார்ஜியா	džordžija
ஜார்ஜியா	gruzija
சிறகுகள்	krila
சிறகுகள்	krilima
காகம்	crow
அசலான	netaknutim
ஜிகாத்	džihad
பையன்	boy
பையன்	dječak
பையன்	dečak
பையன்	tip
மெய்யான	originalni
மெய்யான	originalna
மெய்யான	prvobitni
மெய்யான	originalne
மெய்யான	original
கோர்டன்	gordon
பெக்	beg
ஹாரிசன்	harrison
கீத்	keith
சுற்றுகள்	runde
சுற்றுகள்	rundama
குறும்படங்கள்	icons
குறும்படங்கள்	ikone
குரல்கள்	glasovi
சிண்ட்ரெல்லா	cinderella
பானு	banu
மோ	moa
தீவுக்கூட்டம்	arhipelag
இஞ்சி	ginger
காசநோய்	tuberkuloze
கிட்ஸ்	kristofora
பிரான்	braun
ஏபெல்	abel
பெல்ஜிய	belgijski
சமரசம்	kompromis
பணியாளர்களின்	uposlenici
பணியாளர்களின்	osoblje
தோராயமான	gruba
உருவகம்	viđenje
திறமைகள்	vještine
திறமைகள்	vještina
திறமைகள்	talenata
விஷம்	otrov
பீங்கான்	porcelan
கரோலின்	caroline
கரோலின்	karolina
மதிப்புறு	doslovno
விஸ்கி	viski
விஸ்கி	viski
பேனா	pen
பேனா	pero
பேனா	hemijsku
பேனா	opengl
திணிப்பு	dump
ஸல்	sal
மாஸ்	masa
குத்து	udarac
நட்டு	nut
ஊழி	epohe
ஊழி	epoha
நம்பத்தகுந்த	vjerno
குங்	kung
சேகரிக்க	prikupljanje
சிதறல்	raspršenje
ஆலம்	alam
சுவடுகள்	stazama
உகாண்டா	ugandi
கருக்கலைப்பு	pobačaj
உருப்படிகள்	predmeta
உருப்படிகள்	predmete
உருப்படிகள்	stavke
உருப்படிகள்	predmeti
கர்ப்பப்பை	pršljen
கரீம்	karim
கரீம்	kareem
காத்மாண்டு	katmandu
இரவுகள்	noći
ஷர்மா	sharma
வைமாக்ஸ்	wimax
செவ்வாய்க்கிழமை	utorak
பரிசுத்த	sveta
பரிசுத்த	sveti
பரிசுத்த	sveto
சியாங்	chiang
வரதட்சணை	miraz
அகலமான	širi
அகலமான	širih
அகலமான	širem
அகலமான	šire
அகலமான	široj
சர்வாதிகாரி	diktator
பீஸ்	pis
முகில்	oblak
கிட்மேன்	kidman
கிராமங்களை	sela
கிராமங்களை	selima
பூசி	toplim
பூசி	toplom
பூசி	tople
முடுக்கம்	ubrzanje
இருக்கும்போதே	dok
கடத்தப்பட்ட	otet
கடத்தப்பட்ட	kidnapovao
கடத்தப்பட்ட	kidnapovan
சோர்ஸ்	soares
இறுக்கமாக	uska
இத்தாலியன்	italijanski
ஒயிட்	bijela
ஒயிட்	bijeli
தால்	dal
தால்	taal
சான்டா	santa
கேளுங்கள்	slušaj
ஃபிராங்கண்ஸ்டைன்	frankenstein
கிடைமட்ட	horizontalna
கிடைமட்ட	horizontalni
கேன்ஸ்	kanu
கேன்ஸ்	kanski
கிளாஸ்கோ	glasgow
மட்டு	modular
ஹாலந்து	holandija
ஆக்ஸிஜன்	kisik
செருகி	plugin
அடுப்பு	peć
அடுப்பு	peći
புல்வெளி	lawn
அடிமைத்தனம்	ropstva
குரோ	cro
குரோ	gro
தொடர்புடையவை	vezani
தொடர்புடையவை	vezane
ஷேக்ஸ்பியர்	shakespeare
மெர்ரில்	merrill
புரிந்தவர்	počinilaca
அன்ரன்	anton
ஜாஸ்	džez
அன்பும்	ljubav
கலவைகள்	jedinjenja
வைரல்	virus
சகாப்தம்	eru
சகாப்தம்	ere
சகாப்தம்	era
தானியம்	žita
தானியம்	zrno
தானியம்	žitarice
மூ	moo
ரூஸ்வெல்ட்	roosevelt
டொபாகோ	tobaga
செப்பெலின்	cepelin
சாத்தியங்கள்	mogućnostima
சாத்தியங்கள்	mogućnosti
ஆர்டர்	naredio
ஆர்டர்	naređenje
ஆர்டர்	naredbu
ஆர்டர்	reda
ஆர்டர்	red
மதுவிலக்கு	prohibicije
பயணிகளும்	putnici
பயணிகளும்	putnike
கரங்கள்	ruke
கரங்கள்	rukama
அரசியலிலும்	koncentraciju
படிவங்கள்	forme
படிவங்கள்	formama
படிவங்கள்	oblici
படிவங்கள்	oblike
நிறைவடைந்தது	završila
நிறைவடைந்தது	završio
நிறைவடைந்தது	završeno
நெடுந்தீவு	delft
பலமாக	jače
பலமாக	jači
சமர்	samar
தீர்மானிக்கிறது	određuje
திருடன்	kradljivac
கபில	kesten
ஜோவி	jovi
நாற்காலி	stolac
நாற்காலி	stolica
விற்பனையாளர்	prodavac
ஓநாய்	wolf
ஓநாய்	vuk
ஓநாய்	vuka
ரிங்கிட்	ringit
வர்ண	pigmenata
வர்ண	pigment
பாகு	baku
கோலார்	kolar
பீட	platou
பீட	plato
கிராமத்து	selo
உத்திகளை	strategije
உத்திகளை	strategija
பத்தொன்பது	nineteen
பிரிமியர்	premijeru
பிரிமியர்	premijerno
ஹாப்	hop
தேவதைகள்	vile
தேவதைகள்	meleki
தேவதைகள்	anđeli
தேவதைகள்	meleka
கோர்ட்	sud
அஸ்ஸாம்	assam
லூனா	luna
முன்மொழியப்பட்ட	predložio
முன்மொழியப்பட்ட	predloženo
முன்மொழியப்பட்ட	predloženi
ஆண்டனி	anthony
அருளும்	grace
தேனீக்கள்	pčele
அறிக்கைகளை	izjave
உரங்கள்	đubriva
பெண்டிர்	ladies
பெண்டிர்	dame
நெறிகள்	protokoli
நார்மாண்டி	normandija
எல்லாவற்றிலும்	sve
ஃபேஸ்புக்	facebook
ஜோனாஸ்	jonas
செய்தித்தாள்கள்	novine
செய்தித்தாள்கள்	novina
ஜேக்கப்	jakov
நெற்றி	čelo
உணர்தல்	shvatanje
உணர்தல்	realizacija
சந்தித்தனர்	ispuniti
பூசாரி	sveštenik
பூசாரி	sveštenika
வணிகங்கள்	preduzeća
லாலா	lala
பிங்	bing
பிங்	ping
கபீர்	kabir
டிஸ்கவரி	otkriće
ஆத்தர்	arthur
ஆத்தர்	artur
கலந்துகொண்டனர்	otišla
கலந்துகொண்டனர்	prošao
கலந்துகொண்டனர்	otišao
கலந்துகொண்டனர்	prisustvovala
கலந்துகொண்டனர்	prisustvovao
இல்லாமலே	bez
மதீனா	madinah
மதீனா	medina
மோர்கன்	morgan
மன்மதன்	kupid
வீனஸ்	venera
பெய்லி	bailey
எளிமை	jednostavnost
மினாக்	minogue
லூர்து	lourdes
எஸ்தர்	ester
டூர்	turneja
டூர்	tour
சுற்றிப்	oko
சுழலி	turbina
புலிட்சர்	pulitzerova
ஆய்வக	laboratoriji
ஆய்வக	laboratorija
நெபுலா	maglina
கிரியை	radovi
கிரியை	funkcioniše
கிரியை	radi
அமல்	amal
பாதிக்கப்பட்டவர்கள்	žrtava
பாதிக்கப்பட்டவர்கள்	žrtve
வெற்றிடம்	vakuum
துடுப்பு	veslaj
விரிவுரையாளர்	predavač
கலந்துகொண்ட	prisustvovala
கலந்துகொண்ட	prisustvovao
வினாடி	drugi
பத்திரிகையாளர்கள்	novinar
பத்திரிகையாளர்கள்	novinara
பத்திரிகையாளர்கள்	novinari
டோன்	ton
பீட்	pete
அடைவு	direktorij
அடைவு	direktorij
பிடியில்	grip
துளி	kap
துளி	pad
கெல்லர்	keller
கணித்த	predvidio
பரிந்துரையை	preporukom
பரிந்துரையை	preporuka
பரிந்துரையை	preporuke
அகதி	izbjeglica
ஃபிஸ்துலா	fistula
அவென்யூ	avenue
மறுக்கப்பட்டது	porekao
நலத்துறை	dobrobiti
குத்தகை	najma
ரஸ்புடின்	rasputin
எகான்	akon
தியோடர்	theodore
தியோடர்	teodor
ஹலோ	alo
ஹலோ	halo
ஹார்வர்டு	harvard
புத்தம்	marka
கேட்டது	čuo
கேட்டது	čuli
பத்மா	padma
ஒட்டாவா	ottawa
தோற்றது	propao
தோற்றது	propali
மூலை	ugao
இமாலய	himalayan
அஃப்லெக்	affleck
நொதித்தல்	fermentacija
ஆஸ்கர்	oskar
ஆஸ்கர்	oscar
ஜகார்த்தா	jakarta
மீறும்	krše
காக்ஸ்	cox
பாஷா	paša
எக்செல்	excel
வினாக்கள்	pitanja
இலினொய்	illinois
எத்தியோப்பியா	etiopiji
கண்ணுக்குத்	nevidljivi
கண்ணுக்குத்	nevidljivog
பெல்லா	bella
லாரா	laura
லாரா	lara
பிரான்சுவா	francois
பிரான்சுவா	françois
பெர்க்லி	berkeley
அதிசயம்	čudo
அதிசயம்	miracle
எபிசோட்	epizode
எபிசோட்	epizoda
