botev	ботев
atsistatydinimo	оставка
rasbora	rasbora
švyturio	фара
švyturio	фар
susitarimai	договорености
susitarimai	споразумения
susitarimai	уговорки
susitarimai	споразумения
sunkvežimis	камиона
sunkvežimis	трак
sunkvežimis	камион
sunkvežimis	камионът
sunkvežimis	камион
eto	eto
kalifatas	халифата
genesis	битие
drėgnumas	влажност
drėgnumas	влага
drėgnumas	влажността
drėgnumas	влага
drėgnumas	влажност
genetiniai	генетична
genetiniai	генетични
genetiniai	генетичен
genetiniai	генетично
kenneth	кенет
okupuotoje	заето
ism	изъм
programuotojas	разработка
programuotojas	предприемач
skandalas	скандали
skandalas	скандално
skandalas	скандал
vertinga	обогатяване
vertinga	ценна
vertinga	ценно
vertinga	ценни
vertinga	ценен
kapitolijaus	капитолия
audrų	бури
audrų	бурите
laiptų	стъпала
laiptų	стълбите
laiptų	стълби
poniatovskis	понятовски
garsiu	агитатор
vežimo	комби
vežimo	каруцата
vežimo	каруца
vežimo	фургон
jaroslavlio	ярославъл
sionistų	ционистки
fermentai	ензимите
fermentai	ензими
levinas	левин
susidūrimas	сблъсък
navbox	navbox
mažylis	бебе
mažylis	мила
mažylis	бейби
mažylis	скъпа
jeep	джип
jeep	джипът
kalė	кучка
skundas	обжалване
skundas	призив
skundas	жалба
snoop	снуп
geograph	geograph
astronomai	астрономите
astronomai	астрономи
pagrobti	отвличане
kompleksų	комплекси
fulham	фулъм
butas	апартамент
tarpininkas	посредници
tarpininkas	посредник
iliustratorius	илюстратор
sauga	безопасност
sauga	предпазител
kepler	кеплер
ožys	коза
ožys	козе
ožys	козел
ožys	кози
pokalbis	разговор
pokalbis	разговори
pokalbis	беседа
stabilizatorius	стабилизатор
kaktos	чело
kaktos	челото
kaktos	вежди
kompetencija	компетентност
kompetencija	компетенции
aufl	aufl
tiekėjas	доставчик
atidėti	отлагане
atidėti	отложи
štirijos	щирия
pėstininkas	пешка
pėstininkas	пионка
kano	kann
kvarco	кварц
šopeno	шопен
endriu	андрю
poznanėje	познан
bendrieji	обща
bendrieji	общи
bendrieji	генерал
samdiniai	наемници
jahija	яя
hunų	хунски
tao	тао
gėjų	обратен
gėjų	гей
kurdistano	кюрдистан
rašant	пиша
rašant	писане
chromo	хром
kostiumas	костюм
pirkėjų	купувачите
firefox	firefox
hablo	хъбъл
kirpėjas	фризьор
naviko	тумор
cirkas	циркът
cirkas	цирк
cirkas	цирка
gorkis	горки
sąskaitos	фактуриране
bsd	bsd
nusikaltėlis	извършител
nusikaltėlis	нарушител
kriaušės	круша
kriaušės	круши
jautrus	чувствително
jautrus	чувствителен
jautrus	чувствителни
jautrus	чувствителна
dominuoti	доминират
papėdėse	подножието
skola	дългове
skola	дълг
pusmėnulio	полумесец
chuck	чък
senelė	бабо
senelė	баба
koncertmeisteris	концертмайстор
laisves	свободи
opel	опел
derry	дери
sprogmenų	експлозив
sprogmenų	експлозиви
švęsti	празнуват
švęsti	празнуваме
lašišos	сьомга
fussballdaten	fussballdaten
rankraščiai	ръкописи
samanos	мъхове
alyvos	буре
alyvos	бъчва
alyvos	цев
alyvos	варел
alyvos	масла
kamieninių	стволови
lingė	блатар
bilis	били
vyšnios	череша
vyšnios	чери
vyšnios	череши
verona	верона
eng	инж
wyd	wyd
nematomas	невидими
nematomas	невидимо
nematomas	невидим
nematomas	невидима
kėdės	столове
kėdės	столовете
kėdės	стол
kėdės	столче
kėdės	столът
įspūdingas	впечатляваща
įspūdingas	впечатляващи
įspūdingas	впечатляващо
įspūdingas	впечатляващ
greita	бързо
greita	бързо
greita	бърз
paaiškinimas	обяснения
paaiškinimas	обяснение
paaiškinimas	разяснения
fortuna	фортуна
jungtys	интерфейси
jungtys	съединители
nedarbas	безработица
nedarbas	безработицата
akira	акира
disertacija	дисертация
disertacija	дисертацията
idol	идол
katalogo	каталог
altas	сакс
verslininkai	предприемачите
verslininkai	предприемачи
sukilimus	въстания
gao	гао
opus	опус
agresijos	агресия
prostatos	простата
prostatos	простатата
joão	жоао
bonus	премия
bonus	бонус
bonus	бонуси
electro	електро
balansas	баланс
balansas	салдо
balansas	равновесие
samsung	samsung
plytos	тухли
plytos	тухлите
nykstančių	застрашена
nykstančių	застрашени
faktais	гарантирани
faktais	гарантирано
faktais	гарантирана
faktais	гарантиран
idris	идрис
miega	заспал
miega	заспала
miega	заспали
miega	спане
miega	спим
miega	спи
tiuringijos	тюрингия
naikinimas	обезлюдяване
siekius	стремежи
eminem	еминем
šiitų	шая
bradley	брадли
metisai	метиси
profesionaliai	професионално
tyrėjų	детективите
tyrėjų	детективи
tikrovė	реалност
tikrovė	действителността
tikrovė	реалността
tikrovė	действителност
griežti	строг
griežti	строга
griežti	стриктна
griežti	строги
onkologijos	онкологията
kirilas	кирил
horizontali	хоризонтални
horizontali	хоризонтално
horizontali	хоризонтален
horizontali	хоризонтална
griovių	канавки
drausmės	дисциплинарни
jerome	джером
originalas	пиратите
originalas	пирати
mori	мори
aliochinas	алехин
cao	цао
cao	као
koordinavimo	координация
koordinavimo	съгласуване
koordinavimo	координиране
koordinavimo	координиране
porai	праз
stiprina	усилвател
stiprina	укрепва
stiprina	засилва
šiukšlių	боклук
šiukšlių	боклук
šiukšlių	боклуци
tonumber	tonumber
prisiminti	запомни
prisiminti	помни
konsultacijų	консултации
konsultacijų	консултация
konsultacijų	консултиране
konsultacijų	консултации
jure	jure
dingsta	изчезва
dingsta	изчезване
kilme	произход
pipirai	пепър
pipirai	чушка
pipirai	пипер
sekmadienis	неделно
sekmadienis	неделя
alisa	алиса
alisa	алис
zagora	загора
šiltos	топло
šiltos	топла
šiltos	топъл
šiltos	топли
buto	апартамент
būtinybė	необходимост
laimėjimai	постижения
marse	марси
bušas	буш
bušas	храст
dao	дао
vankuverio	ванкувър
realybė	реалност
realybė	действителността
realybė	реалността
realybė	действителност
tobias	тобиас
tobias	тобаяс
auguste	огюст
rojas	рохас
rowling	роулинг
libertadores	либертадорес
lankai	панделки
lankai	лъкове
gražu	прекрасни
gražu	прекрасна
gražu	красива
gražu	прекрасен
gražu	красиво
gražu	хубав
gražu	хубава
gražu	хубаво
gražu	мило
plaučius	дробове
conus	conus
mustafa	мустафа
demonstracijos	демонстрации
livonija	ливония
matavimai	измервания
matavimai	измерванията
matavimai	оценяване
matavimai	измервания
matavimai	измерване
dumbliai	водораслите
dumbliai	водорасли
janos	янош
uraganas	ураган
uraganas	урагани
uraganas	урагана
uraganas	ураганът
treniruotis	спаринг
gridcolor	gridcolor
ska	ска
mstislavas	мстислав
delavero	делауеър
suopis	мишелов
birkirkara	биркиркара
drabužis	дреха
stipendijos	субсидии
stipendijos	стипендии
spektras	спектъра
spektras	спектър
wikidata	уикиданни
nino	нино
gobio	гоби
nuosprendis	присъда
hemoglobino	хемоглобин
robertson	робъртсън
judas	юда
žiurkė	рат
žiurkė	плъх
žiurkė	плъхове
tešla	тесто
tešla	тестото
arterijų	артериална
arterijų	артерии
arterijų	артериите
tuščia	празно
tuščia	празен
tuščia	празна
baladė	балада
transformacijos	трансформация
transformacijos	преобразяване
transformacijos	преобразуване
pardavėjas	търговец
pardavėjas	продавач
pabėgėliai	бежанец
pabėgėliai	бежанци
pabėgėliai	бежанците
pabėgėliai	бегълци
keistas	странна
keistas	странно
keistas	странен
keistas	странна
keistas	странно
keistas	странни
keistas	странен
lingua	lingua
mafija	мафия
mafija	тълпа
mafija	мафия
mafija	мафията
ertmėje	кухина
specializuotų	специализирана
specializuotų	специализирано
specializuotų	специализиран
specializuotų	специализирани
rifai	рифове
gazos	газа
patiekalus	съдове
patiekalus	блюда
patiekalus	ястия
patiekalus	чинии
vėliavas	знамена
vėliavas	плакати
klesti	процъфтява
dora	дора
skystas	течни
skystas	течна
skystas	течност
skystas	течно
skystas	течен
achilo	ахил
alyvuogių	маслини
ciklų	цикли
wrocław	wrocław
smithsonian	смитсониън
leben	leben
ekologinė	екологично
ekologinė	екологичен
ekologinė	екологични
ekologinė	екологична
pranešimo	уведомление
pranešimo	съобщаване
pranešimo	уведомяване
tyliai	тих
tyliai	тихо
vandalai	вандали
porter	носач
porter	портър
discogs	discogs
buteo	buteo
šviesi	светло
šviesi	ярко
šviesi	светли
tiekėjų	доставчици
tiekėjų	доставчиците
delle	деле
patogiau	удобно
patogiau	удобен
patogiau	удобни
patogiau	удобна
padažas	сос
potencialiai	потенциално
ign	ign
receptorius	рецептори
receptorius	рецептор
receptorius	рецептори
receptorius	рецепторите
tonos	тонове
tonos	тона
neigia	отрича
esbo	оссе
staigus	остро
staigus	шарп
staigus	остър
staigus	остра
staigus	остри
šlovė	аве
šlovė	градушка
žavėjosi	възхищават
montažas	монтаж
dravidų	дравидски
berberai	бербери
sviedinys	гюле
cole	кол
cole	коул
proporcingas	пропорционална
proporcingas	пропорционални
proporcingas	пропорционално
polydor	polydor
patobulinta	модернизирани
lgbt	лгбт
vadove	ръководство
vadove	гид
vadove	пътеводител
vadove	водач
madam	мадам
ritualas	ритуал
ritualas	ритуално
estai	естонци
fabio	фабио
palestiniečių	палестинците
balsis	гласна
įsivaizduoti	представял
revoliucinė	революционер
revoliucinė	революционна
revoliucinė	революционен
revoliucinė	революционно
grunge	гръндж
poseidonas	посейдон
clarkson	кларксън
sklypų	заговори
sklypų	парцели
sklypų	парцели
rosenborg	rosenborg
krizių	кризите
krizių	кризи
cellpadding	cellpadding
maximus	максим
maximus	максимус
moliuskai	мекотели
kolegos	колеги
pokalbio	разговор
pokalbio	разговори
pokalbio	беседа
asirija	асирия
vakar	вчера
violetinė	лилава
violetinė	пурпурно
violetinė	лилаво
violetinė	лилав
oliveira	оливейра
aparatūra	апарати
aparatūra	апарат
aparatūra	апаратура
akvariumas	аквариум
oksidacijos	окисление
atari	атари
pokerio	покер
pokerio	ръжен
remiama	спонсорира
chamberlain	чембърлейн
skliaustuose	скобите
skliaustuose	скоби
blokavimo	блокирането
blokavimo	блокиране
esminė	критичен
esminė	критично
esminė	критична
esminė	критични
jaguar	ягуар
troleibusų	тролейбус
lamborghini	ламборгини
dirvožemį	почви
dirvožemį	почва
slyvų	слива
vadi	уади
biologiškai	биологично
biologiškai	биологически
biologiškai	биоразградими
aštrus	пикантна
aštrus	пикантен
aštrus	люто
augmenijos	растителност
turbina	турбина
paviršiai	повърхности
triukšmas	шум
makaronai	макарони
optika	оптика
kalifas	халифа
netinkamas	неправилно
netinkamas	неправилен
netinkamas	неправилна
netinkamas	невалиден
netinkamas	инвалид
netinkamas	невалидна
netinkamas	невалидни
amino	амино
demonai	демони
demonai	демоните
džiaugsmas	радост
džiaugsmas	джой
višnaus	вишну
plaukikas	плувец
švelnios	нежна
švelnios	нежно
švelnios	нежни
švelnios	нежен
maratonas	маратон
kibernetikos	кибернетика
pirmtakai	предшественици
pirmtakai	предшествениците
specializacijos	специализация
skiemuo	сричка
mozilla	mozilla
animatorius	аниматор
bora	бора
teleskopo	телескопа
teleskopo	телескопи
teleskopo	телескоп
brangi	мила
brangi	скъпи
brangi	скъпа
klestėjimas	благоденствие
klestėjimas	благополучие
klestėjimas	просперитет
donatello	донатело
hermiona	хърмаяни
cellspacing	cellspacing
postų	постове
postų	публикации
robotas	роботът
robotas	робот
robotas	робота
galingi	мощен
galingi	мощно
galingi	мощна
minerva	минерва
surinktas	сглобени
sprogstamosios	експлозив
sprogstamosios	експлозиви
atsparumo	съпротива
atsparumo	резистентност
atsparumo	устойчивост
atsparumo	съпротивление
southampton	саутхемптън
paaukoti	дари
valyti	почистени
styga	акорд
rožinio	розе
užtvankų	язовири
granada	гранада
turinas	торино
diplomatinių	дипломатически
nirvana	нирвана
centimetrų	сантиметри
bandymą	експеримент
bandymą	експериментът
braun	браун
šalmus	каски
energijai	изгряваща
vandeninis	воден
dublinas	дъблин
udo	удо
apvalkalas	черупка
apvalkalas	обвивка
apvalkalas	черупки
apvalkalas	шел
barrichello	барикело
budistai	будистите
tikslumas	прецизност
tikslumas	точност
tikslumas	прецизно
tikslumas	точност
kremliaus	кремъл
berger	бъргър
elvis	елвис
vagonų	вагони
vagonų	вагоните
suprojektuota	проектирано
suprojektuota	проектирана
suprojektuota	проектиран
suprojektuota	проектирани
mokymasis	учене
blokų	блокове
blokų	блокчета
svetimas	непозната
svetimas	странник
svetimas	непознат
sprogsta	избухва
sprogsta	експлодира
šiaudų	слама
šiaudų	сламка
diktatūros	диктатури
diktatūros	диктатура
laguna	лагуна
paskiria	контакт
paskiria	контакти
aktyvistai	активисти
komentatorius	коментатор
katalonų	каталонски
adis	адис
puikų	отличен
puikų	отлично
mono	моно
pagerina	подобрява
plėšrūnų	хищници
plėšrūnų	хищниците
apgyvendinimo	настаняване
vežimas	пратки
vežimas	превози
dumblių	водораслите
dumblių	водорасли
forum	форум
listclass	listclass
konkursai	търгове
teologija	теология
paktas	пакт
paktas	гардероби
citadelė	цитаделата
kaukazas	кавказ
marselio	марсилия
brendan	брендан
brendan	брендън
tor	тор
nendrių	рийд
nendrių	рид
kančia	страданието
kančia	страда
kančia	страдания
kančia	страдание
kančia	мъчение
cinkas	цинков
cinkas	цинк
norimą	желани
norimą	желан
norimą	желана
jūreivių	моряците
jūreivių	моряци
laimingas	щастлив
laimingas	щастливи
laimingas	щастлива
laimingas	щастливо
laimingas	хепи
kontaktas	контакт
kontaktas	контакти
sąjungas	съюзи
bismarkas	бисмарк
oktavianas	октавиан
gegutės	куку
gegutės	перко
mileris	милър
mileris	милер
hunai	хуните
elzė	елиза
elzė	илайза
elzė	елайза
dal	дал
vakarienė	вечерята
vakarienė	вечеря
elisabeth	елизабет
kenkėjų	вредители
kenkėjų	напаст
kenkėjų	вредители
koridorius	коридори
koridorius	коридорите
koridorius	коридор
koridorius	коридора
dunojus	дунав
įkvėpti	вдъхнови
lydiniai	сплави
milžinai	гиганти
milžinai	великани
charleroi	шарлероа
viskio	скоч
viskio	уиски
priimtų	кичури
priimtų	подчертава
važiuoklės	шасито
važiuoklės	шаси
dinozaurai	динозаврите
dinozaurai	динозаври
spiritas	духовете
spiritas	духове
šeštoji	шесто
šeštoji	шести
šeštoji	шеста
egzamino	изпит
neišvengiamai	неизбежно
neišvengiamai	неминуемо
finansiniai	финансов
finansiniai	финансова
finansiniai	финансово
finansiniai	финансови
rūsys	изба
rūsys	мазе
rūsys	мазето
rūsys	избата
sakiniai	изречения
sakiniai	присъди
suaugusieji	възрастни
suaugusieji	възрастни
suaugusieji	възрастна
suaugusieji	възрастен
galija	белгика
sophia	софия
coca	кока
konservantas	консервант
konservantas	консерванти
austrai	австрийци
tinklinis	волейбол
rekomenduoja	препоръчва
rekomenduoja	препоръчваме
rekomenduoja	препоръчвам
rekomenduoja	препоръча
elachista	elachista
šviesus	светло
šviesus	ярко
šviesus	светли
toras	тор
incidentas	инцидент
lesa	линеене
dominavimo	господство
dominavimo	надмощие
kaiser	кайзер
paskirstymas	разпределяне
paskirstymas	разпределение
paskirstymas	разбивка
paskirstymas	срив
paskirstymas	дистрибуция
paskirstymas	разпределяне
paskirstymas	разпространение
paskirstymas	разпределение
tiriami	изпитва
tiriami	тествани
tiriami	изпитани
moses	моузес
moses	моисей
moses	мойсей
eritrėja	еритрея
meteoritas	метеорит
ruiz	руиз
derėtis	договаряне
derėtis	преговаря
niufaundlando	нюфаундленд
maserati	мазерати
ogc	ожк
rainbow	дъгата
rainbow	дъга
kontracepcijos	контрацептиви
kontracepcijos	контрацепция
bangor	бангор
persekiojami	преследвана
persekiojami	преследван
persekiojami	преследвани
leto	лето
beata	беата
plikas	плешив
plikas	плешиви
laikrodžiai	часовници
laikrodžiai	часовниците
laikrodžiai	часовници
laikrodžiai	часовниците
krosnis	пещ
krosnis	котел
krosnis	печка
krosnis	пещ
krosnis	фурна
krosnis	фурната
malcolm	малкълм
bmg	bmg
wordpress	wordpress
kurilų	курилските
laidumas	проводимост
butanas	бутан
wow	уау
wow	леле
diktatūra	диктатура
renato	ренато
dancigo	данциг
owen	оуен
direktoriai	директорите
direktoriai	режисьори
direktoriai	директори
karcinoma	карцином
apyrankės	гривни
apyrankės	гривните
lynn	лин
soros	просо
seminaras	работилница
seminaras	работилницата
seminaras	семинар
seminaras	семинар
čerčilis	чърчил
draugės	приятели
draugės	friends
draugės	приятелки
aortos	аортна
legionas	легион
legionas	легиона
kerštas	отмъщението
kerštas	отмъщение
kerštas	мъст
kerštas	мъст
kerštas	отмъщение
kerštas	отмъщението
tibetas	тибет
žiemgala	земгале
miao	мао
kalvis	ковач
kambodža	камбоджа
drąsiai	смело
romero	ромеро
stadio	стадио
tokelau	токелау
konstantos	константи
raiteliai	конници
raiteliai	ездачи
buitinių	домакински
buitinių	домакинство
buitinių	домакинството
buitinių	общински
buitinių	общинска
skylė	дупка
skylė	дупката
trajektorija	траектория
trajektorija	траекторията
simboliškai	символично
kardą	сабя
kardą	мечът
kardą	меч
warcraft	warcraft
guido	гуидо
viskonsino	уисконсин
rimta	сериозен
rimta	сериозно
rimta	сериозни
rimta	сериозна
miko	мико
socializmas	социализъм
stabilus	стабилни
stabilus	стабилен
stabilus	стабилно
stabilus	стабилна
nevis	невис
pjemonto	пиемонте
mesopotamija	месопотамия
gandras	щъркел
netikras	менте
netikras	фалшив
netikras	фалшиви
netikras	фалшиво
netikras	фалшива
sapiens	сапиенс
grenlandija	гренландия
skaičiavimus	изчисления
skaičiavimus	изчисленията
teo	тео
teo	тио
kor	кор
rodezijos	родезия
kaldera	калдера
kiūšiū	кюшу
gijos	нишки
gijos	конци
len	лен
coloma	колома
grafinė	графични
grafinė	графичен
eduard	едуард
varškės	къщичка
varškės	извара
norintiems	пожелание
norintiems	желаещи
piper	пайпър
epa	сип
nerimą	тревожна
nerimą	тревожни
nerimą	тревожно
nerimą	тревожна
nerimą	тревожни
nerimą	тревожно
asunsjonas	асунсион
skersinis	напречен
skersinis	напречно
skatinimas	промоция
skatinimas	насърчаване
skatinimas	повишение
skatinimas	популяризиране
gangsteris	гангстер
astrachanės	астрахан
jutos	юта
mayer	мейър
mayer	майър
mayer	майер
atkrintamųjų	плейофите
baigtos	завършена
baigtos	завършени
baigtos	завършен
baigtos	завършено
reguliuojamas	регулируеми
aronas	аарон
aronas	арон
aronas	аарън
aronas	арън
antigva	антигуа
įkelti	презареждане
geografiniai	географска
geografiniai	географски
seda	седа
paša	паша
eksperimentus	опити
eksperimentus	експерименти
pasėlių	реколта
technikai	техници
technikai	техниците
prieštaravimų	възражения
sekretoriatas	секретариат
pašalinamas	екскреция
dumblas	утайки
dumblas	утайка
saba	саба
kaupimo	споделянето
kaupimo	споделяне
slepia	скрива
linijinis	линейни
linijinis	линеен
linijinis	линейна
stogų	покриви
žvejys	рибар
juostele	ивица
niger	нигер
omega	омега
genomo	геном
jet	джет
pjovimo	рязане
atlyginimas	заплатата
atlyginimas	заплати
atlyginimas	заплата
atlyginimas	заплати
atlyginimas	заплатите
atlyginimas	възнаграждение
atlyginimas	заплащане
atlyginimas	възнаграждения
soma	сома
sutrikimą	объркване
patarimų	съвет
patarimų	съвети
brangus	мила
brangus	скъпи
brangus	скъпа
būgnas	барабан
būgnas	барабани
morena	морена
puškinas	пушкин
skyrybos	развод
nuovargis	умора
borgo	борго
ofc	офк
bethoveno	бетовен
genas	джийн
genas	ген
genas	джин
genas	гена
vaikšto	разходка
vaikšto	вървя
vaikšto	ходене
vaikšto	разходки
jachtos	яхти
vittorio	виторио
gipso	гипс
gipso	гипс
cenzūra	цензура
ogovės	огоуе
urdu	урду
kroft	крофт
šengeno	шенген
mega	мега
vožtuvų	клапан
vožtuvų	клапа
ūkininkavimo	отглеждане
ūkininkavimo	земеделие
diplomatinis	дипломатически
lira	лира
lira	лири
durst	дърст
palladio	паладио
minios	тълпи
aik	аик
šaudo	стреля
gru	гро
guma	дъвки
guma	дъвка
skydliaukės	щитовидната
bevardis	неозаглавен
manas	мане
manas	грива
švenčia	празнува
švenčia	чества
katy	кейти
junano	юнан
tamsa	мрака
tamsa	мракът
tamsa	тъмнината
tamsa	мрак
tamsa	тъмнина
taičio	таити
hani	хани
vargas	варгас
plėšikai	обирджии
toma	тома
apolonija	аполония
chloridas	хлорид
išlaikymo	запазване
išlaikymo	задържане
pažintis	свързване
pažintis	свързващи
parodija	пародия
android	андроид
puošnioji	арлекин
virvės	въжета
virvės	въже
virvės	въжетата
virvės	въжета
virvės	връв
dsc	dsc
gleivių	слуз
šamanizmas	шаманизъм
lynai	въжетата
lynai	въжета
bauskės	бауска
sil	сил
camila	камила
matricos	матрица
matricos	матрицата
septintoji	седмо
septintoji	седма
septintoji	седми
trąšos	торове
trąšos	тор
trąšos	торове
trąšos	торове
trąšos	торове
trąšos	тор
skaičiavimai	изчисления
skaičiavimai	изчисленията
valdytojų	управителите
valdytojų	управители
mangrovių	мангрови
pagalbininkas	помощничка
pagalbininkas	помощник
milošas	милош
vhs	vhs
graf	граф
barzda	брада
barzda	брадата
priesagos	наставки
stabdžių	спирачка
stabdžių	спирачката
stabdžių	спирачки
hahn	хан
specializuota	специализирана
specializuota	специализиран
specializuota	специализирани
blanco	бланко
vielos	тел
vielos	жици
vielos	жица
franciskas	франциско
franciskas	франсиско
hinduizmas	индуизма
atsakymai	отговори
atsakymai	отговор
atsakymai	отговори
atsakymai	отговори
dviratininkų	колоездачи
panaikinimas	отмяна
panaikinimas	отмяна
panaikinimas	анулиране
dumblo	утайки
dumblo	утайка
muitinė	митническа
muitinė	митническо
muitinė	митнически
muitinė	митници
muitinė	обичаи
pranašumas	предимство
pranašumas	преимущество
geffen	гефън
adamavos	адамауа
drake	дрейк
libertas	либертас
giulio	джулио
geleris	гелър
vizualiai	визуално
druskingumas	соленост
mielės	норман
mielės	мая
salotos	маруля
salotos	салати
salotos	салата
fašistų	фашисти
fašistų	фашист
fašistų	фашистки
formatavimo	форматиране
fanai	вентилатори
fanai	фенове
fanai	почитатели
fanai	феновете
svyravimai	колебания
sgd	спг
šiongnu	хунну
dovanos	благословията
dovanos	блага
dovanos	благословия
pipirų	пепър
pipirų	чушка
pipirų	пипер
cementas	цимент
epic	епично
epic	епична
prekė	стока
prekė	артикул
taro	таро
andris	андрис
svarstyklės	тежести
kreiseris	крайцер
nepatenkintas	недоволен
nepatenkintas	недоволни
nepatenkintas	недоволна
kirgizija	киргизстан
gėlų	келтски
reitingus	оценките
reitingus	степени
reitingus	оценки
hughes	хюс
hughes	хюз
kiurasao	кюрасао
įsigijimo	придобивка
įsigijimo	придобиване
bartolomeo	бартоломео
sietlo	сиатъл
thomson	томсън
sutrumpintas	съкратен
rūkyti	пушена
įgaliotas	упълномощен
pasakotojas	разказвач
atidėtas	отложена
atidėtas	отложени
atidėtas	отложено
atidėtas	отложени
atidėtas	отложена
atidėtas	отложено
atidėtas	отложен
aitvaras	хвърчило
jautri	чувствително
jautri	чувствителен
jautri	чувствителни
jautri	чувствителна
res	res
feyenoord	фейенорд
kepenys	дроб
aronianas	аронян
magnum	магнум
iškaltas	изваяни
kaltę	вина
kaltę	вината
zil	зил
atsparumą	съпротива
atsparumą	резистентност
atsparumą	устойчивост
atsparumą	съпротивление
atsparumą	устойчивост
patarė	посъветва
patogus	удобно
patogus	удобен
patogus	удобни
patogus	удобна
riaušės	бунтове
riaušės	размирици
dažniausi	популярно
dažniausi	популярен
dažniausi	популярна
dažniausi	популярни
stan	стан
stan	стен
svajonė	сън
svajonė	мечта
toros	торос
karjerai	кариери
karjerai	кариера
minkštimas	целулоза
lipai	венците
lipai	венци
teršalų	замърсител
teršalų	замърсители
emigracija	емиграция
lėtinis	хроничен
lėtinis	хронично
lėtinis	хронични
lėtinis	хронична
kaltinimų	обвинения
bespalvis	безцветен
maestro	маестро
eden	идън
eden	едем
eden	еден
aiškinimo	тълкуване
aiškinimo	интерпретация
galapagų	галапагос
dub	дъб
epitelio	епителни
mišiniai	смеси
pašalinimas	тегления
vaškas	восъци
vaškas	восък
kaiserslautern	кайзерслаутерн
arp	arp
halina	халина
laidai	кабели
laidai	проводници
aba	аба
užsiėmimai	сеанси
užsiėmimai	сесии
komplektas	комплект
komplektas	кит
išmintis	мъдростта
išmintis	мъдрост
nuotėkio	изтичане
nuotėkio	теч
nuotėkio	изтичане
migruoti	мигрират
nascar	наскар
ultra	ултра
alkaloidų	алкалоиди
siuzana	сюзън
krc	krc
bambuko	бамбук
nereikalingas	изсъхват
medėja	медея
goa	гоа
apribojimus	ограничения
luhansko	луганск
miami	маями
vištos	кокошки
vištos	пиленца
vištos	пилета
vištos	пилешко
vištos	кокошка
vištos	пиле
vištos	пиленце
žmoniją	човечеството
žmoniją	човечество
žmoniją	човечност
pasiūlymai	предложенията
pasiūlymai	предложения
pasiūlymai	търгове
gabonas	габон
liejimo	формоване
liejimo	кастинг
bobo	бобо
bilietai	билетите
bilietai	билети
rijeka	риека
adm	адм
darfūro	дарфур
įrengimas	инсталация
įrengimas	монтаж
įrengimas	инсталиране
įrengimas	монтиране
įrengimas	инсталации
oneginas	онегин
